"school_year","opt_code","name","affiliation","site_type","street_address","city","state","zip","longitude","latitude","door_to_door_service","stop_to_school_service","common_carrier_svc_metrocards","site_reimbursement","mid_day_service","d2d_late_day_programs","s2s_late_day_programs"
"2016-2017","04003","MS 72","Public","School","131 EAST 104TH STREET","Manhattan","NY","10029","-73.9477380000","40.7912520000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","04004","Democracy Prep Endurance HS AX","Charter","School","240 E 123RD STREET","Manhattan","NY","10035","-73.9350710000","40.8013890000","Yes","No","Yes","No","No","No","No"
"2016-2017","04005","CP Harlem Charter School","Charter","School","1 East 104th Street","Manhattan","NY","10029","-73.9517780000","40.7929420000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","04006","P2G @ Cornerstone","Public","School","1833 Lexington Avenue","Manhattan","NY","10029","-73.9428740000","40.7968940000","No","No","Yes","No","No","No","No"
"2016-2017","04007","PS/MS 7","Public","School","160 EAST 120TH STREET","Manhattan","NY","10035","-73.9390070000","40.8007770000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04050","PS 50","Public","School","433 EAST 100TH STREET","Manhattan","NY","10029","-73.9421270000","40.7855990000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04057","PS 57","Public","School","176 EAST 115TH STREET","Manhattan","NY","10029","-73.9413410000","40.7975150000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04072","PS 72","Public","School","131 EAST 104TH STREET","Manhattan","NY","10029","-73.9477380000","40.7912520000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04083","PS 83","Public","School","219 EAST 109TH STREET","Manhattan","NY","10029","-73.9425020000","40.7932610000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04096","PS/MS 96","Public","School","216 EAST 120TH STREET","Manhattan","NY","10035","-73.9376160000","40.8001910000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04102","PS 102","Public","School","315 EAST 113TH STREET","Manhattan","NY","10029","-73.9389350000","40.7950550000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","03564","MANHATTAN THEATRE LAB H.S.","Public","School","122 AMSTERDAM AVENUE","Manhattan","NY","10023","-73.9848420000","40.7743840000","No","No","No","No","No","No","No"
"2016-2017","04108","PS 108","Public","School","1615 MADISON AVENUE","Manhattan","NY","10029","-73.9482830000","40.7951080000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04112","PS 112","Public","School","535 EAST 119TH STREET","Manhattan","NY","10035","-73.9309230000","40.7967380000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04121","PS 38","Public","School","232 EAST 103RD STREET","Manhattan","NY","10029","-73.9445840000","40.7888830000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04138","P138M @ P409M","Public","School","2351 First Avenue","Manhattan","NY","10035","-73.9332190000","40.7991740000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","04146","PS 146","Public","School","421 EAST 106TH STREET","Manhattan","NY","10029","-73.9393500000","40.7894210000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04155","PS 155","Public","School","319 EAST 117TH STREET","Manhattan","NY","10035","-73.9365880000","40.7974830000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04168","EAST HARLEM SCHOLARS ACAD #2","Charter","School","1573 MADISON AVENUE","Manhattan","NY","10029","-73.9492970000","40.7937200000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04171","PS 171","Public","School","19 EAST 103RD STREET","Manhattan","NY","10029","-73.9519240000","40.7921930000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04206","PS 206","Public","School","508 EAST 120TH STREET","Manhattan","NY","10035","-73.9311010000","40.7974740000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04363","COALITION SCH SOCIAL CHANGE HS","Public","School","2351 1ST AVENUE","Manhattan","NY","10035","-73.9332190000","40.7991740000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","04372","ESPERANZA PREPARATORY ACAD","Public","School","240 EAST 109 STREET","Manhattan","NY","10029","-73.9423640000","40.7930090000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04373","ESPERANZA PREP ACAD HS","Public","School","240 EAST 109 STREET","Manhattan","NY","10029","-73.9423640000","40.7930090000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","04375","MOSAIC PREPARATORY ACADEMY","Public","School","141 EAST 111 STREET","Manhattan","NY","10029","-73.9443740000","40.7957130000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04377","RENAISSANCE SCH OF THE ARTS","Public","School","319 EAST 117TH STREET","Manhattan","NY","10035","-73.9365880000","40.7974830000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","04385","SUCCESS ACADEMY HARLEM 3K","Charter","School","410 EAST 100TH STREET","Manhattan","NY","10029","-73.9425080000","40.7855650000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04403","ISAAC NEWTON SCHOOL","Public","School","260 PLEASANT AVENUE","Manhattan","NY","10029","-73.9339420000","40.7938170000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04404","RIVER EAST ELEM.PS 37","Public","School","508 EAST 120TH STREET ROOM 441","Manhattan","NY","10035","-73.9311010000","40.7974740000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04416","P169M @ MANH. CTR/MATH & SCIEN","Public","School","260 PLEASANT AVENUE","Manhattan","NY","10029","-73.9339420000","40.7938170000","Yes","No","Yes","No","No","No","No"
"2016-2017","04422","THE HIGHWAY CHRISTIAN ACADEMY","Christian","School","132 EAST 111 STREET","Manhattan","NY","10029","-73.9445860000","40.7956080000","No","No","No","No","No","No","No"
"2016-2017","04433","RENAISSANCE CHARTER HS INNOV.","Charter","School","410 EAST 100TH STREET","Manhattan","NY","10029","-73.9425080000","40.7855650000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","04454","LEADERSHIP VILLAGE ACAD.CHARTR","Charter","School","2351 1ST AVENUE  ROOM 401","Manhattan","NY","10035","-73.9332190000","40.7991740000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","04455","EAST HARLEM VILL.ACAD. CHARTER","Charter","School","413 EAST 120TH STREET","Manhattan","NY","10035","-73.9329450000","40.7984490000","No","No","No","No","No","No","No"
"2016-2017","04464","P169M @ P155M","Public","School","319 EAST 117 STREET","Manhattan","NY","10035","-73.9365880000","40.7974830000","No","No","No","No","No","No","No"
"2016-2017","04469","P169M @ PS 102","Public","School","315 EAST 113 STREET","Manhattan","NY","10029","-73.9389350000","40.7950550000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","04477","HARLEM PREP CHARTER SCHOOL","Charter","School","240 EAST 123rd STREET","Manhattan","NY","10035","-73.9350180000","40.8015600000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04479","HARLEM PREP CHARTER M.S.","Charter","School","232 EAST 103RD STREET","Manhattan","NY","10029","-73.9445840000","40.7888830000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","04481","AMBER CHARTER SCHOOL","Charter","School","220 EAST 106 STREET","Manhattan","NY","10029","-73.9440810000","40.7912210000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04483","PS 182 (BBMS)","Public","School","219 EAST 109TH STREET","Manhattan","NY","10029","-73.9425020000","40.7932610000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04486","P811M @ P101M","Public","School","141 EAST 111 ST","Manhattan","NY","10029","-73.9443740000","40.7957130000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","04503","PARK EAST HS","Public","School","230 EAST 105TH STREET","Manhattan","NY","10029","-73.9444170000","40.7904800000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","01002","WCL Academy","Nonsectarian","School","44 EAST 2ND STREET","Manhattan","NY","10003","-73.9900630000","40.7249040000","No","No","Yes","No","No","No","No"
"2016-2017","03800","P754X @ LINCOLN CTR","Public","School","133 WEST 60TH STREET","Manhattan","NY","10023","-73.9853080000","40.7703680000","No","No","No","No","No","No","No"
"2016-2017","04504","MAN CNTR SCI AND MATHEMATICS","Public","School","260 PLEASANT AVENUE","Manhattan","NY","10029","-73.9339420000","40.7938170000","Yes","No","Yes","No","No","No","No"
"2016-2017","04518","EAST HARLEM SCHOLARS CHARTER","Charter","School","2050 Second Avenue","Manhattan","NY","10029","-73.9426880000","40.7902630000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04535","SUCCESS ACADEMY HARLEM EAST MS","Charter","School","141 EAST 111 STREET","Manhattan","NY","10029","-73.9443740000","40.7957130000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04565","CENTRAL PARK EAST SECONDARY HS","Public","School","1573 MADISON AVENUE","Manhattan","NY","10029","-73.9492970000","40.7937200000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","04575","P2G @ YOUTH ACTION-HOMES PROG","Public","School","206 EAST 118TH STREET","Manhattan","NY","10035","-73.9386910000","40.7989990000","No","No","Yes","No","No","No","No"
"2016-2017","04610","YOUNG WOMEN LEADERSHIP H.S.","Public","School","105 EAST 106TH STREET","Manhattan","NY","10029","-73.9473770000","40.7928070000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","04633","DREAMS ELEM CHARTER","Charter","School","433 EAST 100TH STREET","Manhattan","NY","10029","-73.9421270000","40.7855990000","No","Yes","No","No","No","No","No"
"2016-2017","04650","EAST RIVER FAMILY CNTR (STH)","Public","Office","325 EAST 104 STREET","Manhattan","NY","10029","-73.9425830000","40.7890660000","No","No","No","No","No","No","No"
"2016-2017","04653","THE MANHATTAN FREE SCHOOL","Nonsectarian","School","115 EAST 106TH STREET","Manhattan","NY","10029","-73.9471270000","40.7927010000","No","No","Yes","No","No","No","No"
"2016-2017","04656","EMILY N.CAREY HARBOR HS","Nonsectarian","School","1 EAST 104TH STREET","Manhattan","NY","10029","-73.9517780000","40.7929420000","No","No","No","No","No","No","No"
"2016-2017","04657","NY CTR FOR AUTISM CHARTER SCH","Charter","School","433 EAST 100TH STREET","Manhattan","NY","10029","-73.9421270000","40.7855990000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","04658","DREAM CHARTER SCHOOL","Charter","School","1991 SECOND AVENUE","Manhattan","NY","10029","-73.9442130000","40.7883810000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04661","LEADERSHIP ELEM CHARTER SCH","Charter","School","2351 FIRST AVENUE 3RD FLOOR","Manhattan","NY","10035","-73.9332190000","40.7991740000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04668","SCANS LAGUARDIA OFF-SITE SUSP.","Public","Office","307 EAST 116TH STREET","Manhattan","NY","10032","-73.9372710000","40.7968880000","No","No","No","No","No","No","No"
"2016-2017","04671","CENTRAL PARK EAST I","Public","School","1573 MADISON AVENUE","Manhattan","NY","10029","-73.9492970000","40.7937200000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04672","CENTRAL PARK EAST SCHOOL II","Public","School","19 EAST 103 STREET","Manhattan","NY","10029","-73.9519240000","40.7921930000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04681","GLOBAL TECHNOLOGY PREP","Public","School","160 EAST 120TH STREET","Manhattan","NY","10035","-73.9390070000","40.8007770000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","04684","CRISTO REY HIGH SCHOOL","Parochial","School","112 EAST 106 STREET","Manhattan","NY","10029","-73.9472350000","40.7925530000","Yes","No","Yes","No","No","No","No"
"2016-2017","04685","P138M @ JHS 117","Public","School","240 EAST 109 STREET","Manhattan","NY","10029","-73.9423640000","40.7930090000","Yes","Yes","Yes","No","Yes","Yes","No"
"2016-2017","04687","THE EAST HARLEM SCHOOL","Nonsectarian","School","309 EAST 103 STREET","Manhattan","NY","10029","-73.9432820000","40.7885420000","No","No","Yes","No","No","No","No"
"2016-2017","04731","MT CARMEL-HOLY ROSARY SCH","Parochial","School","371 PLEASANT AVENUE","Manhattan","NY","10035","-73.9316030000","40.7973550000","No","No","Yes","No","Yes","No","No"
"2016-2017","04733","OUR LADY QUEEN OF ANGELS","Parochial","School","232 EAST 113TH STREET","Manhattan","NY","10029","-73.9400630000","40.7953540000","No","No","Yes","No","Yes","No","No"
"2017-2018","01134","PS 134","Public","School","293 EAST BROADWAY","Manhattan","NY","10002","-73.9837310000","40.7144920000","Yes","Yes","Yes","No","Yes","No","No"
"2017-2018","01140","PS 140","Public","School","123 RIDGE STREET","Manhattan","NY","10002","-73.9831570000","40.7192690000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04736","ST PAUL SCHOOL","Parochial","School","114 EAST 118TH STREET","Manhattan","NY","10035","-73.9414470000","40.8001630000","No","No","Yes","No","Yes","No","No"
"2016-2017","04737","ST ANN SCHOOL","Parochial","School","314 EAST 110TH STREET","Manhattan","NY","10029","-73.9400250000","40.7928640000","No","No","Yes","No","Yes","No","No"
"2016-2017","04837","TAG SCHOOL FOR YOUNG SCHOLARS","Public","School","240 EAST 109 STREET","Manhattan","NY","10029","-73.9423640000","40.7930090000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04839","THE REECE SCHOOL","Nonsectarian","School","25 EAST 104TH STREET","Manhattan","NY","10029","-73.9510680000","40.7926490000","Yes","No","Yes","No","No","No","No"
"2016-2017","04877","PS 206 M.S.","Public","School","508 EAST 120TH STREET","Manhattan","NY","10035","-73.9311010000","40.7974740000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","04887","ALC @ EAST HARLEM","Public","School","321 EAST 111TH STREET  5TH FLOOR","Manhattan","NY","10026","-73.9393670000","40.7936010000","Yes","No","Yes","No","No","No","No"
"2016-2017","04898","NORTHSIDE CNTR CHILD DEV INC","Other Religion","School","35 E 110 street","Manhattan","NY","10029","-73.9479440000","40.7963920000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","04964","CENTRAL PK EAST SCH ll  ANNEX","Public","School","1615 MADISON AVENUE","Manhattan","NY","10029","-73.9482830000","40.7951080000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05001","SUCCESS ACAD HARLEM CTRL  MS","Charter","School","461 WEST 131 STREET","Manhattan","NY","10027","-73.9535090000","40.8162130000","No","Yes","Yes","No","No","No","No"
"2016-2017","03985","STANDING TALL      (IMPARTIAL)","Nonsectarian","School","101 WEST 116TH STREET","Manhattan","NY","10026","-73.9500930000","40.8022940000","No","No","No","No","No","No","No"
"2016-2017","05003","P2G @ CITY COLLEGE","Public","School","160 CONVENT AVENUE","Manhattan","NY","10031","-73.9503110000","40.8192320000","No","No","Yes","No","No","No","No"
"2016-2017","05030","PS 30 HERNANDEZ/HUGHES ACADEMY","Public","School","144-176 East 128th Street","Manhattan","NY","10035","-73.9357390000","40.8060900000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05036","PS 36","Public","School","123 MORNINGSIDE DRIVE","Manhattan","NY","10027","-73.9574280000","40.8103360000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05046","PS 46","Public","School","2987 8TH AVENUE","Manhattan","NY","10039","-73.9362900000","40.8306710000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05065","DEMOCRACY PREP ENDURANCE SCH","Charter","School","250 WEST 127TH STREET","Manhattan","NY","10027","-73.9488930000","40.8108220000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05079","P079M @ HORAN SCHOOL","Public","School","55 EAST 120 STREET","Manhattan","NY","10035","-73.9425950000","40.8024890000","Yes","No","Yes","No","Yes","Yes","No"
"2016-2017","05085","GLOBAL COMM CHARTER SCHOOL","Charter","School","2350 5TH AVENUE","Manhattan","NY","10037","-73.9348400000","40.8167800000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05092","PS 92","Public","School","222 WEST 134TH STREET","Manhattan","NY","10030","-73.9451530000","40.8149410000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05123","PS/IS 123 MAHALIA JACKSON MS","Public","School","301 WEST 140TH STREET","Manhattan","NY","10030","-73.9443840000","40.8198340000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05125","PS 125 RALPH BUNCHE","Public","School","425 WEST 123RD STREET","Manhattan","NY","10027","-73.9558520000","40.8105350000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05129","PS 129 JOHN FINLEY","Public","School","425 WEST 130TH STREET","Manhattan","NY","10027","-73.9518620000","40.8147030000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05133","CS 133 FRED R. MOORE ACADEMY","Public","School","2121 5TH AVENUE","Manhattan","NY","10037","-73.9397840000","40.8096340000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05148","EAGLE ACAD YOUNG MEN OF HARLEM","Public","School","6 EDGECOMBE AVENUE","Manhattan","NY","10030","-73.9476240000","40.8173330000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","05154","PS 154","Public","School","250 WEST 127TH STREET","Manhattan","NY","10027","-73.9488930000","40.8108220000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05157","U.A.SCH FOR GLOBAL COMMERCE","Public","School","2005 MADISON AVENUE","Manhattan","NY","10035","-73.9393460000","40.8073470000","Yes","No","Yes","No","No","No","No"
"2016-2017","05161","PS 161 PEDRO ALBIZU CAMPOS","Public","School","499 WEST 133RD STREET","Manhattan","NY","10027","-73.9529990000","40.8176140000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05175","PS 175","Public","School","175 WEST 134 STREET","Manhattan","NY","10030","-73.9431510000","40.8142930000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05194","CS 194","Public","School","244 WEST 144TH STREET","Manhattan","NY","10030","-73.9409770000","40.8214630000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05197","PS 197 JOHN RUSSWURM","Public","School","2230 5TH AVENUE","Manhattan","NY","10037","-73.9374140000","40.8132260000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05200","PS 200 JAMES MCCUNE SMITH","Public","School","2589 7TH AVENUE","Manhattan","NY","10039","-73.9368040000","40.8244080000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05284","PROMISE ACADEMY 1 H.S.","Charter","School","245 WEST 129TH STREET  5TH FLOOR","Manhattan","NY","10027","-73.9470250000","40.8118390000","No","Yes","Yes","No","No","No","No"
"2016-2017","05286","IS 286 R.M.L.A.","Public","School","509 WEST 129TH STREET","Manhattan","NY","10027","-73.9552670000","40.8153180000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05302","KAPPA IV  M302","Public","School","6 EDGECOMBE AVENUE","Manhattan","NY","10030","-73.9476240000","40.8173330000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","05318","THURGOOD MARSHALL LOWER SCH","Public","School","282 WEST 151st STREET","Manhattan","NY","10039","-73.9380580000","40.8260680000","No","Yes","Yes","No","Yes","No","No"
"2016-2017","05341","PROMISE ACADEMY II M.S.","Charter","School","35 EAST 125TH STREET","Manhattan","NY","10035","-73.9411750000","40.8060550000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05362","COLUMBIA SECONDARY SCHOOL","Public","School","425 WEST 123RD STREET","Manhattan","NY","10027","-73.9558520000","40.8105350000","Yes","No","Yes","No","No","No","No"
"2016-2017","05365","THURG MARSHAL ACAD LRNG SOC CH","Public","School","200-214 WEST 135 STREET","Manhattan","NY","10030","-73.9442520000","40.8154410000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","05367","ACADEMY FOR SOCIAL ACTION","Public","School","509 WEST 129TH STREET","Manhattan","NY","10027","-73.9552670000","40.8153180000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","05369","U.A.SCH FOR PERFORMING ARTS","Public","School","509 WEST 129 STREET","Manhattan","NY","10027","-73.9552670000","40.8153180000","Yes","No","Yes","No","No","No","No"
"2016-2017","05384","SUCCESS ACAD HARLEM N.C. MS","Charter","School","175 WEST 134TH STREET","Manhattan","NY","10030","-73.9431510000","40.8142930000","No","Yes","Yes","No","No","No","No"
"2016-2017","05385","SUCCESS ACAD-NORTH WEST-MS","Charter","School","509 WEST 129TH STREET","Manhattan","NY","10027","-73.9552670000","40.8153180000","No","No","Yes","No","No","No","No"
"2016-2017","05403","MOTT HALL PS/IS 223","Public","School","71-111 CONVENT AVE","Manhattan","NY","10027","-73.9528100000","40.8154500000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05417","MANHATTAN SCHOOL OF MUSIC","Nonsectarian","School","120 CLAREMONT AV","Manhattan","NY","10027","-73.9617670000","40.8125400000","No","No","No","No","No","No","No"
"2016-2017","05440","P138M @ P030M","Public","School","144-176 EAST 128 ST","Manhattan","NY","10035","-73.9357390000","40.8060900000","Yes","Yes","Yes","No","Yes","Yes","No"
"2016-2017","05445","KIPP STAR COLLEGE PREP CHARTER","Charter","School","433 WEST 123RD STREET","Manhattan","NY","10027","-73.9559990000","40.8105980000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","05450","P751M @ TEACHERS COLLEGE","Public","School","525 WEST 120 STREET","Manhattan","NY","10027","-73.9600370000","40.8097820000","Yes","No","Yes","No","No","No","No"
"2016-2017","05455","HARLEM VILLAGE ACADEMY","Charter","School","244 WEST 144TH STREET","Manhattan","NY","10030","-73.9409770000","40.8214630000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","05463","P751M @ PARA TRAINING","Public","School","144-176 EAST 128 STREET","Manhattan","NY","10035","-73.9357390000","40.8060900000","Yes","No","Yes","No","No","No","No"
"2016-2017","05481","DEMOCRACY PREP HARLEM-ELEM","Charter","School","2005 MADISON AVENUE","Manhattan","NY","10035","-73.9393460000","40.8073470000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","05487","P226M @P826 GOODWILL INDUST","Public","School","2196 5TH AVENUE","Manhattan","NY","10037","-73.9382120000","40.8121330000","No","No","No","No","No","No","No"
"2016-2017","05499","FREDERICK DOUGLAS ACAD. HS","Public","School","2581 ADAM CLAYTON POWELL JR. BLVD.","Manhattan","NY","10039","-73.9369350000","40.8242350000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05514","NEW DESIGN MS","Public","School","625 WEST 133RD STREET","Manhattan","NY","10027","-73.9564830000","40.8190930000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05517","TEACHERS COLLEGE ELEMENTARY","Public","School","168 MORNINGSIDE AVENUE","Manhattan","NY","10027","-73.9534080000","40.8124530000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05534","SUCCESS ACADEMY HARLEM 2","Charter","School","144 EAST 128TH STREET","Manhattan","NY","10035","-73.9357390000","40.8060900000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","01003","Pathways Children's Servicecs","Nonsectarian","School","273 Bowery","Manhattan","NY","10002","-73.9927810000","40.7236290000","Yes","No","No","No","No","No","No"
"2016-2017","01004","Great Oaks Charter School","Charter","School","38 Delancey Street","Manhattan","NY","10002","-73.9917800000","40.7198190000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","01005","ALTSCHOOL","Nonsectarian","School","1 Avenue B","Manhattan","NY","10009","-73.9837190000","40.7216050000","Yes","No","Yes","No","No","No","No"
"2016-2017","05548","WEST SIDE HS ANNEX","Public","School","22 EAST 128 STREET","Manhattan","NY","10035","-73.9401090000","40.8079200000","No","No","No","No","No","No","No"
"2016-2017","05551","MOTT HALL HIGH SCHOOL","Public","School","6 EDGECOMBE AVENUE","Manhattan","NY","10030","-73.9476240000","40.8173330000","Yes","No","Yes","No","No","No","No"
"2016-2017","05563","DEMOCRACY PREP CHARTER SCH MS","Charter","School","2230 5TH AVENUE","Manhattan","NY","10037","-73.9374140000","40.8132260000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","05565","HARLEM RENAISSANCE HS","Public","School","22 EAST 128 STREET","Manhattan","NY","10035","-73.9401090000","40.8079200000","No","No","Yes","No","No","No","No"
"2016-2017","05573","RESTART@ FRIENDS OF ISLAND ACA","Public","School","127 WEST 127TH STREET","Manhattan","NY","10027","-73.9454330000","40.8095480000","No","No","Yes","No","No","No","No"
"2016-2017","05616","PROMISE ACADEMY 1 M.S.","Charter","School","245 WEST 129TH STREET  4TH FLOOR","Manhattan","NY","10027","-73.9470250000","40.8118390000","No","Yes","Yes","No","No","No","No"
"2016-2017","05617","PROMISE ACADEMY 1 LOWER ELEM","Charter","School","245 WEST 129TH STRRET  2ND FLOOR","Manhattan","NY","10027","-73.9470250000","40.8118390000","No","Yes","Yes","No","No","No","No"
"2016-2017","05621","DEMOCRACY PREP HARLEM CHARTER","Charter","School","207 WEST 133TH STREET","Manhattan","NY","10030","-73.9451990000","40.8143380000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","05634","CITY HALL ACADEMY","Public","Office","425 WEST 130 STREET","Manhattan","NY","10027","-73.9518620000","40.8147030000","No","No","No","No","No","No","No"
"2016-2017","05651","ST BENEDICT DAY NURSERY","Parochial","School","21 WEST 124TH STREET","Manhattan","NY","10027","-73.9434880000","40.8061480000","No","No","No","No","No","No","No"
"2016-2017","05653","DEMOCRACY PREP CHARTER SCH HS","Charter","School","222 WEST 134th STREET","Manhattan","NY","10030","-73.9451530000","40.8149410000","No","No","Yes","No","No","No","No"
"2016-2017","05660","P2G @ GOSO","Public","School","91 EAST 116TH STREET","Manhattan","NY","10029","-73.9436430000","40.7995770000","No","No","Yes","No","No","No","No"
"2016-2017","05661","HARLEM VILLAGE ACAD.ELEM","Charter","School","74 WEST 124TH STREET","Manhattan","NY","10027","-73.9451520000","40.8066530000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05664","PROMISE ACADEMY II H.S.","Charter","School","35 EAST 125TH STREET","Manhattan","NY","10035","-73.9411750000","40.8060550000","No","No","Yes","No","No","No","No"
"2016-2017","05666","FAMILY WELCOME CENTER","Public","Office","388 WEST 125TH STREET  7TH FLOOR","Manhattan","NY","10027","-73.9536390000","40.8111130000","No","No","No","No","No","No","No"
"2016-2017","05667","THE FELLOWSHIP OF LEARNING","Christian","School","9 WEST 130TH STREET","Manhattan","NY","10037","-73.9405230000","40.8099210000","No","No","Yes","No","No","No","No"
"2016-2017","05668","P2G @ HARLEM RENAISSANCE HS","Public","School","22 EAST 128TH STREET","Manhattan","NY","10035","-73.9401090000","40.8079200000","No","No","Yes","No","No","No","No"
"2016-2017","05669","P2G @ YOUTH BUILD MANHATTAN","Public","School","669 LENOX AVENUE","Manhattan","NY","10037","-73.9371730000","40.8194330000","No","No","Yes","No","No","No","No"
"2016-2017","05676","GROVE SCH OF ENGINEERING C.C.","Public","School","140TH STREET & CONVENT AVENUE","Manhattan","NY","10031","-73.9485410000","40.8214870000","No","No","No","No","No","No","No"
"2016-2017","05682","SUCCESS ACADEMY HARLEM 5","Charter","School","301 WEST 140TH STREET","Manhattan","NY","10030","-73.9443840000","40.8198340000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05684","PROMISE ACAD II LOWER ELEM","Charter","School","2005 MADISON AVENUE","Manhattan","NY","10035","-73.9393460000","40.8073470000","Yes","Yes","Yes","No","Yes","No","No"
"2017-2018","01400","P751M @MAN SCH FOR CAREER DEV.","Public","School","113 EAST 4TH STREET","Manhattan","NY","10003","-73.9882550000","40.7257940000","Yes","No","Yes","No","Yes","Yes","No"
"2017-2018","01419","EAST VILLAGE COMMUNITY SCHOOL","Public","School","610 EAST 12TH STREET","Manhattan","NY","10009","-73.9785350000","40.7278080000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","05686","KIPP INFINITY ELEM.","Charter","School","625 WEST 133RD STREET   3RD FLOOR","Manhattan","NY","10027","-73.9564830000","40.8190930000","Yes","Yes","Yes","No","Yes","No","No"
