"sampling_location","duplicate_sample","sample_date","sample_time","weather_condition_dry_or_wet","top_sample_temperature_c","bottom_sample_temperature_c","site_actual_depth_ft","top_sample_depth_ft","bottom_sample_depth_ft","top_salinity_psu","bottom_salinity_psu","top_conductivity_s_m","bottom_conductivity_s_m","ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l","ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l","percentage_o2_saturation_top_sample","percentage_o2_saturation_bottom_sample","light_trans_transparency_top_sample","light_trans_transparency_bottom_sample","top_sigma_t_kg_m3","bottom_sigma_t_kg_m3","top_fluorometer_mg_m3","bottom_fluorometer_mg_m3","ctd_conductivity_temperature_depth_profiler_ph_top_sample","ctd_conductivity_temperature_depth_profiler_ph_bottom_sample","top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s","top_sample_par_ue_s_m2","bottom_sample_par_ue_s_ue_s_m2","oxidation_reduction_potential_mv_top_sample","oxidation_reduction_potential_mv_bottom_sample","current_speed_knot","current_direction_current_direction","wind_speed_mph","wind_direction_wind_direction","sea_state","winkler_method_top_dissolved_oxygen_mg_l","winkler_method_bottom_dissolved_oxygen_mg_l","secchi_depth_ft","top_ph","bottom_ph","top_total_coliform_cells_100_ml","top_bottom_coliform_cells_100_ml","fecal_coliform_top_sample_less_than_or_greater_than_result","fecal_coliform_bottom_sample_less_than_or_greater_than_result","top_fecal_coliform_bacteria_cells_100ml","bottom_fecal_coliform_bacteria_cells_100ml","enterococcus_top_sample_less_than_or_greater_than_result","enterococcus_bottom_sample_less_than_or_greater_than_result","top_enterococci_bacteria_cells_100ml","bottom_enterococci_bacteria_cells_100ml","top_nitrate_nitrite_mg_l","bottom_nitrate_nitrite_mg_l","top_ammonium_mg_l","bottom_ammonium_mg_l","top_ortho_phosphorus_mg_l","bottom_ortho_phosphorus_mg_l","top_total_kjeldhal_nitrogen_mg_l","bottom_total_kjeldhal_nitrogen_mg_l","top_silica_mg_l","bottom_silica_mg_l","total_phosphorus_mg_l","bottom_total_phosphorus_mg_l","top_total_suspended_solid_mg_l","bottom_total_suspended_solid_mg_l","top_active_chlorophyll_a_g_l","bottom_active_chlorophyll_a_g_l","chlorophyll_top_sample_field_u_l_ysi","chlorophyll_bottom_sample_field_u_l_ysi","top_total_organic_carbon_mg_l","top_dissolved_organic_carbon_mg_l","bottom_dissolved_organic_carbon_mg_l","top_dissolved_organic_carbon_ysi_mg_l","bottom_dissolved_organic_carbon_ysi_mg_l","top_sample_depth_ysi_ft","bottom_depth_ysi_ft","top_sample_salinity_ysi_psu","bottom_sample_salinity_ysi_psu","top_sample_temperature_ysi_c","bottom_sample_temperature_ysi_c","top_bacteria_per_c_c_1909","bottom_bacteria_per_c_c_1909","top_beam_attenuation_coefficient","bottom_beam_attenuation_coefficient","top_five_day_biochemical_oxygen_demand_mg_l","bottom_five_day_biochemical_oxygen_demand_mg_l","top_pcb_plate_count_thous_ml","bottom_pcb_plate_count_thous_ml","top_coliform_log_no_ml","bottom_coliform_log_no_ml","oakwood_bod_top_sample_mg_l","oakwood_bod_bottom_sample_mg_l","oakwood_total_suspended_solid_top_sample_mg_l","oakwood_total_suspended_solid_bottom_sample_mg_l","top_turbidity_nephelometric_turbidity_units","bottom_turbidity_ysi_nephelometric_turbidity_units","sampling_comment","long","lat","type"
"G1",,"1996-07-16T00:00:00.000","11:11 AM",,"22.8","20.64","39","3.28","39.36","15.56","21.7","2.44","3.16","5.29","4.68","67.34","59.28","65.74","54.77","9.31","14.5","10.25","10.35",,,"4.19","6.02",,,,,"E","6","W","1","5.91","5.16","4","7.35","7.34","5000","3000",,,"289","460",,,,,"0.387",,"0.332",,"0.088",,"0.904",,,,"0.127",,"14","20","4",,,,,,,,,,,,,,,,,,,"1.1","0.9",,,,,,,,,,,,"-74.015271","40.662495","Permanent"
"E11",,"1986-06-30T00:00:00.000","1:06 PM",,"21","19","6",,,"28","27",,,,,,,,,,,,,,,,,,,,,"S",,,,"11.8","7.6","5","8.1","8.9","80","20",,,"45","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.8","4.4",,,,,,"-73.763333","40.787500","Permanent"
"K3",,"1964-07-21T00:00:00.000","10:30 AM",,"25","25.6","36",,,"24.85","24.85",,,,,,,,,,,,,,,,,,,,,"N",,,,"0.1","0.5",,,,"1100","1100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6","5",,,,,,,,,,,,"-74.195833","40.637500","Permanent"
"J9A",,"1909-09-17T00:00:00.000","2:00 PM",,"19.5",,,"1",,,,,,,,,,,,,,,,,,,,,,,,"Ebb",,,,"1.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.873667","40.633833","Permanent"
"E9",,"1962-06-11T00:00:00.000","12:30 PM",,"18.3","17.8","69",,,"28.7","28.7",,,,,,,,,,,,,,,,,,,,,"NE",,,,"7.6","7.2",,,,"110","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2",,,,,,,,,,,,"-73.777221","40.832226","Permanent"
"J1",,"1944-08-25T00:00:00.000",,,"19.4","18.9","30",,,"32.55","33.6",,,,,,,,,,,,,,,,,,,,,,,,,"7.57","7.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","3","0.04","0.15","0","0",,,,,,,,"-73.884667","40.573333","Permanent"
"TNM",,"1986-08-21T00:00:00.000","3:35 PM",,"22","22",,,,"26","26",,,,,,,,,,,,,,,,,,,,,"W",,,,"4.1","3.9","8","7.1","7.1","17000","2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.791570","40.799280","Permanent"
"K5A",,"1995-12-12T00:00:00.000","12:31 PM",,"3.6","3.6","29",,,"22.5","29.1","22.4","23",,,,,,,,,,,,,,,,,,,"N","17","N","2","10.78","10.71","3","7.69","7.7",,,,,"72",,,,,,"0.52",,"0.4",,"0.099",,,,,,"0.14",,"28","28","3.4",,,,,,,,,,,,,,,,,,,"1.8","1.8",,,,,,,,,"5.4","6",,"-74.245833","40.484500","Permanent"
"N3A",,"1994-07-26T00:00:00.000","10:44 AM",,,,"43",,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,"5.06","3.57","2","7.51","7.45","700","1700",,,"180","70",,,,,"0.41",,"0.34",,"0.11",,,,,,"0.16",,"17","57","5.8",,,,,,,,,,,,,,,,,,,,,,,,,"1.1","1.8",,,,,,"-73.992497","40.783330","Permanent"
"MVJ",,"1984-08-07T00:00:00.000","7:25 AM",,"24.4","23.9",,,,"11.7","16.8",,,,,,,,,,,,,,,,,,,,,"N",,,,"5.3","2.7",,,,"680","4900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.925149","40.919699","Permanent"
"MVJ",,"1984-08-07T00:00:00.000","7:25 AM",,"24.4","23.9",,,,"11.7","16.8",,,,,,,,,,,,,,,,,,,,,"N",,,,"5.3","2.7",,,,"680","4900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.925149","40.919699","Permanent"
"x271_1912_DO",,"1912-09-13T00:00:00.000","9:30 AM",,,"21.1",,,"40",,,,,,,,,,,,,,,,,,,,,,,"Flood",,,,,"3.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.019444","40.704444","Permanent"
"TNM",,"1968-07-15T00:00:00.000","5:05 PM",,"19.4","18.9",,,,"26.6","26.6",,,,,,,,,,,,,,,,,,,,,"W",,,,"6.1","4.8",,,,"4600","7900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.791570","40.799280","Permanent"
"K5A",,"1996-06-19T00:00:00.000","1:05 PM",,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,"S","27","E","3","7.37","6.89","3","7.47","7.56","60","20",,,"3","1",,,,,"0.351",,"0.523",,"0.106",,"1.65",,,,"0.189",,"26","12","53.4",,,,,,,,,,,,,,,,,,,"3.7","3.1",,,,,,,,,,,,"-74.245833","40.484500","Permanent"
"N8",,"1980-07-15T00:00:00.000","8:58 AM",,"22.8","20.6",,,,"28.3","31.5",,,,,,,,,,,,,,,,,,,,,"N",,,,"4.1","5.4",,,,"11000","9300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.7","2.1",,,,,,"-74.045500","40.606167","Permanent"
"N8",,"1980-07-15T00:00:00.000","8:58 AM",,"22.8","20.6",,,,"28.3","31.5",,,,,,,,,,,,,,,,,,,,,"N",,,,"4.1","5.4",,,,"11000","9300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.7","2.1",,,,,,"-74.045500","40.606167","Permanent"
"J7",,"1953-08-13T00:00:00.000","12:50 PM",,"26.1","24.4","28",,,"27.3","27.3",,,,,,,,,,,,,,,,,,,,,"S",,,,"7.4","4",,,,"3","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6","2","0.001","0.004",,,,,,,,,,"-73.820833","40.645333","Permanent"
"J10",,"1996-09-09T00:00:00.000","12:27 PM",,"25.28","24.5","23","3.28","19.68","24.76","26.55","3.91","4.1","6.79","3.87","95.26","54.19","39.9","68.72","15.54","17.12","71.12","24.82",,,"9.19","3.75",,,,,"S","5","S","1","7.16","4.65","2.5",,,,,,,,,,,,,"0.274",,"0.608",,"0.163",,"1.85",,,,"0.357",,"44","24","70.8",,,,,,,,,,,,,,,,,,,"8","1.4",,,,,,,,,,,,"-73.894721","40.621667","Permanent"
"J5",,"2014-10-07T00:00:00.000",,"D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cancelled. Security Zone.President in Town.",,,"Permanent"
"K1",,"1966-08-09T00:00:00.000","9:18 AM",,"22.2","22.2","35",,,"25.9","25.9",,,,,,,,,,,,,,,,,,,,,"W",,,,"3.6","4.2",,,,"790","490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","2",,,,,,,,,,,,"-74.081945","40.651112","Permanent"
"E5",,"1958-08-11T00:00:00.000","11:20 AM",,"22.2","21.1","66",,,"27.3","27.65",,,,,,,,,,,,,,,,,,,,,"S",,,,"2.4","2.7",,,,"240","120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","1",,,,,,,,,,,,"-73.886111","40.800833","Permanent"
"x1538_1911_DO",,"1911-09-26T00:00:00.000","2:41 PM",,,"20",,,"40",,,,,,,,,,,,,,,,,,,,,,,"Ebb",,,,,"4.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.042778","40.607500","Permanent"
"N3B",,"1959-08-05T00:00:00.000","11:00 AM",,"21.7","21.1","65",,,"23.1","24.15",,,,,,,,,,,,,,,,,,,,,"N",,,,"2.9","2.2",,,,"240","1100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,"-73.965333","40.820833","Permanent"
"E1",,"1940-08-01T00:00:00.000","9:15 AM",,"23.3","22.8","41",,,"23.45","25.2",,,,,,,,,,,,,,,,,,,,,,,,,"2.85","3.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.935","0.185","2","2",,,,,,,,"-74.006548","40.700000","Permanent"
"MVM",,"1970-08-10T00:00:00.000","5:05 PM",,"25.6","23.9",,,,"13.4","20.1",,,,,,,,,,,,,,,,,,,,,"SL",,,,"8","2.5",,,,"35000","4900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.918217","40.917636","Permanent"
"N3",,"1959-06-10T00:00:00.000","11:10 AM",,"22.8","21.7","46",,,"12.6","17.85",,,,,,,,,,,,,,,,,,,,,"N",,,,"3.7","2.7",,,,"23","93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2",,,,,,,,,,,,"-73.954182","40.836396","Permanent"
"H3",,"1956-09-12T00:00:00.000","12:00 PM",,"21.7","21.7","15",,,"25.2","25.2",,,,,,,,,,,,,,,,,,,,,"S",,,,"1.2","1.4",,,,"240","93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","1","0.087","0.147",,,,,,,,,,"-73.933833","40.828000","Permanent"
"E14",,"1997-08-19T00:00:00.000","10:51 AM",,"22.91","22.87","26","3.28","22.96","24.41","24.38","3.68","3.68","2.79","2.85","37.5","38.26","66.13","60.71","15.95","15.94","2.11","2.13",,,"4.14","4.99",,,,,"E","6","N","1","3.58","3.27","3","7.27","7.21",,,,,"62","110",,,,,"0.331",,"0.508",,"0.23",,"1.02",,,,"0.189",,"8","19","5.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.864500","40.800833","Permanent"
"N8",,"1982-07-06T00:00:00.000","1:20 PM",,"22.2","18.9",,,,"22.2","26.4",,,,,,,,,,,,,,,,,,,,,"S",,,,"6.5","6.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.6","2.3",,,,,,"-74.045500","40.606167","Permanent"
"N8",,"1982-07-06T00:00:00.000","1:20 PM",,"22.2","18.9",,,,"22.2","26.4",,,,,,,,,,,,,,,,,,,,,"S",,,,"6.5","6.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.6","2.3",,,,,,"-74.045500","40.606167","Permanent"
"H5",,"1950-08-09T00:00:00.000","1:25 PM",,"23.9","23.3","22",,,"26.25","27.65",,,,,,,,,,,,,,,,,,,,,"N",,,,"0.9","1.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","4",,,"2","3",,,,,,,,"-73.935832","40.787777","Permanent"
"X108",,"1922-06-13T00:00:00.000","5:15 PM",,"22.2","21.7",,,,"10.85","10.85",,,,,,,,,,,,,,,,,,,,,"N",,,,"2.38","2.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.929076","40.845941","Permanent"
"H1",,"1944-08-23T00:00:00.000",,,"25","25","20",,,"16.1","16.1",,,,,,,,,,,,,,,,,,,,,,,,,"2.57","2.57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","0.6","0.7","3","2",,,,,,,,"-73.923884","40.878055","Permanent"
"K6",,"1998-07-29T00:00:00.000","1:02 PM",,"23.49","21.99","20","3.28","19.68","26.1","26.74","3.96","3.93","6.76","7.06","92.62","94.56","46.68","65.79","17.06","17.96",,,,,"7.62","4.19",,,,,"E","11","SW","2","13.57","9.6","3.5","8.75","8.37",,,,,"1","1",,,,,"0.017",,"0.005",,,,"1.03",,"0.248",,"0.168",,"6","6","67.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.100833","40.510333","Permanent"
"N7",,"1921-09-07T00:00:00.000","10:15 AM",,"23","23","47",,,"25.9","30.1",,,,,,,,,,,,,,,,,,,,,"S",,,,"0.67","1.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.053833","40.643833","Permanent"
"NH",,"1968-08-01T00:00:00.000","12:00 PM",,"22.2","22.2",,,,"25.3","25.3",,,,,,,,,,,,,,,,,,,,,"N",,,,"5.8","5.3",,,,"#N/A","#N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.038021","40.609818","Permanent"
"J5",,"1993-11-04T00:00:00.000","1:09 PM",,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,"W",,,,"8.41","8.27","10","7.79","7.84",,,,,,,,,,,"0.72",,"0.8",,"0.12",,,,,,"0.15",,,,"2.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.809000","40.597667","Permanent"
"N5",,"1963-06-19T00:00:00.000","10:15 AM",,"20","18.9","49",,,"26.25","30.45",,,,,,,,,,,,,,,,,,,,,"S",,,,"1.8","3.1",,,,"240","460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","1",,,,,,,,,,,,"-74.030000","40.704500","Permanent"
"N7",,"1969-06-19T00:00:00.000","9:25 AM",,"19.4","19.4",,,,"20","20.7",,,,,,,,,,,,,,,,,,,,,"N",,,,"5.9","4.5",,,,"170000","110000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.4","2.5",,,,,,"-74.053833","40.643833","Permanent"
"x1160_1913_DO",,"1913-07-18T00:00:00.000","12:33 PM",,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,"Ebb",,,,"20.8","2.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.000000","40.699167","Permanent"
"N7",,"1952-09-09T00:00:00.000","9:15 AM",,"20.6","21.7","47",,,"22.4","23.45",,,,,,,,,,,,,,,,,,,,,"N",,,,"2.2","2.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0.34","0.16","3","1",,,,,,,,"-74.053833","40.643833","Permanent"
"N7",,"1918-07-17T00:00:00.000","12:55 PM",,"21","20","47",,,"21.35","27.65",,,,,,,,,,,,,,,,,,,,,"FL",,,,"4.19","4.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.053833","40.643833","Permanent"
"H4",,"1936-08-03T00:00:00.000","12:30 PM",,"25","25","20",,,"25.2","25.9",,,,,,,,,,,,,,,,,,,,,"N",,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.929168","40.803613","Permanent"
"N5B",,"1968-09-04T00:00:00.000","10:15 AM",,"21.7","21.7",,,,"27.3","27.3",,,,,,,,,,,,,,,,,,,,,"S",,,,"4.6","3.5",,,,"70000","47000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.8","3.2",,,,,,"-74.019970","40.693126","Permanent"
"J7",,"1996-06-26T00:00:00.000","1:34 PM",,"22.57","22.17","28","3.28","26.24","24.16","24.49","3.62","3.64","6.6","5.25","87.96","69.66","55.98","61.46","15.85","16.21","53.63","48.68",,,"5.8","4.87",,,,,"E","15","N","2","7.86","6.13","3","7.79","7.71","16000","1100",,,"388","31",,,,,"0.207",,"1.54",,"0.285",,"3.04",,,,"0.43",,"12","16","69.3",,,,,,,,,,,,,,,,,,,"5.5","2.9",,,,,,,,,"6.6","3.7",,"-73.820833","40.645333","Permanent"
"N5",,"1928-08-08T00:00:00.000","10:15 AM",,"23.9","22.8","49",,,"12.25","20.3",,,,,,,,,,,,,,,,,,,,,"S",,,,"2.36","1.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.030000","40.704500","Permanent"
"E7",,"1999-10-05T00:00:00.000","12:50 PM",,"19.65","19.56","35","3.28","42.64","25.38","25.9","35.65","36.24","7.82","10.01","99.37","127.51","69.85","69.04","17.53","17.95",,,,,,,,,,,"SW","7","NE","1","6.82","7.04","7","6.61","6.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.820500","40.805000","Permanent"
"N5",,"1990-11-13T00:00:00.000","3:04 PM",,"11","13","57",,,"6.2","14.5",,,,,,,,,,,,,,,,,,,,,"S",,,,"9.2","8.8","1.5",,,,,,,,,,,,,"0.45",,"0.16",,"0.061",,,,,,"0.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.030000","40.704500","Permanent"
"K6",,"1945-08-21T00:00:00.000","1:55 PM",,"25.56","24.44","18",,,"24.15","24.5",,,,,,,,,,,,,,,,,,,,,"SL",,,,"11","8.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6","4",,,,,,,,,,,,"-74.100833","40.510333","Permanent"
"x735_1909_DO",,"1909-09-21T00:00:00.000","11:45 AM",,"19",,,"1",,,,,,,,,,,,,,,,,,,,,,,,"Flood",,,,"6.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.018056","40.508333","Permanent"
"J10",,"1993-12-15T00:00:00.000","11:38 AM",,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,"W",,,,"11.25","12.21","8","7.93","7.93",,,,,,,,,,,"0.46",,"0.57",,"0.078",,,,,,"0.12",,"6","6","13.3",,,,,,,,,,,,,,,,,,,,,,,,,"1.8","2.1",,,,,,"-73.894721","40.621667","Permanent"
"J3",,"1988-06-16T00:00:00.000","2:10 PM",,"22.1","20","31",,,"26.4","27.4",,,,,,,,,,,,,,,,,,,,,"W",,,,"13.6","10.8",,"8.53","8.25","110","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.6","6.4",,,,,,"-73.882833","40.627000","Permanent"
"E10",,"1992-09-01T00:00:00.000","11:41 AM",,,,"88",,,,,,,,,,,,,,,,,,,,,,,,,"E",,,,"5.03","3.9","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.765333","40.843667","Permanent"
"N3",,"1992-07-02T00:00:00.000","11:09 AM",,,,"51",,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,"6.6","6.74","2.5","7.67","7.63",,,,,,,,,,,"0.28",,"0.31",,"0.056",,,,,,"0.13",,"41","155","3.6",,,,,,,,,,,,,,,,,,,,,,,,,"0.9","1.7",,,,,,"-73.954182","40.836396","Permanent"
"H5",,"1916-09-01T00:00:00.000","10:30 AM",,"23.3","23.3","22",,,"25.55","25.9",,,,,,,,,,,,,,,,,,,,,"FL",,,,"0.89","0.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.935832","40.787777","Permanent"
"N2",,"1982-08-04T00:00:00.000","11:16 AM",,"25.6","23.3",,,,"13.4","20.6",,,,,,,,,,,,,,,,,,,,,"N",,,,"4.4","3.5",,,,"17000","3300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.2","1",,,,,,"-73.930268","40.879447","Permanent"
"N2",,"1982-08-04T00:00:00.000","11:16 AM",,"25.6","23.3",,,,"13.4","20.6",,,,,,,,,,,,,,,,,,,,,"N",,,,"4.4","3.5",,,,"17000","3300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.2","1",,,,,,"-73.930268","40.879447","Permanent"
"E10",,"1963-08-08T00:00:00.000","1:10 PM",,"22.8","21.1","88",,,"31.5","30.8",,,,,,,,,,,,,,,,,,,,,"NE",,,,"5.8","3.8",,,,"24","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","1",,,,,,,,,,,,"-73.765333","40.843667","Permanent"
"X26",,"1934-09-19T00:00:00.000","2:20 PM",,"21.1","20.6",,,,"34.3","34.3",,,,,,,,,,,,,,,,,,,,,"W",,,,"7.48","7.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.747027","40.592873","Permanent"
"X20",,"1932-09-14T00:00:00.000","12:45 PM",,"20","19.4",,,,"33.6","33.95",,,,,,,,,,,,,,,,,,,,,"E",,,,"8.49","8.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.815776","40.591146","Permanent"
"TNM",,"1970-08-06T00:00:00.000","2:06 PM",,"21.1","20.6",,,,"27.7","28.2",,,,,,,,,,,,,,,,,,,,,"W",,,,"4.5","3.3",,,,"#N/A","#N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.791570","40.799280","Permanent"
"X1",,"1920-07-22T00:00:00.000","11:20 AM",,"21.5","21",,,,"18.2","21.35",,,,,,,,,,,,,,,,,,,,,"FL",,,,"2.87","3.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.007222","40.687500","Permanent"
"J10",,"1994-01-06T00:00:00.000","11:38 AM",,"1.41","1.45","18","2","5","26.64","26.95","2.36","2.39",,,,,,,"21.31","21.56",,,,,,,,,,,"N",,,,"11.6","11.35","8","8.08","8.09",,,,,,,,,,,"0.42",,"1",,"0.088",,,,,,"0.13",,"11","12","15.2",,,,,,,,,,,,,,,,,,,,,,,,,"2.3","2.3",,,,,,"-73.894721","40.621667","Permanent"
"J7",,"1971-07-01T00:00:00.000","11:25 AM",,"25.6","25",,,,"25.4","27.2",,,,,,,,,,,,,,,,,,,,,"E",,,,"6","2.9",,,,"1700","450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.1","4.1",,,,,,"-73.820833","40.645333","Permanent"
"E4",,"1984-10-03T00:00:00.000","9:50 AM",,"17.2","17.8",,,,"25.2","25.4",,,,,,,,,,,,,,,,,,,,,"W",,,,"5.6","5.6",,,,"33000","23000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.9","1.7",,,,,,"-73.922000","40.782500","Permanent"
"E4",,"1984-10-03T00:00:00.000","9:50 AM",,"17.2","17.8",,,,"25.2","25.4",,,,,,,,,,,,,,,,,,,,,"W",,,,"5.6","5.6",,,,"33000","23000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.9","1.7",,,,,,"-73.922000","40.782500","Permanent"
"K5A",,"2019-10-22T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Canncelled due to swells","-74.24583333","40.4845","Permanent"
"NW",,"1982-07-20T00:00:00.000","5:00 PM",,"23.3","23.3",,,,"25.2","26.5",,,,,,,,,,,,,,,,,,,,,"N",,,,"4.5","4.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.052330","40.605770","Permanent"
"NW",,"1982-07-20T00:00:00.000","5:00 PM",,"23.3","23.3",,,,"25.2","26.5",,,,,,,,,,,,,,,,,,,,,"N",,,,"4.5","4.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.052330","40.605770","Permanent"
