"the_geom","nodeid","oft","onstreetname","fromstreetname","borough_code","work_start_date","work_end_date","purpose"
"POINT (1019518.189622134 217841.8934341371)","46954","407240419040000000","25 AVENUE","97 STREET","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013392.6572538018 241911.71668547392)","48010","214720233720000000","BRISTOW STREET","FREEMAN STREET","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1044067.9689345509 215889.0462899804)","59467","409740445890000000","42 ROAD","FRANCIS LEWIS BOULEVARD","Q","2023-06-29T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (949839.9979420602 161456.47995847464)","6737","515255529945000000","ALEXANDRA PLACE","GOWER STREET","S","2023-08-11T00:00:00","2023-08-14T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1009669.5426528007 244286.95570139587)","9039516","220020226760000000","CLAY AVENUE","EAST  170 STREET","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013030.059553802 209913.77641639113)","45509","414440468290000000","68 STREET","WOODSIDE AVENUE","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1040925.7606520504 204129.385098055)","58484","415840424810000000","76 AVENUE","174 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1000555.4424427152 209732.96312972903)","40622","407490428980000000","27 STREET","AUSTELL PLACE","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1034673.0963201374 210403.26362639666)","55666","423290436400000000","150 STREET","BOOTH MEMORIAL AVENUE","Q","2023-07-24T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1012320.5731118917 241767.63232797384)","47923","233720270420000000","FREEMAN STREET","UNION AVENUE","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (998037.5442633033 233078.80784215033)","24210","110610136190000000","7 AVENUE","WEST  121 STREET","M","2023-07-07T00:00:00","2023-08-28T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013761.3773168921 241742.1763421446)","48014","233720242020000000","FREEMAN STREET","INTERVALE AVENUE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1015722.3015446365 233146.4589535594)","47469","248820271750000000","MANIDA STREET","VIELE AVENUE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010420.3928571343 208038.07806806266)","45159","412290453090000000","59 PLACE","LAUREL HILL BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (997908.1646008044 210171.43666222692)","23018","410590450990000000","48 AVENUE","JACKSON AVENUE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (923771.7954853922 129133.24047122896)","679","515650518105000000","AMBOY ROAD","BEDELL STREET","S","2023-07-27T00:00:00","2023-09-30T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1028750.3066565543 204378.61393031478)","50513","414290447390000000","68 DRIVE","GRAND CENTRL PARKWAY","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1009744.0953252167 214482.53007414937)","41918","408190411120000000","32 AVENUE","53 PLACE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1012902.6815277189 209568.23248806596)","45405","409840414440000000","43 AVENUE","68 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033237.3842965513 215555.76316389441)","55637","436590461390000000","BOWNE STREET","SANFORD AVENUE","Q","2023-07-24T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033478.1971351355 206918.12295889854)","54920","423090455390000000","147 STREET","MELBOURNE AVENUE","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (998163.8136958033 233307.36086273193)","24211","110610136210000000","7 AVENUE","WEST  122 STREET","M","2023-07-07T00:00:00","2023-08-28T00:00:00","DOT IN-HOUSE PAVING"
"POINT (998406.7134724706 156910.72461430728)","17069","335780345730000000","EAST   22 STREET","GRAVESEND NECK ROAD","B","2023-08-18T00:00:00","2023-08-22T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010041.7420396358 213732.36786055565)","46184","411390457790000000","54 STREET","NORTHERN BOULEVARD","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1015795.7069096416 241047.39754797518)","48169","213620233720000000","BOONE AVENUE","FREEMAN STREET","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037346.7819176316 203601.4924530536)","55185","415840424040000000","76 AVENUE","160 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1044134.1075818092 206342.8321147263)","58790","415390425225000000","73 AVENUE","187 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1012838.0881529748 241836.51670464873)","47928","233720247620000000","FREEMAN STREET","LYMAN PLACE","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033626.6646859646 205747.3871113956)","54912","414640423090000000","69 ROAD","147 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1012243.5621110499 242322.71980047226)","47933","242720270420000000","JENNINGS STREET","UNION AVENUE","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013165.2597427219 209874.20300473273)","45512","414690468290000000","69 STREET","WOODSIDE AVENUE","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (972962.9001869708 167598.82955040038)","11419","377130377136000000","SHORE ROAD","SHORE ROAD LANE","B","2023-08-08T00:00:00","2023-08-16T00:00:00","DOT IN-HOUSE MILLING"
"POINT (995777.076343298 201299.1417428106)","22030","319530366430000000","BERRY STREET","NORTH    8 STREET","B","2023-08-15T00:00:00","2023-08-17T00:00:00","DOT IN-HOUSE PAVING"
"POINT (998291.3265641332 233536.38304246962)","24212","110610136230000000","7 AVENUE","WEST  123 STREET","M","2023-07-07T00:00:00","2023-08-28T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1015583.788042143 235158.56779022515)","47480","221320260520000000","COSTER STREET","RANDALL AVENUE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1041866.7925626338 226125.2003583163)","60180","410600440990000000","CIP SOUTHBOUND EXIT   33","CROSS ISLAND PARKWAY","Q","2023-07-24T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (973065.0915836394 166089.5776476413)","11448","363530377130000000","NARROWS AVENUE","SHORE ROAD","B","2023-08-08T00:00:00","2023-08-16T00:00:00","DOT IN-HOUSE MILLING"
"POINT (987948.6704122275 168771.96696789563)","13652","306680309130000000","16 AVENUE","51 STREET","B","2023-08-09T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1012475.9530504644 220057.7059316486)","47040","406590410740000000","21 AVENUE","49 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1017363.0200479776 207353.5321930647)","45893","447190447290000000","GOLDSMITH STREET","GRAND AVENUE","Q","2023-08-02T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1025133.1715023816 207728.482230559)","50142","412790450290000000","62 AVENUE","HORACE HARDING EXPRESSWAY","Q","2023-07-24T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013111.0275677145 208994.83796556294)","45500","414690459990000000","69 STREET","QUEENS BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1011261.1723435521 214694.46206498146)","46301","408190412690000000","32 AVENUE","60 STREET","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1036879.158180967 202753.83371530473)","55114","416090458590000000","77 ROAD","PARSONS BOULEVARD","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1010488.3261202276 214586.5587374717)","46199","408190411790000000","32 AVENUE","56 STREET","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1009576.4414610565 247067.7135913074)","44282","226880229720000000","EAST  174 STREET","EASTBURN AVENUE","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1024735.7116673887 207570.0245422274)","50137","412790468690000000","62 AVENUE","YELLOWSTONE BOULEVARD","Q","2023-07-24T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010240.4394768924 214551.17494997382)","46198","408190411590000000","32 AVENUE","55 STREET","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (987786.6038072258 168567.71868872643)","13651","306680309180000000","16 AVENUE","52 STREET","B","2023-08-09T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1015721.2152607143 234472.58491022885)","47474","221320254520000000","COSTER STREET","OAK POINT AVENUE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1011913.7563402206 195543.42490780354)","69542","414390441700000000","68 ROAD","DEAD END","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1037099.0035417974 201998.20858614147)","55169","416340458590000000","79 AVENUE","PARSONS BOULEVARD","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (985610.7682638913 174611.96480230987)","14128","305980308530000000","9 AVENUE","39 STREET","B","2023-08-10T00:00:00","2023-08-15T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1002099.0059566349 199846.41170863807)","27529","362630376270000000","MORGAN AVENUE","SHARON STREET","B","2023-08-17T00:00:00","2023-08-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1036740.5495343059 203258.9665633142)","55117","415940458590000000","76 ROAD","PARSONS BOULEVARD","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013892.7845343947 241740.52936381102)","48016","233720265020000000","FREEMAN STREET","SIMPSON STREET","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1039801.7441993058 205831.9768372327)","55355","424590451590000000","170 STREET","JEWEL AVENUE","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1013989.3033702224 236221.55746214092)","47374","211020216720000000","BARRY STREET","BURNETT PLACE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1035741.7129493058 198976.82027198374)","34938","417130441475000000","84 ROAD","DANIELS STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1039807.7776518017 204782.5107603073)","55347","415390424590000000","73 AVENUE","170 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1038163.2763476372 202058.68385888636)","55258","424140465590000000","162 STREET","UNION TURNPIKE","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1013517.5188807249 251311.36127197742)","9008779","227180256820000000","EAST  184 STREET","PARK AVENUE","X","2023-08-07T00:00:00","2023-11-05T00:00:00","CONTRACT ROADWAY MILLING"
"POINT (1010726.4686885476 210887.87584614754)","46162","412690457900000000","60 STREET","NYCTA SUBWAY","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (995613.0609233081 201097.81340530515)","22029","319530366330000000","BERRY STREET","NORTH    7 STREET","B","2023-08-15T00:00:00","2023-08-17T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1038029.9006301314 202397.8140861392)","55257","416240424140000000","78 ROAD","162 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1036041.8632676303 213905.5827372223)","55839","451290458590000000","JASMINE AVENUE","PARSONS BOULEVARD","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1028500.8648982197 203442.17584255338)","50504","420590451590000000","112 STREET","JEWEL AVENUE","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1034250.3645540476 205993.33478222787)","54996","414640423290000000","69 ROAD","150 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1009988.9012660533 214517.8715388924)","41919","408190411390000000","32 AVENUE","54 STREET","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1004561.6975535601 211024.0993269831)","41579","409090409840000000","38 STREET","43 AVENUE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1015230.2815313041 241507.38022381067)","48166","233720246620000000","FREEMAN STREET","LONGFELLOW AVENUE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1038937.363054052 203836.16389971972)","55271","415840424340000000","76 AVENUE","166 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1009667.7831418812 201772.68705555797)","41209","412140447290000000","58 ROAD","GRAND AVENUE","Q","2023-08-02T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1014122.8595335484 243770.44328297675)","48095","213820226820000000","BOSTON ROAD","EAST  172 STREET","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1041144.1234043092 225873.77336773276)","102576","410600440990000000","CIP SOUTHBOUND EXIT   33","CROSS ISLAND PARKWAY","Q","2023-07-24T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1039679.9760701358 203945.57969139516)","55337","415840424540000000","76 AVENUE","169 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1009780.6306852251 246407.3372873962)","66444","229520273820000000","EAST MT EDEN AVENUE","WEEKS AVENUE","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1017247.7807771415 233453.42684355378)","47589","224965271750000000","DRAKE STREET","VIELE AVENUE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037456.2141134739 202838.6432569772)","55179","416090424040000000","77 ROAD","160 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (984285.9831838012 214621.27750006318)","9038684","113370134470000000","HUDSON BOULEVARD","WEST   35 STREET","M","2023-07-26T00:00:00","2023-08-12T00:00:00","PLACE CRANE OR SHOVEL ON STREET"
"POINT (1044903.3314370513 205024.19958139956)","58789","425240465590000000","188 STREET","UNION TURNPIKE","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1035478.7607192993 199545.08029031754)","34946","441475450190000000","DANIELS STREET","HOOVER AVENUE","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1011857.4375552237 219389.77419663966)","46345","410740442490000000","49 STREET","DITMARS BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010322.4668718874 247017.58573880792)","47786","226880269220000000","EAST  174 STREET","TOPPING AVENUE","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1031776.7113648802 204756.86776697636)","54724","422490451590000000","137 STREET","JEWEL AVENUE","Q","2023-06-13T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1017636.3462729752 207450.94341556728)","45897","447290466190000000","GRAND AVENUE","VAN LOON STREET","Q","2023-08-02T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1020022.8014738113 217911.48975163698)","50728","407240419190000000","25 AVENUE","POWER ROAD","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1044631.6689226329 205766.5767055601)","58787","415690425240000000","75 AVENUE","188 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1011906.336735636 214785.63084588945)","9034562","408190410225000000","32 AVENUE","BROOKLYN QUEENS EXPWY ET   41 WB","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1045440.705362305 208457.6638430655)","58901","425635413990000000","195 LANE","67 AVENUE","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1023676.7508587986 205735.55970722437)","50030","413040419070000000","63 DRIVE","98 PLACE","Q","2023-07-24T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037200.0696126372 204591.0934922248)","55195","415140424040000000","72 AVENUE","160 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (996271.8850649744 201903.13003614545)","22101","319530366730000000","BERRY STREET","NORTH   11 STREET","B","2023-08-15T00:00:00","2023-08-17T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1014223.6952898949 252599.08507446945)","9046546","250730256820000000","METRO NORTH RR","PARK AVENUE","X","2023-08-07T00:00:00","2023-11-05T00:00:00","CONTRACT ROADWAY MILLING"
"POINT (1011012.7902943939 214659.33090163767)","46300","408190412190000000","32 AVENUE","58 STREET","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037841.1510076374 203674.2350897342)","55189","415840424140000000","76 AVENUE","162 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1010428.6346385479 208370.73816388845)","45168","410590412290000000","48 AVENUE","59 PLACE","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (994568.7224608064 199811.333038643)","19533","319530345130000000","BERRY STREET","GRAND STREET","B","2023-08-16T00:00:00","2023-08-17T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033481.3831523806 206122.60289639235)","54917","414290423090000000","68 DRIVE","147 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1004809.1609693915 210987.24867889285)","41573","409290409840000000","39 STREET","43 AVENUE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1028078.3985515535 202716.66154555976)","50494","414810420390000000","70 ROAD","110 STREET","Q","2023-07-11T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1009785.7947168946 207585.54616472125)","41253","412090453090000000","58 PLACE","LAUREL HILL BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1005589.2283068895 210869.053377226)","41631","409640409840000000","41 STREET","43 AVENUE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1027982.3980873823 202958.1574536413)","50387","414740420390000000","70 AVENUE","110 STREET","Q","2023-07-11T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1005332.339384973 210907.88892947137)","41629","409490409840000000","40 STREET","43 AVENUE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1038352.9249184728 203238.65886114538)","55267","416040424240000000","77 AVENUE","164 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1039185.6627542973 203872.4007038921)","55333","415840424390000000","76 AVENUE","167 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1010706.1734535545 208865.664995566)","45174","410440412690000000","47 AVENUE","60 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1016187.3760738075 210256.87612389028)","66996","416590468290000000","80 STREET","WOODSIDE AVENUE","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1008532.6968293935 241469.05385689437)","44152","220020226640000000","CLAY AVENUE","EAST  166 STREET","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1002022.5592591316 196965.05920363963)","27504","353530392670000000","JOHNSON AVENUE","WHITE STREET","B","2023-08-18T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010611.6985768825 214605.0957738906)","46201","408190428020000000","32 AVENUE","AMTRAK RAILROAD","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1012706.4119071364 241819.72211880982)","47927","233720259520000000","FREEMAN STREET","PROSPECT AVENUE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1041263.9984926432 225740.38124606013)","60159","425890440990000000","200 STREET","CROSS ISLAND PARKWAY","Q","2023-07-24T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010726.4686885476 210887.87584614754)","46162","412690457900000000","60 STREET","NYCTA SUBWAY","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1019513.4914688021 216066.36253640056)","46943","418890451010000000","96 STREET","JACKSON MILL ROAD","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037953.9034067988 202912.422308892)","55183","416090424140000000","77 ROAD","162 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1007441.1012435555 246173.7977282256)","44100","226820252710000000","EAST  172 STREET","NYCTA SUBWAY","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1014765.0101521313 243166.4746746421)","48100","226820252710000000","EAST  172 STREET","NYCTA SUBWAY","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1003903.6083185524 221701.22626663744)","42141","405790407340000000","12 STREET","26 AVENUE","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1019361.7266804725 217158.61396081746)","46951","418890428790000000","96 STREET","ASTORIA BOULEVARD","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (962491.8879925609 150425.3766926378)","9852","541311547150000000","OCEANSIDE AVENUE","SEAVIEW AVENUE","S","2023-06-15T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010593.5522877276 213813.26992972195)","46194","411790457790000000","56 STREET","NORTHERN BOULEVARD","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (996728.3080366403 222545.68947272003)","23586","110210118670000000","3 AVENUE","EAST   84 STREET","M","2023-07-20T00:00:00","2023-09-01T00:00:00","CONTRACT ROADWAY MILLING"
"POINT (1015020.9610837996 243049.909947142)","48182","226820240120000000","EAST  172 STREET","HOE AVENUE","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037028.7904276401 202249.96989364922)","55177","416240458590000000","78 ROAD","PARSONS BOULEVARD","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1037991.6851553917 202655.04454280436)","55182","416190424140000000","78 AVENUE","162 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1019770.3938421309 217876.19454663992)","46957","407240419090000000","25 AVENUE","98 STREET","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1013421.5482721329 219942.92269665003)","46525","406590415790000000","21 AVENUE","75 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1044183.3591237217 226762.3611574769)","69662","435690440990000000","BELL BOULEVARD","CROSS ISLAND PARKWAY","Q","2023-07-24T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1032746.5548976362 216989.86757914722)","55589","408990436590000000","38 AVENUE","BOWNE STREET","Q","2023-07-24T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033080.6949773878 205538.36850056052)","54909","414640454580000000","69 ROAD","MAIN STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033892.8616601378 215830.4443730563)","55640","435780458590000000","BEND","PARSONS BOULEVARD","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010444.4876252264 208956.69171638787)","45169","410440412290000000","47 AVENUE","59 PLACE","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037803.5723426342 203921.58728531003)","55190","415740424140000000","75 ROAD","162 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010409.8810671419 215151.02972139418)","46204","407990411790000000","31 AVENUE","56 STREET","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1028025.573854059 204651.80892197788)","50508","414240420590000000","68 AVENUE","112 STREET","Q","2023-07-24T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037273.3437443078 204095.73687139153)","55193","415690424040000000","75 AVENUE","160 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1039868.9750359654 204372.5867113918)","55346","415690424590000000","75 AVENUE","170 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1014172.1963771433 241737.20587964356)","48082","233720252710000000","FREEMAN STREET","NYCTA SUBWAY","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1039009.5738676339 203342.99231389165)","55332","416040424340000000","77 AVENUE","166 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1024115.0206515491 207325.73041139543)","50127","412790419540000000","62 AVENUE","102 STREET","Q","2023-07-24T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1039051.1095457226 203074.5581394732)","55330","416090424340000000","77 ROAD","166 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (949805.3060823083 161704.18910872936)","6738","529945543205000000","GOWER STREET","PENN STREET","S","2023-08-11T00:00:00","2023-08-14T00:00:00","DOT IN-HOUSE PAVING"
