"amenitytype","borough","communityboard","councildistrict","gispropnum","hours","languagecode","mountingsurface","nametext","omppropid","parkdistrict","precinct","propertylocation","propertyname","secondlanguage","signcode","signcodewithlanguage","signstatus","signtype","subpropertyname","system","thirdlanguage","zipcode","point"
"Park with Dog Run; No Off Leash (2403)","M","105","2","M089","6:00 a.m. to 1:00 a.m.","XX-005","Wall",,,"M-05","13","Broadway To 4 Ave., E 14 St. To E 17 St.","Union Square Park","Spanish","2403","2403-005","Installed","Consolidated Rules Sign",,,"Chinese","10003","POINT (-73.9904622235464 40.7351237354865)"
"Park without Dog Run; No Off-Leash (2401)","M","110","9","M014",,"XX-001","None / Free Standing",,,"M-10","30","Bradhurst Av and Edgecombe Av, W 145 St To","Jackie Robinson Park","Spanish","2401","2401-001","Installed","Consolidated Rules Sign",,,"French","10039","POINT (-73.93932178875092 40.82849653841253)"
"Comfort Station","B","308","35","B350",,"XX-007","Wall",,,"B-08","77","Sterling Pl. to Park Pl. between Classon Ave. and Washington Ave.","Stroud Playground","Spanish",,,"Surveyed","Consolidated Rules Sign",,"30186","French Creole","11238","POINT (-73.96225018766896 40.674968867966854)"
"Playground - Children Only (2601)","B","304","37","B017","6:00 a.m. to 9:00 p.m.","XX-005","Wrought Iron / Steep Picket Fence",,,"B-04","83","Knickerbocker Ave. bet. Woodbine St. and Putnam Ave.","Bushwick Playground","Spanish","2601","2601-005","Installed","Consolidated Rules Sign",,,"Chinese","11237","POINT (-73.91139162926015 40.695864247748474)"
"Park without Dog Run; No Off-Leash (2401)","Q","414","32","Q467",,"XX-008","None / Free Standing",,,"Q-14","100","Cross Bay Blvd. bet. W. 20 Rd. and Beach Channel","Broad Channel American Park","Spanish","2401","2401-008","Installed","Consolidated Rules Sign",,,"Russian","11693","POINT (-73.8218371507224 40.597557276465636)"
"Playground - Adults Allowed (2600)","Q","414","31","Q403","6:00 a.m. to 9:00 p.m.","XX-008","Chain Link Fence - 2""",,,"Q-14","100","B 80 St., B 79 St., Rockaway Beach Blvd., Beach Channel Dr.","Beach Channel Playground","Spanish","2600","2600-008","Installed","Consolidated Rules Sign",,"47554","Russian","11693","POINT (-73.80557730460677 40.589212285783844)"
"Park without Dog Run; No Off-Leash (2401)","X","203","16","X243",,"XX-001","Wrought Iron / Steep Picket Fence",,,"X-03","42","3 Av to Fulton Av bet. E 167 St and E 166 St","Estella Diggs Park","Spanish","2401","2401-001","Installed","Consolidated Rules Sign",,,"French","10456","POINT (-73.90651377439346 40.82925199899638)"
"Map","M","164","6","M010",,,"None / Free Standing",,"M010-ZN24&25","M-13","22","5 Av To Central Park W, 59 St To 110 St","Central Park",,,,"Surveyed","Wayfinding Sign","Belvdre. Cstl., Turtle Pond, Shkspr Grdn","48805",,"83","POINT (-73.9679035276856 40.7803759062673)"
"Track + Athletic Field plus hours (2902)","Q","412","27","Q448",,"XX-004","Chain Link Fence - 2""",,"Q448-ZN03","Q-12","113","Merrick Blvd. bet. 115 Ave., 116 Ave., and Baisley Blvd.","Roy Wilkins Recreation Center","Spanish","2902","2902-004","Installed","Consolidated Rules Sign","Roy Wilkins Rec Center Zone 3",,"Bengali","11434","POINT (-73.77420675552875 40.6879777436068)"
"Playground - Children Only (2601)","Q","414","32","Q163","6:00 a.m. to 9:00 p.m.","XX-008","Chain Link Fence - 2""",,"Q163-ZN05B","Q-14","100","Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.","Rockaway Beach Boardwalk","Spanish","2601","2601-008","Installed","Consolidated Rules Sign","Rockaway Beach 05b","27866","Russian","11693","POINT (-73.80923028883014 40.585209795126964)"
"Athletic Field / Court - Hours (1500)","B","306","39","B095",,"XX-001","Chain Link Fence - 2""",,,"B-06","78","11 St., 12 St. bet. 2 Ave. and 3 Ave.","Ennis Playground","Spanish","1500","1500-001","Installed","Consolidated Rules Sign",,"29859","French","11215","POINT (-73.99391986792237 40.670440011483954)"
"Playground - Adults Allowed (2600)","M","102","1","M218","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-005",,,,"M-02","5","Spring St. and Mulberry St.","DeSalvio Playground","Spanish","2600","2600-005","Installed","Consolidated Rules Sign",,"48493","Chinese","10012","POINT (-73.9959799358596 40.72179884752986)"
"GT Garden (2000)","M","103","2","M354",,"XX-005","Wrought Iron / Steep Picket Fence",,,"M-03","9","E. 4 St. bet. Ave. C and Ave. D","Orchard Alley Garden","Spanish","2000","2000-005","Installed","Consolidated Rules Sign",,,"Chinese","10009","POINT (-73.9783532522553 40.721434130392524)"
"Park without Dog Run; No Off-Leash (2401)","B","301","33","B226",,"XX-006","Wrought Iron / Steep Picket Fence",,,"B-01","94","Union Ave., Meeker Ave., Jackson St.","Mt. Carmel Triangle","Spanish","2401","2401-006","Installed","Consolidated Rules Sign",,,"Yiddish","11211","POINT (-73.95182011865484 40.715876691100064)"
"Athletic Field / Court - Hours (1500)","B","303","41","B224",,"XX-006","Chain Link Fence - 1""",,,"B-03","81","Monroe St. to Madison St. between Patchen Ave. and Ralph Ave.","P.O. Reinaldo Salgado Playground","Spanish","1500","1500-006","Installed","Consolidated Rules Sign",,"29138","Yiddish","11221","POINT (-73.92522137456831 40.68785108105279)"
"Park without Dog Run; No Off-Leash (2401)","M","110","9","M014",,"XX-001","Pipe Rail",,,"M-10","30","Bradhurst Av and Edgecombe Av, W 145 St To","Jackie Robinson Park","Spanish","2401","2401-001","Installed","Consolidated Rules Sign",,"34410","French","10039","POINT (-73.93895198520558 40.82928163531129)"
"Park without Dog Run; No Off-Leash (2401)","Q","412","27","Q448",,"XX-004","None / Free Standing",,"Q448-ZN03","Q-12","113","Merrick Blvd. bet. 115 Ave., 116 Ave., and Baisley Blvd.","Roy Wilkins Recreation Center","Spanish","2401","2401-004","Installed","Consolidated Rules Sign","Roy Wilkins Rec Center Zone 3",,"Bengali","11434","POINT (-73.7748799897733 40.68801638659965)"
"Athletic Field / Court - Hours (1500)","Q","408","23","Q021",,"XX-005","Chain Link Fence - 2""",,"Q021-ZN03","Q-08","107","Horace Harding Expwy, Grand Central Pkwy","Cunningham Park","Spanish","1500","1500-005","Installed","Consolidated Rules Sign","Cunningham Park Zone 3","28552","Chinese","11364","POINT (-73.76791229449492 40.73493370316249)"
"Park without Dog Run; No Off-Leash (2401)","B","302","33","B113E",,"XX-005","Wrought Iron / Steep Picket Fence",,,"B-02","84","Cadman Plaza East, Adams St. bet. Red Cross Pl. and Tillary St.","Walt Whitman Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,"31946","Chinese","11201","POINT (-73.98894092446646 40.69884239574271)"
"GT Garden (2000)","M","103","2","M310",,"XX-005","Chain Link Fence - 1 3/4""",,,"M-03","9","E. 8 St. bet. Ave. C and Ave. D","Firemen's Memorial Garden","Spanish","2000","2000-005","Installed","Consolidated Rules Sign",,,"Chinese","10009","POINT (-73.97784011342421 40.72438870403047)"
"Playground - Adults Allowed (2600)","Q","414","31","Q367","6:00 a.m. to 9:00 p.m.","XX-008","Chain Link Fence - 2""",,,"Q-14","100","Rockaway Beach Blvd. bet. Beach 84 St. and Beach 81 St.","Hammel Playground","Spanish","2600","2600-008","Installed","Consolidated Rules Sign",,"27973","Russian","11693","POINT (-73.80940496995865 40.587936914317474)"
"Comfort Station – M + Accessible + Family (1810)","Q","401","22","Q332",,"XX-009","Wall",,,"Q-01","114","20 Ave. bet. 37 St. and 38 St.","Woodtree Playground","Spanish","1810","1810-009","Installed","Consolidated Rules Sign",,"26367","Greek","11105","POINT (-73.9025502148557 40.777521140671865)"
"Combo: Playground / Court (2602)","Q","403","21","Q373",,"XX-005","Chain Link Fence - 2""",,,"Q-03","115","100 St., 98 St. bet. 24 Ave. and 25 Ave.","Helen Marshall Playground","Spanish","2602","2602-005","Installed","Consolidated Rules Sign",,"26155","Chinese","11369","POINT (-73.87017030928392 40.765897883142564)"
"Athletic Field / Court - No Hours (1501)","M","109","7","M056",,"XX-005","Chain Link Fence - 1""",,"M056-01","M-09","26","W 110 St To W 123 St, Manhattan Av To Morningside Av","Morningside Park","Spanish","1501","1501-005","Installed","Consolidated Rules Sign","Playground 123",,"Chinese","10026","POINT (-73.95597547632177 40.80926354847276)"
"Athletic Field / Court - Hours (1500)","B","313","47","B129",,"XX-015","Chain Link Fence - 2""",,"B129-ZN01","B-13","60","Neptune Ave., Bayview Ave.,W. 24 St. to W. 32 St.","Kaiser Park","Chinese","1500","1500-015","Installed","Consolidated Rules Sign","Kaiser Park Zone 1","31059","Russian","11224","POINT (-73.99588860284442 40.578344999643896)"
"Park without Dog Run; No Off-Leash (2401)","Q","405","30","Q020",,"XX-005","None / Free Standing",,"Q020-ZN01","Q-05A","104","Highland Blvd, Jamaica Ave, Jackie Robinson Pkwy","Highland Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign","Highland Park Zone 1","28423","Chinese","11385","POINT (-73.88999112366642 40.68818354358018)"
"Athletic Field / Court - Hours (1500)","B","305","42","B345",,"XX-008","Chain Link Fence - 1""",,,"B-05","75","Wortman Ave. between Vermont St. and New Jersey Ave.","Ethan Allen Playground","Spanish","1500","1500-008","Installed","Consolidated Rules Sign",,"29462","Russian","11207","POINT (-73.88699122637067 40.6558162080677)"
"Athletic Field / Court - Hours (1500)","B","317","45","B234",,"XX-007","Chain Link Fence - 1""",,,"B-17","67","Tilden Ave. between E. 48 St. and E. 49 St.","Tilden Playground","Spanish","1500","1500-007","Installed","Consolidated Rules Sign",,,"French Creole","11203","POINT (-73.93149148038789 40.64789492598288)"
"GT Garden (2000)","B","305","42","B515",,"XX-008","Chain Link Fence - 2""",,,"B-05","75","Schenck Ave. bet. Livonia Ave. and New Lots Ave.","United Community Center","Spanish","2000","2000-008","Installed","Consolidated Rules Sign",,,"Russian","11207","POINT (-73.8866074763703 40.665205277949006)"
"Park without Dog Run; No Off-Leash (2401)","R","501","49","R078",,"XX-005","Wrought Iron / Steep Picket Fence",,,"R-01","121","Burnside Ave. to North Ave. at Shaw Pl. and Eldridge Ave.","Northerleigh Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,"32215","Chinese","10302","POINT (-74.13271049182863 40.62286026521197)"
"Park without Dog Run; No Off-Leash (2401)","M","107","6","M048","6:00 a.m. to 1:00 a.m.","XX-005","None / Free Standing",,"M071-ZN09","M-14","24","Riverside Dr., W. 91 St. To W. 95 St.","Joan Of Arc Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign","Joan Of Arc Island",,"Chinese","10024","POINT (-73.97656107524202 40.79464959375932)"
"Athletic Field / Court - Hours (1500)","M","111","9","M204",,"XX-005",,,,"M-11","25","Madison Ave. bet. E. 130 St. and E. 131 St.","Moore Playground","Spanish","1500","1500-005","Installed","Consolidated Rules Sign",,"48598","Chinese","10037","POINT (-73.93873119295681 40.8095160106477)"
"Park without Dog Run; No Off-Leash (2401)","M","164","6","M010",,,"Wall",,"M010-ZN01","M-13","22","5 Av To Central Park W, 59 St To 110 St","Central Park",,"2401","2401","Surveyed","Consolidated Rules Sign","Wien Walk And Arsenal","48741",,"83","POINT (-73.97271050536683 40.76521233019585)"
"Barbecue Area (1600)","Q","482","30","Q015",,,"Other (Leave Comment)",,"Q015-ZN06","Q-16","102","Myrtle Ave, Union Tpke, Park Lane S","Forest Park",,"1600","1600","Installed","Consolidated Rules Sign","The Bandshell","28527",,"11385","POINT (-73.8584967418144 40.69947171494698)"
"Park with Dog Run; No Off Leash (2403)","Q","402","26","Q141",,"XX-005","Wrought Iron / Steep Picket Fence",,,"Q-02","108","45 Ave., 45 Rd. bet. 11 St. and 21 St.","Murray Playground","Spanish","2403","2403-005","Installed","Consolidated Rules Sign",,"27037","Chinese","11101","POINT (-73.9477881162518 40.74726899192071)"
"Playground - Adults Allowed (2600)","Q","406","29","Q357B","6:00 a.m. to 9:00 p.m.","XX-015","Wrought Iron / Steep Picket Fence",,,"Q-06","112","Horace Harding Exwy. Sr. Rd. S., 62 Ave. bet. 99 St. and 102 St.","Real Good Playground","Chinese","2600","2600-015","Installed","Consolidated Rules Sign",,"28070","Russian","11374","POINT (-73.85702237588399 40.73546010616932)"
"Comfort Station – W + Accessible (1804)","Q","412","27","Q448",,"XX-004","Wall",,"Q448-ZN02A","Q-12","113","Merrick Blvd. bet. 115 Ave., 116 Ave., and Baisley Blvd.","Roy Wilkins Recreation Center","Spanish","1804","1804-004","Installed","Consolidated Rules Sign","Roy Wilkins Rec Center Zone 2A","26567","Bengali","11434","POINT (-73.77252876112217 40.68769117371269)"
"Playground - Adults Allowed (2600)","R","595","50","R016","6:00 a.m. to 9:00 p.m.",,"None / Free Standing",,"R016-01","R-03","122","Hylan Blvd., Old Mill Rd., Cedar Grove Ave. bet. Hopkins Ave. and New Dorp La.","Great Kills Park",,"2600","2600","Installed","Consolidated Rules Sign","Corporal Allan F. Kivlehan Park","32420",,"10306","POINT (-74.09759947049766 40.56435522132255)"
"GT Garden (2000)","B","304","37","B481",,"XX-005","Chain Link Fence - 2""",,,"B-04","83","Madison St. between Wilson Ave. and Knickerbocker Ave.","Madison Square Garden Association","Spanish","2000","2000-005","Installed","Consolidated Rules Sign",,,"Chinese","11221","POINT (-73.91315321861643 40.694898234828955)"
"Track + Athletic Field (2901)","X","228","13","X039",,,"Chain Link Fence - 2""",,"X039-ZN01","X-15","45","Bruckner Blvd, Eastchester, Hutchinson","Pelham Bay Park",,"2901","2901","Installed","Consolidated Rules Sign","Aileen Ryan Rec. Complex","33625",,"10465","POINT (-73.82326507723116 40.84859226688691)"
"Beach","Q","414","31","Q162",,"XX-008","Pipe Rail",,"Q162-ZN02B","Q-14","101","Lands underwater bet. B. 2 St. and B. 73 St.","Rockaway Beach and Boardwalk","Spanish",,,"Surveyed","Consolidated Rules Sign","Rockaway Beach 02b","28922","Russian","11691","POINT (-73.76381636631213 40.591766798926045)"
"Athletic Field / Court - Hours (1500)","Q","412","27","Q402",,"XX-004","Chain Link Fence - 1""",,,"Q-12","103","167 St. bet. 108 Dr. and 109 Ave.","Latimer Playground","Spanish","1500","1500-004","Installed","Consolidated Rules Sign",,"26663","Bengali","11433","POINT (-73.78615378955791 40.69655538911306)"
"Triangle No Rules - Routed (800)","M","109","7","M189",,"XX-005","Wrought Iron / Steep Picket Fence",,,"M-09","26","W. 125 St. and Morningside Ave.","Roosevelt Triangle","Spanish","800","800-005","Installed","Consolidated Rules Sign",,,"Chinese","10027","POINT (-73.95428674083642 40.81126373841215)"
"Comfort Station – W + Accessible (1804)","X","207","15","X042",,"XX-004","Wall",,,"X-06","48","Webster Ave. bet. E. Fordham Rd. and E. 194 St.","Rose Hill Park","Spanish","1804","1804-004","Installed","Consolidated Rules Sign",,,"Bengali","10458","POINT (-73.89078378303023 40.86172226299831)"
"Athletic Field / Court - Hours (1500)","B","318","46","B147",,"XX-007","Chain Link Fence - 2""",,,"B-18","63","Ave. U bet. E. 58 St., E. 59 St., and E. 60 St.","Monsignor Crawford Field","Spanish","1500","1500-007","Installed","Consolidated Rules Sign",,"31079","French Creole","11234","POINT (-73.91686866206064 40.61370121260354)"
"Park without Dog Run; No Off-Leash (2401)","M","112","10","M300","6:00 a.m. to 10:00 p.m.","XX-005","Wrought Iron / Steep Picket Fence",,,"M-12","34","10 Ave. bet. Academy St. and the Harlem River","Sherman Creek","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,,"Chinese","10040","POINT (-73.9225502928356 40.85708287746433)"
"Combo: Playground / Court (2602)","R","502","50","R067",,"XX-005","Chain Link Fence - 2""",,,"R-02","122","Dongan Hills Ave. and Jefferson St.","Gen. Douglas MacArthur Park","Spanish","2602","2602-005","Installed","Consolidated Rules Sign",,"32307","Chinese","10304","POINT (-74.10136440851555 40.58546463952778)"
"Athletic Field / Court - Hours (1500)","Q","407","20","Q300",,"XX-005","Chain Link Fence - 2""",,"Q300-ZN03","Q-07","109","Lawrence St,N Hempstead Tpk,Elder Ave,Kissena Blvd","Kissena Corridor Park","Spanish","1500","1500-005","Installed","Consolidated Rules Sign","Captain Mario Fajardo Park","27387","Chinese","11355","POINT (-73.81676654273622 40.74496906027882)"
"Athletic Field / Court - Hours (1500)","X","206","15","X108",,"XX-001","Chain Link Fence - 1""",,,"X-06","48","E 182 St bet. Belmont Av and Croton Av","Belmont Playground","Spanish","1500","1500-001","Installed","Consolidated Rules Sign",,,"French","10457","POINT (-73.88728595685298 40.850254839144725)"
"Park without Dog Run; No Off-Leash (2401)","Q","411","19","Q012B",,"XX-016","Wrought Iron / Steep Picket Fence",,,"Q-07A","111","215 Pl., Cross Island Pkwy. bet. 31 Rd. and 33 Ave.","John Golden Park","Chinese","2401","2401-016","Installed","Consolidated Rules Sign",,"27649","Korean","11361","POINT (-73.77041454439522 40.77438447215071)"
"Park without Dog Run; No Off-Leash (2401)","M","103","1","M105",,"XX-005","Wrought Iron / Steep Picket Fence",,,"M-03","5","E. Houston St. To Canal St. bet. Chrystie St. and Forsyth St.","Sara D. Roosevelt Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,"47931","Chinese","10002","POINT (-73.99351074974881 40.71785484598141)"
"Playground - Adults Allowed (2600)","Q","412","27","Q405","6:00 a.m. to 9:00 p.m.","XX-004","Wrought Iron / Steep Picket Fence",,,"Q-12","113","Hollis Ave. bet. 204 St. and 205 St.","Hollis Playground","Spanish","2600","2600-004","Installed","Consolidated Rules Sign",,"26662","Bengali","11412","POINT (-73.75347299944085 40.70640156937904)"
"Barbecue Area (1600)","M","111","8","M047",,"XX-005","None / Free Standing",,,"M-11","23","1 Ave., FDR Dr., bet. E. 111 St. and E. 114 St.","Thomas Jefferson Park","Spanish","1600","1600-005","Installed","Consolidated Rules Sign",,"34148","Chinese","10029","POINT (-73.93549558590571 40.79257040884707)"
"Park without Dog Run; No Off-Leash (2401)","R","501","49","R005",,"XX-005","None / Free Standing",,"R005-ZN03","R-01","120","Forest Ave., Victory Blvd., bet. Clove Rd. and Brookside Ave., Royal Oak Rd.","Clove Lakes Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign","Clove Lakes Park Zone 3","32279","Chinese","10301","POINT (-74.1194850080101 40.621665679427394)"
,"X","212","12","X095",,"XX-001","None / Free Standing",,,"X-14","47","White Plains Rd. bet. E. 212 St. and Magenta St.","Williamsbridge Square","Spanish",,,"Installed","Routed Sign",,,"French","10467","POINT (-73.86679446637143 40.87719726674422)"
"Playground - Children Only (2601)","R","501","49","R111",,"XX-005","Wrought Iron / Steep Picket Fence",,,"R-01","120","Wall St. bet. St Marks Pl. and Belmont Pl.","Lt. Lia Playground","Spanish","2601","2601-005","Installed","Consolidated Rules Sign",,,"Chinese","10301","POINT (-74.08030692953548 40.64358845891393)"
"Trail (3200)","X","226","11","X092",,,"None / Free Standing",,"X092-ZN21","X-13","47","Broadway, Jerome Ave,City Line,Van Cortlandt Pk S","Van Cortlandt Park",,"3200","3200","Installed","Consolidated Rules Sign","NE Forest",,,"10470","POINT (-73.87300101611208 40.89945676910112)"
"Athletic Field / Court - Hours (1500)","B","317","42","B271",,"XX-007","Chain Link Fence - 2""",,,"B-17","67","Ditmas Ave. bet. E. 92 St. and E. 91 St.","Railroad Playground","Spanish","1500","1500-007","Installed","Consolidated Rules Sign",,"30597","French Creole","11236","POINT (-73.91462381473804 40.64934203301839)"
"Athletic Field / Court - No Hours (1501)","R","502","50","R075A",,"XX-005","Chain Link Fence - 2""",,,"R-02","121","S/s Of SI Expressway., Exit 6, Fahy Ave., Lamberts La.","Father Macris Park","Spanish","1501","1501-005","Installed","Consolidated Rules Sign",,"32029","Chinese","10314","POINT (-74.16291924210412 40.61681835862854)"
"Pool","M","102","3","M038",,"XX-005","Wrought Iron / Steep Picket Fence",,,"M-02","6","Hudson St., St. Luke's Pl., Clarkson St., 7 Ave.","James J Walker Park","Spanish",,,"Installed","Consolidated Rules Sign",,,"Chinese","10014","POINT (-74.00558892312647 40.729903474989285)"
"Park without Dog Run; No Off-Leash (2401)","X","206","17","X011",,"XX-001","Pipe Rail",,"X011-ZN01","X-06","48","Crotona Pkwy bet. Bronx Park South and E 175 St","Crotona Parkway Malls","Spanish","2401","2401-001","Installed","Consolidated Rules Sign","Crotona Malls Zone 1",,"French","10460","POINT (-73.88580973039859 40.84061020000103)"
"Park without Dog Run; No Off-Leash (2401)","Q","408","24","Q084B",,"XX-005","None / Free Standing",,,"Q-08","107","GCP Service Rd. South, 173 St., Homelawn St.","Tepper Triangle","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,,"Chinese","11432","POINT (-73.79183264314946 40.718667354814656)"
"Park without Dog Run; Off-Leash OK (2402)","B","318","46","BZ412",,"XX-007","Wrought Iron / Steep Picket Fence",,,"B-18","63","Ave Y., Bergen Ave. bet. Ave. V and Belt Pkwy.","McGuire Fields","Spanish","2402","2402-007","Installed","Consolidated Rules Sign",,,"French Creole","11234","POINT (-73.89836952468673 40.61762625474621)"
"Park without Dog Run; No Off-Leash (2401)","R","503","51","R135",,"XX-017","None / Free Standing",,,"R-03","122","Tennyson Dr. bet. Hales Ave. and Wiman Ave.","Crescent Beach Park","Russian","2401","2401-017","Installed","Consolidated Rules Sign",,,"Italian","10308","POINT (-74.14540775005497 40.53700492772404)"
"GT Garden (2000)","B","313","47","B490",,"XX-015","Chain Link Fence - 2""",,,"B-13","60","Mermaid Ave. between W. 21 St. and W. 22 St.","Santos White Garden","Chinese","2000","2000-015","Installed","Consolidated Rules Sign",,,"Russian","11224","POINT (-73.98826326996269 40.57613310218604)"
"Comfort Station – W + Accessible + Family (1811)","X","204","8","X030",,"XX-001","Wall",,"X030-ZN01","X-04","44","River Ave. to the Harlem River bet. E. 157 St. , W. 161 St. and E. 164 St.","Macombs Dam Park","Spanish","1811","1811-001","Installed","Consolidated Rules Sign","Macombs Dam Park Zone 1 Upper",,"French","10451","POINT (-73.92960246036306 40.82826953297258)"
"Athletic Field / Court - Hours (1500)","X","211","12","X187",,"XX-003",,,"X187-01","X-12","49","E. Gunhill Rd. and Eastchester Rd. bet. Arnow Ave. and Adee Ave..","Givan Square","Spanish","1500","1500-003","Installed","Consolidated Rules Sign","Angelo Campanaro Plgd","33952","Albanian","10469","POINT (-73.84289636875378 40.8678819464381)"
"Playground - Children Only (2601)","M","164","6","M010","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)",,"Wrought Iron / Steep Picket Fence",,"M010-ZN15","M-13","22","5 Av To Central Park W, 59 St To 110 St","Central Park",,"2601","2601","Surveyed","Consolidated Rules Sign","Wallach Walk And East Green","48785",,"83","POINT (-73.96792186162033 40.772192751681494)"
"Triangle No Rules - Routed (800)","Q","407","20","Q100",,"XX-005","Wrought Iron / Steep Picket Fence",,,"Q-07","109","Northern Blvd Bet. Linden Pl. and Union St.","Flushing Greens","Spanish","800","800-005","Installed","Consolidated Rules Sign",,,"Chinese","11354","POINT (-73.82988696155566 40.76345353744613)"
"Comfort Station – W (1801)","R","501","49","R025",,"XX-005","Wall",,,"R-01","120","Beechwood Ave., Crescent Ave. and Jersey St.","Mahoney Playground","Spanish","1801","1801-005","Installed","Consolidated Rules Sign",,"32148","Chinese","10301","POINT (-74.08618569480457 40.64348482660062)"
"Park with Dog Run; No Off Leash (2403)","B","306","39","B111A",,"XX-001","Wrought Iron / Steep Picket Fence",,,"B-06","78","5 St., 4 St. bet. 4 Ave. and 5 Ave.","Washington Skate Park","Spanish","2403","2403-001","Surveyed","Consolidated Rules Sign",,,"French","11215","POINT (-73.98466184485538 40.67275141659333)"
"Playground - Children Only (2601)","X","204","16","X034","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-001","Wrought Iron / Steep Picket Fence","Mullaly South Playground","X034-01","X-04","44","Jerome Av to River Av bet. E 164 St and McClellan St at Cromwell Ave","Rev. T. Wendell Foster Park and Recreation Center","Spanish","2601","2601-001","Installed","Consolidated Rules Sign","Mullaly Plgd (1)","33098","French","10452","POINT (-73.92523765350137 40.83140426756043)"
"Combo: Playground / Court (2602)","Q","403","22","Q085",,"XX-005","Chain Link Fence - 2""",,,"Q-03","115","30 Ave., 25 Ave. bet. 84 St. and 85 St.","Gorman Playground","Spanish","2602","2602-005","Installed","Consolidated Rules Sign",,,"Chinese","11370","POINT (-73.88450282251874 40.76181680456217)"
"Park without Dog Run; No Off-Leash (2401)","M","101","1","M283A",,"XX-005","None / Free Standing",,,"M-01","1","bet. Hudson River and South End Ave. S/o Liberty St.","Battery Park City","Spanish","2401","2401-005","Surveyed","Consolidated Rules Sign",,"34226","Chinese","10280","POINT (-74.01599606507972 40.71162500428804)"
"Playground - Adults Allowed (2600)","Q","414","31","Q443","6:00 a.m. to 9:00 p.m.","XX-008","Wrought Iron / Steep Picket Fence",,,"Q-14","100","Beach 65 St. to Beach 66 St., Beach Channel Dr.","Almeda Playground","Spanish","2600","2600-008","Installed","Consolidated Rules Sign",,"28474","Russian","11692","POINT (-73.7943209485501 40.593216664070745)"
"Playground - Children Only (2601)","B","301","34","B025","6:00 a.m. to 9:00 p.m.","XX-006","Chain Link Fence - 2""",,"B025-01","B-01","90","Maspeth Ave., Sharon St. bet. Olive St. and Morgan Ave.","Cooper Park","Spanish","2601","2601-006","Installed","Consolidated Rules Sign","Carnegie Plgd","29765","Yiddish","11211","POINT (-73.93757007954139 40.71574600531884)"
"Athletic Field / Court - Hours (1500)","Q","414","31","Q443",,"XX-008","Chain Link Fence - 2""",,,"Q-14","100","Beach 65 St. to Beach 66 St., Beach Channel Dr.","Almeda Playground","Spanish","1500","1500-008","Installed","Consolidated Rules Sign",,"27860","Russian","11692","POINT (-73.79512392186432 40.59387566613747)"
"Park without Dog Run; No Off-Leash (2401)","Q","413","31","Q008",,"XX-007","None / Free Standing",,"Q008-ZN01","Q-13","105","S. Conduit Ave., 149 Ave. bet. 232 St. and 235 St.","Brookville Park","Spanish","2401","2401-007","Installed","Consolidated Rules Sign","Brookville Park Zone 1","27014","French Creole","11422","POINT (-73.73999832290721 40.6649537770488)"
"Park with Dog Run; No Off Leash (2403)","M","102","1","M098",,"XX-005","Wrought Iron / Steep Picket Fence",,"M098-ZN02","M-02","6","5 Ave, Waverly Pl., W. 4 St. and Macdougal St.","Washington Square Park","Spanish","2403","2403-005","Installed","Consolidated Rules Sign","Washington Square Park Eastern Half","47857","Chinese","10011","POINT (-73.99664360205728 40.72967899902909)"
"Trail With Hours / Exterior (3201)","R","502","50","R149",,"XX-005","None / Free Standing",,,"R-02B","122","Quintard St. and Mason Ave, Seaside Blvd., (Father Capodanno Blvd.)","Ocean Breeze Park","Spanish","3201","3201-005","Installed","Consolidated Rules Sign",,,"Chinese","10305","POINT (-74.08269522260078 40.591270746346574)"
"Playground - Children Only (2601)","M","112","10","M037","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-005","Wrought Iron / Steep Picket Fence",,"M037-08","M-12A","33","W 155 St and Dyckman St, Edgecombe Av & Amsterdam Av","Highbridge Park","Spanish","2601","2601-005","Installed","Consolidated Rules Sign","Coogan's Bluff Playground","47718","Chinese","10032","POINT (-73.94016874323275 40.83159592101547)"
"Park without Dog Run; No Off-Leash (2401)","R","501","49","R028",,"XX-005","Pipe Rail",,,"R-01","120","Canal St., Water St., Bay St.","Tappen Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,,"Chinese","10304","POINT (-74.0774329358783 40.626579373611996)"
