"the_geom","oftcode","boroughcod","onstreetna","fromstreet","tostreetna"
"POINT (-73.96936419868878 40.78265177295256)","197150197180000000","M","C P WEST   85 APPROACH","C P WEST DRIVE",
"POINT (-73.73176304532234 40.66660007450819)","422520427210000000","Q","138 AVENUE","246 STREET",
"POINT (-73.97954417344165 40.76619741472943)","110610134930000000","M","7 AVENUE","WEST   58 STREET",
"POINT (-73.99711718960323 40.712799736236825)","122690114310000000","M","HENRY STREET","CATHERINE STREET",
"POINT (-73.98003575710847 40.76552103251989)","110610134910000000","M","7 AVENUE","WEST   57 STREET",
"POINT (-73.98529382893115 40.72759283780792)","110010131090000000","M","1 AVENUE","ST MARKS PLACE",
"POINT (-74.09586192735277 40.59595088892278)","540150544900000000","S","NEWBERRY AVENUE","RICHMOND ROAD",
"POINT (-74.01482030181572 40.709836837614304)","145190197020000000","M","WEST STREET","BK BTRY TNNL APPROACH",
"POINT (-73.92237223192977 40.83610874314713)","226670242820000000","X","EAST  167 STREET","JEROME AVENUE",
"POINT (-73.82966568477656 40.76189035889745)","408790422590000000","Q","37 AVENUE","138 STREET",
"POINT (-73.85943988951614 40.846659215954205)","252220215520000000","X","MORRIS PARK AVENUE","BRONXDALE AVENUE",
"POINT (-73.81032161214758 40.667080244618504)","421890457550000000","Q","130 STREET","NORTH CONDUIT AVENUE",
"POINT (-73.89657329471827 40.705766367890085)","446190413990000000","Q","FRESH POND ROAD","67 AVENUE","PUTNAM AVENUE"
"POINT (-73.98729805549054 40.744681497502484)","134330110410000000","M","WEST 28 STREET","5 AVENUE","6 AVENUE"
"POINT (-73.91103489540197 40.699532114310976)","363030394730000000","B","MYRTLE AVENUE","WYCKOFF AVENUE",
"POINT (-73.99090315004037 40.68608242509841)","377730394830000000","B","SMITH STREET","WYCKOFF STREET",
"POINT (-74.12162563950912 40.57150139398226)","515650525450000000","S","AMBOY ROAD","DALE AVENUE",
"POINT (-73.97315654275833 40.76513583128136)","197085198020000000","M","C P EAST   60 APPROACH","C P EAST DRIVE",
"POINT (-74.14576716495768 40.624957456406825)","529150555517000000","S","FOREST AVENUE","WILLOW ROAD EAST",
"POINT (-73.98067345262578 40.75090510178968)","117770125390000000","M","EAST   39 STREET","MADISON AVENUE",
"POINT (-73.98428230166115 40.76479181361851)","134850110810000000","M","WEST 54 STREET","8 AVENUE",
"POINT (-73.83618544147365 40.70757261213841)","428960455690000000","Q","AUDLEY STREET","METROPOLITAN AVENUE",
"POINT (-73.94625107754523 40.703208746964336)","323230362530000000","B","BROADWAY","MOORE STREET",
"POINT (-73.91704018439276 40.654675516588846)","326230337980000000","B","CHURCH AVENUE","EAST   94 STREET",
"POINT (-73.89010568687691 40.862615414194956)","273720227450000000","X","WEBSTER AVENUE","EAST 193 STREET",
"POINT (-73.91449523586549 40.80556137414985)","223020225800000000","X","CYPRESS AVENUE","EAST  138 STREET",
"POINT (-73.98182244341973 40.75219712652791)","110410134570000000","M","5 AVENUE","WEST   40 STREET",
"POINT (-73.8539655045714 40.75845307543653)","428790457790 00000","Q","ASTORIA BOULEVARD","NORTHERN BOULEVARD",
"POINT (-74.01187330272555 40.706551406867376)","120430127120000000","M","EXCHANGE PLACE","NEW STREET",
"POINT (-73.99594236635282 40.75898097774807)","111010134590000000","M","10 AVENUE","WEST   41 STREET",
"POINT (-73.94841343329185 40.63998746383108)","365030367030000000","B","NEWKIRK AVENUE","NOSTRAND AVENUE",
"POINT (-73.87729930501581 40.82874277320397)","272820276950000000","X","WARD AVENUE","WESTCHESTER AVENUE",
"POINT (-74.00681150075907 40.74406132315622)","134110111010000000","M","WEST 17 STREET","10 AVENUE",
"POINT (-73.93817718663223 40.69864022234555)","323230356830000000","B","BROADWAY","LOCUST STREET",
"POINT (-73.9691324746202 40.76092919000965)","124890118130000000","M","LEXINGTON AVENUE","EAST 57 STREET",
"POINT (-73.84633066100534 40.669554461562164)","418090462890000000","Q","89 STREET","SOUTH CONDUIT AVENUE",
"POINT (-73.9730731490276 40.68576305414819)","345930379330000000","B","GREENE AVENUE","SOUTH OXFORD STREET",
"POINT (-74.00427755325616 40.73339151388539)","115210113310000000","M","CHRISTOPHER STREET","BLEECKER STREET",
"POINT (-73.8627263385658 40.74986793698594)","419690456690000000","Q","103 STREET","NATIONAL STREET",
"POINT (-73.99204631585485 40.76560779244876)","111720134790000000","M","AMTRAK RR","WEST   51 STREET",
"POINT (-73.72980677992506 40.66643230418552)","450180457550000000","Q","HOOK CREEK BOULEVARD","NORTH CONDUIT AVENUE",
"POINT (-73.89902984158023 40.74604831546334)","409140413640000000","Q","39 AVENUE","65 PLACE",
"POINT (-74.12112080231192 40.57530684523387)","541470544900000000","S","ODIN STREET","RICHMOND ROAD",
"POINT (-74.16540080795387 40.54443272315691)","527505544750000000","S","ELTINGVILLE BOULEVARD","RICHMOND AVENUE",
"POINT (-74.16848336781776 40.621565007140084)","529795548500000000","S","GOETHALS ROAD NORTH","SOUTH AVENUE",
"POINT (-73.98806289566666 40.76979079950992)","111010134930000000","M","10 AVENUE","WEST   58 STREET",
"POINT (-73.81686030462487 40.70244433062843)","451090452090000000","Q","JAMAICA AVENUE","KEW GARDENS ROAD",
"POINT (-73.947699317461 40.632884747613765)","350050367030000000","B","HILLEL PLACE","NOSTRAND AVENUE",
"POINT (-73.86656997562075 40.757535521049924)","419540457790000000","Q","102 STREET","NORTHERN BOULEVARD",
"POINT (-73.98493339298456 40.73637638482823)","110210117370000000","M","3 AVENUE","EAST   19 STREET",
"POINT (-73.97623388833038 40.765674631253255)","114490197190000000","M","WEST   59 STREET","C P    6 AVENUE APPROACH",
"POINT (-73.99205271460126 40.69034545076756)","329830381330000000","B","COURT STREET","STATE STREET",
"POINT (-73.99143527057821 40.729862794250195)","124390111820000000","M","LAFAYETTE STREET","ASTOR PLACE",
"POINT (-73.96432543559354 40.75638153063062)","118070110010000000","M","E 54 ST","1 AVENUE","SUTTON   PL"
"POINT (-73.94964710550468 40.67896292883335)","349030367030000000","B","HERKIMER PLACE","NOSTRAND AVENUE",
"POINT (-74.10790851645696 40.58368563686923)","533810544900000000","S","HUNTER AVENUE","RICHMOND ROAD",
"POINT (-73.98830047361962 40.68986942535657)","375530377730000000","B","SCHERMERHORN STREET","SMITH STREET",
"POINT (-73.99714858471796 40.67604489738808)","364130377730000000","B","NELSON STREET","SMITH STREET",
"POINT (-73.85303510321354 40.840735456968424)","218520250750000000","X","CASTLE HILL AVENUE","METROPOLITAN AVENUE",
"POINT (-74.19293917311978 40.59037956713589)","518805526828000000","S","BERESFORD AVENUE","EAST SERVICE ROAD",
"POINT (-73.94249471650424 40.70305349065712)","387630344930000000","B","VARET STREET","GRAHAM AVENUE",
"POINT (-74.14107788608979 40.609800769477914)","544140556370000000","S","PURDY AVENUE","WOOLLEY AVENUE",
"POINT (-73.85231153248228 40.842586994418276)","229620247820000000","X","EAST TREMONT AVENUE","LYVERE STREET",
"POINT (-73.99509842929993 40.755045585652404)","110910197490000000","M","9 AVENUE","LINCOLN TUNNEL ENTRANCE",
"POINT (-73.99638705498523 40.75510072529116)","134490197490000000","M","WEST   36 STREET","LINCOLN TUNNEL ENTRANCE",
"POINT (-74.15050968173858 40.551645857052414)","529687549876000000","S","GIFFORDS LANE","SI RAPID TRANSIT",
"POINT (-73.97796000006716 40.675438017960865)","305680386530000000","B","6 AVENUE","UNION STREET",
"POINT (-73.91256954206678 40.753304214867384)","410840457790000000","Q","50 STREET","NORTHERN BOULEVARD",
"POINT (-73.97418937119478 40.75399351049741)","117910124890000000","M","EAST   46 STREET","LEXINGTON AVENUE",
"POINT (-73.85348859735667 40.83767598301478)","259820266320000000","X","PURDY STREET","ST RAYMOND AVENUE",
"POINT (-73.94148000359178 40.598304390550275)","367030314680000000","B","NOSTRAND AVENUE","AVENUE V","AVENUE U"
"POINT (-73.98845268053961 40.746788570185025)","113610134370000000","M","BROADWAY","WEST   30 STREET",
"POINT (-73.98971286848523 40.60588782616112)","310530317330000000","B","79 STREET","BAY PARKWAY",
"POINT (-73.81193002317814 40.70234083586125)","422840451090000000","Q","143 STREET","JAMAICA AVENUE",
"POINT (-73.99473013021517 40.72693941955934)","113430124080000000","M","BOND STREET","JONES ALLEY",
"POINT (-73.96777646268278 40.597580378519886)","314630334980000000","B","AVENUE U","EAST    4 STREET",
"POINT (-74.01383441099377 40.70240570084348)","100038131590000000","M","PETER MINUIT PLACE","STATE STREET",
"POINT (-73.84530238947553 40.66923523701755)","418240462890000000","Q","90 STREET","SOUTH CONDUIT AVENUE",
"POINT (-73.98729894907973 40.69223407563174)","352930393250000000","B","JAY STREET","WILLOUGHBY STREET",
"POINT (-74.00998418639021 40.705147733060656)","130650112950000000","M","SOUTH WILLIAM STREET","BEAVER STREET",
"POINT (-73.95416476975561 40.787227563554566)","118890125390000000","M","EAST   96 STREET","MADISON AVENUE",
"POINT (-74.02173709467225 40.631687882913184)","305580310180000000","B","5 AVENUE","72 STREET",
"POINT (-73.85965416992391 40.713379961592565)","439690465270000000","Q","COOPER AVENUE","TROTTING COURSE LANE",
"POINT (-73.97981084452896 40.68664684506137)","375530305280000000","B","SCHERMERHORN STREET","3 AVENUE",
"POINT (-73.93398998990838 40.797932442036746)","119330110010000000","M","EAST 119 STREET","1 AVENUE",
"POINT (-74.01699521582282 40.70580004427572)","110015111115000000","M","1 PLACE","JOE DIMAGGIO HIGHWAY",
"POINT (-73.9790239681909 40.75603186764407)","117910134690000000","M","EAST   46 STREET","WEST   46 STREET",
"POINT (-73.91708899275488 40.7613202978449)","464290407990000000","Q","STEINWAY STREET","31 AVENUE","34 AVENUE"
"POINT (-73.96816364811659 40.6046324310152)","314480335030000000","B","AVENUE R","EAST    5 STREET",
"POINT (-73.98321466934961 40.76270716783499)","134810113610000000","M","WEST 52 STREET","BROADWAY",
"POINT (-73.98698060533617 40.780690905502084)","129650135210000000","M","RIVERSIDE BOULEVARD","WEST   72 STREET",
"POINT (-73.8517988668378 40.842647632600325)","229620257320000000","X","EAST TREMONT AVENUE","PAULDING AVENUE",
"POINT (-73.97085933791222 40.69317202410548)","327030363030000000","B","CLERMONT AVENUE","MYRTLE AVENUE",
"POINT (-73.9967894881551 40.752723447820124)","110910134430000000","M","9 AVENUE","WEST   33 STREET",
"POINT (-74.13822926537216 40.63172790369619)","510050518910000000","S","PORT RICHMOND AVENUE","BLACKFORD AVENUE",
"POINT (-73.74878761222743 40.6654787337437)","443130462890000000","Q","EDGEWOOD AVENUE","SOUTH CONDUIT AVENUE",
"POINT (-73.96684710052209 40.76984666945222)","118370125390000000","M","EAST   69 STREET","MADISON AVENUE",
"POINT (-73.9881530764899 40.73196520845027)","117230110210000000","M","EAST 12 STREET","3 AVENUE",
"POINT (-73.77701324802324 40.66777636194652)","423840457550000000","Q","158 STREET","NORTH CONDUIT AVENUE",
"POINT (-73.9220713378152 40.68948984073938)","343330323230000000","B","GATES AVENUE","BROADWAY",
"POINT (-73.99825418871247 40.60460855974878)","310880307080000000","B","86 STREET","20 AVENUE",
"POINT (-74.13521377487079 40.635345196077225)","515800544750000000","S","ANDERSON AVENUE","RICHMOND AVENUE",
"POINT (-73.98774683766104 40.74406552839947)","110410134310000000","M","5 AVENUE","WEST   27 STREET",
"POINT (-73.98529421367746 40.67038520198739)","305580305830000000","B","5 AVENUE","7 STREET",
"POINT (-73.98615943622505 40.694374904559275)","354650360535000000","B","LAWRENCE STREET","METROTECH",
"POINT (-73.98451139998151 40.76079337049555)","113610134750000000","M","BROADWAY","WEST   49 STREET",
"POINT (-74.00207771771674 40.71673089549576)","120890124390000000","M","FRANKLIN STREET","LAFAYETTE STREET",
"POINT (-73.96752994826356 40.79285856792684)","135690115710000000","M","WEST 96 STREET","COLUMBUS AVENUE",
"POINT (-73.85965416992391 40.713379961592565)","456630465270000000","Q","NANSEN STREET","TROTTING COURSE LANE",
"POINT (-74.00923907482891 40.71552016776998)","114710144890000000","M","CHAMBERS STREET","WEST BROADWAY",
"POINT (-73.99717501173258 40.752193402284796)","100376110910000000","M","NJ TRANSIT RAILROAD","9 AVENUE",
"POINT (-74.08587511875717 40.59589012095557)","525620544455000000","S","DAWSON PLACE","QUINTARD STREET",
"POINT (-73.99919145257768 40.70847259877795)","110585130640000000","M","FDR DRIVE SB EXIT    2","SOUTH STREET",
"POINT (-73.92482131388766 40.60834144936367)","314630354035000000","B","AVENUE U","KIMBALL STREET",
"POINT (-74.00895993666224 40.74070169080549)","111010125020000000","M","10 AVENUE","LITTLE WEST   12 STREET",
"POINT (-73.94119911485012 40.626715604521266)","323330340930000000","B","BROOKLYN AVENUE","FLATBUSH AVENUE",
"POINT (-73.78062532368294 40.66752330981178)","460810457550000000","Q","ROCKAWAY BOULEVARD","NORTH CONDUIT AVENUE",
"POINT (-73.98132614554528 40.67514568505805)","305580324830000000","B","5 AVENUE","CARROLL STREET",
"POINT (-73.96116613807283 40.77763554977847)","118610125390000000","M","EAST   81 STREET","MADISON AVENUE",
"POINT (-73.99740391757341 40.72730356770604)","113310121735000000","M","BLEECKER STREET","GREENE STREET EXTENSION",
"POINT (-74.1175708847647 40.57770984351838)","537010544900000000","S","LOCUST AVENUE","RICHMOND ROAD",
"POINT (-73.8222410409228 40.666120876528716)","453490458150000000","Q","LEFFERTS BOULEVARD","OLD SOUTH ROAD",
"POINT (-73.84580863835797 40.8375131215921)","239620276950000000","X","HERSCHELL STREET","WESTCHESTER AVENUE",
"POINT (-73.84525431297662 40.719441417667596)","414890437990000000","Q","71 AVENUE","BURNS STREET",
"POINT (-73.84361155679285 40.8393483247919)","256420276950000000","X","OVERING STREET","WESTCHESTER AVENUE",
"POINT (-74.0759428253483 40.62716576123022)","517450554500000000","S","BAY STREET","WATER STREET",
"POINT (-73.9996863940485 40.75892199637789)","134550111110000000","M","WEST 39 STREET","11 AVENUE",
"POINT (-73.95355183572515 40.599146453127105)","314630335630000000","B","AVENUE U","EAST   18 STREET",
"POINT (-74.00355323625864 40.756445191343836)","134450110065000000","M","WEST   34 STREET","HIGH LINE",
"POINT (-73.81678511014825 40.66504635553986)","421590462890000000","Q","124 STREET","SOUTH CONDUIT AVENUE",
"POINT (-73.87254501187776 40.87874572756312)","223920229320000000","X","DECATUR AVENUE","EAST GUN HILL ROAD",
"POINT (-74.00526217228413 40.70892071072774)","121230130110000000","M","FULTON STREET","RYDERS ALLEY",
"POINT (-73.87084215647909 40.75154469278682)","408790451790000000","Q","37 AVENUE","JUNCTION BOULEVARD",
"POINT (-74.10790851645696 40.58368563686923)","544900533810000000","S","RICHMOND ROAD","HUNTER AVE",
"POINT (-73.90878633674127 40.713057626123714)","455690465162000000","Q","METROPOLITAN AVENUE","TONSOR STREET",
"POINT (-73.77187886342962 40.66699414635455)","424930462890000000","Q","177 PLACE","SOUTH CONDUIT AVENUE",
"POINT (-73.99240763460017 40.73059121173082)","113610117150000000","M","BROADWAY","EAST    8 STREET",
"POINT (-74.01326253160049 40.70873106773042)","114080121790000000","M","CARLISLE STREET","GREENWICH STREET",
"POINT (-74.01046534001382 40.711534547418054)","121230115350000000","M","FULTON STREET","CHURCH STREET",
"POINT (-73.80823141347867 40.763797652296034)","423790457790000000","Q","157 STREET","NORTHERN BOULEVARD",
"POINT (-73.95654650822576 40.77818010095709)","124890118670000000","M","LEXINGTON AVENUE","EAST 84 STREET",
"POINT (-74.16153130103022 40.561269353830944)","512850516860000000","S","ABBEY ROAD","ARTHUR KILL ROAD",
"POINT (-74.00860085400832 40.711392240119)","111750127890000000","M","ANN STREET","PARK ROW",
"POINT (-73.73380585290218 40.66657838123537)","427200457550000000","Q","244 STREET","NORTH CONDUIT AVENUE",
"POINT (-73.89687837029749 40.82211785785021)","276950242020000000","X","WESTCHESTER AVENUE","INTERVALE AVENUE",
"POINT (-73.98724033649628 40.7760169355)","135090144990000000","M","WEST   66 STREET","WEST END AVENUE",
"POINT (-73.93051146709226 40.69431652281917)","323230333430000000","B","BROADWAY","DODWORTH STREET",
"POINT (-74.00643549103405 40.70955732140044)","145440121230000000","M","WILLIAM STREET","FULTON STREET",
"POINT (-73.98615534287006 40.68901797708171)","375530351030000000","B","SCHERMERHORN STREET","HOYT STREET",
"POINT (-73.9455962471307 40.711481500611285)","345130358330000000","B","GRAND STREET","MANHATTAN AVENUE",
"POINT (-74.00211455796966 40.715158910173436)","114590120630000000","M","CENTRE STREET","FOLEY SQUARE",
"POINT (-73.88937163796639 40.87338229828779)","242820212220000000","X","JEROME AVENUE","BEDFORD PARK BOULEVARD","EAST 205 STREET"
"POINT (-73.85909672818367 40.692519314373925)","417340451090000000","Q","85 STREET","JAMAICA AVENUE",
"POINT (-73.78592681013865 40.66630745659416)","412320423450000000","Q","BELT PARKWAY EB ENTRANCE  150 ST","153 PLACE",
"POINT (-74.01155838444178 40.704721157526876)","125900113590000000","M","MARKETFIELD STREET","BROAD STREET",
"POINT (-73.85283803904389 40.672279188910416)","416990457550000000","Q","83 STREET","NORTH CONDUIT AVENUE",
"POINT (-73.99987313177505 40.708195028002095)","110800110845000000","M","FDR DRIVE SB ENTRANCE PEARL ST","FDR DRIVE NB EN BROOKLYN BRDG",
"POINT (-73.92295854120717 40.8589138931212)","116910122450000000","M","DYCKMAN STREET","HARLEM RIVER DRIVE",
"POINT (-73.76826360944558 40.66679238147443)","410955462890000000","Q","BEP EB EXIT   21 B","SOUTH CONDUIT AVENUE",
"POINT (-73.96772705897045 40.76285165207214)","124890118190000000","M","LEXINGTON AVENUE","EAST 60 STREET",
"POINT (-73.85168333457938 40.83926111197552)","248120256920000000","X","MACLAY AVENUE","PARKER STREET",
"POINT (-74.14576716495768 40.624957456406825)","551700555517000000","S","TRANTOR PLACE","WILLOW ROAD EAST",
"POINT (-73.97188596862959 40.67639465275603)","340930381430000000","B","FLATBUSH AVENUE","STERLING PLACE",
"POINT (-73.98601452410382 40.75733934524726)","110610134650000000","M","7 AVENUE","WEST   44 STREET",
"POINT (-74.01045182476646 40.72285926414801)","133390132710000000","M","WASHINGTON STREET","VESTRY STREET",
"POINT (-73.7922290605079 40.665792136420976)","462890462910000000","Q","SOUTH CONDUIT AVENUE","SOUTH CONDUIT AVENUE EXIT EB",
"POINT (-73.80774200946132 40.70058168733745)","428265464790000000","Q","ARCHER AVENUE","SUTPHIN BOULEVARD",
"POINT (-74.00522382243867 40.72933390138166)","132685115420000000","M","VARICK STREET","CLARKSON STREET",
"POINT (-73.84667778628474 40.83679427143238)","276950279050000000","X","WESTCHESTER AVENUE","ZEREGA AVENUE",
"POINT (-73.99360930786186 40.76218343546564)","111010134690000000","M","10 AVENUE","WEST   46 STREET",
"POINT (-73.97410620623913 40.76392535779113)","121680134930000000","M","GRAND ARMY PLAZA","WEST   58 STREET",
"POINT (-73.97995899696554 40.743205199085075)","110210117590000000","M","3 AVENUE","EAST   30 STREET",
"POINT (-74.02325796274384 40.62797141129847)","305580310430000000","B","5 AVENUE","77 STREET",
"POINT (-74.15033131604325 40.56891285886585)","516860540157000000","S","ARTHUR KILL ROAD","NEWVALE AVENUE",
"POINT (-73.99372269721903 40.767133961792155)","134810111110000000","M","WEST 52 STREET","11 AVENUE",
"POINT (-74.01433649682713 40.7062372081798)","126630132615000000","M","MORRIS STREET","TRINITY PLACE",
"POINT (-73.96544434728493 40.76598394298029)","118290124890000000","M","EAST   65 STREET","LEXINGTON AVENUE",
"POINT (-74.00864537882697 40.707340019248974)","114410145440000000","M","CEDAR STREET","WILLIAM STREET",
"POINT (-74.10350925297686 40.616416075490136)","523900553000000000","S","CLOVE ROAD","VICTORY BOULEVARD",
"POINT (-74.15605421054966 40.547733426707495)","513000515650000000","S","ACACIA AVENUE","AMBOY ROAD",
"POINT (-73.91103489540197 40.699532114310976)","369030458390000000","B","PALMETTO STREET","PALMETTO STREET",
"POINT (-73.93843613302919 40.67978585091695)","312130342730000000","B","ALBANY AVENUE","FULTON STREET",
"POINT (-74.01496125208985 40.70475979819954)","121790112670000000","M","GREENWICH STREET","BATTERY PLACE",
"POINT (-74.01067628611773 40.70711636892429)","113590132910000000","M","BROAD STREET","WALL STREET",
"POINT (-74.01564377698983 40.707756098717304)","124095145190000000","M","JOSEPH P WARD STREET","WEST STREET",
"POINT (-74.16884272885308 40.556269106515046)","544750543235000000","S","RICHMOND AVENUE","PERKIOMEN AVENUE",
"POINT (-74.01249954540829 40.71721209864373)","113113131695000000","M","BEND","STUYVESANT HS BRIDGE",
"POINT (-74.00998418639021 40.705147733060656)","112950130650000000","M","BEAVER STREET","SOUTH WILLIAM STREET",
"POINT (-73.86234580567161 40.679164784791475)","355830373930000000","Q","LIBERTY AVENUE","RUBY STREET",
"POINT (-73.87770786878788 40.71288836271432)","415790455690000000","Q","75 STREET","METROPOLITAN AVENUE",
"POINT (-73.91260205671439 40.66940465638167)","323130370930000000","B","BRISTOL STREET","PITKIN AVENUE",
"POINT (-74.00602039500268 40.706142362354484)","133490125630000000","M","WATER STREET","MAIDEN LANE",
"POINT (-73.9372257760235 40.622958785524204)","340930368690000000","B","FLATBUSH AVENUE","OVERBAUGH PLACE",
"POINT (-73.93868004518673 40.845439131623294)","113610137240000000","M","BROADWAY","WEST  174 STREET",
"POINT (-73.84198841451132 40.695217683898925)","419840451090000000","Q","105 STREET","JAMAICA AVENUE",
"POINT (-73.96984859886265 40.75707595733347)","110210118030000000","M","3 AVENUE","EAST   52 STREET",
"POINT (-73.98798240077362 40.74087265457519)","117450125390000000","M","EAST   23 STREET","MADISON AVENUE",
"POINT (-74.00386030276967 40.73839487493275)","110810133910000000","M","8 AVENUE","WEST    4 STREET",
"POINT (-73.96417250308714 40.62487697575767)","335330314080000000","B","EAST 12 STREET","AVENUE J",
"POINT (-73.85467865647998 40.69283058516691)","418240451090000000","Q","90 STREET","JAMAICA AVENUE",
"POINT (-73.96864226160424 40.76159996052606)","118150124890000000","M","EAST   58 STREET","LEXINGTON AVENUE",
"POINT (-74.14567887657884 40.62538299254466)","510050551700000000","S","PORT RICHMOND AVENUE","TRANTOR PLACE",
"POINT (-74.13928853706325 40.63074419347254)","535470544750000000","S","LA FORGE AVENUE","RICHMOND AVENUE",
"POINT (-73.8441203000054 40.70937829824342)","455690415690000000","Q","METROPOLITAN AVENUE","75 AVENUE",
"POINT (-73.86814994364909 40.831360385186066)","220920276950000000","X","COMMONWEALTH AVENUE","WESTCHESTER AVENUE",
"POINT (-73.90961675895392 40.77536622375492)","408390442490000000","Q","33 STREET","DITMARS BOULEVARD",
"POINT (-74.00931760488203 40.72470155043805)","114010121790000000","M","CANAL STREET","GREENWICH STREET",
"POINT (-73.96384291111073 40.765309685442055)","110210118290000000","M","3 AVENUE","EAST   65 STREET",
"POINT (-73.97758682594122 40.71325350096936)","121690110595000000","M","GRAND STREET","FDR DRIVE EXIT    4 SOUTHBOUND",
"POINT (-73.99265430937471 40.737330467565194)","117310134090000000","M","EAST   16 STREET","WEST   16 STREET",
"POINT (-73.88346345306707 40.88078293413973)","227870242820000000","X","EAST  208 STREET","JEROME AVENUE",
"POINT (-74.11122625634476 40.62968516247496)","518500529150000000","S","BEMENT AVENUE","FOREST AVENUE",
"POINT (-73.99037329421749 40.63670498478481)","306380308880000000","B","13 AVENUE","46 STREET",
"POINT (-73.95571600031518 40.64058252598119)","340930332930000000","B","FLATBUSH AVENUE","DITMAS AVENUE",
"POINT (-73.97803823511359 40.71535737845509)","112650110035000000","M","BARUCH DRIVE","DELANCEY ST NORTH",
"POINT (-73.85796460731919 40.67307138673345)","416290462890000000","Q","78 STREET","SOUTH CONDUIT AVENUE",
"POINT (-73.84888232820776 40.72702517776767)","414040468690000000","Q","67 DRIVE","YELLOWSTONE BOULEVARD",
"POINT (-73.8811374760359 40.747927293396685)","445690461090000000","Q","FORLEY STREET","ROOSEVELT AVENUE",
"POINT (-73.98574725791809 40.5970404930664)","310880317130000000","B","86 STREET","BAY   41 STREET",
"POINT (-73.87420803077784 40.75673156212522)","418740457790000000","Q","94 STREET","NORTHERN BOULEVARD",
"POINT (-73.89277915545341 40.85830534451626)","227270250730000000","X","EAST  187 STREET","METRO NORTH RR",
"POINT (-73.88513582692254 40.85841703306795)","229220209520000000","X","EAST FORDHAM ROAD","ARTHUR AVENUE",
"POINT (-73.98576634194717 40.717723676073575)","115510116316000000","M","CLINTON STREET","DELANCEY ST SOUTH",
"POINT (-73.99817281405629 40.719552890794574)","112710113113 00000","M","BAXTER STREET","BEND",
"POINT (-73.99712713863876 40.75462186639295)","134470116920000000","M","WEST 35 STREET","DYER AVENUE","10 AVENUE"
"POINT (-73.76568958150438 40.76080225022076)","426690457790000000","Q","216 STREET","NORTHERN BOULEVARD",
"POINT (-73.90138034244893 40.644296697717444)","328970373480000000","B","CONKLIN AVENUE","ROCKAWAY PARKWAY",
"POINT (-73.95041820530821 40.670748243135456)","356030367030000000","B","LINCOLN PLACE","NOSTRAND AVENUE",
"POINT (-73.89935599710101 40.71032318171749)","446190448290000000","Q","FRESH POND ROAD","GROVE STREET",
"POINT (-74.14184764625487 40.57233261346725)","544900570215000000","S","RICHMOND ROAD","MOORE STREET",
"POINT (-73.99513859214144 40.67982504609789)","305030377730000000","B","1 PLACE","SMITH STREET",
"POINT (-73.9453343366659 40.833437160887776)","120010136890000000","M","EDWARD M MORGAN PLACE","WEST  156 STREET",
"POINT (-73.90349650605366 40.818723761068725)","252710270420000000","X","NYCTA SUBWAY","UNION AVENUE",
"POINT (-73.98843048074278 40.723259837999635)","117010110010000000","M","EAST 1 STREET","1 AVENUE",
"POINT (-73.99807658786477 40.67411460896815)","377730343230000000","B","SMITH STREET","GARNET STREET",
"POINT (-73.98872905462943 40.745286372643804)","134330113610000000","M","WEST 28 STREET","BROADWAY","6 AVENUE"
"POINT (-74.12160439223604 40.57355592028583)","515650544005000000","S","AMBOY ROAD","PROSPECT PLACE",
"POINT (-73.94405560989506 40.61199284212915)","314380323730000000","B","AVENUE P","BURNETT STREET",
"POINT (-74.13618173857996 40.6248378962534)","529150570098000000","S","FOREST AVENUE","ELDRIDGE AVENUE",
"POINT (-73.91075595759314 40.86165148400054)","238020276650000000","X","HAMPDEN PLACE","WEST FORDHAM ROAD",
"POINT (-73.9812838466799 40.59608790137457)","314630390980000000","B","AVENUE U","WEST   10 STREET",
"POINT (-73.96124473289285 40.77173837352521)","118470124890000000","M","EAST   74 STREET","LEXINGTON AVENUE",
"POINT (-73.97802697911948 40.729433059510555)","112210131715000000","M","AVENUE B","EAST   14 ST LOOP",
"POINT (-73.97433012701518 40.7458043078013)","117710197730000000","M","EAST   36 STREET","QNS MDTWN TNNL ENTRANCE",
"POINT (-73.98443216320744 40.69029217227007)","334230342730000000","B","DUFFIELD STREET","FULTON STREET",
"POINT (-74.1423961305605 40.61587506696546)","525320553745000000","S","CRYSTAL AVENUE","WADE STREET",
"POINT (-73.92500420676517 40.86633654473176)","113610111310000000","M","BROADWAY","ACADEMY STREET",
"POINT (-73.94296619361134 40.705888439898466)","320130344930000000","B","BOERUM STREET","GRAHAM AVENUE",
"POINT (-73.98419525988008 40.78561520471332)","135350197865000000","M","WEST   79 STREET","H HUDSON PARKWAY EXIT SB",
"POINT (-73.91676339508565 40.81655735706926)","226160268020000000","X","EAST  150 STREET","3 AVENUE",
"POINT (-73.79489532788946 40.70546074647517)","424290451090000000","Q","165 STREET","JAMAICA AVENUE",
"POINT (-73.96060027643453 40.761484853967005)","110010118230000000","M","1 AVENUE","EAST   62 STREET",
"POINT (-73.95365850556622 40.72882248017935)","358330365530000000","B","MANHATTAN AVENUE","NOBLE STREET",
"POINT (-73.76634917884822 40.732409334469274)","439073465590000000","Q","CLEARVIEW EXPRESSWAY ENTRANCE SB","UNION TURNPIKE",
"POINT (-73.91194232332482 40.81604742720049)","252710265620000000","X","NYCTA SUBWAY","ST ANNS AVENUE",
