"system","fountainty","position","painted","gispropnum","propertyna","parentid","borough","fountainco","department","decription","featuresta","the_geom"
"B216-DF0116","CS Concrete","In Playground","Yes","B216","Raymond Bush Playground","B216","B","1","B-03","CS Concrete, In Playground","Active","POINT (-73.93943857473018 40.68659029631838)"
"M010-DF0884","E and Dog",,,"M010","Central Park","M010-ZN38","M","2","M-13","E and Dog,","Active","POINT (-73.95464882999669 40.790471526648155)"
"R008-DF0268","Bottle Filler High Low",,"No","R008","Faber Pool and Park","R008","R","0","R-03","Bottle Filler High Low,","Active","POINT (-74.13511069913046 40.640699461221566)"
"X153-DF0189","A","Under Tree, In Shade, In Playground","Yes","X153","Merriam Playground","X153-01","X","1","X-04","A, Under Tree, In Shade, In Playground","Active","POINT (-73.92678331459693 40.84033305990144)"
"B225-DF0144","A","Under Tree, In Playground","Yes","B225","St. Andrew's Playground","B225","B","1","B-03","A, Under Tree, In Playground","Active","POINT (-73.94192648402338 40.6789944480962)"
"B271-DF0278","B","Under Tree, In Shade, Out in Open, In Playground","Yes","B271","Railroad Playground","B271","B","1","B-17","B, Under Tree, In Shade, Out in Open, In Playground","Active","POINT (-73.91381058001484 40.648926373288454)"
"M011-DF0945","Indoor Drinking Fountain","Indoor",,"M011","Chelsea Park","M011","M","1","M-04","Indoor Drinking Fountain, Indoor","Active","POINT (-74.00083945512412 40.74985284810603)"
"Q121-DF0479","A","In Shade","No","Q121","Detective Keith L Williams Park","Q121","Q","1","Q-12","A, In Shade","Active","POINT (-73.78503319693438 40.70318723462277)"
"M010-DF0074","B","Out in Open","No","M010","Central Park","M010-ZN36","M","1","M-13","B, Out in Open","Active","POINT (-73.95950999893027 40.79075829673841)"
"B321-DF0222","C","Out in Open, In Playground","No","B321","Edmonds Playground","B321","B","1","B-02","C, Out in Open, In Playground","Active","POINT (-73.97154476094008 40.689107832194324)"
"B169-DF0602","E","Out in Open","No","B169","Coney Island Beach & Boardwalk","B169-ZN06A","B","1","B-13","E, Out in Open","Active","POINT (-73.98672289313475 40.572407376044794)"
"B118A-DF01156","Bottle Filler High Low","In Playground","No","B118A","St. Mary's Park","B118A","B","3","B-06","Bottle Filler High Low, In Playground","Active","POINT (-73.99712198014672 40.67631980317012)"
"B247-DF0444","C","Out in Open, Near Ballfield, Under Tree","No","B247","Breukelen Ballfields","B247","B","1","B-18","C, Out in Open, Near Ballfield, Under Tree","Active","POINT (-73.89065753262187 40.6514456772913)"
"B100-DF0644","E","Out in Open, Just Outside Playground","Yes","B100","Seth Low Playground/ Bealin Square","B100","B","1","B-11","E, Out in Open, Just Outside Playground","Active","POINT (-73.98596757865417 40.60907927024921)"
"B144-DF0152","A","Out in Open","Yes","B144","Ocean Hill Playground","B144","B","1","B-16","A, Out in Open","Active","POINT (-73.91223778911505 40.67419288474587)"
"Q333-DF0067","A","Near Ballfield, Under Tree",,"Q333","Ravenswood Playground","Q333","Q","1","Q-01","A, Near Ballfield, Under Tree","Active","POINT (-73.93504336108533 40.76265194119681)"
"X113-DF0486","CS Metal",,,"X113","Hunts Point Playground","X113","X","1","X-02","CS Metal,","Active","POINT (-73.88590212769002 40.81423095162349)"
"Q024-DF0644","A","Near Ballfield","No","Q024","Kissena Park","Q024-ZN03","Q","1","Q-07","A, Near Ballfield","Active","POINT (-73.81144055148486 40.74719466020166)"
"X201-DF0114","A","Out in Open","Yes","X201","Seton Park","X201","X","1","X-08","A, Out in Open","Active","POINT (-73.91645520794323 40.8863853944794)"
"M010-DF0652","B","Near Ballfield, Under Tree, In Shade","No","M010","Central Park","M010-ZN37","M","1","M-13","B, Near Ballfield, Under Tree, In Shade","Active","POINT (-73.95976417697737 40.792071745886396)"
"M104-DF0159","Bottle Filler High Low","Out in Open","No","M104","Randall's Island Park","M104-ZN02","M","3","M-11R","Bottle Filler High Low, Out in Open","Active","POINT (-73.9188874524465 40.79545480626596)"
"X177-DF0131","C","In Playground, In Shade, Under Tree","No","X177","Castle Hill Playground","X177","X","1","X-09","C, In Playground, In Shade, Under Tree","Active","POINT (-73.85288308299175 40.838959123270435)"
"Q099-DF0209","A","Out in Open, Under Tree","Yes","Q099","Flushing Meadows Corona Park","Q099-ZN20","Q","1","Q-15","A, Out in Open, Under Tree","Active","POINT (-73.84200036633455 40.74037394852612)"
"M077-DF0484","C","Near Ballfield","No","M077","St. Nicholas Park","M077-04","M","1","M-09","C, Near Ballfield","Active","POINT (-73.95039738246079 40.81400869628537)"
"M144-DF0366","A","Near Ballfield","Yes","M144","John V. Lindsay East River Park","M144-ZN03","M","1","M-03","A, Near Ballfield","Active","POINT (-73.97520448652763 40.715800187246906)"
"X044-DF0053","E High Low","Out in Open","Yes","X044","St. James Park","X044","X","2","X-07","E High Low, Out in Open","Active","POINT (-73.89853230864944 40.86529712681362)"
"Q448-DF0968","Bottle Filler Fountain","Indoor",,"Q448","Roy Wilkins Recreation Center","Q448","Q","2","Q-12","Bottle Filler Fountain, Indoor","Active","POINT (-73.76951537340256 40.687241587398276)"
"X045-DF0537","Indoor Drinking Fountain","Indoor",,"X045","St. Mary's Park","X045-ZN02","X","1","X-01","Indoor Drinking Fountain, Indoor","Active","POINT (-73.9141034401238 40.81146817750372)"
"Q326-DF0689","A","In Playground, Under Tree","No","Q326","Bland Playground","Q326","Q","1","Q-07","A, In Playground, Under Tree","Active","POINT (-73.83117156516535 40.75818595822231)"
"Q050-DF0432","Trough","Out in Open","No","Q050","Rockaway Beach","Q050-ZN08B","Q","1","Q-14","Trough, Out in Open","Active","POINT (-73.83610438407652 40.577756443950484)"
"X002-DF0243","C","Near Ballfield","No","X002","Bronx Park","X002-ZN01","X","1","X-06","C, Near Ballfield","Active","POINT (-73.87022953901621 40.85296114551739)"
"B169-DF0567","E","Out in Open","No","B169","Coney Island Beach & Boardwalk","B169-ZN02B","B","1","B-13","E, Out in Open","Active","POINT (-73.96462938746022 40.574727598477665)"
"B157-DF0668","D","In Playground","No","B157","Kelly Park Playground","B157","B","1","B-15","D, In Playground","Active","POINT (-73.95633663556045 40.604577387721726)"
"M028-DF0056","E High Low","In Playground, Under Tree","Yes","M028","Fort Washington Park","M028-03","M","2","M-12","E High Low, In Playground, Under Tree","Active","POINT (-73.94776950207634 40.84023143692381)"
"Q085-DF0152","A","Out in Open","No","Q085","Gorman Playground","Q085","Q","1","Q-03","A, Out in Open","Active","POINT (-73.88405191935165 40.76184701797883)"
"X092-DF0231","Trough","Out in Open","No","X092","Van Cortlandt Park","X092-ZN03","X","1","X-13","Trough, Out in Open","Active","POINT (-73.897479486287 40.89060903529821)"
"Q218-DF0063","Bottle Filler High Low","Under Tree, Out in Open","No","Q218","Dutch Kills Playground","Q218","Q","3","Q-01","Bottle Filler High Low, Under Tree, Out in Open","Active","POINT (-73.9331209716093 40.757512022626216)"
"Q015-DF0917","Indoor Drinking Fountain","Indoor",,"Q015","Forest Park","Q015-ZN06","Q","1","Q-16","Indoor Drinking Fountain, Indoor","Active","POINT (-73.8583908814521 40.69839673993816)"
"B016-DF0012","C","In Playground","No","B016","Maria Hernandez Park","B016-01","B","1","B-04","C, In Playground","Active","POINT (-73.9242414998328 40.703016733535144)"
"M144-DF0684","F High Low","Near_Ballfield",,"M144","John V. Lindsay East River Park","M144-ZN05","M","2","M-03","F High Low, Near_Ballfield","Active","POINT (-73.97382994085692 40.722196120931414)"
"B343-DF0122","A","Under Tree, Near Ballfield, In Shade","Yes","B343","Osborn Playground","B343","B","1","B-16","A, Under Tree, Near Ballfield, In Shade","Active","POINT (-73.90618328412984 40.655666353387595)"
"M010-DF0330","E","Just Outside Playground","Yes","M010","Central Park","M010-ZN17","M","1","M-13","E, Just Outside Playground","Active","POINT (-73.96392369163094 40.777289489722094)"
"X004-DF0079","CS Metal","Just Outside Playground",,"X004","Bronx River Parkway","X004-02","X","1","X-09","CS Metal, Just Outside Playground","Active","POINT (-73.86695328552571 40.88431155506896)"
"B192-DF0696","E","In Playground",,"B192","Russell Pedersen Playground","B192","B","1","B-10","E, In Playground","Active","POINT (-74.03622126815483 40.62641691896806)"
"Q445-DF0878","Bottle Filler High Low","Out_in_Open,Near_Ballfield",,"Q445","Frank Golden Park","Q445","Q","3","Q-07","Bottle Filler High Low, Out_in_Open,Near_Ballfield","Active","POINT (-73.83458119290297 40.78520101180543)"
"Q471-DF0101","Trough","In Playground","No","Q471","Hunter's Point South Park","Q471-01","Q","1","Q-02","Trough, In Playground","Active","POINT (-73.96041575312482 40.74309709527425)"
"Q339-DF0659","C","In Playground",,"Q339","Cambria Playground","Q339","Q","1","Q-13","C, In Playground","Active","POINT (-73.74219452610468 40.688688242427816)"
"B147-DF0729","D","Under Tree, Out in Open, Near Ballfield","No","B147","Monsignor Crawford Field","B147","B","1","B-18","D, Under Tree, Out in Open, Near Ballfield","Active","POINT (-73.9158741027049 40.6147527219141)"
"B068-DF0344","A","Out in Open, Near Ballfield","No","B068","Parade Ground","B073-ZN28","B","1","B-14","A, Out in Open, Near Ballfield","Active","POINT (-73.96642667225402 40.6518949627199)"
"B139-DF0060","Bottle Filler Fountain","Out in Open, Near Ballfield","Yes","B139","Heckscher Playground","B139","B","2","B-04","Bottle Filler Fountain, Out in Open, Near Ballfield","Active","POINT (-73.91818870004563 40.69530632720893)"
"Q358-DF0116","A","Under Tree","No","Q358","Detective William T. Gunn Playground","Q358","Q","1","Q-13","A, Under Tree","Active","POINT (-73.73178169568445 40.731268646116646)"
"M043-DF0196","E and Dog","Under Tree","Yes","M043","Isham Park","M043-ZN02","M","2","M-12","E and Dog, Under Tree","Active","POINT (-73.91928665246915 40.869820037567564)"
"Q102-DF0400","A","Under Tree","No","Q102","Juniper Valley Park","Q102-02","Q","1","Q-05","A, Under Tree","Active","POINT (-73.87734738017261 40.720434958418274)"
"Q005-DF0775","C","Under Tree","No","Q005","Baisley Pond Park","Q005-ZN04","Q","1","Q-12","C, Under Tree","Active","POINT (-73.7877345490433 40.67418187350767)"
"B254-DF0954","A",,,"B254","Wingate Park","B254","B","1","B-09","A,","Active","POINT (-73.94457312014293 40.657691528523756)"
"Q343-DF0064","D","In Playground, Out in Open","No","Q343","Whitestone Playground","Q343","Q","1","Q-07","D, In Playground, Out in Open","Active","POINT (-73.80842593808578 40.791887795350064)"
"B529-DF1119","Indoor Drinking Fountain","Indoor",,"B529","Bushwick Inlet Park","B529","B","1","B-01","Indoor Drinking Fountain, Indoor","Active","POINT (-73.9605965880941 40.72191385914254)"
"B166D-DF0832","D","Out in Open, Near Ballfield","No","B166D","McGuire Fields","B166D","B","1","B-18","D, Out in Open, Near Ballfield","Active","POINT (-73.90001393896193 40.6203910624502)"
"X088-DF0142","F and Dog","In Playground","Yes","X088","Pugsley Creek Park","X088-ZN02","X","2","X-09","F and Dog, In Playground","Active","POINT (-73.85609768284884 40.814153318302864)"
"Q015-DF0910","Indoor Drinking Fountain","Indoor",,"Q015","Forest Park","Q015-ZN01","Q","1","Q-16","Indoor Drinking Fountain, Indoor","Active","POINT (-73.83549546225706 40.710770108439206)"
"Q388-DF0616","A","Near Ballfield","No","Q388","Linnaeus Park","Q388","Q","1","Q-11","A, Near Ballfield","Active","POINT (-73.75140028451645 40.753865818617186)"
"X196-DF0573","Indoor Drinking Fountain","Indoor",,"X196","Haffen Park","X196","X","1","X-12","Indoor Drinking Fountain, Indoor","Active","POINT (-73.83876078153462 40.87432350856469)"
"B251-DF0612","E","Out in Open","Yes","B251","Manhattan Beach Park","B251-ZN01","B","1","B-15","E, Out in Open","Active","POINT (-73.9454310957402 40.57657307277936)"
"M360-DF0869","Trough",,,"M360","The High Line","M360-ZN01","M","1","M-16","Trough,","Active","POINT (-74.0082817037582 40.73981532009086)"
"X281-DF0357","D","Under Tree, In Playground","No","X281","Stop & Go Playground","X281","X","1","X-06","D, Under Tree, In Playground","Active","POINT (-73.8989384642872 40.8448611003192)"
"M058-DF0499","B","In Playground","Yes","M058","Marcus Garvey Park","M058-07","M","1","M-11","B, In Playground","Active","POINT (-73.94373247579473 40.80593143701841)"
"X118-DF0149","A","Just Outside Playground","No","X118","Soundview Park","X118-01","X","1","X-09","A, Just Outside Playground","Active","POINT (-73.87356298753475 40.81947019797402)"
"X126-DF0438","CS Metal","Just Outside Playground",,"X126","Ferry Point Park","X126-ZN04","X","2","X-10","CS Metal, Just Outside Playground","Active","POINT (-73.82626402613498 40.82012099961012)"
"R046-DF0053","E High Low","Out in Open","No","R046","Franklin D. Roosevelt Boardwalk and Beach","R046-ZN04","R","2","R-02","E High Low, Out in Open","Active","POINT (-74.07800479212811 40.57867167306874)"
"Q084A-DF0564","CS Concrete","Out in Open","No","Q099-01","Flushing Meadows Corona Park","Q099-01","Q","1","Q-06","CS Concrete, Out in Open","Active","POINT (-73.84569117084109 40.737072693344786)"
"Q099-DF0296","Double A","Out in Open","Yes","Q099","Flushing Meadows Corona Park","Q099-ZN25","Q","2","Q-15","Double A, Out in Open","Active","POINT (-73.83718267826563 40.733514186911265)"
"BT07-DF0905","C","Out in Open",,"BT07",,"BT07","B","1","B-06","C, Out in Open","Active","POINT (-73.99651593210916 40.689851063755754)"
"M013-DF0344","E","Under Tree","Yes","M013","City Hall Park","M013","M","1","M-01","E, Under Tree","Active","POINT (-74.00515385145142 40.71283130360797)"
"B007-DF0754","CS Metal","In Shade","No","B007","Bensonhurst Park","B007","B","1","B-11","CS Metal, In Shade","Active","POINT (-73.99993807900395 40.59782139867742)"
"B021-DF1112","Indoor Drinking Fountain","Indoor",,"B021","Commodore Barry Park","B021","B","1","B-02","Indoor Drinking Fountain, Indoor","Active","POINT (-73.97772704446864 40.697852284990496)"
"M010-DF0634","E High Low","In Playground, Out in Open","Yes","M010","Central Park","M010-176","M","2","M-13","E High Low, In Playground, Out in Open","Active","POINT (-73.95651213594542 40.78764087657337)"
"M071-DF0896","B",,,"M071","Riverside Park","M071-ZN01","M","1","M-14","B,","Active","POINT (-73.985331347609 40.783127457814196)"
"M236-DF0252","E High Low","Near Ballfield","No","M236","Samuel Seabury Playground","M236","M","2","M-08","E High Low, Near Ballfield","Active","POINT (-73.95058194141633 40.78520377236533)"
"Q428-DF0569","A","Near Ballfield","No","Q428","Horace Harding Playground","Q428","Q","1","Q-06","A, Near Ballfield","Active","POINT (-73.86095259541281 40.73342825209715)"
"M010-DF0677","A","Out in Open","Yes","M010","Central Park","M010","M","1","M-13","A, Out in Open","Active","POINT (-73.95498148124406 40.796487075002396)"
"M211B-DF0550","Bottle Filler High Low","Near Ballfield, Under Tree, Just Outside Playground","No","M211B","St. Nicholas Playground North","M211B","M","3","M-10","Bottle Filler High Low, Near Ballfield, Under Tree, Just Outside Playground","Active","POINT (-73.94698341046764 40.81223837851033)"
"B050-DF0268","C","Near Ballfield","No","B050","Van Voorhees Playground","B050","B","1","B-06","C, Near Ballfield","Active","POINT (-73.99970114059523 40.69080265147553)"
"B345-DF0161","CS Concrete","In Playground","Yes","B345","Ethan Allen Playground","B345","B","1","B-05","CS Concrete, In Playground","Active","POINT (-73.88681473569041 40.65577893501761)"
"M360-DF0120","Trough","Out in Open","Yes","M360","The High Line","M360-ZN02","M","1","M-16","Trough, Out in Open","Active","POINT (-74.00193610696644 40.75226627516638)"
"R008-DF0117","C","Under Tree","No","R008","Faber Pool and Park","R008","R","0","R-01","C, Under Tree","Active","POINT (-74.13574283643253 40.641056690382165)"
"M010-DF0594","E and Dog","Under Tree, In Shade","Yes","M010","Central Park","M010-ZN17","M","2","M-13","E and Dog, Under Tree, In Shade","Active","POINT (-73.96547704079563 40.77560408976612)"
"B052-DF0761","E","Under Tree","No","B052","Leif Ericson Park","B052-03","B","1","B-10","E, Under Tree","Active","POINT (-74.01067034405904 40.63003698758198)"
"M105-DF0219","D","Under Tree, Just Outside Playground, Near Ballfield","No","M105","Sara D. Roosevelt Park","M105","M","1","M-03","D, Under Tree, Just Outside Playground, Near Ballfield","Active","POINT (-73.99128756218997 40.722622926134676)"
"B232-DF0449","CS Metal","Out in Open","Yes","B232","Dean Playground","B232","B","1","B-08","CS Metal, Out in Open","Active","POINT (-73.9729275684851 40.68053051564239)"
"B073-DF0382","Bottle Filler High Low","Out in Open","No","B073","Prospect Park","B073-ZN19","B","3","B-19","Bottle Filler High Low, Out in Open","Active","POINT (-73.96985666573741 40.66080284282792)"
"Q360M-DF0175","A","Under Tree","No","Q360M","Frontera Park","Q360M","Q","1","Q-05","A, Under Tree","Active","POINT (-73.89540202140262 40.724776599945365)"
"B223A-DF0237","E and Dog","Out in Open","Yes","B223A","Dimattina Playground","B223A","B","2","B-06","E and Dog, Out in Open","Active","POINT (-74.00306850470236 40.67981793258155)"
"M028-DF0227","E","In Playground,Under_Tree,In_Shade,Out_in_Open,In_Playground","Yes","M028","Fort Washington Park","M028-02","M","1","M-12","E, In Playground,Under_Tree,In_Shade,Out_in_Open,In_Playground","Active","POINT (-73.94603057323395 40.83896486044136)"
"M071-DF0082","A","Out in Open","No","M071","Riverside Park","M071-ZN17","M","1","M-14","A, Out in Open","Active","POINT (-73.96419102431756 40.81154526024623)"
"B270-DF1093","Indoor Drinking Fountain","Indoor",,"B270","Brownsville Playground","B270","B","1","B-16","Indoor Drinking Fountain, Indoor","Active","POINT (-73.90278394172616 40.65622334615274)"
"R156-DF0028","E","Out in Open","Yes","R156","Sylvan Grove Cemetery","R156","R","1","R-02","E, Out in Open","Active","POINT (-74.19250697632565 40.591001423913674)"
"B073-DF0955","E","Under Tree","Yes","B073","Prospect Park","B073-ZN06","B","1","B-19","E, Under Tree","Active","POINT (-73.97358225548372 40.65640185137434)"
"B214-DF0031","A","Under Tree","No","B214","Linden Park","B214-01","B","1","B-05","A, Under Tree","Active","POINT (-73.88730209861464 40.658242457831264)"
"M353-DF0079","D","Out in Open","Yes","M353","Riverside Park South","M353-ZN03","M","1","M-14","D, Out in Open","Active","POINT (-73.99227638209375 40.77489174135481)"
"M071-DF0094","A","Out in Open, Under Tree","No","M071","Riverside Park","M071-ZN22","M","1","M-14","A, Out in Open, Under Tree","Active","POINT (-73.96963278782188 40.80671148414531)"
"B361-DF0263","D","In Playground",,"B361","Boerum Park","B361","B","1","B-06","D, In Playground","Active","POINT (-73.99042922905407 40.68462908263089)"
"X039-DF0589","Indoor Drinking Fountain","Indoor",,"X039","Pelham Bay Park","X039-ZN18","X","2","X-15A","Indoor Drinking Fountain, Indoor","Active","POINT (-73.79391642002638 40.86700472641553)"
"B049-DF0042","E","In Playground, Under Tree, In Shade","Yes","B049","Irving Square Park","B049","B","1","B-04","E, In Playground, Under Tree, In Shade","Active","POINT (-73.90880933294608 40.69281815924027)"
"B431-DF0953","Bottle Filler Fountain","In Playground, Out in Open",,"B431","Brooklyn Bridge Park","B431-ZN06","B","2","B-02","Bottle Filler Fountain, In Playground, Out in Open","Active","POINT (-74.00136473977179 40.69270374744479)"
"Q162J-DF0350","D","Just Outside Playground","No","Q162J01","Beach 9 Playground","Q162J01","Q","1","Q-14","D, Just Outside Playground","Active","POINT (-73.74608302326126 40.59513869376146)"
"X029-DF0216","Bottle Filler High Low","In Playground","No","X029","Lyons Square Playground","X029","X","3","X-02","Bottle Filler High Low, In Playground","Active","POINT (-73.88816991055846 40.82270637412441)"
"B126-DF0005","A","Out in Open","Yes","B126","Red Hook Recreation Area","B126","B","1","B-06","A, Out in Open","Active","POINT (-74.0043994318115 40.67304795470494)"
"X305-DF0333","Bottle Filler High Low","Out in Open","No","X305","Concrete Plant Park","X305","X","3","X-02","Bottle Filler High Low, Out in Open","Active","POINT (-73.88526277813091 40.824286423480096)"
"X113-DF0583","E High Low","Near Entrance",,"X113","Hunts Point Playground","X113","X","2","X-02","E High Low, Near Entrance","Active","POINT (-73.88622415232842 40.81414169822743)"
"Q012B-DF0753","A","Near Ballfield","No","Q012B","John Golden Park","Q012B","Q","1","Q-07A","A, Near Ballfield","Active","POINT (-73.76971862345277 40.77330172342176)"
"B126-DF0064","A","Out in Open, Near Ballfield","No","B126","Red Hook Recreation Area","B126-ZN05","B","1","B-06","A, Out in Open, Near Ballfield","Active","POINT (-74.00560879807102 40.67195825984818)"
"M071-DF0054","B","Under Tree","No","M071","Riverside Park","M071-ZN13","M","1","M-14","B, Under Tree","Active","POINT (-73.9751339863347 40.79717330631414)"
"R086-DF0106","C","In Playground","No","R086","Davis Playground","R086","R","1","R-01","C, In Playground","Active","POINT (-74.08596823437438 40.64234637617811)"
"Q364-DF0624","A","Near Ballfield, Just Outside Playground","No","Q364","Marie Curie Playground","Q364","Q","1","Q-11","A, Near Ballfield, Just Outside Playground","Active","POINT (-73.77186741161425 40.756505812094346)"
"Q414-DF0522","A","Under Tree","Yes","Q414","Rocket Playground","Q414","Q","1","Q-10","A, Under Tree","Active","POINT (-73.84618602979063 40.670579757913195)"
"B052-DF0784","C","Near Ballfield","No","B052","Leif Ericson Park","B052","B","1","B-10","C, Near Ballfield","Active","POINT (-74.01914632214599 40.635171736360334)"
"Q051-DF0306","C","Out in Open","No","Q051","St. Albans Park","Q051","Q","1","Q-12","C, Out in Open","Active","POINT (-73.77972998970635 40.69303348849963)"
"M193-DF0548","A","In Playground, Under Tree","Yes","M193","Abraham Lincoln Playground","M193","M","1","M-11","A, In Playground, Under Tree","Active","POINT (-73.93689190732788 40.81210337167227)"
"M144-DF0374","C","Near Ballfield","No","M144","John V. Lindsay East River Park","M144-ZN04","M","1","M-03","C, Near Ballfield","Active","POINT (-73.97439795312285 40.71968567547498)"
"B073-DF1042","Bottle Filler Fountain","Indoor",,"B073","Prospect Park","B073-ZN03","B","2","B-19","Bottle Filler Fountain, Indoor","Active","POINT (-73.97370645920105 40.666899529466434)"
"Q005-DF0331","A","Near Ballfield","No","Q005","Baisley Pond Park","Q005-ZN05","Q","1","Q-12","A, Near Ballfield","Active","POINT (-73.78838490452105 40.67056174366752)"
"B060-DF0753","C","In Playground","No","B060","McKinley Park","B060-01","B","1","B-10","C, In Playground","Active","POINT (-74.0169173290446 40.62652456885537)"
"Q163-DF0336","C","Out in Open","Yes","Q163","Rockaway Beach Boardwalk","Q163-ZN07B","Q","1","Q-14","C, Out in Open","Active","POINT (-73.82926156071676 40.57966123463506)"
"Q021-DF0506","A","Out in Open, Near Ballfield","No","Q021","Cunningham Park","Q021-ZN03","Q","1","Q-08","A, Out in Open, Near Ballfield","Active","POINT (-73.76864162333601 40.736097362415585)"
"M010-DF0660","E","In Shade, Under Tree","Yes","M010","Central Park","M010-ZN30","M","1","M-13","E, In Shade, Under Tree","Active","POINT (-73.96726043666096 40.784740074357245)"
"B057-DF0842","D","In Playground","No","B057","Marine Park","B057-04","B","1","B-18","D, In Playground","Active","POINT (-73.92637398686408 40.606495519995306)"
"R042-DF0008","A","Under Tree","Yes","R042","Kaltenmeier Playground","R042","R","1","R-01","A, Under Tree","Active","POINT (-74.06856332171687 40.61484950618542)"
"B113A-DF0794","E","Out in Open, Under Tree","Yes","B113A","Cadman Plaza Park","B113A","B","1","B-02","E, Out in Open, Under Tree","Active","POINT (-73.99114051668018 40.697272975995254)"
"M042-DF0179","A","Under Tree","Yes","M042","Inwood Hill Park","M042-ZN01","M","1","M-12","A, Under Tree","Active","POINT (-73.92138981036987 40.870487261384135)"
"Q021-DF0502","A","Out in Open, Near Ballfield","No","Q021","Cunningham Park","Q021-ZN03","Q","1","Q-08","A, Out in Open, Near Ballfield","Active","POINT (-73.77026264471104 40.73569714548337)"
"R046-DF0046","A","Near Ballfield","Yes","R046","Franklin D. Roosevelt Boardwalk and Beach","R046-ZN04","R","1","R-02","A, Near Ballfield","Active","POINT (-74.08306917888979 40.574093216136845)"
"B073-DF1159","Indoor Drinking Fountain","Indoor",,"B073","Prospect Park","B073","B","1","B-19","Indoor Drinking Fountain, Indoor","Active","POINT (-73.97455123694687 40.66536689733823)"
"X243-DF0293","Trough","Out in Open, Just Outside Playground","No","X243","Estella Diggs Park","X243","X","1","X-03","Trough, Out in Open, Just Outside Playground","Active","POINT (-73.9064675681541 40.829068499927835)"
"B066-DF0715","A","Just Outside Playground","No","B066","Owl's Head Park","B066","B","1","B-10","A, Just Outside Playground","Active","POINT (-74.0309828990796 40.63981947775264)"
"M257-DF0206","A","Under Tree, In Shade, In Playground","Yes","M257","Clement Clarke Moore Park","M257","M","1","M-04","A, Under Tree, In Shade, In Playground","Active","POINT (-74.00410576051061 40.74661845690151)"
"Q008-DF0683","A","Out in Open","No","Q008","Brookville Park","Q008-ZN01","Q","1","Q-13","A, Out in Open","Active","POINT (-73.74202930676597 40.66279275709816)"
"R046-DF0036","A","Out in Open","Yes","R046","Franklin D. Roosevelt Boardwalk and Beach","R046-ZN05","R","1","R-02","A, Out in Open","Active","POINT (-74.0906063593984 40.56887191924813)"
"X010A-DF0213","C","Under Tree","No","X010A","Tremont Park","X010A-01","X","1","X-06","C, Under Tree","Active","POINT (-73.89392334984046 40.84601623346243)"
"Q393A-DF0172","D","Near Ballfield","No","Q393A","LaGuardia Landing Lights","Q393A","Q","1","Q-03","D, Near Ballfield","Active","POINT (-73.89001672544825 40.762240909794066)"
"Q396-DF0874","D","Near_Ballfield",,"Q396","Montbellier Park","Q396","Q","1","Q-12","D, Near_Ballfield","Active","POINT (-73.75687043716883 40.67444772680972)"
"M005-DF0900","Other","north east corner of plaza",,"M005","The Battery","M005-06","M","1","M-01","Other, north east corner of plaza","Active","POINT (-74.01299033255626 40.70222216322705)"
"B068-DF0332","A","Under Tree, Near Ballfield, In Shade",,"B068","Parade Ground","B073-ZN27","B","1","B-14","A, Under Tree, Near Ballfield, In Shade","Active","POINT (-73.96961708342931 40.64909332667493)"
"M071-DF0022","B","Out in Open, Near Ballfield, Under Tree","Yes","M071","Riverside Park","M071-ZN02","M","1","M-14","B, Out in Open, Near Ballfield, Under Tree","Active","POINT (-73.98750385176048 40.781805833291806)"
"X039-DF0098","A","Out in Open","Yes","X039","Pelham Bay Park","X039-ZN16","X","1","X-15","A, Out in Open","Active","POINT (-73.79049170894469 40.86964487171627)"
"X039-DF0010","Bottle Filler High Low","Near Ballfield","No","X039","Pelham Bay Park","X039-ZN01","X","3","X-15","Bottle Filler High Low, Near Ballfield","Active","POINT (-73.82222970159874 40.84888173188501)"
"M206-DF0429","C","Under Tree, Near Ballfield","No","M206","Tanahey Playground","M206","M","1","M-03","C, Under Tree, Near Ballfield","Active","POINT (-73.99457717633796 40.71037539948273)"
"B028-DF0864","A","Near Ballfield","No","B028","Dyker Beach Park","B028-ZN01","B","1","B-10","A, Near Ballfield","Active","POINT (-74.02011425361687 40.60469296493198)"
"R022-DF0148","A","Out in Open","Yes","R022","Silver Lake Park","R022-ZN01","R","1","R-01","A, Out in Open","Active","POINT (-74.09346100714173 40.62613802903979)"
"Q163-DF0424","Trough","Out in Open","No","Q163","Rockaway Beach Boardwalk","Q163-ZN06A","Q","1","Q-14","Trough, Out in Open","Active","POINT (-73.81534082919515 40.58328052034632)"
"Q099-DF0126","A","Just Outside Playground, Under Tree","Yes","Q099","Flushing Meadows Corona Park","Q099-ZN19","Q","1","Q-15","A, Just Outside Playground, Under Tree","Active","POINT (-73.84961008002799 40.741964008759076)"
"Q094-DF0593","C","Out in Open","No","Q094","Tudor Park","Q094","Q","1","Q-10","C, Out in Open","Active","POINT (-73.84809520672721 40.67147010318035)"
"Q094-DF0495","D","Under Tree","No","Q094","Tudor Park","Q094-01","Q","1","Q-10","D, Under Tree","Active","POINT (-73.85399730542328 40.67297818880668)"
"B032-DF0322","E and Dog","Out in Open","Yes","B032","Fort Greene Park","B032-ZN02","B","2","B-02","E and Dog, Out in Open","Active","POINT (-73.97469350514939 40.69071833783861)"
"M010-DF0629","E","Out in Open","Yes","M010","Central Park","M010-ZN32","M","1","M-13","E, Out in Open","Active","POINT (-73.95918103645948 40.78411120794686)"
