"project_id","description","client_agency","division","phase","projected_construction_completion","scope","dollar_amount","status"
"NC-61A","NEWTON CREEK NATURE WALK - PHSE 3","ENVIRONMENTAL PROTECTION","Public Buildings","Construction","2021-03-14T00:00:00.000","On the demapped portion of Kingsland Avenue east of Whale Creek, Brooklyn, the construction of a gated and fenced garden with various plantings, walkways , shade structures, lighting signage as phase III of the Newtown Creek Nature Walk. Phase II which shall be constructed in the Whale Creek to connect the existing Phase I with the future garden of Phase III shall be tracked in Project Info as NC-61.","$10M to 30M","Active"
"P109STARA","STARLIGHT PARK COMFORT STATION  X147-111M","PARKS & RECREATION","Public Buildings","Construction","2020-01-07T00:00:00.000","Construction of a new 1800 sf comfort station and maintenance garage in Starlight Park, Bronx.","$1M to 3M","Active"
"P1YANK15A","Bronx Children's Museum","PARKS & RECREATION","Public Buildings","Construction","2020-05-15T00:00:00.000","The Bronx Childrens Museum and the New York City Department of Parks and Recreation (NYCDRP) will renovate and fit-out the 11,000 Sq Ft second floor of Building J at the Bronx Terminal Market as the new home of Bronx Childrens Museum (BXCM).  The intent is to create exhibit space, interactive program spaces, creative workshops, and a community room to involve parents and children in learning activities.  All required amenities, structural, and MEP work shall be included in the proposed designs.  The scope also includes exterior and interior signage and lighting.  Any requirement for acoustic separation within the museum space and from the first floor office space shall be considered.  This project shall achieve minimum LEED Silver rating.","$10M to 30M","Active"
"P-407BHI3","BOWNE HOUSE INTERIOR RESTORATIONS","PARKS & RECREATION","Public Buildings","Design","2022-03-15T00:00:00.000","The goal of the interior restoration is to preserve the intact historic fabric, including the distinctive wood
paneling in the living room, as well as the historic plaster and casing work. The project will address all of
the interior spaces on the first and second floors, including the restoration of the kitchen - reinstallation of
the floor and installation of new plaster finishes.

The restoration will include the upgrading of all systems including the electrical and plumbing, as well as
the introduction of an HVAC system for improved climate control and greater public use/access of the
house.

Design will include investigation of structural issues (condition of the interior beams and framing) and
investigation of potential contaminated/hazardous materials including lead paint and asbestos.","$3M to 10M","Active"
"P-407KIN2","Kingsland Homestead Roof/Floor Renovations","PARKS & RECREATION","Public Buildings","Construction","2020-02-21T00:00:00.000","Kingsland Homestead is a historic farmhouse typical of those built in the New York area in the 18th
century. It serves as a museum, with public exhibits and scholarly archives on site. This project will
replace the failing roof. Funding permitting, this project will also address other needed elements,
including new wood floors and new window shutters.","$1M or less","Active"
"P-413QCF1","QUEENS CTY FARM MUSEUM PHASE 2 FARMLAND RESTORATION","PARKS & RECREATION","Public Buildings","Procurement","2020-11-30T00:00:00.000","The project consists of restoring the reconstructed barn and garage buildings at the Queens County Farm Museum currently used for administrative and public gathering purposes. The scope includes installing new HVAC systems, improving the building envelope, structural changes and stabilization, exterior replacement of faux garage doors and ADA access ramp.","$3M to 10M","Active"
"PO002-116","NEW 116TH PCT","POLICE","Public Buildings","Procurement","2022-04-05T00:00:00.000","Construction of a new precinct station house facility and associated site work for the new 116th Precinct.","$30M to 100M","Active"
"PO141-40P","NEW 40TH PRECINCT","POLICE","Public Buildings","Construction","2021-06-25T00:00:00.000","Design and build a new Police Precinct with full cellar totalling 49,000 sq. ft. on an existing City owned property in the Bronx.","$30M to 100M","Active"
"PO79-77FA","77TH PRECINCT FIRE ALARM SYSTEM","POLICE","Public Buildings","Design","2023-10-19T00:00:00.000","Provide new non-proprietary open Architecture Code compliant fire alarm
system
Provide for integration or the capacity for future integration into a building
BMS/ Life Safety (DDC) System","$1M to 3M","Active"
"PO79BMAHQ","ONE POLICE PLAZA PAVING AND LANDSCAPING","POLICE","Public Buildings","Design","2021-08-21T00:00:00.000","Restoration of Plaza at One Police Plaza.  Plaza has heaving.  Check for leaks in concrete slab.  Replace expansion joints.  Install waterproofing membrane.  Reinstall pavers,","$1M to 3M","Active"
"PO79BMAHW","114TH PCT PLUMBING SYSTEM REPLACEMENT","POLICE","Public Buildings","Closeout","2019-10-22T00:00:00.000","Project scope is remediation of sewer back-up contamination;separation of storm and sanitary outflow within upper floors of building  leading to basement trap/outflow. In addition, ponding condition in parking lot will be corrected.","$1M to 3M","Active"
"PO79BMAIU","FRONT DESK RECONSTRUCTION AT  20TH, 25TH, 30TH, 34TH PCTS","POLICE","Public Buildings","NA","2024-05-01T00:00:00.000","FRONT DESK RECONSTRUCTION AT  20TH, 25TH, 30TH, 34TH PCTS","$1M or less","Active"
"PO79BMAJU","26TH PRECINCT ROOF, WINDOWS & FACADE","POLICE","Public Buildings","Design","2023-05-01T00:00:00.000","Removal and replacement of roofing, façade and windows, masonry and plumbing. Disconnect and reconnect any electric power conduits or appurtenances that may interfere with aforementioned job, data and telephone lines attached or associated to the existing roof.","$3M to 10M","Active"
"PO79FDBNX","BRONX FRONT DESK REPLACEMENT 42ND, 44TH, 52ND, 108TH","POLICE","Public Buildings","Procurement","2021-07-14T00:00:00.000","TO PROVIDE FOR THE FRONT DESK REPLACEMENT AT THE 42ND, 44TH, 52ND AND 108TH PCT IN THE BRONX","$1M to 3M","Active"
"PWCOMPDAT","Comptroller's Office Data Center Replacement at 1 Centre St.","DCAS","Public Buildings","Design","2022-03-11T00:00:00.000","Replacement of outdated Data Center and HVAC","$1M or less","Active"
"PO79FDCW1","Front Desk Renovations for 45th, 75th, 105th, 123rd  PCTS","POLICE","Public Buildings","Design","2023-08-23T00:00:00.000","DDC shall furnish Contract documents, (drawings and specifications) labor, materials, equipment and appliances necessary and required to build and install a new front desk, and other miscellaneous work.
DDC should verify all existing conditions, existing utilities to be located and/or replaced.
Demolition and removal of existing front desk.
Removal/relocation of existing outlets, data and telephone lines.
e)	New wood platform and clean/polish existing aluminum railing and gate.","$1M or less","Active"
"PO79FDQNS","QUEENS FRONT DESK REPLACEMENT 104TH, 109TH, 114TH, 115TH","POLICE","Public Buildings","NA","2023-05-01T00:00:00.000","To Provide for the front desk (Sargent's Desk ) replacement AT 104th, 109th, 67th, 46th precincts located in Queens, Brooklyn and Bronx NY.","$1M or less","Active"
"PO79GENER","GENERATOR REPLACEMENT AT VARIOUS PRECINCTS","POLICE","Public Buildings","Construction","2020-09-24T00:00:00.000","Removal and replacement of generators and associated accessories.  The new generators will be permanently affixed to the Precincts.","$3M to 10M","Active"
"PO79ROD","NEW FIREARMS TRAINING FACILITY","POLICE","Public Buildings","Design","2025-09-07T00:00:00.000","Provide design and construction administration services for a consolidated state of the art secure training facility and compound. The facility shall consist of new partially baffled outdoor ranges, a tactical training village, a training/administration building and associated security and infrastructure improvements. 

To consolidate and provide a Firearms Training facility that meets modern Firearms and Tactical Training standards. To provide sheltered firearm ranges that will mitigate noise pollution for adjacent neighborhoods, reduce hazardous waste removals and provide appropriate infrastructure in a secure compound.","$100M to 500M","Active"
"PO79SHOPR","SERVICE SHOP #6 ROOF RENOVATION","POLICE","Public Buildings","Design","2023-04-30T00:00:00.000","TO PROVIDE LABOR AND MATERIALS FOR THE SERVICE SHOP #6 ROOF RENOVATION AND FACADE REHABILITATION, LOCATED 151 30TH STREET BROOKLYN NY","$3M to 10M","Active"
"PO79WNDWS","HWY UNIT 3, 67TH, 76TH, 111TH PCT WINDOW RPLCMNT","POLICE","Public Buildings","Design","2024-05-07T00:00:00.000","Remove existing windows/replace with new at 4 precincts (67,76,111,Hwy 3.)","$3M to 10M","Active"
"PROCONTRL","Project Controls Management Services","UNKNOWN","Public Buildings","NA","2030-12-31T00:00:00.000","This is a project controls pilot program that engages consultants in support of project controls. The objective of the pilot program is to analyze project data to positively influence cost and schedule of the projects supported.","$1M to 3M","Active"
"PV001SELM","LAH - Louis Armstrong House - Administration Facility","CULTURAL AFFAIRS","Public Buildings","Design","2022-07-18T00:00:00.000","Complete rehabilitation/restoration of the house at: 34-52 107th Street, (Admin. Facility)
from basement to roof (interior & exterior)
Non City owned","$1M to 3M","Active"
"PV002CULT","Culture Shed, Construction","CULTURAL AFFAIRS","Public Buildings","Construction","2020-10-21T00:00:00.000","Tower D BIN: 1089411.  CS Fixed Building will be an Alt 1 to Tower D, so should have the same BIN.

Site block/lot:  Block 702, parts of Lots 4 and 10
Site address:  545 West 30th Street, NY NY  10001
Anticipated construction completion date for the fixed building, phase 1, is Oct 16, 2019.
 
The Culture Shed is a brand new cultural facility (“the Culture Shed facility”) of approximately 199,000 square feet that will be located on West 30th Street in the Eastern Rail Yards at the Hudson Yards. The facility will be a multi-purpose venue. Culture Shed will produce and present a full calendar of events in its architecturally dynamic spaces that include galleries as well as flexible spaces to accommodate a range of performance disciplines.

The Culture Shed facility includes a non-moving, fixed building (the “Culture Shed Building”) and a moving, retractable shed (the “Shed”) that may be deployed over the Culture Shed Plaza (“the Plaza”) to the east of the Culture Shed Building to provide additional indoor or covered outdoor space for exhibitions and other programming.

Phase 1, “The Project” (the Culture Shed Building) is the subject of this CCG application.  Phases 2 and 3 are not the subject of this CCG application, but are described below to provide a full description of the entire Culture Shed facility and the context for Phase 1.  

The overall Culture Shed facility will consist of the following phases:

•	Phase 1:  The Culture Shed Building:  This portion of the facility is referred to as the “fixed building”.  It is an 84,733 square foot, 107 foot tall, seven story structure containing museum-quality exhibition and performance galleries, a café, a roof gallery, circulation, and support spaces. It features expansive column-free floor plates that are suitable for the presentation of exhibitions and a wide range of performance productions and will include all the essential operating infrastructure to produce visual art exhibits, performances, and events.  The Culture Shed will only initiate Phase 1 in concert with the building of the Tower D core and shell where the mechanical, electrical, plumbing, and life safety systems that serve the fixed building reside.  These systems are included in the Phase 1 scope. Phase 1 is “The Project” that is the subject of this CCG application.  Anticipated construction completion date is Oct 16, 2019

•	Phase 2:  The Shed and the Plaza:  The Shed is a 125 foot tall movable structure comprised of 3 sides (north, east,south) and a roof. Its western side is open and is filled by the eastern face of the Culture Shed Building to which it is connected.  In the nested position, the Shed covers the Culture Shed Building (north, east, south, overhead).  In the deployed position, the Shed no longer covers the Culture Shed Building, but is still connected to it at the fixed building’s easternmost façade.   The Plaza is an 18,000 square foot open space directly east of the Culture Shed Building.  When deployed, the Shed covers the Plaza creating a large, tall, and flexible space for a multitude of programming.   When the Shed is not deployed (ie it is nested over the Culture Shed Building), the Plaza will be completely open-air and used for a variety of cultural activities that will be open to the public.  Phase 2 is part of the overall Culture Shed facility, but is not included in “The Project” that is the subject of this CCG application.

•	Phase 3:  Portions of Culture Shed in Tower D and the Podium:  Portions of the Culture Shed facility, primarily back office, service facilities, and mechanical rooms will be located in the residential building currently known as Tower D to be developed by the Eastern Rail Yard (ERY) Developer, Related Properties. Tower D is located on the east side of Eleventh Avenue between West 30th and West 31st Streets, immediately west of and adjacent to the Culture Shed Building.  The portions of the Culture Shed facility within Tower D are easily accessible from the Culture Shed Building as they are co-level, adjacent, and separated only by a structural construction joint.  

Portions of the Culture Shed facility, primarily lobbies, restrooms, coffee bar, bookstore, back offices, catering kitchen, loading and service facilities, and mechanical rooms will also be located in the Podium.  The Podium is defined as the area below plaza level, below the Culture Shed Building and the Plaza,that is to be developed by Related Properties.  The portions of the Culture Shed facility within the Podium are easily accessible from the Culture Shed Building above via stairs and elevators.  

Culture Shed Inc. is responsible for reimbursing Related Properties for the core and shell construction of the portions of Tower D and the Podium occupied by the Culture Shed facility (foundations, floor and roof structure, slabs,roofing, waterproofing, and curtainwall).  Culture Shed Inc. is responsible for construction and payment for the fit-out of these spaces (interior partitions, finishes, vertical transporation, glazing, etc.) by its own construction manager.  Phase 3 is part of the overall Culture Shed facility, but is not included in “The Project” that is the subject of this CCG application.","$30M to 100M","Active"
"PV019-REN","ALV - Alvin Ailey Dance Building Renovation/Addition","CULTURAL AFFAIRS","Public Buildings","Construction","2021-04-30T00:00:00.000","ALVIN AILEY DANCE FOUNDATION, INC:  NEW BUILDING ADDITION AND RENOVATION; Program transferred  4/21/17.","$3M to 10M","Active"
"PV028-ISS","Issue Project Room - interior fitout","CULTURAL AFFAIRS","Public Buildings","Procurement","2022-02-21T00:00:00.000","A  4,600 sq. ft. theater  renovation for multi disciplinary and new media arts performances.



Estimated Construction Cost: $2.5M

Approved Design CP Amount $596,668

Design CP Breakdown:
WORK AC $555,620
Commissioning allowance $40,000

Construction CP's:
PH1 JOCS - Acoustic wall $171,898.51
sibmitted on 5/15/14 to CBA","$3M to 10M","Active"
"PV034NWCH","AMNH - Northwest Coast Hall  Renovation","CULTURAL AFFAIRS","Public Buildings","Design","2023-06-01T00:00:00.000","The work associated with the total proposed project includes the removal of HVAC in 1997 under City-funded Pass-Through PVC034-S. The project will not disturb or demolish any other City-funded improvements; the existing lighting that was previously funded by the PV034CPWR will remain intact. PV034-S is beyond the useful life of the registered Pass-Through and the bonds are expired.","$3M to 10M","Active"
"PV040ELEV","FTH - Flushing Town Hall Elevator Replacement","CULTURAL AFFAIRS","Public Buildings","Design","2022-12-30T00:00:00.000","Replacement of elevator hydraulics and related electrical work, carpentry work, and flooring replacement","$1M or less","Active"
"PV072HVAC","BHS - Brooklyn Historic Society HVAC Replacement","CULTURAL AFFAIRS","Public Buildings","Initiation","2023-02-17T00:00:00.000","BROOKLYN HISTORIC SOCIETY: Climate Control Upgrade: Chiller, cooling  tower, air handling units","$3M to 10M","Active"
"PV122-DTH","DTH - Dance Theater of Harlem - Boiler Replacement","CULTURAL AFFAIRS","Public Buildings","Procurement","2022-07-26T00:00:00.000","HVAC Replacement & Systems Upgrade","$10M to 30M","Active"
"PV132DCTV","DCTV - DOWNTOWN COMMUNITY TELEVISION RENOVATION","CULTURAL AFFAIRS","Public Buildings","Construction","2021-06-29T00:00:00.000","Renovation of building to create independent media center in Lower Manhattan. $43K OV0N132 o/l 005 txf to 850 PV467DCTV to cover cons contract close out. per DCLA/AHB 2 26 16.","$1M to 3M","Active"
"PV143INFR","EKC - Elaine Kaufman Center - Infrastructure Phase One","CULTURAL AFFAIRS","Public Buildings","NA","2022-09-26T00:00:00.000","EKC - Elaine Kaufman Center - Infrastructure Phase One","$1M or less","Active"
"PV175ROOF","SIZ - Roof Replacement","CULTURAL AFFAIRS","Public Buildings","Construction","2021-05-05T00:00:00.000","Staten Island Zoo - 16,000 Roof and Canopy Restoration","$3M to 10M","Active"
"PV176CESU","WCS - Bronx Zoo - Con Ed Switchgear Upgrade","CULTURAL AFFAIRS","Public Buildings","Procurement","2022-09-21T00:00:00.000","Upgrade of Bronx Zoo's electrical service and equipment to enable the facility to receive power back up from Con Edison.","$10M to 30M","Active"
"PV204-LOB","JALC - Jazz at Lincoln Center Lobby Reconfiguration","CULTURAL AFFAIRS","Public Buildings","Construction","2020-03-20T00:00:00.000","Jazz at Lincoln Center Lobby Reconfiguration","$3M to 10M","Active"
"PV205CONS","NYBG - NY Botanical Garden - Conservatory Dome/Boiler Rep.","CULTURAL AFFAIRS","Public Buildings","Construction","2022-05-31T00:00:00.000","The Conservatory at the New York Botanical Garden is made up of 11 Greenhouses (Houses 1 through 11). This project will restore components of House 6 not restored in the 1990 restoration, which include but are not limited to: the compression ring; high performance coatings; the cupola; upgrades of the public restrooms; boiler, heating and distribution systems; exhibition and path lighting; roofing systems; exterior cast iron entablature and courtyard paving.","$10M to 30M","Active"
"PV235ELEV","BMA - Brooklyn Museum - Bldg. Elevators/Electrical Upgrades","CULTURAL AFFAIRS","Public Buildings","Construction","2022-12-30T00:00:00.000","For each of four elevators (one freight, one staff, and two public elevators) remove existing controllers, motors, deflector sheaves, hoist cables, rope brakes, governor cable, tracks, hangers, interlocks and closers, roller guides, intercom, cab controls, and floor controls and install new.  For each of four elevators install new cab controls, lighting and ceilings and new wall and floor finishes over existing framing.","$1M to 3M","Active"
"PV236SGD3","BBG - Brooklyn Botanic Garden - South Garden Dev. Phase 3","CULTURAL AFFAIRS","Public Buildings","Construction","2021-01-29T00:00:00.000","The Rehabilitation of an approximately ten and a half acre portion of the Brooklyn Botanic Garden","$10M to 30M","Active"
"PV241EXTR","MCNY - Exterior Facade Rehabilitation","CULTURAL AFFAIRS","Public Buildings","Design","2022-02-03T00:00:00.000","Exterior Rehabilitation and Restoration","$3M to 10M","Active"
"PV262-AUD","Brooklyn Children's Museum Auditorium","CULTURAL AFFAIRS","Public Buildings","Construction","2021-07-23T00:00:00.000","Theatre Fit-out including seating, finishes and audio visual systems.","$3M to 10M","Active"
"PV262-RTW","BCM - Brooklyn Children's Museum Retaining Wall","CULTURAL AFFAIRS","Public Buildings","Design","2023-08-24T00:00:00.000","Retaining wall reconstruction and outdoor space improvements","$3M to 10M","Active"
"PV266-EXT","MIN - Mind-Builders Exterior Renovation","CULTURAL AFFAIRS","Public Buildings","Construction","2020-04-22T00:00:00.000","Exterior renovation: 
Façade restoration, including brick repointing and replacement as req'd, and window replacement.  Façade Area: approx. 12,000sf.","$1M to 3M","Active"
"PV272EDUC","QBG - Queens Botanical Garden Educ Bldg Renovation","CULTURAL AFFAIRS","Public Buildings","Design","2024-03-04T00:00:00.000","New education building at Queens Botanical Garden (QBG). Design and construction of a new 14,500 SF building to provide year-round programming and educational spaces to serve students, children, community gardeners, and others.
The New Education Building will add six new teaching spaces, including four classrooms, a teaching kitchen and a teaching greenhouse where educators will be able to grow and maintain plants for educational purposes. Ideally, the four regular classrooms will be able to opened up into one large space to accommodate larger training programs.","$10M to 30M","Active"
"PV274CHLL","NYHOS - New York Hall of Science - Chiller Replacement","CULTURAL AFFAIRS","Public Buildings","Procurement","2022-11-14T00:00:00.000","Existing chillers and pumps are approximately 25 years old and they are at the end of their life cycle.
They are no longer energy efficient and environmentally friendly. New chillers should provide energy
savings, reduce greenhouse gas emissions, and improve visitors experience due to better climate control
in the building.

Replacement of two obsolete chillers
• Replacement of three chilled water and three condensate water pumps associated with chillers
• Replacement of controls for chillers and pumps and connecting them to Building Management
Control System","$3M to 10M","Active"
"PV274KITR","NYHOS - NY Hall of Science,Great Hall, Kitchen & Restroom","CULTURAL AFFAIRS","Public Buildings","Procurement","2021-05-25T00:00:00.000","Existing kitchen and restrooms are approximately 25 years old. Kitchen equipment is outdated and of it is not in working condition. Reconstructed kitchen and restrooms will improve visitors experience by providing additional services to the public.

•	Reconstruction of women’s and men’s restrooms
•	Reconstruction and upgrade of existing kitchen","$1M to 3M","Active"
"PV289ELEV","NYSF - Public Theater Elevator Renovation","CULTURAL AFFAIRS","Public Buildings","Construction","2021-02-12T00:00:00.000","The Elevator Renovation project is being undertaken in order to bring the two elevators in The Public's historic home at 425 Lafayette Street up to modern standards.  The elevators were originally installed decades ago and last received full mechanical updates over 25 years ago.  The north elevator is the older system of the two, and until a recent incident permanently damaged its mechanics, was operating via an outdated relay-logic system.  Both the north and south elevators have required constant maintenance to keep them operational, and an update of the mechanical systems for both will improve safety and efficiency and better serve patrons, artists, and staff.","$1M or less","Active"
"PV291-QM2","QMA - Queen's Museum of Art Expansion Phase II","CULTURAL AFFAIRS","Public Buildings","Initiation","2024-04-26T00:00:00.000","Queens Museum of Art Expansion - Phase 2","$10M to 30M","Active"
"PV302BPH1","SIIAS - Building B at SHCC Phase1 Geo-Thermal & Ground Floor","CULTURAL AFFAIRS","Public Buildings","Design","2023-10-23T00:00:00.000","SIIAS - Building B at SHCC Phase1 Geothermal & Ground Floor","$10M to 30M","Active"
"PV304WHIS","NYHS - Sweat Equity/Women's History Center - 4th Floor","CULTURAL AFFAIRS","Public Buildings","NA","2018-08-15T00:00:00.000","This project will build a new Gallery Exhibition space dedicated to New York Women and labor history that will be constructed within 15,000 square feet on the NYHS's 4th floor.","$10M to 30M","Active"
"PV354FALS","RTC - Roundabout Theater Co. - Studio 54 Fire Alarm Upgrade","CULTURAL AFFAIRS","Public Buildings","Construction","2022-03-31T00:00:00.000","RTC is looking to replace elements of the Fire and Life Safety System at Studio 54. This project includes replacement of the existing Fire Alarm, the replacement and upgrade of the Emergency Lighting System, and the addition of a central battery / inverter that would power the Emergency Lighting System","$1M or less","Active"
"PV354HVAC","RTC - Roundabout Theatre Company - AA Theater HVAC Upgrade","CULTURAL AFFAIRS","Public Buildings","Construction","2021-06-19T00:00:00.000","The objective of the renovation is not only to replace the units at the end of their useful life, but to also install new and technologically current models to provide the utmost comfort for performers, patrons, staff, and volunteers alike.","$1M to 3M","Active"
"PV362STA2","St. Ann's Warehouse:Tobacco Warehouse renovation-Ext Ltg","CULTURAL AFFAIRS","Public Buildings","Procurement","2023-09-30T00:00:00.000","St. Ann's Warehouse: Tobacco Warehouse Renovation - Exterior Lighting and Equipment","$1M or less","Active"
"PV381SRA7","Seventh Regiment Armory - North Elevator","CULTURAL AFFAIRS","Public Buildings","Construction","2021-01-28T00:00:00.000","This program is to initiate the work at Seventh Regiment Armory Conservancy (dba Park Avenue Armory), New York, New York. The in part City funded scope will consist of a major new infrastructure core in the northern half of the Armory’s Head House. Work includes demolition throughout the building, construction of new vertical riser shafts, elevator and landings, enclosed fire stairs, and new restrooms","$1M to 3M","Active"
"PWDFORT","ARMORY FOUNDATION EVENT STAGE EQUIPMENT","DCAS","Public Buildings","Construction","2021-06-29T00:00:00.000","The Fort Washington  Renovation will  include Track Resurfacing, Lighting Installation , Sound installation and New Classroom Design and Construction","$3M to 10M","Active"
"PV381-WPM","SRAC - Seventh Regiment - Drill Hall Waterproofing/ Masonry","CULTURAL AFFAIRS","Public Buildings","Construction","2022-12-14T00:00:00.000","This project will address the widespread water infiltration into the Park Avenue Armory's cavernous Drill Hall, the site of the majority of the institution's artistic and arts education programs. While the 25-year-old hypalon membrane roof material (installed by NYS in the 1990s) covering the 55,000 SF area has an estimated 15 more years of useful life, there is a systemic failure at the north and south sides of the rectangular hall where the vaulted roof meets the masonry exterior wall.","$3M to 10M","Active"
"PV385RLP3","SIG - Signature Theater Center - Phase 3","CULTURAL AFFAIRS","Public Buildings","Construction","2021-09-16T00:00:00.000","Lobby acoustical treatment, design, construction and installation of digital signage and interactive technological experience system (digital experience),	 specialty lobby/café lighting and sound system, cable pass for Theatre 1 and Theatre 2, IT/Network/wireless installation, and FF&E.","$1M or less","Active"
"PV394AMBR","SSS - Ambrose Restoration","CULTURAL AFFAIRS","Public Buildings","Initiation","2024-06-28T00:00:00.000","Stabilization and Restoration of 1907 Lightship Ambrose","$3M to 10M","Active"
"PV406-CAS","Casa Belvedere - Facility Renovation","CULTURAL AFFAIRS","Public Buildings","Construction","2020-06-16T00:00:00.000","A new stair tower is to be constructed at the north east corner of the mansion to help satisfy NYC Building Code egress requirements. The stair tower will provide a remote, secondary means of egress that services all floors of the building and exits to an ADA compliant concrete ramp leading directly to grade.","$1M to 3M","Active"
"PV411ITC2","FAB - ITC 64 E. Fourth Street Buillding Renovation Phase 2","CULTURAL AFFAIRS","Public Buildings","Procurement","2022-10-27T00:00:00.000","Phase 2: addition to lobby -  new entry, façade and lobby","$1M to 3M","Active"
"PV464PRKG","WH - Wave Hill - Parking Lot Improvements","CULTURAL AFFAIRS","Public Buildings","Construction","2020-12-10T00:00:00.000","Wave Hill Visitor Parking Lot, Admission, Pedestrial Entry & Gatehouse Renovation:  The principal objective of this capital project is to improve the safety of Wave Hill's Admission entrance and Visitor Parking Lot.  Scope of work includes lighting upgrade, parking lot reconstruction, establishing a new pedestrian entrance, and new Gatehouse.","$3M to 10M","Active"
"PV467HECK","East Harlem Center/LDC - Heckscher Bldg. Roof Renovations","CULTURAL AFFAIRS","Public Buildings","Construction","2020-02-28T00:00:00.000","Repair/replacement of sections of the roof of the Heckscher Building. Replacement of roof drains.  Associated water damage repair of mezzanine level of 5th floor gymnasium.","$3M to 10M","Active"
"PV467POPP","POP - Poppenhusen Institute Window Restoration/Archive Stor.","CULTURAL AFFAIRS","Public Buildings","Design","2022-12-16T00:00:00.000","The project involves restoring the exterior façade to preserve the historic nature of the Poppenhusen Institute. The scope of work includes replacement of brownstone sills, wood windows and masonry. Many of the brownstone window sills and trim are exfoliated and deteriorated causing water infiltration into the wall system. Three monumental windows on the second floor have been recently restored and require no additional repair.","$3M to 10M","Active"
"PV467WFAC","East Harlem Arts, LDC - Heckscher Bldg. W Facade Renovation","CULTURAL AFFAIRS","Public Buildings","Design","2022-01-13T00:00:00.000","Heckscher Building West Façade Restoration and window replacement.","$3M to 10M","Active"
"PV477TEMP","SICM -Staten Island Children's Museum Temp Control System","CULTURAL AFFAIRS","Public Buildings","Design","2024-06-03T00:00:00.000","HVAC upgrade Buildings M & J","$3M to 10M","Active"
"PV488-BN","Bronx Net - Renovation of Carman Hall","CULTURAL AFFAIRS","Public Buildings","Construction","2020-07-06T00:00:00.000","upgrade to the facility's public and offices areas.Spatial reconfiguration and interior finishes will be provided.Approx 3,970 sf","$1M to 3M","Active"
"PV490-C","SHCC - SHCC Main Hall Bldg C Roof Reconstruction","CULTURAL AFFAIRS","Public Buildings","Procurement","2022-01-04T00:00:00.000","Budget information from CPI & FMS","$1M to 3M","Active"
"PV490ELEC","SHCC - Snug Harbor Cult. Ctr. Site - Wide Electrical Upgrade","CULTURAL AFFAIRS","Public Buildings","Construction","2021-08-10T00:00:00.000","SHCC - Snug Harbor Cult. Ctr. Site - Wide Electric Upgrade.
New 4.16kV medium voltage Con-Edison Service able to accommodate the existing, new and projected loads. New 4.16kV service distribution configuration in Building “G” located in new or enlarged service switchgear room in this building or above the ground immediately adjacent to building “G”. New service distribution switchgear shall include Con-Edison C/T compartments, metering & 4.16kV/ 180-208V step-down transformers.  The above mentioned new service shall be able to accommodate the electric loads.","$3M to 10M","Active"
"PV490-INF","SHCC - Site-wide Infrastructure Upgrade","CULTURAL AFFAIRS","Public Buildings","Construction","2023-05-02T00:00:00.000","The project will replace an aging, damaged, and obsolete site wide heating and cooling system

	Replace steam pipes to and from Building L to all served buildings
•	Replace pumps within served buildings to improve steam and cold circulation
•	Replace interior steam pipes within served buildings, including addition of two radiators to each attic in order to protect wet sprinkler systems
•	Replace existing chiller with a modular multi-unit system with at least four chillers of 200 ton capacity with a gas-fired absorption system; replace cooling towers 
o	Two existing chillers:  McQuay chillers with evaporator cooling capacity of 285 tons and water flow of 570 gpm (one nonfunctional)
•	Connect ground floor of Building C and Building B to central air conditioning plant","$10M to 30M","Active"
"PV490-Q3","SHCC - Snug Harbor Cult. Ctr. Music Hall,  Dressing Rooms","CULTURAL AFFAIRS","Public Buildings","Construction","2021-06-29T00:00:00.000","Renovation of SHCC Music Hall (Bldg T) to provide back of house amenities i.e. dressing rooms, green room administrative offices and other support spaces; incl. scope to obtain C of O for PA use.","$10M to 30M","Active"
"PV501BOIL","PS1 - PS1 Boiler Replacement","CULTURAL AFFAIRS","Public Buildings","Procurement","2021-06-30T00:00:00.000","PS-1 Boiler Replacement","$1M to 3M","Active"
"PV520HIST","WKS - Weeksville Restoration of Hunterfly Houses","CULTURAL AFFAIRS","Public Buildings","Design","2023-05-03T00:00:00.000","The project scope of work includes the necessary reconstruction to stabilize and maintain watertight building envelopes of the existing collection of buildings known as the Hunterfly Houses; work shall include roof and flashing replacement; replacement of drainage components including gutters, leaders and collection boxes; reconstruction and replacement of wood siding and trim; reconstruction of the existing windows and doors, trim, frames, sills and stools; reconstruction of the porches including railing, floor board, fascia and trim replacement; damp proofing of the basements in areas where leaders drain onto to direct the flow of drainage away from the foundations.  In addition upgrades to the security and lighting systems will be implemented.","$3M to 10M","Active"
"PV525STUD","SMH - Studio Museum in Harlem New Building","CULTURAL AFFAIRS","Public Buildings","Construction","2022-11-25T00:00:00.000","The Project will combine two adjacent lots on 125th Street: the sculpture court, City-owned lot 11, and the Museum building on lot 9, owned by the Museum. The Museum will transfer the Lot 9 property to the City before construction begins. Existing structures on both lots will be demolished for the new, six-story 82,000sf City-owned building.","$30M to 100M","Active"
