"sitename","gispropnum","initplntsn","acreage","dtacolmthd","shape"
"Ferry Point Park","X126","2007 Fall","0.207","GPS","0xD708000001042800000080DC6F3B2D6F2F4100A0A853896D0C41000BFABF246F2F4100104F7B7B6D0C41009F891C1C6F2F41000CECF0446D0C41002AF992076F2F41001A65023F6D0C4180A297F6F86E2F41001C7002EB6C0C4180E76F21E56E2F41009A3AE4B56C0C41003E12C7D76E2F410038D028566C0C41801B6D33C76E2F410072F4B5096C0C4180CDACBCB36E2F4100265638CF6B0C4180754DB69E6E2F4100827B1DA36B0C4100C74A498F6E2F4100A0BD8F636B0C410087D979786E2F410050E2CA466B0C41804A14805C6E2F4100963072496B0C4180D026B45E6E2F410022700BE56A0C4180379E9B6F6E2F41009E5EABC66A0C41003A847A826E2F410058DE12986A0C41806332139B6E2F4100AE2F0C506A0C410080B3EAB36E2F4100E42604186A0C41005AAB12C96E2F41004E6EFBFC690C41801B4073D66E2F4100AEF068166A0C4100C4A2D0EB6E2F41000E37DFF3690C410053AB6D206F2F4100FADCA864690C41004D624A336F2F4100905FBC34690C4180195F74416F2F410092E55656690C4180076778426F2F4100363A8156690C4180D3BD0F566F2F410072443BF4690C4100684292596F2F410066CB29FA690C41802A835C4D6F2F4100AEBA58BC6A0C4180DED3EF516F2F41007AEEA1036B0C41804F6438576F2F41007091CD4D6B0C4100316A7B586F2F4100CEA204876B0C41002C9E7F516F2F410002C745CA6B0C418090089F4A6F2F41007A5992FD6B0C41009DE2B53D6F2F41007EBF72276C0C41800431323A6F2F4100486F279A6C0C4100A168633B6F2F41002CBF53DD6C0C4100C8B58A466F2F4100025325536D0C41000AA3C03B6F2F410032B7DA856D0C41007672E72D6F2F410010022C986D0C4180DC6F3B2D6F2F4100A0A853896D0C4101000000020000000001000000FFFFFFFF0000000003"
"Ferry Point Park","X126","2007 Fall","0.119","GPS","0xD708000001042A00000080D8C1B537702F4100F2E7F5206B0C4180A8246737702F41001025141C6B0C41807B420A26702F4100284EF5956A0C41007222241A702F41005081E05C6A0C4100CE08D715702F4100AEE30C136A0C418017595413702F410092ED5E94690C4100F0931B06702F41000E10EE73690C41007CCD8CF86F2F410056AEE442690C41009C6497E96F2F4100FCC54651690C4180CCABBAE46F2F4100CC563B68690C41000D57E4D06F2F4100C2F56293690C4180C5D2F6C56F2F4100CCDA2DC2690C41800FEF2EBB6F2F4100321A7BEE690C410081DB79B16F2F4100E2FA14DD690C4100B36B41A96F2F4100983F339E690C4100985CB7826F2F4100C0C37167690C4180D267D1746F2F41006A2B2342690C4100B65FCC656F2F41002A01633C690C4100871124536F2F4100A8719920690C4100C8019D5F6F2F410056618DE4680C41805172C1766F2F410064F6FEAC680C4100CE3079A76F2F41002869DD56680C4100AB840FC26F2F41004E9C1E28680C4100918C53C36F2F4100FE45FA90680C418076EAC2C96F2F41008C0788B4680C410071886AFC6F2F4100D45A2D72680C4180CFABE817702F410058C98E6A680C41000744E133702F4100D69B7873680C418052FAD246702F4100BA42A49F680C4180D9B35A4B702F41004476EDE8680C4100AF0B8642702F4100AA61911F690C4180DF755042702F4100105FE51E690C4180DB734F42702F4100CE5EE520690C4100AF0B8642702F4100AA61911F690C41808F96614E702F4100A6D34C45690C418072DEB058702F41001EB1EA89690C418078A16757702F41007488DCE8690C4100304DA859702F4100A8AE23796A0C418035EDB753702F4100A8D514F96A0C41009DE5084B702F410040881B236B0C4100745A1737702F41004A839A396B0C4180D8C1B537702F4100F2E7F5206B0C4101000000020000000001000000FFFFFFFF0000000003"
"Conference House Park","R006","2008 Spring","0.535","GPS","0xD708000001045A000000007582C6C5E72B4100C00B6FE7EAFD4080CA296FC0E72B41005C96B3DBEAFD400055C250C0E72B410008B8EED5EAFD4000937C83C4E72B4100A80FE85DEAFD4000E26578C8E72B41000439C9D5E9FD400099EB90CDE72B4100300CFF49E9FD40800F1DAAD4E72B4100E4C67ECAE8FD4080E3821DDCE72B41005C34D84FE8FD40801721ACD4E72B410080F15380E7FD40005C9CD5E6E72B410044831B6CE7FD4080637EF1E9E72B4100F447FF81E7FD408056202EF9E72B41007C42A782E7FD40007D9F18FDE72B410060824459E7FD40002DE65106E82B4100C422977EE7FD40001958A008E82B41008C50AD73E7FD40008CD14819E82B41003476C3A6E7FD40805B5FE73CE82B41007C6FBD7DE7FD4000841BDB41E82B4100106C362CE7FD400084BB9650E82B4100942D93EEE6FD4080B07B0D65E82B410074753803E7FD4000BE460864E82B4100D07AB9E9E6FD40003CAFA76BE82B4100706357D9E6FD4080A8713479E82B410090220CD7E6FD400017118696E82B4100583C16ACE6FD4080E55654A1E82B410014CC2F74E6FD4000540340A3E82B4100B4970BDAE5FD4080A76EA0A4E82B41007C5A16C6E5FD40007A09589DE82B41009841068EE5FD4080975E43A9E82B4100D01E464FE5FD40006C3947BAE82B4100FC940155E5FD4080D821FCC4E82B4100884252F7E4FD4000AB3A89CFE82B4100105D5EE5E4FD400008E8B5D9E82B4100007ABEACE4FD4080AE9376DCE82B410030C884FCE3FD40803D1E3EFFE82B4100B04113C5E3FD400017953A0FE92B4100A8021CA0E3FD408039E4A21AE92B4100A8687DD9E3FD408031B21F22E92B4100C410A7DDE3FD40805FE5A430E92B4100244EC5D6E3FD400072523139E92B41002807F7D4E3FD4080C2ABB33EE92B41002034A650E5FD4000617C1B37E92B410024D8FC97E5FD400087D91F3EE92B41007877FBD9E5FD408008157E45E92B4100E865A555E6FD4080972FCB42E92B41004CD00AABE6FD4080CB7A714DE92B4100E4A8003EE7FD40804FA6C753E92B410084A42D83E7FD4080F577B053E92B41004478C5B5E7FD4000CB7B3255E92B41007CF38C4DE8FD408088933D49E92B4100681AA595E8FD408045367A52E92B4100604815D1E8FD408008163F4DE92B4100185DCF1EE9FD408039AB094DE92B4100CCE89857E9FD400057DC8C4CE92B4100CC28EABCE9FD408031AA8845E92B4100209BD203EAFD4080BAABF33EE92B4100EC224650EAFD4000F3474137E92B41001CE4D9D2EAFD4000F1D8743DE92B4100C41EDBB2EBFD4000EFEF1432E92B41006CFFA1C5EBFD4080B5B90D1CE92B41005C931F4FECFD40804FD54735E92B41007CE47ACBECFD4080E100B226E92B4100C856EEBBEDFD40802E7D9A21E92B410044D932EEEDFD4000B5672417E92B410094D63640EEFD40007762A001E92B41003CCA8CA8EEFD408019DC5CFCE82B4100ECF97BC7EEFD4000A635F4FAE82B41005C27EC06EFFD4080A230B0E3E82B41000C6183B0EEFD4000297B7ECAE82B4100706587CCEEFD4080049820B1E82B4100F047A2BCEEFD408087D513A4E82B410018F29C6EEEFD400040FCBB9BE82B410078E4134CEEFD4000505F0185E82B4100D453F20FEEFD4000AF30A977E82B4100BC2986F4EDFD40804DDA276BE82B41000CFA96D5EDFD408030D6645CE82B41004C8B5EC5EDFD40006B10C14EE82B4100A0A5BC81EDFD40809B2F3A3DE82B41001CAF4186EDFD40808E62BD2EE82B410014CA7657EDFD400070155623E82B41005887D777EDFD40002E586117E82B410078CE9DFDECFD4000396D800BE82B41004495D5EEECFD4080F2E2CEF0E72B410018F482CFECFD40807974ACE8E72B41003CA5D793ECFD4080E84C97D3E72B4100FC56AF81ECFD4000AE727FD2E72B41008000D31EECFD400025496ACCE72B4100D4D5E1BAEBFD40005FDD33C4E72B4100B414F4EFEAFD40000DBC38C7E72B4100C80D1D0BEBFD40007582C6C5E72B4100C00B6FE7EAFD4001000000020000000001000000FFFFFFFF0000000003"
"Conference House Park","R006","2008 Spring","0.029","GPS","0xD7080000010429000000800442E5B5E72B4100E8D4FCD0EAFD40005D493EB6E72B41008CF862C1EAFD4080D89BBDC1E72B4100209932B7EAFD408004C0BAC7E72B4100A876E7CCE9FD4080C2C96ACFE72B4100000BF7D7E8FD4080B57681D2E72B410070B7E5BFE7FD4080F47E5BDBE72B41008411D9D8E6FD400053A057E7E72B410088F5E704E6FD4080CA48C1E8E72B410018AD341DE5FD40805BF642ECE72B41006C3748B2E4FD400073014A03E82B410044C667DDE4FD408062CE4503E82B4100C07E99DFE4FD4080C0766F05E82B410090543321E5FD4000DED573FDE72B410098AAB53FE5FD408098B578F8E72B4100C0F0DB70E5FD4080756B13F5E72B4100283585DDE5FD40808549ADF7E72B4100E4DCB440E6FD4000AE36A3EDE72B410094014EA9E6FD400066B7B8EAE72B4100C8773A10E7FD4080BD4B03F1E72B41002CCE3F5AE7FD40806F507100E82B410068080861E7FD40006CEE2B0FE82B410080F0A554E7FD400097E72815E82B410024B8628CE7FD4000423B7D12E82B4100F474F2F2E7FD4080020D7B0CE82B4100687E568CE8FD4000BDF698F3E72B4100643AB597E8FD40008EFFDCEDE72B4100107C0094E8FD4000D77803E1E72B410048343298E8FD40003B8F79E4E72B410078F744FCE8FD400012DE5FD3E72B4100A49B1814E9FD4080BEC769CFE72B410020D29089E9FD40804F9B13D0E72B4100085D06DDE9FD40801018A7CCE72B4100CC50335EEAFD4080EA3F10CBE72B410014B6C3DFEAFD4080605042BEE72B4100B415A21BEBFD408086ABC4B5E72B410014E96237EBFD4000FE055CADE72B410054BEA891EBFD4080D32F06ACE72B410090124C29EBFD40007536B4ACE72B4100FC2425D5EAFD4080A45BF1AAE72B4100D04F62A8EAFD40800442E5B5E72B4100E8D4FCD0EAFD4001000000020000000001000000FFFFFFFF0000000003"
"Conference House Park","R006","2008 Spring","0.597","GPS","0xD708000001046300000000D4FDFE4DEB2B410014707641A8FD4080FF466349EB2B4100B4C0F22CA8FD408075B5193DEB2B4100E8CC81B6A8FD4080C60C1A33EB2B4100FC7C8297A8FD400050DA3F24EB2B410040E3E3CEA8FD400076BCEF11EB2B4100EC75D6B8A8FD40803FE31709EB2B4100EC212548A8FD40809AD8E6F8EA2B41002C7BA310A8FD408075735EF1EA2B4100B0011548A8FD40803DD20DF1EA2B41009C5D1849A8FD40801703CFD3EA2B410054CA7FABA8FD40807101E3CBEA2B41006CAE1105A8FD4080783BEAC4EA2B4100D420C38DA7FD4080807405B1EA2B4100DCADE0A7A7FD4000B60A10A9EA2B410004947410A7FD4080F967D39FEA2B4100686DE112A7FD40005C199695EA2B410064424AF9A6FD4000ADC27F90EA2B4100CC20922CA7FD4000C4DA208CEA2B41006C846C0CA7FD400096DA1F7EEA2B4100904273DEA6FD40803AC3A872EA2B41005857D3E3A6FD4000E6666465EA2B41008CC736EEA6FD40807B70674AEA2B4100248824BDA7FD408054F5BE46EA2B4100BC9E6349A8FD40809026D630EA2B41001C692A06A9FD4080EB9F511EEA2B4100E0B01B8CA8FD4000A7CFBD0EEA2B410024348342A8FD40805BF624F7E92B410010A188E0A7FD4000A7B3ECDEE92B4100A432F685A7FD400053FEFBD3E92B4100588B2067A7FD4000175D6AC4E92B410058AC3280A7FD40807413EFB2E92B4100DC73E73DA7FD4000FC57F989E92B4100BCF19CACA6FD408001435A95E92B4100DC767BCAA5FD4080208F0099E92B4100D4A2B238A5FD40009432E8A1E92B41003CD0F116A5FD40801C2E7CAFE92B4100D879ECCCA4FD400069577CBCE92B410030C13DFAA4FD40802577CDCFE92B41009CD5C6E8A4FD40005D6F0ADDE92B4100CC492697A4FD4080ACD1D1EAE92B410088ADD78FA4FD4000B7882EFDE92B410048EA1E74A4FD40800C59420CEA2B4100AC19BAA9A4FD4080EFA1521EEA2B410014112F42A4FD40006C97E32BEA2B41008CA2C5CEA3FD408049C65032EA2B4100A4697433A3FD40006C696233EA2B4100209807F5A2FD4080AFA0FD2CEA2B4100C4B53874A2FD4000FA344724EA2B41008C0C59CAA1FD4080D431851DEA2B4100ACC32814A1FD408026A8EA17EA2B4100200D4592A0FD4000E65EC50DEA2B410078B6EB5EA0FD408081C56314EA2B4100083C24C19FFD4000414B3C19EA2B4100E84F7C529FFD40802A830213EA2B41007CC9B0D29EFD40000AC88F15EA2B4100ECEE3B5E9EFD408037507F21EA2B4100FC2D854F9EFD408000C7FB31EA2B4100C831E3B79EFD400096EE8F37EA2B4100DC911B389FFD4000A3942341EA2B410008FCD25B9FFD40807AFC9748EA2B41007412B8A19FFD40003C91F855EA2B41001C8921D79FFD40005CA6D858EA2B4100888CA828A0FD40804FFA425EEA2B4100A890AC46A0FD4000DE107960EA2B410028DED23FA0FD4080C6F9986CEA2B4100FC42097DA0FD4080EFFF1C7BEA2B41004CEFB9CCA0FD408034251B88EA2B4100C818A3BEA0FD40808212528CEA2B4100C4A2109EA0FD4080F77E7394EA2B410024E42A3BA0FD40805E24DC9DEA2B410054EA53F29FFD400009F605ADEA2B410038C591A69FFD40001C62D1ADEA2B41004C4D265C9FFD4080F062FDBBEA2B4100E8A67B3B9FFD40807B1CC6CFEA2B4100B4D98FEB9EFD4080A4A7B7E3EA2B4100B802CBAD9EFD408042F434FDEA2B410030E314F09EFD4000574E6311EB2B410058EA97E79EFD4080A984AA26EB2B41000453A1E39EFD4080E1277D36EB2B410094A923FE9EFD4000E70B086DEB2B41009C6A8E9B9FFD408076B97694EB2B4100FC073F5DA0FD4000E7DBC683EB2B4100145BC5CFA0FD4000476C8F89EB2B4100A4D3E4A4A1FD40804982AF85EB2B41005CDC9A10A2FD408056588478EB2B4100042EF688A2FD400044EBF76FEB2B41007487AB0DA3FD4080B23E3774EB2B41001866D2D3A3FD4080AD205268EB2B410040809035A4FD4000205A835BEB2B4100F0B927DFA3FD40005E97A155EB2B41002C0AAC48A4FD4000CB024256EB2B41008445D609A5FD40805CD36A5EEB2B410094A03359A5FD4080F834065DEB2B410030167A0CA6FD4080D53F0B57EB2B4100D0369284A6FD40007D38B256EB2B410008D00DC7A6FD4080F8BB3353EB2B4100AC053476A7FD4000904E5252EB2B410014686E03A8FD4000D4FDFE4DEB2B410014707641A8FD4001000000020000000001000000FFFFFFFF0000000003"
"Conference House Park","R006","2008 Spring","0.157","GPS","0xD708000001043300000080CA2AEC62EB2B4100A4EBA3B6A4FD4080D5F23736EB2B410068C8FF29A6FD4000E7C84D38EB2B41008CE040C9A6FD4000E773E33AEB2B4100E869B409A7FD4080A183291FEB2B4100A4A5E642A8FD4000359AB30CEB2B4100D430B07FA8FD400095BC83FCEA2B4100203ADB3DA8FD4000AA6F71EAEA2B4100A4B84437A8FD4000669B9BDAEA2B410080ECACCAA7FD4080DE39FFCBEA2B410040B2E4C3A7FD4000A1AD4DC0EA2B41005428EC3AA7FD40005B6092CAEA2B4100C0142C88A6FD40003DE228CEEA2B4100B0059BF5A5FD40007DB33CD6EA2B41009C144798A5FD40803A75DEE3EA2B4100ACBF6C48A5FD40801F2CFAE7EA2B4100FCE67C12A5FD4080913BECE2EA2B4100A4474D6FA4FD4000795CD1D8EA2B410020A0ECA8A3FD4000E2C570D9EA2B41005C39DF60A3FD4000C87507C6EA2B410004493931A3FD40803990D3B4EA2B410084335C5FA3FD40007043C1A1EA2B410028D57F38A3FD4000BE176A8DEA2B4100C4B03AB9A2FD40809BF74382EA2B4100C0269C78A2FD408007E43A8DEA2B4100C0B50713A2FD4080E90DE69AEA2B410054F7CFE1A1FD400062285FADEA2B410058E3C3C1A1FD40006DDEFAB7EA2B41002865007EA1FD40808E87D0C8EA2B4100E4FF4C72A1FD4080CD3DC1CCEA2B4100C4F411CCA0FD4000682D0FD9EA2B41006875238CA0FD4080C7065623EB2B410044D282ECA0FD408013DE2E4AEB2B4100345BCD49A1FD40803CE4B258EB2B4100D46FB07EA1FD4000C559DA77EB2B4100FCC6D84CA1FD4000EEED2370EB2B41007CD02733A3FD40809919CE60EB2B4100406D55CBA3FD4000025E444DEB2B410018C82773A3FD4000DF409F3AEB2B4100A48DB13AA3FD40807A8A6D28EB2B410068DBFABBA2FD40805FEEDE1FEB2B4100D440D7ACA2FD4000DBA9FA00EB2B4100140490C8A2FD4080040BC0F8EA2B4100447DA93CA3FD4080751FB5FBEA2B410084F7F309A4FD4080190AC0FFEA2B4100BC40CA75A4FD40007A429D0FEB2B4100D442FDE5A4FD40803514471EEB2B4100882B1E03A5FD408097E2D92CEB2B4100C8917F3AA5FD400057387148EB2B41007C5C0F37A5FD4080965C5A62EB2B410014C0B8B5A4FD4080CA2AEC62EB2B4100A4EBA3B6A4FD4001000000020000000001000000FFFFFFFF0000000003"
"Inwood Hill Park","M042","2001 Spring","0.640","Drawing","0xD7080000010407000000804F0FCADFAE2E410068140FB0690F418005C2BDE4AD2E4100A6105F5A640F41806F3EE90CAE2E4100FA8DDBF0620F4100A42E6985AE2E4100BC5E84AF610F418058F8A0A8AF2E4100B46FE0B4660F41006CB30A1CAF2E41009AE4E496680F41804F0FCADFAE2E410068140FB0690F4101000000020000000001000000FFFFFFFF0000000003"
"Bronx Park","X004","2007 Fall","5.141","Drawing","0xD7080000010418000000004D31AAB71C2F410058B57306700F418061A6C2831E2F410084729AAB6C0F4180F66705461F2F4100DA1ACB0A7F0F4100A2182D32202F410040C0A4D68E0F4180C8539CF91F2F410040C0A4D68E0F41006A3E79CA1F2F4100F88DCEBB8D0F41808201C3A41F2F4100FC4392558C0F4180159F7A881F2F410030710B918A0F4100599F342A1F2F41005A5360DF880F41002B10A5AF1E2F41007AEA9040870F418086D3A82B1E2F410060A12BED850F418040ACCFD61D2F4100967AA528840F418066BC3E9E1D2F41006A9BF7FA820F4100FA59F6811D2F41003CBC49CD810F4100838189781D2F41002273E479800F4180E7A9AF441D2F4100D2F5E9717F0F41000EE51E0C1D2F410022228C9A7D0F4100E9BAB1E11C2F410012244B347C0F4100F707D7CE1C2F41005248E95C7A0F41803E40B2C01C2F4100967D6698780F4180D1DD69A41C2F410094764A1F770F4100E0558F911C2F4100847809B9750F41801D4346961C2F4100807BB0D9720F41004D31AAB71C2F410058B57306700F4101000000020000000001000000FFFFFFFF0000000003"
"Conference House Park","R006","2008 Spring","0.263","GPS","0xD708000001045600000000B3891050E42B41009099A26BC8FD400000AD4C4DE42B41002C638A99C8FD4080AA92A834E42B4100F8FA5157C8FD408039D25C27E42B4100407DC5CDC8FD40000D69D21FE42B41001099B046C9FD4000D9C70010E42B41002C297E9BC9FD400066A3C2FCE32B4100002FADB1C9FD40003591E3F2E32B410010B4F3EEC9FD408084522EEAE32B4100C0069573C9FD400022561AE3E32B4100D076F003C9FD4000C5CB94DDE32B4100287D42A0C8FD408029BA60D4E32B4100641066E7C8FD4080AC7026D1E32B4100F036532DC9FD4080D8635FC7E32B41001CDD5F12CAFD40801FFD3FB2E32B41005C546FFBC9FD4000483FA0A5E32B4100544A960FCAFD40002AC9CD85E32B410034DAD8BCC9FD4000F256FD66E32B4100A479D1A1C9FD40002FD6BB55E32B4100040B7E81CAFD4000ECA77840E32B41006CDF1D2ACBFD40800D5D272EE32B4100BC6D1ACFCBFD4000E845334FE32B410014597C2FCDFD408064B7175FE32B4100F8236672CDFD400074F0DF6EE32B4100A05DB926CEFD40008B0A037AE32B410094E532CECEFD4080B58A2D76E32B4100D4DC386DCFFD4080255B9460E32B41007880B89DCFFD4080D3981C4DE32B4100401ED856CFFD4000EB565043E32B4100A4E8E208CFFD4000F1D13629E32B41001C244B62CEFD4000B2C6DB27E32B4100C4D5C2ACCDFD40009822C91EE32B410000A244C6CCFD4080D0F0D90FE32B4100D4D22D80CCFD4080A8FEE011E32B410060538BB1CBFD40005235521AE32B4100C8FCD735CBFD40007E4E752CE32B410034FD23A3CAFD40005C6EC63EE32B41009C378C04CAFD4000CBE62E57E32B4100882955B2C9FD4080FC18346DE32B4100404CB32EC9FD40004166DC86E32B4100BC5CB5CFC8FD4000EC65878EE32B4100D04DF936C8FD40802ABDF4A8E32B4100A42E1A90C8FD40003D832DAFE32B4100BCD4B6DBC7FD408003EA60AFE32B410018F36427C7FD4080F579D29EE32B4100D00E8C1BC6FD4000560659A4E32B4100ACF1A0ACC5FD4000909CA4ABE32B4100D4F9F459C5FD40806B29C1B7E32B4100A082373DC5FD4080DF5055BEE32B410068C14FCFC4FD400098E937CCE32B4100503B4D8FC3FD40004526ECD4E32B4100483CCA59C3FD400038A200E7E32B4100D4610974C3FD4000D3E6B8F0E32B4100F445CC2EC3FD400058591E08E42B4100D8404B46C3FD4080CE5BF50EE42B4100F88711CCC2FD4000C10C4E12E42B4100448D40E6C2FD408069A0AD18E42B410098BBAAC2C2FD4000F64EAF14E42B4100FCC95669C2FD4080CA5B761EE42B4100B4C6D791C2FD40005FDCB621E42B410050FFF7CDC2FD4000453A2628E42B410014C2E14EC3FD4000F70F5237E42B4100E07717A3C3FD4080B730E342E42B41005CCD6864C3FD4080D4312559E42B41003847CE43C3FD4000E6073B5BE42B410068012B3EC3FD4080F9EB175EE42B410088839859C3FD40805B13576AE42B4100FC0CE3B2C3FD40000BDFFD78E42B4100F01E1E25C4FD4000D7EA437BE42B4100F48D5633C4FD40808194C37DE42B410054EC8645C4FD4000060AAA8DE42B4100B03F0DB6C4FD4000EE264D83E42B4100D8298A2EC5FD408059750A8FE42B410030396FAAC5FD40006C3A828DE42B41005848FADFC5FD4080C168587EE42B4100100FAFA3C5FD4000838ABD6DE42B41000C0AD472C5FD408086691769E42B410014323E7FC5FD4080E67F4C5DE42B410000919FEEC5FD4080C615025DE42B4100BCB7E67AC6FD4000454A5C5CE42B4100703052BFC6FD400092A01C5AE42B410088A28EF3C6FD40004DD3CB61E42B4100B45FF570C7FD4080B1925558E42B4100E82D8FECC7FD40002686A456E42B41009C75B730C8FD40001A2EB851E42B410024839A9BC8FD4000B3891050E42B41009099A26BC8FD4001000000020000000001000000FFFFFFFF0000000003"
"Riverdale Park","X142","2007 Fall","0.494","Drawing","0xD7080000010405000000005129C070BF2E41003762758C3210418099214717C02E41000F5F1B7D37104180D6A03B6CBF2E4100F7626E3B371041009BC3C5FCBE2E41003F53C8DA321041005129C070BF2E41003762758C32104101000000020000000001000000FFFFFFFF0000000003"
"Conference House Park","R006","2008 Spring","0.009","GPS","0xD708000001041000000000DBA964D6E52B41008C6DA03BBAFD40005FA5B7D4E52B410028EC03D8B9FD40800484FCD7E52B4100EC9C2D9AB9FD400025BBC2D7E52B4100FCB0DF71B9FD4000546C30D4E52B4100C0E07448B9FD40807E1B9DD0E52B410014158B0BB9FD40808178CCDDE52B4100B857A7BDB8FD400058C01AD9E52B410074225825B8FD4080C050A3DEE52B4100F8E4859DB7FD4080C335C1E9E52B41003CAC8E48B7FD408016C9CBF7E52B4100F029A45CB7FD40804A675AF0E52B4100DC064C3FB8FD4000826DF2E9E52B41007451FBD8B8FD40001FC709E8E52B41009C73C178B9FD4000CC3B58D5E52B41004854B9ECB9FD4000DBA964D6E52B41008C6DA03BBAFD4001000000020000000001000000FFFFFFFF0000000003"
"Conference House Park","R006","2008 Spring","0.013","GPS","0xD708000001041100000000B76D88AAE42B4100A4B3275500FE40002C8E9799E42B410028B731D400FE4080CBD96687E42B4100C82E054002FE40007CF4B383E42B4100A08C12CC02FE408044FBB56EE42B41004C5F339103FE400066450896E42B4100709673A400FE408065226191E42B4100A4C0D96200FE4000DA3C9994E42B41001828AA8BFFFD4000175E95A1E42B4100EC3F896AFFFD40009510C5B2E42B410008C7A055FFFD4080E87A64ACE42B410018060DD1FEFD40809B4D0FC3E42B4100C4D873AAFEFD4000EE155EC2E42B41006CF26271FFFD40003F14B2BAE42B4100900EA0B4FFFD4000352811B7E42B41002446C0F8FFFD4000314DF9BBE42B4100A063511D00FE4000B76D88AAE42B4100A4B3275500FE4001000000020000000001000000FFFFFFFF0000000003"
"Conference House Park","R006","2008 Spring","0.032","GPS","0xD708000001041B00000000E1155538E42B4100041CA32C07FE4000E32EF62CE42B41000CC5D4A407FE408049372420E42B4100E80F843C08FE4000669B2B20E42B41000447D3C608FE4080EF09CE27E42B4100BC11719A09FE4080904D1915E42B4100801E540B0AFE40807FC76A08E42B4100C87D8C910AFE4000B58CB700E42B4100C4B731100BFE4080DFE93AF8E32B4100E430E9C10AFE40004305B403E42B4100D0D8B87F0AFE4080C99851ECE32B41001493BB310AFE400066D585F5E32B410064CD29F009FE4080DE1DBEE1E32B41007464438009FE40009F4929E1E32B410030D4F85A09FE4080FBDEC6BBE32B4100B082B3330AFE4080732CC4CEE32B410024F329D008FE4000EC0F6404E42B410058008A0F09FE4080BC6ED303E42B4100E4241BFE08FE40808C499605E42B410084E64ED908FE40809B8FF8F9E32B4100A0142E0E08FE40000787C9F8E32B41006C86E5F707FE40804AFF9C17E42B410074F3C1AE07FE400093AC0813E42B4100E4C09F2507FE4080FACA4326E42B4100DC30788806FE400039503239E42B41000C9CDDD706FE4000F9A2863DE42B41008CDDFFEE06FE4000E1155538E42B4100041CA32C07FE4001000000020000000001000000FFFFFFFF0000000003"
"Ocean Breeze Park","R149","2008 Spring","0.425","Drawing","0xD708000001040C000000002D431F895D2D4100325BD9E3CB02410054144F685B2D4100DE187FB6D2024100586199FE5A2D4100C277AAE7CF0241808BFAD3315B2D4100B45D9899CF024180EF5FA7E05B2D4100EEC524C7CF0241803168EDFD5B2D4100B6AA9172CF0241803168EDFD5B2D4100CE5EDA67CE024100D260EF545C2D4100EA5F1C36CD02410037BDBBDC5C2D4100B4F089E1CC024180DFC217185D2D410080C3E83ECC024100420A7D305D2D4100A05E1DBFCA0241002D431F895D2D4100325BD9E3CB024101000000020000000001000000FFFFFFFF0000000003"
"Bronx River","X004","2008 Spring","5.553","Drawing","0xD708000001041800000000ECEAD41D202F4100D08BDA848E0F4100E7AD9DE91F2F4100BC97FDB38D0F418018EBBAD41F2F4100A8A320E38C0F418015379FBA1F2F4100143D2A6B8B0F410076DAD8901F2F4100F478DE318A0F41803CAC68571F2F410044DFCFCE880F4100D005A5FE1E2F4100241B8495870F41808EE6E1761E2F4100BEEFA908860F4180B7E4C62D1E2F4100AAFBCC37850F418082E357F41D2F41009807F066840F410077F003A61D2F4100701F36C5820F4180A82D21911D2F41002EF03C09820F4100743CE88B1D2F410098DD4591800F41800A4A404D1D2F4100CC6BC4C57E0F4100658542EF1C2F4100AAD66C6D7B0F410063FC26D51C2F4100A459604E790F4100FB679AB01C2F410052B8E0EB730F4180943944C01C2F4100A4C533D2700F41809C2A970E1D2F41006CABCB5A6B0F41006FFFB0571D2F41001CDB5717680F4100E0D275B01D2F4100D8DA523C650F4180846C730E1E2F41000ABDD070630F41800BBD30521F2F4100DA0C3F4D810F4100ECEAD41D202F4100D08BDA848E0F4101000000020000000001000000FFFFFFFF0000000003"
"Van Cortlandt Park","X092","2008 Spring","0.412","Drawing","0xD708000001041500000080C5A0951FEF2E41006189C4725710410089286F24EF2E4100A6AA88FA57104180C5A0951FEF2E410060F7356558104180BCAE300CEF2E41008E19CCB2581041005C06D9D6EE2E410021F2E4CF581041808F8C9ABEEE2E41009AE231C658104100B9F5F692EE2E41009AE231C65810418029F4DE75EE2E410080FA659F5810418020027A62EE2E41005ADCD15158104100DF5C5267EE2E410094C6BED357104100666C0571EE2E41004186943857104180EC7BB87AEE2E4100898FE7CD5610418032E64389EE2E41007D5810C85510418032E64389EE2E41003DFCAF53551041004005AA9CEE2E410002BBB3F254104180C2E75BA6EE2E410076E69CD5541041808F8C9ABEEE2E410076E69CD5541041809C8000D2EE2E4100FDF54FDF54104180E2158CE0EE2E4100A408332355104100AF8FCAF8EE2E4100E929F7AA55104180C5A0951FEF2E41006189C47257104101000000020000000001000000FFFFFFFF0000000003"
