"workscheduleprojectlocationid","boroughname","day","date","onstreetname","fromstreetname","tostreetname","communityboard","area","worktype","crewtype","shifttype","oftcode"
"14422","MANHATTAN","Thursday","2020-06-04T00:00:00.000","AVENUE OF THE AMERICAS","WEST 29 STREET","WEST 30 STREET","105","Midtown-Midtown South","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134350134370"
"14462","MANHATTAN","Monday","2020-06-01T00:00:00.000","AVENUE OF THE AMERICAS","WEST 29 STREET","WEST 30 STREET","105","Midtown-Midtown South","CONTRACT WORK","MILLING","NIGHT SHIFT","110510134350134370"
"19314","MANHATTAN","Tuesday","2020-06-16T00:00:00.000","AVENUE OF THE AMERICAS","WEST 29 STREET","WEST 30 STREET","105","Midtown-Midtown South","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134350134370"
"18860","MANHATTAN","Monday","2020-06-15T00:00:00.000","AVENUE OF THE AMERICAS","WEST 29 STREET","WEST 30 STREET","105","Midtown-Midtown South","CONTRACT WORK","MILLING","NIGHT SHIFT","110510134350134370"
"78343","MANHATTAN","Friday","2021-07-02T00:00:00.000","AVENUE C","EAST 10 STREET","EAST 11 STREET","103","Lower East Side","IN-HOUSE CREW","PAVING","NIGHT SHIFT","112310117190117210"
"78987","MANHATTAN","Thursday","2021-07-08T00:00:00.000","AVENUE C","EAST 10 STREET","EAST 11 STREET","103","Lower East Side","IN-HOUSE CREW","PAVING","NIGHT SHIFT","112310117190117210"
"79007","MANHATTAN","Friday","2021-07-09T00:00:00.000","AVENUE C","EAST 10 STREET","EAST 11 STREET","103","Lower East Side","IN-HOUSE CREW","PAVING","NIGHT SHIFT","112310117190117210"
"78967","MANHATTAN","Wednesday","2021-07-07T00:00:00.000","AVENUE C","EAST 10 STREET","EAST 11 STREET","103","Lower East Side","IN-HOUSE CREW","PAVING","NIGHT SHIFT","112310117190117210"
"74960","MANHATTAN","Tuesday","2021-06-08T00:00:00.000","AVENUE C","EAST 10 STREET","EAST 11 STREET","103","Lower East Side","IN-HOUSE CREW","MILLING","NIGHT SHIFT","112310117190117210"
"82941","MANHATTAN","Monday","2021-07-19T00:00:00.000","AVENUE C","EAST 10 STREET","EAST 11 STREET","103","Lower East Side","IN-HOUSE CREW","PAVING","NIGHT SHIFT","112310117190117210"
"74980","MANHATTAN","Wednesday","2021-06-09T00:00:00.000","AVENUE C","EAST 10 STREET","EAST 11 STREET","103","Lower East Side","IN-HOUSE CREW","MILLING","NIGHT SHIFT","112310117190117210"
"74940","MANHATTAN","Monday","2021-06-07T00:00:00.000","AVENUE C","EAST 10 STREET","EAST 11 STREET","103","Lower East Side","IN-HOUSE CREW","MILLING","NIGHT SHIFT","112310117190117210"
"80868","MANHATTAN","Wednesday","2021-07-14T00:00:00.000","AVENUE C","EAST 10 STREET","EAST 11 STREET","103","Lower East Side","IN-HOUSE CREW","PAVING","NIGHT SHIFT","112310117190117210"
"80888","MANHATTAN","Thursday","2021-07-15T00:00:00.000","AVENUE C","EAST 10 STREET","EAST 11 STREET","103","Lower East Side","IN-HOUSE CREW","PAVING","NIGHT SHIFT","112310117190117210"
"80908","MANHATTAN","Friday","2021-07-16T00:00:00.000","AVENUE C","EAST 10 STREET","EAST 11 STREET","103","Lower East Side","IN-HOUSE CREW","PAVING","NIGHT SHIFT","112310117190117210"
"76614","MANHATTAN","Thursday","2021-06-24T00:00:00.000","AVENUE C","EAST 11 STREET","EAST 12 STREET","103","Lower East Side","IN-HOUSE CREW","MILLING","NIGHT SHIFT","112310117210117230"
"76648","MANHATTAN","Friday","2021-06-25T00:00:00.000","AVENUE C","EAST 11 STREET","EAST 12 STREET","103","Lower East Side","IN-HOUSE CREW","MILLING","NIGHT SHIFT","112310117210117230"
"79011","MANHATTAN","Friday","2021-07-09T00:00:00.000","AVENUE C","EAST 11 STREET","EAST 12 STREET","103","Lower East Side","IN-HOUSE CREW","PAVING","NIGHT SHIFT","112310117210117230"
"79044","MANHATTAN","Thursday","2021-07-01T00:00:00.000","AVENUE C","EAST 11 STREET","EAST 12 STREET","103","Lower East Side","IN-HOUSE CREW","PAVING","NIGHT SHIFT","112310117210117230"
"79077","MANHATTAN","Friday","2021-07-02T00:00:00.000","AVENUE C","EAST 11 STREET","EAST 12 STREET","103","Lower East Side","IN-HOUSE CREW","PAVING","NIGHT SHIFT","112310117210117230"
"74452","MANHATTAN","Friday","2021-06-04T00:00:00.000","AVENUE C","EAST 11 STREET","EAST 12 STREET","103","Lower East Side","IN-HOUSE CREW","MILLING","NIGHT SHIFT","112310117210117230"
"74984","MANHATTAN","Wednesday","2021-06-09T00:00:00.000","AVENUE C","EAST 11 STREET","EAST 12 STREET","103","Lower East Side","IN-HOUSE CREW","MILLING","NIGHT SHIFT","112310117210117230"
"75018","MANHATTAN","Thursday","2021-06-10T00:00:00.000","AVENUE C","EAST 11 STREET","EAST 12 STREET","103","Lower East Side","IN-HOUSE CREW","MILLING","NIGHT SHIFT","112310117210117230"
"29869","MANHATTAN","Thursday","2020-07-23T00:00:00.000","5 AVENUE","EAST 106 STREET","EAST 107 STREET","111","East Harlem South","CONTRACT WORK","MILLING","NIGHT SHIFT","110410119090119110"
"36102","MANHATTAN","Tuesday","2020-08-18T00:00:00.000","5 AVENUE","EAST 106 STREET","EAST 107 STREET","111","East Harlem South","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410119090119110"
"36175","MANHATTAN","Monday","2020-08-17T00:00:00.000","5 AVENUE","EAST 106 STREET","EAST 107 STREET","111","East Harlem South","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410119090119110"
"33758","MANHATTAN","Monday","2020-08-03T00:00:00.000","5 AVENUE","EAST 107 STREET","EAST 108 STREET","164","East Harlem South","CONTRACT WORK","MILLING","NIGHT SHIFT","110410119110119130"
"29904","MANHATTAN","Friday","2020-07-24T00:00:00.000","5 AVENUE","EAST 107 STREET","EAST 108 STREET","164","East Harlem South","CONTRACT WORK","MILLING","NIGHT SHIFT","110410119110119130"
"36104","MANHATTAN","Tuesday","2020-08-18T00:00:00.000","5 AVENUE","EAST 107 STREET","EAST 108 STREET","164","East Harlem South","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410119110119130"
"29871","MANHATTAN","Thursday","2020-07-23T00:00:00.000","5 AVENUE","EAST 107 STREET","EAST 108 STREET","164","East Harlem South","CONTRACT WORK","MILLING","NIGHT SHIFT","110410119110119130"
"36177","MANHATTAN","Monday","2020-08-17T00:00:00.000","5 AVENUE","EAST 107 STREET","EAST 108 STREET","164","East Harlem South","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410119110119130"
"33764","MANHATTAN","Monday","2020-08-03T00:00:00.000","5 AVENUE","FRAWLEY CIRCLE",,"111",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410121010000000"
"29910","MANHATTAN","Friday","2020-07-24T00:00:00.000","5 AVENUE","FRAWLEY CIRCLE",,"111",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410121010000000"
"36110","MANHATTAN","Tuesday","2020-08-18T00:00:00.000","5 AVENUE","FRAWLEY CIRCLE",,"111",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410121010000000"
"29877","MANHATTAN","Thursday","2020-07-23T00:00:00.000","5 AVENUE","FRAWLEY CIRCLE",,"111",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410121010000000"
"33765","MANHATTAN","Monday","2020-08-03T00:00:00.000","5 AVENUE","FRAWLEY CIRCLE",,"111",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410121010000000"
"29911","MANHATTAN","Friday","2020-07-24T00:00:00.000","5 AVENUE","FRAWLEY CIRCLE",,"111",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410121010000000"
"36111","MANHATTAN","Tuesday","2020-08-18T00:00:00.000","5 AVENUE","FRAWLEY CIRCLE",,"111",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110410121010000000"
"29878","MANHATTAN","Thursday","2020-07-23T00:00:00.000","5 AVENUE","FRAWLEY CIRCLE",,"111",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110410121010000000"
"141981","MANHATTAN","Friday","2022-07-15T00:00:00.000","AVENUE OF THE AMERICAS","WEST 22 STREET","WEST 23 STREET","104","Hudson Yards-Chelsea-Flatiron-Union Square","CONTRACT WORK","MILLING","NIGHT SHIFT","110510134210134230"
"141279","MANHATTAN","Friday","2022-07-15T00:00:00.000","AVENUE OF THE AMERICAS","WEST 23 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110510134230000000"
"142006","MANHATTAN","Thursday","2022-07-14T00:00:00.000","AVENUE OF THE AMERICAS","WEST 23 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110510134230000000"
"150485","MANHATTAN","Thursday","2022-08-25T00:00:00.000","AVENUE OF THE AMERICAS","WEST 23 STREET",,"105",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134230000000"
"6444","MANHATTAN","Monday","2020-05-11T00:00:00.000","AVENUE OF THE AMERICAS","WEST 23 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110510134230000000"
"6464","MANHATTAN","Tuesday","2020-05-12T00:00:00.000","AVENUE OF THE AMERICAS","WEST 23 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110510134230000000"
"8389","MANHATTAN","Monday","2020-05-11T00:00:00.000","AVENUE OF THE AMERICAS","WEST 23 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110510134230000000"
"9855","MANHATTAN","Monday","2020-05-18T00:00:00.000","AVENUE OF THE AMERICAS","WEST 23 STREET",,"105",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134230000000"
"9875","MANHATTAN","Tuesday","2020-05-19T00:00:00.000","AVENUE OF THE AMERICAS","WEST 23 STREET",,"105",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134230000000"
"141982","MANHATTAN","Friday","2022-07-15T00:00:00.000","AVENUE OF THE AMERICAS","WEST 23 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110510134230000000"
"141983","MANHATTAN","Friday","2022-07-15T00:00:00.000","AVENUE OF THE AMERICAS","WEST 23 STREET","WEST 24 STREET","105","Hudson Yards-Chelsea-Flatiron-Union Square","CONTRACT WORK","MILLING","NIGHT SHIFT","110510134230134250"
"141280","MANHATTAN","Friday","2022-07-15T00:00:00.000","AVENUE OF THE AMERICAS","WEST 23 STREET","WEST 24 STREET","105","Hudson Yards-Chelsea-Flatiron-Union Square","CONTRACT WORK","MILLING","NIGHT SHIFT","110510134230134250"
"142007","MANHATTAN","Thursday","2022-07-14T00:00:00.000","AVENUE OF THE AMERICAS","WEST 23 STREET","WEST 24 STREET","105","Hudson Yards-Chelsea-Flatiron-Union Square","CONTRACT WORK","MILLING","NIGHT SHIFT","110510134230134250"
"150486","MANHATTAN","Thursday","2022-08-25T00:00:00.000","AVENUE OF THE AMERICAS","WEST 23 STREET","WEST 24 STREET","105","Hudson Yards-Chelsea-Flatiron-Union Square","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134230134250"
"141984","MANHATTAN","Friday","2022-07-15T00:00:00.000","AVENUE OF THE AMERICAS","WEST 24 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110510134250000000"
"141281","MANHATTAN","Friday","2022-07-15T00:00:00.000","AVENUE OF THE AMERICAS","WEST 24 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110510134250000000"
"142008","MANHATTAN","Thursday","2022-07-14T00:00:00.000","AVENUE OF THE AMERICAS","WEST 24 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110510134250000000"
"150487","MANHATTAN","Thursday","2022-08-25T00:00:00.000","AVENUE OF THE AMERICAS","WEST 24 STREET",,"105",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134250000000"
"8453","MANHATTAN","Friday","2020-05-15T00:00:00.000","AVENUE OF THE AMERICAS","WEST 31 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110510134390000000"
"14412","MANHATTAN","Wednesday","2020-06-03T00:00:00.000","AVENUE OF THE AMERICAS","WEST 31 STREET",,"105",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134390000000"
"14425","MANHATTAN","Thursday","2020-06-04T00:00:00.000","AVENUE OF THE AMERICAS","WEST 31 STREET",,"105",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134390000000"
"14465","MANHATTAN","Monday","2020-06-01T00:00:00.000","AVENUE OF THE AMERICAS","WEST 31 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110510134390000000"
"19317","MANHATTAN","Tuesday","2020-06-16T00:00:00.000","AVENUE OF THE AMERICAS","WEST 31 STREET",,"105",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134390000000"
"18855","MANHATTAN","Monday","2020-06-15T00:00:00.000","AVENUE OF THE AMERICAS","WEST 31 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110510134390000000"
"9945","MANHATTAN","Thursday","2020-05-21T00:00:00.000","AVENUE OF THE AMERICAS","WEST 31 STREET",,"105",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134390000000"
"22726","MANHATTAN","Monday","2020-06-22T00:00:00.000","1 AVENUE","EAST 49 STREET","MITCHELL PLACE","106","Turtle Bay-East Midtown","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117970126290"
"22770","MANHATTAN","Wednesday","2020-06-24T00:00:00.000","1 AVENUE","EAST 49 STREET","MITCHELL PLACE","106","Turtle Bay-East Midtown","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117970126290"
"22748","MANHATTAN","Tuesday","2020-06-23T00:00:00.000","1 AVENUE","EAST 49 STREET","MITCHELL PLACE","106","Turtle Bay-East Midtown","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117970126290"
"14606","MANHATTAN","Wednesday","2020-06-03T00:00:00.000","1 AVENUE","EAST 49 STREET","MITCHELL PLACE","106","Turtle Bay-East Midtown","CONTRACT WORK","MILLING","NIGHT SHIFT","110010117970126290"
"18977","MANHATTAN","Tuesday","2020-06-16T00:00:00.000","1 AVENUE","EAST 49 STREET","MITCHELL PLACE","106","Turtle Bay-East Midtown","CONTRACT WORK","MILLING","NIGHT SHIFT","110010117970126290"
"18999","MANHATTAN","Wednesday","2020-06-17T00:00:00.000","1 AVENUE","EAST 49 STREET","MITCHELL PLACE","106","Turtle Bay-East Midtown","CONTRACT WORK","MILLING","NIGHT SHIFT","110010117970126290"
"14584","MANHATTAN","Tuesday","2020-06-02T00:00:00.000","1 AVENUE","EAST 49 STREET","MITCHELL PLACE","106","Turtle Bay-East Midtown","CONTRACT WORK","MILLING","NIGHT SHIFT","110010117970126290"
"22731","MANHATTAN","Monday","2020-06-22T00:00:00.000","1 AVENUE","EAST 51 STREET","EAST 52 STREET","106","Turtle Bay-East Midtown","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010118010118030"
"22775","MANHATTAN","Wednesday","2020-06-24T00:00:00.000","1 AVENUE","EAST 51 STREET","EAST 52 STREET","106","Turtle Bay-East Midtown","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010118010118030"
"22753","MANHATTAN","Tuesday","2020-06-23T00:00:00.000","1 AVENUE","EAST 51 STREET","EAST 52 STREET","106","Turtle Bay-East Midtown","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010118010118030"
"14589","MANHATTAN","Tuesday","2020-06-02T00:00:00.000","1 AVENUE","EAST 51 STREET","EAST 52 STREET","106","Turtle Bay-East Midtown","CONTRACT WORK","MILLING","NIGHT SHIFT","110010118010118030"
"14611","MANHATTAN","Wednesday","2020-06-03T00:00:00.000","1 AVENUE","EAST 51 STREET","EAST 52 STREET","106","Turtle Bay-East Midtown","CONTRACT WORK","MILLING","NIGHT SHIFT","110010118010118030"
"18982","MANHATTAN","Tuesday","2020-06-16T00:00:00.000","1 AVENUE","EAST 51 STREET","EAST 52 STREET","106","Turtle Bay-East Midtown","CONTRACT WORK","MILLING","NIGHT SHIFT","110010118010118030"
"19004","MANHATTAN","Wednesday","2020-06-17T00:00:00.000","1 AVENUE","EAST 51 STREET","EAST 52 STREET","106","Turtle Bay-East Midtown","CONTRACT WORK","MILLING","NIGHT SHIFT","110010118010118030"
"22733","MANHATTAN","Monday","2020-06-22T00:00:00.000","1 AVENUE","EAST 52 STREET","EAST 53 STREET","106","Turtle Bay-East Midtown","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010118030118050"
"22777","MANHATTAN","Wednesday","2020-06-24T00:00:00.000","1 AVENUE","EAST 52 STREET","EAST 53 STREET","106","Turtle Bay-East Midtown","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010118030118050"
"22755","MANHATTAN","Tuesday","2020-06-23T00:00:00.000","1 AVENUE","EAST 52 STREET","EAST 53 STREET","106","Turtle Bay-East Midtown","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010118030118050"
"14591","MANHATTAN","Tuesday","2020-06-02T00:00:00.000","1 AVENUE","EAST 52 STREET","EAST 53 STREET","106","Turtle Bay-East Midtown","CONTRACT WORK","MILLING","NIGHT SHIFT","110010118030118050"
"14613","MANHATTAN","Wednesday","2020-06-03T00:00:00.000","1 AVENUE","EAST 52 STREET","EAST 53 STREET","106","Turtle Bay-East Midtown","CONTRACT WORK","MILLING","NIGHT SHIFT","110010118030118050"
"18984","MANHATTAN","Tuesday","2020-06-16T00:00:00.000","1 AVENUE","EAST 52 STREET","EAST 53 STREET","106","Turtle Bay-East Midtown","CONTRACT WORK","MILLING","NIGHT SHIFT","110010118030118050"
"19006","MANHATTAN","Wednesday","2020-06-17T00:00:00.000","1 AVENUE","EAST 52 STREET","EAST 53 STREET","106","Turtle Bay-East Midtown","CONTRACT WORK","MILLING","NIGHT SHIFT","110010118030118050"
"146367","MANHATTAN","Friday","2022-08-05T00:00:00.000","10 AVENUE","WEST 55 STREET","WEST 56 STREET","104","Clinton","CONTRACT WORK","MILLING","NIGHT SHIFT","111010134870134890"
"146358","MANHATTAN","Thursday","2022-08-04T00:00:00.000","10 AVENUE","WEST 55 STREET","WEST 56 STREET","104","Clinton","CONTRACT WORK","MILLING","NIGHT SHIFT","111010134870134890"
"147639","MANHATTAN","Thursday","2022-08-04T00:00:00.000","10 AVENUE","WEST 55 STREET","WEST 56 STREET","104","Clinton","CONTRACT WORK","MILLING","NIGHT SHIFT","111010134870134890"
"147657","MANHATTAN","Friday","2022-08-05T00:00:00.000","10 AVENUE","WEST 55 STREET","WEST 56 STREET","104","Clinton","CONTRACT WORK","MILLING","NIGHT SHIFT","111010134870134890"
"147892","MANHATTAN","Monday","2022-08-08T00:00:00.000","10 AVENUE","WEST 55 STREET","WEST 56 STREET","104","Clinton","CONTRACT WORK","MILLING","NIGHT SHIFT","111010134870134890"
"151655","MANHATTAN","Thursday","2022-09-01T00:00:00.000","10 AVENUE","WEST 55 STREET","WEST 56 STREET","104","Clinton","IN-HOUSE CREW","PAVING","NIGHT SHIFT","111010134870134890"
"151637","MANHATTAN","Wednesday","2022-08-31T00:00:00.000","10 AVENUE","WEST 55 STREET","WEST 56 STREET","104","Clinton","IN-HOUSE CREW","PAVING","NIGHT SHIFT","111010134870134890"
"151673","MANHATTAN","Friday","2022-09-02T00:00:00.000","10 AVENUE","WEST 55 STREET","WEST 56 STREET","104","Clinton","IN-HOUSE CREW","PAVING","NIGHT SHIFT","111010134870134890"
"152702","MANHATTAN","Wednesday","2022-09-07T00:00:00.000","10 AVENUE","WEST 55 STREET","WEST 56 STREET","104","Clinton","IN-HOUSE CREW","PAVING","NIGHT SHIFT","111010134870134890"
"152684","MANHATTAN","Tuesday","2022-09-06T00:00:00.000","10 AVENUE","WEST 55 STREET","WEST 56 STREET","104","Clinton","IN-HOUSE CREW","PAVING","NIGHT SHIFT","111010134870134890"
"146368","MANHATTAN","Friday","2022-08-05T00:00:00.000","10 AVENUE","WEST 56 STREET","WEST 57 STREET","104","Clinton","CONTRACT WORK","MILLING","NIGHT SHIFT","111010134890134910"
"146359","MANHATTAN","Thursday","2022-08-04T00:00:00.000","10 AVENUE","WEST 56 STREET","WEST 57 STREET","104","Clinton","CONTRACT WORK","MILLING","NIGHT SHIFT","111010134890134910"
"147641","MANHATTAN","Thursday","2022-08-04T00:00:00.000","10 AVENUE","WEST 56 STREET","WEST 57 STREET","104","Clinton","CONTRACT WORK","MILLING","NIGHT SHIFT","111010134890134910"
"147659","MANHATTAN","Friday","2022-08-05T00:00:00.000","10 AVENUE","WEST 56 STREET","WEST 57 STREET","104","Clinton","CONTRACT WORK","MILLING","NIGHT SHIFT","111010134890134910"
"147894","MANHATTAN","Monday","2022-08-08T00:00:00.000","10 AVENUE","WEST 56 STREET","WEST 57 STREET","104","Clinton","CONTRACT WORK","MILLING","NIGHT SHIFT","111010134890134910"
"151657","MANHATTAN","Thursday","2022-09-01T00:00:00.000","10 AVENUE","WEST 56 STREET","WEST 57 STREET","104","Clinton","IN-HOUSE CREW","PAVING","NIGHT SHIFT","111010134890134910"
"151639","MANHATTAN","Wednesday","2022-08-31T00:00:00.000","10 AVENUE","WEST 56 STREET","WEST 57 STREET","104","Clinton","IN-HOUSE CREW","PAVING","NIGHT SHIFT","111010134890134910"
"151675","MANHATTAN","Friday","2022-09-02T00:00:00.000","10 AVENUE","WEST 56 STREET","WEST 57 STREET","104","Clinton","IN-HOUSE CREW","PAVING","NIGHT SHIFT","111010134890134910"
"12266","MANHATTAN","Wednesday","2020-05-27T00:00:00.000","AVENUE OF THE AMERICAS","WEST 31 STREET",,"105",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134390000000"
"9964","MANHATTAN","Friday","2020-05-22T00:00:00.000","AVENUE OF THE AMERICAS","WEST 31 STREET",,"105",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134390000000"
"12228","MANHATTAN","Monday","2020-05-25T00:00:00.000","AVENUE OF THE AMERICAS","WEST 31 STREET",,"105",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134390000000"
"12247","MANHATTAN","Tuesday","2020-05-26T00:00:00.000","AVENUE OF THE AMERICAS","WEST 31 STREET",,"105",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134390000000"
"8455","MANHATTAN","Friday","2020-05-15T00:00:00.000","AVENUE OF THE AMERICAS","WEST 32 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110510134410000000"
"14414","MANHATTAN","Wednesday","2020-06-03T00:00:00.000","AVENUE OF THE AMERICAS","WEST 32 STREET",,"105",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134410000000"
"14427","MANHATTAN","Thursday","2020-06-04T00:00:00.000","AVENUE OF THE AMERICAS","WEST 32 STREET",,"105",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134410000000"
"14467","MANHATTAN","Monday","2020-06-01T00:00:00.000","AVENUE OF THE AMERICAS","WEST 32 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110510134410000000"
"19319","MANHATTAN","Tuesday","2020-06-16T00:00:00.000","AVENUE OF THE AMERICAS","WEST 32 STREET",,"105",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110510134410000000"
"18856","MANHATTAN","Monday","2020-06-15T00:00:00.000","AVENUE OF THE AMERICAS","WEST 32 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110510134410000000"
"107832","MANHATTAN","Wednesday","2021-10-13T00:00:00.000","10 AVENUE","WEST 15 STREET","WEST 16 STREET","104","Hudson Yards-Chelsea-Flatiron-Union Square","IN-HOUSE CREW","PAVING","NIGHT SHIFT","111010134070134090"
"107847","MANHATTAN","Thursday","2021-10-14T00:00:00.000","10 AVENUE","WEST 15 STREET","WEST 16 STREET","104","Hudson Yards-Chelsea-Flatiron-Union Square","IN-HOUSE CREW","PAVING","NIGHT SHIFT","111010134070134090"
"107817","MANHATTAN","Tuesday","2021-10-12T00:00:00.000","10 AVENUE","WEST 15 STREET","WEST 16 STREET","104","Hudson Yards-Chelsea-Flatiron-Union Square","IN-HOUSE CREW","PAVING","NIGHT SHIFT","111010134070134090"
"108637","MANHATTAN","Friday","2021-10-15T00:00:00.000","10 AVENUE","WEST 15 STREET","WEST 16 STREET","104","Hudson Yards-Chelsea-Flatiron-Union Square","IN-HOUSE CREW","PAVING","NIGHT SHIFT","111010134070134090"
"103325","MANHATTAN","Tuesday","2021-09-28T00:00:00.000","10 AVENUE","WEST 15 STREET","WEST 16 STREET","104","Hudson Yards-Chelsea-Flatiron-Union Square","CONTRACT WORK","MILLING","NIGHT SHIFT","111010134070134090"
"103334","MANHATTAN","Wednesday","2021-09-29T00:00:00.000","10 AVENUE","WEST 15 STREET","WEST 16 STREET","104","Hudson Yards-Chelsea-Flatiron-Union Square","CONTRACT WORK","MILLING","NIGHT SHIFT","111010134070134090"
"103943","MANHATTAN","Friday","2021-09-24T00:00:00.000","10 AVENUE","WEST 15 STREET","WEST 16 STREET","104","Hudson Yards-Chelsea-Flatiron-Union Square","CONTRACT WORK","MILLING","NIGHT SHIFT","111010134070134090"
"103326","MANHATTAN","Tuesday","2021-09-28T00:00:00.000","10 AVENUE","WEST 16 STREET",,"104",,"CONTRACT WORK","MILLING","NIGHT SHIFT","111010134090000000"
"108638","MANHATTAN","Friday","2021-10-15T00:00:00.000","10 AVENUE","WEST 16 STREET",,"104",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","111010134090000000"
"103335","MANHATTAN","Wednesday","2021-09-29T00:00:00.000","10 AVENUE","WEST 16 STREET",,"104",,"CONTRACT WORK","MILLING","NIGHT SHIFT","111010134090000000"
"103944","MANHATTAN","Friday","2021-09-24T00:00:00.000","10 AVENUE","WEST 16 STREET",,"104",,"CONTRACT WORK","MILLING","NIGHT SHIFT","111010134090000000"
"107833","MANHATTAN","Wednesday","2021-10-13T00:00:00.000","10 AVENUE","WEST 16 STREET",,"104",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","111010134090000000"
"107848","MANHATTAN","Thursday","2021-10-14T00:00:00.000","10 AVENUE","WEST 16 STREET",,"104",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","111010134090000000"
"107818","MANHATTAN","Tuesday","2021-10-12T00:00:00.000","10 AVENUE","WEST 16 STREET",,"104",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","111010134090000000"
"51410","MANHATTAN","Monday","2020-10-19T00:00:00.000","1 AVENUE","EAST 11 STREET",,"103",,"IN-HOUSE CREW","MILLING","NIGHT SHIFT","110010117210000000"
"51424","MANHATTAN","Tuesday","2020-10-20T00:00:00.000","1 AVENUE","EAST 11 STREET",,"103",,"IN-HOUSE CREW","MILLING","NIGHT SHIFT","110010117210000000"
"51569","MANHATTAN","Wednesday","2020-10-21T00:00:00.000","1 AVENUE","EAST 11 STREET",,"103",,"IN-HOUSE CREW","MILLING","NIGHT SHIFT","110010117210000000"
"52219","MANHATTAN","Monday","2020-10-26T00:00:00.000","1 AVENUE","EAST 11 STREET",,"103",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117210000000"
"52233","MANHATTAN","Tuesday","2020-10-27T00:00:00.000","1 AVENUE","EAST 11 STREET",,"103",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110010117210000000"
"49349","MANHATTAN","Friday","2020-10-09T00:00:00.000","1 AVENUE","EAST 11 STREET",,"103",,"IN-HOUSE CREW","MILLING","NIGHT SHIFT","110010117210000000"
