"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","main_stree","cross_stre","barnes_dan","modified_b","mid_block_","t_oneway_a","t_oneway_1","installati","ntaname","femafldz","femafldt","hrcevac"
"POINT (-74.08110168079612 40.61778078167963)","5","Staten Island","501","49","61","23","11","Vanderbilt Avenue","Osgood Avenue","X",,,,,"2022-03-19T00:00:00.000","Rosebank-Shore Acres-Park Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91074272208802 40.845449731018725)","2","Bronx","205","14","77","33","15","Grand Concourse","Clifford Place",,,"X",,,,"Mount Hope","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.82084875693587 40.75223274617557)","4","Queens","407","20","25","16","6","Kissena Blvd","45 Avenue","X",,,,,"2022-03-19T00:00:00.000","East Flushing","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.85381074699228 40.74109674921041)","4","Queens","404","21","35","13","14","108 Street","Otis Avenue","X",,,,,"2010-04-14T00:00:00.000","Corona","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96428570841724 40.79729774209797)","1","Manhattan","107","7","69","30","13","Columbus Ave","W 103 Street",,,"X",,,,"Upper West Side-Manhattan Valley","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93955971589568 40.79030774245787)","1","Manhattan","111","8","68","29","13","1 Avenue","East 107 Street",,,"X",,,,"East Harlem (South)","AE",,"3"
"POINT (-73.99127770338873 40.732438755921585)","1","Manhattan","102","2","66","27","10","Broadway","E 11 Street",,,,,"X",,"Greenwich Village","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90740172400426 40.836224732701)","2","Bronx","203","16","79","32","15","Webster Avenue","East 170 Stret",,,,"X",,,"Claremont Village-Claremont (East)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.98137070437686 40.75280675161958)","1","Manhattan","105","4","73","28","12","5 Avenue","East 41 Street",,,,,"X",,"Midtown-Times Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97170471541996 40.63186177544672)","3","Brooklyn","314","40","44","21","9","Ocean Pkwy","Newkirk Ave & Lawrence Ave","X",,,,,"1998-05-14T00:00:00.000","Flatbush (West)-Ditmas Park-Parkville","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.87737473376248 40.83376173239274)","2","Bronx","209","18","85","34","14","East 174 Street","Manor Avenue & East 173 Street","X",,,,,,"Soundview-Bruckner-Bronx River","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.78446177000532 40.712486752775135)","4","Queens","412","27","29","11","5","Hillside Avenue","179 Street",,,,,"X",,"Jamaica","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95504771143484 40.79303074310858)","1","Manhattan","164","6","68","30","12","Central Park East Drive","Post #13 (102 Street)",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.99441470101725 40.750855752376424)","1","Manhattan","105","3","75","28","12","8 Avenue","betw.   W31-W33",,,"X",,,,"Midtown South-Flatiron-Union Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.01324869747235 40.704554762560996)","1","Manhattan","101","1","61","27","10","Broadway","Whitehall St/ Bowling Green",,,"X",,,,"Financial District-Battery Park City","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.97935671450132 40.593192783286376)","3","Brooklyn","315","47","45","17","8","86 Street","betw. W8 & W9 Street",,,"X",,,,"Gravesend (East)-Homecrest","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.96105570768316 40.818740738040496)","1","Manhattan","109","7","71","30","13","Marginal Street","West 125 Street",,"X",,,,,"Manhattanville-West Harlem","AE",,"1"
"POINT (-74.01494869720663 40.70480176186771)","1","Manhattan","101","1","61","27","10","Battery Place","Greenwich Street",,,,,"X",,"Financial District-Battery Park City","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.94413671406241 40.79800774161446)","1","Manhattan","111","8","68","30","13","Park Avenue","E 114 Street",,,"X",,,,"East Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.98112370600836 40.7332337558448)","1","Manhattan","106","2","74","59","12","1 Avenue","East 17 Street",,,,"X",,,"Stuyvesant Town-Peter Cooper Village","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.97769070368975 40.79215474354074)","1","Manhattan","107","6","67","47","12","Riverside Drive","West 90 Street","X",,,,,,"Upper West Side (Central)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.82192475646941 40.7531587459474)","4","Queens","407","20","25","16","6","Kissena Blvd","Elder Avenue","X",,,,,"2022-03-13T00:00:00.000","East Flushing","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.9867127119732 40.60875878035953)","3","Brooklyn","311","44","47","17","11","Bay Pkwy","74 Street",,,,"X",,,"Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-74.0003557000679 40.73529975563497)","1","Manhattan","102","3","66","47","10","Greenwich Avenue","Charles Street",,,,,"X",,"West Village","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-74.01245469679898 40.710807760541016)","1","Manhattan","101","1","61","27","10","Greenwich Street","Courtlandt Street",,,"X",,,"2018-06-12T00:00:00.000","Financial District-Battery Park City","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.98085070428797 40.76584374937188)","1","Manhattan","105","4","75","28","12","W 57 Street","betw. 6 Ave and 7 Ave",,,"X",,,,"Midtown-Times Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.86466873644724 40.857891726550214)","2","Bronx","211","13","80","33","15","Pelham Parkway North","Wallace Avenue",,,"X",,,,"Pelham Parkway-Van Nest","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.82317475551974 40.75818374500534)","4","Queens","407","20","40","16","6","Sanford Avenue","Bowne Street","X",,,,,"2022-03-19T00:00:00.000","Flushing-Willets Point","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94356971920004 40.709503759222436)","3","Brooklyn","301","34","53","18","7","Graham Avenue","500' South of Maujer Street",,,"X",,,,"East Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91226972173948 40.85374772956503)","2","Bronx","205","14","86","31","13","University Avenue","Burnside Avenue S Leg","X",,,,,,"University Heights (South)-Morris Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93688872433732 40.65794176865613)","3","Brooklyn","309","41","43","20","9","Winthrop Street","Troy Avenue",,,,,"X","2022-10-12T00:00:00.000","Prospect Lefferts Gardens-Wingate","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90451972346821 40.857317728538234)","2","Bronx","205","14","86","33","13","Jerome Avenue","East 182 Street",,,,"X",,,"Fordham Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.85927674495615 40.73176575188001)","4","Queens","406","29","35","15","6","63 Road","98 Street",,,,"X",,,"Rego Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.85573874921243 40.68351176153501)","4","Queens","409","32","38","15","7","Rockaway Blvd","85 Street & 97 Avenue","X",,,,,"2022-06-14T00:00:00.000","Ozone Park (North)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.94690471318654 40.8083657396127)","1","Manhattan","110","9","70","30","13","W 125 Street","400' West Of Lenox Ave",,,"X",,,,"Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.94978771879765 40.698302760939235)","3","Brooklyn","303","36","56","25","8","Marcy Avenue","Ellery Street",,,,"X",,,"Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.78534976979583 40.712276753505996)","4","Queens","412","27","29","11","5","Hillside Avenue","178 Street","X",,,,,"2022-03-11T00:00:00.000","Jamaica","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95190171794283 40.69205376294851)","3","Brooklyn","303","33","57","25","8","Nostrand Ave","Pulaski St",,,,"X",,,"Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.83868374572239 40.840738729435)","2","Bronx","210","13","82","34","14","East Tremont Avenue","Ped X-ing Lehman HS",,,"X",,,,"Throgs Neck-Schuylerville","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.96621171594305 40.65318177055144)","3","Brooklyn","314","40","42","20","10","Parkside Avenue","Parade Place",,,,"X",,,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99223470321819 40.721240757768875)","1","Manhattan","103","1","65","27","10","Chrystie Street","Rivington Street",,,,,"X",,"Lower East Side","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.83062475650631 40.70873175505179)","4","Queens","409","29","28","14","5","Lefferts Blvd","Grenfeel St & 83 Ave","X",,,,,"1905-07-08T00:00:00.000","Kew Gardens","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94700771353092 40.78837074362447)","1","Manhattan","111","8","68","29","13","3 Avenue","East 101 Street",,,,"X",,,"East Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.96792470684565 40.78721474390346)","1","Manhattan","164","6","69","47","12","Central Park W","W 89 Street",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98106170259967 40.78849874446186)","1","Manhattan","107","6","67","47","12","Riverside Drive","West 84 vStreet",,,,,"X",,"Upper West Side (Central)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9679937086845 40.77113874767517)","1","Manhattan","108","4","73","28","12","5 Avenue","East 70 Street",,,,,"X",,"Upper East Side-Carnegie Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.0048487001689 40.712455760718484)","1","Manhattan","101","1","65","27","10","Centre Street","Brooklyn Bridge Exit",,,"X",,,,"Financial District-Battery Park City","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.95092571095249 40.812566738891846)","1","Manhattan","110","9","70","30","13","St Nicholas Avenue","West 128 Street",,,,,"X",,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00372969907058 40.726241757334506)","1","Manhattan","102","3","66","27","10","6 Avenue","Van Dam Street",,,,,"X",,"SoHo-Little Italy-Hudson Square","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.90615672306265 40.86277072736416)","2","Bronx","207","14","86","31","13","West Fordham Road","Andrews Avenue",,,,,"X",,"University Heights (North)-Fordham","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91223571998194 40.887109722808226)","2","Bronx","208","11","81","33","15","Henry Hudson Pkwy W S/R","West 236 Street","X",,,,,"1970-12-21T00:00:00.000","Riverdale-Spuyten Duyvil","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98249970496178 40.754126751013715)","1","Manhattan","105","4","75","28","12","W 42 Street","Between 5 Ave and 6 Ave",,,"X",,,,"Midtown-Times Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93261071840641 40.799817740320464)","1","Manhattan","111","8","68","29","13","1 Avenue","East 122 Street",,,"X",,,,"East Harlem (North)","AE",,"3"
"POINT (-73.96412371664643 40.65456777079841)","3","Brooklyn","355","39","44","20","10","Prospect Park","Post # 11",,,,,"X",,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97719571797134 40.75853849926938)","1","Manhattan","105","4","73","28","12","5 Avenue","60' S of E 50 Street",,,"X",,,,"Midtown-Times Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.88883372839324 40.86041172722467)","2","Bronx","206","15","78","33","15","East Fordham Rd","Washington Avenue","X",,,,,"2000-03-23T00:00:00.000","Belmont","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.7735487722664 40.73812674740817)","4","Queens","408","23","25","16","6","Fransis Lewis Blvd","820' North of 73 Avenue",,,"X",,,,"Cunningham Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8633977424114 40.75599574663499)","4","Queens","403","21","35","13","14","34 Avenue","105 Street",,,,"X",,,"North Corona","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8711307326472 40.879801722479655)","2","Bronx","207","11","80","33","15","Webster Avenue","800' No. of Gunhill Road",,,"X",,,"2019-02-19T00:00:00.000","Norwood","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94898471187233 40.82086273703618)","1","Manhattan","109","9","70","30","13","Convent Avenue","W 139 Street",,,"X",,,,"Manhattanville-West Harlem","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97099770563557 40.80095974189995)","1","Manhattan","107","6","69","30","12","Riverside Drive","west 104 Street","X",,,,,"2007-03-27T00:00:00.000","Upper West Side-Manhattan Valley","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99261770297751 40.71884175843552)","1","Manhattan","103","1","65","27","10","Forsyth Street","Broome Street",,,,,"X",,"Lower East Side","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9872007060211 40.6937757635384)","3","Brooklyn","302","33","52","26","7","Jay Street","Myrtle Avenue",,,"X",,,,"Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.0001356987856 40.75829775145794)","1","Manhattan","104","3","75","47","12","11 Avenue","West 38 Street",,,,,"X",,"Chelsea-Hudson Yards","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.96890370760525 40.76989274799964)","1","Manhattan","108","4","73","28","12","5 Avenue","East 68 Street",,,,,"X",,"Upper East Side-Carnegie Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94305671252049 40.826635735359936)","1","Manhattan","109","9","71","30","13","St Nicholas Avenue","West 149 Street",,,,,"X",,"Hamilton Heights-Sugar Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92194872037821 40.81039673843919)","2","Bronx","201","8","84","29","15","Willis Avenue","East 140 Street",,,,"X",,,"Mott Haven-Port Morris","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.84475074484659 40.83202673158819)","2","Bronx","209","18","87","34","14","Zerega Avenue","Powell Avenue",,,,"X",,,"Westchester Square","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-74.01509969645234 40.71426976056996)","1","Manhattan","101","1","61","27","10","VESEY ST","EAST OF NORTH END AVE",,,"X",,,,"Financial District-Battery Park City","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.94274771400754 40.8057487398919)","1","Manhattan","111","9","68","30","13","5 Avenue","East 124 Street",,,,,"X",,"East Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.96294070766638 40.809315739701965)","1","Manhattan","109","7","69","30","13","Broadway","W 118 Street",,,"X",,,,"Morningside Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94903471224053 40.814915738351225)","1","Manhattan","110","9","70","30","13","St Nicholas Avenue","Ped Crossing( Bet. 130 St & 133 St)",,,"X",,,,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98512870568491 40.71548175926516)","1","Manhattan","103","1","65","27","10","Grand Street","Ridge Street",,,"X",,,,"Lower East Side","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.89690072814287 40.83102573360974)","2","Bronx","203","16","79","32","15","Prospect Avenue","Ritter Place",,,,"X",,,"Crotona Park East","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96226170705478 40.81367973867129)","1","Manhattan","109","7","70","30","13","Riverside Drive","Grants Tomb",,,"X",,,,"Morningside Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94610471452408 40.78560474351396)","1","Manhattan","111","8","68","29","13","2 Avenue","E 98 Street",,,"X",,,,"East Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.94935671813408 40.696112761493346)","3","Brooklyn","303","36","56","25","8","Marcy Avenue","Stockton Street",,,,"X",,,"Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.84914474940976 40.72387575264655)","4","Queens","406","29","28","15","6","Queens Boulevard","69 Avenue",,,,"X",,,"Forest Hills","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93630471467905 40.82542173582765)","1","Manhattan","110","9","71","30","13","7 Avenue","West 151 Street",,,,,"X",,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.93843372299153 40.67977876437873)","3","Brooklyn","303","36","56","20","8","Fulton Street","Albany Avenue",,,,"X",,,"Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94147571539406 40.78768474364725)","1","Manhattan","111","8","68","29","13","1 Avenue","East 103 Street",,,,"X",,,"East Harlem (South)","AE",,"2"
"POINT (-73.96317371655157 40.655664770420394)","3","Brooklyn","355","39","44","20","10","Prospect Park","Post # 12",,,,,"X",,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95914871819679 40.65213677064972)","3","Brooklyn","314","40","42","20","9","Flatbush Avenue","Linden Boulevard",,,,"X",,,"Flatbush","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95481471098994 40.789197743477615)","1","Manhattan","111","4","68","29","12","5 Avenue","East 98 Street",,,,,"X",,"East Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.87493773279405 40.872950724076276)","2","Bronx","207","11","80","33","15","Webster Avenue","East 205 Street",,,,,"X",,"Norwood","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93272471488011 40.85288873023179)","1","Manhattan","112","10","72","31","13","Wadsworth Avenue","West 186 Street",,,,"X",,,"Washington Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.78481177112585 40.707922753596165)","4","Queens","412","27","29","11","5","Jamaica Ave","176 Street",,,,"X",,,"Jamaica","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97267470562731 40.78070274535966)","1","Manhattan","164","6","67","28","12","Central Park W","W 79 Street",,,"X",,,,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90430072571344 40.82301373557609)","2","Bronx","203","16","79","32","15","East 163 Street","Midblock @ Trinity Ave & Tinton",,,"X",,,,"Morrisania","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96322770901847 40.77766974639458)","1","Manhattan","108","4","73","28","12","5 Avenue","East 80 Street",,,,,"X",,"Upper East Side-Carnegie Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.1057036715188 40.63057477950105)","5","Staten Island","501","49","63","23","11","Forest Avenue","Bard Avenue & City Boulevard","X",,,,,,"West New Brighton-Silver Lake-Grymes Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99223770658593 40.66612576934804)","3","Brooklyn","307","39","51","26","10","4 Avenue","16 Street",,,,"X",,,"Windsor Terrace-South Slope","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90690672851093 40.75327574934157)","4","Queens","402","26","30","12","7","Northern Boulevard","Broadway","X",,,,,"1985-05-01T00:00:00.000","Woodside","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9204187312691 40.63089677325611)","3","Brooklyn","318","46","59","21","9","Flatlands Avenue","Avenue I",,"X",,,,"1971-09-27T00:00:00.000","Flatlands","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.95910471958119 40.61810377741528)","3","Brooklyn","314","48","45","22","9","Avenue M","E 16 Street",,,,"X",,,"Midwood","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.86178973678041 40.85797472657067)","2","Bronx","211","13","80","33","15","Pelham Parkway North","Bronxwood Avenue",,,,,"X",,"Morris Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96711670738179 40.7984947423246)","1","Manhattan","107","7","69","30","13","Amsterdam Avenue","West 103 Street",,,,"X",,,"Upper West Side-Manhattan Valley","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94043571961309 40.71842575723143)","3","Brooklyn","301","34","53","18","7","Kingsland Avenue","Woodpoint Rd & Frost St",,"X",,,,"1970-12-10T00:00:00.000","East Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.90321673338573 40.69510875993387)","4","Queens","405","34","38","12","7","Wyckoff Avenue","Norman Street",,,,"X",,,"Ridgewood","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.87450273957431 40.743303749989906)","4","Queens","404","25","39","12","6","43 Avenue","91 Place and Hampton St","X",,,,,"2022-03-05T00:00:00.000","Elmhurst","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97635570809616 40.71912475777816)","1","Manhattan","103","2","74","27","10","East Houston St","Baruch Place",,,,"X",,,"Lower East Side","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.94415872220486 40.65452177003253)","3","Brooklyn","317","41","43","20","9","Lenox Road","Brooklyn Avenue",,,,,"X",,"East Flatbush-Erasmus","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96476170792629 40.79666074275979)","1","Manhattan","107","7","69","30","13","Columbus Ave","W 102 Street",,,"X",,,,"Upper West Side-Manhattan Valley","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.925870716752 40.866017727174054)","1","Manhattan","112","10","72","31","13","Broadway","Cumming Street",,,,,"X",,"Inwood","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.87791430090653 40.8399703703232)","2","Bronx","206","15","87","32","15","East Tremont Avenue","Midblock Signal 330 W/O Devoe Avenue",,,"X",,,,"West Farms","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.94306871421873 40.7966427413518)","1","Manhattan","111","8","68","30","13","Lexington Avenue","East 113 Street",,,"X",,,,"East Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.99602870328503 40.70921576090744)","1","Manhattan","103","1","65","27","10","South Street","Catherine Slip",,"X",,,,,"Chinatown-Two Bridges","AE",,"1"
"POINT (-73.95819670905718 40.80056974125636)","1","Manhattan","107","7","69","30","13","Frederick Douglass Circle","Central Park North","X",,,,,"2006-08-19T00:00:00.000","Upper West Side-Manhattan Valley","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98577770238471 40.77291674756801)","1","Manhattan","107","6","67","47","12","Amsterdam Avenue","200' North West 62 Street",,,"X",,,,"Upper West Side-Lincoln Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.85857874692329 40.715124754571704)","4","Queens","406","29","28","15","6","Yellowstone Blvd","Alderton Street","X",,,,,"2001-04-24T00:00:00.000","Rego Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94592571368003 40.79851174168548)","1","Manhattan","111","9","68","30","13","Madison Avenue","E 114 Street",,,"X",,,,"East Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.95578871911813 40.64951377125694)","3","Brooklyn","317","40","42","21","9","Bedford Avenue","Erasmus St",,,,"X",,,"East Flatbush-Erasmus","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97784171076272 40.663392769006734)","3","Brooklyn","355","39","44","20","10","Prospect Park West","11 Street",,,,"X",,,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94240971301762 40.82215573655687)","1","Manhattan","110","9","70","30","13","8 Avenue","W 144 Street",,,,"X",,,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.9092017229552 40.83303873372554)","2","Bronx","204","16","77","32","15","Webster Avenue","300' No. of E. 168 St.",,,"X",,,,"Concourse-Concourse Village","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.97121670832587 40.74691475270136)","1","Manhattan","106","4","74","59","12","1 Avenue","East 39 Street",,,,"X",,,"Murray Hill-Kips Bay","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-74.00613869955814 40.71194176061487)","1","Manhattan","101","1","65","27","10","Park Row","Spruce Street","X",,,,,,"Financial District-Battery Park City","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.95421272322201 40.58737378336967)","3","Brooklyn","315","48","45","23","8","Sheepshead Bay","East 15 Street",,,,,"X","1986-04-16T00:00:00.000","Sheepshead Bay-Manhattan Beach-Gerritsen Beach","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.84608974211352 40.870382723515284)","2","Bronx","211","12","80","36","15","East Gun Hill Road","Seymour Avenue",,,,,"X",,"Pelham Gardens","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93486771689993 40.80498673981028)","1","Manhattan","111","8","68","30","13","3 Avenue","East 127 Street",,,,"X",,,"East Harlem (North)","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","4"
"POINT (-73.8289147580739 40.677637761144865)","4","Queens","410","32","23","10","5","Rockaway Blvd","110 Street",,,,"X",,,"South Ozone Park","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.98122271035504 40.65583477056862)","3","Brooklyn","307","38","44","20","10","PROSPECT EXPWAY & 19 ST","10 AVE","X",,,,,,"Windsor Terrace-South Slope","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98265570619229 40.72725275639465)","1","Manhattan","103","2","74","27","10","Avenue A","E 9 Street",,,,"X",,,"East Village","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.81513875965132 40.72968275045682)","4","Queens","408","24","27","16","6","Kissena Blvd","71 Avenue",,,,"X",,,"Pomonok-Electchester-Hillcrest","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95942970829721 40.81692973784359)","1","Manhattan","109","7","70","30","13","W 125 Street","ST CLAIR PL & WEST 129 ST",,"X",,,,,"Morningside Heights","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.99889270195474 40.71253975987991)","1","Manhattan","103","1","65","27","10","St. James Place","James Street",,,,"X",,,"Chinatown-Two Bridges","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-74.0119726970006 40.71207376050538)","1","Manhattan","101","1","61","27","10","Greenwich Street","Fulton Street",,,,"X",,,"Financial District-Battery Park City","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.90237073330815 40.70567475837153)","4","Queens","405","30","37","12","7","Forest Avenue","Madison Street","X",,,,,,"Ridgewood","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90910972414831 40.82336973570583)","2","Bronx","203","17","79","32","15","3 Avenue","East 162 Street",,,,,"X",,"Morrisania","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93949872165362 40.70127176051048)","3","Brooklyn","304","34","53","18","7","Flushing Avenue","Beaver Street",,,,,"X",,"Bushwick (West)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.91001572433957 40.81342373690007)","2","Bronx","201","8","84","29","15","East 149 Street","Trinity Avenue",,,,"X",,,"Mott Haven-Port Morris","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.87547574068219 40.713111756016495)","4","Queens","405","30","28","15","6","Metropolitan Avenue","78 Street",,,,"X",,,"Middle Village","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.02572669866124 40.6160387797628)","3","Brooklyn","310","43","46","26","11","92 Street","Dahlgren Place",,"X",,,,,"Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD",
