"court_index_number","docket_number","eviction_address","eviction_apt_num","executed_date","marshal_first_name","marshal_last_name","residential_commercial_ind","borough","eviction_zip","ejectment","eviction_possession","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"75246/16","4238","360 MONTAUK AVE. APT. 2 2ND FLOOR","2","2017-01-09T00:00:00.000","Robert","Renzulli","Residential","BROOKLYN","11208","Not an Ejectment","Possession",,,,,,,,
"K071852/17","383155","475 CARLTON AVENUE","5B","2017-10-16T00:00:00.000","Richard","McCoy","Residential","BROOKLYN","11238","Not an Ejectment","Possession","40.683478","-73.970918","2","35","179","3321981","3020070014","Fort Greene"
"77795/16","466550","2840 SEDGWICK AVENUE","4E","2017-11-28T00:00:00.000","Danny","Weinheim","Residential","BRONX","10468","Not an Ejectment","Possession","40.873293","-73.901866","8","14","26702","2015397","2032500009","Van Cortlandt Village"
"Q61204/17","080484","133-18 DENIS STREET",,"2017-10-20T00:00:00.000","Ileana","Rivera","Residential","QUEENS","11434","Not an Ejectment","Possession","40.677532","-73.762436","12","27","352","4592734","4129860028","St. Albans"
"331263/22","363648","2316 LORING PLACE","3C","2023-05-16T00:00:00.000","Thomas","Bia","Residential","BRONX","10468","Not an Ejectment","Possession","40.861995","-73.908169","7","14","255","2014943","2032250101","Kingsbridge Heights"
"1823/17B","064563","2726 DECATUR AVENUE","7","2017-08-01T00:00:00.000","Justin","Grossman","Residential","BRONX","10458","Not an Ejectment","Possession","40.865516","-73.888037","7","15","40502","2016379","2032780018","Bedford Park-Fordham North"
"Q69756/19","101677","470 FAIRVIEW AVENUE","REAR GARAGE","2020-01-27T00:00:00.000","Ileana","Rivera","Commercial","QUEENS","11385","Not an Ejectment","Possession","40.709107","-73.909913","5","30","591","4080774","4033870050","Ridgewood"
"53571/16","321963","1903 HOLLAND AVE","1ST FL","2017-04-10T00:00:00.000","John","Villanueva","Residential","BRONX","10462","Not an Ejectment","Possession","40.848312","-73.865317","11","15","230","2047927","2042590037","Van Nest-Morris Park-Westchester Square"
"N054787/18","392417","1309 5TH AVENUE","16H","2019-02-04T00:00:00.000","Richard","McCoy","Residential","MANHATTAN","10029","Not an Ejectment","Possession","40.797309","-73.948901","11","9","17402","1078884","1016160001","East Harlem South"
"62563/18","8562","155 SPRING STREET",,"2018-08-06T00:00:00.000","Robert","Renzulli","Commercial","MANHATTAN","10012","Not an Ejectment","Possession","40.724433","-74.001667","2","1","49","1007722","1005017502","SoHo-TriBeCa-Civic Center-Little Italy"
"63058/16","323962","675 MORRIS AVENUE","8Q","2017-06-22T00:00:00.000","John","Villanueva","Residential","BRONX","10451","Not an Ejectment","Possession","40.820467","-73.921371","1","17","65","2114677","2024420060","Melrose South-Mott Haven North"
"59548/18","12012","125 COURT STREET - APT 7SJ (ON THE 7TH FL)","7SJ","2019-10-28T00:00:00.000","Robert","Renzulli","Residential","BROOKLYN","11201","Not an Ejectment","Possession",,,,,,,,
"K303107/21","104351","176 ROCKAWAY AVE","1L","2022-06-08T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11233","Not an Ejectment","Possession","40.677098","-73.910865","16","41","301","3042586","3015670029","Ocean Hill"
"77738/17","075927","653 48TH STREET 2/FL",,"2017-10-20T00:00:00.000","Henry","Daley","Residential","BROOKLYN","11220","Not an Ejectment","Possession",,,,,,,,
"66721/17","067605","552 LINCOLN PLACE","R","2017-08-11T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11238","Not an Ejectment","Possession","40.671633","-73.958158","8","35","217","3029658","3011810040","Crown Heights North"
"12129/18","169638","1251 WEBSTER AVE","F2","2018-07-31T00:00:00.000","Alfred","Locascio","Residential","BRONX","10456","Not an Ejectment","Possession","40.833034","-73.909210","4","16","17701","2002108","2024270037","East Concourse-Concourse Village"
"B036404/17","383617","3300 PALMER AVENUE","303","2017-11-01T00:00:00.000","Richard","McCoy","Residential","BRONX","10475","Not an Ejectment","Possession","40.878305","-73.834946","12","12","46202","2102474","2052280041","Co-op City"
"43026/17","337036","1382 SHAKESPEARE AVENUE","1H","2018-01-03T00:00:00.000","Thomas","Bia","Residential","BRONX","10452","Not an Ejectment","Possession","40.841533","-73.921573","4","16","21302","2120514","2028720007","Highbridge"
"B305291/21","103994","347 EAST 204TH STREE T","COMMERICAL PREMISES","2021-12-14T00:00:00.000","Ileana","Rivera","Commercial","BRONX","10467","Not an Ejectment","Possession","40.872106","-73.877732","7","11","425","2018430","2033490047","Norwood"
"B804757/17","382695","535 JACKSON AVE","12C","2019-07-30T00:00:00.000","Richard","McCoy","Residential","BRONX","10455","Not an Ejectment","Possession","40.812685","-73.909281","1","8","35","2091284","2025570083","Mott Haven-Port Morris"
"73706/18","22145","34-05 28TH AVENUE","5F","2019-04-24T00:00:00.000","Edward","Guida","Residential","QUEENS","11103","Not an Ejectment","Possession","40.767296","-73.917545","1","22","6501","4009388","4006320075","Astoria"
"68317/16","288726","91-52 87TH STREET",,"2017-01-17T00:00:00.000","George","Essock","Commercial","QUEENS","11421","Not an Ejectment","Possession","40.687302","-73.855272","9","32","8","4186061","4089800030","Woodhaven"
"59021/19","017597","5214 CHURCH AVE","3R","2019-06-17T00:00:00.000","George","Essock, Jr.","Residential","BROOKLYN","11203","Not an Ejectment","Possession","40.652204","-73.928233","17","41","862","3102931","3047000006","Rugby-Remsen Village"
"B59892/16","096395","2670 BAINBRIDGE AVE","4B","2017-07-12T00:00:00.000","Darlene","Barone","Residential","BRONX","10458","Not an Ejectment","Possession","40.865470","-73.891472","7","15","40502","2016620","2032870031","Bedford Park-Fordham North"
"83868/18","089351","388 AVENUE X LOT G - SPACE #12 OF THE DANBURY BUILDING",,"2019-01-11T00:00:00.000","Henry","Daley","Commercial","BROOKLYN","11223","Not an Ejectment","Possession",,,,,,,,
"303176/20","110924","178 BAY 46TH STREET FIRST FLOOR WALK IN APT",,"2023-04-10T00:00:00.000","Henry","Daley","Residential","BROOKLYN","11214","Not an Ejectment","Possession",,,,,,,,
"95208/17","076114","443 WINTHROP STREET","3B","2018-03-16T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11203","Not an Ejectment","Possession","40.657404","-73.945631","9","40","810","3404051","3048200042","Prospect Lefferts Gardens-Wingate"
"54332/18","8292","103-15 217TH PLACE",,"2018-08-24T00:00:00.000","Bernard","Blake","Residential","QUEENS","11429","Not an Ejectment","Possession","40.712902","-73.739895","13","27","540","4239290","4111040177","Queens Village"
"066724/18","087226","87-50 167TH STREET","10F","2018-09-28T00:00:00.000","Henry","Daley","Residential","QUEENS","11432","Not an Ejectment","Possession","40.710592","-73.796044","8","24","454","4210455","4098380062","Briarwood-Jamaica Hills"
"R52741/16","073651","56 BETTY COURT","ENTIRE HOUSE","2017-01-17T00:00:00.000","Ileana","Rivera","Residential","STATEN ISLAND","10303","Not an Ejectment","Possession","40.640168","-74.168969","1","49","31902","5150989","5012720452","Mariner's Harbor-Arlington-Port Ivory-Graniteville"
"82660/16","465892","545 EAST 14TH ST.","2-H","2017-04-12T00:00:00.000","Danny","Weinheim","Residential","MANHATTAN","10009","Not an Ejectment","Possession","40.729756","-73.978738","6","4","44","1082884","1009720001","Stuyvesant Town-Cooper Village"
"53775/19","091897","245 TROUTMAN STREET","2R","2019-05-01T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11237","Not an Ejectment","Possession","40.702666","-73.926714","4","34","427","3072326","3031740038","Bushwick North"
"75379/17","079229","98-05 67TH AVENUE","1K","2018-04-04T00:00:00.000","Henry","Daley","Residential","QUEENS","11375","Not an Ejectment","Possession","40.724241","-73.855552","6","29","71306","4074666","4031560133","Forest Hills"
"B52042/17B","101948","1336 OGDEN AVENUE","3","2017-12-18T00:00:00.000","Darlene","Barone","Residential","BRONX","10452","Not an Ejectment","Possession","40.840854","-73.925141","4","16","211","2103166","2025220013","Highbridge"
"79587/19","12716","347A EMPIRE BLVD A/K/A 985 NOSTRAND - GROUND FLOOR STORE",,"2020-03-02T00:00:00.000","Robert","Renzulli","Commercial","BROOKLYN","11225","Not an Ejectment","Possession","40.663942","-73.950550","9","35","319",,,"Crown Heights South"
"70483/16-2","290242","90-44 CORONA AVE","2R","2017-01-25T00:00:00.000","George","Essock","Residential","QUEENS","11373","Not an Ejectment","Possession","40.742126","-73.874135","4","25","461","4045587","4018470010","Elmhurst"
"10447/18","061533","41 NOSTRAND AVENUE","05B","2018-08-10T00:00:00.000","Howard","Schain","Residential","BROOKLYN","11206","Not an Ejectment","Possession","40.698579","-73.953193","3","36","255","3325589","3017190001","Bedford"
"R50852/17","079587","250 CORSON AVENUE","1","2017-10-05T00:00:00.000","Ileana","Rivera","Residential","STATEN ISLAND","10301","Not an Ejectment","Possession","40.636889","-74.086841","1","49","77","5002520","5001050015","West New Brighton-New Brighton-St. George"
"72127/18","061772","811 57TH STREET","STORE","2019-02-04T00:00:00.000","Howard","Schain","Commercial","BROOKLYN","11220","Not an Ejectment","Possession","40.636908","-74.007293","12","38","104","3139902","3056860075","Sunset Park East"
"58287/18","011695","6505 CENTRAL AVENUE   1ST FLOOR","1E","2018-07-09T00:00:00.000","George","Essock, Jr.","Residential","QUEENS","11385","Not an Ejectment","Possession","40.702401","-73.890490","5","30","579","4088463","4036440030","Glendale"
"73381/16","166487","61-38 MADISON ST","2R","2017-06-29T00:00:00.000","Alfred","Locascio","Residential","QUEENS","11385","Not an Ejectment","Possession","40.707404","-73.895975","5","30","61301","4087889","4036190035","Ridgewood"
"76725/18","21398","40-04 BOWNE STREET","5G","2019-02-05T00:00:00.000","Edward","Guida","Residential","QUEENS","11354","Not an Ejectment","Possession","40.760675","-73.824292","7","20","855","4113632","4050210025","Flushing"
"305859/22B","121603","1114 RHINELANDER AVENUE","GRND FL WALK IN","2023-08-09T00:00:00.000","Darlene","Barone","Residential","BRONX","10461","Not an Ejectment","Possession","40.851754","-73.854007","11","13","250","2045622","2041310007","Pelham Parkway"
"14664/20","360997","960 GRAND CONCOURSE","UNIT 6A","2022-06-01T00:00:00.000","Thomas","Bia","Residential","BRONX","10451","Not an Ejectment","Possession","40.829305","-73.921346","4","8","18301","2002815","2024610058","East Concourse-Concourse Village"
"302801/21B","104298","7124 20TH AVENUE","2R","2022-07-06T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11204","Not an Ejectment","Possession","40.612797","-73.990156","11","47","266","3158009","3061840047","Bensonhurst West"
"B312385/22","107134","2853 GRAND CONCOURSE  AKA 2855 GRAND CONC","DELI GROCERY","2023-06-22T00:00:00.000","Ileana","Rivera","Commercial","BRONX","10468","Not an Ejectment","Possession","40.870242","-73.890868","7","14","40701","2017574","2033190001","Van Cortlandt Village"
"86010/18","014526","290 EAST 56TH STREET","B-2","2019-01-14T00:00:00.000","George","Essock, Jr.","Residential","BROOKLYN","11203","Not an Ejectment","Possession","40.649918","-73.924372","17","45","938","3104010","3047270016","Rugby-Remsen Village"
"R51051/19","097643","97 MOSEL AVENUE","BASEMENT","2019-08-19T00:00:00.000","Ileana","Rivera","Residential","STATEN ISLAND","10304","Not an Ejectment","Possession","40.611722","-74.078618","1","49","40","5146104","5028990150","Grymes Hill-Clifton-Fox Hills"
"57705/16","068390","140-17 84TH DRIVE  UNIT 5H",,"2017-04-19T00:00:00.000","Steven","Powell","Residential","QUEENS","11435","Not an Ejectment","Possession","40.709647","-73.816881","8","24","22002","4207766","4097130163","Briarwood-Jamaica Hills"
"64926/17","12188","107-37 157TH STREET",,"2017-09-18T00:00:00.000","Edward","Guida","Residential","QUEENS","11433","Not an Ejectment","Possession","40.695710","-73.796180","12","28","254","4534237","4101250221","South Jamaica"
"Q050926/18","391640","85-25 120TH STREET","4G","2018-05-08T00:00:00.000","Richard","McCoy","Residential","QUEENS","11415","Not an Ejectment","Possession","40.702573","-73.831035","9","29","140","4193487","4092660045","Kew Gardens"
"75358/18","9902","42-02 COLLEGE POINT BLVD - 3RD FLOOR","3RD FLOOR","2019-01-09T00:00:00.000","Robert","Renzulli","Commercial","QUEENS","11355","Not an Ejectment","Possession","40.754518","-73.833072","7","20","849","4115019","4050650016","Flushing"
"300550/22","362042","3039 WALLACE AVENUE","3C","2023-05-05T00:00:00.000","Thomas","Bia","Residential","BRONX","10467","Not an Ejectment","Possession","40.870151","-73.864318","12","15","338","2055615","2045700032","Bronxdale"
"63494/18","090642","2366 WEBSTER AVENUE","5B","2019-07-02T00:00:00.000","Justin","Grossman","Residential","BRONX","10458","Not an Ejectment","Possession","40.857916","-73.894496","6","15","38302","2011192","2030310031","Fordham South"
"083698/17B","002807","255 EAST 23RD STREET","2ND FLOOR","2017-11-22T00:00:00.000","Vadim","Barbarovich","Residential","BROOKLYN","11226","Not an Ejectment","Possession","40.643545","-73.955563","14","40","792","3118980","3051670058","Erasmus"
"90636/17","074182","3080 FULTON STREET","3RD FLOOR","2018-03-02T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11208","Not an Ejectment","Possession","40.680991","-73.881335","5","37","1168","3088152","3039580027","East New York"
"329925/22","113206","2150 CRESTON AVENUE","1D","2023-06-15T00:00:00.000","Justin","Grossman","Residential","BRONX","10453","Not an Ejectment","Possession","40.855011","-73.902796","5","14","23704","2013753","2031620001","Fordham South"
"62449/17","11641","504 SENECA AVENUE","2L","2017-08-15T00:00:00.000","Edward","Guida","Residential","QUEENS","11385","Not an Ejectment","Possession","40.705343","-73.911992","5","34","545","4082056","4034360032","Ridgewood"
"32071/18B","085383","1971 GRAND AVENUE","6D","2018-11-08T00:00:00.000","Justin","Grossman","Residential","BRONX","10453","Not an Ejectment","Possession","40.852161","-73.910789","5","14","243","2008620","2028690163","University Heights-Morris Heights"
"79187/17-2","025411","186-16 MANGIN AVENUE","ENTIRE PREMISES","2018-08-09T00:00:00.000","Gary","Rose","Residential","QUEENS","11412","Not an Ejectment","Possession","40.697236","-73.768410","12","27","400","4221480","4104070012","St. Albans"
"52006/19","093931","163 E. 99TH STREET","4","2019-04-25T00:00:00.000","Henry","Daley","Residential","MANHATTAN","10029","Not an Ejectment","Possession","40.787587","-73.948999","11","5","166","1051763","1016270028","East Harlem South"
"307088/21","209941","97-14 104TH STREET",,"2022-11-10T00:00:00.000","Richard","Capuano","Residential","QUEENS","11416","Not an Ejectment","Possession","40.687657","-73.839766","9","28","116","4197714","4094050012","Richmond Hill"
"67938/17","077038","124-19 LIBERTY AVE 1ST FLOOR STORE",,"2017-12-04T00:00:00.000","Henry","Daley","Commercial","QUEENS","11419","Not an Ejectment","Possession",,,,,,,,
"67775/18","9541","1 MORNINGSIDE DRIVE APARTMENT NUMBER 1613","1613","2018-11-19T00:00:00.000","Robert","Renzulli","Residential","MANHATTAN","10025","Not an Ejectment","Possession",,,,,,,,
"74709/17","001884","41-46 PARSONS BLVD.","4K","2018-02-15T00:00:00.000","Salavatore","Giglio","Residential","QUEENS","11355","Not an Ejectment","Possession","40.759356","-73.821018","7","20","855","4114711","4050490032","Flushing"
"901703/16","108598","316-322 E 149TH STR  2ND FL UNIT 12&14",,"2017-03-08T00:00:00.000","Maxine","Chevlowe","Commercial","BRONX","10451","Not an Ejectment","Possession",,,,,,,,
"95388/17","17593","50 STANHOPE STREET","1R","2018-08-29T00:00:00.000","Edward","Guida","Residential","BROOKLYN","11221","Not an Ejectment","Possession","40.695905","-73.925131","4","34","421","3074380","3032650014","Bushwick South"
"B51742/17","100995","1160 EVERGREEN AVE","1G","2018-05-07T00:00:00.000","Darlene","Barone","Residential","BRONX","10472","Not an Ejectment","Possession","40.827316","-73.880774","9","17","5002","2023772","2037380027","Soundview-Bruckner"
"59002/17A","087584","143 HIMROD STREET","2P","2019-01-11T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11221","Not an Ejectment","Possession","40.697278","-73.922638","4","37","421","3393892","3032660045","Bushwick South"
"85081/18","015055","120 MONTAGUE STREET    (THE PREMISES)","14E","2019-02-25T00:00:00.000","George","Essock, Jr.","Residential","BROOKLYN","11201","Not an Ejectment","Possession",,,,,,,,
"055775/19","095434","1710 SECOND AVE","4S","2019-05-23T00:00:00.000","Henry","Daley","Residential","MANHATTAN","10128","Not an Ejectment","Possession","40.779587","-73.950489","8","5","14602","1050102","1015510052","Yorkville"
"078617/18","099702","98-32 57TH AVENUE","18E","2020-02-21T00:00:00.000","Henry","Daley","Residential","QUEENS","11368","Not an Ejectment","Possession","40.738035","-73.861144","4","21","455","4047322","4019180072","Corona"
"56861/19","10840","38 WEST 31 STREET APT. 619","619","2019-05-08T00:00:00.000","Robert","Renzulli","Residential","MANHATTAN","10001","Not an Ejectment","Possession","40.747252","-73.987661","5","4","76","1078654","1008320066","Midtown-Midtown South"
"70869/19","063472","153 ECKFORD STREET","3L","2020-02-07T00:00:00.000","Howard","Schain","Residential","BROOKLYN","11222","Not an Ejectment","Possession","40.724850","-73.949390","1","33","571","3066142","3026480025","Greenpoint"
"60500/19","094786","969 64TH STREET","3C","2019-09-13T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11219","Not an Ejectment","Possession","40.630957","-74.008117","10","38","212","3141715","3057360065","Dyker Heights"
"60536/19","096481","98-17 HORACE HARDING EXPWY.","15D","2019-07-10T00:00:00.000","Henry","Daley","Residential","QUEENS","11368","Not an Ejectment","Possession","40.735583","-73.860168","4","21","455","4047331","4019180095","Corona"
"65911/17","341700","814A TILDEN STREET","STC","2018-03-05T00:00:00.000","Thomas","Bia","Residential","BRONX","10467","Not an Ejectment","Possession",,,,,,,,
"66954/17","11870","752 SCHENCK AVENUE","1","2017-08-29T00:00:00.000","Edward","Guida","Residential","BROOKLYN","11207","Not an Ejectment","Possession","40.662044","-73.884605","5","42","1104","3394193","3043300022","East New York"
"B10017/18","087325","2985 BOTANICAL SQUAR E","1A","2019-01-24T00:00:00.000","Ileana","Rivera","Residential","BRONX","10458","Not an Ejectment","Possession",,,,,,,,
"72887/18","084467","800 EAST 13TH STREET","2-E","2018-10-17T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11230","Not an Ejectment","Possession","40.629623","-73.964139","14","45","530","3179203","3066960009","Midwood"
"B33677/19B","101142","4373 MATILDA AVENUE","2","2022-08-02T00:00:00.000","Ileana","Rivera","Residential","BRONX","10466","Not an Ejectment","Possession","40.898486","-73.856682","12","11","418","2069742","2050400045","Woodlawn-Wakefield"
"306458/20","107984","6 E. 54TH STREET","BASEMENT UNIT","2022-06-06T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11203","Not an Ejectment","Possession","40.659131","-73.927252","17","41","866","3099749","3046070016","Rugby-Remsen Village"
"71763/18","087047","97 EUCLID AVENUE","5A","2018-10-01T00:00:00.000","Henry","Daley","Residential","BROOKLYN","11208","Not an Ejectment","Possession","40.686095","-73.874835","5","37","117602","3091620","3041170017","Cypress Hills-City Line"
"68277/16","167410","1114 ST.LAWRENCE AVE 3RD FLOOR",,"2017-09-01T00:00:00.000","Alfred","Locascio","Residential","BRONX","10472","Not an Ejectment","Possession","40.828214","-73.866459","9","18","70","2115319","2037530115","Soundview-Bruckner"
"K57658/19","096433","1412 NEW YORK AVENUE","4E","2019-05-15T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11210","Not an Ejectment","Possession","40.638215","-73.945323","17","45","788","3327407","3049950030","Flatbush"
"Q76086/17","085818","541 BEACH 63RD STREE T",,"2018-07-20T00:00:00.000","Ileana","Rivera","Residential","QUEENS","11692","Not an Ejectment","Possession","40.596334","-73.792659","14","31","964","4535812","4160300053","Hammels-Arverne-Edgemere"
"301458/22","210423","28 HOLIDAY WAY UNIT 48",,"2023-01-11T00:00:00.000","Richard","Capuano","Residential","STATEN ISLAND","10314","Not an Ejectment","Possession","40.621051","-74.150921","1","49","30301","5029592","5014897502","Mariner's Harbor-Arlington-Port Ivory-Graniteville"
"66299/18","087826","99 STOCKTON STREET","2","2018-12-17T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11206","Not an Ejectment","Possession","40.696219","-73.948586","3","36","257","3391838","3017430076","Bedford"
"B336000/22","107757","1024 EAST 230TH STRE ET","ROOM #2 SECOND FLOOR","2023-07-07T00:00:00.000","Ileana","Rivera","Residential","BRONX","10466","Not an Ejectment","Possession","40.888337","-73.849131","12","12","424","2065197","2048760058","Williamsbridge-Olinville"
"61759/17","072184","121-16 LIBERTY AVE","2R","2017-06-29T00:00:00.000","Henry","Daley","Residential","QUEENS","11419","Not an Ejectment","Possession","40.687044","-73.822067","10","28","15802","4204354","4095750008","South Ozone Park"
"31322/18","170654","1509 RESEARCH AVE 2ND FLOOR","2","2019-02-14T00:00:00.000","Alfred","Locascio","Residential","BRONX","10465","Not an Ejectment","Possession","40.844791","-73.819372","10","13","27402","2076145","2054150048","Pelham Bay-Country Club-City Island"
"79180/18","10305","980-996 AVENUE OF THE AMERICAS - APT 22L",,"2019-04-15T00:00:00.000","Robert","Renzulli","Residential","MANHATTAN","10018","Not an Ejectment","Possession","40.751169","-73.986776","5","4","84","1015919","1008380001","Midtown-Midtown South"
"60094/18","011267","700 OCEAN AVENUE","5H","2018-05-17T00:00:00.000","George","Essock, Jr.","Residential","BROOKLYN","11226","Not an Ejectment","Possession","40.646011","-73.960246","14","40","51001","3117613","3051230025","Flatbush"
"91400/16","057879","671 HALSEY STREET","2B","2017-02-22T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11233","Not an Ejectment","Possession","40.684643","-73.925237","3","41","383","3046347","3016630088","Stuyvesant Heights"
"57750/18","20872","3511 PUTNAM PLACE","4D","2019-02-07T00:00:00.000","Edward","Guida","Residential","BRONX","10467","Not an Ejectment","Possession","40.879668","-73.875281","7","11","431","2018626","2033560028","Norwood"
"301986/21","365202","248 WEST 73RD STREET","3CD","2023-07-05T00:00:00.000","Thomas","Bia","Residential","MANHATTAN","10023","Not an Ejectment","Possession","40.780063","-73.982990","7","6","159","1030524","1011640051","Lincoln Square"
"71474/17A","074878","61-18 43RD AVENUE","2C","2018-03-12T00:00:00.000","Justin","Grossman","Residential","QUEENS","11377","Not an Ejectment","Possession","40.742538","-73.903159","2","26","249","4031581","4013390017","Woodside"
"73635/17","003258","1665 MONROE AVE.","APT 5I","2018-06-04T00:00:00.000","Vadim","Barbarovich","Residential","BRONX","10457","Not an Ejectment","Possession","40.843385","-73.906793","4","15","22902","2007359","2027920014","Mount Hope"
"7613/17","109583","1944 UNIONPORT RD","S33","2017-11-01T00:00:00.000","Maxine","Chevlowe","Residential","BRONX","10452","Not an Ejectment","Possession","40.849760","-73.868892","11","15","230","2047874","2042560003","Van Nest-Morris Park-Westchester Square"
"Q057901/18","394096","132-54 POPLE AVENUE","SPACE#16","2018-06-26T00:00:00.000","Richard","McCoy","Commercial","QUEENS","11355","Not an Ejectment","Possession","40.753486","-73.831277","7","20","79702","4115135","4051040027","Flushing"
"319958/22","110943","1970-1972 WALTON AVE NUE","2F","2023-06-09T00:00:00.000","Justin","Grossman","Residential","BRONX","10453","Not an Ejectment","Possession","40.851615","-73.908129","5","14","241","2007924","2028290001","Mount Hope"
"062453/18","085285","88-25 153RD STREET","3S","2018-10-01T00:00:00.000","Henry","Daley","Residential","QUEENS","11432","Not an Ejectment","Possession","40.705928","-73.803885","12","24","236","4208891","4097620001","Briarwood-Jamaica Hills"
"10173/17","005728","2945-49 WEST 23 ST","14D","2018-08-22T00:00:00.000","Frank","Siracusa","Residential","BROOKLYN","11224","Not an Ejectment","Eviction","40.575103","-73.989885","13","47","326","3189543","3070570012","Seagate-Coney Island"
"25400/17","477555","3764 BRONX BLVD","6J","2018-05-09T00:00:00.000","Danny","Weinheim","Residential","BRONX","10467","Not an Ejectment","Possession","40.883981","-73.866196","12","12","392","2057437","2046490031","Williamsbridge-Olinville"
"66320/18","081060","1098 EASTERN PARKWAY","10","2018-06-27T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11213","Not an Ejectment","Possession","40.668845","-73.932151","9","35","351","3037549","3013960030","Crown Heights North"
"63249/17","335018","230-238 WEST 111TH STREET BUILDING 3","6A","2017-07-28T00:00:00.000","Thomas","Bia","Residential","MANHATTAN","10026","Not an Ejectment","Possession","40.800482","-73.955942","10","9","216","1085303","1018260008","Central Harlem South"
"25531/18","095042","30 RICHMAN PLAZA","13D","2019-05-28T00:00:00.000","Justin","Grossman","Residential","BRONX","10453","Not an Ejectment","Possession","40.851999","-73.922515","5","16","53","2113628","2028820229","University Heights-Morris Heights"
"B7893/18","104892","1995 CRESTON AVENUE","2E","2018-06-27T00:00:00.000","Darlene","Barone","Residential","BRONX","10453","Not an Ejectment","Possession","40.851229","-73.906221","5","14","241","2007653","2028070016","Mount Hope"
"Q54475/18","089844","170-20 130TH AVENUE","9A","2018-07-30T00:00:00.000","Ileana","Rivera","Residential","QUEENS","11434","Not an Ejectment","Possession","40.676488","-73.771381","12","28","33402","4436340","4124950002","Springfield Gardens North"
"56259/17","468218","252 BROOME STREET","*","2017-06-05T00:00:00.000","Danny","Weinheim","Commercial","MANHATTAN","10002","Not an Ejectment","Possession","40.718018","-73.989849","3","1","18","1005296","1004090031","Chinatown"
"53649/17","064190","138 EAST 5TH STREET","3RD FLOOR","2017-09-08T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11218","Not an Ejectment","Possession","40.649628","-73.976713","7","39","500","3122826","3052830060","Windsor Terrace"
"317215/22","15785","555 TENTH AVENUE APARTMENT 38L","38L","2023-03-29T00:00:00.000","Robert","Renzulli","Residential","MANHATTAN","10018","Not an Ejectment","Possession","40.758888","-73.996022","4","3","117","1089722","1010697501","Hudson Yards-Chelsea-Flatiron-Union Square"
"69116/18","347789","5030 BROADWAY","STORAGE","2018-09-27T00:00:00.000","Thomas","Bia","Commercial","MANHATTAN","10034","Not an Ejectment","Possession","40.868979","-73.917383","12","10","303","1064883","1022310001","Marble Hill-Inwood"
"88932/19","021088","4116 14TH AVE  TOP FLOOR",,"2023-03-03T00:00:00.000","George","Essock, Jr.","Residential","BROOKLYN","11219","Not an Ejectment","Possession","40.638032","-73.985415","12","39","232","3135751","3055940043","Borough Park"
"801180/16","320809","2070 CLINTON AVE","12J","2017-06-07T00:00:00.000","John","Villanueva","Residential","BRONX","10457","Not an Ejectment","Eviction","40.847236","-73.888101","6","15","371","2012652","2030940014","East Tremont"
"58648/18","078571","180 LINDEN BLVD","2C","2018-04-25T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11226","Not an Ejectment","Possession","40.652524","-73.951841","17","40","820","3116810","3050880012","Prospect Lefferts Gardens-Wingate"
"210907/19","110538","2155 MADISON AVENUE","12C","2023-04-11T00:00:00.000","Henry","Daley","Residential","MANHATTAN","10037","Not an Ejectment","Eviction","40.811923","-73.936127","11","9","210","1081121","1017570020","East Harlem North"
"K80601/18","092387","479 RALPH AVENUE AKA  1637-1643 PROSPECT PLACE","2FL","2018-11-27T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11233","Not an Ejectment","Possession","40.672973","-73.922186","16","41","363","3039147","3014570001","Ocean Hill"
"93491/16","059194","3111 AURELIA COURT","404","2017-04-05T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11210","Not an Ejectment","Possession","40.630017","-73.945845","14","45","774","3206443","3075770025","Flatbush"
"K60890/16","078038","645 OCEAN AVENUE","C1","2017-05-30T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11226","Not an Ejectment","Possession","40.646892","-73.960393","14","40","51001","3117619","3051240001","Flatbush"
"59588/17","202240","330 EAST 19TH STREET","6A","2018-06-13T00:00:00.000","Richard","Capuano","Residential","BROOKLYN","11226","Not an Ejectment","Possession","40.642136","-73.960738","14","40","514","3118787","3051610014","Flatbush"
"50839/19","23514","164-02 108TH AVENUE",,"2019-06-25T00:00:00.000","Edward","Guida","Residential","QUEENS","11433","Not an Ejectment","Possession","40.696973","-73.790262","12","27","258","4452194","4101720023","South Jamaica"
