"school_year","busbreakdown_id","run_type","bus_no","route_number","reason","schools_serviced","occurred_on","created_on","boro","bus_company_name","how_long_delayed","number_of_students_on_the_bus","has_contractor_notified_schools","has_contractor_notified_parents","have_you_alerted_opt","informed_on","incident_number","last_updated_on","breakdown_or_running_late","school_age_or_prek"
"2015-2016","1228968","Special Ed AM Run","21283","M654","Heavy Traffic","02655","2015-11-12T07:48:00.000","2015-11-12T07:55:00.000","Manhattan","LEESEL TRANSP CORP (B2192","15","4","Yes","Yes","Yes","2015-11-12T07:55:00.000",,"2015-11-12T07:55:31.000","Running Late","School-Age"
"2015-2016","1228969","Pre-K/EI","12","4","Heavy Traffic","S112A","2015-11-12T07:50:00.000","2015-11-12T07:55:00.000","Bronx","G.V.C., LTD.","20 MINS","8","Yes","Yes","No","2015-11-12T07:55:00.000",,"2015-11-12T07:55:33.000","Running Late","Pre-K"
"2015-2016","1228972","Pre-K/EI","12","4","Heavy Traffic","S176","2015-11-12T07:50:00.000","2015-11-12T07:56:00.000","Bronx","G.V.C., LTD.","15 MINS","2","Yes","Yes","No","2015-11-12T07:56:00.000",,"2015-11-12T07:56:09.000","Running Late","Pre-K"
"2015-2016","1228973","Pre-K/EI","116","5","Heavy Traffic","C178","2015-11-12T07:54:00.000","2015-11-12T07:56:00.000","Bronx","G.V.C., LTD.","20MIN","11","Yes","Yes","Yes","2015-11-12T07:56:00.000",,"2015-11-12T07:56:17.000","Running Late","Pre-K"
"2015-2016","1228974","General Ed AM Run","2277","Q3046","Other","30227","2015-11-12T07:53:00.000","2015-11-12T07:56:00.000","Queens","PIONEER TRANSPORTATION CO","10 mins","8","Yes","No","No","2015-11-12T07:56:00.000",,"2015-11-12T07:56:22.000","Running Late","School-Age"
"2015-2016","1228978","Special Ed AM Run","430","K707","Problem Run","16593","2015-11-12T07:55:00.000","2015-11-12T07:57:00.000","Brooklyn","Y & M TRANSIT CORP (B2192","?","0","Yes","Yes","No","2015-11-12T07:57:00.000",,"2015-11-12T07:57:34.000","Running Late","School-Age"
"2015-2016","1228979","Special Ed AM Run","1380","M633","Heavy Traffic","02622","2015-11-12T07:57:00.000","2015-11-12T07:58:00.000","Manhattan","LEESEL TRANSP CORP (B2192","20","7","Yes","Yes","No","2015-11-12T07:58:00.000",,"2015-11-12T07:58:10.000","Running Late","School-Age"
"2015-2016","1228980","Special Ed AM Run","90","W782","Heavy Traffic","75908","2015-11-12T07:57:00.000","2015-11-12T07:58:00.000","Westchester","MAR-CAN TRANSPORT CO. INC","20 mins","9","No","Yes","No","2015-11-12T07:58:00.000",,"2015-11-12T07:58:26.000","Running Late","School-Age"
"2015-2016","1228981","Special Ed AM Run","1470D","X735","Heavy Traffic","11012","2015-11-12T07:50:00.000","2015-11-12T07:58:00.000","Bronx","LITTLE LISA BUS CO. INC.","10 min","6","Yes","Yes","No","2015-11-12T07:58:00.000",,"2015-11-12T07:58:57.000","Running Late","School-Age"
"2015-2016","1228982","Special Ed AM Run","NI-3118","K115","Heavy Traffic","17382","2015-11-12T07:57:00.000","2015-11-12T07:58:00.000","Brooklyn","NEW DAWN TRANSIT, LLC (B2","30 mins","8","Yes","Yes","No","2015-11-12T07:58:00.000",,"2015-11-12T07:59:25.000","Running Late","School-Age"
"2015-2016","1228984","Special Ed AM Run","1310","M584","Heavy Traffic","02986","2015-11-12T07:58:00.000","2015-11-12T07:59:00.000","Manhattan","LEESEL TRANSP CORP (B2192","20","5","Yes","Yes","No","2015-11-12T07:59:00.000",,"2015-11-12T07:59:31.000","Running Late","School-Age"
"2017-2018","1423675","Special Ed AM Run","21504","K297","Heavy Traffic","14037,14071,14300","2018-03-23T07:30:00.000","2018-03-23T07:33:00.000","Brooklyn","ALLIED TRANSIT CORP.","16-30 Min","7","Yes","Yes","No","2018-03-23T07:33:00.000",,"1900-01-01T00:00:00.000","Running Late","School-Age"
"2017-2018","1423677","Special Ed AM Run","41902","K047","Heavy Traffic","20160,20220,20470,20485","2018-03-23T07:30:00.000","2018-03-23T07:36:00.000","Brooklyn","EMPIRE CHARTER SERVICE INC","16-30 Min","7","Yes","Yes","No","2018-03-23T07:36:00.000",,"1900-01-01T00:00:00.000","Running Late","School-Age"
"2017-2018","1423722","Special Ed AM Run","50","X506","Heavy Traffic","07013,07224,07343","2018-03-23T08:08:00.000","2018-03-23T08:11:00.000","Bronx","PIONEER TRANSPORTATION CORP","31-45 Min","3","Yes","No","No","2018-03-23T08:11:00.000",,"1900-01-01T00:00:00.000","Running Late","School-Age"
"2017-2018","1423730","Special Ed AM Run","1491","M985","Heavy Traffic","02056,02308,02551","2018-03-23T08:24:00.000","2018-03-23T08:24:00.000","Manhattan","LEESEL TRANSPORTATION CORP (B2192)","0-15 Min","2","Yes","Yes","No","2018-03-23T08:24:00.000",,"2018-03-23T08:24:51.000","Running Late","School-Age"
"2015-2016","1215068","Special Ed AM Run","1705","M152","Heavy Traffic","02158","2015-09-16T08:25:00.000","2015-09-16T08:35:00.000","Manhattan","PHILLIP BUS CORP (B2192)","30min","2","Yes","No","No","2015-09-16T08:35:00.000",,"2015-09-16T08:35:16.000","Running Late","School-Age"
"2015-2016","1215737","Special Ed AM Run","2802","Q165","Other","30145","2015-09-18T07:05:00.000","2015-09-18T07:08:00.000","Queens","ALLIED TRANSIT CORP.","20mins","5","Yes","Yes","No","2015-09-18T07:08:00.000",,"2015-09-18T07:08:11.000","Running Late","School-Age"
"2015-2016","1228985","Special Ed AM Run","GC0099","M133","Heavy Traffic","02414","2015-11-12T07:58:00.000","2015-11-12T07:59:00.000","Manhattan","G.V.C. LTD. (B2192)","25 mins","5","Yes","No","No","2015-11-12T07:59:00.000",,"2015-11-12T07:59:46.000","Running Late","School-Age"
"2015-2016","1228993","Special Ed AM Run","1337","M624","Heavy Traffic","04839","2015-11-12T08:01:00.000","2015-11-12T08:01:00.000","Manhattan","LEESEL TRANSP CORP (B2192","20","5","Yes","Yes","No","2015-11-12T08:01:00.000",,"2015-11-12T08:01:48.000","Running Late","School-Age"
"2015-2016","1228996","Pre-K/EI","9","1","Heavy Traffic","C459","2015-11-12T08:02:00.000","2015-11-12T08:02:00.000","Bronx","G.V.C., LTD.","15 MINS","6","Yes","Yes","No","2015-11-12T08:02:00.000",,"2015-11-12T08:02:45.000","Running Late","Pre-K"
"2015-2016","1228997","Special Ed AM Run","1714","M035","Heavy Traffic","03480","2015-11-12T08:00:00.000","2015-11-12T08:02:00.000","Manhattan","PHILLIP BUS CORP (B2192)","30min","1","Yes","No","No","2015-11-12T08:02:00.000",,"2015-11-12T08:02:50.000","Running Late","School-Age"
"2015-2016","1228998","Special Ed AM Run","2079","L650","Heavy Traffic","15789","2015-11-12T08:00:00.000","2015-11-12T08:02:00.000","Bronx","RELIANT TRANS, INC. (B232",,"6","Yes","No","Yes","2015-11-12T08:02:00.000",,"2015-11-12T08:02:55.000","Running Late","School-Age"
"2015-2016","1229000","Special Ed AM Run","5525D","Q343","Heavy Traffic","24009","2015-11-12T08:01:00.000","2015-11-12T08:03:00.000","Queens","LORINDA ENT. LTD.","30mins","0","Yes","Yes","No","2015-11-12T08:03:00.000",,"2015-11-12T08:03:10.000","Running Late","School-Age"
"2015-2016","1229001","General Ed AM Run","19578","M1127","Other","02706","2015-11-12T08:00:00.000","2015-11-12T08:03:00.000","Manhattan","SNT BUS INC","30 mins","0","Yes","No","No","2015-11-12T08:03:00.000",,"2015-11-12T08:03:34.000","Running Late","School-Age"
"2015-2016","1229002","Special Ed AM Run","30142","L349","Other","16455","2015-11-12T07:50:00.000","2015-11-12T08:03:00.000",,"BORO TRANSIT, INC.","20 min","0","Yes","Yes","No","2015-11-12T08:03:00.000",,"2015-11-12T08:03:47.000","Running Late","School-Age"
"2015-2016","1229003","Special Ed AM Run","823","N951","Heavy Traffic","75627","2015-11-12T08:03:00.000","2015-11-12T08:04:00.000","Nassau County","LOGAN BUS COMPANY INC.","30mins","0","Yes","Yes","No","2015-11-12T08:04:00.000",,"2015-11-12T08:04:29.000","Running Late","School-Age"
"2015-2016","1229004","Special Ed AM Run","2649","M372","Heavy Traffic","02799","2015-11-12T08:02:00.000","2015-11-12T08:04:00.000","Manhattan","RELIANT TRANS, INC. (B232",,"4","Yes","Yes","Yes","2015-11-12T08:04:00.000",,"2015-11-12T08:04:43.000","Running Late","School-Age"
"2015-2016","1229005","Special Ed AM Run","111","W644","Heavy Traffic","75407","2015-11-12T08:10:00.000","2015-11-12T08:04:00.000","Westchester","MAR-CAN TRANSPORT CO. INC","15/20MINS","5","Yes","No","No","2015-11-12T08:04:00.000",,"2015-11-12T08:06:25.000","Running Late","School-Age"
"2015-2016","1229006","Special Ed AM Run","70","K377","Mechanical Problem","20069,20865","2015-11-12T08:02:00.000","2015-11-12T08:05:00.000","Brooklyn","CAREFUL BUS","60 MIN","3","Yes","Yes","No","2015-11-12T08:05:00.000",,"2015-11-12T08:05:15.000","Running Late","School-Age"
"2015-2016","1229007","Special Ed AM Run","42","W701","Heavy Traffic","75420","2015-11-12T08:02:00.000","2015-11-12T08:05:00.000","Westchester","MAR-CAN TRANSPORT CO. INC","20 mins","5","Yes","Yes","No","2015-11-12T08:05:00.000",,"2015-11-12T08:20:52.000","Running Late","School-Age"
"2015-2016","1229008","Special Ed AM Run","6259","P580","Heavy Traffic","25802,25927","2015-11-12T08:03:00.000","2015-11-12T08:06:00.000","Queens","JOFAZ TRANSPORTATION INC.","30min","0","Yes","Yes","No","2015-11-12T08:06:00.000",,"2015-11-12T08:06:05.000","Running Late","School-Age"
"2015-2016","1229009","Special Ed AM Run","1522","Q821","Other","27314","2015-11-12T06:10:00.000","2015-11-12T08:06:00.000","Queens","FIRST STEPS TRANSP INC. (","1 HOUR","0","Yes","Yes","Yes","2015-11-12T08:06:00.000",,"2015-11-12T08:06:23.000","Running Late","School-Age"
"2015-2016","1229013","General Ed AM Run","352","X2320","Other","07006","2015-11-12T07:57:00.000","2015-11-12T08:09:00.000","Bronx","PIONEER TRANSPORTATION CO","8 minutes","20","Yes","No","No","2015-11-12T08:09:00.000",,"2015-11-12T08:09:38.000","Running Late","School-Age"
"2015-2016","1229014","Pre-K/EI","730","6","Other","C465","2015-11-12T08:08:00.000","2015-11-12T08:09:00.000","Bronx","G.V.C., LTD.","10MINUTES","6","Yes","Yes","No","2015-11-12T08:09:00.000",,"2015-11-12T08:09:58.000","Running Late","Pre-K"
"2017-2018","1423738","Special Ed AM Run","1258","M888","Won`t Start","03973","2018-03-23T09:18:00.000","2018-03-23T09:21:00.000","Manhattan","RELIANT TRANSPORTATION, INC (B2321)","16-30 Min","0","Yes","Yes","Yes","2018-03-23T09:21:00.000",,"1900-01-01T00:00:00.000","Running Late","School-Age"
"2017-2018","1423739","Pre-K/EI","12519","3004A","Other","C912","2018-03-23T06:00:00.000","2018-03-23T09:28:00.000","Brooklyn","L & M BUS CORP.","31-45 Min","0","Yes","Yes","Yes","2018-03-23T09:28:00.000",,"2018-03-23T09:32:12.000","Running Late","Pre-K"
"2015-2016","1214630","Special Ed AM Run","2590","L504","Mechanical Problem","14432","2015-09-16T05:44:00.000","2015-09-16T06:00:00.000","Bronx","RELIANT TRANS, INC. (B232",,"0","Yes","Yes","Yes","2015-09-16T06:00:00.000",,"2015-09-16T06:00:57.000","Breakdown","School-Age"
"2015-2016","1215738","Special Ed AM Run","4549","M279","Heavy Traffic","02699","2015-09-18T06:50:00.000","2015-09-18T07:08:00.000","Manhattan","RELIANT TRANS, INC. (B232","20 min","0","Yes","Yes","Yes","2015-09-18T07:08:00.000",,"2015-09-18T07:08:22.000","Running Late","School-Age"
"2015-2016","1229015","Special Ed AM Run","1143","R003","Heavy Traffic","31435","2015-11-12T08:00:00.000","2015-11-12T08:10:00.000","Staten Island","PIONEER TRANSPORTATION CO","15MINS","0","Yes","No","No","2015-11-12T08:10:00.000",,"2015-11-12T08:10:10.000","Running Late","School-Age"
"2015-2016","1229016","Special Ed AM Run","3124","M373","Heavy Traffic","02116","2015-11-12T08:09:00.000","2015-11-12T08:10:00.000","Manhattan","RELIANT TRANS, INC. (B232",,"7","Yes","Yes","Yes","2015-11-12T08:10:00.000",,"2015-11-12T08:10:16.000","Running Late","School-Age"
"2015-2016","1229017","Special Ed AM Run","115","W686","Heavy Traffic","75420","2015-11-12T08:06:00.000","2015-11-12T08:11:00.000","Westchester","MAR-CAN TRANSPORT CO. INC","20 mins","5","Yes","Yes","No","2015-11-12T08:11:00.000",,"2015-11-12T08:21:28.000","Running Late","School-Age"
"2015-2016","1229018","Special Ed AM Run","4561","M272","Mechanical Problem","02699","2015-11-12T08:09:00.000","2015-11-12T08:12:00.000","Manhattan","RELIANT TRANS, INC. (B232",,"5","Yes","Yes","Yes","2015-11-12T08:12:00.000",,"2015-11-12T08:12:00.000","Breakdown","School-Age"
"2015-2016","1229020","Pre-K/EI","2327","WOC 1","Mechanical Problem","C455","2015-11-12T08:05:00.000","2015-11-12T08:15:00.000","Brooklyn","THOMAS BUSES, INC.","25 MINS","3","Yes","Yes","Yes","2015-11-12T08:15:00.000",,"2015-11-12T08:15:00.000","Running Late","Pre-K"
"2015-2016","1229021","Special Ed AM Run","74104","N866","Heavy Traffic","75907","2015-11-12T08:08:00.000","2015-11-12T08:15:00.000","Nassau County","VAN TRANS LLC (B2192)","20 MINUTES","5","Yes","Yes","Yes","2015-11-12T08:15:00.000",,"2015-11-12T08:15:35.000","Running Late","School-Age"
"2015-2016","1229023","Special Ed AM Run","2601","L524","Heavy Traffic","17246","2015-11-12T08:14:00.000","2015-11-12T08:17:00.000","Bronx","RELIANT TRANS, INC. (B232",,"6","Yes","No","Yes","2015-11-12T08:17:00.000",,"2015-11-12T08:17:08.000","Running Late","School-Age"
"2015-2016","1229024","Special Ed AM Run","132","K527","Problem Run","17316,17862,17249","2015-11-12T08:00:00.000","2015-11-12T08:17:00.000","Brooklyn","Y & M TRANSIT CORP (B2192","20 mins","7","No","No","No","2015-11-12T08:17:00.000",,"2015-11-12T08:17:19.000","Running Late","School-Age"
"2015-2016","1229026","General Ed AM Run","846","R1155","Heavy Traffic","31048","2015-11-12T08:14:00.000","2015-11-12T08:18:00.000","Staten Island","PIONEER TRANSPORTATION CO","10 MINS","0","Yes","No","No","2015-11-12T08:18:00.000",,"2015-11-12T08:18:45.000","Running Late","School-Age"
"2015-2016","1229027","General Ed AM Run","414","R1153","Heavy Traffic","31007","2015-11-12T08:10:00.000","2015-11-12T08:21:00.000","Staten Island","PIONEER TRANSPORTATION CO","10MINS","0","Yes","No","No","2015-11-12T08:21:00.000",,"2015-11-12T08:21:12.000","Running Late","School-Age"
"2015-2016","1229028","Special Ed AM Run","186","W655","Heavy Traffic","75912","2015-11-12T08:24:00.000","2015-11-12T08:21:00.000","Westchester","MAR-CAN TRANSPORT CO. INC","10/15MINS","5","Yes","No","No","2015-11-12T08:21:00.000",,"2015-11-12T08:23:10.000","Running Late","School-Age"
"2015-2016","1229034","Special Ed AM Run","113","W994","Heavy Traffic","75955","2015-11-12T08:24:00.000","2015-11-12T08:34:00.000","Westchester","MAR-CAN TRANSPORT CO. INC","15 mins","2","Yes","Yes","No","2015-11-12T08:34:00.000",,"2015-11-12T08:34:31.000","Running Late","School-Age"
"2015-2016","1229036","Special Ed AM Run","88","M589","Heavy Traffic","02007,02515,02568,02151","2015-11-12T08:28:00.000","2015-11-12T08:37:00.000","Manhattan","CAREFUL BUS","60 MIN","5","Yes","No","No","2015-11-12T08:37:00.000",,"2015-11-12T08:37:28.000","Running Late","School-Age"
"2015-2016","1229037","Pre-K/EI","GV0365","3","Heavy Traffic","C579","2015-11-12T08:37:00.000","2015-11-12T08:37:00.000","Bronx","G.V.C., LTD.","10MIN","0","Yes","Yes","No","2015-11-12T08:37:00.000",,"2015-11-12T08:37:51.000","Running Late","Pre-K"
"2015-2016","1229038","Special Ed AM Run","1188","M252","Heavy Traffic","04657","2015-11-12T08:38:00.000","2015-11-12T08:40:00.000","Manhattan","RELIANT TRANS, INC. (B232",,"4","Yes","Yes","Yes","2015-11-12T08:40:00.000",,"2015-11-12T08:40:13.000","Running Late","School-Age"
"2015-2016","1229040","Special Ed Field Trip","5790D","Q675","Won`t Start","26481","2015-11-12T08:40:00.000","2015-11-12T08:42:00.000","Queens","LITTLE RICHIE BUS SERVICE",,"0","Yes","Yes","No","2015-11-12T08:42:00.000",,"2015-11-12T08:42:20.000","Breakdown","School-Age"
"2015-2016","1229041","Pre-K/EI","GV","7","Heavy Traffic","C579","2015-11-12T08:40:00.000","2015-11-12T08:43:00.000","Bronx","G.V.C., LTD.","10min","0","Yes","Yes","No","2015-11-12T08:43:00.000",,"2015-11-12T08:43:20.000","Running Late","Pre-K"
"2017-2018","1423741","Special Ed AM Run","1122","P156","Mechanical Problem","25802","2018-03-23T09:18:00.000","2018-03-23T09:35:00.000",,"PRIDE TRANSPORTATION (SCH AGE)",,"0","Yes","Yes","Yes","2018-03-23T09:35:00.000",,"1900-01-01T00:00:00.000","Breakdown","School-Age"
"2017-2018","1423745","Special Ed AM Run","7145","Q156","Heavy Traffic","24015","2018-03-23T07:23:00.000","2018-03-23T10:27:00.000","Queens","PRIDE TRANSPORTATION (SCH AGE)","46-60 Min","3","Yes","Yes","Yes","2018-03-23T10:27:00.000",,"1900-01-01T00:00:00.000","Running Late","School-Age"
"2015-2016","1229044","Special Ed AM Run","68","W615","Heavy Traffic","75404","2015-11-12T08:48:00.000","2015-11-12T08:48:00.000","Westchester","MAR-CAN TRANSPORT CO. INC","15 mins","3","Yes","No","No","2015-11-12T08:48:00.000",,"2015-11-12T08:48:46.000","Running Late","School-Age"
"2015-2016","1229045","Special Ed AM Run","72","M948","Delayed by School","02104,02347","2015-11-12T08:45:00.000","2015-11-12T08:52:00.000","Manhattan","CAREFUL BUS","60 MIN","4","Yes","No","No","2015-11-12T08:52:00.000",,"2015-11-12T08:52:54.000","Running Late","School-Age"
"2015-2016","1229046","Pre-K/EI","136","2A","Heavy Traffic","C329","2015-11-12T20:50:00.000","2015-11-12T08:55:00.000","Bronx","G.V.C., LTD.","20","1","Yes","Yes","No","2015-11-12T08:55:00.000",,"2015-11-12T08:55:35.000","Running Late","Pre-K"
"2015-2016","1229048","Special Ed AM Run","NK 2097","W836","Heavy Traffic","75944","2015-11-12T09:00:00.000","2015-11-12T09:05:00.000","Westchester","MONTAUK STUDENT TRANS, IN","15 mins","1","Yes","Yes","No","2015-11-12T09:05:00.000",,"2015-11-12T09:05:32.000","Running Late","School-Age"
"2015-2016","1229049","Special Ed Field Trip","31377","K445","Mechanical Problem","23150","2015-11-12T09:00:00.000","2015-11-12T09:15:00.000","Brooklyn","BORO TRANSIT, INC.","30 min","0","Yes","Yes","No","2015-11-12T09:15:00.000",,"2015-11-12T09:15:30.000","Running Late","School-Age"
"2015-2016","1229050","Pre-K/EI","9007","3104BB","Heavy Traffic","C177","2015-11-12T09:00:00.000","2015-11-12T09:28:00.000","Brooklyn","L & M BUS CORP.","15 mins","0","Yes","No","Yes","2015-11-12T09:28:00.000",,"2015-11-12T09:28:15.000","Running Late","Pre-K"
"2015-2016","1229051","General Ed Field Trip","9046","X2365","Heavy Traffic","07018","2015-11-12T09:23:00.000","2015-11-12T09:29:00.000","Bronx","PIONEER TRANSPORTATION CO","8 minutes","0","Yes","No","No","2015-11-12T09:29:00.000",,"2015-11-12T09:29:00.000","Running Late","School-Age"
"2015-2016","1229052","General Ed Field Trip","1214","Q2504","Heavy Traffic","25765","2015-11-12T09:15:00.000","2015-11-12T09:30:00.000","Queens","LORISSA BUS SERVICE INC.","25min","0","Yes","No","Yes","2015-11-12T09:30:00.000",,"2015-11-12T09:30:19.000","Running Late","School-Age"
"2015-2016","1229053","General Ed AM Run","2011","K1434","Mechanical Problem","14414","2015-11-12T09:25:00.000","2015-11-12T09:30:00.000","Brooklyn","ALLIED TRANSIT CORP.",,"0","Yes","Yes","No","2015-11-12T09:30:00.000",,"2015-11-12T09:30:41.000","Breakdown","School-Age"
"2015-2016","1229054","Pre-K/EI","3064","B0412B","Heavy Traffic","C009","2015-11-12T09:15:00.000","2015-11-12T09:35:00.000","Queens","I & Y TRANSIT CORP","20 mins","1","Yes","No","Yes","2015-11-12T09:35:00.000",,"2015-11-12T09:35:05.000","Running Late","Pre-K"
"2015-2016","1229055","General Ed Field Trip","1214","Q2504","Flat Tire","25765,25285","2015-11-12T09:00:00.000","2015-11-12T09:48:00.000","Queens","LORISSA BUS SERVICE INC.","25min","0","Yes","No","Yes","2015-11-12T09:48:00.000",,"2015-11-12T09:48:05.000","Running Late","School-Age"
"2015-2016","1229056","General Ed PM Run","2480","Q9768","Late return from Field Trip","27727","2015-11-12T12:59:00.000","2015-11-12T13:16:00.000","Queens","GRANDPA`S BUS CO., INC.","1hr","0","Yes","No","Yes","2015-11-12T13:16:00.000",,"2015-11-12T15:24:46.000","Running Late","School-Age"
"2015-2016","1229057","Special Ed PM Run","9982","M053","Other","06173","2015-11-12T13:22:00.000","2015-11-12T13:23:00.000","Manhattan","HAPPY CHILD TRANS LLC (B2","60 min","2","Yes","Yes","No","2015-11-12T13:23:00.000",,"2015-11-12T13:23:56.000","Running Late","School-Age"
"2015-2016","1229061","Special Ed AM Run","17240","X404","Heavy Traffic","07458","2015-11-12T01:40:00.000","2015-11-12T13:43:00.000","Bronx","PRIDE TRANSPORTATION (SCH","20min","0","Yes","Yes","Yes","2015-11-12T13:43:00.000",,"2015-11-12T13:43:03.000","Running Late","School-Age"
"2015-2016","1229063","Special Ed PM Run","610","P870","Other","30145","2015-11-12T13:42:00.000","2015-11-12T13:43:00.000","Queens","HAPPY CHILD TRANS LLC (B2",,"0","Yes","No","No","2015-11-12T13:43:00.000",,"2015-11-12T13:43:41.000","Running Late","School-Age"
"2015-2016","1229064","General Ed PM Run","1267","Q9543","Late return from Field Trip","25120","2015-11-12T13:37:00.000","2015-11-12T13:44:00.000","Queens","LORISSA BUS SERVICE INC.","1 HR","50","Yes","No","No","2015-11-12T13:44:00.000",,"2015-11-12T13:44:46.000","Running Late","School-Age"
"2015-2016","1229066","Pre-K/EI","9302","12","Other","C073","2015-11-12T13:35:00.000","2015-11-12T13:48:00.000","Bronx","G.V.C., LTD.","25 MINS","0","Yes","Yes","No","2015-11-12T13:48:00.000",,"2015-11-12T14:29:05.000","Running Late","Pre-K"
"2015-2016","1229067","Pre-K/EI","9302","12","Other","C814","2015-11-12T13:30:00.000","2015-11-12T13:48:00.000","Bronx","G.V.C., LTD.","25 MINS","0","Yes","Yes","No","2015-11-12T13:48:00.000",,"2015-11-12T14:29:21.000","Running Late","Pre-K"
"2015-2016","1229075","General Ed PM Run","1613","Q9897","Late return from Field Trip","28086","2015-11-12T13:59:00.000","2015-11-12T14:02:00.000","Queens","JOFAZ TRANSPORTATION INC.","30 min","20","Yes","No","No","2015-11-12T14:02:00.000",,"2015-11-12T14:03:16.000","Running Late","School-Age"
"2015-2016","1229078","General Ed PM Run","1679","K9807","Late return from Field Trip","13874,18486,","2015-11-12T14:01:00.000","2015-11-12T14:04:00.000","Brooklyn","JOFAZ TRANSPORTATION INC.","????????","0","Yes","Yes","No","2015-11-12T14:04:00.000",,"2015-11-12T14:04:17.000","Running Late","School-Age"
"2015-2016","1229079","General Ed PM Run","1637","K9364","Late return from Field Trip","13287,13874","2015-11-12T14:03:00.000","2015-11-12T14:06:00.000","Brooklyn","JOFAZ TRANSPORTATION INC.","???????","0","Yes","Yes","No","2015-11-12T14:06:00.000",,"2015-11-12T14:06:26.000","Running Late","School-Age"
"2015-2016","1226394","Special Ed AM Run","5681D","Q622","Heavy Traffic","25029","2015-10-30T06:25:00.000","2015-10-30T07:33:00.000","Queens","LITTLE RICHIE BUS SERVICE","40 MIN","0","Yes","Yes","No","2015-10-30T07:33:00.000",,"2015-10-30T07:33:34.000","Running Late","School-Age"
"2015-2016","1229080","Special Ed PM Run","NI3123","K011","Mechanical Problem","22490","2015-11-12T14:00:00.000","2015-11-12T14:08:00.000","Brooklyn","NEW DAWN TRANSIT, LLC (B2",,"0","Yes","Yes","No","2015-11-12T14:08:00.000",,"2015-11-12T15:34:53.000","Breakdown","School-Age"
"2015-2016","1229081","Special Ed PM Run","1411","M235","Delayed by School","04146","2015-11-12T14:03:00.000","2015-11-12T14:09:00.000","Manhattan","LEESEL TRANSP CORP (B2192","15 MINS","0","Yes","No","No","2015-11-12T14:09:00.000",,"2015-11-12T14:09:56.000","Running Late","School-Age"
"2015-2016","1229082","Special Ed PM Run","2650","M120","Mechanical Problem","02734","2015-11-12T14:08:00.000","2015-11-12T14:10:00.000","Manhattan","RELIANT TRANS, INC. (B232",,"0","Yes","Yes","Yes","2015-11-12T14:10:00.000",,"2015-11-12T17:28:10.000","Breakdown","School-Age"
"2015-2016","1229084","Special Ed PM Run","4529","K602","Other","17005","2015-11-12T14:12:00.000","2015-11-12T14:15:00.000","Brooklyn","RELIANT TRANS, INC. (B232","25 min","0","Yes","Yes","Yes","2015-11-12T14:15:00.000",,"2015-11-12T14:15:03.000","Running Late","School-Age"
"2015-2016","1229086","Special Ed PM Run","5802D","X930","Heavy Traffic","11189","2015-11-12T14:15:00.000","2015-11-12T14:17:00.000","Bronx","LITTLE RICHIE BUS SERVICE","15-20","0","No","Yes","No","2015-11-12T14:17:00.000",,"2015-11-12T14:19:29.000","Running Late","School-Age"
"2015-2016","1229087","General Ed PM Run","2204","X9044","Heavy Traffic","10420","2015-11-12T14:12:00.000","2015-11-12T14:18:00.000","Bronx","GRANDPA`S BUS CO., INC.","15-20","0","Yes","Yes","No","2015-11-12T14:18:00.000",,"2015-11-12T14:18:59.000","Running Late","School-Age"
"2015-2016","1229089","Special Ed PM Run","10504","X258","Other","07049","2015-11-12T14:00:00.000","2015-11-12T14:20:00.000","Bronx","BORO TRANSIT, INC.","30-35 MIN","0","Yes","No","Yes","2015-11-12T14:20:00.000",,"2015-11-12T14:20:47.000","Running Late","School-Age"
"2015-2016","1229090","Special Ed PM Run","1459","M717","Heavy Traffic","02490","2015-11-12T14:15:00.000","2015-11-12T14:22:00.000","Manhattan","LEESEL TRANSP CORP (B2192","20 min","0","Yes","No","No","2015-11-12T14:22:00.000",,"2015-11-12T14:22:10.000","Running Late","School-Age"
"2015-2016","1229092","General Ed PM Run","21792","M9084","Accident","02751","2015-11-12T14:20:00.000","2015-11-12T14:27:00.000","Manhattan","SNT BUS INC","1 HOUR","0","Yes","No","Yes","2015-11-12T14:27:00.000","2787899","2015-11-12T14:33:58.000","Running Late","School-Age"
"2015-2016","1229093","Special Ed AM Run","10256","X204","Mechanical Problem","12486","2015-11-12T14:10:00.000","2015-11-12T14:29:00.000","Bronx","CONSOLIDATED BUS TRANS. I","25-30 MINS","0","Yes","Yes","Yes","2015-11-12T14:29:00.000",,"2015-11-12T14:29:22.000","Running Late","School-Age"
"2015-2016","1229094","Special Ed PM Run","834","R835","Delayed by School","31048","2015-11-12T14:28:00.000","2015-11-12T14:31:00.000","Staten Island","ALL AMERICAN SCHOOL BUS C","20 mins","3","No","No","No","2015-11-12T14:31:00.000",,"2015-11-12T14:31:03.000","Running Late","School-Age"
"2015-2016","1229095","General Ed PM Run","17323","Q9647","Heavy Traffic","25765","2015-11-12T14:35:00.000","2015-11-12T14:36:00.000","Queens","QUALITY TRANSPORTATION CO","15 min","0","Yes","No","No","2015-11-12T14:36:00.000",,"2015-11-12T14:36:05.000","Running Late","School-Age"
"2015-2016","1229096","Special Ed PM Run","1398","M585","Delayed by School","02419","2015-11-12T14:30:00.000","2015-11-12T14:36:00.000","Manhattan","LEESEL TRANSP CORP (B2192","20 min","0","Yes","No","No","2015-11-12T14:36:00.000",,"2015-11-12T14:36:14.000","Running Late","School-Age"
