"job_number","filing_type_name","filing_number","filing_status_name","permit_number","filing_date","permit_issued_date","permit_expiration_date","laasign_off_date","work_type_name","location_bin","location_house_no","location_street_name","location_borough_name","proposed_work_summary","building_type_name","inspection_type_name","inspection_date","latitude","longitude","zip_code","community_board","council_district","census_tract","nta"
"X-08044118","New Job Filing","EWN","Expired",,"2022-11-22T00:00:00.000",,"2022-11-25T00:00:00.000",,,"2049139","1110","LYDIG AVENUE","BRONX","CON ED TURN OFF GAS DUE TO LEAK AT EXTENSION SERVICE. REPLACE 4 feet 2 inches AND 1 feet 1 1/2 inches GAS PIPING AT EXTENSION SERVICE. ALSO REPLACING GAS COCK AND FLEX AT EXISTING RANGES LEFT SIDE APT# 1B THRU 8B = 8 APTS. RIGHT SIDE APTS 1 THRU 7 = 7 APTS. PERFORMED INTEGRITY TEST TO 15 EXISTING RISERS. NO FIRE STOPS WILL BE COMPROMISED & NO PIPING IN PUBLIC HALLWAYS.",,,,"40.854856","-73.856613","10461","11","13","248","Pelham Parkway"
"B-08044474","New Job Filing","EWN","Expired",,"2022-11-22T00:00:00.000",,"2022-11-25T00:00:00.000",,,"3078620","218","WEIRFIELD STREET","BROOKLYN","GAS LEAK & SHUTDOWN. TEST EXISTING GAS LINE FOR HW HEATER & RESIDENTIAL COOKING. MAKE NECESSARY REPAIRS. HEAT IS OIL. FILING IN CONJUNCTION W/ EWN-B-08041516. ANNOT FILE LAA DUE TO TECHINCAL ISSUES. LAA DIVISION HAS BEEN NOTIFIED",,,,"40.691385","-73.910824","11221","4","37","413","Bushwick South"
"M00797799","New Job Filing","I1","Signed off","M00797799-I1-LA","2022-08-23T00:00:00.000","2022-08-23T00:00:00.000","2023-05-01T00:00:00.000","2022-11-26T00:00:00.000","Water Plumbing Work","1015380","35","WEST   16 STREET","MANHATTAN","IN APT#7 ON THE 4TH FLOOR. IN KITCHEN REPLACE KITCHEN SINK AND DISHWASHER ON EXISTING ROUGHING.  REMOVE GAS STOVE AND CAP AND REMOVE GAS LINE IN APT. SHUT GAS METER IN BASEMENT. IN BATHROOM REPLACE SHOWER BODY ON EXISTING ROUGHING.  ELECTRIC STOVE FILED UNDER ELECTRICAL PERMIT#M00795995 FIRESTOPS WILL NOT BE COMPROMISED.","Other","Pass-Final","2022-11-25T00:00:00.000","40.737871","-73.993912","10011","5","3","54","Hudson Yards-Chelsea-Flatiron-Union Square"
"Q08035350","New Job Filing","I1","Signed off","Q08035350-I1-LA","2022-11-06T00:00:00.000","2022-11-06T00:00:00.000","2022-12-31T00:00:00.000","2022-11-26T00:00:00.000","Water Plumbing Work","4045576","89-03","57 AVENUE","QUEENS","TO INSTALL A 3 INCH RPZ PRIMARY DEVICE ON THE COLD WEATER MAIN AFTER THE WATER METER ON THE FIRST FLOOR AND CONNECT THE RELIEF VALVE DISCHARGE TO THE EXISTING MOP SINK AS PER DEP APPROVED PLANS AND APPROVAL # 22093357. THE INSTALLATION WILL CONFORM TO SECTION PC 608.1. APPROX. 6 feet OF 3 inches NEW WATER PIPING WILL BE USED. WILKINS 3 inches # 375AST LEAD FREE DEVICE.","Other","Pass-Final","2022-11-25T00:00:00.000","40.734535","-73.872937","11373","4","25","683","Elmhurst"
"Q-00708636","New Job Filing","EWN","Pre-Filing",,,,,,,"4208956","88-14","161 STREET","QUEENS","Gas shut off by utility company. Perform gas test to have gas service restored for  apartments.",,,,"40.707743","-73.80081","11432","12","24","44602","Jamaica"
"M00295403","New Job Filing","I1","Signed off","M00295403-I1-LA","2020-01-13T00:00:00.000","2020-01-13T00:00:00.000","2022-01-23T00:00:00.000","2022-11-26T00:00:00.000","Gas Plumbing Work","1085457","2611","FREDERICK DOUGLASS BOULEVARD","MANHATTAN","IN APT# 4C ON THE 4TH FLOOR IN THE KITCHEN, RELOCATE SINK, DISHWASHER, FRIDGE AND GAS STOVE TO NEW LOCATION. IN THE POWDER ROOM,  REPLACE TOILET AND LAV ON EXISTING ROUGHING. USE APPROX 4 FT OF 2 inches NO HUB PIPE, 2 feet OF 1-1/4 inches AND 25 FT OF 3/4 inches BLACK SCHEDULE 40 PIPE, AND 24 FT OF 1/2 inches COPPER TYPE L PIPE. IN CELLAR INSTALL ADDITIONAL SECONDARY SOV AND TEST TEE AT BASE OF GAS RISER C. FIRESTOPS WILL NOT BE COMPROMISED.","Other","Pass-Final","2022-11-25T00:00:00.000","40.819097","-73.944665","10030","10","9","22102","Central Harlem North-Polo Grounds"
"M08045357","New Job Filing","I1","Permitted","M08045357-I1-LA","2022-11-25T00:00:00.000","2022-11-25T00:00:00.000","2022-12-31T00:00:00.000",,"Gas Plumbing Work","1030374","212","WEST   71 STREET","MANHATTAN","DIRECT REPLACEMENT OF THE EXISTING GAS FIRED BOILER IN CELLAR WITH (1) NEW GAS FIRED BOILER. BOILER INSTALLED WEIL MCLAIN EGH-95 (360,000 BTU feetS) CONNECTED AND VENTED TO EXISTING CHIMNEY. METER IS EXISTING. ALL WORK DONE DOWNSTREAM FROM APPLIANCE VALVE. NO GAS TEST REQUIRED. NO GAS AUTHORIZATION REQUIRED. NO CHANGE IN USE, EGRESS, OR OCCUPANCY. FIRE STOPPING WILL NOT BE COMPROMISED. GAS USAGE HEAT.","Other",,,"40.778237","-73.982828","10023","7","6","159","Lincoln Square"
"Q08045350","New Job Filing","I1","Permitted","Q08045350-I1-LA","2022-11-25T00:00:00.000","2022-11-25T00:00:00.000","2023-01-01T00:00:00.000",,"Gas Plumbing Work","4259554","114-49","148 STREET","QUEENS","WORK BEING PERFORMED FOR HPD, REPLACE DEFECTIVE HOT WATER HEATER WITH A NEW 50 GALLON HOT WATER HEATER IN CELLAR. VENT THROUGH EXISTING CHIMNEY IN GOOD CONDITION. GAS IS ON. METER EXISTING. RISER EXISTING. NO GAS AUTHORIZATION REQUIRED.","1 Family",,,"40.684998","-73.795037","11436","12","28","190","Baisley Park"
"M-08044514","New Job Filing","EWN","Expired",,"2022-11-22T00:00:00.000",,"2022-11-25T00:00:00.000",,,"1025422","357","WEST   55 STREET","MANHATTAN","ConEd Turned off Gas Supply for a Gas Leak in the Cellar. Meter for Cooking, Laundry and Boiler Pilot. LAA to be filed promptly once scope of work is determined.",,,,"40.766084","-73.985379","10019","4","3","139","Clinton"
"M00780358","New Job Filing","I1","Signed off","M00780358-I1-LA","2022-07-28T00:00:00.000","2022-07-28T00:00:00.000","2022-11-08T00:00:00.000","2022-11-26T00:00:00.000","Water Plumbing Work","1091575","30","EAST   29 STREET","MANHATTAN","IN APARTMENT 11B ON 11TH FLOOR;  DIRECT REPLACEMENT OF WC ON EXISTING ROUGH.  RELOCATE LAVATORY, SHOWER & SHOWER BODY USING APPROX 6 feet OF 2 inches NO HUB WASTE AND VENT PIPING. REPLACE SHUT-OFF VALVES AND WATER PIPING FOR WC, LAVATORY & SHOWER BODY USING APPROX 30 feet OF 1/2 inches COPPER PIPING.","Other","Pass-Final","2022-11-25T00:00:00.000","40.744485","-73.984926","10016","5","2","74","Midtown-Midtown South"
"Q08031635","New Job Filing","I1","Signed off","Q08031635-I1-LA","2022-11-22T00:00:00.000","2022-11-22T00:00:00.000","2022-12-31T00:00:00.000","2022-11-26T00:00:00.000","Water Plumbing Work","4222698","202-05","JAMAICA AVENUE","QUEENS","IN CELLAR CAP AND REMOVE OIL FIRED WATER HEATER & INSTALL 1 TURBOMAX 109 DOMESTIC STORAGE TANK WITH APPROXIMATLY 15 feet OF 1-1/2 inches COPPER PIPING FOR THE HOT AND COLD WATER OFF OF EXISTING OIL FIRED BOILER FILED UNDER APPLICATION #410021006. FIRESTOPS WILL NOT BE DISTURBED.","Other","Pass-Final","2022-11-25T00:00:00.000","40.713505","-73.757002","11423","12","23","484","Hollis"
"X00771999","PAA","P1","Approved",,"2022-11-25T00:00:00.000",,,,"Gas Plumbing Work","2005233","1022","PROSPECT AVENUE","BRONX","FILLING LAA REPLACE/REGISTER 1 BL & 1 HWH LOCATED AT BASEMENT, VENTED THRU ADEQ. SIZED EXISTING CHIMNEY. ALSO TO REMOVE AND CAP A 3PCS BATHROOM  (1TOILET, 1 LAVATORY & 1 BATHTUB) A RESIDENTIAL SINK AND 1 GAS STOVE ALL LOCATED AT THE BASEMENT TO RESSOLVE VIOLATION #39011105N. NO FIRE STOPS COMPROMISED.","2 Family",,,"40.824345","-73.899669","10459","2","17","131","Longwood"
"M00779787","New Job Filing","I1","Signed off","M00779787-I1-LA","2022-08-10T00:00:00.000","2022-08-10T00:00:00.000","2023-03-31T00:00:00.000","2022-11-26T00:00:00.000","Water Plumbing Work","1039205","100","UNITED NATIONS PLAZA","MANHATTAN","IN APT# 22G ON THE 22ND FLOOR, REPLACE TOILET & LAV IN THE SAME LOCATIONS ON EXISTING ROUGHING AND CONVERT TUB TO SHOWER W/ NEW SHOWER BODY (3- VOLUME CONTROLS, 3-BODY SPRAYS,1-HAND SPRAY, 1-SHOWER HEAD). ALSO REPLACE HOT & COLD BRANCH LINES W/ NEW SHUT OFF VALVES USING APPROX 2 FT OF 2 inches NO HUB PIPE, 10 FT OF 3/4 inches COPPER PIPE AND 30 FT OF 1/2 inches COPPER PIPE. FIRESTOPS WILL NOT BE COMPROMISED.","Other","Pass-Final","2022-11-25T00:00:00.000","40.753164","-73.968325","10017","6","4","90","Turtle Bay-East Midtown"
"B08004734","New Job Filing","I1","Signed off","B08004734-I1-LA","2022-09-16T00:00:00.000","2022-09-16T00:00:00.000","2022-12-31T00:00:00.000","2022-11-26T00:00:00.000","Gas Plumbing Work","3043654","1084","LAFAYETTE AVENUE","BROOKLYN","SUPERSEDE ARA#300971517 - LETTER ATTACHED (OIL TO GAS). IN CELLAR, REPLACE EXISTING GAS BOILER WITH (1) NEW GAS BOILER & REGISTER/REPLACE (1) GAS HWH VENTED THRU EXISTING CHIMNEY IN GOOD CONDITION. REPLACE APPROX 60 feet X 1-1/2 inches GAS PIPE TO BLR AREA & 10 feet X 3/4 inches GAS PIPE TO HWH & 10 feet X 1 inches GAS PIPE TO BOILER. TEST GAS LINES FROM MTR IN CEL TO APPLIANCES (BL & HWH IN CEL) NO GAS PIPING IN ANY PUBLIC HALLWAYS. FIRESTOPS WILL NOT BE COMPROMISED. (INSTALLING SMALLER BL SINCE EXIST BL WAS OVERSIZED)","Other","Pass-Final","2022-11-25T00:00:00.000","40.692457","-73.928831","11221","3","36","387","Stuyvesant Heights"
"B08036813","New Job Filing","I1","Intent to Revoke","B08036813-I1-LA","2022-11-09T00:00:00.000","2022-11-09T00:00:00.000","2023-05-09T00:00:00.000",,"Gas Plumbing Work","3070521","190","MORGAN AVENUE","BROOKLYN","LAA BEING FILED TO CAP AND REMOVE HOT WATER HEATER IN THE FIRST FLOOR . GAS USAGE FOR HVAC, HEAT AND HWH. GAS TEST GAS FINISH REQUIRED.","Other",,,"40.71049","-73.933508","11237","1","34","449","East Williamsburg"
"Q08027507","New Job Filing","I1","Revoked","Q08027507-I1-LA","2022-10-25T00:00:00.000","2022-10-25T00:00:00.000","2023-02-06T00:00:00.000","2022-11-04T00:00:00.000","Water Plumbing Work","4202954","107-57","105 STREET","QUEENS","CELLAR--, REMOVE AND CAP ILLEGAL BATHROOM  PLUMBING FIXTURES  1- WATER CLOSET  1-WASH BASIN AND SHOWER CELLAR- CAP REMOVE KITCHEN  SINK","1 Family","Pass-Final","2022-11-03T00:00:00.000","40.680558","-73.83524","11417","10","32","94","South Ozone Park"
"M00615675","New Job Filing","I1","Permitted","M00615675-I1-LA","2022-10-14T00:00:00.000","2022-10-14T00:00:00.000","2023-08-09T00:00:00.000",,"Water Plumbing Work","1040760","26","EAST   60 STREET","MANHATTAN","IN CELLAR, CAP AND REMOVE NON RESIDENTIAL SINK. ON FIRST FLOOR REPLACE NON RESIDENTIAL HAND SINK WITH A 3 COMP SINK ON EXIST W/S ROUGH.CAP AND REMOVE GAS PIPING TO  3 PC OF COOKING EQUIPMENT ON FIRST FLOOR. REMOVE APPROX 2O FT OF 1-1/4 BLACK PIPE IN CELLAR BACK TO EXISTING METER. CON ED TO BE NOTIFIED TO LOCK THE GAS METER.","Other",,,"40.764069","-73.97063","10022","8","4","11401","Upper East Side-Carnegie Hill"
"B00761790","New Job Filing","I1","Signed off","B00761790-I1-LA","2022-06-21T00:00:00.000","2022-06-21T00:00:00.000","2023-03-22T00:00:00.000","2022-11-26T00:00:00.000","Water Plumbing Work","3029651","225","EASTERN PARKWAY","BROOKLYN","In 4th floow apartment #4A kitchen, iinstall kitchen sink and a dish washer over existing rough in. provide new water line for refrigerator (water line is not concealed).","Other","Pass-Final","2022-11-25T00:00:00.000","40.671335","-73.960977","11238","8","35","217","Crown Heights North"
"M00770957","New Job Filing","I1","Signed off","M00770957-I1-LA","2022-07-07T00:00:00.000","2022-07-07T00:00:00.000","2023-07-24T00:00:00.000","2022-11-26T00:00:00.000","Water Plumbing Work","1083420","475","FDR DRIVE","MANHATTAN","REPLACE ON EXISTING ROUGHING (1) TOILET & (1) LAV. REPLACE (1) TUB W/ SHOWER & RUN APPROX 2 feet OF 2 inches DRAIN PIPE. REPLACE SHOWERBODY. REPLACE APPROX 3 feet OF 1/2 inches COPPER PIPE & REPLACE H/C SHUT OFF VALVES. ALL WORK DONE IN APT #907 ON THE 9TH FL.","Other","Pass-Final","2022-11-25T00:00:00.000","40.713718","-73.97735","10002","3","1","1001","Lower East Side"
"M08027948","New Job Filing","I1","Permitted","M08027948-I1-LA","2022-11-25T00:00:00.000","2022-11-25T00:00:00.000","2022-12-31T00:00:00.000",,"Gas Plumbing Work","1046983","21","EAST   90 STREET","MANHATTAN","GAS LOCKED BY UTILITY. IN THE CELLAR REPLACE METER BAR FOR LAUNDRY & BOILER PILOTS WITH CLASS 250 AND INSTALL 1 inches LOCKABLE VALVE. REPLACE APPROX 80 FT OF 1-1/4 inches & 80 FT OF 3/4 inches GAS PIPING FROM THE METER TO TWO LAUNDRY ROOM DRYERS & TWO BOILER PILOTS. REPLACE APPLIANCE VALVES FOR 2 DRYES & 2 BL PILOTS. PERFORM GAS TEST FROM METER TO APPLIANCES TO OBTAIN GAS AUTH FOR DRYERS & BL PILOT. FIRESTOPS WILL BE RESTORED.","Other",,,"40.783698","-73.957607","10128","8","4","15002","Upper East Side-Carnegie Hill"
"X08045290","New Job Filing","I1","Permitted","X08045290-I1-LA","2022-11-25T00:00:00.000","2022-11-25T00:00:00.000","2023-07-22T00:00:00.000",,"Gas Plumbing Work","2080873","256","REVERE AVENUE","BRONX","DUE TO LEAK & GAS SHUTDOWN OF (1) EXISTING METER ONLY. LEAK ON CON ED SERVICE LINE AT VALVE. REPLACE LEAKING 1 inches L/W VALVE ON SERVICE LINE. TEST EXISTING GAS LINE FOR EXISTING 1-FURNACE AND 1-HW HEATER IN BASEMENT AND 1-STOVE ON THE 1ST FL. RISER IN BASEMENT TO  FLOOR 1. REPLACE 1/2 VALVE ON WATER HEATER WITH 3/4 VALVE. REPLACE 3/4 VALVE FOR COOKING. VENTING TO EXISTING CHIMNEY IN GOOD WORKING CONDITION. FIRESTOPS WILL NOT BE COMPROMISED. OBTAIN GAS AUTHORIZATION TO TURN ON GAS.","1 Family",,,"40.81705","-73.81729","10465","10","13","132","Schuylerville-Throgs Neck-Edgewater Park"
"Q08039381","New Job Filing","I1","Signed off","Q08039381-I1-LA","2022-11-14T00:00:00.000","2022-11-14T00:00:00.000","2022-12-31T00:00:00.000","2022-11-26T00:00:00.000","Water Plumbing Work","4044891","37-10","114 STREET","QUEENS","IN THE CELLAR WE WILL INSTALL REPLACEMENT 10 inches HOUSE TRAP & REPLACE APPROX 2 feet OF 10 inches PIPE & NECESSARY FITTINGS AS WELL AS APPROX 8 FEET OF 5 inches AND 8 FEET OF 4 inches NO HUB WITH ASSOCIATED FITTINGS. FIRESTOPS WILL NOT BE COMPROMISED.","Other","Pass-Final","2022-11-25T00:00:00.000","40.754777","-73.85375","11368","3","21","399","Corona"
"M07998682","New Job Filing","I1","Signed off","M07998682-I1-LA","2022-09-06T00:00:00.000","2022-09-06T00:00:00.000","2023-01-30T00:00:00.000","2022-11-26T00:00:00.000","Water Plumbing Work","1000794","88","GREENWICH STREET","MANHATTAN","CAP/REMOVE (1) ONE KITCHEN SINK AND (1) ONE GAS RANGE IN APT. 1020 ON 10th FLOOR. COMBINING TWO APARTMENTS. FILED IN CONJUNCTION WITH GC APPLICATION M08011127-I1.","Other","Pass-Final","2022-11-25T00:00:00.000","40.707731","-74.013706","10006","1","1","13","Battery Park City-Lower Manhattan"
"Q08019053","New Job Filing","I1","Signed off","Q08019053-I1-LA","2022-10-21T00:00:00.000","2022-10-21T00:00:00.000","2023-03-12T00:00:00.000","2022-11-26T00:00:00.000","Gas Plumbing Work","4443500","47-13","BURLING STREET","QUEENS","DUE TO GAS SHUTDWN BY UTILITY CO (LEAK), TEST GAS TO 1-BL & 1-HWH IN CEL & 1ST FL STOVE. REG/REP 1-BL & 1-HWH VENTED THRU EXIST CHIMNEY IN GOOD CONDITION. WILL REPLACE APPRX 35 feet OF 1-1/4 inches & 20 feet OF 3/4 inches GAS PIPE TO APPLIANCES, UPGRADE METER BAR & REPLACE APP VALVE & FLEX. ALSO TO COMPLY W/ ECB #39071580R & 39071589N AT GAR CAP & REMOVE COMM COOK APPLIANCES & IN CEL REMOVE 1-LAV, 1-WC, 1-RES SINK & 1-WASHER & ALL ASSOCIATED PIPING. NO GAS PIPE IN PUBLIC HALLS. FIRESTOPS TO BE RESTORED PER NYC CODE","Other","Pass-Final","2022-11-25T00:00:00.000","40.751494","-73.813391","11355","7","20","1201","East Flushing"
"M00648985","New Job Filing","I1","Signed off","M00648985-I1-LA","2022-02-09T00:00:00.000","2022-02-09T00:00:00.000","2023-02-09T00:00:00.000","2022-02-18T00:00:00.000","Gas Plumbing Work","1083271","404","EAST   66 STREET","MANHATTAN","IN APARTMENT 1C ON 1ST FLOOR, REPLACE EXISTING GAS RANGE WITH NEW. CONNECTING TO EXISTING APPLIANCE SHUT OFF VALVE USING APPROVED FLEXIBLE CONNECTOR.","Other","Pass-Final","2022-02-17T00:00:00.000","40.763816","-73.958385","10065","8","5","116","Lenox Hill-Roosevelt Island"
"Q00675632","New Job Filing","I1","Signed off","Q00675632-I1-LA","2022-02-07T00:00:00.000","2022-02-07T00:00:00.000","2023-02-07T00:00:00.000","2022-05-12T00:00:00.000","Water Plumbing Work","4052569","110-20","71 AVENUE","QUEENS","In Apt #417, Fourth Floor:   Remove, and Replace on Existing Rough in location the following: (1) Bathtub, (1) Shower Body, (1) water Closet & Flushometer, (1) Lavatory, (1) Kitchen Sink, (1) Residential Gas Stove. Leave existing gas appliance valve in Place, only change stove, and Flex Connector. All locations stay the same.","Other","Pass-Final","2022-05-11T00:00:00.000","40.722413","-73.841176","11375","6","29","75702","Forest Hills"
"X00761299","New Job Filing","I1","Permitted","X00761299-I1-LA","2022-06-21T00:00:00.000","2022-06-21T00:00:00.000","2023-03-15T00:00:00.000",,"Water Plumbing Work","2086782","2468","CAMBRELENG AVENUE","BRONX","ON THE 2ND FLOOR, IN EACH APT (ONLY 2 APTS ON THIS FL) WE WILL INSTALL 1 NEW WASHING MACHINE & 1 NEW DISHWASHER USING APPROX 30 feet OF 2 inches WASTE, 20 feet OF 1-1/2 inches VENT & 30 feet OF 1/2 inches HOT & COLD WATER PIPING. FIRESTOPS WILL NOT BE COMPROMISED.","3 Family",,,"40.856405","-73.883805","10458","6","15","389","Belmont"
"X00485660","New Job Filing","I1","Permitted","X00485660-I1-LA","2022-09-06T00:00:00.000","2022-09-06T00:00:00.000","2023-08-09T00:00:00.000",,"Water Plumbing Work","2019146","262","EAST  237 STREET","BRONX","FILING TO CORRECT OPEN ECB VIOLAITON NO. 35536621X IN APT 3B ON 3RD FLOOR REPLACE ON EXIST W/S ROUGH 1 KITCHEN SINK, 1 LAV, 1 TOILET, 1 TUB AND 1 GAS RANGE ON EXIST APPLIANCE VALVE WITH NEW FLEX CONNECTOR.","Other",,,"40.898797","-73.868832","10470","12","11","44902","Woodlawn-Wakefield"
"Q00770832","New Job Filing","I1","Signed off","Q00770832-I1-LA","2022-08-04T00:00:00.000","2022-08-04T00:00:00.000","2023-08-04T00:00:00.000","2022-08-25T00:00:00.000","Water Plumbing Work","4059047","59-22","55 STREET","QUEENS","FILING TO CORRECT ECB VIOLATION NO. 35142388R. AT FIRST FLOOR GARAGE CAP AND REMOVE TOILET AND LAV (2PC BATH) AND WOOD FIRED BOILER.","2 Family","Pass-Final","2022-08-24T00:00:00.000","40.71671","-73.913142","11378","5","30","535","Maspeth"
"Q00783734","New Job Filing","I1","Permitted","Q00783734-I1-LA","2022-07-29T00:00:00.000","2022-07-29T00:00:00.000","2023-02-27T00:00:00.000",,"Water Plumbing Work","4075016","6767","BURNS STREET","QUEENS","In Cellar, As per NYC DEP Approval#22091208, pipe in and install (1)4 Wilkins #375 AST RPZ on domestic water supply, relief drain to existing 3 floor drain in same room. (1)6 Wilkins #350 ASTDA/DCDA on existing 6 Fire Service. As per approved DEP Plans & Specs. As required by NYCDEP & NYSDOH PC Section 608.1","Other",,,"40.722175","-73.853897","11375","6","29","711","Forest Hills"
"M00793412","New Job Filing","I1","Permitted","M00793412-I1-LA","2022-08-15T00:00:00.000","2022-08-15T00:00:00.000","2023-08-09T00:00:00.000",,"Water Plumbing Work","1046848","11","EAST   86 STREET","MANHATTAN","IN APT 17A ON THE 17TH FLOOR IN MASTER BATH REPLACE SHOWER AND 2 SHOWER BODIES, IN KIDS BATHROOM REPLACE TUB, IN GUEST BATHROOM REPLACE TUB WITH SHOWER AND SHOWER BODY, IN MAIDS BATHROOM REPLACE TUB. ALL 4 FIXTURES BEING REPLACED ON EXISITING SANITARY ROUGH AND NEW WATER SUPPLY LINES AND SHUT OFF VALVES USING APPROX 80 FT OF 3/4 AND 80 FT OF 1/2 COPPER WATER SUPPLY LINES. REPLACIG 4 LAVS AND 4 TOILETS ON EXIST W/S ROUGH.","Other",,,"40.781295","-73.95984","10028","8","4","15002","Upper East Side-Carnegie Hill"
"Q00658693","New Job Filing","I1","Permitted","Q00658693-I1-LA","2022-01-07T00:00:00.000","2022-01-07T00:00:00.000","2023-01-07T00:00:00.000",,"Gas Plumbing Work","4098144","115-25","15 AVENUE","QUEENS","Remove existing leaking direct vent boiler & install 1 gas to gas replacement direct vent wall mounted gas fired hw blr on 1st fl (ground fl) vented direct to outdoors using aprox 3 feet of 3 inches ss vent thru exist hole through exterior wall at least 7 feet above grade.  Connect boiler to existing gas appliance shut off valve. No gas test required. Install acid neutralizer on flue condensate drain . Condensate drain to exist drywell outdoor.  Sketch of boiler vent attached. old boiler filed BIS # 400598046","Other",,,"40.783998","-73.851761","11356","7","19","929","College Point"
"B00730298","New Job Filing","I1","Permitted","B00730298-I1-LA","2022-05-03T00:00:00.000","2022-05-03T00:00:00.000","2023-03-15T00:00:00.000",,"Water Plumbing Work","3335294","138","BROADWAY","BROOKLYN","IN APT 4G ON THE 4TH FLOOR, WILL INSTALL NEW WASHING MACHINE USING APPROX 10 feet OF 2 inches WASTE, 20 feet OF 1-1/2 inches VENT & APPRX 10 feet OF 1/2 inches WATER PIPE & INSTALL POT FILLER USING APPRX 2 feet OF 1/2 inches WATER PIPE. FIRESTOPS WILL NOT BE COMPROMISED .","Other",,,"40.710276","-73.963768","11211","1","34","549","North Side-South Side"
"M00747298","New Job Filing","I1","Permitted","M00747298-I1-LA","2022-06-01T00:00:00.000","2022-06-01T00:00:00.000","2023-06-01T00:00:00.000",,"Water Plumbing Work","1076301","130","EAST   75 STREET","MANHATTAN","IN APT 10C ON THE 10TH FLR, IN BEDROM, REPLACE TUB WITH SHOWER, REPLACE TOILET AND LAV ON NEW W/S ROUGH. IN GUEST BATH REPLACE TOILET, ASHOWER AND LAV ON NEW W/S ROUGH. IN MASTER BATH REPLACE TUB WITH SHOWER, LAV AND TOILET ON NEW W/S ROUGH, REPLACE BAR SINK AND  KITCHEN SINK ON NEW W/S ROUGH. IN TOTAL USING APPROX 50 FT OF 2 inches, 15 FT OF 3 inches NO HUB WASTE AND VENT, 60 FT OF 3/4 inches COPPER AND 30 FT OF 1/2 inches COPPER WATER LINES. REPLACE GAS RANGE ON EXIST GAS ROUGH AND VALVE WITH NEW GAS FLEX.","Other",,,"40.772627","-73.961409","10021","8","4","128","Upper East Side-Carnegie Hill"
"M00651486","New Job Filing","I1","Signed off","M00651486-I1-LA","2021-12-21T00:00:00.000","2021-12-21T00:00:00.000","2022-12-21T00:00:00.000","2022-11-27T00:00:00.000","Fire Suppression Work","1041128","27","EAST   65 STREET","MANHATTAN","To make repairs between FDC Siamese on the OSP  & lower check valve in the cellar on the sprinkler system. Existing Lower check and Siamese to remain. To replace a section of approx. 10ft of 4 inches groove blk pipe between check valve & Siamese w/misc. groove fittings .  All to be repaired & replaced in same location. Sprinkler pipe to be down about 7 hrs. Hydrostatic test existing sprinkler system. PAA if Required. Firestop not compromised.","Other","Pass-Final","2022-11-26T00:00:00.000","40.767255","-73.968441","10065","8","4","122","Upper East Side-Carnegie Hill"
"B00795909","New Job Filing","I1","Permitted","B00795909-I1-LA","2022-08-18T00:00:00.000","2022-08-18T00:00:00.000","2023-03-15T00:00:00.000",,"Water Plumbing Work","3061600","97","NORTH   10 STREET","BROOKLYN","AT 1ST FLOOR (ANNEX), WE WILL INSTALL 1-PANTRY SINK, 1-DISHWASHER, 1-ICE-MAKER & 1-PUMP FOR WASTE TO MECH ROOM. WILL INSTALL APPROX 100 feet OF 2 inches NO HUB WASTE, 25 feet OF 2 inches WASTE, 100 feet OF 3/4 inches COLD WATER & 10 feet OF 1/2 inches HOT WATER CONNECTED TO EXISTING STACK. FIRESTOPS WILL NOT BE COMPROMISED.","Other",,,"40.720761","-73.957957","11249","1","33","557","North Side-South Side"
"M00693683","New Job Filing","I1","Signed off","M00693683-I1-LA","2022-03-08T00:00:00.000","2022-03-08T00:00:00.000","2023-03-08T00:00:00.000","2022-04-06T00:00:00.000","Water Plumbing Work","1015272","1021","AVENUE OF THE AMERICAS","MANHATTAN","ON FIRST FLOOR CAP AND REMOVE EXIST ELECTRIC HW HEATER AND WATER PIPING LOCATED IN THE CEILING OF EXIST BATHROOM","3 Family","Pass-Final","2022-04-05T00:00:00.000","40.752412","-73.985888","10018","5","4","113","Midtown-Midtown South"
"M00153701","New Job Filing","I1","Signed off","M00153701-I1-LA","2019-04-11T00:00:00.000","2019-04-11T00:00:00.000","2019-08-01T00:00:00.000","2019-06-26T00:00:00.000","Water Plumbing Work","1082358","116","PINEHURST AVENUE","MANHATTAN","Rough in waste & vent feeding shower stall with approx. 10FT. of 2 inches waste & vent lines. Install lead pan, replace existing shower body, lead bend, toilet & lav on existing locations. Replace approx. 40FT of existing 3/4 inches hot & cold water branch piping in apt F43 located on 4th floor","Other","Pass-Final","2019-06-24T00:00:00.000","40.852121","-73.938868","10033","12","10","273","Washington Heights North"
"M00788263","New Job Filing","I1","Permitted","M00788263-I1-LA","2022-08-05T00:00:00.000","2022-08-05T00:00:00.000","2023-01-24T00:00:00.000",,"Water Plumbing Work","1085194","203","EAST   72 STREET","MANHATTAN","FILING TO REPLACE FIXTURES ON EXISTING ROUGHING AT UNIT# 1 DOCTO feetRS OFFICE ON FIRST FLOOR (1) WC, (1) LAV, & (2) SINKS IN EXAMINATION ROOMS.  ALL REQUIRED INSPECTIONS TO BE PERFROMED.  NO FIRE STOPS WILL BE COMPROMISED.  IF ANY ADDITIONAL WORK REQUIRED PAA WILL BE FILED.","Other",,,"40.769602","-73.96023","10021","8","4","126","Lenox Hill-Roosevelt Island"
