"siteid","inspectionid","inpectiondate","location","question1","question2","_2_option1","_2_option2","_2_option3","_2_option4","_2_option5","_2_option6","_2_ticketnumber","_2_bikeidnumber","_2_multipleinstances","_2_ticketcomments","question3","_3_option1","_3_option2","_3_option3","_3_option4","_3_ticketnumber","_3_ticketcomments","question4","_4_option1","_4_option2","_4_option3","_4_option4","_4_ticketnumber","_4_ticketcomments","question5","question6","question7","question8","_8_option1","_8_option2","_8_option3","_8_ticketnumber","_8_bikeidnumber","_8_ticketcomments","question9","question10"
"4479.06","75038","2018-09-25T11:57:52.000Z","Bond Street and Fulton Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7159.08","87197","2019-08-16T12:59:31.000Z","Astoria Park South and Shore Boulevard","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6266.06","75819","2018-10-12T15:19:55.000Z","Ninth Avenue and West 21st Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4001.09","85601","2019-06-24T13:08:37.000Z","St. Johns Place and Washington Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5755.01","101760","2020-01-14T13:52:57.000Z","Washington Place and Broadway","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6656.05","113174","2020-02-20T14:38:00.000Z","21st Street and 38th Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6128.04","75748","2018-10-11T14:56:25.000Z","49th Avenue and 21st Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7360.10","74653","2018-09-13T15:59:40.000Z","Amsterdam Avenue and West 82nd Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4677.07","80067","2019-02-01T13:30:06.000Z","Cadman Plaza West and Montague Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7020.09","82389","2019-04-01T11:57:23.000Z","First Avenue and East 78th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7344.05","75976","2018-10-16T12:44:47.000Z","East 91st Street and Park Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6197.08","81040","2019-02-26T11:03:40.000Z","East 33rd Street and First Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6432.09","75979","2018-10-16T12:52:08.000Z","Park Avenue and East 42nd Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7233.05","73020","2018-08-03T13:54:07.000Z","Crescent Street and Ditmars Boulevard","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6089.08","81584","2019-03-11T12:24:56.000Z","Lexington Avenue and East 26th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7599.09","78880","2019-01-03T11:28:59.000Z","East 115th Street and Lexington Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5335.03","85322","2019-06-17T09:56:20.000Z","Bialystoker Place and Delancey Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5342.10","74004","2018-08-29T14:20:58.000Z","Allen Street and Hester Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5406.02","83486","2019-05-01T12:16:40.000Z","Rivington Street and Ridge Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7667.04","112294","2020-01-28T14:26:48.000Z","Madison Avenue and East 120th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4546.05","85345","2019-06-17T11:58:52.000Z","Washington Park and Willoughby Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6932.15","100384","2019-11-27T13:03:18.000Z","East 68th Street and Madison Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4789.03","77170","2018-11-15T14:17:21.000Z","Clark Street and Henry Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"7667.04","72408","2018-07-19T12:46:40.000Z","Madison Avenue and East 120th Street","No","No",,,,"Yes",,,,,"No","Plates misaligned near dock 15","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6847.02","80811","2019-02-20T13:56:29.000Z","Broadway and West 56th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4107.13","81005","2019-02-25T12:18:59.000Z","Dean Street and Franklin Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4157.10","78046","2018-12-06T12:41:56.000Z","Bergen Street and Vanderbilt Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4184.07","81198","2019-02-28T13:02:36.000Z","Carroll Street and Bond Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6925.05","77333","2018-11-20T12:36:45.000Z","Second Avenue and East 71st Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4732.08","99329","2019-10-25T11:08:49.000Z","Carlton Avenue and Flushing Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4190.06","84377","2019-05-22T12:42:00.000Z","Grand Avenue and Bergen Street","No","No","Yes",,,,,,,,"No","Excessive litter",,,,,,,,,,,,,,,,,,,,,,,,,,
"6747.06","82609","2019-04-04T12:11:31.000Z","West 49th Street and Eighth Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"7098.05","83855","2019-05-09T12:41:33.000Z","27th Avenue and 9th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4546.04","113614","2020-03-03T08:53:08.000Z","DeKalb Avenue and South Portland Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6996.01","85406","2019-06-18T12:28:55.000Z","30th Avenue and 21st Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7028.04","88135","2019-09-16T12:13:09.000Z","Third Avenue and East 72nd Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"7756.10","75882","2018-10-15T12:00:50.000Z","St. Nicholas Avenue and West 126th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4494.04","113617","2020-03-03T09:01:18.000Z","St. James Place and Lafayette Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6822.09","101154","2019-12-20T08:48:51.000Z","First Avenue and East 68th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7541.01","99108","2019-10-17T15:22:23.000Z","West 95th Street and Broadway","No","No",,,,,"Yes",,,,"No","Flatten Delineator at end of station","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6789.04","100324","2019-11-26T12:48:15.000Z","31st Street and Broadway","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5045.05","99971","2019-11-14T13:43:15.000Z","Division Avenue and Hooper Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6822.09","73168","2018-08-08T12:25:14.000Z","First Avenue and East 68th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5422.04","77932","2018-12-04T14:02:20.000Z","Howard Street and Centre Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5515.02","113047","2020-02-19T13:01:06.000Z","East 2nd Street and Avenue B","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"3665.06","83375","2019-04-29T11:53:49.000Z","Sterling Street and Bedford Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4202.04","87777","2019-09-04T14:08:57.000Z","Richards Street and Delavan Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"7623.13","76769","2018-11-05T13:57:56.000Z","Riverside Drive and West 104th Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4086.05","86940","2019-08-06T14:12:40.000Z","Columbia Street and West 9th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5561.04","76170","2018-10-22T11:45:13.000Z","Mott Street and Prince Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7149.05","75014","2018-09-24T13:00:21.000Z","Amsterdam Avenue and West 66th Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6203.02","76381","2018-10-25T15:14:16.000Z","Jackson Avenue and 46th Road","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5238.05","85507","2019-06-20T12:59:04.000Z","St. James Place and Worth Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6717.06","113406","2020-02-26T12:56:30.000Z","Ninth Avenue and West 45th Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4479.06","99447","2019-10-29T13:17:22.000Z","Bond Street and Fulton Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4494.04","75680","2018-10-10T15:41:09.000Z","St. James Place and Lafayette Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7652.04","113785","2020-03-06T13:08:51.000Z","Lexington Avenue and East 120th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7159.08","78907","2019-01-03T12:58:42.000Z","Astoria Park South and Shore Boulevard","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"3847.04","84485","2019-05-24T13:23:42.000Z","Carroll Street and Franklin Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5854.09","76441","2018-10-29T11:18:49.000Z","First Avenue Service Road and East 18th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7311.07","74418","2018-09-10T11:19:06.000Z","West 78th Street and Broadway","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5746.04","88909","2019-10-09T14:05:28.000Z","East 11th Street and Second Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6762.02","83745","2019-05-08T10:07:10.000Z","East 58th Street and Third Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4683.02","87897","2019-09-09T10:35:04.000Z","Emerson Place and Myrtle Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5569.06","73057","2018-08-06T11:55:02.000Z","West Broadway and Spring Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6206.08","74994","2018-09-24T12:21:00.000Z","East 30th Street and Park Avenue South","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4298.05","113379","2020-02-25T13:51:22.000Z","Degraw Street and Smith Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4222.02","80454","2019-02-12T12:24:33.000Z","Lefferts Place and Franklin Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6920.03","83792","2019-05-08T12:59:49.000Z","West 54th Street and Ninth Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4175.14","99354","2019-10-25T13:52:10.000Z","Douglass Street and Fourth Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4821.06","79782","2019-01-25T13:57:54.000Z","Cadman Plaza East and Red Cross Place","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5430.08","80919","2019-02-21T14:31:07.000Z","Franklin Street and Varick Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5400.05","73120","2018-08-07T12:38:09.000Z","Harrison Street and Hudson Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7175.05","80672","2019-02-19T10:27:50.000Z","Columbus Avenue and West 72nd Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7388.10","83688","2019-05-06T14:41:53.000Z","Riverside Drive and West 82nd Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6239.08","99543","2019-10-31T12:52:08.000Z","East 31st Street and Third Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6996.01","88358","2019-09-23T12:28:44.000Z","30th Avenue and 21st Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4620.02","74131","2018-08-31T12:59:10.000Z","Adelphi Street and Myrtle Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5539.06","99245","2019-10-23T09:38:24.000Z","Laight Street and Hudson Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4083.13","78423","2018-12-17T13:29:36.000Z","Park Place and Vanderbilt Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6148.02","113866","2020-03-09T12:29:14.000Z","West 17th Street and Eighth Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6498.10","82867","2019-04-15T11:18:57.000Z","East 47th Street and Second Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5584.04","113049","2020-02-19T13:05:04.000Z","East 6th Street and Avenue B","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7291.06","99120","2019-10-18T13:11:13.000Z","Ditmars Boulevard and 19th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6819.15","78296","2018-12-13T13:58:21.000Z","31st Avenue and 34th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6233.05","84985","2019-06-05T12:57:13.000Z","West 16th Street and Tenth Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4732.04","88642","2019-10-02T14:48:22.000Z","Carlton Avenue and Park Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"3803.09","74953","2018-09-24T10:48:08.000Z","Sixth Avenue and 9th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5329.06","75477","2018-10-04T11:58:59.000Z","Murray Street and West Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7646.04","113582","2020-03-02T13:19:10.000Z","Cathedral Parkway and Amsterdam Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4202.04","112862","2020-02-12T14:15:31.000Z","Richards Street and Delavan Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4476.03","80152","2019-02-04T13:10:23.000Z","Marcy Avenue and Lafayette Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7432.09","81778","2019-03-18T10:53:33.000Z","West 89th Street and Columbus Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4818.03","76344","2018-10-25T12:27:07.000Z","Union Avenue and Wallabout Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4166.08","77726","2018-11-28T11:07:55.000Z","Prospect Place and Sixth Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5279.03","99239","2019-10-23T08:49:39.000Z","Centre Street and Worth Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4077.07","83410","2019-04-30T12:51:21.000Z","Court Street and Nelson Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7623.13","74583","2018-09-12T13:54:00.000Z","Riverside Drive and West 104th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6659.01","113453","2020-02-27T12:00:51.000Z","East 51st Street and Lexington Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6923.20","82308","2019-03-28T12:48:18.000Z","31st Street and Newtown Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6756.01","80805","2019-02-20T13:41:44.000Z","West 43rd Street and Tenth Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6055.08","123909","2020-03-11T12:00:06.000Z","East 20th Street and Park Avenue South","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"3996.01","112101","2020-01-23T13:38:28.000Z","7th Street and Third Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6824.07","78160","2018-12-11T14:46:34.000Z","West 47th Street and Tenth Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4380.08","75959","2018-10-16T11:46:23.000Z","Henry Street and Degraw Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7204.08","80550","2019-02-13T13:26:04.000Z","East 89th Street and York Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4883.03","87928","2019-09-09T13:40:48.000Z","Broadway and Whipple Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4710.06","99847","2019-11-13T12:39:33.000Z","Jay Street and Johnson Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6960.10","113418","2020-02-26T14:21:55.000Z","Third Avenue and East 71st Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5679.05","87030","2019-08-12T10:00:01.000Z","Mercer Street and Bleecker Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5175.08","112327","2020-01-29T13:14:59.000Z","Fulton Street and Broadway","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"7286.02","101102","2019-12-19T11:57:03.000Z","East 93rd Street and Second Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7286.05","82401","2019-04-01T12:15:15.000Z","First Avenue and East 94th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7682.01","75330","2018-10-01T13:08:53.000Z","Park Avenue and East 124th Street","No","No",,,,"Yes",,,,,"No","Misaligned plates near dock 33 and 21.","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4812.02","79773","2019-01-25T12:59:49.000Z","Nassau Street and Navy Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6148.01","77917","2018-12-04T11:47:24.000Z","West 16th Street and Eighth Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7132.01","79698","2019-01-24T13:25:25.000Z","27th Avenue and 4th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7121.05","87123","2019-08-14T15:17:20.000Z","East 81st Street and Second Avenue","No","No",,,,,"Yes",,,,"No","damaged delineator near dock 30",,,,,,,,,,,,,,,,,,,,,,,,,,
"5788.14","113932","2020-03-10T12:11:14.000Z","East 12th Street and 4th Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5181.04","88722","2019-10-04T12:38:12.000Z","Cherry Street and FDR Drive","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6659.01","80802","2019-02-20T13:29:59.000Z","East 51st Street and Lexington Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4217.02","113336","2020-02-25T12:21:11.000Z","Douglass Street and Third Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6529.02","86518","2019-07-24T11:59:20.000Z","37th Avenue and 35th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7655.22","100551","2019-12-04T12:24:20.000Z","Lenox Avenue and West 117th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4962.08","72734","2018-07-26T15:34:18.000Z","Broad Street and Stone Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6319.01","112831","2020-02-12T12:06:25.000Z","45th Road and 11th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7528.31","101611","2020-01-10T13:57:25.000Z","East 106th Street and Madison Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6471.02","113175","2020-02-20T14:42:12.000Z","21st Street and Queens Plaza North","No","No","Yes",,,,,,,,"No","Trash scattered throughout station",,,,,,,,,,,,,,,,,,,,,,,,,,
"5137.10","81412","2019-03-06T13:10:00.000Z","Spruce Street and Nassau Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4222.02","73439","2018-08-15T12:58:22.000Z","Lefferts Place and Franklin Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5712.03","100032","2019-11-18T10:21:04.000Z","Cooper Square and Astor Place","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4546.04","88456","2019-09-25T11:49:22.000Z","DeKalb Avenue and South Portland Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4319.07","86692","2019-07-29T12:19:26.000Z","Halsey Street and Tompkins Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5450.04","85202","2019-06-12T11:54:23.000Z","North 12th Street and Bedford Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6768.04","85262","2019-06-13T12:08:24.000Z","11th Street and 35th Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"3919.07","87486","2019-08-26T12:28:01.000Z","Eastern Parkway and Franklin Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"7178.02","78266","2018-12-13T13:02:05.000Z","23rd Avenue and 27th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"3940.04","88473","2019-09-25T12:59:04.000Z","Sigourney Street and Columbia Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5971.08","84874","2019-06-04T11:17:22.000Z","East 20th Street and Second Avenue","No","No","Yes",,,,,,,,"No","Excessive litter near last dock","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6203.02","113573","2020-03-02T13:07:56.000Z","Jackson Avenue and 46th Road","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5515.02","77049","2018-11-14T12:47:22.000Z","East 2nd Street and Avenue B","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4455.07","72965","2018-08-02T14:29:09.000Z","Congress Street and Clinton Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6753.08","73951","2018-08-28T12:17:45.000Z","First Avenue and East 62nd Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
