"school_year","dbn","location","location_type","total_gc_sw","total_gc","full_time","part_time","bilingual","serving_more_than_one_location","atr","_2014_enrollment_pk_12","ratio_gc_sw","ratio_gc_only","unnamed_column","unnamed_column_1","unnamed_column_2","unnamed_column_3"
"2014-15","08X138","08X138 - P.S. 138 SAMUEL RANDALL","ELEMENTARY","1","1","1",,,,,"807","807","807",,,,
"2014-15","08X140","08X140 - P.S. X140 THE EAGLE SCHOOL","ELEMENTARY","2","1","1",,,,,"654","327","654",,,,
"2014-15","08X146","08X146 - P.S. 146 EDWARD COLLINS","ELEMENTARY","1","1","1",,"1",,,"456","456","456",,,,
"2014-15","08X152","08X152 - P.S. 152 EVERGREEN","ELEMENTARY","4","3","3",,"2",,,"979","245","327",,,,
"2014-15","08X269","08X269 - BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS","JUNIOR HIGH-INTERMEDIATE-MIDDLE","4","1","1",,,,,"565","142","565",,,,
"2014-15","08X282","08X282 - WOMEN'S ACADEMY OF EXCELLENCE","HIGH SCHOOL","2","2","2",,,,,"345","173","173",,,,
"2014-15","08X293","08X293 - RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECH","HIGH SCHOOL","3","2","2",,,,"1","444","111","148",,,,
"2014-15","08X295","08X295 - GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECH","HIGH SCHOOL","1","1","1",,,,,"70","70","70",,,,
"2014-15","08X301","08X301 - M.S. 301 PAUL L. DUNBAR","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,,,,"191","96","191",,,,
"2014-15","08X302","08X302 - M.S. 302 LUISA DESSUS CRUZ","JUNIOR HIGH-INTERMEDIATE-MIDDLE","4","2","2",,"2",,,"539","135","270",,,,
"2014-15","08X304","08X304 - P.S. 304 EARLY CHILDHOOD SCHOOL","ELEMENTARY","3","0",,,,,,"558","186",,,,,
"2014-15","08X305","08X305 - PABLO NERUDA ACADEMY","HIGH SCHOOL","2","1","1",,,,,"315","158","315",,,,
"2014-15","08X312","08X312 - MILLENNIUM ART ACADEMY","HIGH SCHOOL","3","2","2",,,,,"487","163","244",,,,
"2014-15","08X320","08X320 - PELHAM LAB HIGH SCHOOL","HIGH SCHOOL","1","1","1",,,,,"211","211","211",,,,
"2014-15","08X332","08X332 - HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH","HIGH SCHOOL","1","1","1",,"1",,,"236","236","236",,,,
"2014-15","08X333","08X333 - P.S. 333 - THE MUSEUM SCHOOL","ELEMENTARY","2","0",,,,,,"432","216",,,,,
"2014-15","08X335","08X335 - THE ACADEMY OF THE ARTS","ELEMENTARY","0","0",,,,,,"290",,,,,,
"2014-15","08X337","08X337 - THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"398","398","398",,,,
"2014-15","08X348","08X348 - SCHUYLERVILLE PREPARATORY HIGH SCHOOL","HIGH SCHOOL","1","1","1",,"1",,,"177","177","177",,,,
"2014-15","08X349","08X349 - BRONX RIVER HIGH SCHOOL","HIGH SCHOOL","1","1","1",,,,,"204","204","204",,,,
"2014-15","08X366","08X366 - URBAN ASSEMBLY ACADEMY OF CIVIC ENGAGEMENT","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"166","166","166",,,,
"2014-15","08X367","08X367 - ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOG","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,"1",,,"637","319","637",,,,
"2014-15","08X371","08X371 - URBAN INSTITUTE OF MATHEMATICS","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,,,,"290","145","290",,,,
"2014-15","08X375","08X375 - THE BRONX MATHEMATICS PREPARATORY SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","0",,,,,"1","278","139",,,,,
"2014-15","08X376","08X376 - ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOA","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","2","2",,"1",,,"450","225","225",,,,
"2014-15","08X377","08X377 - BRONX COMMUNITY HIGH SCHOOL","HIGH SCHOOL","0","0",,,,,,"165",,,,,,
"2014-15","08X392","08X392 - BRONX DELTA SCHOOL","ELEMENTARY","0","0",,,,,,"74",,,,,,
"2014-15","08X405","08X405 - HERBERT H. LEHMAN HIGH SCHOOL","HIGH SCHOOL","6","5","5",,,,"1","1535","220","256",,,,
"2014-15","08X424","08X424 - THE HUNTS POINT SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,"1",,,"353","177","353",,,,
"2014-15","08X432","08X432 - BRONX BRIDGES HIGH SCHOOL","HIGH SCHOOL","3","2","2",,,,,"333","111","167",,,,
"2014-15","08X448","08X448 - SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,,,,"348","174","348",,,,
"2014-15","08X452","08X452 - BRONX GUILD","HIGH SCHOOL","3","1","1",,,,,"326","109","326",,,,
"2014-15","08X467","08X467 - MOTT HALL COMMUNITY SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"225","225","225",,,,
"2014-15","08X519","08X519 - FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB","HIGH SCHOOL","2","2","2",,,,,"307","154","154",,,,
"2014-15","08X530","08X530 - BANANA KELLY HIGH SCHOOL","HIGH SCHOOL","4","3","3",,,,,"325","82","109",,,,
"2014-15","08X537","08X537 - BRONX ARENA HIGH SCHOOL","HIGH SCHOOL","1","1","1",,,,,"207","207","207",,,,
"2014-15","08X558","08X558 - WESTCHESTER SQUARE ACADEMY","HIGH SCHOOL","3","1","1",,,,,"396","132","396",,,,
"2014-15","08X559","08X559 - SCHOOL FOR TOURISM AND HOSPITALITY","HIGH SCHOOL","2.2","1","1",,,,,"240","80","240",,,,
"2014-15","08X561","08X561 - BRONX COMPASS HIGH SCHOOL","HIGH SCHOOL","2","1","1",,,,,"332","166","332",,,,
"2014-15","08X562","08X562 - BLUEPRINT MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","2","2",,,,,"306","153","153",,,,
"2014-15","08X650","08X650 - JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS","HIGH SCHOOL","2","2","2",,,,,"147","74","74",,,,
"2014-15","09X004","09X004 - P.S./M.S. 004 CROTONA PARK WEST","K-8","5","1","1",,,,,"548","110","548",,,,
"2014-15","09X011","09X011 - P.S. 011 HIGHBRIDGE","ELEMENTARY","2","1","1",,,,,"739","370","739",,,,
"2014-15","09X022","09X022 - J.H.S. 022 JORDAN L. MOTT","JUNIOR HIGH-INTERMEDIATE-MIDDLE","4","3","3",,,,,"487","122","163",,,,
"2014-15","09X028","09X028 - P.S. 028 MOUNT HOPE","ELEMENTARY","2","1","1",,,,,"740","370","740",,,,
"2014-15","09X035","09X035 - P.S. 035 FRANZ SIEGEL","ELEMENTARY","0.6","0.6",,"0.6",,"0.6",,"710","710","710",,,,
"2014-15","09X042","09X042 - P.S. 042 CLAREMONT","ELEMENTARY","2.6","1.6","1","0.6",,,,"453","151","227",,,,
"2014-15","09X053","09X053 - P.S. 053 BASHEER QUISIM","ELEMENTARY","3","2","2",,,,,"1321","441","661",,,,
"2014-15","09X055","09X055 - P.S. 055 BENJAMIN FRANKLIN","ELEMENTARY","3","2","2",,"1",,,"720","240","360",,,,
"2014-15","09X058","09X058 - P.S. 058","ELEMENTARY","3","2","2",,"1",,,"488","163","244",,,,
"2014-15","09X063","09X063 - P.S. 063 AUTHOR'S ACADEMY","ELEMENTARY","3","2","2",,"1",,,"599","200","300",,,,
"2014-15","09X064","09X064 - P.S. 064 PURA BELPRE","ELEMENTARY","2.2","1.2","1","0.2",,"0.2",,"285","95","143",,,,
"2014-15","09X070","09X070 - P.S. 070 MAX SCHOENFELD","ELEMENTARY","4","3","3",,,,,"1332","333","444",,,,
"2014-15","09X073","09X073 - P.S. 073 BRONX","ELEMENTARY","4","2","2",,,,,"827","207","414",,,,
"2014-15","09X088","09X088 - P.S. X088 - S. SILVERSTEIN LITTLE SPARROW SCHOOL","ELEMENTARY","0.4","0.4",,"0.4",,"0.4",,"205","205","205",,,,
"2014-15","09X109","09X109 - P.S. 109 SEDGWICK","ELEMENTARY","2","1","1",,,,,"812","406","812",,,,
"2014-15","09X110","09X110 - P.S. 110 THEODORE SCHOENFELD","ELEMENTARY","3","2","2",,,,,"481","161","241",,,,
"2014-15","09X114","09X114 - P.S. X114 - LUIS LLORENS TORRES SCHOOLS","ELEMENTARY","3","3","3",,,,,"833","278","278",,,,
"2014-15","09X117","09X117 - I.S. 117 JOSEPH H. WADE","JUNIOR HIGH-INTERMEDIATE-MIDDLE","3","2","2",,,,,"618","206","309",,,,
"2014-15","09X126","09X126 - P.S. 126 DR MARJORIE H DUNBAR","ELEMENTARY","4","3","3",,,,,"723","181","241",,,,
"2014-15","09X128","09X128 - MOTT HALL III","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"359","359","359",,,,
"2014-15","09X132","09X132 - P.S. 132 GARRET A. MORGAN","ELEMENTARY","2","1","1",,,,,"487","244","487",,,,
"2014-15","09X145","09X145 - J.H.S. 145 ARTURO TOSCANINI","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,,,,"368","184","368",,,,
"2014-15","09X163","09X163 - P.S. 163 ARTHUR A. SCHOMBURG","ELEMENTARY","2","2","2",,"1",,,"566","283","283",,,,
"2014-15","09X170","09X170 - P.S. 170","EARLY CHILDHOOD","0","0",,,,,,"275",,,,,,
"2014-15","09X199","09X199 - P.S. 199X - THE SHAKESPEARE SCHOOL","ELEMENTARY","2","2","2",,,,,"798","399","399",,,,
"2014-15","09X204","09X204 - P.S. 204 MORRIS HEIGHTS","ELEMENTARY","1","1","1",,,,,"591","591","591",,,,
"2014-15","09X215","09X215 - KAPPA","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"299","299","299",,,,
"2014-15","09X218","09X218 - P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNE","K-8","2","2","2",,"1",,,"960","480","480",,,,
"2014-15","09X219","09X219 - I.S. 219 NEW VENTURE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","3","1","1",,,,,"326","109","326",,,,
"2014-15","09X227","09X227 - BRONX COLLEGIATE ACADEMY","HIGH SCHOOL","3","3","3",,"1",,"1","382","96","96",,,,
"2014-15","09X229","09X229 - I.S. 229 ROLAND PATTERSON","JUNIOR HIGH-INTERMEDIATE-MIDDLE","4","2","2",,,,,"248","62","124",,,,
"2014-15","09X230","09X230 - P.S. 230 DR ROLAND N. PATTERSON","ELEMENTARY","1","1","1",,,,,"156","156","156",,,,
"2014-15","09X231","09X231 - EAGLE ACADEMY FOR YOUNG MEN","SECONDARY SCHOOL","3","2","2",,,,"1","608","152","203",,,,
"2014-15","09X232","09X232 - I.S. 232","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","2","2",,,,,"549","275","275",,,,
"2014-15","09X236","09X236 - P.S. 236 LANGSTON HUGHES","ELEMENTARY","1","0",,,,,,"388","388",,,,,
"2014-15","09X241","09X241 - URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE","SECONDARY SCHOOL","2","2","2",,,,,"619","310","310",,,,
"2014-15","09X250","09X250 - EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOA","SECONDARY SCHOOL","3","3","3",,"2",,,"449","150","150",,,,
"2014-15","09X252","09X252 - MOTT HALL BRONX HIGH SCHOOL","HIGH SCHOOL","2","0",,,,,,"402","201",,,,,
"2014-15","09X260","09X260 - BRONX CENTER FOR SCIENCE AND MATHEMATICS","HIGH SCHOOL","2","2","2",,"1",,,"457","229","229",,,,
"2014-15","09X263","09X263 - VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEAR","HIGH SCHOOL","2","1","1",,,,,"375","188","375",,,,
"2014-15","09X274","09X274 - THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE","ELEMENTARY","1","1","1",,,,,"506","506","506",,,,
"2014-15","09X276","09X276 - LEADERSHIP INSTITUTE","HIGH SCHOOL","1","1","1",,,,"1","207","104","104",,,,
"2014-15","09X294","09X294 - THE WALTON AVENUE SCHOOL","ELEMENTARY","0","0",,,,,,"338",,,,,,
"2014-15","09X297","09X297 - MORRIS ACADEMY FOR COLLABORATIVE STUDIES","HIGH SCHOOL","2","2","2",,,,,"471","236","236",,,,
"2014-15","09X303","09X303 - I.S. X303 LEADERSHIP & COMMUNITY SERVICE","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","0",,,,,,"287","287",,,,,
"2014-15","09X311","09X311 - LUCERO ELEMENTARY SCHOOL","ELEMENTARY","0","0",,,,,,"234",,,,,,
"2014-15","09X313","09X313 - I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,,,,"348","174","348",,,,
"2014-15","09X323","09X323 - BRONX WRITING ACADEMY","JUNIOR HIGH-INTERMEDIATE-MIDDLE","3","2","2",,,,,"460","154","230",,,,
"2014-15","09X324","09X324 - BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNIN","JUNIOR HIGH-INTERMEDIATE-MIDDLE","3","2","2",,,,,"503","168","252",,,,
"2014-15","09X325","09X325 - URBAN SCIENCE ACADEMY","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,,,,"331","166","331",,,,
"2014-15","09X327","09X327 - COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1.6","0.6",,"0.6",,"0.6",,"628","314","628",,,,
"2014-15","09X328","09X328 - NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"176","176","176",,,,
"2014-15","09X329","09X329 - DREAMYARD PREPARATORY SCHOOL","HIGH SCHOOL","3","2","2",,,,,"336","112","168",,,,
"2014-15","09X339","09X339 - I.S. 339","JUNIOR HIGH-INTERMEDIATE-MIDDLE","3","3","3",,,,,"555","185","185",,,,
"2014-15","09X350","09X350 - NEW DIRECTIONS SECONDARY SCHOOL","SECONDARY SCHOOL","1","1","1",,,,,"149","149","149",,,,
"2014-15","09X361","09X361 - THE HIGHBRIDGE GREEN SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1.8","1.8","1","0.8",,,,"269","135","135",,,,
"2014-15","09X365","09X365 - ACADEMY FOR LANGUAGE AND TECHNOLOGY","HIGH SCHOOL","2","2","2",,"1",,,"322","161","161",,,,
"2014-15","09X403","09X403 - BRONX INTERNATIONAL HIGH SCHOOL","HIGH SCHOOL","3","1","1",,,,,"409","137","409",,,,
"2014-15","09X404","09X404 - SCHOOL FOR EXCELLENCE","HIGH SCHOOL","4","3","3",,,,,"421","106","141",,,,
"2014-15","09X412","09X412 - BRONX HIGH SCHOOL OF BUSINESS","HIGH SCHOOL","4","2","2",,,,,"339","85","170",,,,
"2014-15","09X413","09X413 - BRONX HIGH SCHOOL FOR MEDICAL SCIENCE","SECONDARY SCHOOL","4","3","3",,,,,"472","118","158",,,,
"2014-15","09X414","09X414 - JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICA","HIGH SCHOOL","3","3","3",,"1",,,"160","54","54",,,,
"2014-15","09X443","09X443 - THE FAMILY SCHOOL","ELEMENTARY","2","1","1",,,,,"525","263","525",,,,
"2014-15","09X449","09X449 - GRANT AVENUE ELEMENTARY SCHOOL","EARLY CHILDHOOD","1","1","1",,,,,"477","477","477",,,,
"2014-15","09X454","09X454 - SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","0",,,,,,"445","445",,,,,
"2014-15","09X457","09X457 - SHERIDAN ACADEMY FOR YOUNG LEADERS","EARLY CHILDHOOD","2","0",,,,,,"597","299",,,,,
"2014-15","09X505","09X505 - BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE","SECONDARY SCHOOL","4.6","3","3",,,,,"778","156","260",,,,
"2014-15","09X517","09X517 - FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL","SECONDARY SCHOOL","2.4","1.4","1","0.4",,,,"427","143","214",,,,
"2014-15","09X525","09X525 - BRONX LEADERSHIP ACADEMY HIGH SCHOOL","HIGH SCHOOL","4","4","4",,"1",,,"686","172","172",,,,
"2014-15","09X543","09X543 - HIGH SCHOOL FOR VIOLIN AND DANCE","HIGH SCHOOL","2","2","2",,"1",,,"384","192","192",,,,
"2014-15","09X555","09X555 - MOUNT EDEN CHILDREN'S ACADEMY","ELEMENTARY","0.4","0.4",,"0.4",,"0.4",,"272","272","272",,,,
"2014-15","09X564","09X564 - CLAREMONT INTERNATIONAL HS","HIGH SCHOOL","3","1","1",,,,,"257","86","257",,,,
"2014-15","09X568","09X568 - YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX","JUNIOR HIGH-INTERMEDIATE-MIDDLE","0.2","0",,,,,,"252","252",,,,,
"2014-15","10X003","10X003 - P.S. 3 RAUL JULIA MICRO SOCIETY","K-8","1","1","1",,,,,"337","337","337",,,,
"2014-15","10X007","10X007 - MILTON FEIN SCHOOL","ELEMENTARY","2","1","1",,,,,"728","364","728",,,,
"2014-15","10X008","10X008 - P.S. 008 ISSAC VARIAN","ELEMENTARY","4","3","3",,"1",,,"1129","283","377",,,,
"2014-15","10X009","10X009 - P.S. 9 RYER AVENUE ELEMENTARY SCHOOL","ELEMENTARY","3","1","1",,,,,"867","289","867",,,,
"2014-15","10X015","10X015 - P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING","K-8","2","1","1",,,,,"523","262","523",,,,
"2014-15","10X020","10X020 - PS/MS 20 P.O.GEORGE J. WERDANN, III","K-8","3","1","1",,,,,"1110","370","1110",,,,
"2014-15","10X023","10X023 - P.S. 023 THE NEW CHILDREN'S SCHOOL","EARLY CHILDHOOD","2","2","2",,,,,"568","284","284",,,,
"2014-15","10X024","10X024 - P.S. 024 SPUYTEN DUYVIL","ELEMENTARY","3","1","1",,,,,"977","326","977",,,,
"2014-15","10X032","10X032 - P.S. 032 BELMONT","ELEMENTARY","5","1","1",,,,,"831","167","831",,,,
"2014-15","10X033","10X033 - P.S. 033 TIMOTHY DWIGHT","ELEMENTARY","3","2","2",,,,,"1061","354","531",,,,
"2014-15","10X037","10X037 - P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL","K-8","1","1","1",,,,,"648","648","648",,,,
"2014-15","10X045","10X045 - THOMAS C. GIORDANO MIDDLE SCHOOL 45","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,,,,"716","358","716",,,,
"2014-15","10X046","10X046 - P.S. 046 EDGAR ALLAN POE","ELEMENTARY","6","4","4",,"1",,,"1252","209","313",,,,
"2014-15","10X051","10X051 - P.S. 051 BRONX NEW SCHOOL","ELEMENTARY","0.2","0",,,,,,"263","263",,,,,
"2014-15","10X054","10X054 - P.S. / I.S. 54","ELEMENTARY","4","1","1",,,,,"486","122","486",,,,
"2014-15","10X056","10X056 - P.S. 056 NORWOOD HEIGHTS","ELEMENTARY","1.5","0.5",,"0.5",,,,"663","332","663",,,,
"2014-15","10X059","10X059 - P.S. 059 THE COMMUNITY SCHOOL OF TECHNOLOGY","ELEMENTARY","2","1","1",,,,,"603","302","603",,,,
"2014-15","10X077","10X077 - BEDFORD PARK ELEMENTARY SCHOOL","ELEMENTARY","1","1","1",,"1",,,"111","111","111",,,,
"2014-15","10X080","10X080 - J.H.S. 080 THE MOSHOLU PARKWAY","JUNIOR HIGH-INTERMEDIATE-MIDDLE","3","2","2",,,,,"656","219","328",,,,
"2014-15","10X081","10X081 - P.S. 081 ROBERT J. CHRISTEN","ELEMENTARY","2","1","1",,,,,"678","339","678",,,,
"2014-15","10X085","10X085 - P.S. 085 GREAT EXPECTATIONS","ELEMENTARY","4","1","1",,,,,"983","246","983",,,,
"2014-15","10X086","10X086 - P.S. 086 KINGSBRIDGE HEIGHTS","ELEMENTARY","6","2","2",,,,,"1700","284","850",,,,
"2014-15","10X091","10X091 - P.S. 091 BRONX","ELEMENTARY","3","2","2",,,,,"742","248","371",,,,
"2014-15","10X094","10X094 - P.S. 094 KINGS COLLEGE SCHOOL","ELEMENTARY","4","3","3",,"2",,,"1239","310","413",,,,
"2014-15","10X095","10X095 - P.S. 095 SHEILA MENCHER","K-8","5","3","3",,,,,"1301","261","434",,,,
"2014-15","10X118","10X118 - J.H.S. 118 WILLIAM W. NILES","JUNIOR HIGH-INTERMEDIATE-MIDDLE","6","3","3",,,,,"1194","199","398",,,,
"2014-15","10X141","10X141 - RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / H","SECONDARY SCHOOL","6","4","4",,"1",,,"1381","231","346",,,,
"2014-15","10X159","10X159 - P.S. 159 LUIS MUNOZ MARIN BILING","ELEMENTARY","0","0",,,,,,"195",,,,,,
"2014-15","10X205","10X205 - P.S. 205 FIORELLO LAGUARDIA","ELEMENTARY","2","2","2",,,,,"1032","516","516",,,,
"2014-15","10X206","10X206 - I.S. 206 ANN MERSEREAU","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","2","2",,,,,"267","134","134",,,,
"2014-15","10X207","10X207 - P.S. 207","ELEMENTARY","2","0",,,,,,"373","187",,,,,
"2014-15","10X209","10X209 - P.S. 209","EARLY CHILDHOOD","1","1","1",,,,,"259","259","259",,,,
"2014-15","10X213","10X213 - BRONX ENGINEERING AND TECHNOLOGY ACADEMY","HIGH SCHOOL","3","2","2",,,,,"417","139","209",,,,
"2014-15","10X225","10X225 - THEATRE ARTS PRODUCTION COMPANY SCHOOL","SECONDARY SCHOOL","2","2","2",,,,,"632","316","316",,,,
"2014-15","10X226","10X226 - P.S. 226","ELEMENTARY","3","2","2",,,,,"504","168","252",,,,
"2014-15","10X228","10X228 - JONAS BRONCK ACADEMY","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","0",,,,,,"261","261",,,,,
"2014-15","10X237","10X237 - THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND","HIGH SCHOOL","3","1","1",,,,,"583","195","583",,,,
"2014-15","10X243","10X243 - WEST BRONX ACADEMY FOR THE FUTURE","SECONDARY SCHOOL","4","3","3",,"1",,,"599","150","200",,,,
"2014-15","10X244","10X244 - THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM","JUNIOR HIGH-INTERMEDIATE-MIDDLE","4","4","4",,"1",,,"773","194","194",,,,
"2014-15","10X246","10X246 - P.S. 246 POE CENTER","ELEMENTARY","3","2","2",,,,,"756","252","378",,,,
"2014-15","10X254","10X254 - I.S. 254","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,"1",,,"493","247","493",,,,
"2014-15","10X264","10X264 - BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE)","HIGH SCHOOL","2","0",,,,,,"226","113",,,,,
"2014-15","10X268","10X268 - KINGSBRIDGE INTERNATIONAL HIGH SCHOOL","HIGH SCHOOL","2","1","1",,,,,"461","231","461",,,,
"2014-15","10X279","10X279 - P.S. 279 CAPTAIN MANUEL RIVERA, JR.","K-8","4","3","3",,,,,"1082","271","361",,,,
"2014-15","10X280","10X280 - P.S./M.S. 280 MOSHOLU PARKWAY","K-8","4","3","3",,,,,"878","220","293",,,,
"2014-15","10X284","10X284 - BRONX SCHOOL OF LAW AND FINANCE","HIGH SCHOOL","2.6","1.6","1","0.6",,,,"426","142","213",,,,
"2014-15","10X291","10X291 - P.S. 291","ELEMENTARY","1","1","1",,,,,"695","695","695",,,,
"2014-15","10X306","10X306 - P.S. 306","ELEMENTARY","4","1","1",,"1",,,"756","189","756",,,,
"2014-15","10X307","10X307 - LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOV","ELEMENTARY","2","1","1",,"1",,,"409","205","409",,,,
"2014-15","10X308","10X308 - BRONX DANCE ACADEMY SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"268","268","268",,,,
"2014-15","10X310","10X310 - P.S. 310 MARBLE HILL","ELEMENTARY","3","2","2",,,,,"768","256","384",,,,
"2014-15","10X315","10X315 - P.S. 315 LAB SCHOOL","K-8","0","0",,,,,,"283",,,,,,
"2014-15","10X319","10X319 - PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH","HIGH SCHOOL","0.4","0.4",,"0.4",,,,"227","227","227",,,,
"2014-15","10X331","10X331 - THE BRONX SCHOOL OF YOUNG LEADERS","JUNIOR HIGH-INTERMEDIATE-MIDDLE","3","3","3",,"1",,,"394","132","132",,,,
"2014-15","10X340","10X340 - P.S. 340","ELEMENTARY","0","0",,,,,,"645",,,,,,
"2014-15","10X342","10X342 - INTERNATIONAL SCHOOL FOR LIBERAL ARTS","SECONDARY SCHOOL","4","3","3",,"1",,,"561","141","187",,,,
"2014-15","10X344","10X344 - AMPARK NEIGHBORHOOD","ELEMENTARY","0","0",,,,,,"378",,,,,,
"2014-15","10X351","10X351 - BRONX COLLABORATIVE HIGH SCHOOL","HIGH SCHOOL","1","0",,,,,,"223","223",,,,,
"2014-15","10X353","10X353 - WORLD VIEW HIGH SCHOOL","HIGH SCHOOL","1","0",,,,,,"173","173",,,,,
"2014-15","10X360","10X360 - P.S. 360","ELEMENTARY","1","0",,,,,,"485","485",,,,,
"2014-15","10X363","10X363 - ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE","JUNIOR HIGH-INTERMEDIATE-MIDDLE","4","0",,,,,,"409","103",,,,,
"2014-15","10X368","10X368 - IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368)","SECONDARY SCHOOL","4","4","4",,,,,"1022","256","256",,,,
"2014-15","10X374","10X374 - KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIO","HIGH SCHOOL","1","1","1",,,,,"487","487","487",,,,
"2014-15","10X382","10X382 - ELEMENTARY SCHOOL FOR MATH, SCIENCE, AND TECHNOLOG","ELEMENTARY","2","1","1",,,,,"283","142","283",,,,
"2014-15","10X386","10X386 - SCHOOL FOR ENVIRONMENTAL CITIZENSHIP","ELEMENTARY","1","1","1",,,,,"553","553","553",,,,
"2014-15","10X390","10X390 - M.S. 390","JUNIOR HIGH-INTERMEDIATE-MIDDLE","3","2","2",,,,,"397","133","199",,,,
"2014-15","10X391","10X391 - THE ANGELO PATRI MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","4","2","2",,"2",,,"514","129","257",,,,
"2014-15","10X396","10X396 - P.S. 396","ELEMENTARY","2","1","1",,,,,"373","187","373",,,,
"2014-15","10X397","10X397 - ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPOR","HIGH SCHOOL","3","2","2",,,,,"350","117","175",,,,
"2014-15","10X433","10X433 - HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS","HIGH SCHOOL","3","2","2",,,,,"486","162","243",,,,
"2014-15","10X434","10X434 - BELMONT PREPARATORY HIGH SCHOOL","HIGH SCHOOL","2","2","2",,,,,"416","208","208",,,,
"2014-15","10X437","10X437 - FORDHAM HIGH SCHOOL FOR THE ARTS","HIGH SCHOOL","2","1","1",,,,,"401","201","401",,,,
"2014-15","10X438","10X438 - FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNO","HIGH SCHOOL","5","4","4",,,,,"438","88","110",,,,
