"clientid","resp","qrep","qkey","qcell","sc1","sc2","sc3","sc4","sc4a_1","sc4a_2","sc4c","sc4b","sc4b1","sc4b2","selchild","sc4d","sc4d1","sc5","sc6","sc6a","sc7","mp1","ph1","bc1a","bc1","bc2","bc3","pph1","pph2a","pph2b","pph2c","el1","el3","el4","el7","el8","el9","el10","el11","el12_1","el12_2","el12_3","el12wks","el12mns","el13a","el13b","el13c","el13d","el13e","el14","el15","el16","el17a","el17b","el17c","el17d","el17e","el17f","cp1","cp2","cp3","cp4","cp5","cp6a","cp6b","cp6c","cp7","cp8","cp9","cp10_1","cp10_2","cp10_3","cp10wks","cp10mns","ih1","ih2","ih3","ih4_1","ih4_2","ih4_3","ih4_4","ih4_5","ih5","ih5a_1","ih5a_2","ih5a_3","ih5a_4","bf1_1","bf1_2","bf1_3","bf1_4","bf1_5","bf1wks","bf1mns","bf1a_1","bf1a_2","bf1a_3","bf1a_4","bf1awks","bf1amns","bf2","mh1","mh2","mh3","mh3a","mh4","cc1","sd1_1","sd1_2","sd1wks","sd1mns","sd2","d1","d1yob","d2","fixd2","d3","d4_1","d4_2","d4_3","d4_4","d4_5","d4_6","d5","d6","d7","de1","de2_1","de2_2","de2_3","de2_4","de2_5","de2_6","de3","st1","st2","st3","st4","st5","es1a","es1b","es2","es3","es4","fulladra","qc1","lang","samp_weight","pop_weight","stratum","odate","fdate"
"2315","1518","22","202315","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","3","2","3","1","1","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","99","1","1","1","1","1","1","1","40","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"24","3",,,,,"3","3","5","2",,,"2",,,,,,,"99",,"1","11694","1","1",,,,,,"30","3","2","1","1",,,,,,"30","4","2","3","3","4","4","4","1","77","5",,"1","2","1.0839257210141282","110.48904555616828","2","30-Mar-16","30-Mar-16"
"2320","794","15","202320","1","1","1","2","1",,,,"1",,,,"2","2",,"1","1","1","0","1","8","1","1","2","2","2","2","2","1","3","1","1","9","2","60","4",,,,,,,,,,,,"2","2",,,,,,,"1","1","1","1","2","1","1","2","1","80","1","1",,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"13","3",,,,,"6","7","5","2",,,"1",,,,,,,"1","1983","1","10467","2","3",,,,,,"1",,"6","2","3",,,,,,"45","4","4","4","4","4","4","4","2","12","3","1","1","1","1.175595288167214","119.83330483974284","1","14-Mar-16","14-Mar-16"
"2323","220","10","202323","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","3","3","1","1","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","1","1","2","1","50","2","3",,,,"3","1","1","1",,,,,,"2",,,,,"5",,,,,,,"3",,,,,"7",,"3","2",,,"3",,,,,,,"1","1984","1","10036","1","8",,,,,,"1",,"5","1","8",,,,,,"28","4","4","4","3","4","4","4","1","2","4","1","2","1","1.005294694300098","102.47385879170406","2","26-Feb-16","26-Feb-16"
"2324","825","13","202324","1","1","1","2","1",,,,"1",,,,"2","2",,"1","2","1","1","3","8","1","1","2","1",,,,"1","1","1","1","9","1","12","4",,,,,,,,,,,,"1",,"2","2","2","2","1","2","1","1","1","1","1","1","1","1","1","40","1","3",,,,"2","2","1","1",,,,,,"2",,,,,"4",,,,,,"6","2",,,,"3",,"7","5","2",,,"4","3",,,,,"1","1","1978","1","10314","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","99","3",,"1","1","1.4546067074173683","148.27409632071152","1","15-Mar-16","15-Mar-16"
"2327","381","7","202327","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","3","9","1","2","2","1",,,,"1","2","1","1","7","1","35","3","2",,,"12",,"3","8","0","0","0","1","1",,"1","1","1","1","2","1","1","1","2","1","1","1","1","1","2","0",,,,,,,"2","1","1",,,,,,"2",,,,,"4",,,,,,"5","1",,,,,,"1","4","2",,,"2","2",,,,,"1","1","1979","1","11355","2","3",,,,,,"21","3","4","2","3",,,,,,"21","4","4","4","4","4","4","4","2","6","4",,"2","1","1.5662283142426261","159.65214978181939","1","1-Mar-16","1-Mar-16"
"2331","881","18","202331","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","2","1","1","1","6","1",,,,"1","3","1","2","5","1","40","2","3",,,,"5",,,,,,"1","1",,"1","2","1","2","2","2","1","1","1","1","3","1","5","2","1","50","4",,,,,,"1","1","1",,,,,,"2",,,,,"5",,,,,,,"77",,,,,,,"5","2",,,"2","6","2",,,"7","2","1","1978","1","11220","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","12","3","1","2","1","0.65532934698577328","66.800439061138704","1","16-Mar-16","16-Mar-16"
"2332","91","5","202332","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","4","9","1","2","3","1",,,,"1","1","1","1","9","1","30","2","2",,,"8",,,,,,,"1","1",,"1","2","2","1","1","1","1","1","1","1","1","1","1","5","1","40","4",,,,,,"1","1","1",,,,,,"2",,,,,"1",,,,,,,,,,,,,,"5","2",,,"4","2",,,,,"1","1","1985","1","10463","1","2",,,,,,"1",,"6","1","1",,,,,,"1","4","4","4","4","4","4","4","2","12","5","1","2","1","0.26813181405530445","27.331788187936564","1","25-Feb-16","25-Feb-16"
"2340","1541","19","202340","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","2","3","4","1","2","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","2","1","2","2","40","4",,,,,,"3","1","1",,,,,,"2",,,,,"4",,,,,,"12","3",,,,,"3","3","5","2",,,"3",,,,,,,"1","1981","1","11369","1","8",,,,,,"28","3","5","1","8",,,,,,"28","4","4","4","77","4","2","4","2","77","5","1","1","2","1.0839257210141282","110.48904555616828","2","2-Apr-16","2-Apr-16"
"2349","996","20","202349","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","1","1","1","1","3","1",,,,"1","2","1","2","1","1","20","3","2",,,"6",,"0","77","0","0","0","2","1",,"1","1","1","1","1","2","1","1","1","1","3","2","77","3","1","30","4",,,,,,"1","1","1",,,,,,"2",,,,,"1",,,,,,,,,,,,,,"5","2",,,"1","2",,,,,"1","1","1989","1","11204","2","3",,,,,,"21","2","5","2","3",,,,,,"83","4","4","4","4","4","2","4","2","2","3","1","1","1","1.0598919874253978","108.03918738425814","1","18-Mar-16","18-Mar-16"
"2352","777","15","202352","0","1",,,"1",,,,"1",,,,"1","2",,"1","2","1","8","1","4","1","1","2","1",,,,"1","2","1","2","6","1","30","3","2",,,"12",,"0","0","6","6","0","2","1",,"1","1","2","2","77","1","1","1","1","1","1","3","3","3","1","777",,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"15","3",,,,,"6","7","5","2",,,"1","4",,,,,"1","1","1971","1","11230","2","1",,,,,,"1",,"5","2","1",,,,,,"1","4","4","4","4","4","4","4","2","99","11","1","2","1","0.64444354687052607","65.690804294170007","1","13-Mar-16","13-Mar-16"
"2355","1320","22","202355","1","1","1","2","1",,,,"1",,,,"2","1",,"1","2","1","0","1","9","1","1","3","1",,,,"1","2","1","1","9","1","50","3","3",,,,"3","1","2","2","7","0","1","1",,"2","1","2","1","2","1","1","1","1","1","2","4","5","3","1","40","1","2",,,"2",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"7","2",,,,"1",,"5","5","2",,,"1","5",,,,,"1","99",,"1","11101","2","3",,,,,,"1",,"4","2","1",,,,,,"1","4","4","4","4","4","4","4","2","12","3","1","1","1","1.3530603116901234","137.92305092520698","1","24-Mar-16","24-Mar-16"
"2369","628","11","202369","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","1","8","1","1","2","1",,,,"1","2","1","2","5","1","40","1","3",,,,"5","0","0","12","8","0","2","1",,"2","2","2","2","1","2","1","1","1","1","3","2","2","2","1","50","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"5","1",,,,,,"5","4","2",,,"1","5",,,,,"3","1","1986","1","10463","1","8",,,,,,"82","1","6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","11","4","1","2","1","0.55639785479225645","56.715941631109821","1","8-Mar-16","8-Mar-16"
"2380","1383","25","202380","1","1","1","2","1",,,,"1",,,,"2","2",,"1","2","1","1","3","1","1","1","2","1",,,,"1","2","1","1","7","2","25","4",,,,,,,,,,,,"4",,"77","2","2","2","1","1","2",,,,,,,,,,,,,,,,"1","1","1",,,,,,"1","5",,,,"3",,,,,"1",,"3",,,,,"6","1","2","2",,,"4","6","2",,,"8","1","1","1987","1","10460","2","2",,,,,,"1",,"6",,,,,,,,,"4","4","4","4","2","2","4","1","1","3","1","2","1","1.7229431150613141","175.62673958192261","2","25-Mar-16","25-Mar-16"
"2383","815","15","202383","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","1","2","1","2","2","1",,,,"1","2","1","1","9","1","60","3","2",,,"6",,"0","6","0","0","0","1","1",,"2","2","2","2","2","2","1","1","1","1","1","1","1","2","2","60","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"12","3",,,,,"4","3","5","2",,,"3","1",,,,,"1","1","1983","1","11201","2","3",,,,,,"1",,"6","2","1",,,,,,"33","4","1","4","4","4","4","4","2","99","4",,"2","1","0.93256597572745692","95.060318782619291","1","15-Mar-16","15-Mar-16"
"2386","1417","25","202386","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","2","3","12","1","1","3","1",,,,"1","1","1","2","77","2","30","2","3",,,,"3",,,,,,"1","4",,"1","1","2","1","1","2","1","1","2","1","1","1","1","2","2","666",,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"9","3",,,,,"6","3","5","2",,,"1","2",,,,,"1","1","1982","1","10034","1","8",,,,,,"26","2","4","1","8",,,,,,"26","4","4","4","2","2","2","3","1","1","3","1","1","2","0.2681273283160866","27.331330937928389","1","25-Mar-16","25-Mar-16"
"2387","96","6","202387","1","1","1","2","1",,,,"1",,,,"2","1",,"1","1","1","1","1","12","1","2","3","1",,,,"1","2","1","2","1","2","30","2","3",,,,"2",,,,,,"1","1",,"2","1","2","2","1","1","2",,,,,,,,,,,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"6","3",,,,,"8","1","5","2",,,"1","5",,,,,"1","1","1983","1","10458","1","1",,,,,,"42","3","2",,,,,,,,,"4","4","4","4","4","3","3","2","1","3","1","1","2","0.79168576104171839","80.699814038980634","1","25-Feb-16","25-Feb-16"
"2393","1493","23","202393","1","1","1","2","1",,,,"1",,,,"1","1",,"1","1","1","0","2","7","1","2","3","1",,,,"1","3","1","1","8","1","35","1","3",,,,"3","12","0","0","0","0","1","1",,"1","1","2","1","2","1","1","1","1","1","3","3","3","3","2","20","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"1","1",,,,,,"1","5","2",,,"2","6","2",,,"3","2","1","1986","1","11435","2","2",,,,,,"1",,"6","2","2",,,,,,"1","4","4","4","1","4","4","4","2","8","3","1","2","1","0.84135246489635684","85.762547211956388","1","29-Mar-16","29-Mar-16"
"2394","741","11","202394","1","1","1","2","1",,,,"1",,,,"2","1",,"1","2","1","1","3","11","1","2","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","3","5","5","6","2","55","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"5","1",,,,,,"1","5","2",,,"3",,,,,,,"1","1979","1","11220","1","8",,,,,,"56","3","3","1","8",,,,,,"56","4","4","4","4","4","4","4","2","77","3",,"2","2","1.6940194910522843","172.67843459309626","2","12-Mar-16","12-Mar-16"
"2402","248","10","202402","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","2","3","1","1","5","1",,,,"1","1","1","1","9","1","40","2","2",,,"12",,,,,,,"1","1",,"2","2","1","2","2","1","1","1","1","1","2","1","2","3","1","65","2","2",,,"2",,"3","1","1",,,,,,"2",,,,,"4",,,,,,"9","3",,,,,"13","2","5","2",,,"2","6","2",,,"18","1","1","1979","1","11231","2","1",,,,,,"17","3","6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","12","4","1","2","1","0.59062191252180885","60.204541818638866","1","26-Feb-16","26-Feb-16"
"2570","169","9","202570","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","2","2","1","1","2","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","2","3","1","1","1","40","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"2","3",,,,,"6","3","5","2",,,"3",,,,,,,"1","1983","1","11385","2","1",,,,,,"64","3","6","2","1",,,,,,"64","4","4","4","4","4","4","4","1","77","3","1","2","1","0.63327117457996995","64.551958036488443","1","25-Feb-16","25-Feb-16"
"2575","817","12","202575","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","2","9","1","1","2","1",,,,"1","4","1","2","1","2","15","2","2",,,"6",,,,,,,"1","1",,"1","2","1","2","2","2","1","1","1","1","3","3","3","2","1","75","4",,,,,,"1","1","1",,,,,,"2",,,,,"5",,,,,,,"3",,,,,"5",,"5","2",,,"5","1",,,,,"1","1","1983","1","10024","2","1",,,,,,"1",,"6","2","1",,,,,,"34","4","4","4","4","4","4","4","2","77","3","1","2","1","0.72095803537312164","73.490243537996193","1","15-Mar-16","17-Mar-16"
"2406","920","6","202406","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","1","7","1","1","2","1",,,,"1","2","1","1","7","1","40","3","3",,,,"3","4","4","3","2","0","1","1",,"1","1","2","1","2","2","1","1","1","2","1","5","2","4","1","40","1","2",,,"1",,"1","1","1",,,,,,"2",,,,,"5",,,,,,,"3",,,,,"4",,"5","2",,,"2","2",,,,,"1","1","1992","1","11212","2","2",,,,,,"76","3","5","2","2",,,,,,"1","4","4","4","3","1","4","4","2","3","3","1","2","1","0.64035931199904683","65.274481289716562","1","17-Mar-16","17-Mar-16"
"2425","1210","23","202425","1","1","1","2","1",,,,"1",,,,"1","1",,"1","1","1","0","3","4","1","1","2","1",,,,"1","4","1","2","1","1","40","2","3",,,,"3",,,,,,"1","1",,"1","1","2","2","1","1","1","1","1","1","1","1","1","2","1","40","1","3",,,,"1","1","1","1",,,,,,"2",,,,,"4",,,,,,"12","3",,,,,"8","3","5","2",,,"1","5",,,,,"1","1","1981","1","11435","1","8",,,,,,"28","3","2","1","8",,,,,,"28","4","4","4","4","4","3","4","2","3","4",,"1","2","0.34894021479301846","35.568923719766993","1","22-Mar-16","22-Mar-16"
"2426","873","18","202426","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","3","3","10","1","1","2","1",,,,"1","4","1","2","1","1","28","2","3",,,,"8",,,,,,"2","1",,"1","2","1","2","1","2","2",,,,,,,,,,,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"15","3",,,,,"6","2","2","1","2",,"3","7",,,,,"1","1","1982","1","10305","2","5",,,,,,"1",,"5",,,,,,,,,"4","4","4","3","3","3","3","1","3","4","1","2","1","1.3447650457195892","137.07748005079191","1","16-Mar-16","29-Mar-16"
"2431","1203","21","202431","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","4","12","1","1","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","3","1","1","2","35","2","2",,,"3",,"2","1","1",,,,,,"2",,,,,"4",,,,,,"3","3",,,,,"3","7","5","2",,,"1",,,,,,,"1","1986","1","11372","1","1",,,,,,"65","3","5","1","1",,,,,,"28","4","4","4","4","4","3","3","2","4","3","1","2","2","1.5790848025649489","160.96266497340315","2","22-Mar-16","22-Mar-16"
"2435","403","10","202435","0","1",,,"1",,,,"1",,,,"1","2",,"1","1","1","0","1","6","1","1","2","1",,,,"1","2","1","1","8","1","19","2","2",,,"6",,,,,,,"1","1",,"1","1","2","2","2","2","1","1","2","1","2","3","3","3","2","0",,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"9","3",,,,,"7","4","5","2",,,"1","5",,,,,"1","99",,"1","11219","2","1",,,,,,"1",,"4","2","1",,,,,,"1","4","4","4","4","4","3","4","1","1","4","1","2","1","0.53133222941839331","54.160898448597763","1","1-Mar-16","1-Mar-16"
"2439","865","17","202439","0","1",,,"1",,,,"1",,,,"1","1",,"1","2","1","4","1","5","1","1","2","1",,,,"1","1","1","1","9","1","30","1","2",,,"6",,"6","0","0","0","0","1","1",,"1","1","1","1","2","1","1","1","1","1","2","2","6","3","2","777",,,,,,,"1","1","2","4",,,,,"2",,,,,"5",,,,,,,"3",,,,,"6",,"5","2",,,"1","3",,,,,"1","1","1981","1","11218","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","11","7","1","2","1","0.58144382895642066","59.268981684291539","1","16-Mar-16","16-Mar-16"
"2440","1006","20","202440","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","1","5","1","1","3","1",,,,"1","3","1","1","6","1","65","1","2",,,"6",,"6","2","2","0","0","2","1",,"2","1","2","2","1","2","1","1","1","1","1","1","1","2","1","50","1","2",,,"2",,"1","1","2","6",,,,,"2",,,,,"2",,,,,,,"3",,,,,"4","1","4","2",,,"1","1",,,,,"1","1","1982","1","10305","1","1",,,,,,"1",,"6","1","1",,,,,,"1","4","4","4","4","4","4","4","2","12","3","1","2","1","0.58318365678381301","59.446329552649892","1","18-Mar-16","22-Mar-16"
"2443","1030","6","202443","0","1",,,"1",,,,"1",,,,"1","2",,"1","2","1","1","2","5","1","1","2","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","2","1","6","3","1","60","2","2",,,"6",,"2","1","1",,,,,,"2",,,,,"5",,,,,,,"3",,,,,"5",,"5","2",,,"3",,,,,,,"1","1989","1","11417","2","3",,,,,,"11","2","4","2","3",,,,,,"11","4","4","4","4","4","4","2","1","3","4","1","2","1","3.2992486565852053","336.30610294726858","2","19-Mar-16","19-Mar-16"
"2444","1093","16","202444","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","3","9","1","1","2","1",,,,"1","2","1","1","7","1","40","3","2",,,"10",,"4","6","0","0","0","1","1",,"1","1","2","1","2","2","1","1","1","1","3","2","2","3","1","50","4",,,,,,"3","1","1",,,,,,"2",,,,,"4",,,,,,"3","3",,,,,"5","2","3","2",,,"2","6","1",,"10",,"2","1","1984","1","10463","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","12","3","1","2","1","1.175595288167214","119.83330483974284","1","21-Mar-16","21-Mar-16"
"2452","280","1","202452","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","3","11","1","1","3","77","2","2","2","1","2","1","1","9","1","40","2","3",,,,"6",,,,,,"2","1",,"1","1","2","1","1","1","1","1","1","1","1","1","2","1","77","40","2","1",,,,,"1","1","1",,,,,,"2",,,,,"3",,,,,"3",,"3",,,,,"1","7","4","1","2",,"2","2",,,,,"1","1","1988","1","10461","2","1",,,,,,"49","3","6","1","8",,,,,,"1","4","4","4","2","4","4","4","1","11","4","1","2","1","1.0463803655337911","106.66189171004652","1","27-Feb-16","27-Feb-16"
"2455","564","12","202455","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","1","8","1","2","3","1",,,,"1","2","1","1","1","1","38","1","2",,,"6",,"6","0","6","6","0","2","1",,"1","1","1","1","1","2","1","1","2","2","2","4","4","5","1","40","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"3","3",,,,,"5","4","5","2",,,"3","2",,,,,"1","1","1984","1","11413","1","8",,,,,,"26","2","4","1","8",,,,,,"26","4","4","4","2","4","2","4","2","2","3","1","1","2","0.45562191524130102","46.443432029996622","1","8-Mar-16","8-Mar-16"
"2457","300","5","202457","1","1","1","2","1",,,,"1",,,,"1","2",,"1","1","1","0","3","2","1","1","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","1","2","1","1","40","1","2",,,"2",,"1","1","1",,,,,,"2",,,,,"3",,,,,"2",,"3",,,,,"6","5","3","2",,,"3",,,,,,,"1","1981","1","10456","1","4",,,,,,"1",,"4","1","4",,,,,,"1","4","4","4","4","4","2","2","1","5","3","1","2","1","2.4669729648697203","251.46878888186583","2","28-Feb-16","28-Feb-16"
"2632","1250","25","202632","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","2","1","7","1","2","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","2","1","5","1","3","1","1","15","2","77",,,,,"2","77","1","2",,,,,"2",,,,,"4",,,,,,"9","3",,,,,"9","5","3","1","77",,"1",,,,,,,"1","1984","1","11372","1","8",,,,,,"28","3","4","1","8",,,,,,"28","4","4","4","4","4","2","4","1","3","5","1","1","1","0.41063832471745643","41.858068027360957","1","23-Mar-16","23-Mar-16"
"2458","1219","21","202458","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","2","8","1","2","3","1",,,,"1","2","1","2","77","1","27","1","2",,,"8",,"0","77","8","0","0","2","1",,"2","2","2","2","1","2","1","1","1","1","2","4","3","5","2","0",,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"6","1",,,,,,"1","5","2",,,"2","6","2",,,"9","1","1","1992","1","08701","2","1",,,,,,"1",,"4","2","1",,,,,,"48","4","4","4","4","4","3","4","2","5","4",,"2","1","0.53133222941839331","54.160898448597763","1","23-Mar-16","23-Mar-16"
"2468","187","2","202468","0","1",,,"1",,,,"1",,,,"1","2",,"1","2","1","5","1","2","1","1","2","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","5","6","3","1","40","4",,,,,,"1","1","2","5",,,,,"2",,,,,"4",,,,,,"10","3",,,,,"6","3","5","2",,,"2",,,,,,,"1","1980","1","11219","2","1",,,,,,"1",,"4","2","1",,,,,,"1","4","4","4","4","4","4","4","2","5","8","1","1","1","0.57179558555281196","58.285496207112409","1","25-Feb-16","25-Feb-16"
"2469","690","1","202469","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","2","5","1","2","3","1",,,,"1","2","2","1","9","1","40","1","2",,,"12",,"4","8","8","0","0","1","1",,"2","2","2","2","1","2","1","1","2","1","1","1","1","2","77","777",,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"9","3",,,,,"6","3","5","2",,,"2","5",,,,,"1","1","1972","1","10029","2","3",,,,,,"21","3","6","2","2",,,,,,"50","4","4","4","4","4","4","4","2","12","3","1","2","1","2.2906483009016116","233.4952843767592","1","10-Mar-16","10-Mar-16"
"2470","216","9","202470","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","3","8","1","1","2","2","2","1","2","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,"2","1","1",,,,,,"2",,,,,"4",,,,,,"1","2",,,,"3",,"7","4","2",,,"3",,,,,,,"99",,"1","08873","2","3",,,,,,"60","3","5",,,,,,,,,"4","4","4","4","4","4","77","2","6","4","1","2","1","3.6530373283160862","372.36924999719463","2","26-Feb-16","26-Feb-16"
"2471","34","3","202471","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","4","3","1","1","2","1",,,,"1","2","1","1","9","1","35","2","3",,,,"5",,,,,,"1","4",,"1","1","2","1","2","2","1","1","1","2","2","3","3","3","1","40","4",,,,,,"3","1","1",,,,,,"2",,,,,"4",,,,,,"7","3",,,,,"7","5","5","2",,,"3","6","2",,,"8","2","1","1992","1","10462","1","8",,,,,,"56","3","5","1","8",,,,,,"1","4","4","4","3","3","4","4","2","2","2","1","2","1","0.53081691000369857","54.108369802785298","1","24-Feb-16","24-Feb-16"
"2478","361","5","202478","0","1",,,"1",,,,"1",,,,"1","1",,"1","2","1","0","3","12","1","2","3","1",,,,"1","2","1","1","9","1","40","3","3",,,,"3","1","10","10","1","0","1","1",,"1","1","2","2","2","2","1","1","1","1","1","1","77","3","1","40","2","2",,,"2",,"1","1","1",,,,,,"2",,,,,"3",,,,,"15",,"2",,,,"2",,"3","5","2",,,"3","2",,,,,"1","1","1976","1","11364","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","2","4","4","4","2","12","3",,"2","1","0.63902561679499437","65.138532204551638","1","29-Feb-16","29-Feb-16"
"2479","1039","18","202479","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","1","2","1","1","3","1",,,,"1","2","1","1","77","1","35","1","2",,,"6",,"0","0","6","0","0","1","1",,"1","2","2","2","2","1","1","1","1","1","1","1","1","1","1","35","4",,,,,,"4","1","1",,,,,,"2",,,,,"4",,,,,,"3","1",,,,,,"1","5","2",,,"2","5",,,,,"1","1","1990","1","11239","2","2",,,,,,"1",,"4","2","2",,,,,,"1","4","4","2","4","4","4","3","2","8","4","1","2","1","0.73321722620737451","74.739873718651253","1","19-Mar-16","19-Mar-16"
"2497","83","5","202497","1","1","1","2","1",,,,"2","2","1","1","1","1",,"1","2","1","1","2","10","2","2","3","1",,,,"1","2","1","1","7","1","40","3","3",,,,"6","4","0","6","14","0","1","1",,"1","1","1","1","1","1","1","1","1","1","2","3","1","3","1","40","4",,,,,,"3","1","1",,,,,,"2",,,,,"4",,,,,,"3","1",,,,,,"5","4","2",,,"4","2",,,,,"1","99",,"1","11364","2","3",,,,,,"21","3","6","2","3",,,,,,"21","4","4","4","1","4","4","4","2","12","5","1","2","1","1.167245406416207","118.9821667522432","1","25-Feb-16","25-Feb-16"
"2502","919","6","202502","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","2","7","1","1","2","1",,,,"1","2","1","1","7","1","30","1","2",,,"8",,"1","5","5","77","77","1","1",,"1","2","2","2","2","2","2",,,,,,,,,,,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"1","3",,,,,"3","1","5","2",,,"2","1",,,,,"1","1","1988","1","11203","2","2",,,,,,"1",,"4",,,,,,,,,"4","4","4","4","4","4","4","2","3","2",,"99","1","0.78921340810152429","80.447796846894434","1","17-Mar-16","17-Mar-16"
"2506","827","15","202506","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","1","2","1","1","2","1",,,,"1","2","1","1","8","1","40","1","2",,,"14",,"0","0","10","0","0","1","1",,"1","1","2","2","2","1","1","1","1","1","2","1","1","2","1","40","1","2",,,"8",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"6","3",,,,,"5","5","5","2",,,"3","6","2",,,"5","2","1","1980","1","11201","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","12","3","1","1","1","0.58144382895642066","59.268981684291539","1","15-Mar-16","15-Mar-16"
"2508","49","3","202508","1","1","1","2","1",,,,"1",,,,"2","2",,"1","2","1","0","1","9","1","1","2","1",,,,"1","2","1","1","9","1","50","2","3",,,,"4",,,,,,"1","1",,"1","2","1","2","2","2","1","1","1","1","2","2","3","3","1","60","1","3",,,,"3","1","1","1",,,,,,"2",,,,,"4",,,,,,"13","3",,,,,"7","4","5","2",,,"1","6","2",,,"14","1","99",,"1","11215","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","12","3",,"2","1","0.65532934698577328","66.800439061138704","1","24-Feb-16","24-Feb-16"
