"the_geom","objectid","borough","school_nam","on_street","from_stree","to_street","open_date","nhoodname","segmentid","shape_leng","shape_stle"
"MULTILINESTRING ((-73.95010897097858 40.801298697910674, -73.95018637532505 40.8013317076634, -73.95025354433292 40.80136050671599))","210","Manhattan","Sisulu-Walker Charter School of Harlem","WEST 115 STREET","Lenox Ave","St Nicholas Ave",,"Harlem","0166475","0.00869824","45.9263878103"
"MULTILINESTRING ((-73.89721569241887 40.82014352643641, -73.89716515771634 40.82014397935364, -73.89706187333701 40.82017600971845))","211","Bronx","Success Academy Bronx Middle School","DAWSON STREET","Intervale Ave","Longwood Ave",,"Longwood","0316521","0.00849727","44.8653700634"
"MULTILINESTRING ((-73.95452653918696 40.78403807809141, -73.95441476826647 40.78399051266711, -73.954310226448 40.78394661864355))","212","Manhattan","The Brick Church School","EAST 92 STREET","Park Ave","Madison Ave",,"Upper East Side","0166072","0.01298263","68.5481328137"
"MULTILINESTRING ((-73.99254732259726 40.70330832549147, -73.99257250228857 40.702781005456764, -73.99250662520782 40.70261186706501))","213","Brooklyn","13k313","DOCK STREET","Front St","Water St","2020-09-19T00:00:00.000","Dumbo","0162662","0.04858286","256.51755161"
"MULTILINESTRING ((-73.95335894868994 40.801862635584, -73.95347658419783 40.80191662301145, -73.95355038977107 40.801947728995714))","214","Manhattan","Success Academy Harlem West","WEST 114 STREET","Frederick Douglass Blvd","Adam Clayton Powell Blvd",,"Harlem","0166426","0.01163128","61.4130197606"
"MULTILINESTRING ((-73.83498110664448 40.70709725641024, -73.8349109062515 40.707237589829276, -73.83482412099099 40.70737311678263, -73.83472178592406 40.707502044897836, -73.83472169214932 40.70750216182984, -73.83472158419674 40.7075022697364, -73.83460494167116 40.70762321396751, -73.83452428275979 40.70770961931518, -73.83452417598996 40.70770972722323, -73.83452404557762 40.70770982519167, -73.83442720527583 40.70778858886995, -73.83442712225995 40.70778866169207, -73.83442702745975 40.70778871468599, -73.83431583401583 40.70785746283263, -73.83419334593967 40.70791400976489, -73.83419323932571 40.707914054636966, -73.83419312090284 40.70791408958639, -73.83406308126438 40.70795698363434, -73.83406290362873 40.70795703650855, -73.83406272603344 40.70795707317354, -73.8339286626059 40.70798579530276))","215","Queens","Yeshiva Tiferes Moshe","83 AVENUE","Abingdon Rd","Metropolitan Ave","2020-09-19T00:00:00.000","Kew Gardens","0115798","0.08614938","454.868819318"
"MULTILINESTRING ((-73.80012341982196 40.676129398848225, -73.7998968269814 40.674912802499556, -73.79982476459779 40.67484878454512))","216","Queens","Success Academy South Jamaica","141 STREET","120 Ave","123 Ave",,"South Jamaica","0112819","0.0906046","478.392342275"
"MULTILINESTRING ((-73.97665641851698 40.65691179196443, -73.97645294727127 40.6568133122922, -73.97585622627928 40.656524494583586))","217","Brooklyn","15k154","SHERMAN STREET","11 Ave","Terrace Pl","2020-09-19T00:00:00.000","Windsor Terrace","0252716","0.04982313","263.066322741"
"MULTILINESTRING ((-73.97001365856917 40.7972571014696, -73.97079571311 40.79758667079375, -73.971338636348 40.79781546101346))","218","Manhattan","Yaldaynu Center and Inc.","WEST 100 STREET","Broadway","West End Ave","2020-09-19T00:00:00.000","Upper West Side","0294475","0.07944738","419.48198319"
"MULTILINESTRING ((-73.89715712101504 40.75245696938293, -73.89705145256377 40.7525012159201, -73.8961980462651 40.752593130142756))","219","Queens","Hector Figueroa School","34 AVENUE","69 St","70 St","2020-09-19T00:00:00.000","Jackson Heights","0152516","0.05155834","272.227799853"
"MULTILINESTRING ((-73.94864092480482 40.80329401730505, -73.94872784385683 40.80333075132482, -73.94878729062266 40.803355748582476))","220","Manhattan","Success Academy Harlem 1","WEST 118 STREET","5th Ave","Lenox Ave",,"Harlem","0166529","0.00877741","46.3447581923"
