"complaint_inquiry_number","license_type","account_name","bic_number","date_complaint_inquiry","industry_type","account_status","source_of_complaint_inquiry","complaint_inquiry_disposition","complaint_inquiry_status","total_response_time","complaint_or_inquiry","nature_of_complaint_inquiry","complaint_inquiry_street","complaint_inquiry_city","complaint_inquiry_state","complaint_inquiry_zip","complaint_inquiry_borough","account_focus_of_complaint","account_address","account_city","account_state","account_zip","account_phone","vehicle_make","vehicle_model","vehicle_type","vehicle_year","vehicle_color","contacted_complainant","unable_to_contact_complainant","method_used_to_contact","export_date","borough","latitude","longitide","community_board","council_district","census_tract","bin","bbl","nta"
"2009-00970",,,,,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","2460 Lodovick Ave.","nyc","NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01956",,,,,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","149-57 Weller Lane","nyc","NY",,"Queens","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00321",,,"TWC-255",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Quality of Life-Noise - Trade Waste","64 St (betw 5 and Mad)","nyc","NY",,"NYC","CLASSIC DEMOLITION CO.,  INC.","409 RIVER ROAD SUITE #1","CLIFTON","RENEWAL APPROVED",,"(973) 777-0600",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00697",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-195569",,,,"2020-07-30T00:00:00.000","Trade Waste",,"REFERRED BY OTHER AGENCY","Resolved","Closed","0.0","Complaint","Service - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2009-00772",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred back to 311","Closed",,"Inquiry","Quality of Life-Spillage - Trade Waste",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00221",,"CROWN CONTAINER TRANSFER STATION CO., INC.","TWC-307",,"Trade Waste",,"MAIL","Unsubstantiated","Closed",,"Inquiry","Contracts - Trade Waste",,,,,,"CROWN CONTAINER CO. INC.","75 AMBY AVENUE","PLAINVIEW","RENEWAL APPROVED","11237-","(718) 527-1414",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-193848",,,,"2018-01-24T00:00:00.000","Trade Waste",,"PHONE - 6300","Referred to Another Agency","Closed","0.0","Inquiry","Other - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2012-01269",,,,,"Trade Waste",,"SELF-INITATED",,,,"Inquiry","Hurricane Cleanup","91-15 Rockaway Beach Blvd","Rockaway","NY","11694","Queens",,,,,"11694",,,,,,,"False","False",,"2023-08-25","QUEENS","40.586691","-73.814835","14","32","94203","4303621","4161340023","Hammels-Arverne-Edgemere"
"2008-00722",,,"TWC-NaN",,"Trade Waste",,"WEB-MAIL","Referred to Another Agency","Closed",,"Complaint","Misinformation - All","410 Graham Ave.",,"NY",,"Brooklyn","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-01080",,,"TWC-NaN",,"Trade Waste",,"WEB-MAIL","Resolved","Closed",,"Complaint","Other - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-195550",,,,"2020-07-21T00:00:00.000","Trade Waste",,"WEB-MAIL","Resolved","Closed","0.0","Inquiry","Licensing - All",,,,,,,,,,,,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"2009-00525",,,"TWC-NaN",,"Trade Waste",,"PHONE - OTHER","Referred To BIC Legal","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-192922","Trade Waste","BIO ENERGY DEVELOPMENT, INC.","BIC-3525","2016-05-31T00:00:00.000","Trade Waste","Active","PHONE - 6300","Unsubstantiated","Closed","0.0","Complaint","Waste Oil - Trade Waste","7303 3rd Avenue","Brooklyn","NY","11209","Brooklyn","BIO ENERGY DEVELOPMENT, INC.","9 DIANAS CIRCLE","ROSLYN","NY","11576-",,,,,,,"True","False","Phone Call","2023-08-25","BROOKLYN","40.632722","-74.027266","10","43","66","3147848","3059180009","Bay Ridge"
"2008-01767",,,"TWC-0",,"Trade Waste",,"MAIL","Violation Written","Closed",,"Inquiry","Unlicensed Carter - Trade Waste","1545 Mickle Ave.",,"NY",,"Bronx",,,,"UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00813",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","FOIL - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-195959","Trade Waste","MR. CALLE TRUCKING CORP.",,"2021-05-18T00:00:00.000","Trade Waste","Active","WEB-MAIL","Referred To Licensing","Closed","0.0","Complaint","Licensing - All",,,,,,"Mr. Calle Trucking Corp","112 2nd Avenue Apt 1","Newark","NJ","07104",,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"COMP-191723","Trade Waste","CROWN WASTE CORP","BIC-311","2015-03-10T00:00:00.000","Trade Waste","Active","MAIL",,"Closed",,"Complaint","Containers-Theft - Trade Waste;Other - All;Cardboard-Theft - Trade Waste",,,,,,"CROWN WASTE CORP","P.O. BOX 1133","BETHPAGE","NY","11714-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00587",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-193430","Trade Waste","DANELLA CONSTRUCTION OF NY, INC.","BIC-1993 / BIC-3156 / BIC-4098","2017-04-19T00:00:00.000","Trade Waste","Active","PHONE - 6300","Unsubstantiated","Closed","5.0","Complaint","Other - All","400 Tiffany Street","Bronx","NY","10474","Bronx","DANELLA CONSTRUCTION OF NY, INC.","80 BUSINESS DRIVE SUITE 200","ARMONK","NY","10504-",,,,,,,"False","True",,"2023-08-25","BRONX","40.80818","-73.88964","2","17","93","2094477","2027710138","Hunts Point"
"2013-00804",,,"TWC-NaN",,"Trade Waste",,"WEB-MAIL","Resolved","Closed",,"Complaint","Quality of Life-Noise - Trade Waste",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-00464",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Referred To Licensing","Closed",,"Inquiry","Information - All;Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01449",,,"TWC-NaN",,"Trade Waste",,"WEB-MAIL","Referred back to 311","Closed",,"Complaint","Misinformation - All",,,,,,"N/A",,,,"10022-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-01003",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Referred to Another Agency","Closed",,"Inquiry","Other - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-00114",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","Corner of India street and Mcguinness Blvd.","Greenpoint","NY",,"Brooklyn","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-01033",,,"TWC-0",,"Trade Waste",,"EMAIL","Referred To BIC Intel","Closed",,"Complaint","Unlicensed Carter - Trade Waste;Waste Oil - Trade Waste","108 Wykoff Ave.","Brooklyn","NY","11237-","Brooklyn",,,,"UNLICENSED","07950-",,,,,,,"False","False",,"2023-08-25","BROOKLYN","40.704008","-73.918767","4","37","445","3073919","3032480036","Bushwick North"
"2010-01252",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry",,,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-02081",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Quality of Life-Spillage - Trade Waste",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196518",,"UNITED TRASH REMOVAL LIMITED LIABILITY COMPANY","BIC-506037","2022-06-16T00:00:00.000","Trade Waste","Active","PHONE - OTHER","Resolved","Closed","0.0","Complaint","Other - All",,,,,,"UNITED TRASH REMOVAL LIMITED LIABILITY COMPANY","729 ALLEN STREET APT 2","ELIZABETH","NJ","07202",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"INQ-192861",,,,"2016-04-25T00:00:00.000","Trade Waste",,"PHONE - 6300","Referred To Licensing","Closed","0.0","Inquiry","Licensing - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2009-00662",,,"TWC-0",,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","161-10 32 Ave","NYC","NY",,,,"173-08 47 Ave","NYC","UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-00916",,,"TWC-NaN",,"Trade Waste",,"PHONE","Insufficient Information","Closed",,"Inquiry","Quality of Life-Noise - Trade Waste","50 Pine St.","NY","NY","10005-","NYC","N/A",,,,,,,,,,,"False","False",,"2023-08-25","MANHATTAN","40.706732","-74.00862","1","1","7","1001011","1000417501","Battery Park City-Lower Manhattan"
"2008-01858",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred back to 311","Closed",,"Inquiry","Illegal Dumping - Trade Waste","75 Clinton St.","NYC","NY",,"Staten Island","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-01189",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Unable to Contact Complainant","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00665",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Licensing - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196606","Trade Waste","MIDDLE EAST MANAGEMENT CORP","BIC-3356","2022-08-11T00:00:00.000","Trade Waste","Active","WEB-MAIL","Resolved","Closed","0.0","Complaint","Unsafe Driving - Trade Waste",,"Brooklyn","Ne",,"Brooklyn","MIDDLE EAST MANAGEMENT CORP","4822 3RD AVENUE","BROOKLYN","NY","11220-",,,,,,,"True","False","E-Mail","2023-08-25",,,,,,,,,
"2009-00817",,,,,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","909 Richmond Road","nyc","NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00341",,"MYBEM CORP.","TWC-3021",,"Trade Waste",,"PHONE - 6300","Referred To BIC Legal","Closed",,"Inquiry","Information - All",,,,,,"MYBEM CORPORATION","184 DIVISION AVENUE","BROOKLYN","RENEWAL PENDING",,"(718) 384-4846",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00609",,"LIBERTY ASHES INC.","TWC-112",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Complaint","Rates-Overcharge - Trade Waste","22-47 Utica Ave.",,"NY","11234","Brooklyn","LIBERTY ASHES INC.","112 PHYLIS COURT","ELMONT","RENEWAL APPROVED",,"(516) 354-6583",,,,,,"False","False",,"2023-08-25","BROOKLYN","40.617141","-73.926675","18","46","682","3220953","3078950006","Flatlands"
"INQ-195410","Trade Waste;Transfer Station","TULLY ENVIRONMENTAL INC.","BIC-1272 / TS-14 / TS-183","2020-04-07T00:00:00.000","Trade Waste","Active","PHONE - 6300","Resolved","Closed","0.0","Inquiry","Billing - All","108-02B Northern Blvd","Queens","NY",,"Queens","TULLY ENVIRONMENTAL INC.","127-50 NORTHERN BLVD","FLUSHING","NY","11368-",,,,,,,"True","False",,"2023-08-25",,,,,,,,,
"2011-00062",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-02188",,,"TWC-NaN",,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","133-68 133 Drive","nyc","NY",,"Queens","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00739",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Quality of Life-Odor - Trade Waste",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-01747",,,"TWC-0",,"Trade Waste",,"MAIL","Violation Written","Closed",,"Inquiry","Unlicensed Carter - Trade Waste","12 Belair Pl.",,"NY",,"Staten Island",,,,"UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-00171",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6275","Referred to Another Agency","Closed",,"Inquiry","Misinformation - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196562",,,,"2022-07-18T00:00:00.000","Trade Waste",,"WEB-MAIL","Resolved","Closed","1.0","Complaint","Other - All",,"Flushing",,,"Queens",,,,,,,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"2009-00243",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Unsubstantiated","Closed",,"Inquiry",,,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-189897",,,,"2013-12-16T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed","0.0","Inquiry","Misinformation - All",,,,,,,,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00729",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Licensing - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01826",,,"TWC-1059",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Complaint","Quality of Life-Spillage - Trade Waste","6522 Parsons Blvd","nyc","NY",,"Queens","IESI NY CORPORATION, SUBSIDIARY OF BFI CANADA INC.","1099 WALL STREET WEST","LYNDHURST","RENEWAL APPROVED",,"(201) 443-3000",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-193395",,,,"2017-03-28T00:00:00.000","Trade Waste",,"PHONE - 6300","Referred To Licensing","Closed","0.0","Inquiry","Licensing - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"COMP-194982","Trade Waste;Transfer Station","WASTE CONNECTIONS OF NEW YORK, INC.","BIC-1059 / TS-94 / TS-95 / TS-123 / TS-124","2019-07-09T00:00:00.000","Trade Waste","Active","WALK IN","Resolved","Closed","2.0","Complaint","Other - All",,,,,,"WASTE CONNECTIONS OF NEW YORK, INC.","120 WOOD AVENUE SOUTH, SUITE 302","ISELIN","NJ","08830",,,,,,,"True","False","In Person","2023-08-25",,,,,,,,,
"2008-01077",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Unable to Contact Complainant","Closed",,"Inquiry","Other - All","85 Java St.",,"NY",,"Brooklyn","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-01099",,,,,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","1176 Beach 9 St.","nyc","NY",,"Queens","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-194080","Trade Waste","M & M SANITATION CORP.","BIC-604","2018-05-18T00:00:00.000","Trade Waste","Active","WEB-MAIL","Resolved","Closed","3.0","Complaint","Quality of Life-Noise - Trade Waste","259 West 4th Street","New York","NY","10014","Manhattan","M & M SANITATION CORP.","P.O. BOX 497","KEARNY","NJ","07032-",,,,,,,"True","False","Phone Call","2023-08-25","MANHATTAN","40.735294","-74.003258","2","3","73","1010860","1006127503","West Village"
"2012-00567",,,"TWC-NaN",,"Trade Waste",,"EMAIL","Violation Written","Closed",,"Complaint","Cardboard-Theft - Trade Waste","42-99 main street","Flushing","NY",,"Queens","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00062",,,,,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","FOIL - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-192177",,,,"2015-07-10T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Resolved","Closed","0.0","Inquiry","Misinformation - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2011-00658",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Complaint","Other - All","1248 East Bay Ave.","nyc","NY",,"Bronx","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196578",,,,"2022-07-22T00:00:00.000","Trade Waste",,"WEB-MAIL","Referred to Another Agency","Closed","12.0","Complaint","Decals - Trade Waste","346 W 14th St","New York","NY","10014","Manhattan",,,,,,,,,,,,"False","True",,"2023-08-25","MANHATTAN","40.740364","-74.003995","2","3","77","1011694","1006290013","West Village"
"2008-00171",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Other - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-194561","Trade Waste","ABC RESTORATION, INC.","BIC-3961","2018-12-13T00:00:00.000","Trade Waste","Active","WEB-MAIL","Referred To BIC Legal","Closed","6.0","Inquiry","Information - All",,,,,,"ABC RESTORATION, INC.","24-29 83RD STREET","E ELMHURST","NY","11370-",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2011-00507",,"CITY WASTE SERVICES OF NEW YORK, INC.","TWC-1153",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Complaint","Quality of Life-Noise - Trade Waste","53 St. (betw Sutton Pl South & 1st Ave.)","nyc","NY",,"NYC","CITY WASTE SERVICES INC.","167 33 PORTER ROAD","JAMAICA","RENEWAL PENDING",,"(718) 328-8582",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-190161",,,,"2014-02-12T00:00:00.000","Trade Waste",,"PHONE - 6300","Referred To Licensing","Closed","0.0","Inquiry","Information - All;Licensing - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2009-00038",,,,,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Service - All",,,"NY",,,"N/A",,,,"11235-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-00520",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Misinformation - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-193865",,,,"2018-02-02T00:00:00.000","Trade Waste",,"PHONE - 6300","Violation Written","Closed","0.0","Complaint","Unlicensed Carter - Trade Waste",,"Bronx","NY",,,,,,,,,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"2007-00251",,"TESTANI ENTERPRISES INC.","TWC-1679",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Containers-Theft - Trade Waste",,,"NY",,,"TESTANI ENTERPRISES INC.","117 MAGNOLIA AVENUE","WESTBURY","RENEWAL APPROVED",,"(516) 759-3192",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00409",,"LIBERTY ASHES INC.","TWC-112",,"Trade Waste",,"PHONE - OTHER","Referred To BIC Intel","Closed",,"Complaint","Contracts - Trade Waste","87-01 111 St.",,"NY",,"Queens","LIBERTY ASHES INC.","112 PHYLIS COURT","ELMONT","RENEWAL APPROVED","11148-","(516) 354-6583",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-195586",,,,"2020-08-07T00:00:00.000","Trade Waste",,"WEB-MAIL","Resolved","Closed","0.0","Inquiry","Licensing - All",,,,,,,,,,,,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"INQ-191664",,,,"2015-02-24T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Resolved","Closed","1.0","Inquiry","Billing - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2009-00634",,,,,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Unlicensed Carter - Trade Waste",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00132",,,"TWC-1059",,"Trade Waste",,"311/PHONE - 9278","Unsubstantiated","Closed",,"Complaint","Other - All","39TH Street  btwn 6th & bway",,"NY",,"NYC","IESI NY CORPORATION, SUBSIDIARY OF BFI CANADA INC.","1099 WALL STREET WEST","LYNDHURST","RENEWAL APPROVED",,"(201) 443-3000",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-02020",,,"TWC-NaN",,"Trade Waste",,"WEB-MAIL","Referred back to 311","Closed",,"Complaint","Misinformation - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00764",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-192003",,,,"2015-06-10T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Resolved","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"COMP-193579","Trade Waste","ACTION CARTING ENVIRONMENTAL SERVICES INC.","BIC-1181","2017-08-01T00:00:00.000","Trade Waste","Active","PHONE - 6300","Resolved","Closed","0.0","Complaint","Service - All","644 10th Ave","New York","NY","10036","Manhattan","ACTION CARTING ENVIRONMENTAL SERVICES INC.","300 FRANK W. BURR BLVD, STE. 39","TEANECK","NJ","07666",,,,,,,"True","False","E-Mail","2023-08-25","MANHATTAN","40.761866","-73.993831","4","3","121","1026475","1010550064","Clinton"
"2009-01110",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Other - All","1 E 53 St.","nyc","NY",,"NYC","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-01351",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-01540",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00842",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2006-00951",,,,,"Trade Waste",,"PHONE - 6300",,"Closed",,"Complaint","FOIL - All",,,"NY",,,,,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196408",,,,"2022-04-05T00:00:00.000","Trade Waste",,"WEB-MAIL","Referred to Another Agency","Closed","2.0","Complaint","Decals - Trade Waste;Cardboard-Other - Trade Waste","121 Greenwich Ave.","New York City","NY","10014","Manhattan",,,,,,,,,,,,"False","True",,"2023-08-25","MANHATTAN","40.73841","-74.002208","2","3","77","1067567","1006167501","West Village"
"COMP-191385","Trade Waste","ACTION CARTING ENVIRONMENTAL SERVICES INC.","BIC-1181","2014-12-04T00:00:00.000","Trade Waste","Active","311/PHONE - 9278","Resolved","Closed","1.0","Complaint","Billing - All","105 East 195th Street","New York","NY","10468","Bronx","ACTION CARTING ENVIRONMENTAL SERVICES INC.","300 FRANK W. BURR BLVD, STE. 39","TEANECK","NJ","07666","(973) 623-7600",,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2009-02421",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry",,,,,,,"N/A",,,,"11224-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01194",,,"TWC-NaN",,"Trade Waste",,"WEB-MAIL","Referred To Licensing","Closed",,"Complaint","Licensing - All",,,,,,"N/A",,,,"11096-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-193715","Trade Waste","CINELLI CARTING CO., INC.","BIC-222","2017-10-26T00:00:00.000","Trade Waste","Active","E-Mail","Resolved","Closed","4.0","Inquiry","Other - All","300-1770 Burrard Street","Vancouver","BC","V6J 3G7",,"CINELLI CARTING CO., INC.","P.O.BOX 350303","JAMAICA","NY","11435-",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2010-00475",,,"TWC-2169",,"Trade Waste",,"PHONE - OTHER","Resolved","Closed",,"Complaint","Unlicensed Carter - Trade Waste",,,,,,"SHRED-IT USA, INC.","2794 SOUTH SHERDIAN WAY","OAKVILLE","EXPIRED",,"(718) 369-4900",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-00027",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Information - All","21 W 37th St.","New York","NY",,"NYC","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00352",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-190423","Trade Waste","B & R LANDSCAPING, INC.","BIC-2607","2014-04-08T00:00:00.000","Trade Waste","Active","311/PHONE - 9278","Unsubstantiated","Closed","6.0","Complaint","Illegal Dumping - Trade Waste",,"Staten Island","NY",,"Staten Island","B & R LANDSCAPING, INC.","792 SHELDON AVENUE","STATEN ISLAND","NY","10309-",,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"COMP-191927","Trade Waste","PHANTOM CARTING INC.","BIC-4228","2015-05-13T00:00:00.000","Trade Waste","Active","311/PHONE - 9278","Investigation Initiated","Closed","6.0","Complaint","Containers-Unremoved - Trade Waste","9501 Flatlands Ave","Brooklyn","NY","11236-3709","Brooklyn","PHANTOM CARTING INC.","3 SOUTH DR.","VALLEY STREAM","NY","11378",,,,,,,"True","False","Phone Call","2023-08-25","BROOKLYN","40.642666","-73.902219","18","46","968","3229639","3081830013","Canarsie"
"2012-00286",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Misinformation - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-194209","Trade Waste","BASIN HAULAGE INC.","BIC-265","2018-07-25T00:00:00.000","Trade Waste","Active","WEB-MAIL","Resolved","Closed","0.0","Complaint","Other - All","133 Randolph Street","Brooklyn","NY","11237","Brooklyn","BASIN HAULAGE INC.","P.O. BOX 790058","MIDDLE VILLAGE","NY","11379-",,,,,,,"True","False","Phone Call","2023-08-25","BROOKLYN","40.709254","-73.927176","1","34","449","3000000","3029760060","East Williamsburg"
