"the_geom","cornerid","rampid","ramp_onstr","geocyclora","borough","stname1","stname2","curb_reveal","ramp_running_slope_total","dws_conditions","gutter_slope","lnd_width","lnd_length","lnd_cross_slope","counter_slope","ramp_width","ramp_right_flare","ramp_left_flare","ramp_length","ramp_cross_slope","ponding","obstacles_ramp","obstacles_landing"
"POINT (-73.9508734437463 40.644395112856735)","1120926","5041","EAST 28 STREET, CORTELYOU ROAD","2018-05-18T00:00:00.000","3","EAST 28 STREET","CORTELYOU ROAD","0.4","7.3","Missing","0.3","50.4","44.3","3.3","-4.5","54.9","14.3","54.5","-8.8","2.3","Yes","None","None"
"POINT (-73.9925586874089 40.637939126979596)","1128644","2067","12 AVENUE","2018-04-18T00:00:00.000","3","12 AVENUE","46 STREET","0.5","8.6","Good Condition","-0.7","51.5","60.0","1.1","-5.7","51.0","17.2","59.9","-14.7","-0.7","Yes","None","None"
"POINT (-73.88488167269352 40.75769943391939)","1027680","36639","32 AVENUE","2018-04-06T00:00:00.000","4","32 AVENUE","83 STREET","0.8","6.1","Missing","0.0","64.3","56.8","-1.6","-8.1","74.6","7.6","64.7","-4.3","0.4","Yes","None","None"
"POINT (-73.8616218617265 40.82821754615884)","1016165","4015","UNDERHILL AVENUE","2018-05-23T00:00:00.000","2","WATSON AVENUE","UNDERHILL AVENUE","0.4","5.7","Missing","1.2","49.4","60.0","1.0","-1.5","48.5","10.5","57.4","-5.2","-0.5","No","None","None"
"POINT (-73.88118692723233 40.731744476491286)","1025425","30691","84 STREET, 55 AVENUE","2018-05-08T00:00:00.000","4","84 STREET","55 AVENUE","0.9","4.5","Missing","-5.0","46.1","37.4","-4.9","-4.1","51.8","-1.8","53.1","-9.9","-5.8","No","None","None"
"POINT (-74.21670848414561 40.5286351684564)","1146483","22269","DRUMGOOLE ROAD WEST","2018-05-14T00:00:00.000","5","DRUMGOOLE ROAD WEST","BLOOMINGDALE ROAD","1.0","4.1","Missing","1.7","70.2","4.8","3.1","-1.8","61.4","7.7","61.9","-17.1","2.1","No","None","Utility access"
"POINT (-73.98599111809514 40.6341336814711)","1129433","3043","46 STREET, 15 AVENUE","2018-04-18T00:00:00.000","3","46 STREET","15 AVENUE","0.7","4.4","Good Condition","0.5","47.1","60.0","-0.4","-2.5","47.5","5.7","50.6","-10.3","0.8","No","None","None"
"POINT (-74.17672591320262 40.62539010597805)","1174423","16416","GOETHALS ROAD NORTH","2018-04-11T00:00:00.000","5","FOREST AVENUE","GOETHALS ROAD NORTH","0.8","13.0","Missing","-1.6","35.6","60.0","-2.2","-0.3","33.2","49.8","35.1","-50.4","1.3","No","None","None"
"POINT (-73.91171012800758 40.8139514570859)","1005101","34371","EAST 149 STREET","2018-03-20T00:00:00.000","2","EAGLE AVENUE","EAST 149 STREET","1.2","4.6","Missing","-1.9","48.2","60.0","2.0","0.5","48.5","10.3","55.5","-12.8","0.2","No","None","None"
"POINT (-73.88273978820904 40.668120007451996)","1116318","12327","CLEVELAND STREET","2018-05-08T00:00:00.000","3","CLEVELAND STREET","DUMONT AVENUE","0.7","10.5","Missing","0.6","62.1","60.0","-1.3","-3.6","64.3","26.3","66.3","-32.1","-1.5","No","None","Utility Vault"
"POINT (-73.89789202838693 40.73524219343558)","1033045","20742","67 STREET","2018-03-26T00:00:00.000","4","67 STREET","MAURICE AVENUE","0.4","7.3","Missing","-2.5","43.9","60.0","-0.5","-5.2","45.7","3.1","48.0","-12.8","-1.3","No","None","None"
"POINT (-73.98772044185476 40.61114083455027)","1136407","34606","72 STREET","2018-05-21T00:00:00.000","3","21 AVENUE","72 STREET","1.2","4.5","Missing","1.6","49.5","55.9","-0.8","16.1","48.2","7.4","50.9","-7.7","-0.4","No","None","None"
"POINT (-73.94549124252403 40.839268899795236)","1096349","16472","WEST 163 STREET","2018-05-05T00:00:00.000","1","WEST 163 STREET","RIVERSIDE DRIVE","0.9","6.0","Missing","3.2","56.7","60.0","4.4","-2.4","52.6","13.4","62.6","-9.4","3.1","No","None","None"
"POINT (-73.84534092530455 40.77435037148223)","1073711","26556","26 AVENUE","2018-04-14T00:00:00.000","4","26 AVENUE","123 STREET","2.3","2.4","Good Condition","6.3","49.5","37.8","4.2","-3.8","52.5","9.7","49.4","2.2","5.9","No","None","None"
"POINT (-73.97597518792828 40.77634612523886)","1091798","10879","CENTRAL PARK WEST","2018-04-08T00:00:00.000","1","CENTRAL PARK WEST","WEST 72 STREET","0.7","4.7","Good Condition","1.6","60.5","60.0","0.4","-2.4","60.9","12.6","34.6","-6.1","1.5","No","None","None"
"POINT (-73.94152638101441 40.7220404650659)","1104384","31484","MEEKER AVENUE, ENGERT AVENUE","2018-03-17T00:00:00.000","3","MEEKER AVENUE","ENGERT AVENUE","0.6","9.8","Missing","3.4","61.5","60.0","0.1","-3.1","57.1","14.1","51.3","-13.4","1.3","No","None","None"
"POINT (-73.97332644726573 40.752052399224524)","1090229","9299","EAST 44 STREET","2018-05-08T00:00:00.000","1","EAST 44 STREET","3 AVENUE","0.3","7.0","Missing","0.3","47.7","60.0","5.0","-4.2","48.1","16.0","59.0","-10.4","1.7","No","None","None"
"POINT (-74.00054066535513 40.62358723455736)","1137469","34002","14 AVENUE","2018-04-21T00:00:00.000","3","67 STREET","14 AVENUE","0.9","6.4","Missing","1.0","48.3","60.0","0.1","-10.0","45.5","11.7","60.5","-7.2","2.0","No","None","Utility access"
"POINT (-73.88789190594741 40.74349425783942)","1025533","28410","WOODSIDE AVENUE","2018-04-07T00:00:00.000","4","77 STREET","WOODSIDE AVENUE","0.6","5.1","Good Condition","1.3","50.6","60.0","-1.3","-4.0","48.4","21.8","59.1","-14.4","1.6","No","None","None"
"POINT (-73.95350020448944 40.61636229188697)","1126923","2768","EAST 21 STREET","2018-04-22T00:00:00.000","3","AVENUE N","EAST 21 STREET","0.5","7.4","Good Condition","-0.1","48.3","60.0","0.0","1.4","48.4","9.0","56.3","-11.6","0.0","No","None","None"
"POINT (-73.91532006573253 40.82166657502159)","1022265","35395","EAST 157 STREET","2018-04-01T00:00:00.000","2","MELROSE AVENUE","EAST 157 STREET","0.4","6.9","Missing","-3.1","45.1","60.0","0.8","-5.4","47.1","8.5","56.7","-14.6","-1.9","No","None","None"
"POINT (-73.73330326607892 40.756435589164596)","1074265","17120","245 PLACE","2018-10-10T00:00:00.000","4","61 AVENUE","245 PLACE","0.9","2.0","Good Condition","1.3","48.3","60.0","0.6","-0.4","53.7","11.3","56.3","-10.1","1.2","Yes","None","None"
"POINT (-73.98697471793643 40.61900368690394)","1136436","2504","19 AVENUE","2018-04-24T00:00:00.000","3","19 AVENUE","63 STREET","1.0","7.4","Missing","-1.5","42.5","42.6","-2.6","0.1","43.7","7.4","52.5","-9.1","-3.7","No","None","None"
"POINT (-73.91392275057073 40.80879506800509)","1022216","35705","BEEKMAN AVENUE","2018-03-25T00:00:00.000","2","BEEKMAN AVENUE","OAK TERRACE","0.5","12.0","Missing","2.3","30.1","60.0","1.2","-6.9","34.0","18.3","45.5","-13.2","5.7","No","None","None"
"POINT (-73.91382586230074 40.80703463549629)","1004588","459","EAST 140 STREET","2018-03-25T00:00:00.000","2","CYPRESS AVENUE","EAST 140 STREET","0.3","2.7","Missing","0.8","51.9","60.0","-1.8","-2.7","56.9","9.0","51.1","-5.5","0.6","No","None","None"
"POINT (-73.90704955167914 40.81371757634939)","1022725","1718","EAST 150 STREET","2018-03-25T00:00:00.000","2","WALES AVENUE","EAST 150 STREET","0.8","6.3","Missing","1.1","47.8","60.0","-0.5","-0.1","47.7","11.5","53.5","-6.0","0.7","No","None","None"
"POINT (-74.00428929767018 40.64413973801531)","1128328","28857","47 STREET","2018-04-18T00:00:00.000","3","47 STREET","7 AVENUE","0.6","1.5","Good Condition","1.4","48.6","60.0","6.2","-5.5","57.1","9.8","59.7","-2.3","1.5","No","None","None"
"POINT (-73.9141198084132 40.67079305396606)","1117948","18158","EAST NEW YORK AVENUE","2018-05-06T00:00:00.000","3","THOMAS S BOYLAND STREET","EAST NEW YORK AVENUE","0.4","5.8","Missing","0.8","72.5","60.0","-1.3","-10.1","78.1","9.6","74.0","-12.4","1.5","Yes","None","None"
"POINT (-73.80667378467685 40.76084059060993)","1058723","12816","SANFORD AVENUE","2018-04-18T00:00:00.000","4","159 STREET","SANFORD AVENUE","0.5","6.6","Missing","-1.3","49.0","60.0","2.2","-3.9","47.3","10.5","60.2","-22.2","-1.3","No","None","None"
"POINT (-73.91787904681853 40.81512690311892)","1003002","1646","BERGEN AVENUE","2018-03-25T00:00:00.000","2","EAST 148 STREET","BERGEN AVENUE","0.4","6.2","Missing","1.4","57.1","60.0","-0.3","-5.8","56.3","12.3","48.8","-4.4","1.4","Yes","None","None"
"POINT (-74.15591586817943 40.5566908357782)","1153440","33161","DOANE AVENUE","2018-05-02T00:00:00.000","5","DOANE AVENUE","LEVERETT AVENUE","0.4","5.1","Good Condition","-0.4","48.1","27.3","-1.3","0.4","51.0","8.3","58.8","-11.8","-0.8","No","None","None"
"POINT (-73.85142789410851 40.83803264077774)","1017111","7147","ST RAYMOND AVENUE","2018-04-11T00:00:00.000","2","ST RAYMOND AVENUE","GLOVER STREET","1.9","5.6","Missing","0.5","51.6","60.0","-1.0","6.5","51.0","6.0","61.8","-18.6","-0.5","No","None","None"
"POINT (-73.98776619478623 40.77039899084651)","1087931","8658","10 AVENUE","2018-04-08T00:00:00.000","1","WEST 59 STREET","10 AVENUE","0.5","4.3","Missing","-0.5","39.6","60.0","0.1","-7.0","42.4","10.7","56.0","-7.8","0.3","No","None","None"
"POINT (-73.86943721622353 40.757338686061566)","1028088","32708","NORTHERN BOULEVARD","2018-04-06T00:00:00.000","4","NORTHERN BOULEVARD","99 STREET","0.5","5.0","Missing","1.5","48.9","60.0","5.1","-4.6","41.2","8.1","56.4","-5.2","-0.2","No","None","None"
"POINT (-73.94241098392602 40.59827360371379)","1131740","6061","AVENUE V","2018-05-10T00:00:00.000","3","AVENUE V","EAST 29 STREET","1.0","7.5","Missing","2.7","55.0","46.1","2.7","-9.7","54.0","9.8","37.7","-14.1","2.1","No","None","None"
"POINT (-73.79309346071035 40.785320640042244)","1058218","17391","15 ROAD","2018-04-26T00:00:00.000","4","201 STREET","15 ROAD","0.4","7.7","Good Condition","-0.3","46.8","60.0","0.9","-2.6","37.8","12.4","60.0","-14.7","-0.5","Yes","None","None"
"POINT (-73.88724727287233 40.64096081938975)","1121784","5686","EAST 105 STREET","2018-05-05T00:00:00.000","3","EAST 105 STREET","AVENUE M","1.4","7.6","Missing","4.8","45.8","60.0","-1.4","-2.2","46.0","9.0","48.6","-15.6","1.8","No","None","None"
"POINT (-73.82000428066884 40.82192682625907)","1097404","4229","REVERE AVENUE","2018-05-29T00:00:00.000","2","DEWEY AVENUE","REVERE AVENUE","0.8","0.5","Missing","4.5","52.9","60.0","8.1","3.9","52.8","14.7","61.8","-7.6","3.6","No","None","None"
"POINT (-73.99511045306018 40.64604340104681)","1128387","25770","9 AVENUE","2018-04-18T00:00:00.000","3","9 AVENUE","39 STREET","0.5","6.7","Good Condition","1.9","52.0","60.0","-0.7","-3.4","52.0","7.6","58.0","-8.4","0.5","No","None","None"
"POINT (-73.94107727002246 40.755256136389654)","1038151","33664","21 STREET","2018-08-09T00:00:00.000","4","21 STREET","40 AVENUE","0.5","2.2","Good Condition","-1.0","48.8","60.0","0.5","-2.8","44.7","8.5","57.0","-12.1","-0.2","No","None","None"
"POINT (-74.02795138584389 40.63805247518797)","1139466","30248","RIDGE BOULEVARD","2018-05-24T00:00:00.000","3","SENATOR STREET","RIDGE BOULEVARD","0.8","11.7","Good Condition","3.4","51.1","60.0","4.0","-9.2","50.8","16.4","58.0","-4.7","4.0","No","None","None"
"POINT (-73.86447254311203 40.67651971600485)","1115255","12326","PITKIN AVENUE","2018-05-14T00:00:00.000","3","ELDERT LANE","PITKIN AVENUE","1.1","7.4","Missing","-1.9","53.6","39.0","-2.2","-4.6","56.4","6.2","74.1","-11.5","-2.0","No","None","None"
"POINT (-73.81089704125449 40.76480802026086)","1059837","15793","154 STREET","2018-04-21T00:00:00.000","4","154 STREET","NORTHERN BOULEVARD","1.6","12.1","Defective","-1.8","51.8","60.0","-1.6","-4.1","39.6","32.5","54.2","-53.4","-2.6","No","None","None"
"POINT (-73.8220253714671 40.75711973085322)","1058932","10325","BOWNE STREET","2018-04-21T00:00:00.000","4","FRANKLIN AVENUE","BOWNE STREET","0.6","7.8","Missing","1.1","41.4","60.0","1.1","3.6","36.6","21.4","64.4","-14.7","-2.6","No","None","None"
"POINT (-73.92866677548214 40.60856367262386)","1125309","6233","EAST 37 STREET","2018-05-09T00:00:00.000","3","EAST 37 STREET","AVENUE T","1.0","7.7","Missing","0.4","72.9","33.2","0.8","-0.1","78.3","17.6","60.7","-13.4","1.2","No","None","None"
"POINT (-73.92260083914006 40.81745668765685)","1005816","92","EAST 149 STREET","2018-04-04T00:00:00.000","2","EAST 149 STREET","MORRIS AVENUE","0.4","5.4","Missing","3.6","38.5","60.0","6.0","-4.2","46.0","12.8","56.8","-11.6","2.0","No","None","None"
"POINT (-73.82286677938832 40.71448366071731)","1041496","26236","82 AVENUE","2018-04-15T00:00:00.000","4","135 STREET","82 AVENUE","0.5","2.4","Missing","-1.8","55.9","60.0","-4.1","0.2","57.9","-0.4","50.5","-5.7","-2.1","No","None","None"
"POINT (-73.89034906563458 40.75125649311848)","1027801","29622","35 AVENUE","2018-04-07T00:00:00.000","4","76 STREET","35 AVENUE","0.5","7.0","Missing","2.0","43.0","60.0","-0.6","-8.2","44.8","14.3","51.8","-14.6","-0.4","No","None","None"
"POINT (-73.91186301936133 40.82218282527582)","1022588","31785","EAST 159 STREET","2018-04-01T00:00:00.000","2","EAST 159 STREET","WASHINGTON AVENUE","0.8","10.6","Defective","-0.3","39.3","60.0","-3.0","-3.3","38.9","18.2","52.9","-16.1","0.8","No","None","None"
"POINT (-73.8712253076684 40.832358895927555)","1016158","3958","EAST 172 STREET","2018-05-23T00:00:00.000","2","CROES AVENUE","EAST 172 STREET","0.8","5.8","Good Condition","-0.3","44.9","54.9","1.4","-6.6","48.2","5.6","60.1","-8.0","1.1","No","None","None"
"POINT (-73.83098453925837 40.68632451112979)","1044756","20010","103 AVENUE","2018-04-26T00:00:00.000","4","103 AVENUE","112 STREET","0.4","7.6","Missing","1.7","57.1","42.7","-0.1","-4.5","52.9","11.5","47.7","-4.4","1.7","No","None","None"
"POINT (-73.95915744449867 40.7632538535288)","1096868","8037","1 AVENUE","2018-04-05T00:00:00.000","1","1 AVENUE","EAST 65 STREET","0.5","5.8","Missing","-2.4","55.8","60.0","0.0","-6.4","52.2","6.3","48.9","-11.9","-0.5","Yes","None","None"
"POINT (-73.82777349971315 40.765312377754256)","1059488","10110","35 AVENUE","2018-04-15T00:00:00.000","4","35 AVENUE","UNION STREET","1.0","5.2","Good Condition","-1.7","50.5","60.0","-3.4","2.7","49.3","14.1","69.7","-17.4","-1.3","No","None","None"
"POINT (-73.91185316040466 40.66217707763177)","1118205","17820","LIVONIA AVENUE","2018-05-07T00:00:00.000","3","LIVONIA AVENUE","THOMAS S BOYLAND STREET","0.5","4.4","Good Condition","2.8","37.9","60.0","-0.3","3.5","46.4","7.5","56.9","-5.3","-0.5","No","None","None"
"POINT (-73.81328817482917 40.719919914594456)","1068330","26452","150 STREET","2018-04-20T00:00:00.000","4","79 AVENUE","150 STREET","0.3","5.5","Missing","3.3","42.7","60.0","3.9","-6.8","43.1","14.4","56.8","-15.1","1.1","Yes","Utility Vault","None"
"POINT (-73.90105366645831 40.7180695063424)","1031734","32688","59 DRIVE","2018-05-11T00:00:00.000","4","63 STREET","59 DRIVE","0.6","12.6","Missing","-0.7","48.8","60.0","0.2","-4.4","47.4","14.6","52.7","-23.9","0.6","No","None","None"
"POINT (-73.91070859467342 40.83747341438524)","1024177","32956","EAST 170 STREET","2018-04-05T00:00:00.000","2","EAST 170 STREET","COLLEGE AVENUE","0.6","9.2","Missing","-0.1","40.5","60.0","-1.4","-1.8","45.0","14.8","54.4","-17.7","-1.3","No","None","None"
"POINT (-73.7976647901011 40.7912024859956)","1058351","28844","12 AVENUE","2018-04-26T00:00:00.000","4","166 STREET","12 AVENUE","0.6","6.1","Missing","2.8","68.5","60.0","4.2","-5.2","55.3","15.1","43.3","-5.3","1.8","No","None","None"
"POINT (-73.71195084982982 40.73642782699557)","1078939","35071","256 STREET","2018-05-30T00:00:00.000","4","HILLSIDE AVENUE","256 STREET","0.9","7.4","Missing","1.2","45.2","57.2","-4.2","-4.1","46.9","13.2","61.2","-12.1","1.2","Yes","None","None"
"POINT (-73.83170079516819 40.764539429744985)","1060811","26384","35 AVENUE","2018-04-14T00:00:00.000","4","35 AVENUE","FARRINGTON STREET","0.8","4.8","Missing","-1.8","48.7","60.0","-0.1","-1.2","52.7","8.2","67.3","-10.1","-1.3","No","None","Utility access"
"POINT (-73.80266950150057 40.78461802941599)","1059082","16347","16 AVENUE","2018-04-26T00:00:00.000","4","16 AVENUE","160 STREET","0.3","5.2","Good Condition","1.6","49.0","60.0","3.0","-4.5","49.1","9.9","61.5","-4.6","4.0","Yes","None","None"
"POINT (-73.88944111151473 40.74593473906983)","1025104","29303","76 STREET, BROADWAY","2018-04-07T00:00:00.000","4","76 STREET","BROADWAY","0.6","9.0","Missing","-1.3","73.6","60.0","2.2","-9.7","74.4","8.9","54.3","-7.9","-1.1","No","None","None"
"POINT (-74.03310555548127 40.63263564460823)","1139095","24589","COLONIAL ROAD","2018-05-23T00:00:00.000","3","BAY RIDGE PARKWAY","COLONIAL ROAD","0.8","9.8","Missing","-0.9","50.7","40.7","-2.3","-7.3","39.6","14.0","55.7","-10.4","-1.2","No","None","None"
"POINT (-74.19875671318006 40.53509438904512)","1157727","34138","MARCY AVENUE","2018-05-03T00:00:00.000","5","MARCY AVENUE","DARLINGTON AVENUE","1.1","7.1","Missing","-0.8","51.6","51.8","-0.4","-6.9","51.9","19.0","47.7","-15.0","0.2","No","Utility access","None"
"POINT (-73.99383571635911 40.75141526294552)","1088158","9445","WEST 33 STREET","2018-05-09T00:00:00.000","1","8 AVENUE","WEST 33 STREET","0.6","6.8","Missing","-0.5","58.3","60.0","-2.3","3.4","57.9","6.9","79.6","-5.9","-1.5","No","None","None"
"POINT (-73.800073522059 40.702557770291754)","1053381","32845","PARSONS BOULEVARD","2018-04-15T00:00:00.000","4","ARCHER AVENUE","PARSONS BOULEVARD","0.6","3.1","Good Condition","0.2","60.9","60.0","1.1","-7.4","65.3","14.8","58.8","-16.4","1.0","Yes","None","Bollard,Utility access"
"POINT (-73.99112970856874 40.62168220513188)","1129736","2419","17 AVENUE","2018-04-18T00:00:00.000","3","63 STREET","17 AVENUE","0.5","9.7","Missing","0.9","55.8","60.0","0.2","-0.1","61.1","11.8","58.4","-15.1","0.7","No","None","None"
"POINT (-73.92647660480907 40.65230656784013)","1120116","5892","EAST 54 STREET","2018-04-12T00:00:00.000","3","EAST 54 STREET","CHURCH AVENUE","0.7","9.0","Missing","0.6","50.5","60.0","2.5","-7.0","55.5","8.6","52.8","-9.3","2.3","No","None","None"
"POINT (-73.88879996617099 40.743479287421266)","1025528","28607","WOODSIDE AVENUE","2018-04-07T00:00:00.000","4","76 STREET","WOODSIDE AVENUE","1.1","6.2","Missing","-4.3","40.6","60.0","-3.4","-4.6","44.5","5.8","46.7","-8.1","-1.7","No","None","None"
"POINT (-73.9898533456132 40.61257096674911)","1135493","34939","20 AVENUE","2018-05-21T00:00:00.000","3","72 STREET","20 AVENUE","0.5","5.5","Missing","-2.0","57.4","60.0","-3.7","-11.2","50.7","10.3","56.1","-17.6","-2.0","No","None","None"
"POINT (-73.89095247112411 40.70117381074776)","1030186","15406","CYPRESS HILLS STREET","2018-05-08T00:00:00.000","4","CYPRESS HILLS STREET","MYRTLE AVENUE","0.4","7.5","Missing","-1.4","61.2","48.4","0.6","-6.7","61.6","8.4","68.9","-5.7","-0.4","No","None","None"
"POINT (-74.00696953810586 40.63122548527071)","1138011","25975","63 STREET","2018-09-05T00:00:00.000","3","63 STREET","10 AVENUE","0.7","3.0","Good Condition","0.6","43.7","60.0","0.6","-2.8","44.5","8.1","46.9","-5.6","1.2","No","None","None"
"POINT (-73.87948913472901 40.66845702540093)","1116050","12527","DUMONT AVENUE","2018-05-07T00:00:00.000","3","SHEPHERD AVENUE","DUMONT AVENUE","0.8","9.2","Missing","-2.8","46.2","60.0","0.2","-10.1","48.3","6.4","51.5","-13.8","-4.3","No","None","None"
"POINT (-73.88641589768186 40.80666173866974)","1005145","169","MANIDA STREET","2018-03-27T00:00:00.000","2","VIELE AVENUE","MANIDA STREET","1.1","4.5","Missing","2.9","37.4","60.0","4.2","-9.6","39.3","10.6","54.7","-10.7","1.3","No","None","None"
"POINT (-73.84591176164727 40.73094534558506)","1032792","20988","110 STREET","2018-05-06T00:00:00.000","4","66 AVENUE","110 STREET","0.6","2.3","Missing","-1.4","44.1","60.0","0.2","-1.9","45.7","5.6","55.5","-2.3","-0.7","No","None","None"
"POINT (-73.98413597998247 40.69753588648505)","1106777","17067","CONCORD STREET","2018-04-24T00:00:00.000","3","CONCORD STREET","DUFFIELD STREET","0.4","4.5","Missing","7.4","60.3","60.0","10.2","-5.9","48.9","14.3","51.8","-16.4","6.7","No","None","None"
"POINT (-73.82843731929042 40.827993065389045)","1018043","4604","SWINTON AVENUE","2018-05-28T00:00:00.000","2","LAFAYETTE AVENUE","SWINTON AVENUE","0.5","2.6","Missing","-1.5","69.5","60.0","-0.7","-4.9","69.8","11.2","61.3","-18.3","-0.9","No","None","None"
"POINT (-73.88009591258137 40.758188492979116)","1173161","32255","88 STREET","2018-04-06T00:00:00.000","4","88 STREET","32 AVENUE","0.6","6.1","Missing","0.3","52.9","48.2","1.6","-5.3","49.8","10.9","53.2","-13.5","0.1","No","None","None"
"POINT (-73.99369267132066 40.60564959857338)","1136323","29621","21 AVENUE","2018-05-23T00:00:00.000","3","21 AVENUE","82 STREET","0.8","10.9","Missing","1.3","41.3","56.4","2.8","-6.5","46.6","6.0","52.1","-6.1","1.6","No","None","None"
"POINT (-73.80167579766804 40.77105401250534)","1059172","10663","163 STREET","2018-04-21T00:00:00.000","4","29 AVENUE","163 STREET","0.9","5.1","Missing","0.5","59.3","54.6","-2.5","-1.1","57.7","7.1","50.3","-2.4","1.2","No","None","None"
"POINT (-74.14194798492676 40.60980586680553)","1102386","29357","PURDY AVENUE","2018-09-07T00:00:00.000","5","CRAFTON AVENUE","PURDY AVENUE","0.5","5.8","Good Condition","4.0","52.3","8.1","2.0","-8.2","46.5","16.0","50.5","-8.4","3.2","No","None","None"
"POINT (-73.92712504713444 40.71167578727988)","1033143","27255","STEWART AVENUE","2018-03-25T00:00:00.000","3","STEWART AVENUE","SCHOLES STREET","0.8","9.5","Defective","-0.6","48.0","60.0","1.1","-5.4","39.5","17.3","40.3","-17.1","2.9","Yes","None","None"
"POINT (-73.93719646496888 40.66016476650586)","1118733","7534","TROY AVENUE","2018-04-13T00:00:00.000","3","TROY AVENUE","RUTLAND ROAD","0.5","6.7","Missing","0.2","41.5","60.0","-1.5","-8.5","42.1","14.0","51.2","-8.4","1.2","No","None","None"
"POINT (-73.87762902118413 40.72319343585239)","1029354","21335","80 STREET","2018-05-15T00:00:00.000","4","62 AVENUE","80 STREET","0.5","4.1","Missing","2.1","38.7","52.6","-0.6","-3.8","39.7","16.8","49.0","-14.1","-3.8","No","None","None"
"POINT (-73.79861244451428 40.71062487591776)","1070366","29292","165 STREET","2018-04-18T00:00:00.000","4","HIGHLAND AVENUE","165 STREET","0.9","4.2","Missing","-1.6","52.5","60.0","-3.0","-0.1","44.9","9.2","57.8","-14.9","-1.7","No","None","None"
"POINT (-74.13615846912384 40.56673992652198)","1151227","9588","WEST CEDARVIEW AVENUE","2018-03-16T00:00:00.000","5","WEST CEDARVIEW AVENUE","WOLVERINE STREET","0.6","1.7","Good Condition","1.1","51.5","32.4","1.9","2.0","62.2","5.5","60.7","-3.2","1.6","No","None","None"
"POINT (-73.97600342082248 40.74887558251593)","1090278","9881","EAST 39 STREET","2018-04-29T00:00:00.000","1","3 AVENUE","EAST 39 STREET","0.3","9.0","Missing","3.6","47.7","60.0","5.3","-5.5","42.0","20.7","49.4","-11.0","3.1","No","None","None"
"POINT (-73.90990513199661 40.700511740592894)","1031377","22898","ST NICHOLAS AVENUE","2018-05-09T00:00:00.000","4","ST NICHOLAS AVENUE","PALMETTO STREET","0.5","6.1","Good Condition","0.8","60.6","48.0","-0.8","-5.0","66.1","12.4","47.8","-7.3","1.2","Yes","None","None"
"POINT (-73.86750274867568 40.67336120084625)","1115435","18512","SUTTER AVENUE","2018-05-07T00:00:00.000","3","SUTTER AVENUE","AUTUMN AVENUE","0.5","5.3","Missing","1.2","50.4","60.0","-0.7","-5.2","50.2","9.1","43.8","-7.2","0.8","No","None","None"
"POINT (-73.84395546950587 40.57959848126611)","1061698","10981","NEWPORT AVENUE","2018-05-22T00:00:00.000","4","BEACH 123 STREET","NEWPORT AVENUE","0.6","5.9","Good Condition","2.0","47.3","47.9","1.6","-5.4","50.2","14.5","59.7","-10.0","0.7","Yes","None","None"
"POINT (-73.80398675388143 40.706323409480646)","1054403","26282","88 AVENUE","2018-04-15T00:00:00.000","4","88 AVENUE","153 STREET","0.4","5.4","Good Condition","-0.3","48.4","60.0","1.7","-2.6","46.2","10.0","57.9","-12.0","-0.9","No","None","None"
"POINT (-73.97602628513582 40.681861796534136)","1107932","14887","DEAN STREET","2018-04-15T00:00:00.000","3","FLATBUSH AVENUE","DEAN STREET","0.5","12.1","Good Condition","-4.6","43.7","60.0","-3.2","-6.8","51.6","20.9","64.5","-28.2","-1.8","No","None","Utility access"
"POINT (-73.81555307593594 40.81620411276062)","1017675","3499","EAST TREMONT AVENUE","2018-05-28T00:00:00.000","2","HARDING AVENUE","EAST TREMONT AVENUE","0.3","5.1","Good Condition","0.5","48.9","49.9","-2.2","-1.9","49.0","10.4","54.2","-4.2","-1.8","No","None","None"
"POINT (-73.8309291471299 40.842091327108896)","1171821","11701","GILLESPIE AVENUE","2018-05-28T00:00:00.000","2","ZULETTE AVENUE","GILLESPIE AVENUE","0.3","2.8","Missing","0.0","38.7","60.0","-0.5","-7.6","40.4","11.6","54.7","-8.9","-0.4","No","None","None"
"POINT (-73.84064125825472 40.697998508241014)","1041149","19393","108 STREET","2018-08-27T00:00:00.000","4","108 STREET","86 AVENUE","0.7","0.7","Good Condition","1.5","53.2","60.0","-1.3","-5.3","51.4","4.1","57.1","-2.1","1.1","No","None","None"
"POINT (-73.83472237930499 40.8406502999303)","1019042","12590","MAYFLOWER AVENUE","2018-05-28T00:00:00.000","2","MAYFLOWER AVENUE","MAITLAND AVENUE","0.6","8.5","Missing","-1.1","49.3","45.5","-2.5","-4.7","47.0","13.7","55.3","-14.9","-0.1","No","None","None"
"POINT (-73.95115840705881 40.59733067374191)","1132956","6153","OCEAN AVENUE","2018-05-10T00:00:00.000","3","AVENUE V","OCEAN AVENUE","0.6","6.5","Missing","1.7","59.2","60.0","2.7","-8.2","56.8","20.2","50.6","-6.7","2.7","No","None","Utility Vault"
"POINT (-73.96769876125963 40.79280682939199)","1091959","8779","COLUMBUS AVENUE","2018-04-08T00:00:00.000","1","COLUMBUS AVENUE","WEST 96 STREET","0.6","6.8","Missing","-4.7","55.3","60.0","-7.2","-2.3","53.8","4.4","62.2","-11.1","-5.9","No","None","None"
"POINT (-73.90227302548065 40.70957100702814)","1030889","22908","GROVE STREET","2018-05-09T00:00:00.000","4","60 PLACE","GROVE STREET","1.0","5.1","Missing","0.5","45.9","60.0","1.6","-5.2","44.7","7.2","53.3","-18.8","-0.3","No","None","None"
