"dbn","location_name","location_category","administrative_district","ell_removals","ell_principal","ell_superintendent","ell_expulsions","non_ell_removals","non_ell_principal","non_ell_superintendent","non_ell_expulsions","sy1617_total_removals_suspensions"
"11X265","Bronx Lab School","High school","11","R","16","R","R","R","106","R","R","155"
"11X270","Academy for Scholarship and Entrepreneurship: A Co","High school","11","R","8","R","R","R","46","R","R","63"
"11X275","High School of Computers and Technology","High school","11","R","R","R","R","R","R","R","R","86"
"11X287","North Bronx School of Empowerment","Junior High-Intermediate-Middle","11","R","R","R","R","R","R","R","R","37"
"11X288","Collegiate Institute for Math and Science","High school","11","R","R","R","R","R","R","R","R","43"
"11X289","The Young Scholars Academy of The Bronx","Junior High-Intermediate-Middle","11","R","R","R","R","R","R","R","R","76"
"11X290","Bronx Academy of Health Careers","High school","11","R","R","R","R","R","R","R","R","58"
"11X299","Astor Collegiate Academy","High school","11","R","R","R","R","R","R","R","R","73"
"11X326","Bronx Green Middle School","Junior High-Intermediate-Middle","11","R","R","R","R","R","R","R","R","9"
"11X355","Bronx Alliance Middle School","Junior High-Intermediate-Middle","11","R","R","R","R","R","R","R","R","39"
"11X357","Young Voices Academy of the Bronx","Elementary","11","R","R","R","R","R","R","R","R","0"
"11X370","Leaders of Tomorrow","Junior High-Intermediate-Middle","11","R","R","R","R","R","R","R","R","58"
"11X417","C Columbus Hs Yabc","High school","11","R","R","R","R","R","R","R","R","0"
"11X418","Bronx High School for the Visual Arts","High school","11","R","R","R","R","R","R","R","R","68"
"11X455","Harry S Truman High School","High school","11","R","R","R","R","R","R","R","R","38"
"11X462","Cornerstone Academy for Social Action Middle Schoo","Junior High-Intermediate-Middle","11","R","R","R","R","R","R","R","R","12"
"11X468","Pelham Academy of Academics and Community Engageme","Junior High-Intermediate-Middle","11","R","R","R","R","R","R","R","R","16"
"11X481","The STEAM Bridge School","Elementary","11","R","R","R","R","R","R","R","R","0"
"11X483","The Matilda Avenue School","Elementary","11","R","R","R","R","R","R","R","R","0"
"11X498","P.S./M.S. 11X498 - VAN NEST ACADEMY","K-8","11","R","R","R","R","R","R","R","R","61"
"11X508","Bronxdale High School","High school","11","R","R","R","R","R","R","R","R","6"
"11X509","High School of Language and Innovation","High school","11","R","R","R","R","R","R","R","R","34"
"11X513","New World High School","High school","11","R","R","R","R","R","R","R","R","16"
"11X514","The Bronxwood Preparatory Academy","High school","11","R","R","R","R","R","R","R","R","55"
"11X529","One World Middle School at Edenwald","Junior High-Intermediate-Middle","11","R","R","R","R","R","R","R","R","22"
"11X532","Baychester Middle School","Junior High-Intermediate-Middle","11","R","R","R","R","R","R","R","R","39"
"11X534","District 11 Pre-K Center","District Pre-K Center","11","R","R","R","R","R","R","R","R","0"
"11X542","Pelham Preparatory Academy","High school","11","R","R","R","R","R","R","R","R","42"
"11X544","High School for Contemporary Arts","High school","11","R","R","R","R","R","R","R","R","27"
"11X545","Bronx Aerospace High School","High school","11","R","20","R","R","R","85","R","R","130"
"11X556","Bronx Park Middle School","Junior High-Intermediate-Middle","11","R","R","R","R","R","R","R","R","11"
"11X566","Pelham Gardens Middle School","Junior High-Intermediate-Middle","11","R","R","R","R","R","R","R","R","50"
"11X567","Linden Tree Elementary School","Elementary","11","R","R","R","R","R","R","R","R","R"
"11X901","Evander Childs Evening H.S.","Ungraded","11","R","R","R","R","R","R","R","R","0"
"12X006","P.S. 006 West Farms","Elementary","12","R","R","R","R","R","R","R","R","33"
"12X044","P.S. 044 David C. Farragut","Elementary","12","R","R","R","R","R","R","R","R","R"
"12X047","P.S. 047 John Randolph","Elementary","12","R","R","R","R","R","R","R","R","16"
"12X057","P.S. 057 Crescent","Elementary","12","R","R","R","R","R","R","R","R","R"
"12X061","P.S. 061 Francisco Oller","Elementary","12","R","R","R","R","R","R","R","R","0"
"12X066","P.S. 066 School of Higher Expectations","Elementary","12","R","R","R","R","R","R","R","R","6"
"12X067","P.S. 067 Mohegan School","Elementary","12","R","R","R","R","R","R","R","R","37"
"12X092","P.S. 092 Bronx","Elementary","12","R","R","R","R","R","R","R","R","6"
"12X098","J.H.S. 098 Herman Ridder","Junior High-Intermediate-Middle","12","R","R","R","R","R","R","R","R","18"
"12X129","M.S. 129 Academy for Independent Learning and Lead","Junior High-Intermediate-Middle","12","R","R","R","R","R","R","R","R","32"
"12X134","P.S. 134 George F. Bristow","Elementary","12","R","R","R","R","R","R","R","R","R"
"12X150","P.S. 150 Charles James Fox","Elementary","12","6","R","R","R","94","R","R","R","117"
"12X190","E.S.M.T- I.S. 190","Junior High-Intermediate-Middle","12","R","R","R","R","R","R","R","R","7"
"12X195","P.S. 195","Elementary","12","R","R","R","R","R","R","R","R","31"
"12X196","P.S. 196","Elementary","12","R","R","R","R","R","R","R","R","19"
"12X211","P.S. 211","K-8","12","16","R","R","R","18","R","R","R","47"
"12X212","P.S. 212","K-8","12","R","R","R","R","R","R","R","R","R"
"12X214","P.S. 214","K-8","12","R","R","R","R","R","R","R","R","95"
"12X217","School of Performing Arts","Junior High-Intermediate-Middle","12","R","R","R","R","R","R","R","R","17"
"12X242","Mott Hall V","Secondary School","12","R","8","R","R","R","83","R","R","117"
"12X248","Metropolitan High School, The","High school","12","R","28","R","R","R","123","R","R","171"
"12X251","Explorations Academy","High school","12","R","R","R","R","R","R","R","R","56"
"12X267","Bronx Latin","Secondary School","12","R","31","R","R","R","162","R","R","222"
"12X271","East Bronx Academy for the Future","Secondary School","12","9","R","R","R","214","R","R","R","306"
"12X273","Frederick Douglass Academy V. Middle School","Junior High-Intermediate-Middle","12","R","R","R","R","R","R","R","R","40"
"12X286","Fannie Lou Hamer Middle School","Junior High-Intermediate-Middle","12","R","R","R","R","R","R","R","R","19"
"12X300","The School of Science and Applied Learning","Elementary","12","R","R","R","R","R","R","R","R","14"
"12X314","Fairmont Neighborhood School","Elementary","12","R","R","R","R","R","R","R","R","R"
"12X316","Kappa III","Junior High-Intermediate-Middle","12","R","R","R","R","R","R","R","R","16"
"12X318","I.S. X318 Math, Science & Technology Through Arts","Junior High-Intermediate-Middle","12","R","R","R","R","R","R","R","R","124"
"12X321","Crotona Academy High School","High school","12","R","R","R","R","R","R","R","R","10"
"12X341","Accion Academy","Junior High-Intermediate-Middle","12","R","R","R","R","R","R","R","R","R"
"12X372","Urban Assembly School for Wildlife Conservation","Secondary School","12","R","R","R","R","R","R","R","R","91"
"12X383","Emolior Academy","Junior High-Intermediate-Middle","12","R","R","R","R","R","R","R","R","16"
"12X384","Entrada Academy","Junior High-Intermediate-Middle","12","16","R","6","R","19","R","10","R","60"
"12X388","Pan American International High School at Monroe","High school","12","R","R","R","R","R","R","R","R","26"
"12X428","Learning To Work Yabc At Monroe Academy","High school","12","R","R","R","R","R","R","R","R","R"
"12X446","Arturo A. Schomburg Satellite Academy Bronx","High school","12","R","R","R","R","R","R","R","R","23"
"12X458","Samara Community School","Elementary","12","R","R","R","R","R","R","R","R","R"
"12X463","Urban Scholars Community School","Elementary","12","R","R","R","R","R","R","R","R","0"
"12X478","The Cinema School","High school","12","R","R","R","R","R","R","R","R","11"
"12X479","Bronx Career and College Preparatory High School","High school","12","R","R","R","R","R","R","R","R","88"
"12X480","Bronx Regional High School","High school","12","R","R","R","R","R","R","R","R","42"
"12X511","Bronx Envision Academy","High school","12","R","12","R","R","R","42","R","R","64"
"12X521","The Metropolitan Soundview High School","High school","12","R","R","R","R","R","R","R","R","43"
"12X531","Archer Elementary School","Elementary","12","R","R","R","R","R","R","R","R","11"
"12X536","P.S. 536","Elementary","12","R","R","R","R","R","R","R","R","R"
"12X550","High School of World Cultures","High school","12","R","R","R","R","R","R","R","R","28"
"12X682","Fannie Lou Hamer Freedom High School","High school","12","R","8","R","R","R","91","R","R","124"
"12X684","Wings Academy","High school","12","R","R","R","R","R","R","R","R","67"
"12X691","Bronx Little School","Elementary","12","R","R","R","R","R","R","R","R","14"
"12X692","Monroe Academy for Visual Arts & Design","High school","12","R","42","R","R","R","65","R","R","125"
"13K003","P.S. 003 The Bedford Village","Elementary","13","R","R","R","R","R","R","R","R","R"
"13K008","P.S. 008 Robert Fulton","K-8","13","R","R","R","R","R","R","R","R","6"
"13K009","P.S. 009 Teunis G. Bergen","Elementary","13","R","R","R","R","R","R","R","R","R"
"13K011","P.S. 011 Purvis J. Behan","Elementary","13","R","R","R","R","R","R","R","R","20"
"13K020","P.S. 020 Clinton Hill","Elementary","13","R","R","R","R","R","R","R","R","13"
"13K044","P.S. 044 Marcus Garvey","Elementary","13","R","R","R","R","R","R","R","R","R"
"13K046","P.S. 046 Edward C. Blum","Elementary","13","R","R","R","R","R","R","R","R","R"
"13K054","P.S. 054 Samuel C. Barnes","Elementary","13","R","R","R","R","R","R","R","R","9"
"13K056","P.S. 056 Lewis H. Latimer","Elementary","13","R","R","R","R","R","R","R","R","R"
"13K067","P.S. 067 Charles A. Dorsey","Elementary","13","R","R","R","R","R","R","R","R","R"
"13K093","P.S. 093 William H. Prescott","Elementary","13","R","R","R","R","R","R","R","R","R"
"13K113","M.S. 113 Ronald Edmonds Learning Center","Junior High-Intermediate-Middle","13","R","R","R","R","R","R","R","R","24"
"13K133","P.S. 133 William A. Butler","Elementary","13","R","R","R","R","R","R","R","R","R"
"13K256","P.S. 256 Benjamin Banneker","Elementary","13","R","R","R","R","R","R","R","R","R"
"13K265","Dr. Susan S. McKinney Secondary School of the Arts","Secondary School","13","R","R","R","R","R","R","R","R","36"
"13K266","M.S. K266 - Park Place Community Middle School","Junior High-Intermediate-Middle","13","R","R","R","R","R","R","R","R","12"
"13K270","P.S. 270 Johann DeKalb","Elementary","13","R","R","R","R","R","R","R","R","7"
"13K282","P.S. 282 Park Slope","K-8","13","8","R","R","R","67","R","R","R","111"
"13K287","P.S. 287 Bailey K. Ashford","Elementary","13","R","R","R","R","R","R","R","R","7"
"13K301","Satellite East Middle School","Junior High-Intermediate-Middle","13","R","R","R","R","R","R","R","R","12"
"13K305","P.S. 305 Dr. Peter Ray","Elementary","13","R","R","R","R","R","R","R","R","R"
"13K307","P.S. 307 Daniel Hale Williams","Elementary","13","R","R","R","R","R","R","R","R","12"
"13K313","Dock Street School for STEAM Studies","Junior High-Intermediate-Middle","13","R","R","R","R","R","R","R","R","8"
"13K350","Urban Assembly School for Music and Art","High school","13","R","R","R","R","R","R","R","R","51"
"13K351","The Urban Assembly Unison School","Junior High-Intermediate-Middle","13","R","R","R","R","R","R","R","R","37"
"13K412","Brooklyn Community High School of Communication, A","High school","13","R","R","R","R","R","R","R","R","11"
"13K419","Science Skills Center High School for Science, Tec","High school","13","R","R","R","R","R","R","R","R","33"
"13K430","Brooklyn Technical High School","High school","13","R","R","R","R","R","R","R","R","88"
"13K439","Brooklyn International High School","High school","13","R","R","R","R","R","R","R","R","7"
"13K483","The Urban Assembly School for Law and Justice","High school","13","R","R","R","R","R","R","R","R","55"
"13K492","Academy of Arts and Letters","K-8","13","R","R","R","R","R","R","R","R","R"
"13K499","ACORN Community High School","High school","13","R","R","R","R","R","R","R","R","16"
"13K527","Urban Assembly Institute of Math and Science for Y","Secondary School","13","R","R","R","R","R","R","R","R","45"
"13K553","Brooklyn Academy High School","High school","13","R","R","R","R","R","R","R","R","8"
"13K575","Bedford Stuyvesant Preparatory High School","High school","13","R","R","R","R","R","R","R","R","R"
"13K595","Bedford Academy High School","High school","13","R","R","R","R","R","R","R","R","16"
"13K605","George Westinghouse Career and Technical Education","High school","13","R","R","R","R","R","R","R","R","136"
"13K616","Brooklyn High School for Leadership and Community","High school","13","R","R","R","R","R","R","R","R","24"
"13K657","Downtown Brooklyn Yabc","High school","13","R","R","R","R","R","R","R","R","R"
"13K670","Benjamin Banneker Academy","High school","13","R","R","R","R","R","R","R","R","92"
"13K674","City Polytechnic High School of Engineering, Archi","High school","13","R","R","R","R","R","R","R","R","30"
"13K691","Fort Greene Preparatory Academy","Junior High-Intermediate-Middle","13","R","R","R","R","R","R","R","R","29"
"13K869","District 13 PRE-K Center","District Pre-K Center","13","R","R","R","R","R","R","R","R","0"
"13K901","G. Westinghouse Evening H.S.","Ungraded","13","R","R","R","R","R","R","R","R","0"
"13K902","Westinghouse Evening Hs T/R","Ungraded","13","R","R","R","R","R","R","R","R","0"
"14K016","P.S. 016 Leonard Dunkly","Elementary","14","R","R","R","R","R","R","R","R","0"
"14K017","P.S. 017 Henry D. Woodworth","Elementary","14","R","R","R","R","R","R","R","R","0"
"14K018","P.S. 018 Edward Bush","Elementary","14","R","R","R","R","R","R","R","R","6"
"14K023","P.S. 023 Carter G. Woodson","Elementary","14","R","R","R","R","R","R","R","R","6"
"14K031","P.S. 031 Samuel F. Dupont","Elementary","14","R","R","R","R","R","R","R","R","0"
"14K034","P.S. 034 Oliver H. Perry","Elementary","14","R","R","R","R","R","R","R","R","R"
"14K050","J.H.S. 050 John D. Wells","Junior High-Intermediate-Middle","14","R","R","R","R","R","R","R","R","34"
"14K059","P.S. 059 William Floyd","Elementary","14","R","R","R","R","R","R","R","R","8"
"14K071","Juan Morel Campos Secondary School","Secondary School","14","12","R","R","R","156","R","R","R","269"
"14K084","P.S. 084 Jose De Diego","K-8","14","R","R","R","R","R","R","R","R","15"
"14K110","P.S. 110 The Monitor","Elementary","14","R","R","R","R","R","R","R","R","0"
"14K120","P.S. 120 Carlos Tapia","Elementary","14","R","R","R","R","R","R","R","R","0"
"14K126","John Ericsson Middle School 126","Junior High-Intermediate-Middle","14","R","R","R","R","R","R","R","R","77"
"14K132","P.S. 132 The Conselyea School","Elementary","14","R","R","R","R","R","R","R","R","37"
"14K147","P.S. 147 Isaac Remsen","Elementary","14","R","R","R","R","R","R","R","R","R"
"14K157","P.S./I.S. 157 The Benjamin Franklin Health & Scien","K-8","14","R","R","R","R","R","R","R","R","23"
"14K196","P.S. 196 Ten Eyck","Elementary","14","R","R","R","R","R","R","R","R","9"
"14K250","P.S. 250 George H. Lindsay","Elementary","14","R","R","R","R","R","R","R","R","R"
"14K257","P.S. 257 John F. Hylan","Elementary","14","R","R","R","R","R","R","R","R","7"
"14K297","P.S. 297 Abraham Stockton","Elementary","14","R","R","R","R","R","R","R","R","R"
"14K318","I.S. 318 Eugenio Maria De Hostos","Junior High-Intermediate-Middle","14","R","R","R","R","R","R","R","R","180"
"14K319","P.S. 319","Early Childhood","14","R","R","R","R","R","R","R","R","0"
"14K380","P.S. 380 John Wayne Elementary","Elementary","14","R","R","R","R","R","R","R","R","R"
"14K414","Brooklyn Arbor Elementary School","Elementary","14","R","R","R","R","R","R","R","R","19"
"14K449","Brooklyn Latin School, The","High school","14","R","R","R","R","R","R","R","R","10"
"14K454","Green School: An Academy for Environmental Careers","High school","14","R","R","R","R","R","R","R","R","10"
"14K474","PROGRESS High School for Professional Careers","High school","14","R","R","R","R","R","R","R","R","72"
"14K477","School for Legal Studies","High school","14","R","R","R","R","R","R","R","R","29"
"14K478","The High School for Enterprise, Business and Techn","High school","14","R","R","R","R","R","R","R","R","91"
"14K488","Brooklyn Preparatory High School","High school","14","R","R","R","R","R","R","R","R","61"
"14K558","Williamsburg High School for Architecture and Desi","High school","14","R","R","R","R","R","R","R","R","124"
"14K561","Williamsburg Preparatory School","High school","14","R","R","R","R","R","R","R","R","37"
"14K577","Conselyea Preparatory School","Junior High-Intermediate-Middle","14","R","R","R","R","R","R","R","R","13"
"14K582","M.S. 582","Junior High-Intermediate-Middle","14","R","R","R","R","R","R","R","R","16"
"14K586","Lyons Community School","Secondary School","14","R","R","R","R","R","R","R","R","46"
"14K610","Automotive High School","High school","14","R","R","R","R","R","R","R","R","59"
"14K614","Young Women's Leadership School of Brooklyn","Secondary School","14","R","R","R","R","R","R","R","R","27"
"14K632","Frances Perkins Academy","High school","14","R","R","R","R","R","R","R","R","37"
"14K685","El Puente Academy for Peace and Justice","High school","14","R","R","R","R","R","R","R","R","15"
"14K923","Automotive High School Yabc","High school","14","R","R","R","R","R","R","R","R","0"
"15K001","P.S. 001 The Bergen","Elementary","15","R","R","R","R","R","R","R","R","6"
"15K010","Magnet School of Math, Science and Design Technolo","Elementary","15","R","R","R","R","R","R","R","R","9"
"15K015","P.S. 015 Patrick F. Daly","Elementary","15","R","R","R","R","R","R","R","R","7"
"15K024","P.S. 024","Elementary","15","R","R","R","R","R","R","R","R","0"
"15K029","P.S. 029 John M. Harrigan","Elementary","15","R","R","R","R","R","R","R","R","26"
"15K032","P.S. 032 Samuel Mills Sprole","Elementary","15","R","R","R","R","R","R","R","R","8"
"15K038","P.S. 038 The Pacific","Elementary","15","R","R","R","R","R","R","R","R","10"
"15K039","P.S. 039 Henry Bristow","Elementary","15","R","R","R","R","R","R","R","R","R"
"15K051","M.S. 51 William Alexander","Junior High-Intermediate-Middle","15","R","R","R","R","R","R","R","R","19"
"15K058","P.S. 058 The Carroll","Elementary","15","R","R","R","R","R","R","R","R","R"
"15K088","J.H.S. 088 Peter Rouget","Junior High-Intermediate-Middle","15","R","R","R","R","R","R","R","R","28"
"15K094","P.S. 094 The Henry Longfellow","Elementary","15","R","R","R","R","R","R","R","R","15"
"15K107","P.S. 107 John W. Kimball","Elementary","15","R","R","R","R","R","R","R","R","0"
"15K118","The Maurice Sendak Community School","Elementary","15","R","R","R","R","R","R","R","R","0"
"15K124","P.S. 124 Silas B. Dutcher","Elementary","15","R","R","R","R","R","R","R","R","0"
"15K130","P.S. 130 The Parkside","Elementary","15","R","R","R","R","R","R","R","R","12"
"15K131","P.S. 131 Brooklyn","Elementary","15","R","R","R","R","R","R","R","R","0"
"15K136","I.S. 136 Charles O. Dewey","Junior High-Intermediate-Middle","15","R","R","R","R","R","R","R","R","20"
"15K146","The Brooklyn New School, P.S. 146","Elementary","15","R","R","R","R","R","R","R","R","R"
"15K154","The Windsor Terrace School","Elementary","15","R","R","R","R","R","R","R","R","0"
"15K169","P.S. 169 Sunset Park","Elementary","15","R","R","R","R","R","R","R","R","16"
"15K172","P.S. 172 Beacon School of Excellence","Elementary","15","R","R","R","R","R","R","R","R","0"
"15K230","P.S. 230 Doris L. Cohen","Elementary","15","R","R","R","R","R","R","R","R","R"
"15K261","P.S. 261 Philip Livingston","Elementary","15","R","R","R","R","R","R","R","R","R"
"15K295","P.S. 295","Elementary","15","R","R","R","R","R","R","R","R","0"
"15K321","P.S. 321 William Penn","Elementary","15","R","R","R","R","R","R","R","R","R"
"15K418","The Children's School","Elementary","15","R","R","R","R","R","R","R","R","0"
"15K423","Brooklyn Frontiers High School","High school","15","R","R","R","R","R","R","R","R","44"
"15K429","Digital Arts and Cinema Technology High School","Secondary School","15","R","R","R","R","R","R","R","R","67"
"15K442","M.S. 442 Carroll Gardens School for Innovation","Junior High-Intermediate-Middle","15","R","R","R","R","R","R","R","R","12"
"15K443","New Voices School of Academic & Creative Arts","Junior High-Intermediate-Middle","15","R","R","R","R","R","R","R","R","0"
"15K447","The Math & Science Exploratory School","Junior High-Intermediate-Middle","15","R","R","R","R","R","R","R","R","10"
"15K448","Brooklyn Secondary School for Collaborative Studie","Secondary School","15","R","R","R","R","R","R","R","R","110"
"15K462","John Jay School for Law","High school","15","R","R","R","R","R","R","R","R","25"
"15K463","Secondary School for Journalism","High school","15","R","R","R","R","R","R","R","R","20"
"15K464","Park Slope Collegiate","Secondary School","15","R","R","R","R","R","R","R","R","12"
"15K497","The Boerum Hill School for International Studies","Secondary School","15","R","R","R","R","R","R","R","R","29"
"15K516","Sunset Park Avenues Elementary School","Elementary","15","R","R","R","R","R","R","R","R","R"
"15K519","Cobble Hill School of American Studies","High school","15","R","R","R","R","R","R","R","R","49"
"15K529","West Brooklyn Community High School","High school","15","R","R","R","R","R","R","R","R","R"
"15K592","Khalil Gibran International Academy","High school","15","R","R","R","R","R","R","R","R","R"
"15K656","Brooklyn High School of the Arts","High school","15","R","R","R","R","R","R","R","R","70"
"15K667","Sunset Park High School","High school","15","R","13","R","R","R","46","R","R","65"
"15K676","Red Hook Neighborhood School","Elementary","15","R","R","R","R","R","R","R","R","18"
"15K684","Millennium Brooklyn HS","High school","15","R","R","R","R","R","R","R","R","8"
"15K698","South Brooklyn Community High School","High school","15","R","R","R","R","R","R","R","R","10"
"15K767","The Little Brooklyn Pre-K Center","District Pre-K Center","15","R","R","R","R","R","R","R","R","0"
"15K821","Sunset Park Prep","Junior High-Intermediate-Middle","15","R","9","R","R","R","50","R","R","66"
"15K839","M.S. 839","Junior High-Intermediate-Middle","15","R","R","R","R","R","R","R","R","15"
"15K863","Pre-K Center at Bishop Ford School Site","District Pre-K Center","15","R","R","R","R","R","R","R","R","0"
"16K005","P.S. 005 Dr. Ronald Mcnair","Elementary","16","R","R","R","R","R","R","R","R","13"
"16K021","P.S. 021 Crispus Attucks","Elementary","16","R","R","R","R","R","R","R","R","R"
"16K025","P.S. 025 Eubie Blake School","Elementary","16","R","R","R","R","R","R","R","R","0"
"16K026","P.S. 026 Jesse Owens","Elementary","16","R","R","R","R","R","R","R","R","R"
"16K028","P.S. 028 The Warren Prep Academy","Elementary","16","R","R","R","R","R","R","R","R","R"
"16K035","M.S. 035 Stephen Decatur","Junior High-Intermediate-Middle","16","R","R","R","R","R","R","R","R","R"
"16K040","P.S. 040 George W. Carver","Elementary","16","R","R","R","R","R","R","R","R","R"
"16K057","J.H.S. 057 Whitelaw Reid","Junior High-Intermediate-Middle","16","R","R","R","R","R","R","R","R","11"
"16K081","P.S. 081 Thaddeus Stevens","Elementary","16","R","R","R","R","R","R","R","R","R"
"16K243","P.S. 243K- The Weeksville School","Elementary","16","R","R","R","R","R","R","R","R","R"
"16K262","P.S. 262 El Hajj Malik El Shabazz Elementary Schoo","K-8","16","R","R","R","R","R","R","R","R","9"
"16K267","M.S. 267 Math, Science & Technology","Junior High-Intermediate-Middle","16","R","R","R","R","R","R","R","R","6"
"16K308","P.S. 308 Clara Cardwell","K-8","16","R","R","R","R","R","R","R","R","24"
"16K309","P.S. 309 The George E. Wibecan Preparatory Academy","Elementary","16","R","R","R","R","R","R","R","R","R"
"16K335","P.S. 335 Granville T. Woods","Elementary","16","R","R","R","R","R","R","R","R","19"
"16K393","Frederick Douglass Academy IV Secondary School","High school","16","R","R","R","R","R","R","R","R","6"
"16K455","Boys and Girls High School","High school","16","R","R","R","R","R","R","R","R","67"
"16K498","Brooklyn High School for Law and Technology","High school","16","R","R","R","R","R","R","R","R","68"
"16K584","M.S. 584","Junior High-Intermediate-Middle","16","R","R","R","R","R","R","R","R","21"
"16K594","Gotham Professional Arts Academy","High school","16","R","R","R","R","R","R","R","R","57"
"16K627","Brighter Choice Community School","Elementary","16","R","R","R","R","R","R","R","R","0"
"16K628","Brooklyn Brownstone School","Elementary","16","R","R","R","R","R","R","R","R","0"
"16K669","Research and Service High School","High school","16","R","R","R","R","R","R","R","R","8"
"16K681","Madiba Prep Middle School","Junior High-Intermediate-Middle","16","R","R","R","R","R","R","R","R","R"
"16K688","The Brooklyn Academy of Global Finance","High school","16","R","R","R","R","R","R","R","R","21"
"16K765","Nelson Mandela High School","High school","16","R","R","R","R","R","R","R","R","44"
"16K959","BOYS AND GIRLS YABC","High school","16","R","R","R","R","R","R","R","R","0"
"17K002","Parkside Preparatory Academy","Junior High-Intermediate-Middle","17","R","R","R","R","R","R","R","R","79"
"17K006","Norma Adams Clemons Academy","Elementary","17","R","R","R","R","R","R","R","R","R"
"17K012","Dr. Jacqueline Peek-Davis School","Elementary","17","R","R","R","R","R","R","R","R","R"
"17K061","M.S. 061 Dr. Gladstone H. Atwell","Junior High-Intermediate-Middle","17","R","R","R","R","R","R","R","R","38"
"17K091","P.S. 091 The Albany Avenue School","Elementary","17","R","R","R","R","R","R","R","R","10"
"17K092","P.S. 092 Adrian Hegeman","Elementary","17","R","R","R","R","R","R","R","R","R"
"17K122","Pathways in Technology Early College High School (","High school","17","R","R","R","R","R","R","R","R","16"
"17K138","P.S. 138 Brooklyn","K-8","17","R","R","R","R","R","R","R","R","6"
"17K161","P.S. 161 The Crown","Elementary","17","R","R","R","R","R","R","R","R","R"
"17K181","P.S. 181 Brooklyn","K-8","17","R","R","R","R","R","R","R","R","19"
"17K189","P.S. 189 The Bilingual Center","K-8","17","R","R","R","R","R","R","R","R","14"
"17K191","P.S. 191 Paul Robeson","Elementary","17","R","R","R","R","R","R","R","R","12"
"17K221","P.S. 221 Toussaint L'Ouverture","Elementary","17","R","R","R","R","R","R","R","R","R"
"17K241","P.S. 241 Emma L. Johnston","Elementary","17","R","R","R","R","R","R","R","R","R"
"17K246","M.S. 246 Walt Whitman","Junior High-Intermediate-Middle","17","R","R","R","R","R","R","R","R","R"
"17K249","P.S. 249 The Caton","Elementary","17","R","R","R","R","R","R","R","R","7"
"17K289","P.S. 289 George V. Brower","Elementary","17","R","R","R","R","R","R","R","R","0"
"17K316","P.S. 316 Elijah Stroud","Elementary","17","R","R","R","R","R","R","R","R","0"
"17K340","I.S. 340","Junior High-Intermediate-Middle","17","R","R","R","R","R","R","R","R","10"
"17K352","Ebbets Field Middle School","Junior High-Intermediate-Middle","17","R","R","R","R","R","R","R","R","43"
"17K353","Elijah Stroud Middle School","Junior High-Intermediate-Middle","17","R","R","R","R","R","R","R","R","R"
"17K354","The School of Integrated Learning","Junior High-Intermediate-Middle","17","R","R","R","R","R","R","R","R","22"
"17K375","P.S. 375 Jackie Robinson School","Elementary","17","R","R","R","R","R","R","R","R","15"
"17K382","Academy for College Preparation and Career Explora","Secondary School","17","R","R","R","R","R","R","R","R","95"
"17K394","M.S. K394","K-8","17","R","R","R","R","R","R","R","R","9"
"17K397","P.S. 397 Foster-Laurie","Elementary","17","R","R","R","R","R","R","R","R","0"
"17K398","P.S. 398 Walter Weaver","Elementary","17","R","R","R","R","R","R","R","R","R"
"17K399","P.S. 399 Stanley Eugene Clark","Elementary","17","R","R","R","R","R","R","R","R","R"
"17K408","Academy of Hospitality and Tourism","High school","17","R","R","R","R","R","R","R","R","28"
"17K467","Erasmus Yabc","High school","17","R","R","R","R","R","R","R","R","R"
"17K484","Ronald Edmonds Learning Center II","Junior High-Intermediate-Middle","17","R","R","R","R","R","R","R","R","20"
"17K489","W.E.B. Dubois Academic High School","High school","17","R","R","R","R","R","R","R","R","R"
"17K524","International High School at Prospect Heights","High school","17","R","R","R","R","R","R","R","R","11"
"17K528","The High School for Global Citizenship","High school","17","R","R","R","R","R","R","R","R","29"
"17K531","School for Human Rights, The","Secondary School","17","R","R","R","R","R","R","R","R","10"
"17K532","New Bridges Elementary","Elementary","17","R","R","R","R","R","R","R","R","R"
"17K533","School for Democracy and Leadership","Secondary School","17","R","R","R","R","R","R","R","R","55"
"17K537","High School for Youth and Community Development at","High school","17","R","R","R","R","R","R","R","R","51"
"17K539","High School for Service & Learning at Erasmus","High school","17","R","R","R","R","R","R","R","R","60"
"17K543","Science, Technology and Research Early College Hig","Secondary School","17","R","R","R","R","R","R","R","R","32"
"17K546","High School for Public Service: Heroes of Tomorrow","High school","17","R","R","R","R","R","R","R","R","16"
"17K547","Brooklyn Academy of Science and the Environment","High school","17","R","R","R","R","R","R","R","R","58"
"17K548","Brooklyn School for Music & Theatre","High school","17","R","R","R","R","R","R","R","R","81"
"17K568","Brownsville Academy High School","High school","17","R","R","R","R","R","R","R","R","23"
"17K590","Medgar Evers College Preparatory School","Secondary School","17","R","R","R","R","R","R","R","R","55"
"17K600","Clara Barton High School","High school","17","R","R","R","R","R","R","R","R","142"
"17K705","Brooklyn Arts and Science Elementary School","Elementary","17","R","R","R","R","R","R","R","R","61"
"17K722","New Heights Middle School","Junior High-Intermediate-Middle","17","R","R","R","R","R","R","R","R","14"
"17K745","Brooklyn Institute for Liberal Arts","High school","17","R","R","R","R","R","R","R","R","10"
"17K751","Academy for Health Careers","High school","17","R","R","R","R","R","R","R","R","47"
