"name","fileorder","number","parkprop","borough","parkname","parknumber","commboard","council","location","extant","dedicated","cast","descrip","dimen","sponsor","materials","foundry","fabricator","sculptor","architect","donor","maintain","contractor","name2","name3","maintainedbyparks","installation","rededication","cost","categories","inscribed","x","y"
"Julius Goldstein",,"596","Y","Brooklyn","Seth Low Playground","B100","11","44","PARK #8; Avenue P and 73rd Street","M",,,"bronze plaque, tree",,,,,,,,,,,,,,,,,,,,
"Frank J. Goodwin",,"597","Y","Manhattan","Chelsea Park","M011","4","3","9th Avenue at 27th Street","Y","1926",,"Memorial gate posts","H: 5'10"" W: 2' D: 2'",,"North Jay granite",,,,"Murry and Matheson","Horatio Seymour Tammany Club",,,,,"Y",,,,"Public Servant, Politcal Figure",,"984429.9664916396","212360.82992123067"
"gorden square park (marc shuman park)",,"598","Y","Queens","Private Edward F. Gordon Square","Q018","2","26","VERNON BOULEVARD; 44th drive, and 10th st.","M",,,"captured cannon (salvaged wwii?),pq,pl","6""h x 15""w x ¼""d",,"bronze, concrete plinth",,,,,,,,,,,,,,"War Memorial, World War I",,,
"Charles and Murray Gordon",,"599","Y","Manhattan","Fort Washington Park","M028","12","7","Riverside Drive at West 156th Street","Y","1925",,"Tablets on markers (2)","Tablets H: 5 1/2"" W: 8 1/2""; Markers H: 11"" W: 14"" D: 9""",,"Bronze, cast stone",,,,,"Charles and Murray Gordon Post No. 130, Jewish War Veterans of the United States of America",,,,,"Y",,,,"World War I, War Memorial",,"998713.3873998076","243291.63420122862"
"Gorilla","Gorilla","600","O","Manhattan","Central Park","M010","7","6","Central Park Zoo; School, south end of east façade","Y","1935","1935","Bas-relief",,,"Indiana limestone",,,"Frederick George Richard Roth","Aymar Embury II",,,,,,,,,,"Animal: other, Sculpture",,"992335.5845386386","219054.1738179773"
"Denis P. Gorman",,"601","Y","Queens","Denis P. Gorman Memorial Park","Q085","3","25","30th Avenue, 84th and 85th Streets","Y","1964",,"Plaque on field house wall","H: 18"" W: 24"" D: 5/8""",,"Bronze",,,,,,,,,,"Y",,,,"Public Servant, Civic Leader",,"1016348.1273927242","216879.23689489067"
"Gertie A. Gorman Memorial","Gorman, Gertie","602","Y","Manhattan","Gorman Memorial Park","M031","12","10","West 189th Street and Wadsworth Terrace","Y","1929","1929","Stele and exedra","H: 9' W: 17' D: 1'6""",,"Deer Isle granite",,,"C. Fisher Weimer",,"Gertie Emily Gorman Webb and Charles Webb",,,,,"Y",,,,"Women",,"1003000.2272513062","250912.11469514668"
"Gowanus Plaque (James J. Byrne)",,"603","Y","Brooklyn",,,"0","0",,"M",,,,,,,,,,,,,,,,,,,,,,,
"Gracie Mansion",,"604","Y","Manhattan","Carl Schurz Park","M081","8","5","Northeast corner of walk surrounding mansion; Not Found 4/06 by J&V","M","1939",,"Tablet set in marker","H: 7"" W: 1'3""",,"Bronze, cement",,,,,"British Government",,,,,,,,,,,"1000061.5789291412","222088.44399614632"
"Gracie Mansion Garden Tablet",,"605","Y","Manhattan","Carl Schurz Park","M081","8","5","Gracie Mansion garden - Not Found 4/06 by J&V","M","1968",,"Tablet on plinth","Tablet H: 9"" W: 13""; Plinth H:11"" W: 15"" D:12""",,"Bronze, concrete","U.S. Bronze Sign Company, NY",,,,"City Garden Club",,,,,,,,"250.00",,,"1000173.0829712152","222082.49682955444"
"Gracie Mansion Landmark Tablet",,"606","Y","Manhattan","Carl Schurz Park","M081","8","5","East 89th Street and East End Avenue","Y","1960",,"Tablet","H: 15 1/8"" W: 23""",,"Aluminum",,,,,"New York Community Trust",,,,,"Y",,,,,,"999962.9908717275","222308.66468431056"
"gracie, archibald plaque",,"607","N","Manhattan",,,"8","5","GRACIE SQUARE & E. END AVE.; 84th st across from carl schurz park","Y","1930",,"plaque on exterior bldg. wall",,,"bronze",,,,,"anthony a. paterno",,,,,,,,,,,,
"graham, david",,"608","N","Manhattan",,,"1","1","COUNTY COURT HOUSE, ROOM 216; chambers and centre st.","Y",,,"plaque",,,,,,,,,,,,,,,,,,,,
"Grand Army Plaza Lamps",,"609","Y","Brooklyn","Grand Army Plaza","B040","19","33","Plaza entrance","Y",,,"Lamps",,,"Bronze","W & J Lamb Co.",,,,,,,,,,,,,,,"992581.5397553891","184404.7755972296"
"Grand Army Plaza Urns",,"610","Y","Brooklyn","Grand Army Plaza","B040","19","33","GRAND ARMY PLAZA - IN STORAGE","S",,"c.1898-1902?","Urns","Total Height from base to highest point of snake handle: approx. 29 1/2"" highBase: approx. 16 3/4"" wideWidth of urn from snake handles: approx. 36""",,"Bronze",,,,"Stanford White",,,,,,,,,,,,,
"Grand Street Boys War Tablet",,"611","Y","Manhattan",,"M083","7","6","Broadway at 70th Street","Y","November 11, 1954",,"Tablet on plinth","H: 1'3"" W: 1'9""",,"Bronze and granite",,,,,"Grand Street Boys",,,,,"Y",,,,"World War II, War Memorial",,"989142.3612663001","222486.28572013974"
"grant memorial tablet",,"612","N","Manhattan",,,"0","0",,"N",,,,,,,,,,,,,,,,,,,,,,,
"Grant Square Fountain",,"613","Y","Brooklyn","Grant Square Gore","B041","8","36","GRANT SQUARE AND BEDFORD AVE","N",,,"fountain, circular display,",,,"granite, bronze",,,,,,,,,,,,,,,,,
"Grant's Tomb",,"614","O","Manhattan",,"M071","9","9","Riverside Drive at 122nd Street","Y","1897, conrstruction, April 27, 1892",,"building, architectural tomb","150'h x 90'w x 90'd",,"nrt j. gran., lee ma. mbl; see memo",,"john t. brady, builder",,"John Hemingway Duncan","public subscrip. $600,000.",,,,,,,,,,,"994476.2354410589","235644.80238206685"
"Grant's Tomb -D.A.R. Flagstaff",,"615","Y","Manhattan","Riverside Park","M071","0","9","GRANT'S TOMB, riverside drive at 122nd st","S","1897",,"Emblem curved to fit pole, in storage","15"" x 16""",,"Bronze",,,,,"d.a.r.",,,,,,,,,,,,
"Grant's Tomb Eagles",,"616","N","Manhattan","Riverside Park","M071","7","6","122nd St.","Y",,,"2 eagles",,,"granite",,,,,,,,,,,,,,,,"994477.6461993903","235541.13887546957"
"Grant's Tomb Eagles",,"616","N","Manhattan","Riverside Park","M071","7","6","122nd St.","Y",,,"2 eagles",,,"granite",,,,,,,,,,,,,,,,"994413.9301194698","235563.0338448137"
"Emanuel Grant",,"618","Y","Manhattan","Central Park","M010","7","6","Central Park West and 79th Street","M","1970",,"Tablet on natural rock outcrop","H: 8"" W: 10""",,"Bronze",,,,,"Children of Emmanuel Grant",,,,,,,,,,,,
"Major General Frederick D. Grant",,"619","Y","Manhattan","Riverside Park","M071","9","9","Grant's Tomb Terrace; Riverside Drive at 122nd Street","Y","1939",,"Flagstaff pedestal with tablet","H: 6'1 ½"" Diameter: 8'",,"Somesound granite, bronze",,,,,"DPR",,,,,"Y",,,,"War Memorial, Soldier, Civil War",,"994392.2444673032","235546.81668564677"
"Ulysses Simpson Grant","Grant, Ulysses Simpson","620","Y","Brooklyn","Grant Square Gore","B041","8","36","Bedford Avenue and Bergen Street","Y","April 27, 1896","1896","Equestrian figure on integral plinth on pedestal","Figure H: 12' W: 18' D: 26'; Pedestal H: 15'2"" W: 18'6"" D: 34'",,"Bronze, dark Barre granite","M.H. Mosman, Chicopee, MA",,"William Ordway Partridge",,"Union League of Brooklyn",,,,,"Y",,,"$35,000","Civil War, War Memorial, US President",,"997352.0679439753","185813.87973439693"
"Ulysses Simpson Grant","Grant, Ulysses Simpson","621","Y","Brooklyn","Grand Army Plaza","B040","19","33","Soldiers and Sailors Memorial Arch, east pier, inside archway","Y","1901","ca. 1894","Equestrian figure in high relief",,"Schwartz","Bronze",,,"Thomas Eakins; William Rudolph O'Donovan",,"City of Brooklyn",,,,,"Y",,,,"Civil War, Animal: equestrian, US President, War Memorial",,"992623.2670341432","184471.85518747568"
"grants tomb bronze busts",,"622","O","Manhattan",,,"9","9","GRANTS TOMB; riverside drive at 122nd st","Y","1938",,"portrait busts","2'6""",,"bronze",,,"a.w. mues (2); j. juszko (3)",,"wpa",,,,,,,,,"Civil War, War Memorial",,,
"Gravesend Park Plaque",,"623","Y","Brooklyn","Gravesend Park","B042","12","44","18th Avenue between 56th and 57th Streets","N",,,"Plaque recessed in wall",,,"Anodized aluminum",,,,,,,,,,"N",,,,,,"988434.544768557","166620.6228453964"
"Corporal Robert Gray Tree Marker",,"624","Y","Queens","Forest Park","Q015","16","30","Near Schaefer Circle","Y",,,"Tree marker",,,"Bronze",,,,,,,,,,"Y",,,,"World War I, War Memorial, World War I, World War I",,"1028156.266506061","194876.45708164573"
"greek architecture",,"625","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","BROOKLYN MUSEUM; eastern parkway","Y","1909",,"statue on roofline",,,"indiana limestone",,,"Herbert Adams",,"purchase, $3000.",,,,,,,,,,,,
"greek dramatic art",,"626","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","BROOKLYN MUSEUM; eastern parkway","Y","1909",,"statue",,,"indiana limestone",,,"george t. brewster",,"purchase, $3000.",,,,,,,,,,,,
"greek epic poetry",,"627","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","BROOKLYN MUSEUM; eastern parkway","Y","1909",,"statue",,,"indiana limestone",,,"daniel chester french",,"purchase; $3000.",,,,,,,,,,,,
"greek law giver",,"628","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","BROOKLYN MUSEUM; eastern parkway","Y","1909",,"statue on roofline",,,"indiana limestone",,,"george t. brewster",,"purchase; $3000.",,,,,,,,,,,,
"greek lyric poetry",,"629","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","BROOKLYN MUSEUM; eastern parkway","Y","1909",,"statue on roof",,,"indiana limestone",,,"daniel chester french",,"purchase; $3000.",,,,,,,,,,,,
"greek oratory",,"630","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","BROOKLYN MUSEUM; eastern parkway","Y","1909",,"statue on roofline",,,"indiana limestone",,,"Herbert Adams",,"purchase, $3000.",,,,,,,,,,,,
"greek philosophy",,"631","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","BROOKLYN MUSEUM; eastern parkway","Y","1909",,"statue on roofline",,,"indiana limestone",,,"Herbert Adams",,"purchase; $3000.",,,,,,,,,,,,
"greek religion",,"632","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","BROOKLYN MUSEUM; eastern parkway","Y","1909",,"statue on roofline",,,"indiana limestone",,,"daniel chester french",,"purchase; $3000.",,,,,,,,,,,,
"greek science",,"633","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","BROOKLYN MUSEUM; eastern parkway","Y","1909",,"statue on roofline",,,"indiana limestone",,,"kenyon cox",,"purchase; $3000.",,,,,,,,,,,,
"greek sculpture",,"634","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","BROOKLYN MUSEUM; eastern parkway","N","1909",,"statue on roofline",,,"indiana limestone",,,"Herbert Adams",,"purchase; $3000.",,,,,,,,,,,,
"Horace Greeley","Greeley, Horace","635","Y","Manhattan","Greeley Square","M032","5","3","32nd Street between Broadway and Sixth Avenue","Y","May 30, 1894","1892","Seated figure on integral plinth (over life-size),on pedestal",,"34th Street Partnership","Bronze, Quincy granite (polished)","Henry Bonnard Bronze Co",,"Alexander Doyle",,"New York Typographical Union No. 6",,,,,"Y",,,,"Politcal Figure, Business Leader",,"987475.6910432279","212000.20859523118"
"Horace Greeley",,"636","N","Manhattan","City Hall Park","M013","1","1","ROTUNDA, 2ND FLOOR; City Hall","N","1890",,"bust lifesize",,,"plaster",,,"unknown (alexander doyle ?)",,"gift (see memo)",,,,,,,,,"Politcal Figure, Business Leader",,,
"Horace Greeley","Greeley, Horace","637","Y","Manhattan","City Hall Park","M013","1","1","Northeast corner of the park","Y","1916","1890","Seated figure (over life-size) on integral plinth, on pedestal","Figure H: 7'2'; Plinth H: 5"" W: 5'8"" D: 6'8""; Pedestal H: 5'7"" W: 5'8"" D: 6'8""",,"Bronze, Quincy granite (polished)","Henry Bonnard Bronze Co",,"John Quincy Adams Ward","Richard Morris Hunt","Tribune Association",,,,,"Y",,,,"Politcal Figure, Business Leader",,"982879.7812718004","199001.07612897456"
"Andrew Haswell Green",,"638","Y","Manhattan","Central Park","M010","7","6","East Drive, opposite 104th Street","Y","1928",,"Memorial seat","H: 4'11"" W: 12'5"" D: 2'7""",,"Tennessee pink marble",,,"John V. & M.V. Van Pelt",,"Gift",,,,,"Y",,,,"Civic Leader",,"996911.2571458071","228965.92335139215"
"Dr. Mary Wolcott Green",,"639","Y","Staten Island",,"R019","1","35","Heberton to Park Avenues, Bennett to Vreeland Streets","M","1927",,"Oval tablet on picket in ground","H: 6"" W: 1'",,"Bronze",,,,,,,,,,,,,,"Women, Physician",,,
"Greenpoint War Memorial Tree Marker",,"640","Y","Brooklyn","Monsignor McGolrick Park","B114","1","33","Nassau to Driggs, Russell to Monitor","M","November 11, 1919",,"Tablet on boulder","H: 9 ½"" W: 14"" D: 3/8""",,"Iron",,,,,"Greenpoint Post No. 241, American Legion",,,,,,,,,"World War I, War Memorial",,,
"Greenpoint World War II Memorial",,"641","Y","Brooklyn","Macri Triangle","B223S","1","33","Union and Metropolitan Avenues","Y",,,"Stele with tablet","Stele H: 5'8"" W: 44 1/4""; Tablet H: 23 1/4"" W: 30 1/4""",,"Red granite (polished), bronze",,,,,"American Legion",,,,,"Y",,,,"World War II, War Memorial",,"997582.5448452234","199502.3536697328"
"Edvard Grieg Memorial","Grieg, Edvard Hagerup","644","Y","Brooklyn","Prospect Park","B073","0","39","Flower Garden","Y","1914","ca 1914","Bust on pedestal with plaque","Bust H: 3'; Pedestal H: 9'3"" W: 3'4"" D: 3'1""; Plaque H: 6"" W: 1'6""",,"Bust and plaque--bronze; Pedestal--granite","Florentine Brotherhood, Chicago, Illinois",,"Sigvald Asbjornsen",,"The Norwegian Societies",,,,,"Y",,,"2500.00","Composer/Musician",,"994208.3478534669","179222.7833365649"
"griffin, anne",,"645","N","Brooklyn",,,"5","37","PS 182; 720 dumont Avenue","Y","1930",,"tablet",,,"bronze","eagle bronze co",,,,"gift $115",,,,,,,,,,,,
"Group of Bears","Group of Bears","646","Y","Manhattan","Central Park","M010","7","6","Pat Hoffman Friedman Playground, 5th Avenue and 79th Street","Y","October 11, 1990","1989","Group of three on integral, graduated plinth on circular pedestal with five steps; plaque","Group H: 7'4"" W: 6' D: 4'8""; Pedestal H: 1'  Diameter: 20'; Plaque H: 1'4"" W: 9""; Weight: 1,500 pounds","CPC","Group and plaque--bronze; Pedestal--granite","Paul King Foundry",,"Paul Howard Manship","Bruce Kelly / David Varnell","Samuel N. Friedman",,,,,"Y",,,,"Animal: other",,"994236.1935983002","222557.67173223197"
"Guadalcanal Heroes",,"647","Y","Manhattan","Riverside Park","M071","0","6",,"M","apprvd art comis 9/10/47",,"Plaque on plinth",,,,,,,,"Marine Fathers Association",,,,,,,,,"World War II, War Memorial",,,
"Daniel & Flor Guggenheim Memorial Bandshell",,"648","Y","Manhattan","Damrosch Park","M231","7","6","Amsterdam Avenue and West 62nd Street","Y","1969",,"Plaque on exterior wall","H: 12"" W: 20"" D: ¼""",,"Bronze","U.S. Bronze Sign Company, NY",,,,"Gift",,,,,"Y",,,,,,"988264.1845449656","220761.81836855412"
"guidance",,"649","N","Manhattan",,,"1","1","CHAMBERS & CENTRE STS; municipal bldg  chambers st. arch","Y","1912",,"2 spandrel reliefs",,,"maine granite",,,"Adolph Alexander Weinman",,"purchase, $4946 for 2",,,,,,,,,,,,
"Joseph A. Guider Memorial","Guider, Joseph  A.","650","Y","Brooklyn","Dr. Ronald McNair Park","B044","9","35","Eastern Parkway and Washington Avenue","Y","1930","Circa 1930","Urn on pedestal",,,"Bronze, blue-white Westerly granite",,,"Romeo Frazzanito",,,,,,,"Y",,,"$15,500","Public Servant, Civic Leader",,"994782.947097972","183407.8192578107"
"Harriet Feil Gural",,"651","Y","the Bronx","Van Cortlandt Park","X092","0","11","Southwest section","M","1945",,"Plaque on plinth","Plaque H: 3 ½"" W: 5""; Plinth H: 7"" W: 8 ½""",,"Bronze, Barre granite",,,,,"Mrs. Benjamin Hayes",,,,,,,,,"Women",,,
"Gus Stanley Memorial",,"652","Y","Manhattan","Highbridge Park","M037","12","7","180th Street and Amsterdam Avenue","Y","Rededicated 1953",,"Tablet on plinth",,,"Bronze, Barre granite",,,,,"Gift",,,,,"Y",,,,"World War II, War Memorial, Soldier",,"1003259.7710235566","248005.74714830518"
"Frank S. Hackett",,"653","Y","the Bronx","Frank S. Hackett Park","X110A","8","11","Riverdale Avenue and 254th Street; top of hill","Y",,,"Plaque on boulder","Plaque H:12"" W:24"" D:½""; Boulder H: 42"" W: 50""",,"Bronze, natural boulder",,,,,,,,,,"Y",,,,"Educator, Religious Leader, Civic Leader",,"1010397.2019586414","267703.5223852247"
"Nathan Hale","Hale, Nathan","654","Y","Manhattan","City Hall Park","M013","1","1","In front of City Hall steps","Y","November 25, 1893","1890","Figure (heroic scale) on pedestal, bandeau at base","Figure H: 9' W: 3' D: 2'; Base W: 2'3"" D: 1'7¾""; Pedestal H: 6'2""  Diameter: 4'; Bandeau H: 2' Diameter: 4'5""",,"Bronze (green patina), Massachusetts pink granite (polished)","Jaboeuf & Bezout",,"Frederick William MacMonnies","Stanford White","Sons of the Revolution of New York State",,"Wilson Conservation",,,"Y",,,,"Revolutionary War, War Memorial, Sculpture",,"982493.3368347138","198809.5532180667"
"hale, nathan",,"655","N","Manhattan",,,"6","5","UN INT'L SCHOOL, SE CORNER; first ave at 51st st","Y","1935",,"plaque","36""h x24""w",,"bronze",,,,,"manhattan chapter, dar",,,,,,,,,,,,
"hale, nathan tablet",,"656","N","Manhattan",,,"6","4","GRANITE WALL, CORNER OF BLDG; se corner, 1st ave at 46th st","Y","November 16, 1915",,"bronze tablet","2'h x 1'8""w",,"bronze",,,,,"mary wash. col. chpter dar",,,,,,,,,,,,
"Fitz Greene Halleck","Halleck, Fitz Greene","658","Y","Manhattan","Central Park","M010","7","6","East side of Mall","Y","May 15, 1877","1876","Seated figure (over life-size) on integral plinth, on pedestal","Total H: 13'5"" W: 5'5"" L: 6'5""","CPC","Bronze, Westerly granite",,,"James Wilson Alexander MacDonald",,"Public subscription .",,,,,"Y",,,,"Writer",,"991968.7007579654","220056.75711464882"
"Hamilton Grange",,"659","N","Manhattan",,,"9","7","HAMILTON GRANGE, INTERIOR; convent ave and 141st st","Y","April, 1907",,"tablet on interior wall","1'10""h x 2'8""w",,"bronze",,,,,"gift of wash heights chpt dar",,,,,,,,,,,,
"Hamilton Grange Exterior",,"660","N","Manhattan",,,"9","7","HAMILTON GRANGE; convent ave and 141st st","Y","1937",,"tablet on exterior wall",,,"bronze",,,,,"ny state dept of education",,,,,,,,,,,,
"Hamilton Grange State Ed Standard",,"661","N","Manhattan",,,"9","7","CONVENT AVENUE AND 141ST ST","Y","1932",,"Sign standard",,,"Iron",,,,,"state education department",,,,,,,,,,,,
"Alexander Hamilton","Hamilton, Alexander","662","Y","Manhattan","Central Park","M010","7","6","East Drive, opposite 83rd Street","Y","November 20, 1880","1880","Standing figure (over life-size) on intergral plinth, on pedestal","Total H: 15'5"" W: 7'10"" D: 7'10""","CPC","Westerly granite",,,"Carl H. Conrads",,"John C. Hamilton, a grandson",,,,,"Y",,,,"War Memorial, Revolutionary War",,"994064.4272095561","223826.73185814917"
"Alexander Hamilton",,"663","N","Manhattan",,,"1","1","COUNTY COURT HOUSE, ROOM 315; chambers and centre sts","Y",,,"bust",,,"plaster",,,,,,,,,,,,,,,,,
"Alexander Hamilton",,"664","N","Manhattan",,,"0","0","MUSEUM OF CITY OF NEW YORK; 103rd and 5th ave","Y","1941",,"standing statue in niche","6'6"" high",,"nickel bronze",,,"Adolph Alexander Weinman",,"gift of a museum patron",,,,,,,,,,,,
"Alexander Hamilton","Hamilton, Alexander","665","N","Manhattan",,,"9","7","HAMILTON GRANGE; convent avenue, 141st st","Y","1905 or 1936",,"statue on pedestal","17'6""h x 3'3""w x 4'd",,"bronze, Barre granite--polished",,,"William Ordway Partridge",,,,,,,,,,,,,,
"Robert Ray Hamilton Fountain","Hamilton, Robert Ray","666","Y","Manhattan","Riverside Park","M071","7","6","Riverside Drive at West 76th Street","Y","1906","Circa 1906","Fountain, topped with eagle","H: 11'5"" W: 17'5"" D: 10'2""",,"Tennessee marble",,,,"Warren and Wetmore","Robert Ray Hamilton, by bequest",,,,,"Y",,,,,,"988507.6824175566","224638.4428331405"
"Brigadier General Winfield Scott Hancock","Hancock, Winfield Scott","667","Y","Manhattan","Hancock Park","M034","10","9","Manhattan Avenue at 123rd Street","Y","1891","ca. 1891","Bust on pedestal","Total H: 7'",,"Bronze, Quincy granite (polished)","M.H. Mosman, Chicopee, MA",,"James Wilson Alexander MacDonald",,"Hancock Post #259",,,,,"Y",,,,"Civil War, War Memorial",,"997186.4524615556","234210.238978222"
"Helen Hanning",,"668","Y","Manhattan","Central Park","M010","7","6","Heckscher Playground near Bridle Path","M","1942",,"Plaque on plinth","Plaque H: 5"" W: 7""; Plinth H: 9 1/2"" W: 12"" D: 12""",,"Bronze, granite",,,,,"Community Councils of the City of New York",,,,,,,,,"Women, Civic Leader",,,
"Hansborough Natatorium",,"669","Y","Manhattan","Hansborough Gymnasium and Public Bath","M131","10","9","35 West 134th Street","Y","c. 1930",,,"Upper bas relief: 6’-4”H X 10’-0”W",,"Limestone",,,"Rene Chambellan","Henry Beaumont Herts","Manhattan Borough President",,,,,,,,,"Allegorical, Animal: equestrian",,"1000237.1163077205","235834.85580772161"
"Lowell Kingsley Hanson",,"670","Y","Manhattan",,,"6","5","TURTLE BAY; First Avenue and 49th Street","Y","1977",,"Plaque mounted on column",,,"Bronze, granite",,,,,"The Turtle Bay Tree Fund",,,,,,,,,,,,
"hard, henry",,"671","N","Brooklyn",,,"0","0",,"Y",,,,,,,,,,,,,,,,,,,,,,,
"Harlem Heights First Line of Defense Marker","Harlem Heights First Line of Defense Marker","672","Y","Manhattan","Broadway Center Plots","M095","9","7","Between 147th and 148th Streets","Y","September 29, 1909","ca. 1909","Recessed plaque on natural boulder","Plaque H: 1'8"" W: 1'6""; Boulder H: 3' W: 2'6"" D: 2'6""",,"Bronze","J.V. & R.V. Lamb (original plaque); Newman Brothers, Inc., Cincinnati, OH (replacement plaque)",,,,"Washington Heights Chapter, Daughters of the American Revolution",,,,,"Y",,,"$100","Revolutionary War, War Memorial",,"998252.7485572994","240916.48409588635"
"Harlem Heights Second Line of Defense Plaque","Harlem Heights Second Line of Defense Plaque","673","N","Manhattan",,,"9","7","exterior wall of Trinity Chapel, Broadway and 155th  Street","Y","November 25, 1915","ca. 1915","Plaque","h 3' x w 2'",,"Bronze",,,,,"Washington Heights Chapter, Daughters of the American Revolution",,,,,,,,,"War Memorial, Revolutionary War",,,
"Harlem Heights Third Line of Defense Plaque","Harlem Heights Third Line of Defense Plaque","674","N","Manhattan",,,"12","7","exterior wall of building, 159th Street and Broadway","Y","November 16, 1909","ca. 1909","Plaque",,,"Bronze",,,,,"Mary Washington Colonial Chapter, Daughters of the American Revolution",,,,,,,,,"War Memorial, Revolutionary War",,,
"The Hollow Way Plaque","The Hollow Way Plaque","675","Y","Manhattan","Riverside Park","M071","0","9","In Storage at 5Boro; Formerly at 125th Street Viaduct (Claremont Viaduct), Riverside Drive","S","October 19, 1910","ca. 1910","Plaque","H: 2' W: 1'8""",,"Bronze","J.V. & R.V. Lamb",,,,"Knickerbocker Chapter, Daughters of the American Revolution",,,,,,,,,"Revolutionary War, War Memorial",,,
"Battle of Harlem Heights Marker","Battle of Harlem Heights Marker","676","Y","Manhattan","Riverside Park","M071","9","9","121st Street and Riverside Drive; in grassy triangle south of Grant's Tomb","Y","May 16, 1961","ca. 1961","Plaque on plinth","Plaque H: 1'6"" W: 2'; Plinth H: 1'7½"" W: 2'1½""",,"Bronze, granite",,,,,"Daughters of the Defenders of the Republic, U.S.A.",,,,,"Y",,,,"Revolutionary War, War Memorial",,"994353.9696094692","235146.9949787259"
"Harlem Heights Main Line of Defense Plaque","Harlem Heights Main Line of Defense Plaque","678","N","Manhattan",,,"9","7","recessed in perimeter wall of Trinity Cemetery, Broadway and 153rd Street","Y","1901","ca. 1901","Plaque with bas-relief of cannon","h 2'2"" x w 3'",,"Bronze",,,"Albert Weinert",,"Sons of the Revolution in the State of New York",,,,,,,,,"Revolutionary War, War Memorial",,,
"Harlem Heights Middle Redoubt Marker","Harlem Heights Middle Redoubt Marker","679","N","Manhattan",,,"9","7","east section of Trinity Cemetery, Broadway and 153rd Street","Y","May 5, 1929","ca. 1929","plaque on boulder","h 1'10"" x w 1'5""",,"plaque--bronze; boulder--granite",,,"Paul Wayland Bartlett",,"Washington Heights Chapter, National Society of Daughters of the American Revolution",,,,,,,,,"War Memorial, Revolutionary War",,,
"Winning of Harlem Heights Plaque","Winning of Harlem Heights Plaque","680","N","Manhattan",,,"9","9","recessed in exterior wall of building on east side of Broadway between 118th and 119th Streets","Y","1897","1897","relief plaque","h 6'1½"" x w 4'10½"" x d 4"" (approximate)",,"bronze","Henry-Bonnard Bronze Company",,"Kelly",,"Sons of the Revolution in the State of New York",,,,,,,,,"War Memorial, Revolutionary War",,,
"Harlem Hybrid","Harlem Hybrid","681","Y","Manhattan","Roosevelt Square","M189","9","7","West 125th Street and Morningside Avenue","Y","October 26, 1976","Oct. 12/13, 1976","Irregular assemblage of plates of different shapes and thicknesses","H: 10'6"" W: 12'7"" L: 27'; Weight:: 5,500 lbs.",,"Bronze (welded)",,,"Richard Howard Hunt",,"Peter Putnam/ Mildred Andrews Fund",,,,,"Y",,,,"Sculpture",,"996900.1036248058","234849.93258072436"
"harlem river drive pylons",,"682","Y","Manhattan","Harlem River Driveway","M039","12","7",,"M",,,,,,,,,,,,,,,,,,,,,,,
"harriman panels",,"683","N","Manhattan",,,"0","0",,"M",,,,,,,,,,,,,,,,,,,,,,,
"Gustave Hartman",,"684","Y","Manhattan",,"M254","3","2","Avenue C at E. Houston Street","M","1937",,"Portrait tablet","H: 2'1"" W: 1'7""",,"Bronze",,,,,"Eleventh Ward Association",,,,,,,,,"Educator, Politcal Figure",,,
"Hon. James A. Hatch",,"685","Y","Manhattan","Washington Square Park","M098","2","1","Northeast corner","S","1949",,"Tablet on base","9"" x 12""",,"Bronze, granite plinth",,"United States Bronze Signs Co., Inc.",,,"Freda B. Hatch",,,,,,,,,"Public Servant, Politcal Figure",,,
"Theodore A. Havemeyer Lilac Garden",,"686","O","the Bronx","Bronx Park","X002","14","12","New York Botanical Garden; Rose Garden, north stairs","Y","1951",,"Plaque recessed in stone","H: 16"" W: 22""",,"Bronze","International Bronze Tablet Company, Inc., New York",,,,"Mrs. Theodore A. Havemeyer",,,,,,,,,,,,
"William F. Havemeyer",,"687","O","Manhattan","City Hall Park","M013","1","1","City Hall; Governors Room","Y","1874",,"bust","life size",,"plaster",,,"Julia Griffin",,,,,,,,,,,,,,
"Hazen, Irving A.",,"690","N","Staten Island",,,"1","49","RICHMOND HILL HIGH SCHOOL  - Now South Richmond High School","Y","1930",,"plaque","no size",,"bronze","birmingham gild ltd",,,,"board of education, $150.",,,,,,,,,,,,
"Caleb Heathcote","Heathcote, Caleb","691","N","Manhattan",,,"1","1","Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, chief cornice, second from left","Y","1904","ca. 1904","standing figure (heroic scale)",,,"Westerly granite",,,"Philip Martiny","Horgan and Slattery","$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
