"borough_code","tax_block","tax_lot","bbl","zoning_district_1","zoning_district_2","zoning_district_3","zoning_district_4","commercial_overlay_1","commercial_overlay_2","special_district_1","special_district_2","special_district_3","limited_height_district","zoning_map_number","zoning_map_code","notes"
"3","8023","35","3080230035","R5D","R4-1",,,"C2-3",,,,,,"23C",,
"3","8235","10","3082350010","R5D","R5",,,"C2-3","C2-1",,,,,"17D",,
"4","9839","10","4098390010","R6A","R5",,,"C2-4",,"DJ",,,,"14D",,
"4","9917","5","4099170005","R6A","R4-1",,,"C2-4",,"DJ",,,,"14D",,
"4","152","1","4001520001","C4-4A","R6A",,,"C1-4",,,,,,"9B",,
"4","331","4","4003310004","R5","R6A",,,"C1-3",,,,,,"9A",,
"4","488","1","4004880001","R9","R7A",,,"C2-5",,,,,,"9B",,
"4","1716","2","4017160002","R6A","R5",,,"C2-4",,,,,,"10B",,
"4","2503","4","4025030004","R6B","R4-1",,,"C1-2",,,,,,"13C",,
"4","2749","32","4027490032","R5B","R4-1",,,"C1-3",,,,,,"13C",,
"4","2770","6","4027700006","R4-1","R5B",,,"C2-3",,,,,,"13D",,
"4","2774","45","4027740045","R4-1","R5B",,,"C1-2",,,,,,"13C",,
"4","3260","1","4032600001","R3A","R3-2",,,"C2-3",,,,,,"14B",,
"4","3521","32","4035210032","R6B","R5B",,,"C2-4",,,,,,"13D",,
"4","3533","31","4035330031","R5B","R6B",,,"C1-4",,,,,,"13D",,
"4","3588","22","4035880022","R5B","R6B",,,"C1-4",,,,,,"13D",,
"5","35","19","5000350019","R5","R3A",,,"C2-2",,"HS",,,,"21C",,
"5","115","62","5001150062","R4","R3A",,,"C1-3",,"HS",,,,"21C",,
"5","569","156","5005690156","R3-1","R5",,,"C2-1",,"HS",,,,"21C",,
"1","468","34","1004680034","R7A","R8B",,,"C1-5",,"TA",,,,"12C",,
"1","1064","36","1010640036","C6-2","R8",,,"C1-5",,"CL",,,,"8C",,
"1","1228","128","1012280128","C2-7A","R8B",,,"C1-5",,"EC-2",,,,"5D",,
"1","1655","45","1016550045","R9","R7A",,,"C2-5",,"EHC",,,,"6B",,
"4","16166","73","4161660073","R5B","M1-1",,,"C1-3",,,,,,"30B",,
"5","717","10","5007170010","R3-2","R3-1",,,"C2-1",,,,,,"21B",,
"5","3103","3","5031030003","R3-2","R3-1",,,"C1-2",,,,,,"27C",,
"5","3327","48","5033270048","R3X","R3-2",,,"C2-1",,,,,,"27C",,
"5","3603","26","5036030026","R3-2","R3X",,,"C1-1",,,,,,"27B",,
"5","4265","71","5042650071","R3-2","R3-1",,,"C1-1",,,,,,"27B",,
"1","394","34","1003940034","R8B","R7A",,,"C2-5",,,,,,"12C",,
"1","1427","1","1014270001","R10A","C1-9",,,"C1-5",,,,,,"8C",,
"1","2154","5","1021540005","R7-2","C4-4",,,"C1-4",,,,,,"3A",,
"2","2378","1","2023780001","R8","R7-2",,,"C1-4",,,,,,"6A",,
"3","176","22","3001760022","R6B","R7A",,,"C2-4",,"DB",,,,"16C",,
"3","4230","8","3042300008","R5","R7A",,,"C2-4",,"EC-5",,,,"17C",,
"2","4075","10","2040750010","R6","M1-1",,,"C1-2",,,,,,"4B",,
"2","4635","26","2046350026","R6A","R4",,,"C1-4",,,,,,"2B",,
"2","5814","1155","2058141155","R4","R6",,,"C2-2",,,,,,"1C",,
"3","1024","36","3010240036","R6B","R6A",,,"C2-4",,,,,,"16D",,
"3","1065","65","3010650065","R6A","R7B",,,"C1-4",,,,,,"16C",,
"3","1144","45","3011440045","R6B","R7A",,,"C1-4",,,,,,"16C",,
"3","1147","4","3011470004","R6A","R6B",,,"C2-4",,,,,,"16C",,
"3","1147","7","3011470007","R6A","R6B",,,"C2-4",,,,,,"16C",,
"3","1150","4","3011500004","R7A","R6B",,,"C2-4",,,,,,"16C",,
"3","1224","45","3012240045","R6B","R6A",,,"C2-4",,,,,,"17A",,
"3","1768","11","3017680011","R6A","R6B",,,"C2-4",,,,,,"13B",,
"3","1788","51","3017880051","R6A","R6B",,,"C2-4",,,,,,"17A",,
"3","1912","35","3019120035","R6B","R7A",,,"C2-4",,,,,,"12D",,
"3","1950","12","3019500012","R6A","R6B",,,"C2-4",,,,,,"16C",,
"3","1988","27","3019880027","R6B","R6A",,,"C2-4",,,,,,"17A",,
"3","2558","4","3025580004","R6A","R6B",,,"C2-4",,,,,,"12C",,
"3","3813","114","3038130114","R6","R7-2",,,"C2-4",,,,,,"17D",,
"3","3992","24","3039920024","R5B","R6A",,,"C2-4",,,,,,"17C",,
"3","4162","1","3041620001","R5B","R7A",,,"C2-4",,,,,,"17C",,
"3","4205","13","3042050013","R5","R4",,,"C1-2",,,,,,"18A",,
"3","5057","35","3050570035","M1-1","R6",,,"C2-3",,,,,,"17B",,
"3","5251","19","3052510019","R5B","R7A",,,"C2-4",,,,,,"23A",,
"3","5583","17","3055830017","R7A","R6",,,"C2-4","C2-3",,,,,"22C",,
"3","5743","40","3057430040","R6B","R5B",,,"C2-3",,,,,,"22A",,
"3","5790","146","3057900146","R7A","R6A",,,"C2-4",,,,,,"22A",,
"3","5809","44","3058090044","R6A","R6B",,,"C2-4",,,,,,"22A",,
"3","6167","72","3061670072","R5B","R6B",,,"C1-3",,,,,,"22B",,
"4","9769","76","4097690076","R7A","R5",,,"C2-4",,"DJ",,,,"14D",,
"4","614","47","4006140047","R6","R6A",,,"C1-3",,,,,,"9A",,
"4","1096","65","4010960065","R4B","R4",,,"C2-3",,,,,,"9C",,
"4","1282","15","4012820015","R5D","R6",,,"C1-4",,,,,,"9D",,
"4","1316","42","4013160042","R5D","R6",,,"C1-4",,,,,,"9D",,
"4","1366","85","4013660085","R3A","R6B",,,"C1-3",,,,,,"9C",,
"4","1424","126","4014240126","R4","R6A",,,"C1-4",,,,,,"9D",,
"4","1702","60","4017020060","R6A","R4",,,"C2-4",,,,,,"10B",,
"4","1705","44","4017050044","R6A","R4",,,"C2-4",,,,,,"10B",,
"4","1705","45","4017050045","R6A","R4",,,"C2-4",,,,,,"10B",,
"4","1711","4","4017110004","R6A","R5A",,,"C2-4",,,,,,"9D",,
"4","1768","25","4017680025","R6B","R5",,,"C1-4",,,,,,"10B",,
"4","1847","40","4018470040","R6B","R5",,,"C2-3",,,,,,"9D",,
"4","1904","6","4019040006","R6A","R5",,,"C1-2",,,,,,"14A",,
"4","3220","64","4032200064","R3-2","R3A",,,"C1-3",,,,,,"14B",,
"4","3362","20","4033620020","R6B","R5B",,,"C2-4",,,,,,"13D",,
"4","3679","39","4036790039","R5D","R5B",,,"C2-3",,,,,,"13D",,
"4","3856","163","4038560163","R4B","M1-2",,,"C1-2",,,,,,"14B",,
"4","3900","115","4039000115","R3A","R3-2",,,"C2-3",,,,,,"14B",,
"4","5133","1","4051330001","R5B","R4",,,"C1-3",,,,,,"10B",,
"4","5439","5","4054390005","R5B","R4-1",,,"C2-2",,,,,,"10D",,
"4","7451","29","4074510029","R3-2","R2A",,,"C1-2",,,,,,"11B",,
"4","8870","53","4088700053","R6A","R3-1",,,"C1-4",,,,,,"14B",,
"4","8919","19","4089190019","R6A","R3-1",,,"C1-4",,,,,,"18A",,
"4","9205","35","4092050035","R3X","R6A",,,"C2-4",,,,,,"14B",,
"4","9275","57","4092750057","R6A","R4-1",,,"C2-4",,,,,,"14B",,
"4","9275","65","4092750065","R6A","R4-1",,,"C2-4",,,,,,"14B",,
"4","9289","110","4092890110","R6A","R3-1",,,"C2-4",,,,,,"14B",,
"4","9349","40","4093490040","R6A","R4A",,,"C2-3",,,,,,"14B",,
"4","9492","73","4094920073","R4A","R6B",,,"C2-3",,,,,,"18C",,
"4","9676","41","4096760041","R6A","R5",,,"C2-4",,,,,,"14D",,
"4","10090","14","4100900014","R5D","R4-1",,,"C2-4",,,,,,"14D",,
"4","10128","77","4101280077","R5D","R4",,,"C1-4",,,,,,"14D",,
"4","10223","13","4102230013","R5B","R4-1",,,"C2-4",,,,,,"14D",,
"4","10244","9","4102440009","R4-1","R5D",,,"C2-4",,,,,,"14D",,
"4","10581","15","4105810015","R3-2","R4",,,"C1-2",,,,,,"15A",,
"4","11157","17","4111570017","R3-2","R2",,,"C1-2",,,,,,"15D",,
"4","11994","3","4119940003","R5D","R3A",,,"C2-3",,,,,,"18C",,
"4","11994","44","4119940044","R3A","R5D",,,"C2-3",,,,,,"18C",,
"4","12022","27","4120220027","R5D","R3A",,,"C2-3",,,,,,"18C",,
"4","12185","13","4121850013","R3A","R5D",,,"C1-3",,,,,,"18C",,
"4","13160","27","4131600027","R3A","R3-2",,,"C1-3",,,,,,"19A",,
"4","13972","86","4139720086","R3-1","R2",,,"C2-2",,,,,,"18B",,
"4","15841","19","4158410019","R5","C8-1",,,"C1-2",,,,,,"30C",,
"4","16013","1","4160130001","R5D","C3",,,"C2-3",,,,,,"30C",,
"5","569","130","5005690130","R3-1","R5",,,"C2-1",,"HS",,,,"21C",,
"5","8043","101","5080430101","R3X","R3A",,,"C1-1",,"SRD",,,,"35A",,
"1","895","24","1008950024","R10","C5-3",,,"C1-5",,"MiD",,,,"8D",,
"1","1170","29","1011700029","C2-7A","R10A",,,"C2-5",,"EC-2",,,,"5D",,
"1","1636","148","1016360148","R7A","R7D",,,"C1-5",,"EHC",,,,"6B",,
"1","1871","52","1018710052","R8B","R9A",,,"C1-5",,"EC-3",,,,"5D",,
"1","2188","1","1021880001","R8","R9A",,,"C2-4",,"IN",,,,"3A",,
"2","2841","5","2028410005","R8A","R8",,,"C2-4",,"J",,,,"3B",,
"2","2851","1","2028510001","R7D","R8",,,"C2-4","C1-4","J",,,,"3D",,
"2","3172","84","2031720084","R8","R8A",,,"C1-4",,"J",,,,"3C",,
"5","168","16","5001680016","R3A","R3-2",,,"C1-1",,,,,,"21A",,
"5","458","149","5004580149","R3-1","R3X",,,"C1-2",,,,,,"20D",,
"5","3239","29","5032390029","R3-1","R2",,,"C2-1",,,,,,"27C",,
"5","3536","107","5035360107","R3-2","R3X",,,"C1-2",,,,,,"27A",,
"1","399","8","1003990008","R7A","R8B",,,"C2-5",,,,,,"12C",,
"1","438","32","1004380032","R7A","R8B",,,"C2-5",,,,,,"12C",,
"1","447","55","1004470055","R7A","R8B",,,"C2-5",,,,,,"12C",,
"1","451","1","1004510001","R7A","R8B",,,"C1-5",,,,,,"12C",,
"1","592","16","1005920016","R7-2","R6",,,"C1-5",,,,,,"12A","Y",
"1","1559","1","1015590001","R10A","C1-9",,,"C1-5",,,,,,"9A",,
"1","2073","159","1020730159","R6A","R8",,,"C1-4",,,,,,"6A",,
"3","177","13","3001770013","R6B","R7A",,,"C2-4",,"DB",,,,"16C",,
"3","177","16","3001770016","R6B","R7A",,,"C2-4",,"DB",,,,"16C",,
"3","5396","11","3053960011","R6A","R5",,,"C1-4",,"OP",,,,"22C",,
"3","5398","11","3053980011","R5","R6A",,,"C1-4",,"OP",,,,"22C",,
"3","5864","44","3058640044","R6B","R5B",,,"C1-3",,"BR",,,,"22A",,
"3","5909","48","3059090048","R6B","R5B",,,"C1-3",,"BR",,,,"22A",,
"3","5929","76","3059290076","R6B","R5B",,,"C1-3",,"BR",,,,"22A",,
"3","6064","33","3060640033","R4-1","R6A",,,"C2-3",,"BR",,,,"22B",,
"3","6498","22","3064980022","R5","C8-2",,,"C1-3",,"OP",,,,"22C",,
"2","3332","42","2033320042","R5D","R6B",,,"C1-4",,,,,,"1D",,
"2","3736","34","2037360034","R6","M1-1",,,"C2-2",,,,,,"3D",,
"2","4871","68","2048710068","R5D","R4",,,"C1-4",,,,,,"2B",,
"2","5888","1545","2058881545","R6","R3A",,,"C1-2",,,,,,"1C",,
"3","366","32","3003660032","R6B","R6A",,,"C2-4",,,,,,"16C",,
"3","390","11","3003900011","R6A","R6B",,,"C2-4",,,,,,"16C",,
"3","732","50","3007320050","R6B","R6",,,"C2-4",,,,,,"22C",,
"3","777","35","3007770035","R6","R6B",,,"C2-4",,,,,,"22A",,
"3","963","47","3009630047","R6A","R6B",,,"C1-4",,,,,,"16C",,
"4","62","28","4000620028","R6A","M1-4/R6B",,,"C1-5",,"LIC",,,,"9B",,
"4","9701","41","4097010041","R4-1","R6A",,,"C2-4",,"DJ",,,,"14D",,
"4","9836","1","4098360001","R7A","R5",,,"C2-4",,"DJ",,,,"14D",,
"4","9935","35","4099350035","R6A","R3X",,,"C2-4",,"DJ",,,,"15B",,
"4","511","10","4005110010","R6B","R5B",,,"C2-3",,,,,,"9A",,
"4","660","5","4006600005","R6B","R6A",,,"C1-3",,,,,,"9A",,
"4","660","32","4006600032","R6B","C4-2A",,,"C2-3",,,,,,"9A",,
"4","693","108","4006930108","R6B","R5",,,"C2-4",,,,,,"9B",,
"4","1095","68","4010950068","R4B","R4",,,"C2-3",,,,,,"9C",,
"4","1300","23","4013000023","R6","R5D",,,"C1-4",,,,,,"9D",,
"4","1364","64","4013640064","R2A","R6B",,,"C1-3",,,,,,"9C",,
"4","1434","13","4014340013","R4","R5",,,"C1-2",,,,,,"9D",,
"4","1464","34","4014640034","R5A","R6B",,,"C1-4",,,,,,"9D",,
"4","1617","30","4016170030","R5","R6B",,,"C2-3",,,,,,"10B",,
"4","1864","7","4018640007","R6B","R5",,,"C1-3",,,,,,"9D",,
"4","2150","30","4021500030","R6A","R7-1",,,"C1-3",,,,,,"14A",,
"4","2491","58","4024910058","R6B","R4-1",,,"C1-2",,,,,,"13C",,
"4","2716","41","4027160041","R5B","R4-1",,,"C2-2",,,,,,"13C",,
"4","2770","17","4027700017","R4-1","R5B",,,"C2-3",,,,,,"13D",,
"4","3170","24","4031700024","R4B","R7-1",,,"C1-2",,,,,,"14A",,
"4","5420","70","4054200070","R5B","R4-1",,,"C2-2",,,,,,"10D",,
"4","15750","29","4157500029","R6","R5",,,"C2-4","C1-2","DFR",,,,"31A",,
"5","24","7","5000240007","R5","R3A",,,"C2-1",,"HS",,,,"21C",,
"4","10440","10","4104400010","R5B","R2",,,"C1-3",,,,,,"15B",,
"4","10447","7","4104470007","R2","R5",,,"C1-2",,,,,,"15B",,
"4","10546","101","4105460101","R2","R3-2",,,"C1-2",,,,,,"15A",,
"4","10815","14","4108150014","R5D","R5",,,"C2-4",,,,,,"15B",,
"4","10816","41","4108160041","R5","R5D",,,"C2-4",,,,,,"15B",,
"4","10950","155","4109500155","R3X","R5B",,,"C1-3",,,,,,"15B",,
"4","10969","109","4109690109","R3A","R5B",,,"C1-3",,,,,,"15B",,
"4","11157","45","4111570045","R2","R3-2",,,"C1-2",,,,,,"15D",,
"4","12047","69","4120470069","R3A","R5D",,,"C2-3",,,,,,"18C",,
"4","15913","94","4159130094","R5","R6",,,"C2-4",,,,,,"30C",,
"5","1595","157","5015950157","R3-1","R3X",,,"C1-1",,,,,,"20D",,
"5","1685","127","5016850127","R3-2","C8-1",,,"C1-1",,,,,,"20D",,
"5","3656","10","5036560010","R3-2","R3-1",,,"C1-2",,,,,,"27A",,
"5","4265","15","5042650015","R3-2","R3-1",,,"C1-1",,,,,,"27B",,
"3","1125","33","3011250033","R7A","C6-3A",,,"C2-4",,,,,,"16C",,
