"boro_block_lot","condo_section","address","neighborhood","building_classification","total_units","year_built","gross_sqft","estimated_gross_income","gross_income_per_sqft","estimated_expense","expense_per_sqft","net_operating_income","full_market_value","market_value_per_sqft","boro_block_lot_1","address_1","neighborhood_1","building_classification_1","total_units_1","year_built_1","gross_sqft_1","estimated_gross_income_1","gross_income_per_sqft_1","estimated_expense_1","expense_per_sqft_1","net_operating_income_1","full_market_value_1","market_value_per_sqft_1","distance_from_condo_in_miles","boro_block_lot_2","address_2","neighborhood_2","building_classification_2","total_units_2","year_built_2","gross_sqft_2","estimated_gross_income_2","gross_income_per_sqft_2","estimated_expense_2","expense_per_sqft_2","net_operating_income_2","full_market_value_2","market_value_per_sqft_2","distance_from_condo_in_miles_1","boro_block_lot_3","address_3","neighborhood_3","building_classification_3","total_units_3","year_built_3","gross_sqft_3","estimated_gross_income_3","gross_income_per_sqft_3","estimated_expense_3","expense_per_sqft_3","net_operating_income_3","full_market_value_3","market_value_per_sqft_3","distance_from_condo_in_miles_2","report_year"
"1-01341-7505","1792-R1","865 1 AVENUE","MIDTOWN EAST","R4  -ELEVATOR","81","1930","78000","3081000","39.5","985920","12.64","2095080","17015009","218.14","1-01343-0005","307 EAST 50 STREET","MIDTOWN EAST","D3  -ELEVATOR","111","1962","71137","2828407","39.76","990227","13.92","1838180","14931000","209.89","0.1","1-01344-0041","320 EAST 52 STREET","MIDTOWN EAST","D6  -ELEVATOR","87","1960","88300","3479903","39.41","1609709","18.23","1870194","15190000","172.03","0.15","1-01319-0029","847 2 AVENUE","MIDTOWN EAST","D7  -ELEVATOR","92","1939","70592","2788384","39.5","1059586","15.01","1728798","14040000","198.89","0.2","2019"
"1-00778-7501","1795-R1","261 WEST 28 STREET","FASHION","R4  -ELEVATOR","52","2006","66978","3506968","52.36","878082","13.11","2628886","21350005","318.76","1-00754-0016","345 WEST 30 STREET","FASHION","D1  -ELEVATOR","37","1987","25657","1371623","53.46","381776","14.88","989847","8344000","325.21","0.19","1-00754-0019","337 WEST 30 STREET","FASHION","D1  -ELEVATOR","37","1987","24617","1288946","52.36","322729","13.11","966217","7561000","307.15","0.19","1-00754-0021","327 WEST 30 STREET","FASHION","D1  -ELEVATOR","62","1963","40016","2001600","50.02","530212","13.25","1471388","8084000","202.02","0.19","2019"
"1-01424-7503","1797-R1","212 EAST 70 STREET","UPPER EAST SIDE (59-79)","R2  -WALK-UP","16","1900","9237","512469","55.48","139848","15.14","372621","3026000","327.6","1-01424-0043","206 EAST 70 STREET","UPPER EAST SIDE (59-79)","C5  -WALK-UP","16","1920","8405","465301","55.36","116577","13.87","348724","1972000","234.62","0","1-01428-0104","205 EAST 73 STREET","UPPER EAST SIDE (59-79)","C4  -WALK-UP","16","1910","7512","416766","55.48","113732","15.14","303034","2107000","280.48","0.21","1-01428-0035","232 EAST 74 STREET","UPPER EAST SIDE (59-79)","C5  -WALK-UP","22","1920","8312","462646","55.66","108472","13.05","354174","4529000","544.87","0.21","2019"
"1-01830-7501","1799-R1","266 WEST 115 STREET","HARLEM-CENTRAL","R4  -ELEVATOR","15","2005","20184","662439","32.82","250483","12.41","411956","3346001","165.77","1-01828-0030","1854 ADAM C POWELL BOULEVARD","HARLEM-CENTRAL","D1  -ELEVATOR","28","1920","27510","902878","32.82","341399","12.41","561479","2805000","101.96","0.1","1-01828-0042","230 WEST 113 STREET","HARLEM-CENTRAL","D1  -ELEVATOR","26","1920","23106","759725","32.88","280738","12.15","478987","4756000","205.83","0.1","1-01925-0050","188 ST NICHOLAS AVENUE","HARLEM-CENTRAL","D1  -ELEVATOR","42","1920","64058","2101102","32.8","820583","12.81","1280519","4760000","74.31","0.26","2019"
"1-01630-7502","1801-R1","117 EAST 102 STREET","HARLEM-EAST","R4  -ELEVATOR","11","2006","12184","423394","34.75","161438","13.25","261956","2127000","174.57","1-01639-0057","138 EAST 112 STREET","HARLEM-EAST","D3  -ELEVATOR","43","2004","47106","1573340","33.4","524290","11.13","1049050","6921000","146.92","0.46","1-01624-0021","155 EAST 96 STREET","HARLEM-EAST","D3  -ELEVATOR","40","1910","37065","1290974","34.83","473320","12.77","817654","4466000","120.49","0.31","1-01660-0038","222 EAST 111 STREET","HARLEM-EAST","D1  -ELEVATOR","50","2008","41108","1428503","34.75","544681","13.25","883822","8611000","209.47","0.46","2019"
"1-01158-7506","1803-R1","200 WEST END AVENUE","UPPER WEST SIDE (59-79)","R4  -ELEVATOR","170","2006","223560","12577486","56.26","4048672","18.11","8528814","69267002","309.84","1-01184-0025","312 WEST 73 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","16","1920","14025","736172","52.49","214863","15.32","521309","3433000","244.78","0.26","1-01182-0029","225 WEST END AVENUE","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","43","1910","44838","2527070","56.36","768972","17.15","1758098","9415000","209.98","0.19","1-01162-0005","267 WEST 70 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","30","1930","25266","1421465","56.26","457567","18.11","963898","5124000","202.8","0.12","2019"
"1-01171-7505","1807-R1","100 RIVERSIDE BOULEVARD","UPPER WEST SIDE (59-79)","R4  -ELEVATOR","266","2006","388033","22529196","58.06","5374257","13.85","17154939","139324017","359.05","1-01184-0025","312 WEST 73 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","16","1920","14025","763802","54.46","150068","10.7","613734","3433000","244.78","0.43","1-01154-0202","236-240 WEST 64 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","96","1911","42102","2444442","58.06","583113","13.85","1861329","12097000","287.33","0.34","1-01162-0005","267 WEST 70 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","30","1930","25266","1471239","58.23","341091","13.5","1130148","5124000","202.8","0.42","2019"
"1-00928-7503","1815-R1","340 EAST 23 STREET","KIPS BAY","R4  -ELEVATOR","207","2007","233744","13879719","59.38","3220992","13.78","10658727","86565040","370.34","1-00901-0021","237 EAST 20 STREET","GRAMERCY","D3  -ELEVATOR","72","1929","74120","4401246","59.38","1021374","13.78","3379872","14256000","192.34","0.17","1-00925-0060","304 EAST 20 STREET","KIPS BAY","D8  -ELEVATOR","70","1948","56310","3349319","59.48","714011","12.68","2635308","14297000","253.9","0.14","1-00934-0020","339 EAST 28 STREET","KIPS BAY","D8  -ELEVATOR","123","1900","110139","6493795","58.96","1701648","15.45","4792147","27824000","252.63","0.26","2019"
"4-00034-7501","0604-R1","5 BORDEN AVENUE","LONG ISLAND CITY","R4-ELEVATOR","132","2008","140166","3038799","21.68","692420","4.94","2346379","17369999","123.92","4-00885-0001","26 27 AVENUE","ASTORIA","D1-ELEVATOR","117","2008","127338","2760688","21.68","629050","4.94","2131638","15957000","125.31","2.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2013"
"1-00147-7509","1816-R1","137 DUANE STREET","CIVIC CENTER","R4  -ELEVATOR","19","1915","45510","1930989","42.43","459651","10.1","1471338","11948997","262.56","1-00470-0005","160 MOTT STREET","LITTLE ITALY","D1  -ELEVATOR","35","1910","11967","517453","43.24","125654","10.5","391799","2663000","222.53","0.63","1-00504-0036","100 SULLIVAN STREET","SOHO","D1  -ELEVATOR","70","1920","33750","1432013","42.43","340875","10.1","1091138","11997000","355.47","0.69","1-00506-0016","30 CHARLTON STREET","SOHO","D1  -ELEVATOR","86","1920","44256","1856539","41.95","443445","10.02","1413094","13720000","310.01","0.71","2019"
"1-00722-7501","1819-R1","420 WEST 25 STREET","CHELSEA","R4  -ELEVATOR","79","1912","97500","5733975","58.81","1550250","15.9","4183725","33978001","348.49","1-00719-0020","433 WEST 21 STREET","CHELSEA","D1  -ELEVATOR","69","1930","63956","3772764","58.99","966375","15.11","2806389","16212000","253.49","0.15","1-00720-0055","416 WEST 23 STREET","CHELSEA","D1  -ELEVATOR","24","1900","18079","1053644","58.28","278055","15.38","775589","6635000","367","0.1","1-00722-0024","421 WEST 24 STREET","CHELSEA","D1  -ELEVATOR","35","1927","21012","1235716","58.81","334091","15.9","901625","5930000","282.22","0","2019"
"1-02067-7501","1823-R2","479 WEST 152 STREET","HARLEM-UPPER","R4  -ELEVATOR","20","1920","17565","533449","30.37","212712","12.11","320737","2605003","148.31","1-02068-0013","445 WEST 153 STREET","HARLEM-UPPER","D1  -ELEVATOR","54","1911","67330","2127628","31.6","886736","13.17","1240892","5347000","79.41","0.05","1-02069-0011","83 ST NICHOLAS PLACE","HARLEM-UPPER","D1  -ELEVATOR","24","1926","23952","727422","30.37","290059","12.11","437363","1417000","59.16","0.11","1-02098-0019","609 WEST 151 STREET","HARLEM-UPPER","D1  -ELEVATOR","48","1926","41874","1254964","29.97","519656","12.41","735308","3820000","91.23","0.29","2019"
"1-01320-7506","1828-R1","211 EAST 46 STREET","MIDTOWN EAST","R4  -ELEVATOR","261","1979","207246","10847256","52.34","3688979","17.8","7158277","58143009","280.55","1-00889-0055","150 EAST 34 STREET","MURRAY HILL","D8  -ELEVATOR","259","1987","176584","9053462","51.27","1991868","11.28","7061594","57355000","324.8","0.66","1-01338-0040","320 EAST 46 STREET","MIDTOWN EAST","D6  -ELEVATOR","250","1981","253256","13255419","52.34","5262660","20.78","7992759","64912000","256.31","0.15","1-01349-0014","333 EAST 56 STREET","MIDTOWN EAST","D8  -ELEVATOR","227","1982","239874","12650955","52.74","4528821","18.88","8122134","65973000","275.03","0.51","2019"
"1-01667-7501","1829-R1","232 EAST 118 STREET","HARLEM-EAST","R4  -ELEVATOR","12","1910","12222","445981","36.49","154364","12.63","291617","2368003","193.75","1-01645-0059","126 EAST 118 STREET","HARLEM-EAST","D3  -ELEVATOR","18","1950","16160","589678","36.49","204101","12.63","385577","2306000","142.7","0.21","1-01645-0012","127 EAST 117 STREET","HARLEM-EAST","D3  -ELEVATOR","35","1920","29500","1074980","36.44","371995","12.61","702985","4140000","140.34","0.21","1-01644-0008","115 EAST 116 STREET","HARLEM-EAST","D1  -ELEVATOR","48","1925","47750","1742398","36.49","563928","11.81","1178470","3773000","79.02","0.21","2019"
"1-01928-7503","1831-R1","252 WEST 123 STREET","HARLEM-CENTRAL","R2  -WALK-UP","6","1910","7739","334712","43.25","96660","12.49","238052","1933000","249.77","1-01926-0006","206 ST NICHOLAS AVENUE","HARLEM-CENTRAL","C4  -WALK-UP","15","1910","10470","448221","42.81","138099","13.19","310122","1462000","139.64","0.1","1-01927-0022","217 WEST 121 STREET","HARLEM-CENTRAL","C4  -WALK-UP","15","1910","9240","399722","43.26","102841","11.13","296881","3354000","362.99","0.05","1-01927-0049","232 WEST 122 STREET","HARLEM-CENTRAL","C4  -WALK-UP","14","1910","12350","534138","43.25","154252","12.49","379886","1275000","103.24","0.05","2019"
"1-01928-7503","1831-R2","256 WEST 123 STREET","HARLEM-CENTRAL","R2  -WALK-UP","6","1910","6601","284833","43.15","71555","10.84","213278","1732000","262.38","1-01926-0006","206 ST NICHOLAS AVENUE","HARLEM-CENTRAL","C4  -WALK-UP","15","1910","10470","447069","42.7","135063","12.9","312006","1462000","139.64","0.1","1-01927-0022","217 WEST 121 STREET","HARLEM-CENTRAL","C4  -WALK-UP","15","1910","9240","398706","43.15","100162","10.84","298544","3354000","362.99","0.05","1-01927-0049","232 WEST 122 STREET","HARLEM-CENTRAL","C4  -WALK-UP","14","1910","12350","532903","43.15","150670","12.2","382233","1275000","103.24","0.05","2019"
"1-02090-7501","1832-R1","660 RIVERSIDE DRIVE","HARLEM-UPPER","R4  -ELEVATOR","54","1908","30886","806125","26.1","271179","8.78","534946","4281998","138.64","1-02075-0036","144 HAMILTON PLACE","HARLEM-UPPER","D1  -ELEVATOR","54","1920","56688","1479557","26.1","497721","8.78","981836","8050000","142.01","0.13","1-02074-0033","135 HAMILTON PLACE","HARLEM-UPPER","D1  -ELEVATOR","35","1920","41082","1068132","26","348375","8.48","719757","5306000","129.16","0.21","1-02089-0024","605 WEST 142 STREET","HARLEM-UPPER","D1  -ELEVATOR","40","1912","43100","1138702","26.42","420225","9.75","718477","5151000","119.51","0.05","2019"
"1-00797-7501","1839-R1","125 WEST 21 STREET","CHELSEA","R4  -ELEVATOR","52","2006","77419","4786043","61.82","1040511","13.44","3745532","30418993","392.91","1-00797-0074","160 WEST 22 STREET","CHELSEA","D1  -ELEVATOR","51","2000","41423","2560770","61.82","556725","13.44","2004045","14676000","354.3","0","1-00771-0068","258 WEST 22 STREET","CHELSEA","D1  -ELEVATOR","39","1920","30375","1868974","61.53","371486","12.23","1497488","7245000","238.52","0.17","1-00772-0016","255 WEST 22 STREET","CHELSEA","D9  -ELEVATOR","19","1920","14922","931282","62.41","197269","13.22","734013","3655000","244.94","0.18","2019"
"1-01326-7501","1840-R1","250 EAST 53 STREET","MIDTOWN EAST","R4  -ELEVATOR","135","2006","197233","10273867","52.09","2988080","15.15","7285787","59172000","300.01","1-01362-0012","20 BEEKMAN PLACE","MIDTOWN EAST","D3  -ELEVATOR","79","1957","98808","5146909","52.09","1496941","15.15","3649968","19584000","198.2","0.27","1-01369-0037","422 EAST 58 STREET","MIDTOWN EAST","D3  -ELEVATOR","24","1939","18654","986237","52.87","278318","14.92","707919","4043000","216.74","0.37","1-01350-0035","330 EAST 58 STREET","MIDTOWN EAST","D1  -ELEVATOR","34","1939","30225","1558703","51.57","460327","15.23","1098376","5913000","195.63","0.29","2019"
"1-00044-7501","1853-R1","18 PINE STREET","FINANCIAL","R4  -ELEVATOR","408","1928","548976","29408644","53.57","8690290","15.83","20718354","168264032","306.51","1-00069-0032","116 JOHN STREET","FINANCIAL","D7  -ELEVATOR","418","1931","338463","17985924","53.14","5709871","16.87","12276053","99221000","293.15","0.16","1-00021-0006","71 BROADWAY","FINANCIAL","D5  -ELEVATOR","245","1900","303086","16236317","53.57","4797851","15.83","11438466","86503000","285.41","0.18","1-00031-0001","10 HANOVER SQUARE","FINANCIAL","D6  -ELEVATOR","498","1972","487404","26261328","53.88","7720479","15.84","18540849","153736000","315.42","0.21","2019"
"1-00392-7502","1859-R1","631 EAST 9 STREET","ALPHABET CITY","R4  -ELEVATOR","12","2005","11603","558917","48.17","230087","19.83","328830","2671001","230.2","1-00373-0060","291 EAST 3 STREET","ALPHABET CITY","D5  -ELEVATOR","11","1900","11160","537577","48.17","221303","19.83","316274","3569000","319.8","0.31","1-00393-0019","624 EAST 11 STREET","ALPHABET CITY","D9  -ELEVATOR","25","1900","10782","488101","45.27","187068","17.35","301033","2881000","267.2","0.05","1-00387-0153","629 EAST 5 STREET","ALPHABET CITY","D9  -ELEVATOR","24","1920","18523","943191","50.92","386575","20.87","556616","4809000","259.62","0.23","2019"
"1-00762-7502","1863-R1","502 9 AVENUE","FASHION","R4  -ELEVATOR","36","2005","34168","1889832","55.31","369014","10.8","1520818","12351003","361.48","1-00754-0016","345 WEST 30 STREET","FASHION","D1  -ELEVATOR","37","1987","25657","1447311","56.41","322508","12.57","1124803","8344000","325.21","0.39","1-00754-0019","337 WEST 30 STREET","FASHION","D1  -ELEVATOR","37","1987","24617","1361566","55.31","265864","10.8","1095702","7561000","307.15","0.39","1-00754-0021","327 WEST 30 STREET","FASHION","D1  -ELEVATOR","62","1963","40016","2119648","52.97","437775","10.94","1681873","8084000","202.02","0.39","2019"
"4-01565-7501","0724-R1","91 WHITNEY AVENUE","ELMHURST","R4-ELEVATOR","18","2010","19060","492129","25.82","191934","10.07","300195","2285001","119.88","4-01305-0001","73 73 STREET","ELMHURST","D1-ELEVATOR","41","1950","25000","645500","25.82","251750","10.07","393750","2430000","97.2","0.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2013"
"1-01724-7503","1865-R1","2056 5 AVENUE","HARLEM-CENTRAL","R4  -ELEVATOR","21","1920","24797","649433","26.19","378154","15.25","271279","2173001","87.63","1-01779-0007","107 EAST 130 STREET","HARLEM-CENTRAL","D9  -ELEVATOR","179","1900","191721","5274245","27.51","3136556","16.36","2137689","28596000","149.15","0.39","1-01771-0014","135 EAST 122 STREET","HARLEM-CENTRAL","D5  -ELEVATOR","21","1950","22930","594346","25.92","349683","15.25","244663","3025000","131.92","0.4","1-01721-0045","15 WEST 123 STREET","HARLEM-CENTRAL","D1  -ELEVATOR","25","1935","23946","627146","26.19","365177","15.25","261969","1611000","67.28","0.16","2019"
"1-01081-7502","1866-R1","500 WEST 53 STREET","CLINTON","R4  -ELEVATOR","6","2005","15564","709096","45.56","216028","13.88","493068","4004000","257.26","1-01062-0019","410 WEST 53 STREET","CLINTON","D1  -ELEVATOR","220","1987","166518","7586560","45.56","2311270","13.88","5275290","55785000","335.01","0.17","1-01078-0016","525 WEST 49 STREET","CLINTON","D5  -ELEVATOR","47","1940","26500","1193295","45.03","359340","13.56","833955","10363000","391.06","0.15","1-01054-0056","444 WEST 45 STREET","CLINTON","D3  -ELEVATOR","60","1926","65615","3026164","46.12","986850","15.04","2039314","11507000","175.37","0.42","2019"
"1-00798-7506","1869-R1","133 WEST 22 STREET","CHELSEA","R4  -ELEVATOR","99","2008","112888","6559922","58.11","1133396","10.04","5426526","44072024","390.4","1-00797-0074","160 WEST 22 STREET","CHELSEA","D1  -ELEVATOR","51","2000","41423","2407091","58.11","415887","10.04","1991204","14676000","354.3","0.05","1-00772-0016","255 WEST 22 STREET","CHELSEA","D9  -ELEVATOR","19","1920","14922","875921","58.7","146534","9.82","729387","3655000","244.94","0.17","1-00771-0068","258 WEST 22 STREET","CHELSEA","D1  -ELEVATOR","39","1920","30375","1756283","57.82","268515","8.84","1487768","7245000","238.52","0.18","2019"
"1-02122-7501","1873-R1","540 WEST 163 STREET","WASHINGTON HEIGHTS LOWER","R4  -ELEVATOR","13","2008","22052","674571","30.59","220520","10","454051","3687999","167.24","1-02122-0021","543 WEST 162 STREET","WASHINGTON HEIGHTS LOWER","D1  -ELEVATOR","44","1910","45624","1395638","30.59","456240","10","939398","3297000","72.26","0","1-02137-0052","56 FT WASHINGTON AVENUE","WASHINGTON HEIGHTS LOWER","D1  -ELEVATOR","42","1915","55302","1725422","31.2","568505","10.28","1156917","4098000","74.1","0.12","1-02122-0110","548 WEST 164 STREET","WASHINGTON HEIGHTS LOWER","D1  -ELEVATOR","54","1910","56634","1693923","29.91","559544","9.88","1134379","2852000","50.36","0.05","2019"
"1-01018-7502","1875-R1","247 WEST 46 STREET","MIDTOWN WEST","R4  -ELEVATOR","218","2006","293691","15641983","53.26","3412689","11.62","12229294","99320010","338.18","1-01036-0054","352 WEST 46 STREET","MIDTOWN WEST","D1  -ELEVATOR","30","1900","32520","1723885","53.01","299509","9.21","1424376","5775000","177.58","0.17","1-01036-0010","341 WEST 45 STREET","MIDTOWN WEST","D3  -ELEVATOR","90","1939","42396","2258011","53.26","492642","11.62","1765369","14464000","341.16","0.17","1-01041-0038","306 WEST 51 STREET","MIDTOWN WEST","D3  -ELEVATOR","38","1945","25482","1375518","53.98","221693","8.7","1153825","7295000","286.28","0.25","2019"
"1-00293-7501","1877-R1","18 ELDRIDGE STREET","CHINATOWN","R4  -ELEVATOR","10","2007","7169","333789","46.56","54986","7.67","278803","2264000","315.8","1-00309-0022","51 LUDLOW STREET","LOWER EAST SIDE","D3  -ELEVATOR","35","2000","26300","1217427","46.29","196198","7.46","1021229","10383000","394.79","0.18","1-00344-0044","120 RIDGE STREET","LOWER EAST SIDE","D1  -ELEVATOR","22","2001","14960","696538","46.56","114743","7.67","581795","5285000","353.28","0.62","1-00348-0069","85 ATTORNEY STREET","LOWER EAST SIDE","D5  -ELEVATOR","11","1910","10359","509145","49.15","72720","7.02","436425","3974000","383.63","0.5","2019"
"1-01680-7502","1883-R1","330 EAST 109 STREET","HARLEM-EAST","R4  -ELEVATOR","28","2007","25174","1058063","42.03","230342","9.15","827721","6722008","267.02","1-01645-0059","126 EAST 118 STREET","HARLEM-EAST","D3  -ELEVATOR","18","1950","16160","679205","42.03","147864","9.15","531341","2306000","142.7","0.57","1-01680-0019","331 EAST 108 STREET","HARLEM-EAST","D1  -ELEVATOR","29","1900","22596","972758","43.05","171504","7.59","801254","3862000","170.92","0","1-01655-0015","235 EAST 105 STREET","HARLEM-EAST","D3  -ELEVATOR","48","2002","52520","2172752","41.37","443269","8.44","1729483","4390000","83.59","0.21","2019"
"1-00887-7501","1892-R1","107 EAST 31 STREET","MURRAY HILL","R4  -ELEVATOR","15","1920","14000","778120","55.58","216300","15.45","561820","4563002","325.93","1-00888-0031","153 EAST 32 STREET","MURRAY HILL","D5  -ELEVATOR","71","1920","62188","3456409","55.58","960805","15.45","2495604","15825000","254.47","0.1","1-00911-0028","249 EAST 30 STREET","MURRAY HILL","D5  -ELEVATOR","12","1917","11044","626857","56.76","194485","17.61","432372","3704000","335.39","0.22","1-00915-0056","210 EAST 35 STREET","MURRAY HILL","D1  -ELEVATOR","11","1920","9342","506804","54.25","134618","14.41","372186","2657000","284.41","0.26","2019"
"1-02248-7501","1893-R1","175 PAYSON AVENUE","INWOOD","R4  -ELEVATOR","12","2006","10950","298278","27.24","106763","9.75","191515","1542000","140.82","1-02240-0006","121 SEAMAN AVENUE","INWOOD","D1  -ELEVATOR","42","1932","36793","978326","26.59","355420","9.66","622906","3923000","106.62","0.13","1-02241-0002","55 COOPER STREET","INWOOD","D1  -ELEVATOR","49","1936","42874","1171318","27.32","450177","10.5","721141","4939000","115.2","0.15","1-02239-0021","686 WEST 204 STREET","INWOOD","D1  -ELEVATOR","48","1925","45962","1252005","27.24","448130","9.75","803875","5988000","130.28","0.04","2019"
"1-02093-7501","1896-R1","690 RIVERSIDE DRIVE","HARLEM-UPPER","R4  -ELEVATOR","35","1920","30441","612473","20.12","258749","8.5","353724","2705995","88.89","1-02092-0046","684 RIVERSIDE DRIVE","HARLEM-UPPER","D1  -ELEVATOR","37","1919","39617","824430","20.81","420733","10.62","403697","2909000","73.43","0.05","1-02075-0020","511 WEST 143 STREET","HARLEM-UPPER","D1  -ELEVATOR","31","1920","29520","593942","20.12","250920","8.5","343022","2997000","101.52","0.2","1-02075-0036","144 HAMILTON PLACE","HARLEM-UPPER","D1  -ELEVATOR","54","1920","56688","1130359","19.94","461440","8.14","668919","8050000","142.01","0.2","2019"
"1-02092-7501","1897-R1","680 RIVERSIDE DRIVE","HARLEM-UPPER","R4  -ELEVATOR","25","1926","24132","571204","23.67","209948","8.7","361256","2851002","118.14","1-02092-0046","684 RIVERSIDE DRIVE","HARLEM-UPPER","D1  -ELEVATOR","37","1919","39617","963882","24.33","431429","10.89","532453","2909000","73.43","0","1-02075-0020","511 WEST 143 STREET","HARLEM-UPPER","D1  -ELEVATOR","31","1920","29520","698148","23.65","258890","8.77","439258","2997000","101.52","0.16","1-02074-0044","504 WEST 143 STREET","HARLEM-UPPER","D1  -ELEVATOR","24","1920","22980","543937","23.67","199926","8.7","344011","1677000","72.98","0.19","2019"
"1-01785-7501","1901-R1","207 EAST 120 STREET","HARLEM-EAST","R2  -WALK-UP","11","1900","14440","422948","29.29","179778","12.45","243170","1974001","136.7","1-01667-0039","216 EAST 118 STREET","HARLEM-EAST","C1  -WALK-UP","18","1900","15246","446555","29.29","159473","10.46","287082","2384000","156.37","0.15","1-01796-0028","2333 1 AVENUE","HARLEM-EAST","C1  -WALK-UP","14","1900","8838","252502","28.57","107647","12.18","144855","1048000","118.58","0.15","1-01687-0044","312 EAST 116 STREET","HARLEM-EAST","C1  -WALK-UP","20","1920","17185","506958","29.5","197112","11.47","309846","1631000","94.91","0.29","2019"
"1-01676-7504","1905-R1","2019 1 AVENUE","HARLEM-EAST","R4  -ELEVATOR","41","2007","32660","1391316","42.6","472917","14.48","918399","7458995","228.38","1-01680-0019","331 EAST 108 STREET","HARLEM-EAST","D1  -ELEVATOR","29","1900","22596","964397","42.68","299171","13.24","665226","3862000","170.92","0.21","1-01660-0038","222 EAST 111 STREET","HARLEM-EAST","D1  -ELEVATOR","50","2008","41108","1751201","42.6","595244","14.48","1155957","8611000","209.47","0.34","1-01645-0012","127 EAST 117 STREET","HARLEM-EAST","D3  -ELEVATOR","35","1920","29500","1227495","41.61","435715","14.77","791780","4140000","140.34","0.74","2019"
"2-03236-7501","0201-R1","233 LANDING ROAD","KINGSBRIDGE HTS/UNIV HTS","RR    -CONRENT","136","2015","102449","1879939","18.35","959947","9.37","919992","6958000","67.92","2-03024-0069","2347 WEBSTER AVENUE","FORDHAM","D9    -ELEVATOR","121","1972","143000","3228940","22.58","1708850","11.95","1520090","11890000","83.15","0.89","2-03024-0080","385 EAST 184 STREET","FORDHAM","D1    -ELEVATOR","130","2000","124888","1764667","14.13","985366","7.89","779301","5516000","44.17","0.89",,,,,,,,,,,,,,,,"2023"
"1-00769-7508","1910-R1","241 WEST 19 STREET","CHELSEA","R4  -ELEVATOR","19","2006","27784","1382254","49.75","226995","8.17","1155259","9381998","337.68","1-00738-0015","335 WEST 14 STREET","CHELSEA","D1  -ELEVATOR","28","1900","28321","1408970","49.75","231383","8.17","1177587","7097000","250.59","0.28","1-00797-0074","160 WEST 22 STREET","CHELSEA","D1  -ELEVATOR","51","2000","41423","2045882","49.39","337597","8.15","1708285","14676000","354.3","0.19","1-00768-0077","274 WEST 19 STREET","CHELSEA","D1  -ELEVATOR","25","1920","22506","1155683","51.35","155742","6.92","999941","7316000","325.07","0.04","2019"
"1-01831-7502","1913-R1","247 WEST 115 STREET","HARLEM-CENTRAL","R4  -ELEVATOR","36","2007","49200","1400232","28.46","533328","10.84","866904","7012002","142.52","1-01925-0050","188 ST NICHOLAS AVENUE","HARLEM-CENTRAL","D1  -ELEVATOR","42","1920","64058","1821169","28.43","720012","11.24","1101157","4760000","74.31","0.21","1-01828-0030","1854 ADAM C POWELL BOULEVARD","HARLEM-CENTRAL","D1  -ELEVATOR","28","1920","27510","782935","28.46","298208","10.84","484727","2805000","101.96","0.15","1-01828-0042","230 WEST 113 STREET","HARLEM-CENTRAL","D1  -ELEVATOR","26","1920","23106","658983","28.52","244461","10.58","414522","4756000","205.83","0.15","2019"
"1-01862-7501","1914-R1","171 WEST 107 STREET","UPPER WEST SIDE (96-116)","RR  -CONRENT","25","1920","35792","688280","19.23","390133","10.9","298147","2259000","63.11","1-01861-0010","149 WEST 106 STREET","UPPER WEST SIDE (96-116)","D1  -ELEVATOR","230","1981","170050","3304072","19.43","2110321","12.41","1193751","45568000","267.97","0.05","1-01883-0036","1050 AMSTERDAM AVENUE","UPPER WEST SIDE (96-116)","D3  -ELEVATOR","94","1991","67536","1298717","19.23","736142","10.9","562575","12023000","178.02","0.26","1-01843-0020","152 MANHATTAN AVENUE","MANHATTAN VALLEY","D3  -ELEVATOR","81","1900","62898","1180595","18.77","747857","11.89","432738","13838000","220.01","0.21","2019"
"1-02041-7504","1919-R1","2601 FREDERICK DOUGLASS BLVD.","HARLEM-CENTRAL","R4  -ELEVATOR","20","2006","28879","891495","30.87","234497","8.12","656998","5336000","184.77","1-02010-0011","127 WEST 141 STREET","HARLEM-CENTRAL","D1  -ELEVATOR","48","1910","52290","1651318","31.58","545385","10.43","1105933","2827000","54.06","0.33","1-02050-0113","53 HAMILTON TERRACE","HARLEM-CENTRAL","D1  -ELEVATOR","46","1921","47822","1476265","30.87","388315","8.12","1087950","7054000","147.51","0.27","1-02029-0039","222 WEST 144 STREET","HARLEM-CENTRAL","D5  -ELEVATOR","25","1920","28200","847410","30.05","268746","9.53","578664","1766000","62.62","0.28","2019"
