"dbn","district","school_name","is_org_split_sited","building_id_s","transfer_school","total_enrollment","grades_3k_5_enrollment","grades_6_8_enrollment","grades_9_12_enrollment","asian","black","hispanic","multiracial","native_american","white","missing_race_ethnicity_data","swd","ell","poverty","_2018_19_ela_tested","_2018_19_ela_proficient_l3","_2018_19_ela_proficient_l3_1","_2018_19_math_tested","_2018_19_math_proficient","_2018_19_math_proficient_1","_2019_20_total_4_year_august","_2019_20_4_year_august","_2019_20_total_6_year_grad","_2019_20_6_year_graduates"
"16K308","16","P.S. 308 Clara Cardwell",,"K308","false","249","169","80","0","0.028","0.719","0.197","0.004","0.024","0.028","0.0","0.241","0.028","0.936","136","26","19.1%","134","20","14.9%",,,,
"16K309","16","P.S. 309 The George E. Wibecan Preparatory Academy",,"K309","false","171","171","0","0","0.023","0.62","0.246","0.035","0.006","0.07","0.0","0.257","0.023","0.825","82","19","23.2%","82","20","24.4%",,,,
"16K335","16","P.S. 335 Granville T. Woods",,"K335","false","195","195","0","0","0.0","0.759","0.221","0.01","0.005","0.005","0.0","0.251","0.077","0.887","97","37","38.1%","99","28","28.3%",,,,
"16K455","16","Boys and Girls High School",,"K455","false","452","0","0","452","0.009","0.783","0.157","0.002","0.013","0.022","0.013","0.334","0.058","0.841",,,,,,,"100","70.0%","81","80.2%"
"16K627","16","Brighter Choice Community School",,"K304","false","307","307","0","0","0.007","0.534","0.362","0.029","0.013","0.055","0.0","0.179","0.055","0.707","103","34","33.0%","103","39","37.9%",,,,
"16K628","16","Brooklyn Brownstone School",,"K035","false","319","319","0","0","0.009","0.715","0.103","0.028","0.006","0.135","0.003","0.144","0.003","0.718","73","44","60.3%","72","36","50.0%",,,,
"16K669","16","Research and Service High School",,"K455","true","277","0","0","277","0.004","0.755","0.206","0.004","0.007","0.025","0.0","0.285","0.036","0.917",,,,,,,"122","22.1%","139","41.0%"
"16K681","16","Madiba Prep Middle School",,"K026","false","227","0","227","0","0.022","0.67","0.273","0.0","0.009","0.026","0.0","0.388","0.084","0.925","149","43","28.9%","153","21","13.7%",,,,
"16K688","16","The Brooklyn Academy of Global Finance",,"K057","false","132","0","0","132","0.129","0.576","0.258","0.008","0.015","0.015","0.0","0.311","0.167","0.947",,,,,,,"33","90.9%","40","92.5%"
"16K765","16","Nelson Mandela High School",,"K455","false","189","0","0","189","0.0","0.836","0.122","0.0","0.026","0.005","0.011","0.344","0.021","0.862",,,,,,,"35","85.7%","70","90.0%"
"16K898","16","The Brooklyn Green School",,"K335","false","149","0","149","0","0.0","0.812","0.121","0.007","0.0","0.06","0.0","0.295","0.027","0.819","37","6","16.2%","38","5","13.2%",,,,
"17K002","17","Parkside Preparatory Academy",,"K002","false","415","0","415","0","0.048","0.713","0.173","0.007","0.029","0.029","0.0","0.234","0.173","0.863","451","171","37.9%","451","110","24.4%",,,,
"17K012","17","Dr. Jacqueline Peek-Davis School",,"K012","false","197","197","0","0","0.01","0.746","0.213","0.005","0.0","0.025","0.0","0.259","0.076","0.898","101","41","40.6%","99","22","22.2%",,,,
"17K061","17","M.S. 061 Dr. Gladstone H. Atwell",,"K061","false","515","0","515","0","0.016","0.831","0.113","0.01","0.01","0.021","0.0","0.227","0.064","0.773","617","205","33.2%","614","195","31.8%",,,"1","0.0%"
"17K092","17","P.S. 092 Adrian Hegeman",,"K092","false","312","312","0","0","0.071","0.66","0.157","0.0","0.051","0.061","0.0","0.218","0.202","0.949","188","52","27.7%","191","58","30.4%",,,,
"17K122","17","Pathways in Technology Early College High School (P-Tech)",,"K625","false","556","0","0","556","0.022","0.799","0.133","0.002","0.016","0.011","0.018","0.178","0.025","0.718",,,,,,,"121","76.9%","108","86.1%"
"17K138","17","P.S. 138 Brooklyn",,"K138","false","487","278","209","0","0.018","0.813","0.109","0.012","0.008","0.039","0.0","0.251","0.057","0.906","350","186","53.1%","357","206","57.7%",,,,
"17K161","17","P.S. 161 The Crown",,"K161","false","332","332","0","0","0.078","0.693","0.157","0.009","0.012","0.048","0.003","0.235","0.108","0.864","153","61","39.9%","161","53","32.9%",,,,
"17K181","17","P.S. 181 Brooklyn",,"K181","false","598","370","228","0","0.01","0.851","0.1","0.0","0.017","0.022","0.0","0.202","0.142","0.746","408","101","24.8%","408","104","25.5%",,,,
"17K191","17","P.S. 191 Paul Robeson",,"K191","false","173","173","0","0","0.023","0.78","0.179","0.0","0.006","0.012","0.0","0.295","0.064","0.936","44","26","59.1%","45","29","64.4%",,,,
"17K221","17","P.S. 221 Toussaint L'Ouverture",,"K221","false","186","186","0","0","0.016","0.882","0.086","0.0","0.005","0.011","0.0","0.194","0.038","0.876","127","45","35.4%","128","51","39.8%",,,,
"17K246","17","M.S. 246 Walt Whitman",,"K246","false","356","0","356","0","0.031","0.596","0.295","0.0","0.025","0.053","0.0","0.213","0.295","0.84","361","109","30.2%","324","70","21.6%",,,,
"17K289","17","P.S. 289 George V. Brower",,"K289","false","281","281","0","0","0.043","0.705","0.185","0.021","0.014","0.032","0.0","0.37","0.075","0.911","149","69","46.3%","150","79","52.7%",,,,
"17K316","17","P.S. 316 Elijah Stroud",,"K316","false","563","563","0","0","0.037","0.632","0.153","0.027","0.005","0.146","0.0","0.179","0.032","0.584","207","139","67.1%","210","125","59.5%",,,,
"17K352","17","Ebbets Field Middle School",,"K320","false","128","0","128","0","0.039","0.719","0.148","0.0","0.008","0.086","0.0","0.32","0.188","0.867","120","36","30.0%","128","23","18.0%","s","s",,
"17K353","17","Elijah Stroud Middle School",,"K316","false","143","0","143","0","0.07","0.601","0.266","0.014","0.028","0.021","0.0","0.315","0.105","0.944","151","42","27.8%","149","19","12.8%",,,,
"17K354","17","The School of Integrated Learning",,"K390","false","324","0","324","0","0.006","0.802","0.16","0.006","0.012","0.006","0.006","0.231","0.062","0.867","280","171","61.1%","282","158","56.0%",,,,
"17K375","17","P.S. 375 Jackie Robinson School",,"K320","false","254","254","0","0","0.043","0.717","0.197","0.016","0.012","0.016","0.0","0.323","0.185","0.957","163","39","23.9%","169","41","24.3%",,,,
"17K382","17","Academy for College Preparation and Career Exploration: A College Board School",,"K465","false","337","0","129","208","0.018","0.733","0.211","0.003","0.015","0.018","0.003","0.193","0.101","0.869","115","28","24.3%","120","14","11.7%","63","74.6%","61","77.0%"
"17K394","17","M.S. K394",,"K210","false","285","172","113","0","0.091","0.712","0.182","0.004","0.004","0.007","0.0","0.144","0.074","0.909","235","70","29.8%","238","48","20.2%",,,,
"17K398","17","P.S. 398 Walter Weaver",,"K398","false","203","203","0","0","0.015","0.828","0.128","0.0","0.015","0.015","0.0","0.246","0.103","0.946","120","44","36.7%","119","41","34.5%",,,,
"17K408","17","Academy of Hospitality and Tourism",,"K465","false","277","0","0","277","0.04","0.682","0.235","0.0","0.004","0.032","0.007","0.278","0.134","0.942",,,,,,,"56","85.7%","50","90.0%"
"17K484","17","Ronald Edmonds Learning Center II",,"K012","false","178","0","178","0","0.028","0.674","0.242","0.011","0.028","0.017","0.0","0.298","0.118","0.876","133","45","33.8%","137","64","46.7%",,,,
"17K524","17","International High School at Prospect Heights",,"K440","false","323","0","0","323","0.115","0.235","0.539","0.006","0.015","0.09","0.0","0.04","0.861","0.793",,,,,,,"100","76.0%","104","79.8%"
"17K528","17","The High School for Global Citizenship",,"K440","false","240","0","0","240","0.046","0.733","0.175","0.004","0.013","0.025","0.004","0.171","0.079","0.854",,,,,,,"53","86.8%","49","81.6%"
"17K531","17","School for Human Rights, The",,"K470","false","279","0","0","279","0.018","0.878","0.079","0.0","0.007","0.014","0.004","0.183","0.054","0.9","20","11","55.0%","21","7","33.3%","74","87.8%","117","87.2%"
"17K532","17","New Bridges Elementary",,"K167","false","420","420","0","0","0.024","0.726","0.198","0.012","0.007","0.031","0.002","0.193","0.086","0.848","172","68","39.5%","171","60","35.1%",,,,
"17K537","17","High School for Youth and Community Development at Erasmus",,"K465","false","464","0","0","464","0.041","0.754","0.157","0.0","0.015","0.032","0.0","0.235","0.086","0.774",,,,,,,"121","82.6%","128","86.7%"
"17K539","17","High School for Service & Learning at Erasmus",,"K465","false","259","0","0","259","0.031","0.71","0.208","0.004","0.012","0.023","0.012","0.212","0.139","0.772",,,,,,,"63","73.0%","122","79.5%"
"17K543","17","Science, Technology and Research Early College High School at Erasmus",,"K465","false","657","0","258","399","0.052","0.747","0.134","0.002","0.018","0.024","0.023","0.145","0.011","0.7","195","161","82.6%","195","134","68.7%","93","98.9%","70","98.6%"
"17K546","17","High School for Public Service: Heroes of Tomorrow",,"K470","false","519","0","0","519","0.042","0.748","0.16","0.002","0.013","0.021","0.013","0.193","0.01","0.74",,,,,,,"104","95.2%","113","97.3%"
"17K547","17","Brooklyn Academy of Science and the Environment",,"K440","false","332","0","0","332","0.057","0.705","0.163","0.003","0.006","0.048","0.018","0.166","0.054","0.726",,,,,,,"89","79.8%","83","78.3%"
"17K548","17","Brooklyn School for Music & Theatre",,"K440","false","292","0","0","292","0.017","0.743","0.226","0.0","0.0","0.007","0.007","0.229","0.027","0.812",,,,,,,"54","79.6%","74","90.5%"
"17K568","17","Brownsville Academy High School",,"K907","true","84","0","0","84","0.024","0.821","0.107","0.0","0.036","0.012","0.0","0.298","0.036","0.821",,,,,,,"73","24.7%","53","56.6%"
"17K590","17","Medgar Evers College Preparatory School",,"K590","false","1505","0","577","928","0.03","0.854","0.054","0.007","0.025","0.009","0.021","0.07","0.003","0.736","424","340","80.2%","173","140","80.9%","196","96.9%","207","98.6%"
"17K600","17","Clara Barton High School",,"K600","false","1331","0","0","1331","0.014","0.85","0.099","0.002","0.011","0.014","0.011","0.178","0.071","0.79",,,,,,,"282","75.5%","278","84.9%"
"17K646","17","Aspirations Diploma Plus High School",,"K824","true","182","0","0","182","0.016","0.83","0.132","0.005","0.011","0.005","0.0","0.275","0.033","0.813",,,,,,,"95","17.9%","108","45.4%"
"17K705","17","Brooklyn Arts and Science Elementary School",,"K022","false","310","310","0","0","0.042","0.429","0.335","0.032","0.0","0.161","0.0","0.223","0.126","0.752","135","47","34.8%","133","50","37.6%",,,,
"17K722","17","New Heights Middle School",,"K391","false","234","0","234","0","0.004","0.774","0.141","0.017","0.03","0.03","0.004","0.252","0.077","0.953","243","62","25.5%","243","41","16.9%",,,,
"17K745","17","Brooklyn Institute for Liberal Arts",,"K470","false","523","0","0","523","0.019","0.816","0.151","0.0","0.006","0.008","0.0","0.216","0.05","0.849",,,,,,,"106","92.5%","78","96.2%"
"17K751","17","Academy for Health Careers",,"K625","false","280","0","0","280","0.057","0.739","0.164","0.0","0.014","0.014","0.011","0.161","0.043","0.829",,,,,,,"82","85.4%","80","90.0%"
"17K770","17","P.S. 770 New American Academy",,"K398","false","286","286","0","0","0.024","0.535","0.122","0.098","0.014","0.206","0.0","0.15","0.014","0.486","107","56","52.3%","105","51","48.6%",,,,
"18K066","18","P.S. 66",,"K066","false","664","362","302","0","0.015","0.813","0.12","0.006","0.008","0.038","0.0","0.169","0.059","0.75","524","196","37.4%","486","171","35.2%",,,,
"18K068","18","I.S. 068 Isaac Bildersee",,"K068","false","230","0","230","0","0.078","0.678","0.096","0.004","0.0","0.139","0.004","0.304","0.309","0.857","249","55","22.1%","256","52","20.3%",,,,
"18K114","18","P.S. 114 Ryder Elementary",,"K114","false","414","414","0","0","0.046","0.773","0.128","0.007","0.005","0.041","0.0","0.208","0.101","0.795","206","100","48.5%","214","86","40.2%",,,,
"18K135","18","P.S. 135 Sheldon A. Brookner","true","K135, K855","false","414","414","0","0","0.022","0.778","0.089","0.007","0.007","0.097","0.0","0.152","0.109","0.882","255","97","38.0%","254","106","41.7%",,,,
"18K211","18","I.S. 211 John Wilson",,"K211","false","252","0","252","0","0.028","0.782","0.127","0.004","0.004","0.052","0.004","0.302","0.099","0.817","394","141","35.8%","394","73","18.5%",,,,
"18K219","18","P.S. 219 Kennedy-King",,"K219","false","297","297","0","0","0.003","0.828","0.131","0.003","0.007","0.027","0.0","0.256","0.121","0.811","180","67","37.2%","183","66","36.1%",,,,
"18K233","18","P.S. 233 Langston Hughes",,"K233","false","307","307","0","0","0.003","0.883","0.098","0.0","0.0","0.016","0.0","0.202","0.016","0.798","169","75","44.4%","172","74","43.0%",,,,
"18K235","18","P.S. 235 Janice Marie Knight School","true","K235, K242, K855","false","1109","795","314","0","0.023","0.902","0.043","0.013","0.004","0.011","0.005","0.097","0.005","0.603","742","521","70.2%","663","440","66.4%",,,,
"18K244","18","P.S. 244 Richard R. Green",,"K244","false","379","379","0","0","0.026","0.892","0.066","0.003","0.0","0.011","0.003","0.245","0.032","0.879","197","101","51.3%","199","96","48.2%",,,,
"18K279","18","P.S. 279 Herman Schreiber",,"K279","false","287","287","0","0","0.035","0.836","0.077","0.003","0.01","0.035","0.003","0.16","0.038","0.739","180","82","45.6%","179","68","38.0%",,,,
"18K563","18","It Takes a Village Academy",,"K415","false","486","0","0","486","0.023","0.84","0.086","0.0","0.016","0.029","0.006","0.193","0.138","0.761",,,,,,,"210","86.2%","149","90.6%"
"18K566","18","Brooklyn Community High School for Excellence and Equity",,"K515","false","206","0","0","206","0.005","0.786","0.121","0.0","0.015","0.063","0.01","0.238","0.107","0.767",,,,,,,"55","76.4%","43","81.4%"
"18K567","18","Brooklyn Theatre Arts High School",,"K515","false","278","0","0","278","0.014","0.784","0.155","0.004","0.007","0.029","0.007","0.234","0.04","0.806",,,,,,,"92","71.7%","77","92.2%"
"18K569","18","Kurt Hahn Expeditionary Learning School",,"K415","false","214","0","0","214","0.005","0.813","0.145","0.0","0.014","0.023","0.0","0.336","0.084","0.85",,,,,,,"90","82.2%","96","90.6%"
"18K576","18","Victory Collegiate High School",,"K515","false","283","0","0","283","0.032","0.739","0.12","0.007","0.007","0.088","0.007","0.194","0.092","0.816",,,,,,,"77","90.9%","107","88.8%"
"18K578","18","Brooklyn Bridge Academy",,"K515","true","143","0","0","143","0.042","0.86","0.07","0.0","0.007","0.021","0.0","0.322","0.063","0.769",,,,,,,"97","23.7%","100","60.0%"
"18K581","18","The Middle School of Media, Law and Fine Arts",,"K232","false","199","0","199","0","0.01","0.839","0.075","0.015","0.025","0.035","0.0","0.271","0.111","0.859","248","49","19.8%","255","40","15.7%",,,,
"18K588","18","Middle School for Art and Philosophy",,"K252","false","131","0","131","0","0.0","0.885","0.069","0.0","0.015","0.031","0.0","0.366","0.076","0.901","154","55","35.7%","161","34","21.1%",,,,
"18K617","18","High School for Innovation in Advertising and Media",,"K500","false","212","0","0","212","0.019","0.83","0.094","0.0","0.005","0.052","0.0","0.297","0.057","0.783",,,,,,,"58","84.5%","57","75.4%"
"18K629","18","Cultural Academy for the Arts and Sciences",,"K415","false","222","0","0","222","0.014","0.824","0.126","0.014","0.005","0.018","0.0","0.252","0.117","0.815",,,,,,,"75","88.0%","88","90.9%"
"18K633","18","High School for Medical Professions",,"K500","false","475","0","0","475","0.029","0.777","0.141","0.002","0.008","0.034","0.008","0.16","0.082","0.855",,,,,,,"94","89.4%","111","98.2%"
"18K635","18","Olympus Academy",,"K242","true","180","0","0","180","0.006","0.839","0.139","0.0","0.0","0.017","0.0","0.328","0.017","0.872",,,,,,,"85","30.6%","91","48.4%"
"18K637","18","Academy for Conservation and the Environment",,"K515","false","351","0","0","351","0.063","0.684","0.114","0.017","0.046","0.06","0.017","0.179","0.1","0.792",,,,,,,"73","90.4%","74","83.8%"
"18K642","18","Urban Action Academy",,"K500","false","174","0","0","174","0.011","0.793","0.121","0.0","0.011","0.063","0.0","0.224","0.201","0.977",,,,,,,"71","67.6%","77","76.6%"
"18K763","18","Brooklyn Science and Engineering Academy",,"K244","false","359","0","359","0","0.017","0.891","0.058","0.014","0.006","0.011","0.003","0.223","0.019","0.805","303","119","39.3%","305","102","33.4%",,,,
"19K013","19","P.S. 013 Roberto Clemente",,"K013","false","396","396","0","0","0.038","0.669","0.245","0.0","0.018","0.03","0.0","0.222","0.083","0.932","152","62","40.8%","152","58","38.2%",,,,
"19K065","19","P.S. 065",,"K798","false","523","523","0","0","0.034","0.067","0.864","0.002","0.019","0.013","0.0","0.098","0.207","0.815","301","179","59.5%","316","190","60.1%",,,,
"19K171","19","I.S. 171 Abraham Lincoln",,"K171","false","343","0","343","0","0.076","0.079","0.819","0.0","0.017","0.009","0.0","0.181","0.294","0.965","368","93","25.3%","380","70","18.4%",,,,
"19K190","19","P.S. 190 Sheffield",,"K190","false","157","157","0","0","0.025","0.701","0.204","0.0","0.006","0.064","0.0","0.14","0.064","0.949","75","28","37.3%","75","21","28.0%",,,,
"19K202","19","P.S. 202 Ernest S. Jenkyns",,"K202","false","281","281","0","0","0.039","0.577","0.359","0.004","0.007","0.014","0.0","0.228","0.085","0.957","169","50","29.6%","175","46","26.3%",,,,
"19K213","19","P.S. 213 New Lots",,"K213","false","231","231","0","0","0.061","0.71","0.169","0.0","0.022","0.035","0.004","0.203","0.091","0.909","108","18","16.7%","108","18","16.7%",,,,
"19K218","19","J.H.S. 218 James P. Sinnott",,"K218","false","333","0","333","0","0.135","0.444","0.369","0.006","0.021","0.024","0.0","0.306","0.222","0.886","397","68","17.1%","388","25","6.4%",,,,
"19K224","19","P.S. 224 Hale A. Woodruff",,"K224","false","283","283","0","0","0.042","0.544","0.375","0.004","0.025","0.007","0.004","0.205","0.071","0.933","184","34","18.5%","186","25","13.4%",,,,
"19K273","19","P.S. 273 Wortman",,"K273","false","301","301","0","0","0.017","0.701","0.266","0.0","0.01","0.007","0.0","0.249","0.013","0.89","145","27","18.6%","146","22","15.1%",,,,
"19K292","19","J.H.S. 292 Margaret S. Douglas",,"K292","false","483","0","483","0","0.186","0.468","0.323","0.004","0.008","0.01","0.0","0.273","0.118","0.932","498","176","35.3%","521","164","31.5%",,,,
"19K306","19","P.S. 306 Ethan Allen",,"K306","false","279","279","0","0","0.007","0.756","0.226","0.0","0.007","0.004","0.0","0.237","0.007","0.925","128","31","24.2%","128","30","23.4%",,,,
"19K328","19","P.S. 328 Phyllis Wheatley",,"K328","false","286","286","0","0","0.017","0.587","0.353","0.0","0.01","0.031","0.0","0.213","0.091","0.986","104","18","17.3%","104","25","24.0%","s","s",,
"19K346","19","P.S. 346 Abe Stark",,"K346","false","486","486","0","0","0.031","0.642","0.247","0.021","0.031","0.029","0.0","0.255","0.014","0.823","218","85","39.0%","228","80","35.1%",,,,
"19K404","19","Academy for Young Writers",,"K422","false","540","0","179","361","0.026","0.643","0.302","0.002","0.011","0.017","0.0","0.246","0.03","0.913","203","66","32.5%","201","36","17.9%","78","89.7%","63","93.7%"
"19K409","19","East New York Family Academy",,"K660","false","558","0","219","339","0.03","0.694","0.251","0.005","0.013","0.004","0.004","0.242","0.025","0.923","203","97","47.8%","181","76","42.0%","58","96.6%","54","87.0%"
"19K422","19","Spring Creek Community School",,"K422","false","531","0","215","316","0.013","0.704","0.239","0.004","0.009","0.021","0.009","0.258","0.04","0.838","220","68","30.9%","220","52","23.6%","69","94.2%","1","0.0%"
"19K452","19","Frederick Douglass Academy VIII Middle School",,"K346","false","274","0","274","0","0.047","0.715","0.219","0.0","0.0","0.018","0.0","0.226","0.033","0.927","315","143","45.4%","308","85","27.6%",,,,
"19K502","19","FDNY - Captain Vernon A. Richard High School for Fire and Life Safety",,"K435","false","275","0","0","275","0.022","0.625","0.302","0.0","0.018","0.025","0.007","0.378","0.044","0.811",,,,,,,"60","78.3%","90","81.1%"
"19K504","19","High School for Civil Rights",,"K435","false","195","0","0","195","0.01","0.621","0.323","0.01","0.01","0.026","0.0","0.323","0.159","0.774",,,,,,,"67","74.6%","89","61.8%"
"19K507","19","Performing Arts and Technology High School",,"K435","false","359","0","0","359","0.017","0.627","0.329","0.0","0.014","0.011","0.003","0.256","0.131","0.894",,,,,,,"103","81.6%","90","83.3%"
"19K510","19","World Academy for Total Community Health High School",,"K435","false","169","0","0","169","0.024","0.639","0.266","0.0","0.03","0.041","0.0","0.219","0.166","0.929",,,,,,,"61","68.9%","54","79.6%"
"19K557","19","Brooklyn Gardens Elementary School",,"K174","false","285","285","0","0","0.021","0.568","0.382","0.014","0.007","0.007","0.0","0.221","0.063","0.933","133","27","20.3%","134","26","19.4%",,,,
"19K583","19","Multicultural High School",,"K420","false","284","0","0","284","0.0","0.025","0.975","0.0","0.0","0.0","0.0","0.011","0.866","0.87",,,,,,,"67","86.6%","62","82.3%"
"19K618","19","Academy of Innovative Technology",,"K420","false","455","0","0","455","0.059","0.336","0.552","0.0","0.018","0.022","0.013","0.198","0.084","0.855",,,,,,,"104","90.4%","94","89.4%"
"19K639","19","Brooklyn Lab School",,"K420","false","400","0","0","400","0.117","0.252","0.56","0.005","0.018","0.03","0.018","0.215","0.25","0.87",,,,,,,"88","86.4%","73","75.3%"
"19K654","19","Van Siclen Community Middle School",,"K166","false","286","0","286","0","0.014","0.689","0.266","0.0","0.0","0.031","0.0","0.325","0.115","0.941","295","52","17.6%","299","26","8.7%",,,,
"19K659","19","Cypress Hills Collegiate Preparatory School",,"K420","false","373","0","0","373","0.123","0.131","0.7","0.003","0.011","0.021","0.011","0.206","0.198","0.92",,,,,,,"65","87.7%","49","91.8%"
"19K660","19","W. H. Maxwell Career and Technical Education High School",,"K660","false","401","0","0","401","0.022","0.601","0.329","0.002","0.015","0.03","0.0","0.357","0.115","0.878",,,,,,,"104","79.8%","108","79.6%"
"19K661","19","Vista Academy",,"K302","false","477","0","477","0","0.075","0.224","0.658","0.004","0.017","0.019","0.002","0.214","0.086","0.975","448","194","43.3%","458","164","35.8%",,,,
"19K662","19","Liberty Avenue Middle School",,"K302","false","533","0","533","0","0.056","0.231","0.67","0.006","0.026","0.011","0.0","0.257","0.18","0.972","448","138","30.8%","460","157","34.1%",,,,
"19K663","19","School of the Future Brooklyn",,"K174","false","108","0","108","0","0.009","0.639","0.296","0.0","0.019","0.037","0.0","0.389","0.111","0.963","176","20","11.4%","171","8","4.7%",,,,
"19K677","19","East New York Elementary School of Excellence",,"K072","false","445","445","0","0","0.07","0.472","0.422","0.02","0.009","0.004","0.002","0.191","0.124","0.946","237","57","24.1%","241","69","28.6%",,,,
"19K678","19","East New York Middle School of Excellence",,"K072","false","245","0","245","0","0.033","0.49","0.433","0.012","0.012","0.02","0.0","0.257","0.155","0.959","244","47","19.3%","244","31","12.7%",,,,
"19K683","19","School for Classics High School",,"K218","false","240","0","0","240","0.146","0.417","0.363","0.004","0.021","0.05","0.0","0.204","0.35","0.875",,,,,,,"82","82.9%","87","78.2%"
"19K760","19","Highland Park Community School",,"K171","false","357","0","357","0","0.056","0.081","0.824","0.003","0.017","0.02","0.0","0.204","0.196","0.91","323","101","31.3%","329","61","18.5%",,,,
"19K764","19","The Urban Assembly School for Collaborative Healthcare",,"K420","false","346","0","0","346","0.13","0.263","0.509","0.014","0.02","0.035","0.029","0.124","0.139","0.772",,,,,,,"73","90.4%","84","86.9%"
"19K907","19","Legacy School of the Arts",,"K190","false","142","0","142","0","0.035","0.627","0.289","0.007","0.007","0.028","0.007","0.254","0.056","0.908","38","14","36.8%","38","9","23.7%",,,,
"19K938","19","P.S. 938",,"K667","false","62","62","0","0","0.097","0.177","0.677","0.0","0.032","0.016","0.0","0.081","0.032","0.935",,,,,,,,,,
"19K953","19","The East New York Arts and Civics High School",,"K166","false","164","0","0","164","0.006","0.683","0.256","0.006","0.012","0.037","0.0","0.146","0.116","0.793",,,,,,,,,,
"20K030","20","P.S./I.S. 30 Mary White Ovington","true","K331, K940","false","961","539","422","0","0.2","0.01","0.357","0.01","0.005","0.417","0.0","0.204","0.223","0.753","664","328","49.4%","670","372","55.5%",,,,
"20K163","20","P.S. 163 Bath Beach",,"K807","false","616","390","226","0","0.326","0.016","0.339","0.002","0.0","0.317","0.0","0.193","0.255","0.804","396","220","55.6%","408","234","57.4%",,,,
"20K164","20","P.S. 164 Caesar Rodney",,"K164","false","624","624","0","0","0.455","0.005","0.413","0.003","0.006","0.117","0.0","0.197","0.151","0.817","273","160","58.6%","283","184","65.0%",,,,
"20K180","20","The SEEALL Academy",,"K180","false","1036","520","516","0","0.445","0.014","0.307","0.01","0.004","0.221","0.0","0.189","0.255","0.897","743","453","61.0%","691","419","60.6%",,,,
"20K192","20","P.S. 192 - The Magnet School for Math and Science Inquiry",,"K192","false","643","441","202","0","0.168","0.017","0.457","0.002","0.003","0.353","0.0","0.213","0.271","0.827","370","197","53.2%","375","207","55.2%",,,,
"20K223","20","J.H.S. 223 The Montauk",,"K223","false","888","0","888","0","0.539","0.029","0.288","0.005","0.008","0.131","0.0","0.166","0.258","0.859","823","445","54.1%","868","535","61.6%",,,,
"20K264","20","P.S. 264 Bay Ridge Elementary School For The Arts",,"K264","false","417","417","0","0","0.134","0.026","0.314","0.017","0.002","0.506","0.0","0.194","0.165","0.683","202","126","62.4%","210","124","59.0%",,,,
"20K485","20","High School of Telecommunication Arts and Technology",,"K485","false","1269","0","0","1269","0.281","0.039","0.459","0.004","0.002","0.192","0.024","0.18","0.091","0.754",,,,,,,"291","92.1%","314","94.9%"
"20K503","20","P.S. 503: The School of Discovery",,"K314","false","857","857","0","0","0.201","0.004","0.739","0.004","0.001","0.053","0.0","0.249","0.547","0.949","451","164","36.4%","453","202","44.6%",,,,
"20K506","20","P.S. 506: The School of Journalism & Technology",,"K314","false","667","667","0","0","0.307","0.01","0.628","0.001","0.003","0.045","0.004","0.228","0.345","0.894","350","133","38.0%","360","155","43.1%",,,,
"20K609","20","Urban Assembly School for Leadership and Empowerment",,"K223","false","577","0","216","361","0.497","0.113","0.187","0.012","0.009","0.177","0.005","0.159","0.159","0.88","192","128","66.7%","186","104","55.9%","66","95.5%","82","96.3%"
"20K682","20","The Academy of Talented Scholars",,"K237","false","385","385","0","0","0.312","0.026","0.078","0.013","0.0","0.571","0.0","0.252","0.2","0.53","156","132","84.6%","162","127","78.4%",,,,
"20K686","20","Brooklyn School of Inquiry",,"K237","false","523","350","173","0","0.247","0.052","0.038","0.036","0.002","0.625","0.0","0.084","0.09","0.296","317","288","90.9%","277","255","92.1%",,,,
"20K936","20","MS 936 Arts Off 3rd",,"K746","false","148","0","148","0","0.135","0.007","0.743","0.0","0.007","0.101","0.007","0.209","0.277","0.851",,,,,,,,,,
"20K939","20","Sunset School of Cultural Learning",,"K746","false","65","65","0","0","0.169","0.0","0.723","0.0","0.0","0.108","0.0","0.231","0.292","0.892",,,,,,,,,,
"21K096","21","I.S. 096 Seth Low",,"K096","false","814","0","814","0","0.301","0.071","0.334","0.004","0.002","0.287","0.0","0.229","0.285","0.769","672","256","38.1%","736","343","46.6%",,,,
"21K100","21","P.S. 100 The Coney Island School",,"K100","false","685","685","0","0","0.038","0.029","0.077","0.018","0.004","0.834","0.0","0.158","0.251","0.477","341","219","64.2%","346","243","70.2%",,,,
"21K128","21","P.S. 128 Bensonhurst",,"K128","false","424","424","0","0","0.283","0.009","0.243","0.002","0.012","0.45","0.0","0.167","0.436","0.821","207","80","38.6%","223","99","44.4%",,,,
"21K215","21","P.S. 215 Morris H. Weiss",,"K215","false","752","752","0","0","0.279","0.013","0.254","0.009","0.003","0.441","0.0","0.148","0.203","0.715","382","246","64.4%","386","255","66.1%",,,,
"21K225","21","P.S. K225 - The Eileen E. Zaglin",,"K225","false","954","572","382","0","0.221","0.022","0.34","0.0","0.012","0.404","0.002","0.184","0.348","0.819","616","244","39.6%","656","276","42.1%",,,,
"21K238","21","P.S. 238 Anne Sullivan",,"K238","false","607","440","167","0","0.221","0.028","0.473","0.007","0.0","0.272","0.0","0.209","0.448","0.829","334","109","32.6%","346","100","28.9%",,,,
"21K281","21","I.S. 281 Joseph B Cavallaro",,"K281","false","1189","0","1189","0","0.415","0.056","0.252","0.004","0.006","0.263","0.003","0.183","0.204","0.807","1231","656","53.3%","1267","776","61.2%",,,,
