"the_geom","segmentid","boroughcod","oftcode","onstreetna","fromstreet","tostreetna","wkt","manualrati","ratinglaye","inspection","shape_stle"
"MULTILINESTRING ((-74.08045516749976 40.635497002413246, -74.081759555134 40.63425635435583))","16252","S","554255517150528187","WARD AVENUE","AVON PLACE","FIEDLER AVENUE","LINESTRING (961919.74349999428 170815.32559999824, 961557.290199995 170363.65979999304)","6","FAIR","2023-05-05T00:00:00.000","579.115178159"
"MULTILINESTRING ((-74.14655355561638 40.619112076472035, -74.1465857929698 40.61868508446814))","8716","S","551978525908525913","TUTTLE STREET","DEAD END","DEVENS STREET","LINESTRING (943564.22380000353 164869.64059999585, 943555.01379999518 164714.0911000073)","5","FAIR","2023-02-18T00:00:00.000","155.821920945"
"MULTILINESTRING ((-74.09027738565803 40.635499029761895, -74.08982596027667 40.63451570893937))","13964","S","551979519850525908","TRUMBULL PLACE","BRIGHTON AVENUE","DEAD END","LINESTRING (959193.59759999812 170818.72120000422, 959318.52279999852 170460.34219999611)","8","GOOD","2023-05-01T00:00:00.000","379.528409005"
"MULTILINESTRING ((-73.75830875505922 40.59908545130256, -73.75823118162634 40.59924221375375, -73.75813433110174 40.59939451400051, -73.75813430731004 40.59939455897672, -73.75813427170405 40.599394603928076, -73.75801887192631 40.59954043528214, -73.75788609928533 40.59967790906246, -73.75788606371168 40.599677945008544, -73.75773775620573 40.59980518293111, -73.75773763766996 40.599805290744314, -73.75773750856659 40.59980538052474, -73.75757566669223 40.59992099093462, -73.75757558494412 40.59992105379898, -73.75757548905136 40.59992110762825, -73.75740224662519 40.60002408638429))","116032","Q","436890437390439610","BRIAR PLACE","BROOKHAVEN AVENUE","COLLIER AVENUE","LINESTRING (1051618.4950000048 157974.64300000668, 1051570.4899999946 157936.99220000207, 1051570.4635999948 157936.97259999812, 1051570.4407999963 157936.94959999621, 1051525.6146000028 157894.70559999347, 1051525.5786000043 157894.67280000448, 1051525.","8","GOOD","2022-09-15T00:00:00.000","431.772096695"
"MULTILINESTRING ((-73.87326365388385 40.76272134699783, -73.87293620514332 40.762674069989444))","156537","Q","428790418890451010","ASTORIA BOULEVARD","96 STREET","JACKSON MILL ROAD","LINESTRING (1019361.7266000062 217158.61399999261, 1019470.1319999993 217134.04060000181)","7","FAIR","2023-02-16T00:00:00.000","92.3305311085"
"MULTILINESTRING ((-73.83385780669431 40.8760215799996, -73.83382601937896 40.876336858502604, -73.83377382739074 40.876651711375814, -73.83370124516493 40.87696499499181, -73.8336084175995 40.87727558391051, -73.83354732209573 40.87744177288767))","278584","X","211620223380224810","BAYCHESTER AVENUE","DARROW PLACE","DONIZETTI PLACE","LINESTRING (1030420.0802000016 259371.72059999406, 1030392.3518999964 259311.11130000651, 1030366.4317999929 259249.70690000057, 1030342.3426000029 259187.56139999628, 1030320.105399996 259124.72939999402, 1030299.7398999929 259061.26600000262, 1030281.2","6","FAIR","2023-05-13T00:00:00.000","525.612660663"
"MULTILINESTRING ((-74.10559659415408 40.63972953550073, -74.10654095110539 40.63961675780474))","13743","S","554200526120535050","WALNUT STREET","DONALD PLACE","KISSEL AVENUE","LINESTRING (954943.62579999864 172364.76139999926, 954681.48720000684 172323.99060000479)","9","GOOD","2022-11-08T00:00:00.000","265.290225485"
"MULTILINESTRING ((-73.83617079626406 40.876827693374864, -73.83627339412382 40.87687740729021))","261312","X","211620222980235680","BAYCHESTER AVENUE","CURTISS AVENUE","GIVAN AVENUE","LINESTRING (1029436.7225999981 259007.90240000188, 1029446.049999997 258982.49560000002, 1029527.7740000039 258790.18580000103, 1029556.1806000024 258772.12620000541)","8","GOOD","2023-02-01T00:00:00.000","33.6613142268"
"MULTILINESTRING ((-74.23043718322972 40.52464963305907, -74.2303696136758 40.52555854066672))","159351","S","552010500001519300","TYRELLAN AVENUE","WEST SHORE EXPRESSWAY NB ET","BOSCOMBE AVENUE","LINESTRING (920209.51659999788 130897.54919999838, 920205.8587000072 130835.95479999483, 920186.20299999416 130504.86939999461, 920185.35009999573 130490.51579999924)","9","GOOD","2020-09-10T00:00:00.000","331.668341324"
"MULTILINESTRING ((-74.23043718322972 40.52464963305907, -74.2303696136758 40.52555854066672))","159351","S","552010510250519300","TYRELLAN AVENUE","WSE NORTHBOUND EXIT 2","BOSCOMBE AVENUE","LINESTRING (920186.20299999416 130504.86939999461, 920205.8587000072 130835.95479999483)","9","GOOD","2020-09-10T00:00:00.000","331.668341324"
"MULTILINESTRING ((-73.87204899264418 40.76236284596486, -73.87134251682424 40.7622472447374))","145364","Q","428790419040419090","ASTORIA BOULEVARD","97 STREET","98 STREET","LINESTRING (1019628.9472000003 217099.21459999681, 1019703.4811999947 217083.43700000644, 1019887.4767999947 217041.1371999979)","7","FAIR","2022-11-28T00:00:00.000","200.189727318"
"MULTILINESTRING ((-74.12987800186119 40.624019547716, -74.13097600391048 40.623705172846584))","9614","S","570159534852544650","KAREN COURT","JILLIAN COURT","RAVENHURST AVENUE","LINESTRING (948422.025000006 166657.04659999907, 948377.76000000536 166647.06960000098, 948332.43520000577 166641.32500000298, 948286.6643999964 166639.9469999969, 948241.07379999757 166642.95880000293, 948196.29039999843 166650.255400002, 947891.3173999","9","GOOD","2017-08-02T00:00:00.000","325.611810176"
"MULTILINESTRING ((-73.83656761362519 40.877405655793346, -73.83660117080039 40.87747543716605))","178581","X","211620222980235680","BAYCHESTER AVENUE","CURTISS AVENUE","GIVAN AVENUE","LINESTRING (1029436.7225999981 259007.90240000188, 1029446.049999997 258982.49560000002, 1029527.7740000039 258790.18580000103, 1029556.1806000024 258772.12620000541)","8","GOOD","2023-02-01T00:00:00.000","27.0648457796"
"MULTILINESTRING ((-74.12166636391837 40.567088459646484, -74.12024009026959 40.56622746479671))","10305","S","552000557700557720","TYSENS LANE","8 STREET","10 STREET","LINESTRING (950447.0044 145905.55660000443, 950842.840200007 145591.32840000093)","8","GOOD","2022-07-18T00:00:00.000","505.396223022"
"MULTILINESTRING ((-74.10815923815456 40.559164114469475, -74.10741797359694 40.5587709298264))","10814","S","552000528550532900","TYSENS LANE","FINLEY AVENUE","HETT AVENUE","LINESTRING (954196.17000000179 143013.60379999876, 954401.96680000424 142870.10359999537)","7","FAIR","2022-07-14T00:00:00.000","250.887684617"
"MULTILINESTRING ((-73.88172695380064 40.764100293735936, -73.88121597676653 40.76401295935875))","175398","Q","428790417740417990","ASTORIA BOULEVARD","87 STREET","88 STREET","LINESTRING (1016883.7919999957 217709.53170000017, 1017013.3061999977 217681.20160000026, 1017154.8972000033 217649.57439999282)","6","FAIR","2022-11-28T00:00:00.000","145.08029178"
"MULTILINESTRING ((-74.13337658573676 40.615691283331195, -74.13345544493916 40.615391219850345))","9396","S","554260525908538320","WARDWELL AVENUE","DEAD END","MARKHAM PLACE","LINESTRING (947220.4756000042 163617.5121999979, 947198.41529999673 163508.22439999878)","9","GOOD","2023-02-18T00:00:00.000","111.49206279"
"MULTILINESTRING ((-73.85520958382051 40.8429750346229, -73.8557415216733 40.843142652699896))","86481","X","215520208630271120","BRONXDALE AVENUE","AMTRAK RAILROAD","VAN NEST AVENUE","LINESTRING (1023357.1976999938 247269.59289999306, 1023436.5430999994 247130.20350000262, 1023710.2158000022 246698.10899999738, 1023853.6071999967 246630.36519999802, 1024164.2070000023 246489.86339999735, 1024311.4870000035 246429.03679999709)","9","GOOD","2022-08-24T00:00:00.000","159.346395215"
"MULTILINESTRING ((-74.13589267097731 40.60099654508934, -74.13592112979028 40.600362651097335))","8029","S","554300531785538665","WASHINGTON AVENUE","HAROLD STREET","MC DONALD STREET","LINESTRING (946513.62659999728 158264.91799999774, 946505.36540000141 158033.98680000007)","8","GOOD","2022-09-20T00:00:00.000","231.078918462"
"MULTILINESTRING ((-73.8639230282391 40.84968445808999, -73.86499694758106 40.85008824915455))","86055","X","215520210620253520","BRONXDALE AVENUE","BARNES AVENUE","NEILL AVENUE","LINESTRING (1021896.803399995 248869.66500000656, 1021599.4681999981 249016.32150000334)","9","GOOD","2022-06-29T00:00:00.000","331.536348156"
"MULTILINESTRING ((-73.94084762512094 40.75092390514973, -73.94064584056743 40.75083439370432))","132802","Q","436940407490410010","QUEENS PLAZA","27 STREET","RAMP","MULTILINESTRING ((1000801.3115999997 212879.87600000203, 1000868.3382000029 212841.12659999728), (1000639.2895999998 212864.02879999578, 1000695.2199999988 212831.45460000634, 1000751.7776000053 212796.29680000246, 1000815.1113999933 212759.69879999757,","7","FAIR","2018-03-27T00:00:00.000","64.7247104976"
"MULTILINESTRING ((-74.06323223825092 40.59334349836498, -74.06316415390735 40.593313809542195))","185449","S","570174526480545200","LINDA AVENUE","DRURY AVENUE","ROBIN ROAD","LINESTRING (966334.954400003 156039.7880000025, 966406.1616999954 155853.35480000079, 966688.86450000107 155453.78540000319, 966707.76549999416 155442.9552000016)","8","GOOD","2023-07-15T00:00:00.000","21.7839627436"
"MULTILINESTRING ((-74.13585840596217 40.602232022400656, -74.13589267097731 40.60099654508934))","8033","S","554300531785550410","WASHINGTON AVENUE","HAROLD STREET","SUNSET AVENUE","LINESTRING (946523.83980000019 158715.01880000532, 946513.62659999728 158264.91799999774)","9","GOOD","2023-07-10T00:00:00.000","450.216658534"
"MULTILINESTRING ((-73.86038660629704 40.848235571434394, -73.86119240857893 40.84860346777165))","107330","X","215520212550261220","BRONXDALE AVENUE","BEND","RHINELANDER AVENUE","LINESTRING (1022876.0239000022 248343.32099999487, 1022652.8747999966 248477.00519999862)","9","GOOD","2022-06-29T00:00:00.000","260.128787649"
"MULTILINESTRING ((-74.08461212337517 40.63083934081403, -74.08482234755913 40.630575197620395))","15226","S","554255517040522200","WARD AVENUE","AUSTIN PLACE","CEBRA AVENUE","LINESTRING (961090.91619999707 169644.20739999413, 960764.34559999406 169119.50220000744, 960705.9008000046 169023.32449999452)","6","FAIR","2023-05-05T00:00:00.000","112.543078977"
"MULTILINESTRING ((-73.85943988951614 40.846659215954205, -73.86038660629704 40.848235571434394))","107329","X","215520212550252220","BRONXDALE AVENUE","BEND","MORRIS PARK AVENUE","LINESTRING (1023138.8677999973 247769.41459999979, 1022876.0239000022 248343.32099999487)","9","GOOD","2022-06-29T00:00:00.000","631.233294211"
"MULTILINESTRING ((-74.14406632633917 40.56407220768868, -74.14410008578491 40.563968226573344))","121946","S","570185518510548595","LUKE COURT","BEND","SABLE LOOP","LINESTRING (944379.28700000048 144984.97120000422, 944221.74140000343 144816.10359999537, 944212.29919999838 144778.23620000482)","8","GOOD","2019-09-16T00:00:00.000","39.0268513075"
"MULTILINESTRING ((-74.0826115513159 40.622126156902894, -74.08251009426921 40.62194459024502))","9007601","S","554270529390529900","WARREN STREET","FULTON STREET","GORDON STREET","LINESTRING (961231.41159999371 166145.2432000041, 961300.27599999309 165983.0802000016, 961308.84360000491 165962.90520000458, 961316.64720000327 165944.52920000255, 961344.74979999661 165878.35300000012, 961355.665199995 165852.64959999919, 961429.71500","7","FAIR","2023-04-22T00:00:00.000","71.8960748104"
"MULTILINESTRING ((-73.87794606042671 40.83557678347473, -73.87783334095613 40.83565261546425, -73.87771776374996 40.83572592472867, -73.87759942733527 40.83579664832944, -73.87747843260348 40.8358647278332))","9008601","X","215420222240226880","BRONX RIVER AVENUE","CROSS BRONX EXPRESSWAY","EAST 174 STREET","LINESTRING (1018410.0258000046 244004.36660000682, 1018359.6682000011 243953.576000005, 1018288.8876000047 243915.90539999306, 1018207.5688000023 243866.80460000038, 1018189.1149999946 243853.8993999958, 1018153.6351999938 243829.08799999952, 1018120.188","8","GOOD","2023-01-30T00:00:00.000","166.672307712"
"MULTILINESTRING ((-73.88415225465877 40.764509362978224, -73.88371881100296 40.76443589537461))","175389","Q","428790417340417540","ASTORIA BOULEVARD","85 STREET","86 STREET","LINESTRING (1016341.2668000013 217829.3410000056, 1016461.3715000004 217802.73340000212, 1016612.1752000004 217769.32490000129)","6","FAIR","2022-11-28T00:00:00.000","123.016679112"
"MULTILINESTRING ((-73.93759818986379 40.749117110635744, -73.93752799777576 40.74904940403989))","9024007","Q","436940457900457900","QUEENS PLAZA","NYCTA SUBWAY","NYCTA SUBWAY","LINESTRING (1001476.5879999995 212314.79880000651, 1001522.7412 212228.33319999278, 1001540.0763999969 212206.37999999523, 1001559.5426000059 212181.72619999945, 1001578.6589999944 212157.51520000398, 1001596.0015999973 212133.30920000374, 1001773.150199","8","GOOD","2018-03-27T00:00:00.000","31.4124624476"
"MULTILINESTRING ((-74.1172129037144 40.564417762923505, -74.11641052730062 40.56394351540706))","160243","S","552000534100550997","TYSENS LANE","HYLAN BOULEVARD","THOMAS PLACE","LINESTRING (951683.022300005 144930.87039999664, 951905.72840000689 144757.79320000112, 951918.81910000741 144747.61939999461)","6","FAIR","2023-08-18T00:00:00.000","282.052697446"
"MULTILINESTRING ((-74.1232920617363 40.568075863833805, -74.12309281062767 40.56796636646071))","7532","S","552000540604549876","TYSENS LANE","SOUTH RAILROAD AVENUE","SI RAPID TRANSIT","LINESTRING (949995.83740000427 146265.92339999974, 950051.13910000026 146225.95299999416)","8","GOOD","2019-10-04T00:00:00.000","68.2342355351"
"MULTILINESTRING ((-74.21530479700628 40.54287055175924, -74.21817195701817 40.542250285168635))","1577","S","570188518980555565","MC BAINE AVENUE","BLOOMINGDALE ROAD","WINANT AVENUE","LINESTRING (924409.46230000257 137132.45440000296, 923612.019600004 136908.44900000095)","7","FAIR","2022-12-30T00:00:00.000","828.307478544"
"MULTILINESTRING ((-74.1095490348952 40.55992969538212, -74.10878538147533 40.55950188777391))","10728","S","552000537790539450","TYSENS LANE","MANILA AVENUE","MILTON AVENUE","LINESTRING (953810.34090000391 143293.00300000608, 954022.33849999309 143136.87800000608)","7","FAIR","2022-07-14T00:00:00.000","263.283113826"
"MULTILINESTRING ((-73.87532636997216 40.76305660450177, -73.87420716675108 40.76288294115334))","155888","Q","428790418740418840","ASTORIA BOULEVARD","94 STREET","95 STREET","LINESTRING (1018788.4405000061 217285.70700000226, 1019100.3329000026 217216.88809999824)","6","FAIR","2022-11-28T00:00:00.000","316.430536797"
"MULTILINESTRING ((-74.13418513202652 40.61536161581267, -74.13427380925877 40.61542091969498, -74.13427399858696 40.61542104554686, -74.13427421267872 40.61542114525474, -74.13437640912261 40.6154693829604, -74.13437664568536 40.615469491647, -74.13437688217199 40.61546956251179, -74.13448902654305 40.61550433649105, -74.1344892630299 40.61550440735562, -74.13448953491752 40.61550445296413, -74.13460688428863 40.61552427927869, -74.13460713254021 40.61552432401409, -74.13460739253634 40.615524332714855, -74.13472520782157 40.61552905751078))","105486","S","554350517140528610","WATCHOGUE ROAD","AVON LANE","FISKE AVENUE","LINESTRING (946995.81399999559 163497.7486000061, 946971.22740000486 163519.39219999313, 946971.17479999363 163519.43819999695, 946971.11570000648 163519.47439999878, 946942.76940000057 163537.0923999995, 946942.7037999928 163537.13189999759, 946942.6380","6","FAIR","2022-10-29T00:00:00.000","166.447811303"
"MULTILINESTRING ((-73.79823466465545 40.688957135987664, -73.7967669446506 40.689967102154775))","59991","Q","436990454190464790","BRINKERHOFF AVENUE","LIVERPOOL STREET","SUTPHIN BOULEVARD","LINESTRING (1040204.8765999973 190346.539199993, 1040611.0600000024 190715.43940000236)","9","GOOD","2023-04-28T00:00:00.000","548.7005668"
"MULTILINESTRING ((-74.13820193880618 40.54803179625837, -74.13745743520698 40.54730960489506))","6343","S","570105528060528060","FAIRLAWN AVENUE","FAIRLAWN LOOP","FAIRLAWN LOOP","LINESTRING (945841.91699999571 138969.576000005, 946048.41099999845 138706.13920000196)","9","GOOD","2023-04-11T00:00:00.000","334.721854131"
"MULTILINESTRING ((-74.13865265825719 40.54848581675252, -74.13860741671223 40.54844147896117))","159992","S","570105528060534100","FAIRLAWN AVENUE","FAIRLAWN LOOP","HYLAN BOULEVARD","LINESTRING (945716.91809999943 139135.18440000713, 945729.46570000052 139119.01119999588, 945841.91699999571 138969.576000005, 946048.41099999845 138706.13920000196)","7","FAIR","2019-10-04T00:00:00.000","20.4698476885"
"MULTILINESTRING ((-74.08231300283941 40.633662581065934, -74.08247058756541 40.633468192759025))","16249","S","554255517610540400","WARD AVENUE","BAYVIEW PLACE","NIXON AVENUE","LINESTRING (961403.474999994 170147.47599999607, 961359.6697999984 170076.69640000165)","7","FAIR","2023-01-28T00:00:00.000","83.2384966348"
"MULTILINESTRING ((-74.18408990768043 40.60266944071737, -74.18418128109809 40.60255686389534, -74.18428967412521 40.60245090557624, -74.18441371032188 40.60235372017321, -74.18453684408871 40.602276410650035, -74.18455142197007 40.6022672559276, -74.18456507297391 40.60226045305965, -74.18467022226346 40.60220808076875, -74.18470032049314 40.60219308370191, -74.18473532591514 40.60217954659364, -74.18483318995636 40.60214170231126))","184456","S","548500529730551735","SOUTH AVENUE","GLEN STREET","TRAVIS AVENUE","LINESTRING (932609.42270000279 158812.315200001, 932614.55390000343 158783.56859999895, 932625.57410000265 158754.67110000551, 932642.70990000665 158727.40729999542, 932665.46240000427 158703.6738999933, 932692.568599999 158685.07459999621, 932722.250499","9","GOOD","2022-09-21T00:00:00.000","286.888315126"
"MULTILINESTRING ((-73.93782704872874 40.74941481660433, -73.93766069718218 40.74917740006132))","9009907","Q","436940435780457900","QUEENS PLAZA","BEND","NYCTA SUBWAY","MULTILINESTRING ((1001550.9252000004 212133.67059999704, 1001588.6183999926 212133.36859999597, 1001596.0015999973 212133.30920000374, 1001578.6589999944 212157.51520000398, 1001559.5426000059 212181.72619999945, 1001540.0763999969 212206.37999999523, 10","8","GOOD","2018-03-27T00:00:00.000","98.0123352238"
"MULTILINESTRING ((-73.91030532546719 40.75488715103064, -73.91023237803238 40.75485288129006))","9000913","Q","437290410740410940","BROADWAY","49 STREET","51 STREET","LINESTRING (1008695.6492999941 214564.47239999473, 1008749.3147000074 214531.3939999938, 1008777.310800001 214514.13779999316, 1008802.0022000074 214498.91840000451, 1008823.8532000035 214485.45000000298, 1008928.7541999966 214420.7908000052, 1008955.766","5","FAIR","2023-08-21T00:00:00.000","23.7559667013"
"MULTILINESTRING ((-74.20511663415137 40.5281133283307, -74.20524833323131 40.528083590666775))","1846","S","552240543120525908","UNCAS AVE","PARKWOOD AVE","DEAD END","LINESTRING (927842.0569999963 131962.19920000434, 927536.739199996 131852.18970000744, 927228.50499999523 131749.26989999413, 927191.86800000072 131738.5217999965)","5","FAIR","2023-03-30T00:00:00.000","38.1810348492"
"MULTILINESTRING ((-74.20400872705602 40.52839779889874, -74.20511663415137 40.5281133283307))","1849","S","552240543120525908","UNCAS AVE","PARKWOOD AVE","DEAD END","LINESTRING (927842.0569999963 131962.19920000434, 927536.739199996 131852.18970000744, 927228.50499999523 131749.26989999413, 927191.86800000072 131738.5217999965)","5","FAIR","2023-03-30T00:00:00.000","324.962778307"
"MULTILINESTRING ((-73.86824140531763 40.76172380597629, -73.86728055112974 40.761561341473815))","155565","Q","428790419390419540","ASTORIA BOULEVARD","101 STREET","102 STREET","LINESTRING (1020736.215200007 216853.43739999831, 1021031.4640000015 216790.76379999518)","7","FAIR","2023-02-16T00:00:00.000","272.681915727"
"MULTILINESTRING ((-73.87136824727102 40.762396964469595, -73.87041156696172 40.7622473629781))","156206","Q","428790419090419190","ASTORIA BOULEVARD","98 STREET","99 STREET","LINESTRING (1019887.4767999947 217041.1371999979, 1020151.8004000038 216982.75480000675)","7","FAIR","2022-11-28T00:00:00.000","270.567908079"
"MULTILINESTRING ((-73.86722660195298 40.76164046976224, -73.8667127556597 40.76154402660381))","83288","Q","428790450390455290","ASTORIA BOULEVARD","HUMPHREYS STREET","MC INTOSH STREET","LINESTRING (1021031.4640000015 216790.76379999518, 1021173.8655000031 216755.84260000288, 1021434.931099996 216698.34600000083, 1021484.7734999955 216687.1780000031)","8","GOOD","2021-12-04T00:00:00.000","146.620862812"
"MULTILINESTRING ((-73.8667127556597 40.76154402660381, -73.86577068373425 40.76138511921749))","83290","Q","428790450390455290","ASTORIA BOULEVARD","HUMPHREYS STREET","MC INTOSH STREET","LINESTRING (1021031.4640000015 216790.76379999518, 1021173.8655000031 216755.84260000288, 1021434.931099996 216698.34600000083, 1021484.7734999955 216687.1780000031)","8","GOOD","2021-12-04T00:00:00.000","267.322102549"
"MULTILINESTRING ((-74.13598206798974 40.598993063045135, -74.13602016927449 40.59827984838714))","8017","S","554300541190545920","WASHINGTON AVENUE","OAKVILLE STREET","RUPERT AVENUE","LINESTRING (946487.668599993 157535.03759999573, 946476.68440000713 157275.2119999975)","9","GOOD","2022-09-20T00:00:00.000","260.057676418"
"MULTILINESTRING ((-73.86550635938919 40.8502914820591, -73.86568177319708 40.85042406696234))","255211","X","215520200197252710","BRONXDALE AVENUE","BEN AND DOTTY ABRAMS WAY","NYCTA SUBWAY","LINESTRING (1021349.1890999973 249244.23610000312, 1021409.8193999976 249138.38130000234, 1021458.4226000011 249090.15019999444)","9","GOOD","2022-06-28T00:00:00.000","68.4726957155"
"MULTILINESTRING ((-74.13170489979414 40.61379472232236, -74.13160766956219 40.613051100605205))","9385","S","551765525908554350","TREETZ PLACE","DEAD END","WATCHOGUE ROAD","LINESTRING (947683.5488999933 162925.8437000066, 947710.13660000265 162654.88279999793)","6","FAIR","2022-08-15T00:00:00.000","272.262217587"
"MULTILINESTRING ((-73.87040097363057 40.76217105124303, -73.87032430235242 40.76215797967988))","177410","Q","428790419190419290","ASTORIA BOULEVARD","99 STREET","100 STREET","LINESTRING (1020151.8004000038 216982.75480000675, 1020173.0471999943 216978.02380000055, 1020448.7290000021 216916.65919999778)","6","FAIR","2022-11-28T00:00:00.000","21.7671511893"
"MULTILINESTRING ((-73.83950932633982 40.88263070763871, -73.84043990418735 40.88473399741735))","89644","X","211620221670253420","BAYCHESTER AVENUE","AP RANDOLPH STREET","NEEDHAM AVENUE","LINESTRING (1028629.0535999984 260884.6834000051, 1028370.3335999995 261650.52500000596)","8","GOOD","2022-01-14T00:00:00.000","808.362168023"
"MULTILINESTRING ((-74.16854630368148 40.594568587936465, -74.16886362446083 40.594728086733))","297298","S","551735542670570218","TRAVIS AVENUE","PARK DRIVE NORTH","MULBERRY AVENUE","LINESTRING (937353.44859999418 155997.08959999681, 937441.46240000427 155938.81059999764, 937652.76199999452 155798.89620000124)","6","FAIR","2019-04-25T00:00:00.000","105.559797428"
"MULTILINESTRING ((-74.24899157129691 40.51288183476064, -74.24824136338853 40.512065812288526))","198","S","551999516860525908","TYRRELL STREET","ARTHUR KILL ROAD","DEAD END","LINESTRING (915015.72800000012 126231.72200000286, 915223.48680000007 125933.83540000021)","9","GOOD","2023-04-14T00:00:00.000","363.180596176"
"MULTILINESTRING ((-74.17841521013581 40.56234112085152, -74.18072301134626 40.562066074994014))","4188","S","551995518865534953","TYNAN STREET","BILLINGS STREET","KENMORE STREET","LINESTRING (934676.76739999652 144202.99469999969, 934035.33179999888 144104.10369999707)","7","FAIR","2023-07-10T00:00:00.000","649.01391266"
"MULTILINESTRING ((-74.20661576856031 40.524655088200845, -74.20718481422763 40.52458791768914, -74.20735930127884 40.524571164345744))","292571","S","552318525908537745","UTICA STREET","DEAD END","MANEE AVENUE","LINESTRING (926808.78149999678 130490.33540000021, 926650.52380000055 130466.23759999871, 926602.00020000339 130460.2486000061, 926491.616899997 130446.62479999661, 926332.25020000339 130431.51980000734, 926297.243900001 130437.923999995, 926261.04970000","3","POOR","2023-02-04T00:00:00.000","208.973662874"
"MULTILINESTRING ((-73.86339160527372 40.760977500395384, -73.86242392057503 40.76074999774821))","83454","Q","428790419940420090","ASTORIA BOULEVARD","106 STREET","107 STREET","LINESTRING (1022094.2275999933 216550.8560000062, 1022362.4324000031 216468.38899999857)","7","FAIR","2023-02-10T00:00:00.000","280.596900978"
"MULTILINESTRING ((-74.15829058226724 40.622276207392694, -74.1584876291454 40.62230396464953))","226679","S","570184515770525908","LUDWIG LANE","AMITY PLACE","DEAD END","LINESTRING (939219.05480000377 166231.42080000043, 939495.28000000119 166179.83779999614, 939527.59600000083 166173.8030000031, 939699.89599999785 166141.62720000744, 940253.2282000035 166038.2962000072, 940307.91079999506 166028.08460000157, 940345.7683","6","FAIR","2022-12-09T00:00:00.000","55.6279023199"
"MULTILINESTRING ((-73.79400141373257 40.691235712180976, -73.79318074235775 40.691583810479756))","60164","Q","436990423740423790","BRINKERHOFF AVENUE","156 STREET","157 STREET","LINESTRING (1041376.9148000032 191179.42139999568, 1041604.2011999935 191306.78000000119)","7","FAIR","2022-07-16T00:00:00.000","260.536601298"
"MULTILINESTRING ((-73.77744498228772 40.69825971228505, -73.77663142085284 40.69861962105109))","60826","Q","436990424940424970","BRINKERHOFF AVENUE","177 STREET","178 STREET","LINESTRING (1045961.7841999978 193749.69499999285, 1046187.0397000015 193881.39419999719)","6","FAIR","2023-04-24T00:00:00.000","260.930487992"
"MULTILINESTRING ((-73.7799002966587 40.69721841345461, -73.77908168519188 40.697564462846984))","60821","Q","436990424810424840","BRINKERHOFF AVENUE","174 STREET","175 STREET","LINESTRING (1045281.9101999998 193368.59999999404, 1045508.5861999989 193495.24680000544)","6","FAIR","2023-04-24T00:00:00.000","259.656351605"
"MULTILINESTRING ((-73.77501745095658 40.699358484834214, -73.77395659522011 40.69980578040951))","60972","Q","436990424990425050","BRINKERHOFF AVENUE","179 PLACE","180 STREET","LINESTRING (1046633.8791999966 194151.72840000689, 1046927.6156000048 194315.4484000057)","6","FAIR","2023-04-24T00:00:00.000","336.281594931"
"MULTILINESTRING ((-73.93984203234237 40.750177850840764, -73.93900625961041 40.74982034259373))","67129","Q","436941407490407640","QUEENS PLAZA SOUTH","27 STREET","28 STREET","LINESTRING (1000918.0949999988 212592.40680000186, 1001149.7549999952 212462.315200001)","6","FAIR","2019-09-13T00:00:00.000","265.68812542"
"MULTILINESTRING ((-73.76984511132713 40.7021925881253, -73.76920714497467 40.70260615089846))","171217","Q","436990448600461172","BRINKERHOFF AVENUE","HANNIBAL STREET","RYE PLACE","LINESTRING (1048241.8581999987 195339.13740000129, 1048065.3657000065 195187.99920000136, 1048025.5726000071 195168.80640000105)","9","GOOD","2023-05-11T00:00:00.000","232.362557338"
"MULTILINESTRING ((-73.85432270765007 40.88668230553588, -73.85413663962692 40.88702056359979))","131413","X","215620228410228440","BRONXWOOD AVENUE","EAST 226 STREET","EAST 227 STREET","LINESTRING (1024637.2375999987 262610.83460000157, 1024581.6340000033 262477.00939999521, 1024530.3905999959 262353.68299999833)","9","GOOD","2022-07-06T00:00:00.000","133.548818716"
"MULTILINESTRING ((-73.86829204765061 40.76181371631765, -73.86722660195298 40.76164046976224))","83138","Q","428790419390419540","ASTORIA BOULEVARD","101 STREET","102 STREET","LINESTRING (1020736.215200007 216853.43739999831, 1021031.4640000015 216790.76379999518)","7","FAIR","2023-02-16T00:00:00.000","301.827490523"
"MULTILINESTRING ((-74.08446978986424 40.59215182094692, -74.08280699575275 40.591294238087634))","14166","S","556480533970538470","XENIA STREET","HURLBERT STREET","MASON AVENUE","LINESTRING (960790.26100000739 155024.59980000556, 961251.77240000665 154711.71979999542)","9","GOOD","2023-01-21T00:00:00.000","557.572117968"
"MULTILINESTRING ((-73.85567384761744 40.88424381594211, -73.85549661847968 40.88456625861955))","220456","X","215620228290228320","BRONXWOOD AVENUE","EAST 222 STREET","EAST 223 STREET","LINESTRING (1024207.0711999983 261582.18520000577, 1024158.2585999966 261464.62579999864, 1024100.4145999998 261325.31559999287)","9","GOOD","2022-07-05T00:00:00.000","127.290543439"
