"development_name","borough","account_name","location","meter_amr","meter_scope","tds","edp","rc_code","funding_source","amp","vendor_name","umis_bill_id","revenue_month","service_start_date","service_end_date","days","meter_number","estimated","current_charges","rate_class","bill_analyzed","consumption_mlbs"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE C)","BLD 01","AMR",,"174","259","M017400","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10708534","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","631052","N","19330","SC3","Yes","625.75"
"POLO GROUNDS TOWERS","MANHATTAN","DE HOSTOS APARTMENTS","BLD 01","AMR",,"155","265","M015500","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10709518","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","621273","N","12819.64","SC3","Yes","451.09"
"POLO GROUNDS TOWERS","MANHATTAN","DE HOSTOS APARTMENTS","BLD 01","AMR",,"155","265","M015500","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10709518","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","641095","N","41228.39","SC3","Yes","1450.72"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 19","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10709537","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","621044","N","19532.68","SC3","Yes","633.18"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 19","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10709537","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","622092","N","8496","SC3","Yes","275.41"
"PINK","MANHATTAN","GOMPERS","BLD 01","AMR",,"100","237","M010000","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","10709563","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","62135","N","49793.22","SC3","Yes","1747.3"
"PINK","MANHATTAN","GOMPERS","BLD 01","AMR",,"100","237","M010000","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","10709563","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","62340","N","11045.53","SC3","Yes","387.6"
"POLO GROUNDS TOWERS","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA I ALL","257","544","M025700","SECTION 8","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","10716874","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","630022-544","N","14495.4","SC3","Yes","509.55"
"POLO GROUNDS TOWERS","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA II ALL","286","593","M028600","FEDERAL","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","10716874","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","632026-593","N","11734.28","SC3","Yes","412.49"
"POLO GROUNDS TOWERS","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA II ALL","286","593","M028600","FEDERAL","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","10716874","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","630022-593","N","16085.59","SC3","Yes","565.45"
"POLO GROUNDS TOWERS","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA I ALL","257","544","M025700","SECTION 8","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","10716874","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","632026-544","N","10574.21","SC3","Yes","371.71"
"POLO GROUNDS TOWERS","MANHATTAN","SEWARD PARK EXTENSION","BLD 01","AMR",,"192","312","M019200","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","10716889","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","621076","N","31760.62","SC3","Yes","1103.7"
"POLO GROUNDS TOWERS","MANHATTAN","SEWARD PARK EXTENSION","BLD 01","AMR",,"192","312","M019200","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","10716889","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","632136","N","10644.43","SC3","Yes","369.9"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE A)","BLD 03","AMR",,"151","259","M015100","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10717402","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","621295","N","14430.02","SC3","Yes","423.45"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE A)","BLD 03","AMR",,"151","259","M015100","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10717402","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","622030","N","6185.36","SC3","Yes","181.51"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE B)","BLD 05","AMR",,"173","259","M017300","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10717412","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","7220047","N","9969.64","SC3","Yes","331.5"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE B)","BLD 05","AMR",,"173","259","M017300","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10717412","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","7310022","N","26081.36","SC3","Yes","867.23"
"POLO GROUNDS TOWERS","MANHATTAN","STRAUS","BLD 01","AMR",,"153","263","M015300","FEDERAL","NY005011530P","CONSOLIDATED EDISON COMPANY OF NY","10717424","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","632064","N","13137.26","SC3","Yes","465.37"
"POLO GROUNDS TOWERS","MANHATTAN","STRAUS","BLD 01","AMR",,"153","263","M015300","FEDERAL","NY005011530P","CONSOLIDATED EDISON COMPANY OF NY","10717424","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","621311","N","50337.26","SC3","Yes","1783.13"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 22","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10717428","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","7220091","N","6353.34","SC3","Yes","192.48"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 22","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10717428","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","7110098","N","9528.03","SC3","Yes","288.66"
"POLO GROUNDS TOWERS","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","10717554","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","331058","N","0","SC3","Yes","0"
"POLO GROUNDS TOWERS","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","10717554","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","321136","N","49920.34","SC3","Yes","1750"
"POLO GROUNDS TOWERS","MANHATTAN","ROBBINS PLAZA","BLD 01","AMR",,"218","329","M021800","FEDERAL","NY005011390P","CONSOLIDATED EDISON COMPANY OF NY","10717557","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","621132","Y","30385.45","SC3","Yes","1012.9"
"POLO GROUNDS TOWERS","MANHATTAN","ROBBINS PLAZA","BLD 01","AMR",,"218","329","M021800","FEDERAL","NY005011390P","CONSOLIDATED EDISON COMPANY OF NY","10717557","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","610014","Y","6736.16","SC3","Yes","224.55"
"PINK","MANHATTAN","FULTON","BLD 01","AMR",,"136","252","M013600","FEDERAL","NY005001360P","CONSOLIDATED EDISON COMPANY OF NY","10717560","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","63121","N","108846.76","SC3","Yes","4071"
"PINK","MANHATTAN","FULTON","BLD 01","AMR",,"136","252","M013600","FEDERAL","NY005001360P","CONSOLIDATED EDISON COMPANY OF NY","10717560","2021-11","2021-10-28T00:00:00.000","2021-11-30T00:00:00.000","33","64031","N","178042.38","SC3","Yes","6659"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE C)","BLD 01","AMR",,"174","259","M017400","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10603142","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","621181","N","7348.77","SC3","Yes","230.63"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE C)","BLD 01","AMR",,"174","259","M017400","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10603142","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","631052","N","555.07","SC3","Yes","17.42"
"POLO GROUNDS TOWERS","MANHATTAN","ROBBINS PLAZA","BLD 01","AMR",,"218","329","M021800","FEDERAL","NY005011390P","CONSOLIDATED EDISON COMPANY OF NY","10603151","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","621132","Y","1075.04","SC3","Yes","37.73"
"POLO GROUNDS TOWERS","MANHATTAN","ROBBINS PLAZA","BLD 01","AMR",,"218","329","M021800","FEDERAL","NY005011390P","CONSOLIDATED EDISON COMPANY OF NY","10603151","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","610014","Y","5851.34","SC3","Yes","205.36"
"POLO GROUNDS TOWERS","MANHATTAN","THOMAS APARTMENTS","BLD 01","AMR",,"268","387","M026800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10603159","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","622046","N","5216.76","SC3","Yes","162.35"
"POLO GROUNDS TOWERS","MANHATTAN","THOMAS APARTMENTS","BLD 01","AMR",,"268","387","M026800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10603159","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","621262","N","634.3","SC3","Yes","19.74"
"POLO GROUNDS TOWERS","MANHATTAN","STRAUS","BLD 01","AMR",,"153","263","M015300","FEDERAL","NY005011530P","CONSOLIDATED EDISON COMPANY OF NY","10603175","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","621311","N","6987.61","SC3","Yes","296.77"
"POLO GROUNDS TOWERS","MANHATTAN","STRAUS","BLD 01","AMR",,"153","263","M015300","FEDERAL","NY005011530P","CONSOLIDATED EDISON COMPANY OF NY","10603175","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","632064","N","1157.5","SC3","Yes","49.16"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE B)","BLD 05","AMR",,"173","259","M017300","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10603203","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","7220047","N","7713.27","SC3","Yes","252.58"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE B)","BLD 05","AMR",,"173","259","M017300","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10603203","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","7310022","N","748.18","SC3","Yes","24.5"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 19","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10603210","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","621044","N","0","SC3","Yes","0"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 19","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10603210","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","622092","N","6150.04","SC3","Yes","199.05"
"PINK","MANHATTAN","FULTON","BLD 01","AMR",,"136","252","M013600","FEDERAL","NY005001360P","CONSOLIDATED EDISON COMPANY OF NY","10603215","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","63121","N","41323.01","SC3","Yes","2777"
"PINK","MANHATTAN","FULTON","BLD 01","AMR",,"136","252","M013600","FEDERAL","NY005001360P","CONSOLIDATED EDISON COMPANY OF NY","10603215","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","64031","N","0","SC3","Yes","0"
"POLO GROUNDS TOWERS","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","10603222","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","331058","N","0","SC3","Yes","0"
"POLO GROUNDS TOWERS","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","10603222","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","321136","N","8151.54","SC3","Yes","346.3"
"POLO GROUNDS TOWERS","MANHATTAN","DE HOSTOS APARTMENTS","BLD 01","AMR",,"155","265","M015500","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10603226","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","621273","N","9316.62","SC3","Yes","413.42"
"POLO GROUNDS TOWERS","MANHATTAN","DE HOSTOS APARTMENTS","BLD 01","AMR",,"155","265","M015500","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10603226","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","641095","N","0","SC3","Yes","0"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 22","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10603425","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","7110098","N","6928.24","SC3","Yes","244.11"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 22","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10603425","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","7220091","N","42.86","SC3","Yes","1.51"
"PINK","MANHATTAN","GOMPERS","BLD 01","AMR",,"100","237","M010000","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","10622108","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","62340","N","1758.17","SC3","Yes","103"
"PINK","MANHATTAN","GOMPERS","BLD 01","AMR",,"100","237","M010000","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","10622108","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","62135","N","17170.35","SC3","Yes","1005.9"
"POLO GROUNDS TOWERS","MANHATTAN","SEWARD PARK EXTENSION","BLD 01","AMR",,"192","312","M019200","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","10622117","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","632136","N","0","SC3","Yes","0"
"POLO GROUNDS TOWERS","MANHATTAN","SEWARD PARK EXTENSION","BLD 01","AMR",,"192","312","M019200","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","10622117","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","621076","N","8463.99","SC3","Yes","364.3"
"POLO GROUNDS TOWERS","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA II ALL","286","593","M028600","FEDERAL","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","10622126","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","632026-593","N","3962.39","SC3","Yes","0"
"POLO GROUNDS TOWERS","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA II ALL","286","593","M028600","FEDERAL","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","10622126","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","630022-593","N","3962.39","SC3","Yes","0"
"POLO GROUNDS TOWERS","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA I ALL","257","544","M025700","SECTION 8","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","10622126","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","630022-544","N","3962.39","SC3","Yes","250"
"POLO GROUNDS TOWERS","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA I ALL","257","544","M025700","SECTION 8","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","10622126","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","632026-544","N","3962.39","SC3","Yes","571.2"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE A)","BLD 03","AMR",,"151","259","M015100","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10622134","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","622030","N","1590.47","SC3","Yes","26.83"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE A)","BLD 03","AMR",,"151","259","M015100","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10622134","2021-10","2021-09-29T00:00:00.000","2021-10-28T00:00:00.000","29","621295","N","2168.45","SC3","Yes","36.58"
"POLO GROUNDS TOWERS","MANHATTAN","DE HOSTOS APARTMENTS","BLD 01","AMR",,"155","265","M015500","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10495745","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","641095","N","0","SC3","Yes","0"
"POLO GROUNDS TOWERS","MANHATTAN","DE HOSTOS APARTMENTS","BLD 01","AMR",,"155","265","M015500","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10495745","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","621273","N","8865.76","SC3","Yes","409.62"
"POLO GROUNDS TOWERS","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","10495747","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","321136","N","5591.09","SC3","Yes","207.96"
"POLO GROUNDS TOWERS","MANHATTAN","AMSTERDAM ADDITION","BLD 01","AMR",,"187","453","M018700","MIXED FINANCE/LLC1","NY005021870P","CONSOLIDATED EDISON COMPANY OF NY","10495747","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","331058","N","0","SC3","Yes","0"
"PINK","MANHATTAN","FULTON","BLD 01","AMR",,"136","252","M013600","FEDERAL","NY005001360P","CONSOLIDATED EDISON COMPANY OF NY","10495749","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","64031","N","158.48","SC3","Yes","11"
"PINK","MANHATTAN","FULTON","BLD 01","AMR",,"136","252","M013600","FEDERAL","NY005001360P","CONSOLIDATED EDISON COMPANY OF NY","10495749","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","63121","N","34909.62","SC3","Yes","2423"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 19","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10495752","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","622092","N","5633.1","SC3","Yes","186.54"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 19","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10495752","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","621044","N","0","SC3","Yes","0"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE B)","BLD 05","AMR",,"173","259","M017300","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10495754","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","7220047","N","6329.02","SC3","Yes","231.29"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE B)","BLD 05","AMR",,"173","259","M017300","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10495754","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","7310022","N","0","SC3","Yes","0"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE A)","BLD 03","AMR",,"151","259","M015100","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10498088","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","622030","N","1846","SC3","Yes","18.57"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE A)","BLD 03","AMR",,"151","259","M015100","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10498088","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","621295","N","1526.91","SC3","Yes","15.36"
"POLO GROUNDS TOWERS","MANHATTAN","THOMAS APARTMENTS","BLD 01","AMR",,"268","387","M026800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10498111","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","622046","N","4395.27","SC3","Yes","107.14"
"POLO GROUNDS TOWERS","MANHATTAN","THOMAS APARTMENTS","BLD 01","AMR",,"268","387","M026800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10498111","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","621262","N","4.92","SC3","Yes","0.12"
"POLO GROUNDS TOWERS","MANHATTAN","ROBBINS PLAZA","BLD 01","AMR",,"218","329","M021800","FEDERAL","NY005011390P","CONSOLIDATED EDISON COMPANY OF NY","10519681","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","621132","Y","1157.78","SC3","Yes","37.34"
"POLO GROUNDS TOWERS","MANHATTAN","ROBBINS PLAZA","BLD 01","AMR",,"218","329","M021800","FEDERAL","NY005011390P","CONSOLIDATED EDISON COMPANY OF NY","10519681","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","610014","Y","4323.55","SC3","Yes","139.44"
"POLO GROUNDS TOWERS","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA II ALL","286","593","M028600","FEDERAL","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","10519694","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","630022-593","N","5194.45","SC3","Yes","0"
"POLO GROUNDS TOWERS","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA I ALL","257","544","M025700","SECTION 8","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","10519694","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","632026-544","N","5194.45","SC3","Yes","555.3"
"POLO GROUNDS TOWERS","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA II ALL","286","593","M028600","FEDERAL","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","10519694","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","632026-593","N","5194.45","SC3","Yes","0"
"POLO GROUNDS TOWERS","MANHATTAN","CAMPOS PLAZA I/CAMPOS PLAZA II","CAMPOS PLAZA I BLD 02","AMR","CAMPOS PLAZA I ALL","257","544","M025700","SECTION 8","NY005012570P","CONSOLIDATED EDISON COMPANY OF NY","10519694","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","630022-544","N","5194.45","SC3","Yes","710"
"POLO GROUNDS TOWERS","MANHATTAN","STRAUS","BLD 01","AMR",,"153","263","M015300","FEDERAL","NY005011530P","CONSOLIDATED EDISON COMPANY OF NY","10519724","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","621311","Y","8431.33","SC3","Yes","463.58"
"POLO GROUNDS TOWERS","MANHATTAN","STRAUS","BLD 01","AMR",,"153","263","M015300","FEDERAL","NY005011530P","CONSOLIDATED EDISON COMPANY OF NY","10519724","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","632064","Y","4495.39","SC3","Yes","247.17"
"PINK","MANHATTAN","GOMPERS","BLD 01","AMR",,"100","237","M010000","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","10519725","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","62135","N","16477.48","SC3","Yes","931.8"
"PINK","MANHATTAN","GOMPERS","BLD 01","AMR",,"100","237","M010000","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","10519725","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","62340","N","346.6","SC3","Yes","19.6"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 22","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10603188","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","7110098","Y","6738.54","SC3","Yes","258.67"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (BROWNSTONES)","BLD 22","AMR",,"178","279","M017800","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10603188","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","7220091","Y","40.38","SC3","Yes","1.55"
"POLO GROUNDS TOWERS","MANHATTAN","WEST SIDE URBAN RENEWAL (SITE C)","BLD 01","AMR",,"174","259","M017400","FEDERAL","NY005011270P","CONSOLIDATED EDISON COMPANY OF NY","10603195","2021-09","2021-08-30T00:00:00.000","2021-09-29T00:00:00.000","30","631052","Y","475.68","SC3","Yes","18.33"
