"boro_block_lot","address","neighborhood","building_classification","total_units","year_built","gross_sqft","estimated_gross_income","gross_income_per_sqft","estimated_expense","expense_per_sqft","net_operating_income","full_market_value","market_value_per_sqft","boro_block_lot_1","address_1","neighborhood_1","building_classification_1","total_units_1","year_built_1","gross_sqft_1","estimated_gross_income_1","gross_income_per_sqft_1","estimated_expense_1","expense_per_sqft_1","net_operating_income_1","full_market_value_1","market_value_per_sqft_1","distance_from_co_op_in_miles","boro_block_lot_2","address_2","neighborhood_2","building_classification_2","total_units_2","year_built_2","gross_sqft_2","estimated_gross_income_2","gross_income_per_sqft_2","estimated_expense_2","expense_per_sqft_2","net_operating_income_2","full_market_value_2","market_value_per_sqft_2","distance_from_co_op_in_miles_1","boro_block_lot_3","address_3","neighborhood_3","building_classification_3","total_units_3","year_built_3","gross_sqft_3","estimated_gross_income_3","gross_income_per_sqft_3","estimated_expense_3","expense_per_sqft_3","net_operating_income_3","full_market_value_3","market_value_per_sqft_3","distance_from_co_op_in_miles_2","report_year"
"1-00795-0061","134 WEST 20 STREET","CHELSEA","C6  -WALK-UP","17","1901","8855","462408","52.22","197909","22.35","264499","2148000","242.57","1-00769-0019","235 WEST 19 STREET","CHELSEA","C7  -WALK-UP","18","1901","9375","513188","54.74","147094","15.69","366094","2973000","317.12","0.17","1-00769-0021","231 WEST 19 STREET","CHELSEA","C7  -WALK-UP","17","1901","9165","455409","49.69","96966","10.58","358443","2911000","317.62","0.17",,,,,,,,,,,,,,,,"2019"
"1-00796-0001","171 7 AVENUE","CHELSEA","D4  -ELEVATOR","62","1938","62158","2398056","38.58","959098","15.43","1438958","11686000","188","1-00798-0066","142 WEST 23 STREET","CHELSEA","D9  -ELEVATOR","70","1989","48680","1904362","39.12","722411","14.84","1181951","16905000","347.27","0.09","1-00791-0078","91 7 AVENUE","CHELSEA","D9  -ELEVATOR","69","1920","62400","2373696","38.04","999024","16.01","1374672","20408000","327.05","0.23",,,,,,,,,,,,,,,,"2019"
"1-00796-0007","147 WEST 20 STREET","CHELSEA","D4  -ELEVATOR","61","1938","57606","2629138","45.64","894045","15.52","1735093","14093000","244.64","1-00770-0031","215 WEST 20 STREET","CHELSEA","D9  -ELEVATOR","13","1910","26250","986475","37.58","242025","9.22","744450","6045000","230.29","0.17","1-00791-0078","91 7 AVENUE","CHELSEA","D9  -ELEVATOR","69","1920","62400","3350256","53.69","837408","13.42","2512848","20408000","327.05","0.23",,,,,,,,,,,,,,,,"2019"
"1-00796-0013","143 WEST 20 STREET","CHELSEA","D0  -ELEVATOR","14","1909","48477","1973499","40.71","553607","11.42","1419892","11532000","237.89","1-00796-0048","120 WEST 21 STREET","CHELSEA","D8  -ELEVATOR","213","2000","174621","7124537","40.8","1919085","10.99","5205452","88120000","504.64","0","1-00799-0003","229 7 AVENUE","CHELSEA","D9  -ELEVATOR","214","1987","212134","7982602","37.63","1637674","7.72","6344928","84075000","396.33","0.15","1-00801-0049","110 WEST 26 STREET","CHELSEA","D5  -ELEVATOR","13","1907","26027","1059559","40.71","297228","11.42","762331","4538000","174.36","0.24","2019"
"1-00797-0076","162 WEST 22 STREET","CHELSEA","D4  -ELEVATOR","42","1950","31759","1418039","44.65","408738","12.87","1009301","8197000","258.1","1-00797-0074","160 WEST 22 STREET","CHELSEA","D1  -ELEVATOR","51","2000","41423","1849537","44.65","533114","12.87","1316423","14676000","354.3","0","1-00796-0067","150 WEST 21 STREET","CHELSEA","D1  -ELEVATOR","61","1950","48249","2281213","47.28","547626","11.35","1733587","10460000","216.79","0.05","1-00771-0068","258 WEST 22 STREET","CHELSEA","D1  -ELEVATOR","39","1920","30375","1347435","44.36","354476","11.67","992959","7245000","238.52","0.17","2019"
"1-00798-0017","147 WEST 22 STREET","CHELSEA","D0  -ELEVATOR","15","1909","45451","1873490","41.22","539958","11.88","1333532","10830000","238.28","1-00797-0074","160 WEST 22 STREET","CHELSEA","D1  -ELEVATOR","51","2000","41423","1707456","41.22","492105","11.88","1215351","14676000","354.3","0.05","1-00772-0016","255 WEST 22 STREET","CHELSEA","D9  -ELEVATOR","19","1920","14922","623889","41.81","173991","11.66","449898","3655000","244.94","0.17","1-00771-0068","258 WEST 22 STREET","CHELSEA","D1  -ELEVATOR","39","1920","30375","1243249","40.93","324405","10.68","918844","7245000","238.52","0.18","2019"
"1-00799-0035","101 WEST 23 STREET","CHELSEA","D4  -ELEVATOR","84","1958","94835","3646406","38.45","1089654","11.49","2556752","20765000","218.96","1-00772-0056","208 WEST 23 STREET","CHELSEA","D6  -ELEVATOR","266","1927","152342","5857550","38.45","1750410","11.49","4107140","46866000","307.64","0.18","1-00791-0036","555 AVENUE OF THE AMERICAS","CHELSEA","D9  -ELEVATOR","170","1974","195442","7563605","38.7","2022825","10.35","5540780","56179000","287.45","0.37","1-00776-0004","328 8 AVENUE","CHELSEA","D7  -ELEVATOR","32","1900","25938","978900","37.74","310218","11.96","668682","9639000","371.62","0.22","2019"
"1-00799-0057","130 WEST 24 STREET","CHELSEA","D0  -ELEVATOR","13","1898","33514","1887844","56.33","460482","13.74","1427362","11592000","345.89","1-00801-0049","110 WEST 26 STREET","CHELSEA","D5  -ELEVATOR","13","1907","26027","1512689","58.12","416172","15.99","1096517","4538000","174.36","0.1","1-00799-0003","229 7 AVENUE","CHELSEA","D9  -ELEVATOR","214","1987","212134","11675855","55.04","2607127","12.29","9068728","84075000","396.33","0","1-00802-0001","283 7 AVENUE","CHELSEA","D5  -ELEVATOR","18","1920","25144","1416362","56.33","345479","13.74","1070883","6946000","276.25","0.14","2019"
"1-00801-0030","107 WEST 25 STREET","CHELSEA","D0  -ELEVATOR","27","1905","41042","2240483","54.59","568432","13.85","1672051","13580000","330.88","1-00802-0001","283 7 AVENUE","CHELSEA","D5  -ELEVATOR","18","1920","25144","1372611","54.59","348244","13.85","1024367","6946000","276.25","0.05","1-00801-0049","110 WEST 26 STREET","CHELSEA","D5  -ELEVATOR","13","1907","26027","1467402","56.38","419035","16.1","1048367","4538000","174.36","0","1-00799-0003","229 7 AVENUE","CHELSEA","D9  -ELEVATOR","214","1987","212134","11306742","53.3","2630462","12.4","8676280","84075000","396.33","0.1","2019"
"1-00802-0031","109 WEST 26 STREET","CHELSEA","D0  -ELEVATOR","15","1910","53350","2502649","46.91","770908","14.45","1731741","14064000","263.62","1-00801-0049","110 WEST 26 STREET","CHELSEA","D5  -ELEVATOR","13","1907","26027","1266994","48.68","398213","15.3","868781","4538000","174.36","0.05","1-00802-0001","283 7 AVENUE","CHELSEA","D5  -ELEVATOR","18","1920","25144","1179002","46.89","328381","13.06","850621","6946000","276.25","0","1-00802-0006","165 WEST 26 STREET","CHELSEA","D5  -ELEVATOR","12","1920","24254","1137755","46.91","350470","14.45","787285","4595000","189.45","0","2019"
"1-00803-0014","143 WEST 27 STREET","CHELSEA","D0  -ELEVATOR","16","1910","20026","920395","45.96","328026","16.38","592369","4811000","240.24","1-00802-0001","283 7 AVENUE","CHELSEA","D5  -ELEVATOR","18","1920","25144","1155115","45.94","376657","14.98","778458","6946000","276.25","0.05","1-00801-0049","110 WEST 26 STREET","CHELSEA","D5  -ELEVATOR","13","1907","26027","1242269","47.73","448445","17.23","793824","4538000","174.36","0.1","1-00802-0006","165 WEST 26 STREET","CHELSEA","D5  -ELEVATOR","12","1920","24254","1114714","45.96","397281","16.38","717433","4595000","189.45","0.05","2019"
"1-00803-0065","146 WEST 28 STREET","CHELSEA","D0  -ELEVATOR","20","1910","28250","1256560","44.48","439570","15.56","816990","6635000","234.87","1-00801-0049","110 WEST 26 STREET","CHELSEA","D5  -ELEVATOR","13","1907","26027","1162626","44.67","368022","14.14","794604","4538000","174.36","0.1","1-00792-0038","585 AVENUE OF THE AMERICAS","CHELSEA","D5  -ELEVATOR","19","1920","34500","1527660","44.28","490590","14.22","1037070","6689000","193.88","0.52",,,,,,,,,,,,,,,,"2019"
"1-00804-0008","151 WEST 28 STREET","FASHION","D0  -ELEVATOR","19","1922","39471","1762380","44.65","546673","13.85","1215707","9872000","250.11","1-00779-0052","214 WEST 30 STREET","FASHION","D5  -ELEVATOR","12","1927","30360","1302140","42.89","304511","10.03","997629","3161000","104.12","0.18","1-00801-0049","110 WEST 26 STREET","CHELSEA","D5  -ELEVATOR","13","1907","26027","1162106","44.65","288639","11.09","873467","4538000","174.36","0.14","1-00770-0031","215 WEST 20 STREET","CHELSEA","D9  -ELEVATOR","13","1910","26250","1189125","45.3","284550","10.84","904575","6045000","230.29","0.42","2019"
"1-00816-0031","7 WEST 14 STREET","FLATIRON","D4  -ELEVATOR","439","1964","350800","15845636","45.17","4960312","14.14","10885324","88405000","252.01","1-00816-0007","53 WEST 14 STREET","FLATIRON","D6  -ELEVATOR","245","1965","310000","14002700","45.17","4383400","14.14","9619300","54593000","176.11","0","1-00816-0042","96 5 AVENUE","FLATIRON","D6  -ELEVATOR","230","1962","180000","8231400","45.73","2610000","14.5","5621400","48926000","271.81","0","1-00817-0001","552 AVENUE OF THE AMERICAS","FLATIRON","D9  -ELEVATOR","111","1973","101231","4356982","43.04","1408123","13.91","2948859","26085000","257.68","0.05","2019"
"1-00816-0059","30 WEST 15 STREET","FLATIRON","D0  -ELEVATOR","22","1908","53508","2667374","49.85","860409","16.08","1806965","14675000","274.26","1-00816-0007","53 WEST 14 STREET","FLATIRON","D6  -ELEVATOR","245","1965","310000","15283000","49.3","4873200","15.72","10409800","54593000","176.11","0","1-00843-0003","75 5 AVENUE","FLATIRON","D6  -ELEVATOR","74","1984","63255","3260163","51.54","948192","14.99","2311971","23833000","376.78","0.16","1-00816-0042","96 5 AVENUE","FLATIRON","D6  -ELEVATOR","230","1962","180000","8973000","49.85","2894400","16.08","6078600","48926000","271.81","0","2019"
"1-00816-0062","36 WEST 15 STREET","FLATIRON","D0  -ELEVATOR","12","1909","31272","1574858","50.36","472520","15.11","1102338","8953000","286.29","1-00816-0007","53 WEST 14 STREET","FLATIRON","D6  -ELEVATOR","245","1965","310000","15208600","49.06","5074700","16.37","10133900","54593000","176.11","0","1-00843-0003","75 5 AVENUE","FLATIRON","D6  -ELEVATOR","74","1984","63255","3244982","51.3","989308","15.64","2255674","23833000","376.78","0.16","1-00819-0020","31 WEST 17 STREET","FLATIRON","D7  -ELEVATOR","12","2005","27758","1397893","50.36","419423","15.11","978470","8330000","300.09","0.14","2019"
"1-00816-0063","38 WEST 15 STREET","FLATIRON","D0  -ELEVATOR","13","1903","27075","1226227","45.29","412082","15.22","814145","6612000","244.21","1-00818-0010","43 WEST 16 STREET","FLATIRON","D9  -ELEVATOR","95","1911","64049","3037844","47.43","1126622","17.59","1911222","21195000","330.92","0.1","1-00818-0019","27 WEST 16 STREET","FLATIRON","D5  -ELEVATOR","75","1907","41300","1870477","45.29","628586","15.22","1241891","12882000","311.91","0.1","1-00850-0062","20 EAST 22 STREET","FLATIRON","D3  -ELEVATOR","23","1925","10512","464736","44.21","151163","14.38","313573","3919000","372.81","0.39","2019"
"1-00816-0078","546 AVENUE OF THE AMERICAS","FLATIRON","D0  -ELEVATOR","13","1920","22000","1080200","49.1","358380","16.29","721820","5862000","266.45","1-00816-0007","53 WEST 14 STREET","FLATIRON","D6  -ELEVATOR","245","1965","310000","15047400","48.54","4938300","15.93","10109100","54593000","176.11","0","1-00816-0042","96 5 AVENUE","FLATIRON","D6  -ELEVATOR","230","1962","180000","8838000","49.1","2932200","16.29","5905800","48926000","271.81","0","1-00843-0003","75 5 AVENUE","FLATIRON","D6  -ELEVATOR","74","1984","63255","3212721","50.79","961476","15.2","2251245","23833000","376.78","0.16","2019"
"1-00817-0025","29 WEST 15 STREET","FLATIRON","D0  -ELEVATOR","11","1905","22220","1088113","48.97","327745","14.75","760368","6174000","277.86","1-00801-0049","110 WEST 26 STREET","CHELSEA","D5  -ELEVATOR","13","1907","26027","1297446","49.85","352145","13.53","945301","4538000","174.36","0.5","1-00802-0006","165 WEST 26 STREET","CHELSEA","D5  -ELEVATOR","12","1920","24254","1166375","48.09","307541","12.68","858834","4595000","189.45","0.55",,,,,,,,,,,,,,,,"2019"
"1-00817-0057","4 WEST 16 STREET","FLATIRON","D0  -ELEVATOR","17","1902","33080","1781358","53.85","398283","12.04","1383075","11233000","339.57","1-00843-0003","75 5 AVENUE","FLATIRON","D6  -ELEVATOR","74","1984","63255","3465741","54.79","795748","12.58","2669993","23833000","376.78","0.15","1-00816-0007","53 WEST 14 STREET","FLATIRON","D6  -ELEVATOR","245","1965","310000","16290500","52.55","4126100","13.31","12164400","54593000","176.11","0.05","1-00819-0020","31 WEST 17 STREET","FLATIRON","D7  -ELEVATOR","12","2005","27758","1494768","53.85","334206","12.04","1160562","8330000","300.09","0.09","2019"
"1-00817-0085","568 AVENUE OF THE AMERICAS","FLATIRON","D4  -ELEVATOR","121","1955","129970","6170976","47.48","1481658","11.4","4689318","38084000","293.02","1-00816-0007","53 WEST 14 STREET","FLATIRON","D6  -ELEVATOR","245","1965","310000","14545200","46.92","3422400","11.04","11122800","54593000","176.11","0.05","1-00816-0042","96 5 AVENUE","FLATIRON","D6  -ELEVATOR","230","1962","180000","8546400","47.48","2052000","11.4","6494400","48926000","271.81","0.05","1-00843-0003","75 5 AVENUE","FLATIRON","D6  -ELEVATOR","74","1984","63255","3109616","49.16","652159","10.31","2457457","23833000","376.78","0.15","2019"
"1-00818-0058","12 WEST 17 STREET","FLATIRON","D4  -ELEVATOR","12","1925","30240","1491134","49.31","442714","14.64","1048420","8515000","281.58","1-00819-0020","31 WEST 17 STREET","FLATIRON","D7  -ELEVATOR","12","2005","27758","1368747","49.31","406377","14.64","962370","8330000","300.09","0.05","1-00843-0003","75 5 AVENUE","FLATIRON","D6  -ELEVATOR","74","1984","63255","3178564","50.25","959578","15.17","2218986","23833000","376.78","0.16","1-00816-0007","53 WEST 14 STREET","FLATIRON","D6  -ELEVATOR","245","1965","310000","14883100","48.01","4929000","15.9","9954100","54593000","176.11","0.1","2019"
"1-00818-0059","14 WEST 17 STREET","FLATIRON","D0  -ELEVATOR","19","1906","50672","2295442","45.3","696740","13.75","1598702","12984000","256.24","1-00844-0019","33 UNION SQUARE","FLATIRON","D6  -ELEVATOR","22","1900","51150","2252646","44.04","550886","10.77","1701760","21479000","419.92","0.15","1-00843-0003","75 5 AVENUE","FLATIRON","D6  -ELEVATOR","74","1984","63255","3082416","48.73","814724","12.88","2267692","23833000","376.78","0.16","1-00823-0047","4 WEST 22 STREET","FLATIRON","D6  -ELEVATOR","12","1904","29453","1334221","45.3","404979","13.75","929242","8357000","283.74","0.22","2019"
"1-00818-0073","40 WEST 17 STREET","FLATIRON","D0  -ELEVATOR","23","1910","49520","2410138","48.67","748247","15.11","1661891","13497000","272.56","1-00816-0007","53 WEST 14 STREET","FLATIRON","D6  -ELEVATOR","245","1965","310000","15087700","48.67","4684100","15.11","10403600","54593000","176.11","0.1","1-00843-0003","75 5 AVENUE","FLATIRON","D6  -ELEVATOR","74","1984","63255","3220312","50.91","909607","14.38","2310705","23833000","376.78","0.16","1-00817-0001","552 AVENUE OF THE AMERICAS","FLATIRON","D9  -ELEVATOR","111","1973","101231","4711291","46.54","1505305","14.87","3205986","26085000","257.68","0.05","2019"
"1-00823-0065","40 WEST 22 STREET","FLATIRON","D0  -ELEVATOR","16","1909","50313","2419552","48.09","610800","12.14","1808752","14689000","291.95","1-00823-0047","4 WEST 22 STREET","FLATIRON","D6  -ELEVATOR","12","1904","29453","1431121","48.59","398794","13.54","1032327","8357000","283.74","0","1-00850-0039","268 PARK AVENUE SOUTH","FLATIRON","D6  -ELEVATOR","77","1927","109393","5206013","47.59","1522751","13.92","3683262","33462000","305.89","0.21",,,,,,,,,,,,,,,,"2019"
"1-00827-0042","208 5 AVENUE","FLATIRON","D0  -ELEVATOR","14","1915","23261","1208874","51.97","314256","13.51","894618","7265000","312.33","1-00823-0047","4 WEST 22 STREET","FLATIRON","D6  -ELEVATOR","12","1904","29453","1457334","49.48","362272","12.3","1095062","8357000","283.74","0.22","1-00819-0020","31 WEST 17 STREET","FLATIRON","D7  -ELEVATOR","12","2005","27758","1442583","51.97","302285","10.89","1140298","8330000","300.09","0.39","1-00821-0040","146 5 AVENUE","FLATIRON","D9  -ELEVATOR","25","1935","14110","738376","52.33","219975","15.59","518401","5483000","388.59","0.3","2019"
"1-00827-0060","22 WEST 26 STREET","FLATIRON","D0  -ELEVATOR","21","1910","48685","2377775","48.84","709340","14.57","1668435","13550000","278.32","1-00477-0001","80 VARICK STREET","SOHO","D5  -ELEVATOR","61","1920","125235","6139020","49.02","1849721","14.77","4289299","17950000","143.33","1.6","1-01332-0029","240 EAST 59 STREET","MIDTOWN EAST","D6  -ELEVATOR","167","1983","324212","15834514","48.84","4723769","14.57","11110745","76684000","236.52","1.74","1-01422-0021","1283 2 AVENUE","UPPER EAST SIDE (59-79)","D6  -ELEVATOR","181","1973","348130","16616245","47.73","4852932","13.94","11763313","76383000","219.41","2.16","2019"
"1-00827-0068","38 WEST 26 STREET","FLATIRON","D0  -ELEVATOR","13","1909","65150","2888751","44.34","1192245","18.3","1696506","13778000","211.48","1-00828-0001","776 AVENUE OF THE AMERICAS","FLATIRON","D8  -ELEVATOR","398","2000","454538","20076943","44.17","8913490","19.61","11163453","165343000","363.76","0.05","1-00823-0047","4 WEST 22 STREET","FLATIRON","D6  -ELEVATOR","12","1904","29453","1335399","45.34","527798","17.92","807601","8357000","283.74","0.2","1-00850-0039","268 PARK AVENUE SOUTH","FLATIRON","D6  -ELEVATOR","77","1927","109393","4850486","44.34","2001892","18.3","2848594","33462000","305.89","0.3","2019"
"1-00830-0046","2 WEST 29 STREET","FASHION","D0  -ELEVATOR","24","1928","69649","3201765","45.97","1078863","15.49","2122902","17241000","247.54","1-00835-0015","35 WEST 33 STREET","FASHION","D8  -ELEVATOR","173","2002","160126","7271322","45.41","2257777","14.1","5013545","37894000","236.65","0.24","1-00833-0075","1265 BROADWAY","FASHION","D6  -ELEVATOR","75","1904","62612","2990349","47.76","1048751","16.75","1941598","29244000","467.07","0.19","1-00779-0052","214 WEST 30 STREET","FASHION","D5  -ELEVATOR","12","1927","30360","1395649","45.97","470276","15.49","925373","3161000","104.12","0.4","2019"
"1-00831-0020","1200 BROADWAY","FASHION","D0  -ELEVATOR","45","1906","101808","4916308","48.29","1712411","16.82","3203897","26020000","255.58","1-00833-0075","1265 BROADWAY","FASHION","D6  -ELEVATOR","75","1904","62612","3135609","50.08","1132025","18.08","2003584","29244000","467.07","0.15","1-00835-0015","35 WEST 33 STREET","FASHION","D8  -ELEVATOR","173","2002","160126","7644415","47.74","2470744","15.43","5173671","37894000","236.65","0.2","1-00779-0052","214 WEST 30 STREET","FASHION","D5  -ELEVATOR","12","1927","30360","1466084","48.29","510655","16.82","955429","3161000","104.12","0.39","2019"
"1-00832-0032","11 WEST 30 STREET","FASHION","D0  -ELEVATOR","23","1927","62091","2543247","40.96","668099","10.76","1875148","15229000","245.27","1-00835-0015","35 WEST 33 STREET","FASHION","D8  -ELEVATOR","173","2002","160126","6470692","40.41","1501982","9.38","4968710","37894000","236.65","0.15","1-00779-0052","214 WEST 30 STREET","FASHION","D5  -ELEVATOR","12","1927","30360","1243546","40.96","326674","10.76","916872","3161000","104.12","0.38","1-00757-0066","354 WEST 34 STREET","FASHION","D7  -ELEVATOR","253","1930","279392","11631089","41.63","3319177","11.88","8311912","75572000","270.49","0.57","2019"
"1-00832-0039","284 5 AVENUE","FASHION","D4  -ELEVATOR","41","1900","42689","2218120","51.96","555384","13.01","1662736","13504000","316.33","1-00835-0015","35 WEST 33 STREET","FASHION","D8  -ELEVATOR","173","2002","160126","8230476","51.4","1860664","11.62","6369812","37894000","236.65","0.15","1-00833-0075","1265 BROADWAY","FASHION","D6  -ELEVATOR","75","1904","62612","3365395","53.75","893473","14.27","2471922","29244000","467.07","0.12","1-00779-0052","214 WEST 30 STREET","FASHION","D5  -ELEVATOR","12","1927","30360","1577506","51.96","394984","13.01","1182522","3161000","104.12","0.38","2019"
"1-00833-0022","31 WEST 31 STREET","FASHION","D4  -ELEVATOR","11","1905","32032","1455534","45.44","524364","16.37","931170","7562000","236.08","1-00835-0015","35 WEST 33 STREET","FASHION","D8  -ELEVATOR","173","2002","160126","7188056","44.89","2398687","14.98","4789369","37894000","236.65","0.1","1-00833-0075","1265 BROADWAY","FASHION","D6  -ELEVATOR","75","1904","62612","2957165","47.23","1103850","17.63","1853315","29244000","467.07","0.1","1-00779-0052","214 WEST 30 STREET","FASHION","D5  -ELEVATOR","12","1927","30360","1379558","45.44","496993","16.37","882565","3161000","104.12","0.38","2019"
"1-00836-0064","36 WEST 35 STREET","FASHION","D4  -ELEVATOR","37","1930","24646","999642","40.56","259769","10.54","739873","6009000","243.81","1-00835-0015","35 WEST 33 STREET","FASHION","D8  -ELEVATOR","173","2002","160126","6494711","40.56","1687728","10.54","4806983","37894000","236.65","0.05","1-00833-0075","1265 BROADWAY","FASHION","D6  -ELEVATOR","75","1904","62612","2686681","42.91","825852","13.19","1860829","29244000","467.07","0.17","1-00786-0042","488 7 AVENUE","FASHION","D6  -ELEVATOR","108","1902","88872","3597539","40.48","1060243","11.93","2537296","31957000","359.58","0.36","2019"
"1-00837-0040","372 5 AVENUE","FASHION","D0  -ELEVATOR","129","1928","127666","6007962","47.06","1621358","12.7","4386604","35626000","279.06","1-00835-0015","35 WEST 33 STREET","FASHION","D8  -ELEVATOR","173","2002","160126","7160835","44.72","1610868","10.06","5549967","37894000","236.65","0.1","1-00861-0027","31 EAST 31 STREET","MURRAY HILL","D7  -ELEVATOR","95","1914","91500","4373700","47.8","1036695","11.33","3337005","24020000","262.51","0.31","1-00833-0075","1265 BROADWAY","FASHION","D6  -ELEVATOR","75","1904","62612","2946521","47.06","795172","12.7","2151349","29244000","467.07","0.22","2019"
"1-00839-0062","26 WEST 38 STREET","FASHION","D0  -ELEVATOR","11","1910","14439","621310","43.03","187129","12.96","434181","3526000","244.2","1-00835-0015","35 WEST 33 STREET","FASHION","D8  -ELEVATOR","173","2002","160126","6890222","43.03","2075233","12.96","4814989","37894000","236.65","0.2","1-00757-0066","354 WEST 34 STREET","FASHION","D7  -ELEVATOR","253","1930","279392","12365890","44.26","4319400","15.46","8046490","75572000","270.49","0.56","1-00786-0042","488 7 AVENUE","FASHION","D6  -ELEVATOR","108","1902","88872","3817052","42.95","1274424","14.34","2542628","31957000","359.58","0.35","2019"
"1-00839-0063","28 WEST 38 STREET","FASHION","D0  -ELEVATOR","24","1910","55870","2542085","45.5","957612","17.14","1584473","12868000","230.32","1-00835-0015","35 WEST 33 STREET","FASHION","D8  -ELEVATOR","173","2002","160126","7090379","44.28","2342643","14.63","4747736","37894000","236.65","0.2","1-00833-0075","1265 BROADWAY","FASHION","D6  -ELEVATOR","75","1904","62612","2918971","46.62","1081935","17.28","1837036","29244000","467.07","0.31","1-00757-0066","354 WEST 34 STREET","FASHION","D7  -ELEVATOR","253","1930","279392","12712336","45.5","4788779","17.14","7923557","75572000","270.49","0.56","2019"
"1-00841-0021","32 WEST 40 STREET","FASHION","C6  -WALK-UP","13","1920","10329","487219","47.17","148324","14.36","338895","2752000","266.43","1-00761-0001","484 9 AVENUE","FASHION","C7  -WALK-UP","15","1920","11434","577989","50.55","160991","14.08","416998","5126000","448.31","0.53","1-00761-0004","492 9 AVENUE","FASHION","C7  -WALK-UP","17","1901","20988","990004","47.17","301388","14.36","688616","5531000","263.53","0.53","1-00910-0003","419 3 AVENUE","MURRAY HILL","C7  -WALK-UP","14","1925","12230","539221","44.09","134897","11.03","404324","3118000","254.95","0.73","2019"
"1-00841-0066","28 WEST 40 STREET","FASHION","C6  -WALK-UP","11","1920","8508","407788","47.93","108222","12.72","299566","2433000","285.97","1-00761-0001","484 9 AVENUE","FASHION","C7  -WALK-UP","15","1920","11434","586679","51.31","142239","12.44","444440","5126000","448.31","0.53","1-00761-0004","492 9 AVENUE","FASHION","C7  -WALK-UP","17","1901","20988","1005955","47.93","266967","12.72","738988","5531000","263.53","0.53","1-00910-0003","419 3 AVENUE","MURRAY HILL","C7  -WALK-UP","14","1925","12230","548638","44.86","114962","9.4","433676","3118000","254.95","0.73","2019"
"1-00841-0069","30 WEST 40 STREET","FASHION","D4  -ELEVATOR","64","1907","69925","3331926","47.65","1117402","15.98","2214524","17985000","257.2","1-00835-0015","35 WEST 33 STREET","FASHION","D8  -ELEVATOR","173","2002","160126","7433049","46.42","2158498","13.48","5274551","37894000","236.65","0.3","1-00757-0066","354 WEST 34 STREET","FASHION","D7  -ELEVATOR","253","1930","279392","13313029","47.65","4464684","15.98","8848345","75572000","270.49","0.6","1-00865-0032","20 PARK AVENUE","MURRAY HILL","D7  -ELEVATOR","102","1939","101306","4871806","48.09","1704980","16.83","3166826","26269000","259.3","0.3","2019"
"1-00841-0070","36 WEST 40 STREET","FASHION","D4  -ELEVATOR","11","1930","11666","585983","50.23","159824","13.7","426159","3461000","296.67","1-00757-0066","354 WEST 34 STREET","FASHION","D7  -ELEVATOR","253","1930","279392","14221053","50.9","4137796","14.81","10083257","75572000","270.49","0.6","1-00835-0015","35 WEST 33 STREET","FASHION","D8  -ELEVATOR","173","2002","160126","7955060","49.68","1971151","12.31","5983909","37894000","236.65","0.3","1-00779-0052","214 WEST 30 STREET","FASHION","D5  -ELEVATOR","12","1927","30360","1524983","50.23","415932","13.7","1109051","3161000","104.12","0.61","2019"
"1-00844-0011","15 EAST 16 STREET","FLATIRON","D0  -ELEVATOR","11","1908","49520","3149967","63.61","754190","15.23","2395777","19457000","392.91","1-00843-0003","75 5 AVENUE","FLATIRON","D6  -ELEVATOR","74","1984","63255","4165342","65.85","917198","14.5","3248144","23833000","376.78","0.05","1-00816-0007","53 WEST 14 STREET","FLATIRON","D6  -ELEVATOR","245","1965","310000","19719100","63.61","4721300","15.23","14997800","54593000","176.11","0.18","1-00823-0047","4 WEST 22 STREET","FLATIRON","D6  -ELEVATOR","12","1904","29453","1838751","62.43","452987","15.38","1385764","8357000","283.74","0.27","2019"
"1-00846-0064","18 EAST 18 STREET","FLATIRON","D0  -ELEVATOR","11","1900","36400","1833468","50.37","550732","15.13","1282736","10419000","286.24","1-00819-0020","31 WEST 17 STREET","FLATIRON","D7  -ELEVATOR","12","2005","27758","1426761","51.4","373900","13.47","1052861","8330000","300.09","0.15","1-00826-0056","22 WEST 25 STREET","FLATIRON","D9  -ELEVATOR","17","1925","10750","530298","49.33","154155","14.34","376143","3282000","305.3","0.37",,,,,,,,,,,,,,,,"2019"
"1-00847-0024","874 BROADWAY","FLATIRON","D0  -ELEVATOR","24","1900","43073","2544322","59.07","896780","20.82","1647542","13380000","310.64","1-00850-0039","268 PARK AVENUE SOUTH","FLATIRON","D6  -ELEVATOR","77","1927","109393","6352452","58.07","1414451","12.93","4938001","33462000","305.89","0.14","1-00850-0064","12 EAST 22 STREET","FLATIRON","D7  -ELEVATOR","87","1911","78646","4668427","59.36","902070","11.47","3766357","31451000","399.91","0.14","1-00823-0047","4 WEST 22 STREET","FLATIRON","D6  -ELEVATOR","12","1904","29453","1739789","59.07","369635","12.55","1370154","8357000","283.74","0.27","2019"
