"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","siteid","benchid","category","benchtype","installati","address","geocodeadd","street","crossstree","borough","comdist","busroute","bid","latitude","longitude","femafldz","femafldt","hrcevac"
"POINT (-73.89825258983161 40.641465753933794)","3","Brooklyn","318","46","59","19","8","2581.0","789.0","Municipal Facilities","backless","2014-07-07T00:00:00.000","1600 Rockaway Parkway","1678 Rockaway Parkway","Rockaway Parkway","Avenue J & Avenue K","Brooklyn","318.0","B42","Not Applicable","40.641474","-73.898254","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.89745458513146 40.7247667378501)","4","Queens","405","30","30","15","6","646.0","587.0","Bus Route","backless","2013-04-16T00:00:00.000","66-62 Grand Avenue","66-62 Grand Avenue","Grand Avenue","Queens Midtown Expressway & Hamilton Place","Queens","405.0","Q58","Not Applicable","40.724775","-73.897456","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94584157026817 40.7114567414752)","3","Brooklyn","301","34","53","18","7","3609.0","12.0","BID","backed 2","2017-01-28T00:00:00.000","669 Grand Street","669 Grand Street","Grand Street","Leonard Street & Manhattan Avenue","Brooklyn","301.0","Not Applicable","Grand Street","40.711465","-73.945843","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.87848499531574 40.87564180161788)","2","Bronx","207","11","80","36","13","4164.0","60.0","General","backed 2","2018-08-01T00:00:00.000","228 East 207th Street","228 East 207th Street","East 207th Street","Bainbridge Avenue & Perry Avenue","Bronx","207.0","Not Applicable","Not Applicable","40.8756418016","-73.8784849953","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.89872057728151 40.86222671103118)","2","Bronx","205","14","86","33","15","1945.0","559.0","BID","backed","2013-05-07T00:00:00.000","114 East Fordham Road","114 East Fordham Road","East Fordham Rd & 188th Street","E. Fordham Road & 188th Street","Bronx","205.0","Not Applicable","Fordham Road","40.862235","-73.898722","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.88325058938581 40.74309573296302)","4","Queens","404","25","39","16","6","3011.0","1922.0","General","backed","2015-01-29T00:00:00.000","81-25 Broadway","81-25 Broadway","Broadway","Pettit Avenue and Britton Avenue","Queens","404.0","Not Applicable","Not Applicable","40.743104","-73.883252","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90222058724235 40.665131749719606)","3","Brooklyn","316","42","55","19","8","2391.0","1051.0","Senior Center","backed","2014-03-06T00:00:00.000","460 Dumont Avenue","460 Dumont Avenue","Dumont Avenue","Junius Street & Powell Street","Brooklyn","316.0","Not Applicable","Not Applicable","40.66514","-73.902222","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00165155088078 40.746053736810055)","1","Manhattan","104","3","75","27","10","2025.0","1451.0","General","backed","2013-07-22T00:00:00.000","201 9th Avenue","201 9th Avenue","9th Avenue","22nd and 23rd Streets","Manhattan","104.0","Not Applicable","Not Applicable","40.746062","-74.001653","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.95769857280355 40.6089827623904)","3","Brooklyn","315","48","45","17","9","4177.0","949.0","Bus Route","backed","2018-09-26T00:00:00.000","1524 Kings Highway","1524 Kings Highway","Kings Highway","East 15th Street & East 16th Street","Brooklyn","315.0","B82","Kings Highway","40.608991","-73.9577","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.95032656206519 40.826567719130175)","1","Manhattan","109","7","71","31","13","3556.0","0.0","Bus Route","backless","2017-02-14T00:00:00.000","3542 Broadway","592 W 145th Street","W 145th Street","W 145th Street & W 146th Street","Manhattan","112.0","BX19","Not Applicable","40.826576","-73.950328","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95474156847118 40.69998274462727)","3","Brooklyn","301","33","50","26","7","2106.0","1016.0","General","backed","2013-11-20T00:00:00.000","210 Wallabout Street","210 Wallabout Street","Wallabout Street","Lee and Bedford Avenues","Brooklyn","301.0","Not Applicable","Not Applicable","40.699991","-73.954743","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.83909560009208 40.78566572303992)","4","Queens","407","19","27","11","14","2026.0","823.0","General","backed","2013-07-31T00:00:00.000","129-21 14th Avenue","129-21 14th Avenue","14th Avenue","129th & 130th Street","Queens","407.0","Q20B","Not Applicable","40.785674","-73.839097","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.93112557838951 40.65880675139965)","3","Brooklyn","317","41","58","20","9","3540.0","1146.0","Bus Route","backless","2016-07-26T00:00:00.000","611 Utica Avenue","611 Utica Avenue","Utica Avenue","Winthrop Street & Rutland Road","Brooklyn","317.0","B46","Not Applicable","40.658815","-73.931127","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90606157793667 40.812610720314844)","2","Bronx","201","8","84","29","15","2697.0","658.0","Municipal Facilities","backed","2014-11-05T00:00:00.000","811 East 149th Street","811 East 149th Street","East 149th Street","Tinton Avenue & Union Avenue","Bronx","201.0","Not Applicable","Not Applicable","40.812619","-73.906063","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.91642018934142 40.757751346864964)","4","Queens","401","26","30","12","14","4152.0","581.0","General","backed 2","2019-06-28T00:00:00.000","43-12 Broadway","43-12 Broadway","Broadway","43 Street & 44 Street","Queens","401.0","Not Applicable","Not Applicable","40.7577513469","-73.9164201893","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99335056258826 40.60239476439027)","3","Brooklyn","311","47","47","23","11","4170.0","1194.0","Bus Route","backless","2018-09-21T00:00:00.000","8512 Bay Parkway","8512 Bay Parkway","Bay Parkway","85th Street & 86th Street","Brooklyn","311.0","B82","Not Applicable","40.602403","-73.993352","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.9795255556275 40.77861572997031)","1","Manhattan","107","6","67","29","10","1379.0","188.0","General","backed","2012-12-19T00:00:00.000","141 West 73rd Street","141 West 73rd Street","73rd Street","Columbus and Amsterdam Avenues","Manhattan","107.0","Not Applicable","Not Applicable","40.778624","-73.979527","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00048455931203 40.609004763865315)","3","Brooklyn","311","43","47","23","10","3953.0","424.0","General","backed 2","2018-02-08T00:00:00.000","8210 18th Avenue","8210 18th Avenue","18th Avenue","82nd Street & 83rd Street","Brooklyn","311.0","B8","Not Applicable","40.609013","-74.000486","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95111857009579 40.68805174610579)","3","Brooklyn","303","36","57","25","8","3971.0","374.0","General","backless 2","2018-01-23T00:00:00.000","340 Nostrand Avenue","340 Nostrand Avenue","Nostrand Avenue","Green Avenue & Lexington Avenue","Brooklyn","303.0","B44","Not Applicable","40.68806","-73.95112","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.01166569284828 40.71386777027654)","1","Manhattan","101","1","66","26","10","1942.0","708.0","BID","backed","2013-06-13T00:00:00.000","230 Greenwich Street","230 Greenwich Street","Greenwich Street & Barclay Street","Greenwich Street & Washington Street","Manhattan","101.0","Not Applicable","Alliance for Downtown New York","40.7138677703","-74.0116656928","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1"
"POINT (-73.88401158902951 40.73325673541511)","4","Queens","404","25","30","16","6","1805.0","427.0","General","backless","2013-02-14T00:00:00.000","83-07 Grand Avenue","83-07 Grand Avenue","Grand Avenue","Calamus Avenue and 83rd Street","Queens","404.0","Q58","Not Applicable","40.733265","-73.884013","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95355657133165 40.66093975214124)","3","Brooklyn","309","40","43","20","9","3483.0","902.0","General","backed","2016-08-01T00:00:00.000","467 Rogers Avenue","467 Rogers Avenue","Rogers Ave","Maple Street & Lincoln Street","Brooklyn","309.0","Not Applicable","Not Applicable","40.660948","-73.953558","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95516556413546 40.777175728782375)","1","Manhattan","108","5","76","28","12","3689.0","214.0","Senior Safety","backed","2017-08-03T00:00:00.000","1479 3rd Avenue","1479 3rd Avenue","3rd Avenue","E 84th Street & E 83rd Street","Manhattan","108.0","Not Applicable","Not Applicable","40.777184","-73.955167","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97457555996142 40.73009573942488)","1","Manhattan","106","4","74","27","12","4165.0","856.0","General","backless 2","2019-04-11T00:00:00.000","276 Avenue C","276 Avenue C","Avenue C","East 16th Street & East 15th Street","Manhattan","106.0","M09","Not Applicable","40.730104","-73.974577","AE",,"1"
"POINT (-73.94930756435143 40.79352372576337)","1","Manhattan","111","8","68","30","13","3212.0","1868.0","General","backed","2015-10-28T00:00:00.000","61 E 106th Street","61 E 106th Street","E 106th Street","Madison Avenue and Park Avenue","Manhattan","111.0","Not Applicable","Not Applicable","40.793532","-73.949309","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.9792225668887 40.605565763299474)","3","Brooklyn","311","44","47","17","10","2993.0","1589.0","General","backed","2015-01-05T00:00:00.000","1714 W. 6th Street","1714 W. 6th Street","W. 6th Street","Quentin Road & Kings Highway","Brooklyn","311.0","Not Applicable","Not Applicable","40.605574","-73.979224","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-74.116527527725 40.57380605848301)","5","Staten Island","502","50","64","24","11","3666.0","14.0","Bus Route","backed 2","2017-01-28T00:00:00.000","32 New Dorp Plaza South","32 New Dorp Plaza South","New Dorp Lane","N. Railroad Avenue & S. Railroad Avenue","Staten Island","502.0","S76","Not Applicable","40.5738060585","-74.1165275277","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00566955613539 40.63299375968829)","3","Brooklyn","312","38","49","17","7","3788.0","116.0","Bus Route","backless 2","2017-07-03T00:00:00.000","6001 Fort Hamilton Pkwy","6001 Fort Hamilton Pkwy","60th Street","60th Street & 61st Street","Brooklyn","312.0","B9","Not Applicable","40.633002","-74.005671","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97489355659059 40.78782272779197)","1","Manhattan","107","6","69","29","10","1306.0","48.0","General","backless","2012-10-15T00:00:00.000","541 Amsterdam Avenue","541 Amsterdam Ave","Amsterdam Avenue","W. 86th Street & W. 87th Street","Manhattan","107.0","M11","Not Applicable","40.787831","-73.974895","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8625749634915 40.74953406636619)","4","Queens","404","21","39","13","14","1342.0","375.0","Plaza","backed 2","2018-06-01T00:00:00.000","103-12 Roosevelt Avenue","103-12 Roosevelt Avenue","Roosevelt Avenue","104th and National Streets","Queens","404.0","Q20A","Not Applicable","40.7495340664","-73.8625749635","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.88067359493232 40.662542749367695)","3","Brooklyn","305","42","60","19","8","149.0","1002.0","Bus Route","backless","2013-09-30T00:00:00.000","797 Ashford Street","797 Ashford Street","Ashford Street","Linden Boulevard and Stanley Avenue","Brooklyn","305.0","B6","Not Applicable","40.662551","-73.880675","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.87860358917453 40.75626873091829)","4","Queens","403","25","34","13","14","2003.0","923.0","General","backless","2013-09-27T00:00:00.000","89-19 Northern Boulevard","89-19 Northern Boulevard","Northern Boulevard","89th & 90th Street","Queens","403.0","Q66","Not Applicable","40.756277","-73.878605","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.19203050285665 40.528083786428425)","5","Staten Island","503","51","62","24","11","760.0","398.0","General","backless","2012-12-21T00:00:00.000","100 Luten Avenue","100 Luten Avenue","Luten Avenue","Eylandt Street & Deisius Street","Staten Island","503.0","S55","Not Applicable","40.528092","-74.192032","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.9127165749843 40.82275471878288)","2","Bronx","203","17","79","32","15","796.0","352.0","General","backed","2013-01-10T00:00:00.000","843 Elton Avenue","843 Elton Avenue","East 160th Street","East 159th and 160th Streets","Bronx","203.0","Not Applicable","Not Applicable","40.822763","-73.912718","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.9324475733938 40.744762734606475)","4","Queens","402","26","37","12","12","3314.0","527.0","Municipal Facilities","backed","2016-07-06T00:00:00.000","32-23 Queens Boulevard","32-23 Queens Boulevard","Queens Boulevard","32nd Place & 33rd Street","Queens","402.0","Not Applicable","Not Applicable","40.744771","-73.932449","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.87953758394535 40.84076671444485)","2","Bronx","206","15","87","32","15","2899.0","1199.0","Municipal Facilities","backless","2014-12-18T00:00:00.000","2024 Boston Road","1065 East Tremont Avenue","East Tremont Avenue","Boston Road & East 177th Street","Bronx","206.0","BX21","Not Applicable","40.840775","-73.879539","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.91855757679308 40.76201573098392)","4","Queens","401","22","36","12","12","3364.0","1735.0","General","backed","2016-07-19T00:00:00.000","37-01 31st Avenue","37-01 31st Avenue","37th Street","37th Street & 38th Street","Queens","401.0","Not Applicable","Not Applicable","40.762024","-73.918559","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.07571153332051 40.635691761441514)","5","Staten Island","501","49","61","23","11","1677.0","339.0","Bus Route","backless","2013-01-29T00:00:00.000","263 Bay Street","263 Bay Street","Bay Street","Hannah Street & Swan Street","Staten Island","501.0","S78","Not Applicable","40.6357","-74.075713","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-74.01334754935739 40.70855174453404)","1","Manhattan","101","1","65","26","10","1020.0","166.0","BID","backed","2012-07-11T00:00:00.000","110 Greenwich Street","110 Greenwich Street","Greenwich Street","Rector and Carlisle Streets","Manhattan","101.0","Not Applicable","Alliance for Downtown New York","40.70856","-74.013349","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.88245267439459 40.85056209536325)","2","Bronx","206","15","78","33","15","4140.0","415.0","General","backed 2","2019-05-21T00:00:00.000","2300 Southern Boulevard","2300 Southern Boulevard","Crotona Parkway","Bronx Park South & La 65 de Enfanteria","Bronx","206.0","Not Applicable","Not Applicable","40.8505620954","-73.8824526744","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95410556224012 40.8112127222441)","1","Manhattan","109","9","70","30","13","1181.0","348.0","BID","backed","2013-01-16T00:00:00.000","133 Morningside Avenue",,"Morningside Avenue","W125th Street & W126th Street","Manhattan","110.0","Not Applicable","125th Street","40.811221","-73.954107","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.915563583605 40.6689527487293)","3","Brooklyn","316","41","55","20","9","1711.0","444.0","BID","backed","2013-02-22T00:00:00.000","1572 Pitkin Avenue","1572 Pitkin Avenue","Pitkin Avenue","Strauss Street & Herzl Street","Brooklyn","316.0","Not Applicable","Pitkin Avenue","40.668961","-73.915565","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.84300460588953 40.67136074617469)","4","Queens","410","32","23","15","8","4226.0","793.0","Bus Route","backed 2","2019-01-24T00:00:00.000","137-20 CROSS BAY BLVD","137-20 CROSS BAY BLVD","CROSS BAY BLVD","Pitkin Avenue & Van Wicklen Road","Queens","410.0","Q52","Not Applicable","40.671369","-73.843006","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.99525655860798 40.64576775592407)","3","Brooklyn","312","38","51","17","7","3766.0","313.0","Senior Safety","backed","2017-09-26T00:00:00.000","3921 9th Avenue","3921 9th Avenue","9th Avenue","40th Street & 39th Street","Brooklyn","312.0","Not Applicable","Not Applicable","40.645776","-73.995258","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.06643553911871 40.59803576846733)","5","Staten Island","502","50","64","23","11","1666.0","429.0","Bus Route","backless","2012-12-21T00:00:00.000","134 McClean Avenue","134 McClean Avenue","McClean Avenue","Conger Street & Hastings Street","Staten Island","502.0","S53","Not Applicable","40.598044","-74.066437","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91090857452375 40.84041371569674)","2","Bronx","204","16","77","33","15","2135.0","742.0","Community Health Centers","backed","2013-09-09T00:00:00.000","240 East 172nd Street","240 East 172nd Street","Morris Avenue","East 171st and 172nd Streets","Bronx","204.0","BX32","Not Applicable","40.840422","-73.91091","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00458755746008 40.623016761142196)","3","Brooklyn","310","43","49","22","11","1642.0","443.0","Senior Center","backed","2013-03-06T00:00:00.000","7009 13th Avenue","7009 13th Avenue","13th Avenue","70th & 71st Street","Brooklyn","310.0","B64","Not Applicable","40.623025","-74.004589","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.89233692159803 40.83153443231613)","2","Bronx","203","17","79","32","15","1535.0","287.0","General","backed","2013-02-04T00:00:00.000","1334 Louis Nine Boulevard","1334 Louis Nine Boulevard","Plaza","Intervale Avenue, Louis Nine Blvd & Jennings Street","Bronx","203.0","Not Applicable","Not Applicable","40.8315344323","-73.8923369216","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94150956575385 40.81831572073644)","1","Manhattan","110","9","70","30","13","3962.0","296.0","Bus Route","backless 2","2018-01-09T00:00:00.000","2394 Adam Clayton Powell Jr Blvd","2394 Adam Clayton Powell Jr Blvd","Adam Clayton Powell Jr Blvd","W139th Street & W140th Street","Manhattan","110.0","M02","Not Applicable","40.818324","-73.941511","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.89125457831824 40.8828897062498)","2","Bronx","208","11","81","34","13","2703.0","1201.0","Municipal Facilities","backed","2014-07-30T00:00:00.000","3961 Hillman Avenue","3961 Hillman Avenue","Hillman Avenue","Sedgwick Avenue & Van Cortlandt Park South","Bronx","208.0","Not Applicable","Not Applicable","40.882898","-73.891256","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92957358021154 40.64407775432177)","3","Brooklyn","317","45","58","21","9","2480.0","1226.0","Health Care Facilities","backless","2014-05-29T00:00:00.000","1160 Utica Avenue","1160 Utica Avenue","Utica Avenue","Clarendon Road & Avenue D","Brooklyn","317.0","B46","Not Applicable","40.644086","-73.929575","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.92221157065964 40.8321217171771)","2","Bronx","204","16","84","29","15","2307.0","1121.0","General","backed","2014-01-08T00:00:00.000","1068 Gerard Avenue","1068 Gerard Avenue","Gerard Avenue","E165th & McClellan Street","Bronx","204.0","Not Applicable","Not Applicable","40.83213","-73.922213","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95153956730736 40.74312873585459)","4","Queens","402","26","37","12","12","2814.0","1413.0","General","backed","2014-10-29T00:00:00.000","10-93 Jackson Avenue","10-93 Jackson Avenue","11th Street","11th Street and 49th Avenue","Queens","402.0","B62","Not Applicable","40.743137","-73.951541","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.90794657612913 40.82328071839034)","2","Bronx","203","17","79","32","15","2696.0","1323.0","Municipal Facilities","backed","2014-09-15T00:00:00.000","916 Eagle Avenue","916 Eagle Avenue","Eagle Avenue","East 161st Street & East 163rd Street","Bronx","203.0","Not Applicable","Not Applicable","40.823289","-73.907948","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91020652149707 40.83121761931541)","2","Bronx","203","16","77","32","15","2081.0","0.0","General","backless",,"1170 Webster Avenue","1170 Webster Avenue","Webster Avenue","E 167th Street and E 168th Street","Bronx","203.0","BX41","Not Applicable","40.8312176193","-73.9102065215","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.89825258983161 40.641465753933794)","3","Brooklyn","318","46","59","19","8","2580.0","1371.0","Municipal Facilities","backless","2014-07-07T00:00:00.000","1600 Rockaway Parkway","1596 Rockaway Parkway","Rockaway Parkway","Avenue J & Avenue K","Brooklyn","318.0","B42","Not Applicable","40.641474","-73.898254","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.82888160530916 40.756913728564705)","4","Queens","407","20","40","16","6","495.0","145.0","Bus Route","backless","2012-06-20T00:00:00.000","41-51 Main Street (136-05 Sanford Avenue)","41-57 Main Street","Main Street","Sanford Avenue and 41st Road","Queens","407.0","Q44","Not Applicable","40.756922","-73.828883","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00938755516412 40.630503759477264)","3","Brooklyn","310","38","49","22","10","2481.0","1218.0","Health Care Facilities","backless","2014-05-29T00:00:00.000","6511 Fort Hamilton Parkway","6511 Fort Hamilton Parkway","Fort Hamilton Parkway","65th Street & 66th Street","Brooklyn","310.0","B16","Not Applicable","40.630512","-74.009389","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.88578759333805 40.6650457483268)","3","Brooklyn","305","42","60","19","8","2288.0","1577.0","General","backless","2013-12-13T00:00:00.000","665 New Lots Avenue","665 New Lots Avenue","New Lots Avenue","Barbey Street & Schenck Avenue","Brooklyn","305.0","B15","Not Applicable","40.665054","-73.885789","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-74.10951952667443 40.57068377554694)","5","Staten Island","502","50","64","24","11","3196.0","2056.0","General","backed","2016-04-13T00:00:00.000","2488 Hylan Boulevard","2488 Hylan Boulevard","Hylan Boulevard","Jacques Avenue & New Dorp Lane","Staten Island","502.0","S78","Not Applicable","40.570692","-74.109521","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.87261259404808 40.718428738076305)","4","Queens","405","30","30","15","6","3174.0","2011.0","General","backed","2016-04-13T00:00:00.000","64-59 Dry Harbor Road","64-59 Dry Harbor Road","Dry Harbor Road","64th Road & Furmanville Avenue","Queens","405.0","Q29","Not Applicable","40.718437","-73.872614","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00406255639535 40.633891758775704)","3","Brooklyn","312","38","48","17","10","3281.0","2242.0","General","backed","2016-05-21T00:00:00.000","5801 Fort Hamilton Pkwy","5801 Fort Hamilton Pkwy","Fort Hamilton Pkwy","58th Street & 59th Street","Brooklyn","312.0","B16","Not Applicable","40.6339","-74.004064","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.78548862917616 40.595008759091215)","4","Queens","414","31","31","10","5","4236.0","466.0","Bus Route","backless","2019-02-05T00:00:00.000","5422 Beach Channel Drive","5422 Beach Channel Drive","Beach Channel Drive","Beach 54th Street & Beach 55th Street","Queens","414.0","Q53","Not Applicable","40.595017","-73.78549","AE",,"1"
"POINT (-73.93081157902988 40.655644752110824)","3","Brooklyn","317","41","58","20","9","3714.0","83.0","Senior Safety","backed 2","2017-05-20T00:00:00.000","726 Utica Avenue","726 Utica Avenue","Utica Avenue","Lenox Road & Clarkson Avenue","Brooklyn","317.0","Not Applicable","Not Applicable","40.655653","-73.930813","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98986456311728 40.60574576432033)","3","Brooklyn","311","44","47","22","11","2061.0","1354.0","General","backed","2013-11-27T00:00:00.000","7914 Bay Parkway","7914 Bay Parkway","Bay Parkway","78th & 79th Street","Brooklyn","311.0","Not Applicable","Not Applicable","40.605754","-73.989866","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.9118615836955 40.66951774918699)","3","Brooklyn","316","41","55","20","9","1761.0","326.0","BID","backed","2013-02-21T00:00:00.000","1665 Pitkin Avenue","1665 Pitkin Avenue","Pitkin Avenue","Bristol Street & Chester Street","Brooklyn","316.0","Not Applicable","Pitkin Avenue","40.669526","-73.911863","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.84733360128226 40.72211173592063)","4","Queens","406","29","28","16","6","1174.0","323.0","Senior Center","backed","2012-12-12T00:00:00.000","106-06 Queens Boulevard","106-06 Queens Boulevard","69th Road","Austin Street and Queens Boulevard","Queens","406.0","Not Applicable","Not Applicable","40.72212","-73.847335","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9399735761778 40.66337975142628)","3","Brooklyn","309","41","43","20","9","2255.0","1160.0","Senior Center","backed","2013-11-26T00:00:00.000","483 Albany Avenue","483 Albany Avenue","Albany Avenue","Lefferts and Empire Boulevards","Brooklyn","309.0","Not Applicable","Not Applicable","40.663388","-73.939975","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.84562460463918 40.68905174220298)","4","Queens","409","32","38","10","7","4035.0","675.0","Bus Route","backless","2018-04-27T00:00:00.000","97-04 Atlantic Avenue","97-04 Atlantic Avenue","Atlantic Avenue","96th Street & 100th Street","Queens","409.0","Q24","Not Applicable","40.68906","-73.845626","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.11750752068873 40.63657876268457)","5","Staten Island","501","49","61","23","11","2064.0","728.0","Community Health Centers","backless","2013-08-08T00:00:00.000","221 Broadway","221 Broadway","Broadway","Henderson Avenue and Winegar Lane","Staten Island","501.0","S54","Not Applicable","40.636587","-74.117509","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.94986857191883 40.671612750120296)","3","Brooklyn","308","35","43","20","9","3455.0","1777.0","Bus Route","backless","2016-11-03T00:00:00.000","845 St Johns Place","845 St Johns Place","St Johns Place","New York Avenue & Nostrand Avenue","Brooklyn","308.0","B45","Not Applicable","40.671621","-73.94987","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.87108258704137 40.839650713881774)","2","Bronx","209","15","87","33","15","4027.0","10.0","Bus Route","backed 2","2018-03-06T00:00:00.000","1280 East Tremont Avenue","1280 East Tremont Avenue","East Tremont Avenue","Van Nest Avenue & Rosedale Avenue","Bronx","209.0","BX40","Not Applicable","40.839659","-73.871084","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9493795644369 40.793754725807666)","1","Manhattan","111","8","68","30","13","3173.0","1822.0","General","backed","2015-10-28T00:00:00.000","1573 Madison Avenue","1573 Madison Avenue","Madison Avenue","E. 106th Street and E. 107th Street","Manhattan","111.0","Not Applicable","Not Applicable","40.793763","-73.949381","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.93307857633097 40.68805974561546)","3","Brooklyn","303","36","56","25","8","3214.0","2239.0","Municipal Facilities","backed","2016-03-30T00:00:00.000","210 Stuyvesant Avenue","210 Stuyvesant Avenue","Stuyvesant Avenue","Monroe Street & Gates Avenue","Brooklyn","303.0","Not Applicable","Not Applicable","40.688068","-73.93308","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95682056958105 40.67386674941182)","3","Brooklyn","308","35","57","20","9","939.0","577.0","General","backed","2013-05-28T00:00:00.000","720 Franklin Avenue","720 Franklin Avenue","Franklin Avenue","Park Place and Sterling Place","Brooklyn","308.0","Not Applicable","Not Applicable","40.673875","-73.956822","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90861258299182 40.70153074283947)","4","Queens","405","34","38","12","7","3501.0","117.0","Bus Route","backless 2","2017-04-20T00:00:00.000","712 Cypress Avenue","712 Cypress Avenue","Cypress Avenue","Palmetto Street & Woodbine Street","Queens","405.0","Q58","Not Applicable","40.701539","-73.908614","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97588956062562 40.71902074136295)","1","Manhattan","103","2","74","26","7","2998.0","1741.0","Municipal Facilities","backless","2015-01-22T00:00:00.000","525 East Houston Street","525 East Houston Street","East Houston Street","Baruch Place & FDR Drive","Manhattan","103.0","M14AD","Not Applicable","40.719029","-73.975891","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.9357615812272 40.60127676274216)","3","Brooklyn","315","46","41","19","9","3920.0","300.0","Senior Safety","backed 2","2018-01-24T00:00:00.000","3082 Avenue U","3082 Avenue U","Avenue U","Bragg Street & Brigham Street","Brooklyn","315.0","Not Applicable","Not Applicable","40.601285","-73.935763","X","AREA OF MINIMAL FLOOD HAZARD","3"
