"propertyborough","propertyblock","propertylot","propertyzip","permitnumber","issuancedate","applicationtype","requeststatus"
"Manhattan","914",,,"CONN00021160","2023-07-12T15:56:34.000","Sewer Connection","Approved"
"Brooklyn","6","1",,"CONN00020752","2023-07-12T15:37:51.000","Water Service","Approved"
"Brooklyn","6","1",,"CONN00021247","2023-07-12T15:37:51.000","Water Service","Approved"
"Bronx","2956","40",,"CONN00021267","2023-07-12T15:35:38.000","Water Service","Approved"
"Bronx","2956",,,"CONN00021268","2023-07-12T15:33:06.000","Sewer Connection","Approved"
"Queens","10445","42",,"CONN00021276","2023-07-12T15:23:16.000","Water Service","Approved"
"Manhattan","578","67","10013","M-Relay-0031916","2023-07-12T14:50:04.000","Water Relay","Completed"
"Brooklyn","898",,,"CONN00021112","2023-07-12T14:44:18.000","Sewer Connection","Approved"
"Brooklyn","1144","100",,"CONN00021152","2023-07-12T14:44:16.000","Water Service","Approved"
"Brooklyn","898","54",,"CONN00021193","2023-07-12T14:43:33.000","Water Service","Approved"
"Queens","8917","62",,"CONN00021157","2023-07-12T14:33:54.000","Water Service","Approved"
"Queens","8917","61",,"CONN00021158","2023-07-12T14:32:52.000","Water Service","Approved"
"Queens","9531","38","11419","Q-Relay-0031910","2023-07-12T14:22:12.000","Water Relay","Approved"
"Queens","9631","88",,"CONN00021274","2023-07-12T14:03:32.000","Water Service","Approved"
"Bronx","4470","46",,"CONN00021288","2023-07-12T13:39:36.000","Water Service","Approved"
"Manhattan","1398","72",,"CONN00019470","2023-07-12T13:33:33.000","Water Service","Approved"
"Brooklyn","2321","7",,"CONN00021095","2023-07-12T12:47:07.000","Water Service","Approved"
"Brooklyn","799","1","11220","B-Repair-0031905","2023-07-12T12:47:06.000","Sewer Repair","Approved"
"Brooklyn","2321",,,"CONN00021094","2023-07-12T12:45:52.000","Sewer Connection","Approved"
"Bronx","2272","38",,"CONN00021290","2023-07-12T12:36:57.000","Water Service","Approved"
"Bronx","3140","7",,"CONN00021235","2023-07-12T12:35:33.000","Water Service","Approved"
"Bronx","3140","7",,"CONN00021234","2023-07-12T12:35:31.000","Water Service","Approved"
"Bronx","4470","45",,"CONN00021293","2023-07-12T12:18:04.000","Water Service","Approved"
"Brooklyn","6427","17","11228","B-Repair-0031898","2023-07-12T12:16:18.000","Sewer Repair","Approved"
"Bronx","4470",,,"CONN00021294","2023-07-12T12:13:20.000","Sewer Connection","Approved"
"Bronx","4470",,,"CONN00021289","2023-07-12T12:11:23.000","Sewer Connection","Approved"
"Brooklyn","265","43","11201","B-Relay-0031895","2023-07-12T11:44:15.000","Sewer Relay","Approved"
"Queens","4699","46","11357","Q-Repair-0031894","2023-07-12T11:12:29.000","Water Repair","Approved"
"Manhattan","396",,,"CONN00021273","2023-07-11T20:57:34.000","Sewer Connection","Approved"
"Brooklyn","5036","75",,"CONN00021236","2023-07-11T20:07:23.000","Water Service","Voided"
"Brooklyn","5036",,,"CONN00021181","2023-07-11T20:05:54.000","Sewer Connection","Approved"
"Brooklyn","5675","14","11219","B-Relay-0031890","2023-07-11T19:33:53.000","Sewer Relay","Approved"
"Brooklyn","3697","1",,"CONN00021134","2023-07-11T19:11:32.000","Water Service","Approved"
"Brooklyn","1899",,,"CONN00021166","2023-07-11T19:03:38.000","Sewer Plug","Approved"
"Brooklyn","2417","27","11249","B-Relay-0031887","2023-07-11T18:47:08.000","Water Relay","Completed"
"Queens","381",,,"CONN00021126","2023-07-11T18:17:24.000","Sewer Connection","Approved"
"Queens","1054","15","11370","Q-Repair-0031885","2023-07-11T18:16:26.000","Water Repair","Completed"
"Queens","382",,,"CONN00021118","2023-07-11T18:14:18.000","Sewer Connection","Approved"
"Queens","381","30",,"CONN00021122","2023-07-11T17:59:15.000","Water Service","Approved"
"Queens","381","30",,"CONN00021121","2023-07-11T17:59:14.000","Water Service","Approved"
"Queens","382","29",,"CONN00021117","2023-07-11T17:58:01.000","Water Service","Approved"
"Queens","382","29",,"CONN00021116","2023-07-11T17:57:42.000","Water Service","Approved"
"Brooklyn","4754",,,"CONN00021075","2023-07-11T17:53:37.000","Sewer Plug","Approved"
"Queens","730","68","11103","Q-Repair-0031878","2023-07-11T17:52:29.000","Sewer Repair","Approved"
"Brooklyn","4754","31",,"CONN00021074","2023-07-11T17:51:36.000","Water Service","Approved"
"Brooklyn","3697","1",,"CONN00021133","2023-07-11T17:41:33.000","Water Service","Approved"
"Queens","7943","7","11427","Q-Relay-0031875","2023-07-11T17:36:06.000","Sewer Relay","Approved"
"Manhattan","819",,,"CONN00021049","2023-07-11T17:28:13.000","Sewer Connection","Approved"
"Queens","4666",,,"CONN00020993","2023-07-11T17:27:53.000","Sewer Connection","Approved"
"Manhattan","1429","4",,"CONN00021189","2023-07-11T17:24:07.000","Water Service","Approved"
"Manhattan","1429","4",,"CONN00021237","2023-07-11T17:24:05.000","Water Service","Approved"
"Bronx","4700","153","10469","X-Repair-0031870","2023-07-11T17:16:14.000","Sewer Repair","Approved"
"Bronx","4659","72","10467","X-Relay-0031869","2023-07-11T17:16:09.000","Sewer Relay","Approved"
"Manhattan","1171","1",,"CONN00020410","2023-07-11T17:10:01.000","Water Service","Approved"
"Queens","15843",,,"CONN00020798","2023-07-11T17:02:22.000","Sewer Connection","Approved"
"Manhattan","922","8",,"CONN00020796","2023-07-11T16:59:33.000","Water Service","Approved"
"Manhattan","922","8",,"CONN00020793","2023-07-11T16:59:33.000","Water Service","Approved"
"Manhattan","922","8",,"CONN00020794","2023-07-11T16:59:32.000","Water Service","Approved"
"Brooklyn","3861",,,"CONN00020553","2023-07-11T16:58:08.000","Sewer Connection","Approved"
"Brooklyn","3861",,,"CONN00020615","2023-07-11T16:58:07.000","Sewer Connection","Approved"
"Brooklyn","3697",,,"CONN00021135","2023-07-11T16:42:22.000","Sewer Plug","Approved"
"Staten Island","2844","235",,"CONN00020943","2023-07-11T16:28:08.000","Water Service","Approved"
"Staten Island","2844",,,"CONN00020939","2023-07-11T16:26:23.000","Sewer Connection","Approved"
"Staten Island","2844","235",,"CONN00020942","2023-07-11T16:24:45.000","Water Service","Approved"
"Manhattan","1158","40",,"CONN00020792","2023-07-11T15:47:31.000","Water Service","Approved"
"Manhattan","2153","81",,"CONN00021226","2023-07-11T15:42:03.000","Water Service","Approved"
"Brooklyn","7709","61","11234","B-Repair-0031855","2023-07-11T15:23:42.000","Water Repair","Completed"
"Staten Island","5513","132","10312","S-Repair-0031854","2023-07-11T15:22:03.000","Water Repair","Completed"
"Manhattan","799","69","10011","M-Relay-0031853","2023-07-11T15:18:28.000","Water Relay","Completed"
"Brooklyn","4452","716","11239","B-Repair-0031852","2023-07-11T15:09:29.000","Water Repair","Completed"
"Brooklyn","3157","14",,"CONN00020237","2023-07-11T15:04:55.000","Water Service","Approved"
"Brooklyn","916","146","11232","B-Repair-0031850","2023-07-11T15:00:43.000","Sewer Repair","Approved"
"Queens","10043","19","11435","Q-Relay-0031849","2023-07-11T14:36:12.000","Sewer Relay","Approved"
"Queens","6836","18","11366","Q-Relay-0031848","2023-07-11T14:23:48.000","Sewer Relay","Approved"
"Queens","9150","8","11417","Q-Relay-0031847","2023-07-11T14:20:21.000","Sewer Relay","Approved"
"Queens","12213","56","11434","Q-Relay-0031846","2023-07-11T14:02:03.000","Water Relay","Completed"
"Brooklyn","457","3",,"CONN00021143","2023-07-11T13:53:48.000","Water Service","Approved"
"Brooklyn","3441","23","11207","B-Relay-0031843","2023-07-11T13:16:34.000","Sewer Relay","Approved"
"Brooklyn","5312","28","11218","B-Relay-0031842","2023-07-11T13:16:30.000","Sewer Relay","Approved"
"Brooklyn","8350","5","11234","B-Repair-0031841","2023-07-11T12:55:10.000","Water Repair","Completed"
"Staten Island","2634","35",,"CONN00020710","2023-07-11T12:36:50.000","Water Service","Approved"
"Staten Island","2634",,,"CONN00020715","2023-07-11T12:35:23.000","Sewer Plug","Approved"
"Bronx","2727","41",,"CONN00021251","2023-07-11T12:08:34.000","Water Service","Approved"
"Bronx","2727","41",,"CONN00021250","2023-07-11T12:08:33.000","Water Service","Approved"
"Bronx","2727","41",,"CONN00021249","2023-07-11T12:08:32.000","Water Service","Approved"
"Brooklyn","6",,,"CONN00020754","2023-07-11T01:38:32.000","Sewer Plug","Voided"
"Queens","12905","63",,"CONN00021194","2023-07-10T18:30:48.000","Water Service","Approved"
"Brooklyn","7582","25","11210","B-Repair-0031833","2023-07-10T18:23:09.000","Sewer Repair","Approved"
"Staten Island","3375","39","10305","S-Repair-0031832","2023-07-10T18:22:16.000","Sewer Repair","Approved"
"Staten Island","6529","59","10312","S-Relay-0031831","2023-07-10T18:20:59.000","Water Relay","Completed"
"Brooklyn","857","30","11220","B-Repair-0031830","2023-07-10T18:12:35.000","Water Repair","Completed"
"Brooklyn","2656","7","11222","B-Relay-0031829","2023-07-10T18:03:24.000","Sewer Relay","Approved"
"Brooklyn","2831",,,"CONN00021168","2023-07-10T17:38:12.000","Sewer Plug","Approved"
"Queens","872",,,"CONN00019301","2023-07-10T17:32:52.000","Sewer Connection","Approved"
"Queens","6361",,,"CONN00021090","2023-07-10T17:27:43.000","Sewer Connection","Approved"
"Staten Island","3362","150",,"CONN00021086","2023-07-10T17:26:57.000","Water Service","Approved"
"Queens","6361","24",,"CONN00021087","2023-07-10T17:26:53.000","Water Service","Approved"
"Queens","1352",,,"CONN00020886","2023-07-10T17:25:25.000","Sewer Plug","Approved"
"Queens","4666","25",,"CONN00020992","2023-07-10T17:18:51.000","Water Service","Approved"
"Bronx","2766","16",,"CONN00021202","2023-07-10T17:14:56.000","Water Service","Approved"
"Brooklyn","2831","13",,"CONN00021167","2023-07-10T17:08:00.000","Water Service","Approved"
"Brooklyn","6460","61","11228","B-Relay-0031819","2023-07-10T16:34:45.000","Water Relay","Completed"
"Brooklyn","1113",,,"CONN00020841","2023-07-10T16:25:24.000","Sewer Connection","Approved"
"Brooklyn","1113","39",,"CONN00020843","2023-07-10T16:24:21.000","Water Service","Approved"
"Bronx","3041",,,"CONN00021109","2023-07-10T16:17:30.000","Sewer Connection","Approved"
"Queens","11927",,,"CONN00021211","2023-07-10T16:04:13.000","Sewer Plug","Approved"
"Queens","11927","1",,"CONN00021207","2023-07-10T15:57:10.000","Water Service","Approved"
"Bronx","2928","30","10457","X-Repair-0031813","2023-07-10T15:56:22.000","Water Repair","Approved"
"Queens","6718",,,"CONN00018432","2023-07-10T15:15:52.000","Sewer Connection","Approved"
"Bronx","2691",,,"CONN00021192","2023-07-10T15:12:15.000","Sewer Plug","Approved"
"Queens","9436",,,"CONN00021198","2023-07-10T15:03:11.000","Sewer Plug","Approved"
"Brooklyn","6400","15","11214","B-Repair-0031809","2023-07-10T15:00:15.000","Sewer Repair","Approved"
"Queens","9436","31",,"CONN00021196","2023-07-10T14:59:54.000","Water Service","Approved"
"Brooklyn","4809","31","11225","B-Relay-0031807","2023-07-10T14:53:04.000","Water Relay","Completed"
"Bronx","2691","11",,"CONN00021191","2023-07-10T14:49:49.000","Water Service","Approved"
"Bronx","2766","16","10474","X-Relay-0031805","2023-07-10T14:07:37.000","Sewer Relay","Approved"
"Brooklyn","2448","1","11211","B-Relay-0031804","2023-07-10T14:01:31.000","Sewer Relay","Approved"
"Brooklyn","8539","39","11234","B-Relay-0031803","2023-07-10T14:01:02.000","Water Relay","Approved"
"Brooklyn","8475","38","11234","B-Relay-0031802","2023-07-10T13:58:05.000","Water Relay","Completed"
"Bronx","4123","4","10462","X-Repair-0031801","2023-07-10T13:56:09.000","Sewer Repair","Approved"
"Queens","11012","24","11412","Q-Relay-0031800","2023-07-10T13:54:50.000","Water Relay","Completed"
"Bronx","3763","57","10472","X-Relay-0031799","2023-07-10T13:50:40.000","Water Relay","Approved"
"Queens","3589","22","11385","Q-Relay-0031798","2023-07-10T13:50:24.000","Water Relay","Completed"
"Queens","704","1",,"CONN00021132","2023-07-10T13:50:02.000","Water Service","Approved"
"Staten Island","6312","10","10312","S-Repair-0031796","2023-07-10T13:47:55.000","Water Repair","Completed"
"Queens","13478","19","11413","Q-Relay-0031795","2023-07-10T13:45:06.000","Water Relay","Completed"
"Queens","4920","61","11358","Q-Relay-0031794","2023-07-10T13:44:21.000","Water Relay","Approved"
"Brooklyn","7150","44",,"CONN00020856","2023-07-10T13:43:59.000","Water Service","Approved"
"Brooklyn","5077","21","11226","B-Repair-0031790","2023-07-10T13:34:23.000","Water Repair","Approved"
"Brooklyn","2435","1","11211","B-Relay-0031789","2023-07-10T13:27:40.000","Sewer Relay","Approved"
"Bronx","3828","16","10462","X-Repair-0031788","2023-07-10T13:27:33.000","Sewer Repair","Approved"
"Brooklyn","2409","21","11211","B-Relay-0031787","2023-07-10T13:23:23.000","Water Relay","Completed"
"Bronx","4959","67","10466","X-Repair-0031786","2023-07-10T13:19:57.000","Water Repair","Approved"
"Brooklyn","6900","11","11214","B-Repair-0031785","2023-07-10T13:17:09.000","Sewer Repair","Approved"
"Brooklyn","4349","1","11207","B-Relay-0031784","2023-07-10T12:22:26.000","Sewer Relay","Approved"
"Brooklyn","7324","48","11229","B-Relay-0031783","2023-07-10T12:15:09.000","Water Relay","Approved"
"Queens","15557","25","11691","Q-Repair-0031782","2023-07-10T12:10:44.000","Water Repair","Completed"
"Queens","3264","33","11375","Q-Repair-0031781","2023-07-10T12:07:42.000","Sewer Repair","Approved"
"Queens","3656","34",,"CONN00021170","2023-07-10T11:52:52.000","Water Service","Approved"
"Queens","8128","23","11363","Q-Repair-0031779","2023-07-10T11:52:19.000","Water Repair","Approved"
"Brooklyn","7134",,,"CONN00021103","2023-07-10T08:52:17.000","Sewer Connection","Approved"
"Brooklyn","7134",,,"CONN00021104","2023-07-10T08:52:17.000","Sewer Connection","Approved"
"Brooklyn","7134","60",,"CONN00021102","2023-07-10T08:47:07.000","Water Service","Approved"
"Brooklyn","8241",,,"CONN00021014","2023-07-08T19:48:17.000","Sewer Connection","Approved"
"Manhattan","939","48","10016","M-Relay-0031774","2023-07-07T19:36:34.000","Water Relay","Approved"
"Brooklyn","5458","71","11219","B-Relay-0031773","2023-07-07T19:34:02.000","Water Relay","Approved"
"Brooklyn","3581","46","11212","B-Relay-0031772","2023-07-07T19:29:48.000","Water Relay","Completed"
"Queens","5186","65",,"CONN00021139","2023-07-07T19:19:20.000","Water Service","Approved"
"Queens","5186","65",,"CONN00021140","2023-07-07T19:18:25.000","Water Service","Approved"
"Bronx","2933","7",,"CONN00021155","2023-07-07T19:03:38.000","Water Service","Approved"
"Bronx","2967","42","10460","X-Repair-0031768","2023-07-07T18:53:22.000","Water Repair","Approved"
"Queens","16036","3",,"CONN00021089","2023-07-07T18:43:35.000","Water Service","Approved"
"Queens","16036","5",,"CONN00021091","2023-07-07T18:42:03.000","Water Service","Approved"
"Manhattan","2127",,,"CONN00020278","2023-07-07T18:21:33.000","Sewer Connection","Approved"
"Bronx","3355",,,"CONN00021154","2023-07-07T17:39:22.000","Sewer Connection","Approved"
"Bronx","3355",,,"CONN00021153","2023-07-07T17:35:06.000","Sewer Connection","Approved"
"Staten Island","3291","96",,"CONN00021042","2023-07-07T17:06:10.000","Water Service","Approved"
"Bronx","4336","1",,"CONN00021159","2023-07-07T17:03:20.000","Water Service","Approved"
"Staten Island","3291",,,"CONN00021043","2023-07-07T17:02:10.000","Sewer Connection","Approved"
"Brooklyn","6588","41",,"CONN00021035","2023-07-07T16:55:42.000","Water Service","Approved"
"Brooklyn","8743",,,"CONN00021034","2023-07-07T16:46:53.000","Sewer Connection","Approved"
"Brooklyn","8743","67",,"CONN00020226","2023-07-07T16:44:56.000","Water Service","Approved"
"Queens","16036",,,"CONN00021047","2023-07-07T16:34:43.000","Sewer Connection","Approved"
"Queens","16036",,,"CONN00020821","2023-07-07T16:32:52.000","Sewer Connection","Approved"
"Queens","15721","54","11691","Q-Repair-0031753","2023-07-07T16:20:37.000","Sewer Repair","Approved"
"Brooklyn","1899",,,"CONN00020803","2023-07-07T16:09:45.000","Sewer Plug","Voided"
"Brooklyn","1899","26",,"CONN00020800","2023-07-07T16:08:33.000","Water Service","Approved"
"Brooklyn","2146","13",,"CONN00020858","2023-07-07T16:06:49.000","Water Service","Approved"
"Queens","4668","16",,"CONN00020374","2023-07-07T16:00:02.000","Water Service","Approved"
"Queens","4668",,,"CONN00020377","2023-07-07T15:59:21.000","Sewer Connection","Approved"
"Queens","2479","30",,"CONN00020357","2023-07-07T15:53:36.000","Water Service","Approved"
"Queens","2479",,,"CONN00016487","2023-07-07T15:51:53.000","Sewer Connection","Approved"
"Queens","719","3",,"CONN00020369","2023-07-07T15:49:08.000","Water Service","Approved"
"Queens","719","3",,"CONN00020370","2023-07-07T15:49:05.000","Water Service","Approved"
"Queens","719",,,"CONN00020371","2023-07-07T15:48:25.000","Sewer Connection","Approved"
"Bronx","2756","80",,"CONN00021141","2023-07-07T15:47:26.000","Water Service","Approved"
"Brooklyn","3306","6","11221","B-Relay-0031740","2023-07-07T15:45:27.000","Water Relay","Completed"
"Queens","5419","155",,"CONN00020643","2023-07-07T15:42:46.000","Water Service","Approved"
"Queens","5419","55",,"CONN00020637","2023-07-07T15:40:54.000","Water Service","Approved"
"Staten Island","6866","54",,"CONN00021083","2023-07-07T15:38:40.000","Water Service","Approved"
"Staten Island","6866",,,"CONN00021084","2023-07-07T15:37:15.000","Sewer Plug","Approved"
"Queens","5419",,,"CONN00020638","2023-07-07T15:36:47.000","Sewer Connection","Approved"
"Queens","6173","26",,"CONN00020665","2023-07-07T15:36:30.000","Water Service","Approved"
"Brooklyn","6707",,,"CONN00021030","2023-07-07T15:36:13.000","Sewer Connection","Approved"
"Queens","6173",,,"CONN00020555","2023-07-07T15:35:25.000","Sewer Connection","Approved"
"Queens","5419",,,"CONN00020644","2023-07-07T15:32:41.000","Sewer Connection","Approved"
"Brooklyn","8789","7501","11235","B-Repair-0031730","2023-07-07T15:31:45.000","Water Repair","Approved"
"Bronx","2514","61",,"CONN00020702","2023-07-07T15:28:40.000","Water Service","Approved"
"Bronx","2514",,,"CONN00020618","2023-07-07T15:27:20.000","Sewer Connection","Voided"
"Brooklyn","7700","35","11234","B-Relay-0031727","2023-07-07T15:21:42.000","Water Relay","Completed"
"Brooklyn","3097","24",,"CONN00020806","2023-07-07T15:21:29.000","Water Service","Approved"
"Brooklyn","2237","57",,"CONN00020975","2023-07-07T15:18:23.000","Water Service","Approved"
"Brooklyn","2237","57",,"CONN00020974","2023-07-07T15:18:23.000","Water Service","Approved"
"Queens","15580","44",,"CONN00021080","2023-07-07T15:03:34.000","Water Service","Approved"
"Brooklyn","718","35","11232","B-Relay-0031722","2023-07-07T15:02:57.000","Water Relay","Completed"
"Queens","15580",,,"CONN00021081","2023-07-07T15:02:33.000","Sewer Plug","Approved"
"Queens","12208","36","11434","Q-Relay-0031720","2023-07-07T14:53:43.000","Water Relay","Completed"
"Queens","16268","78","11694","Q-Relay-0031719","2023-07-07T14:44:03.000","Water Relay","Completed"
"Brooklyn","7564","111",,"CONN00020818","2023-07-07T14:15:55.000","Water Service","Approved"
"Queens","9290","59","11418","Q-Relay-0031717","2023-07-07T14:09:29.000","Water Relay","Completed"
"Queens","5392","37","11358","Q-Repair-0031716","2023-07-07T14:01:55.000","Water Repair","Approved"
"Brooklyn","986","62",,"CONN00021009","2023-07-07T13:53:40.000","Water Service","Approved"
"Staten Island","6805",,,"CONN00021113","2023-07-07T13:19:37.000","Sewer Connection","Approved"
"Staten Island","6805","161",,"CONN00021093","2023-07-07T13:17:41.000","Water Service","Approved"
"Queens","704","1",,"CONN00021099","2023-07-07T12:27:20.000","Water Service","Approved"
"Brooklyn","1213","16",,"CONN00020853","2023-07-07T12:14:12.000","Water Service","Approved"
"Brooklyn","1818","16","11216","B-Relay-0031709","2023-07-07T12:04:45.000","Water Relay","Completed"
"Queens","9684","8","11435","Q-Repair-0031708","2023-07-07T11:56:48.000","Water Repair","Approved"
"Queens","2649","51","11378","Q-Relay-0031707","2023-07-07T11:50:05.000","Water Relay","Completed"
"Brooklyn","2739","5",,"CONN00020999","2023-07-07T11:08:57.000","Water Service","Voided"
"Brooklyn","2739",,,"CONN00021000","2023-07-07T11:07:35.000","Sewer Connection","Approved"
"Bronx","2511",,,"CONN00021026","2023-07-06T19:29:12.000","Sewer Connection","Approved"
"Bronx","2511","55",,"CONN00021025","2023-07-06T19:25:44.000","Water Service","Approved"
"Bronx","2511","55",,"CONN00021024","2023-07-06T19:25:42.000","Water Service","Approved"
"Brooklyn","2322",,,"CONN00020947","2023-07-06T19:10:12.000","Sewer Connection","Approved"
"Queens","3547","41","11385","Q-Relay-0031698","2023-07-06T19:06:34.000","Water Relay","Completed"
"Queens","518","13","11106","Q-Repair-0031697","2023-07-06T19:04:22.000","Sewer Repair","Approved"
"Staten Island","732","50","10314","S-Repair-0031696","2023-07-06T19:03:13.000","Sewer Repair","Approved"
"Queens","6757","4","11365","Q-Relay-0031695","2023-07-06T19:02:45.000","Water Relay","Completed"
"Brooklyn","1814","23",,"CONN00021001","2023-07-06T18:57:56.000","Water Service","Approved"
"Brooklyn","8356","54","11234","B-Relay-0031693","2023-07-06T18:51:37.000","Water Relay","Completed"
"Queens","6359","49",,"CONN00020641","2023-07-06T18:46:21.000","Water Service","Approved"
"Queens","6359",,,"CONN00020642","2023-07-06T18:43:17.000","Sewer Connection","Approved"
"Manhattan","1263","41","10036","M-Relay-0031690","2023-07-06T18:30:38.000","Sewer Relay","Approved"
"Brooklyn","8393","63","11234","B-Repair-0031688","2023-07-06T18:06:27.000","Water Repair","Cancelled"
"Brooklyn","4452","717","11239","B-Repair-0031687","2023-07-06T17:21:57.000","Water Repair","Completed"
"Manhattan","1262","41",,"CONN00020790","2023-07-06T17:19:33.000","Water Service","Approved"
"Manhattan","1262","41",,"CONN00020791","2023-07-06T17:19:30.000","Water Service","Approved"
"Manhattan","1262",,,"CONN00020789","2023-07-06T17:13:43.000","Sewer Plug","Approved"
"Brooklyn","6900","11","11214","B-Repair-0031683","2023-07-06T16:57:34.000","Sewer Repair","Approved"
"Brooklyn","189","48",,"CONN00020885","2023-07-06T16:52:23.000","Water Service","Approved"
"Staten Island","7886",,,"CONN00021045","2023-07-06T15:55:02.000","Sewer Connection","Approved"
"Staten Island","7886",,,"CONN00021046","2023-07-06T15:55:00.000","Sewer Connection","Approved"
"Staten Island","7886","75",,"CONN00021044","2023-07-06T15:52:09.000","Water Service","Approved"
"Queens","9631","88","11418","Q-Relay-0031678","2023-07-06T15:49:54.000","Water Relay","Cancelled"
"Brooklyn","6590","74",,"CONN00021041","2023-07-06T15:45:22.000","Water Service","Approved"
"Brooklyn","1330",,,"CONN00020753","2023-07-06T15:43:16.000","Sewer Connection","Approved"
"Brooklyn","1330",,,"CONN00020751","2023-07-06T15:42:24.000","Sewer Plug","Approved"
"Brooklyn","1330","40",,"CONN00020747","2023-07-06T15:38:50.000","Water Service","Approved"
"Brooklyn","1892","6",,"CONN00021028","2023-07-06T15:34:14.000","Water Service","Approved"
"Queens","2739","64","11378","Q-Relay-0031673","2023-07-06T15:34:10.000","Water Relay","Approved"
"Brooklyn","1892",,,"CONN00021029","2023-07-06T15:31:45.000","Sewer Plug","Approved"
"Brooklyn","4604","37","11203","B-Relay-0031670","2023-07-06T15:29:00.000","Water Relay","Approved"
"Manhattan","2243","306","10034","M-Repair-0031669","2023-07-06T15:23:09.000","Water Repair","Completed"
"Bronx","4784","6","10469","X-Repair-0031668","2023-07-06T15:10:50.000","Sewer Repair","Approved"
"Queens","9574","23","11419","Q-Relay-0031667","2023-07-06T15:02:46.000","Sewer Relay","Approved"
"Brooklyn","2073","21",,"CONN00020835","2023-07-06T14:56:11.000","Water Service","Approved"
"Brooklyn","7564","11",,"CONN00020816","2023-07-06T14:47:00.000","Water Service","Approved"
"Brooklyn","7564",,,"CONN00019139","2023-07-06T14:45:42.000","Sewer Connection","Approved"
"Brooklyn","2757","4","11211","B-Relay-0031663","2023-07-06T14:45:32.000","Water Relay","Completed"
"Brooklyn",,,,"CONN00019163","2023-07-06T14:44:41.000","Sewer Connection","Approved"
"Manhattan","1141","120",,"CONN00021073","2023-07-06T14:36:05.000","Water Service","Approved"
"Manhattan","1141","120",,"CONN00021072","2023-07-06T14:36:05.000","Water Service","Approved"
"Brooklyn","8678","3","11235","B-Repair-0031659","2023-07-06T14:17:48.000","Water Repair","Cancelled"
"Brooklyn","5182","33","11226","B-Repair-0031658","2023-07-06T14:06:57.000","Sewer Repair","Approved"
"Brooklyn","5415","44","11230","B-Relay-0031657","2023-07-06T14:06:49.000","Water Relay","Completed"
"Brooklyn","5387","29","11218","B-Relay-0031656","2023-07-06T14:06:45.000","Sewer Relay","Approved"
"Brooklyn","6763","64","11230","B-Relay-0031655","2023-07-06T14:06:42.000","Water Relay","Cancelled"
"Brooklyn","6660","49","11223","B-Relay-0031654","2023-07-06T14:06:36.000","Water Relay","Completed"
"Brooklyn","6588","41","11230","B-Relay-0031653","2023-07-06T13:39:27.000","Sewer Relay","Approved"
"Brooklyn","4048","38","11208","B-Relay-0031652","2023-07-06T13:29:10.000","Water Relay","Approved"
"Bronx","3308","28",,"CONN00021071","2023-07-06T12:35:11.000","Water Service","Approved"
"Bronx","3308",,,"CONN00021070","2023-07-06T12:32:52.000","Sewer Plug","Approved"
"Queens","1411","62","11369","Q-Repair-0031649","2023-07-06T11:57:24.000","Sewer Repair","Approved"
"Queens","6836","18","11366","Q-Relay-0031648","2023-07-06T11:50:34.000","Water Relay","Approved"
"Queens","10188","25",,"CONN00021057","2023-07-06T11:48:34.000","Water Service","Approved"
"Bronx","2848","50","10453","X-Relay-0031646","2023-07-06T11:03:53.000","Sewer Relay","Approved"
"Manhattan","1885","54","10025","M-Relay-0031645","2023-07-05T20:11:47.000","Sewer Relay","Approved"
"Queens","266","27",,"CONN00020780","2023-07-05T20:04:07.000","Water Service","Approved"
"Queens","266","27",,"CONN00020781","2023-07-05T20:00:13.000","Water Service","Approved"
"Bronx","2796",,,"CONN00020118","2023-07-05T19:59:26.000","Sewer Connection","Voided"
"Brooklyn","873","30",,"CONN00020978","2023-07-05T19:48:47.000","Water Service","Approved"
"Brooklyn","873",,,"CONN00020977","2023-07-05T19:46:56.000","Sewer Connection","Approved"
"Brooklyn","6860","1",,"CONN00020967","2023-07-05T19:43:14.000","Water Service","Approved"
"Brooklyn","6860",,,"CONN00020970","2023-07-05T19:41:33.000","Sewer Plug","Approved"
"Brooklyn","3709",,,"CONN00021023","2023-07-05T19:30:33.000","Sewer Connection","Approved"
"Queens","321","4","11106","Q-Relay-0031636","2023-07-05T19:08:31.000","Water Relay","Approved"
"Queens","9594","16",,"CONN00020916","2023-07-05T18:53:30.000","Water Service","Voided"
"Queens","9594",,,"CONN00020917","2023-07-05T18:51:26.000","Sewer Connection","Approved"
"Brooklyn","6405","25","11214","B-Relay-0031633","2023-07-05T18:45:37.000","Water Relay","Completed"
"Brooklyn","7958","79","11236","B-Repair-0031632","2023-07-05T18:35:48.000","Sewer Repair","Approved"
"Manhattan","939","48","10016","M-Relay-0031631","2023-07-05T18:28:16.000","Water Relay","Cancelled"
"Queens","4199","39","11356","Q-Repair-0031630","2023-07-05T18:02:08.000","Water Repair","Approved"
"Queens","6252",,,"CONN00021032","2023-07-05T18:01:52.000","Sewer Connection","Approved"
"Manhattan","2073","118","10031","M-Relay-0031627","2023-07-05T17:49:38.000","Water Relay","Completed"
"Queens","9531","37","11419","Q-Relay-0031623","2023-07-05T17:43:01.000","Water Relay","Approved"
"Queens","265",,,"CONN00020986","2023-07-05T17:30:33.000","Sewer Connection","Approved"
"Queens","5204",,,"CONN00020906","2023-07-05T17:20:37.000","Sewer Plug","Approved"
"Queens","5514",,,"CONN00021027","2023-07-05T17:10:34.000","Sewer Plug","Approved"
