"data_as_of","development","hud_amp_","tds_","consolidated_tds_","development_edp_","operating_edp_","hud__","program","method","type","number_of_section_8_transition_apartments","number_of_current_apartments","total_number_of_apartments","number_of_rental_rooms","avg_no_r_r_per_apartment","population_section_8_transition","population_public_housing","total_population","total_of_fixed_income_household","percent_fixed_income_households","number_of_residential_bldgs","number_of_non_residential_bldgs","number_of_stairhalls","number_of_stories","total_area_sq_ft","acres","net_dev_area_sq_ft","excluding_park_acres","bldg_coverage_sq_ft","cubage_cu_ft","bldg_coverage__","density","development_cost","per_rental_room","avg_monthly_gross_rent","location_street_a","location_street_b","location_street_c","location_street_d","borough","community_distirct","us_congressional_district","ny_state_senate_district","ny_state_assembly_district","ny_city_council_district","completion_date","federalized_development","senior_development","electricity_paid_by_residents","private_management"
"1/1/2019","GUN HILL","NY005010470","040","040","579","579","NY005267A","FEDERAL","CONVENTIONAL","NEW CONST",,"732","733","3,126.0","4.27",,"1,470","1,470","283","0.391","6","0","6","14","345,256","7.93","314,070","7.21","54,684","6,221,645","15.84%","185","$8,709,286","$2,784","$541","HOLLAND AVE","WHITE PLAINS RD","GUN HILL RD","MAGENTA ST","BRONX","12","16","36","83","12","11/30/1950","1980/07/01-ATP 5",,,
"1/1/2019","HABER","NY005011660","142","166","589","589","NY005271D","FEDERAL","CONVENTIONAL","NEW CONST (ELD)",,"380","380","1,327.0","3.49",,"442","442","347","0.928","3","0","3","14","134,432","3.09","134,432","3.09","23,903","2,547,605","17.78%","143","$7,494,000","$5,647","$295","W 24TH ST","SURF AVE","REIGELMANN BRDWLK","W 25TH ST","BROOKLYN","13","8","23","46","47","6/30/1965","1980/10/01-ATP 7","EXCLUSIVELY",,
"1/1/2019","HAMMEL","NY005010750","075","075","226","226","NY005027","FEDERAL","CONVENTIONAL","NEW CONST",,"710","712","3,296.0","4.64",,"1,790","1,790","212","0.302","14","0","14","7","616,678","14.16","572,678","13.15","107,706","5,991,153","17.47%","126","$9,618,901","$2,909","$453","B 86TH ST","HAMMELS BLVD","B 81ST ST","ROCKAWAY BCH BLVD","QUEENS","14","5","10","31","31","4/20/1955",,,,
"1/1/2019","HARBORVIEW TERRACE","NY005010220","262","022","377","377","NY005168","FEDERAL","TURNKEY","NEW CONST",,"377","377","1,493.5","3.96",,"648","648","241","0.65","2","0","2","14-15","120,497","2.77","120,497","2.77","22,666","3,139,759","18.81%","234","$16,721,224","$10,911","$522","W 54TH ST","W 56TH ST","TENTH AVE","ELEVENTH AVE","MANHATTAN","4","10","27, 31","67","06","6/30/1977",,"PARTIALLY",,
"1/1/2019","HARLEM RIVER","NY005010030","003","003","201","201","NY005042","FEDERAL","CONVENTIONAL","NEW CONST",,"574","577","2,231.0","3.89",,"1,079","1,079","181","0.323","7","0","47","4-5","322,075","7.39","313,137","7.19","103,777","5,237,933","32.22%","146","$4,147,782","$2,103","$548","MACOMBS PL","HARLEM RIVER DR","W 151ST ST","W 153RD ST","MANHATTAN","10","13","30","71","09","10/1/1937",,,,
"1/1/2019","HARLEM RIVER II","NY005010030","147","003","256","201","NY005051","FEDERAL","CONVENTIONAL","NEW CONST",,"116","116","515.0","4.44",,"272","272","40","0.36","1","0","1","15","28,815","0.66","28,815","0.66","7,281","981,227","25.27%","412","$2,605,601","$5,059","$589","DOUGLASS BLVD","W 152ND ST","MACOMBS PL","W 151ST ST","MANHATTAN","10","13","30","71","09","10/31/1965",,,,
"1/1/2019","HARRISON AVENUE REHAB (GROUP A)","NY005013410","347","341","772","762","NY005231","FEDERAL","TURNKEY","REHAB",,"34","34","146.0","4.29",,"75","75","11","0.324","1","0","1","5","9,167","0.21","9,167","0.21","6,698","404,958","73.07%","357","$2,368,803","$16,225","$486","HARRISON AVE","W BURNSIDE AVE","GRAND AVE","KINGSLAND PL","BRONX","5","15","29","86","14","9/1/1986",,,"YES","YES"
"1/1/2019","HARRISON AVENUE REHAB (GROUP B)","NY005013410","547","341","773","762","NY005287","FEDERAL","TURNKEY","REHAB",,"150","150","664.0","4.43",,"326","326","60","0.403","4","0","4","5-6","44,753","1.03","44,753","1.03","29,954","1,856,310","66.93%","317","$10,059,298","$15,150","$517","UNIVERSITY PL","W BURNSIDE AVE","GRAND AVE","KINGSLAND PL","BRONX","5","15","29","86","14","12/1/1986",,,"YES","YES"
"1/1/2019","HERNANDEZ","NY005011000","184","100","286","237","NY005085","FEDERAL","CONVENTIONAL","NEW CONST",,"149","149","601.5","4.04",,"260","260","80","0.544","1","0","1","17","44,689","1.03","44,689","1.03","13,167","1,293,680","29.46%","252","$3,731,491","$6,077","$524","ALLEN ST","STANTON ST","ELDRIDGE ST","E HOUSTON ST","MANHATTAN","3","7","26","65","01","8/31/1971",,,,
"1/1/2019","HIGHBRIDGE GARDENS","NY005000780","078","078","229","229","NY005026","FEDERAL","CONVENTIONAL","NEW CONST",,"700","700","3,252.0","4.65",,"1,601","1,601","256","0.372","6","0","6","13-14","496,875","11.41","496,875","11.41","55,678","5,837,785","10.12%","140","$7,547,875","$2,321","$521","SEDGWICK AVE","W 167TH ST","UNIVERSITY AVE",,"BRONX","4","15","29","77","16","6/18/1954",,,,
"1/1/2019","HOE AVENUE-EAST 173RD STREET","NY005015300","215","530","333","748","NY005164","FEDERAL","TURNKEY","NEW CONST",,"65","65","270.5","4.16",,"144","144","22","0.344","1","0","1","6","22,000","0.51","22,000","0.51","9,242","602,580","42.01%","282","$1,583,566","$5,801","$505","HOE AVE","E 173RD ST","E 174TH ST","VYSE AVE","BRONX","3","15","32","79","17","12/31/1970",,,,"YES"
"1/1/2019","HOLMES TOWERS","NY005011390","159","139","277","253","NY005069","FEDERAL","CONVENTIONAL","NEW CONST",,"536","537","2,070.0","3.86",,"941","941","257","0.481","2","0","2","25","122,341","2.81","122,341","2.81","19,872","3,893,920","16.24%","335","$10,435,545","$4,952","$511","FIRST AVE","ISAACS HOUSES","FDR DRIVE","E 92ND ST","MANHATTAN","8","12","28","68","05","4/30/1969",,,,
"1/1/2019","HOPE GARDENS","NY005012470","247","247","546","546","NY005218","FEDERAL","CONVENTIONAL","NEW CONST",,"323","324","1,404.5","4.35",,"696","696","176","0.547","4","1","4","7-14","202,500","4.65","202,500","4.65","41,000","351,600","20.25%","150","$20,632,339","$14,504","$511","LINDEN ST","WILSON AVE","GROVE ST",,"BROOKLYN","4","7","18","53","37","8/31/1981",,"PARTIALLY","YES",
"1/1/2019","HOWARD","NY005000720","072","072","568","568","NY005244A","FEDERAL","CONVENTIONAL","NEW CONST",,"813","815","3,699.5","4.55",,"1,835","1,835","279","0.348","10","0","16","7-13","664,735","15.26","621,176","14.26","87,500","6,943,700","13.16%","120","$11,359,000","$3,079","$504","EAST NEW YORK AVE","MOTHER GASTON BLVD","PITKIN AVE","ROCKAWAY AVE","BROOKLYN","16","8","20","55","41","12/30/1955","1979/08/01-ATP 4",,,
"1/1/2019","HOWARD AVENUE","NY005013510","339","351","782","765","NY005261","FEDERAL","TURNKEY","NEW CONST",,"148","150","669.0","4.52",,"373","373","39","0.265","5","1","25","3","132,915","3.05","132,915","3.05","50,568","1,536,736","38.05%","122","$11,464,557","$15,641","$663","EAST NEW YORK AVE","GRAFTON ST","SUTTER AVE","TAPSCOTT ST","BROOKLYN","16","9","20","55","41","8/1/1988",,,"YES",
"1/1/2019","HOWARD AVENUE-PARK PLACE","NY005013510","365","351","551","551","NY005225","FEDERAL","TURNKEY","NEW CONST",,"155","156","776.5","5.01",,"449","449","28","0.182","8","0","159","3","197,563","4.54","197,563","4.54","54,978","1,657,275","27.83%","99","$15,843,706","$20,286","$700","HOWARD AVE","STERLING PL","EASTERN PKWY","SAINT JOHNS PL","BROOKLYN","16","9","20, 25","55","41","8/31/1994",,,"YES",
"1/1/2019","HUGHES APARTMENTS","NY005011680","168","168","275","275","NY005081","FEDERAL","CONVENTIONAL","NEW CONST",,"509","513","2,421.5","4.76",,"1,366","1,366","135","0.268","3","1","4","22","241,990","5.56","241,990","5.56","23,502","4,599,540","9.71%","246","$10,288,064","$4,201","$585","ROCKAWAY AVE","MOTHER GASTON BLVD","SUTTER AVE","BELMONT AVE","BROOKLYN","16","9","20","55","41","6/30/1968",,,,
"1/1/2019","HUNTS POINT AVENUE REHAB","NY005015300","367","530","806","748","NY005299","FEDERAL","TURNKEY","REHAB",,"131","131","605.5","4.62",,"314","314","35","0.273","13","0","13","4-5","58,206","1.34","58,206","1.34","35,180","1,540,888","60.44%","234","$13,280,604","$21,933","$568","LAFAYETTE AVE","HUNTS POINT AVE","SENECA AVE","IRVINE ST","BRONX","2","15","32, 34","85","17","11/30/1991",,,"YES","YES"
"1/1/2019","HYLAN","NY005010860","109","086","680","680","NY005364","FEDERAL","CONVENTIONAL","NEW CONST",,"209","209","933.5","4.47",,"456","456","82","0.394","1","0","1","19","77,658","1.78","77,658","1.78","11,403","1,878,400","14.68%","256","$3,945,608","$4,240","$573","MOORE ST","HUMBOLDT ST","SEIGEL ST","BUSHWICK AVE","BROOKLYN","1","7","18","53","34","6/30/1960","1995/07/13-PTA",,,
"1/1/2019","INDEPENDENCE","NY005021400","140","234","442","442","NY005376","MIXED FINANCE/LLC2","CONVENTIONAL","NEW CONST","155","741","744","3,333.5","4.50","354","1,360","1,714","326","0.448","6","0","6","21","232,000","5.33","232,000","5.33","44,685","6,457,003","19.26%","322","$14,543,000","$4,344","$470","CLYMER ST","WILSON ST","WYTHE AVE","BEDFORD AVE","BROOKLYN","1","7","18","50","33","10/31/1965",,,,
"1/1/2019","INGERSOLL","NY005000140","014","014","510","510","NY005213B","FEDERAL","CONVENTIONAL","NEW CONST",,"1,830","1,840","8,698.0","4.75",,"4,198","4,198","493","0.292","20","1","46","6-11","884,521","20.31","812,641","18.66","175,748","10,226,288","17.62%","207","$12,236,672","$1,681","$577","PARK AVE","SAINT EDWARDS ST","MYRTLE AVE","PRINCE ST","BROOKLYN","2","8","25","57","35","2/24/1944","1977/07/01-ATP 1",,,
"1/1/2019","INTERNATIONAL TOWER","NY005010910","316","091","296","296","NY005241","FEDERAL","TURNKEY","NEW CONST (ELD)",,"146","159","520.0","3.56",,"179","179","131","0.903","1","0","1","10","42,500","0.98","42,500","0.98","12,689","1,126,314","29.86%","183","$10,992,764","$19,269","$383","170TH ST","90TH AVE","169TH ST","JAMAICA AVE","QUEENS","12","5","14","29","27","5/31/1983",,"EXCLUSIVELY","YES",
"1/1/2019","ISAACS","NY005011390","139","139","253","253","NY005057","FEDERAL","CONVENTIONAL","NEW CONST",,"634","636","2,638.0","4.16",,"1,250","1,250","279","0.441","3","1","4","24","152,173","3.49","152,173","3.49","32,645","4,857,894","21.45%","358","$13,251,410","$5,009","$556","E 93RD ST","FIRST AVE","FDR DRIVE",,"MANHATTAN","8","12","29","68","05","7/31/1965",,,,
"1/1/2019","JACKSON","NY005012670","120","267","243","243","NY005043","FEDERAL","CONVENTIONAL","NEW CONST",,"868","868","4,137.0","4.77",,"2,203","2,203","289","0.338","7","1","7","16","343,403","7.88","343,403","7.88","59,552","7,682,714","17.34%","280","$14,850,303","$3,590","$533","PARK AVE","COURTLANDT AVE","E 158TH ST","E 156TH ST","BRONX","1","15","32","79","17","7/31/1963",,,,
"1/1/2019","JEFFERSON","NY005010640","064","064","219","219","NY005016","FEDERAL","CONVENTIONAL","NEW CONST",,"1,486","1,493","6,945.0","4.67",,"3,314","3,314","570","0.387","18","1","35","7-13-14","757,179","17.38","757,179","17.38","149,778","13,032,612","19.78%","191","$26,894,981","$3,854","$565","E 112TH ST","THIRD AVE","E 115TH ST","FIRST AVE","MANHATTAN","11","13","30","68","08","8/28/1959",,,,
"1/1/2019","JOHNSON","NY005000170","017","017","516","516","NY005213H","FEDERAL","CONVENTIONAL","NEW CONST",,"1,296","1,310","6,121.0","4.72",,"3,076","3,076","488","0.382","10","0","17","14","517,632","11.88","456,630","10.48","97,804","10,582,024","18.89%","259","$14,348,000","$2,337","$573","E 112TH ST","E 115TH ST","THIRD AVE","PARK AVE","MANHATTAN","11","13","30","68","08","12/27/1948","1977/07/01-ATP 1",,,
"1/1/2019","KING TOWERS","NY005010300","030","030","518","518","NY005213J","FEDERAL","CONVENTIONAL","NEW CONST",,"1,377","1,379","6,342.5","4.61",,"3,013","3,013","511","0.375","10","0","10","13-14","599,120","13.75","555,560","12.75","98,822","11,745,000","16.49%","219","$19,859,000","$3,135","$559","W 112TH ST","LENOX AVE","W 115TH ST","FIFTH AVE","MANHATTAN","10","13","30","68","09","11/1/1954","1977/07/01-ATP 1",,,
"1/1/2019","KINGSBOROUGH","NY005010100","010","010","205","205","NY005006","FEDERAL","CONVENTIONAL","NEW CONST",,"1,154","1,165","4,711.0","4.08",,"2,408","2,408","409","0.365","16","0","35","6","695,544","15.97","665,526","15.28","129,189","8,037,853","18.57%","151","$5,175,100","$1,107","$504","RALPH AVE","PACIFIC ST","BERGEN ST","ROCHESTER AVE","BROOKLYN","8, 16","8","25","55, 56","41","10/31/1941",,,,
"1/1/2019","KINGSBOROUGH EXTENSION","NY005010100","161","010","268","205","NY005071","FEDERAL","CONVENTIONAL","NEW CONST (ELD)",,"182","184","637.0","3.50",,"203","203","168","0.928","1","0","1","25","63,254","1.45","63,254","1.45","7,110","1,224,082","11.24%","140","$2,986,383","$4,637","$343","BERGEN ST","PACIFIC ST","ROCHESTER AVE","RALPH AVE","BROOKLYN","8","8","25","56","41","5/31/1966",,"EXCLUSIVELY",,
"1/1/2019","LA GUARDIA","NY005010760","076","076","221","221","NY005021","FEDERAL","CONVENTIONAL","NEW CONST",,"1,091","1,094","5,097.5","4.67",,"2,458","2,458","488","0.45","9","0","9","16","469,672","10.78","415,455","9.54","63,621","8,909,852","13.55%","228","$17,157,591","$3,356","$585","RUTGERS ST","MADISON ST","MONTGOMERY ST","CHERRY ST","MANHATTAN","3","7","26","65","01","8/8/1957",,,,
"1/1/2019","LA GUARDIA ADDITION","NY005010760","152","076","262","221","NY005061","FEDERAL","CONVENTIONAL","NEW CONST (ELD)",,"149","150","491.5","3.30",,"193","193","142","0.953","1","0","1","16","26,052","0.60","26,052","0.60","5,618","914,382","21.56%","322","$2,876,132","$5,645","$297","CHERRY ST","MADISON ST","RUTGERS ST","MONTGOMERY ST","MANHATTAN","3","7","26","65","01","8/31/1965",,"EXCLUSIVELY",,
"1/1/2019","LAFAYETTE","NY005001220","122","122","247","247","NY005047","FEDERAL","CONVENTIONAL","NEW CONST",,"882","882","4,385.0","4.97",,"2,422","2,422","286","0.327","7","0","7","13-15-20","334,323","7.68","304,776","7.00","58,504","8,369,220","17.50%","315","$14,689,766","$3,350","$609","LAFAYETTE AVE","CLASSON AVE","DEKALB AVE","FRANKLIN AVE","BROOKLYN","3","8","25","57","35","7/31/1962",,,,
"1/1/2019","LATIMER GARDENS","NY005011860","186","186","290","290","NY005093","FEDERAL","CONVENTIONAL","NEW CONST",,"423","423","1,708.5","4.04",,"792","792","217","0.513","4","0","4","10","167,134","3.84","167,134","3.84","40,077","3,430,247","23.98%","206","$9,310,959","$5,442","$526","34TH, 35TH AVES","LINDEN PL","LEAVITT ST","137TH ST","QUEENS","7","6","11","40","20","9/30/1970",,,,
"1/1/2019","LAVANBURG HOMES","NY005003100","310","310","578","578","NY005248","FEDERAL","CONVENTIONAL","REHAB",,"95","104","391.5","4.12",,,,,,"1",,"6","6","23,032","0.53","23,032","0.53","12,882","937,200","55.93%",,"$5,742,000","$12,903",,"E HOUSTON ST","BARUCH PL","A NEW ST","MANGIN ST","MANHATTAN","3","7","26","74","2","9/26/1984",,,,
"1/1/2019","LEAVITT STREET-34TH AVENUE","NY005011860","201","186","386","290","NY005191","FEDERAL","TURNKEY","NEW CONST (ELD)",,"83","83","272.5","3.28",,"104","104","76","0.916","1","0","1","6","20,013","0.46","20,013","0.46","8,465","571,608","42.30%","226","$2,606,744","$9,244","$309","LEAVITT ST","UNION ST","34TH AVE","34TH RD","QUEENS","7","6","11","40","20","10/31/1974",,"EXCLUSIVELY",,
"1/1/2019","LEHMAN VILLAGE","NY005001010","101","101","238","238","NY005033","FEDERAL","CONVENTIONAL","NEW CONST",,"617","622","2,893.5","4.69",,"1,477","1,477","237","0.385","4","1","5","20","177,426","4.07","177,426","4.07","28,904","5,367,611","16.29%","363","$11,549,370","$3,959","$558","MADISON AVE","PARK AVE","E 106TH ST","E 110TH ST","MANHATTAN","11","13","30","68","08","11/30/1963",,,,
"1/1/2019","LENOX ROAD-ROCKAWAY PARKWAY","NY005011670","348","167","763","763","NY005292","FEDERAL","TURNKEY","REHAB",,"74","74","327.0","4.42",,"166","166","18","0.243","3","0","3","4","24,000","0.55","24,000","0.55","18,791","943,450","78.30%","302","$4,669,919","$14,281","$627","KINGS HIGHWAY","E 98TH ST","WILIMOHR ST","E 97TH ST","BROOKLYN","17","9","20","55, 58","41","9/1/1985",,,"YES",
"1/1/2019","LEXINGTON","NY005010620","050","062","374","217","NY005183C","FEDERAL","CONVENTIONAL","NEW CONST",,"448","448","1,901.0","4.24",,"817","817","209","0.471","4","0","4","14","151,467","3.48","151,467","3.48","35,222","3,879,000","23.25%","235","$4,780,152","$2,515","$548","E 98TH ST","THIRD AVE","E 99TH ST","PARK AVE","MANHATTAN","11","13","30","68","05","3/16/1951","1972/06/29-FED TRAN",,,
"1/1/2019","LINCOLN","NY005000200","020","020","513","513","NY005213E","FEDERAL","CONVENTIONAL","NEW CONST",,"1,280","1,286","6,099.0","4.76",,"2,986","2,986","429","0.339","14","0","20","6-14","551,740","12.67","508,561","11.67","106,738","10,743,035","19.35%","236","$14,324,000","$2,358","$517","E 132ND ST","E 135TH ST","FIFTH AVE","PARK AVE","MANHATTAN","11","13","30","70","09","12/29/1948","1977/07/01-ATP 1",,,
"1/1/2019","LINDEN","NY005020950","095","095","672","672","NY005377","MIXED FINANCE/LLC2","CONVENTIONAL","NEW CONST","474","1,586","1,586","7,311.0","4.61","1298","2,313","3,611","582","0.379","19","2","21","8-14","1,299,426","29.83","1,299,426","29.83","173,020","14,333,039","13.06%","121","$20,230,969","$2,767","$563","VERMONT ST","STANLEY AVE","SCHENCK AVE","COZINE AVE","BROOKLYN","5","8","19","60","42","7/17/1958",,,,
"1/1/2019","LONG ISLAND BAPTIST HOUSES","NY005012610","276","261","502","375","NY005201","FEDERAL","CONVENTIONAL","REHAB",,"229","232","1,039.5","4.54",,"526","526","63","0.283","4","0","4","6","78,700","1.81","78,700","1.81","37,700","2,490,500","47.90%","291","$11,627,063","$11,010","$540","SUTTER AVE","SHEFFIELD AVE","DUMONT AVE","HINSDALE ST","BROOKLYN","5","8","19","60","42","6/30/1981",,,"YES",
"1/1/2019","LONGFELLOW AVENUE REHAB","NY005015300","362","530","794","748","NY005295","FEDERAL","TURNKEY","REHAB",,"75","75","412.5","5.50",,"278","278","7","0.095","2","0","2","5","26,724","0.61","26,724","0.61","16,773","1,060,415","62.76%","456","$7,044,209","$17,077","$666","WESTCHESTER AVE","WHITLOCK AVE","E 165TH ST","BRYANT AVE","BRONX","2","15","32","85","17","10/31/1990",,,"YES","YES"
"1/1/2019","LOW HOUSES","NY005011690","169","169","276","276","NY005082","FEDERAL","CONVENTIONAL","NEW CONST",,"534","536","2,542.0","4.76",,"1,358","1,358","156","0.297","4","0","4","17-18","256,459","5.89","256,459","5.89","45,163","4,802,466","17.61%","231","$10,312,262","$4,052","$507","SACKMAN ST","POWELL ST","CHRISTOPHER ST","PITKIN AVE","BROOKLYN","16","8","19, 20","55","41","12/31/1967",,,,
"1/1/2019","LOWER EAST SIDE I INFILL","NY005011000","326","100","784","784","NY005259","FEDERAL","TURNKEY","NEW CONST",,"189","189","777.5","4.11",,"361","361","105","0.568","5","0","15","4-9","86,078","1.98","86,078","1.98","37,227","1,657,278","43.25%","182","$14,369,576","$18,482","$512","DELANCEY ST","RIVINGTON ST","FORSYTHE ST","ELDRIDGE ST","MANHATTAN","3","7","26","65","01","6/1/1988",,"PARTIALLY","YES",
"1/1/2019","LOWER EAST SIDE II","NY005012920","337","337","783","555","NY005262","FEDERAL","TURNKEY","NEW CONST",,"188","188","848.0","4.51",,"433","433","74","0.4","4","1","32","3","167,568","3.85","167,568","3.85","59,808","1,622,292","35.69%","112","$14,709,271","$17,346","$554","E 4TH & 5TH STS","E 6TH ST","AVENUES B & C","AVENUE D","MANHATTAN","3","12","26","74","02","11/1/1988",,,"YES",
"1/1/2019","LOWER EAST SIDE III","NY005013590","364","359","548","840","NY005215","FEDERAL","TURNKEY","NEW CONST",,"56","56","280.0","5.00",,"173","173","15","0.268","2","1","3","4","42,733","0.98","42,733","0.98","22,801","596,573","53.36%","177","$7,324,340","$26,158","$705","E 9TH ST","AVENUE D","E 8TH ST","AVENUE C","MANHATTAN","3","12","27","74","02","4/30/1997",,,"YES","YES"
"1/1/2019","LOWER EAST SIDE REHAB (GROUP 5)","NY005012920","292","337","555","555","NY005233","FEDERAL","TURNKEY","REHAB",,"55","55","229.5","4.17",,"119","119","17","0.309","2","0","2","6","17,872","0.41","17,872","0.41","10,275","490,400","57.49%","290","$4,322,735","$18,795","$643","AVENUE C","E 6TH ST","E 7TH ST",,"MANHATTAN","3","12","27","74","02","12/1/1986",,,"YES",
"1/1/2019","MANHATTANVILLE","NY005020810","081","081","429","429","NY005378","MIXED FINANCE/LLC1","CONVENTIONAL","NEW CONST","204","1,272","1,272","6,004.0","4.72","576","2,405","2,981","494","0.395","6","0","6","20","538,367","12.36","538,367","12.36","83,754","11,967,873","15.56%","241","$25,774,000","$4,306","$550","W 133RD ST","BROADWAY","AMSTERDAM AVE","W 129TH ST","MANHATTAN","9","13","30, 31","70","07","6/30/1961",,,,
"1/1/2019","MANHATTANVILLE REHAB (GROUP 2)","NY005010810","296","081","557","558","NY005235","FEDERAL","CONVENTIONAL","REHAB",,"46","46","187.0","4.07",,"87","87","21","0.457","3","0","3","5-6","11,843","0.27","11,843","0.27","8,099","434,570","68.39%","322","$6,002,000","$32,096","$599","BROADWAY","W 134TH ST","AMSTERDAM AVE","W 135TH ST","MANHATTAN","9","13","31","70","07","11/1/1988",,,"YES",
"1/1/2019","MANHATTANVILLE REHAB (GROUP 3)","NY005010810","297","081","558","558","NY005236","FEDERAL","CONVENTIONAL","REHAB",,"51","51","220.5","4.32",,"115","115","17","0.333","2","0","2","5-6","13,988","0.32","13,988","0.32","9,930","547,624","70.99%","359","$3,652,758","$16,603","$453","BROADWAY","W 133RD ST","AMSTERDAM AVE","W 134TH ST","MANHATTAN","9","13","31","70","07","9/30/1983",,,"YES",
"1/1/2019","MARBLE HILL","NY005020490","049","049","638","638","NY005379","MIXED FINANCE/LLC1","CONVENTIONAL","NEW CONST","257","1,680","1,682","7,112.0","4.23","548","2,713","3,261","737","0.445","11","1","12","14-15","724,809","16.64","652,495","14.98","111,631","13,300,359","15.40%","196","$17,882,055","$2,539","$517","EXTERIOR ST","W 225TH ST","BROADWAY","W 230TH ST","BRONX","8","13","31, 33","72, 81","10, 11, 14","3/6/1952",,,,
"1/1/2019","MARCY","NY005000210","021","021","514","514","NY005213F","FEDERAL","CONVENTIONAL","NEW CONST",,"1,716","1,717","8,268.0","4.82",,"4,147","4,147","607","0.358","27","1","71","6","1,241,000","28.49","1,101,547","25.29","240,198","13,741,160","19.36%","146","$19,420,000","$2,347","$560","FLUSHING AVE","MARCY AVE","NOSTRAND AVE","MYRTLE AVE","BROOKLYN","3","7","18","56","36","1/19/1949","1977/07/01-ATP 1",,,
"1/1/2019","MARCY AVENUE-GREENE AVENUE SITE A","NY005013590","363","359","803","840","NY005300","FEDERAL","TURNKEY","NEW CONST",,"48","48","231.0","4.81",,"123","123","13","0.277","2","0","7","3","51,104","1.17","51,104","1.17","16,354","434,689","32.00%","105","$5,042,549","$21,829","$505","GREENE AVE","MARCY AVE","NOSTRAND AVE","LEXINGTON AVE","BROOKLYN","3","8","25","56","36","6/30/1997",,,"YES","YES"
"1/1/2019","MARCY AVENUE-GREENE AVENUE SITE B","NY005013590","358","359","804","840","NY005293","FEDERAL","TURNKEY","NEW CONST",,"30","30","145.0","4.83",,"76","76","8","0.267","1","0","5","3","36,926","0.85","36,926","0.85","10,081","267,953","27.30%","89","$3,168,261","$21,850","$582","GREENE AVE","MARCY AVE","NOSTRAND AVE","LEXINGTON AVE","BROOKLYN","3","8","25","56","36","6/30/1997",,,"YES","YES"
"1/1/2019","MARINER'S HARBOR","NY005000770","077","077","228","228","NY005020","FEDERAL","CONVENTIONAL","NEW CONST",,"606","607","2,853.0","4.71",,"1,515","1,515","146","0.243","22","0","32","3-6","947,622","21.75","816,256","18.74","124,890","5,691,790","13.18%","70","$8,072,855","$2,826","$488","GRAND VIEW AVE","ROXBURY ST","LOCKMAN AVE","CONTINENTAL PL","STATEN ISLAND","1","11","23","63","49","9/3/1954",,,,
"1/1/2019","MARLBORO","NY005020830","083","083","426","426","NY005380","MIXED FINANCE/LLC1","CONVENTIONAL","NEW CONST","348","1,764","1,765","8,248.0","4.68","861","3,251","4,112","671","0.387","28","2","30","7-16","1,518,505","34.86","1,471,805","33.79","202,426","15,183,887","13.33%","118","$22,429,000","$2,783","$551","STILLWELL AVE","AVENUE V","86TH ST","AVENUE X","BROOKLYN","13","11","23","45, 47","47","2/27/1958",,,,
"1/1/2019","MARSHALL PLAZA","NY005010030","344","003","754","754","NY005265","FEDERAL","TURNKEY","NEW CONST (ELD)",,"180","180","630.0","3.50",,"207","207","154","0.89","1","0","1","13","20,083","0.46","20,083","0.46","10,354","1,181,481","51.56%","450","$12,233,985","$19,419","$307","BROADWAY","W 158TH ST","AMSTERDAM AVE","W 157TH ST","MANHATTAN","12","13","31","71","07","6/30/1986",,"EXCLUSIVELY","YES",
"1/1/2019","MCKINLEY","NY005000590","103","059","236","236","NY005031","FEDERAL","CONVENTIONAL","NEW CONST",,"615","619","2,928.5","4.76",,"1,441","1,441","220","0.358","5","1","5","16","289,985","6.66","233,735","5.37","41,286","5,580,675","14.24%","216","$10,418,410","$3,535","$528","E 161ST ST","E 163RD ST","TINTON AVE","KINGSLAND PL","BRONX","3","15","32","79","16","7/31/1962",,,,
"1/1/2019","MELROSE","NY005010280","028","028","523","523","NY005216B","FEDERAL","CONVENTIONAL","NEW CONST",,"1,021","1,023","4,854.5","4.75",,"2,418","2,418","363","0.358","8","1","9","14","541,687","12.44","498,060","11.43","68,826","8,736,312","12.71%","194","$12,236,000","$2,515","$486","MORRIS AVE","E 153RD ST","COURTLANDT AVE","E 156TH ST","BRONX","1","15","32","79, 84","17","6/20/1952","1978/02/01-ATP 2",,,
"1/1/2019","MELTZER TOWER","NY005011000","183","100","286","237","NY005085","FEDERAL","CONVENTIONAL","NEW CONST (ELD)",,"229","231","686.5","3.00",,"247","247","199","0.896","1","0","1","20","50,180","1.15","50,180","1.15","6,910","1,316,253","13.77%","215","$5,622,697","$7,487","$290","E 1ST ST","FIRST AVE","E 2ND ST","AVENUE A","MANHATTAN","3","12","26","65","02","8/31/1971",,"EXCLUSIVELY",,
"1/1/2019","METRO NORTH PLAZA","NY005010090","181","112","284","284","NY005092","FEDERAL","CONVENTIONAL","NEW CONST",,"271","275","1,301.5","4.80",,"643","643","112","0.416","3","0","3","7-8-11","99,827","2.29","99,827","2.29","34,752","2,668,090","34.81%","281","$6,733,865","$5,105","$574","E 101ST ST","FIRST AVE","E 102ND ST","SECOND AVE","MANHATTAN","11","13","29","68","08","8/31/1971",,,,
