"borough","restaurantname","seatingchoice","legalbusinessname","businessaddress","restaurantinspectionid","issidewaycompliant","isroadwaycompliant","skippedreason","inspectedon","agencycode","postcode","latitude","longitude","communityboard","councildistrict","censustract","bin","bbl","nta"
"Manhattan","Haile Ethiopian Cuisin","both","Haile Bistro Inc","182   Avenue b","73402",,"Non-Compliant",,"2022-01-03T15:57:01.000","DOT","10009","40.727717","-73.979298","3","2","34","1005182","1004050035","East Village"
"Brooklyn","Skinflints Restaurant","both","Skinflints Restaurant Inc.","7902 fifth avenue","73403",,"For HIQA Review",,"2022-01-03T17:52:17.000","DOT","11209","40.626396","-74.023913","10","43","136","3150909","3059800042","Bay Ridge"
"Manhattan","AUGUST LAURA","both","TABLE 20 LLC","94-96 AVENUE A","73404",,"Marked For Removal",,"2022-01-03T23:59:07.000",,"10009","40.725555","-73.983887","3","2","32","1077603","1004020001","East Village"
"Manhattan","AHIMSA GARDEN","both","SMALL PLATES INC","265  East 10th Street","73405",,"Marked For Removal",,"2022-01-03T23:59:07.000",,"10009","40.728357","-73.983425","3","2","34","1005957","1004380045","East Village"
"Manhattan","Philip Marie","both","J P G LLC","569  Hudson Street","73406",,"Suspended and Deactivated",,"2022-01-03T23:59:09.000",,"10014","40.735950","-74.005950","2","3","75","1011922","1006340067","West Village"
"Queens","LOTUS 1 VIETNAMESE RESTAURANT","both","XIN SUSHI CORP","4119 31ST AVE","73407",,"Suspended and Deactivated",,"2022-01-03T23:59:09.000",,"11103","40.760847","-73.916066","1","22","149","4011285","4006820001","Astoria"
"Brooklyn","Beau","both","61 Withers Street LLC","61 Withers Street","73408",,"For HIQA Review",,"2022-01-04T00:00:01.000",,"11211","40.716869","-73.950179","1","33","515","3338065","3027360031","North Side-South Side"
"Manhattan","SUSHI SEKI","both","SEKI INC","208 WEST   23 STREET","73409",,"For HIQA Review",,"2022-01-04T00:00:01.000",,"10011","40.744338","-73.996240","4","3","91","1014129","1007720056","Hudson Yards-Chelsea-Flatiron-Union Square"
"Manhattan","Pera Soho","both","PMB SOHO LLC","54 Thompson Street","73410",,"For HIQA Review",,"2022-01-04T00:00:01.000",,"10012","40.724043","-74.003316","2","1","47","1007320","1004887501","SoHo-TriBeCa-Civic Center-Little Italy"
"Manhattan","VEZZO","both","VEZZO, INC.","178 LEXINGTON AVENUE","73411",,"Compliant",,"2022-01-04T12:35:55.000","DOT","10016","40.744408","-73.981187","5","2","72","1018335","1008860071","Murray Hill-Kips Bay"
"Queens","Bangkok cuisine","both","BKK forest hills inc","10718 70th road","73412",,"Cease and Desist",,"2022-01-04T12:52:39.000","DOT","11375","40.721327","-73.845403","6","29","711","4077497","4032390038","Forest Hills"
"Queens","moca asian bistro","both","kang yue usa corp","107-18 70th rd","73413",,"Cease and Desist",,"2022-01-04T13:47:28.000","DOT","11375","40.721327","-73.845403","6","29","711","4077497","4032390038","Forest Hills"
"Queens","Narita Japanese restaurant","both","Narita Japanese restaurant","10708 70th rd","73414",,"Cease and Desist",,"2022-01-04T15:16:07.000","DOT","11375","40.720989","-73.845613","6","29","711","4077496","4032390032","Forest Hills"
"Manhattan","High Street on Hudson","both","HSNYC LLC","637 Hudson Street","73415",,"Under Review",,"2022-01-04T15:47:30.000","DOT","10014","40.738854","-74.005492","2","3","79","1011680","1006277501","West Village"
"Queens","Antiochia Grill","both","Antiochia Grill","70-35 Austin Street","73416",,"Cease and Desist",,"2022-01-04T15:56:38.000","DOT","11375","40.720506","-73.845701","6","29","711","4077496","4032390032","Forest Hills"
"Queens","Queens Bully","both","R & S HOSPITALITY LLC","11330 QUEENS BOULEVARD","73417",,"Cease and Desist",,"2022-01-04T16:33:44.000","DOT","11375","40.717517","-73.835524","6","29","76901","4079813","4033400024","Forest Hills"
"Manhattan","Gnocco","both","Food in Italy LLC","337 East10th street","73418",,"Under Review",,"2022-01-04T16:52:36.000","DOT","10009","40.727124","-73.980499","3","2","34","1005145","1004040037","East Village"
"Manhattan","9Th Ave Blue LLC","both","9Th Ave Blue LLC","856  9th avenue","73419",,"Under Review",,"2022-01-04T17:33:45.000","DOT","10019","40.767012","-73.986358","4","3","139","1025447","1010460064","Clinton"
"Queens","ARIA KABAB","both","MOMINA FOODS INC","2558 STEINWAY ST","73420",,"Suspended and Deactivated",,"2022-01-04T23:59:07.000",,"11103","40.767547","-73.912032","1","22","143","4010289","4006540088","Astoria"
"Queens","Little Morocco Restaurant Corp","both","Little Morocco Restaurant Corp","24-39  Steinway Street","73421",,"Suspended and Deactivated",,"2022-01-04T23:59:07.000",,"11103","40.768491","-73.911230","1","22","141","4011497","4006860001","Astoria"
"Queens","Melody Cafe & restaurant Inc","both","Melody Cafe & restaurant Inc","25-95 Steinway Street","73422",,"Suspended and Deactivated",,"2022-01-04T23:59:07.000",,"11103","40.767509","-73.912040","1","22","143","4011367","4006840006","Astoria"
"Manhattan","MARI","roadway","MARI HOSPITALITY NYC LLC","679 9 AVENUE","73424",,"For HIQA Review",,"2022-01-05T00:00:01.000",,"10036","40.761465","-73.990430","4","3","127","1026492","1010560035","Clinton"
"Queens","Cachapas Y Mas","both","NIJ INC","678  Seneca Ave","73426",,"Non-Compliant",,"2022-01-05T10:26:07.000","DOT","11385","40.703150","-73.908280","5","34","549","4082503","4034530029","Ridgewood"
"Queens","Cantina 33 Inc","both","Cantina 33 Inc","5533  Myrtle Avenue","10000",,"Non-Compliant",,"2020-07-14T16:43:18.000","DOB","11385","40.699981","-73.907505","5","34","551","4082441","4034510006","Ridgewood"
"Queens","ODAAN","both","STUPA GROUP LLC","907 SENECA AVENUE","73428",,"Non-Compliant",,"2022-01-05T11:15:36.000","DOT","11385","40.700632","-73.904006","5","34","551","4082846","4034660001","Ridgewood"
"Queens","ODAAN","both","STUPA GROUP LLC","907 SENECA AVENUE","73429",,"Non-Compliant",,"2022-01-05T11:22:22.000","DOT","11385","40.700632","-73.904006","5","34","551","4082846","4034660001","Ridgewood"
"Brooklyn","Variety Coffee","both","Variety Coffee Roasters Inc","146 wyckoff","73430",,"Cease and Desist",,"2022-01-05T12:17:28.000","DOT","11236",,,,,,,,
"Brooklyn","Taqueria Al Pastor","both","Los Marineros Corporation","128  Wyckoff ave","73431",,"Cease and Desist",,"2022-01-05T13:02:54.000","DOT","11237","40.703467","-73.917891","4","37","443","3074248","3032590036","Bushwick North"
"Queens","Pal Karajo","sidewalk","Pal Karajo","17 62-17 northern blvd","73432",,"Non-Compliant",,"2022-01-05T16:20:20.000","DOT","11377",,,,,,,,
"Manhattan","Tipsy Shanghai Restaurant","both","Tipsy Shanghai Restaurant","ECA 228 Thompson St.","73433",,"Under Review",,"2022-01-05T16:43:25.000","DOT","10012",,,,,,,,
"Manhattan","THE LAVAUX, SWISS WINE AND FONDUE BAR","both","JJW LAVAUX LLC","630 HUDSON STREET","73434",,"Compliant",,"2022-01-05T16:47:31.000","DOT","10014","40.738448","-74.005532","2","3","77","1011649","1006260024","West Village"
"Manhattan","Tivoli Cafe","roadway","Third ave. food corp","283 3 ave 22 street","73435",,"Marked For Removal",,"2022-01-05T23:58:57.000",,"10010",,,,,,,,
"Queens","Zenon Taverna","both","HET Cyprus Corp","34-10 31 avenue","73436",,"Marked For Removal",,"2022-01-05T23:58:57.000",,"11106","40.763110","-73.920911","1","22","61","4008965","4006240041","Astoria"
"Manhattan","Medi Wine Bar","roadway","Medi Winebar LLC","811- 813 9Th Avenue","73437",,"For HIQA Review",,"2022-01-06T00:00:01.000",,"10019","40.765790","-73.987282","4","3","133","1082421","1010630034","Clinton"
"Manhattan","Gnocco","both","Food in Italy LLC","337 East10th street","73438",,"Compliant",,"2022-01-06T12:13:41.000","DOT","10009","40.727124","-73.980499","3","2","34","1005145","1004040037","East Village"
"Manhattan","Trinity pub","both","229 cavan cork tavern inc","229 E 84th","73439",,"Non-Compliant",,"2022-01-06T12:38:37.000","DOT","10028",,,,,,,,
"Manhattan","HUMMUS KITCHEN","sidewalk","THE NEW HK INC","1613 2 AVENUE","73440",,"Cease and Desist",,"2022-01-06T13:12:52.000","DOT","10028","40.776357","-73.952867","8","5","138","1048709","1015290026","Yorkville"
"Manhattan","Toro Loco","both","Stone Street Amigos LLC","15 Stone Street","73441",,"Cease and Desist",,"2022-01-06T13:27:44.000","DOT","10004","40.704034","-74.012068","1","1","9","1000040","1000117501","Battery Park City-Lower Manhattan"
"Brooklyn","Kaffeine 231","sidewalk","KAFFEINE 231 CORP","231 BRIGHTON BEACH AVENUE","73442",,"Under Review",,"2022-01-06T13:31:51.000","DOT","11235","40.576633","-73.966022","13","48","362","3244608","3086700041","Brighton Beach"
"Manhattan","Set les","both","JDMR 127 Ludlow","127 Ludlow St","73443",,"Under Review",,"2022-01-06T13:46:21.000","DOT","10002","40.719797","-73.988510","3","1","18","1005312","1004100017","Chinatown"
"Manhattan","ATTABOY","roadway","ATTABOY COCKTAILS LLC","134 ELDRIDGE ST","73445",,"Under Review",,"2022-01-06T14:12:09.000","DOT","10009","40.718913","-73.991566","3","1","18","1005452","1004140001","Chinatown"
"Manhattan","Budapest Cafe","both","B&E Pastries Inc","1631  2nd Ave.","73447",,"Skipped Inspection","No Seating","2022-01-06T14:36:44.000","DOT","10028","40.776955","-73.952426","8","5","14601","1048742","1015300027","Yorkville"
"Manhattan","Pqr","sidewalk","Roma Salerno corp","1631 2nd Avenue","73448",,"Compliant",,"2022-01-06T14:38:01.000","DOT","10028","40.776955","-73.952426","8","5","14601","1048742","1015300027","Yorkville"
"Manhattan","Mexicoma","both","229 Restaurant Group LLC","1633 2nd Avenue","73449",,"Non-Compliant",,"2022-01-06T14:51:48.000","DOT","10028","40.777005","-73.952390","8","5","14601","1048743","1015300028","Yorkville"
"Manhattan","NAMI NORI","both","LPH ONE LLC","33 CARMINE","73450",,"Non-Compliant",,"2022-01-06T14:51:49.000","DOT","10014",,,,,,,,
"Manhattan","Culture An American Yogurt Co","both","Brooklyn Blain LLC","1077277 60 West 8th Street","73451",,"Non-Compliant",,"2022-01-06T15:27:26.000","DOT","10011",,,,,,,,
"Manhattan","GREEN 84 LLC","both","GREEN 84 LLC","1619 2ND AVE","73452",,"Non-Compliant",,"2022-01-06T15:33:53.000","DOT","10028","40.776662","-73.952643","8","5","14601","1048736","1015300021","Yorkville"
"Manhattan","village taverna","both","cgp enterprises inc","81 university place","73453",,"Compliant",,"2022-01-06T15:49:10.000","DOT","10003","40.733436","-73.993195","2","2","61","1009127","1005630001","West Village"
"Manhattan","Italianissimo","roadway","Quattro Amiggi","307 E 84th Street","73454",,"Non-Compliant",,"2022-01-06T16:03:31.000","DOT","10028","40.776379","-73.952243","8","5","14601","1049956","1015470006","Yorkville"
"Manhattan","Amity Hall","both","Amity Street Inc","80 West 3rd Street","73455",,"Compliant",,"2022-01-06T16:53:28.000","DOT","10012","40.729764","-73.998784","2","1","65","1008675","1005390020","West Village"
"Manhattan","BAGEL CAFE","both","DOZEN BAGELS CO INC.","429 3 AVENUE","73456",,"Skipped Inspection","No Seating","2022-01-06T17:30:21.000","DOT","10016","40.743110","-73.980018","6","2","70","1019945","1009100061","Murray Hill-Kips Bay"
"Queens","zyara restaurant corp","both","zyara restaurant corp","2553  2553 Steinway Street","73457",,"For HIQA Review",,"2022-01-07T00:00:01.000",,"11103",,,,,,,,
"Manhattan","Tipsy Shanghai Restaurant","both","Tipsy Shanghai Restaurant","ECA 228 Thompson St.","73458",,"Under Review",,"2022-01-07T08:51:42.000","DOT","10012",,,,,,,,
"Manhattan","Bread & Tulips","both","26th Street Hospitality Group LLC","365 Park Ave South","73459",,"Compliant",,"2022-01-07T08:56:18.000","DOT","10016","40.742218","-73.984872","5","2","68","1018122","1008820001","Gramercy"
"Manhattan","Taco Dumbo","both","TacoDumbo 1385 Broadway LLC","1385 Broadway","73460",,"Cease and Desist",,"2022-01-07T13:07:34.000","DOT","10018","40.752613","-73.987389","5","3","109","1015262","1008130055","Midtown-Midtown South"
"Manhattan","City Swiggers","both","City Swiggers LLC","320 East 86th","73461",,"Non-Compliant",,"2022-01-07T14:32:55.000","DOT","10012","40.777575","-73.951054","8","5","14601","1083415","1015487501","Yorkville"
"Manhattan","Maz Mezcal, Inc","both","Maz Mezcal","316 East 86th Street","73462",,"Compliant",,"2022-01-07T14:44:52.000","DOT","10028","40.777602","-73.951123","8","5","14601","1076328","1015487501","Yorkville"
"Manhattan","Gracies on 2nd","both","T & S restaurant LLC","300 E 86th Street","73463",,"Compliant",,"2022-01-07T15:07:49.000","DOT","10028","40.777638","-73.951682","8","5","14601","1050017","1015480049","Yorkville"
"Manhattan","Gracies on 2nd","both","T & S restaurant LLC","300 E 86th Street","73464",,"Non-Compliant",,"2022-01-07T15:10:45.000","DOT","10028","40.777638","-73.951682","8","5","14601","1050017","1015480049","Yorkville"
"Manhattan","2nd Avenue Stube LLC","sidewalk","2nd Avenue Stube LLC","1652-54 2nd Avenue","73465",,"Compliant",,"2022-01-07T15:15:26.000","DOT","10028","40.777611","-73.951924","8","5","14601","1050019","1015480051","Yorkville"
"Manhattan","subway","sidewalk","1613 second avenue food inc","1613 2nd avenue","73466",,"Skipped Inspection","No Seating","2022-01-07T15:53:11.000","DOT","10075","40.776357","-73.952867","8","5","138","1048709","1015290026","Yorkville"
"Manhattan","BLACK STAR BAKERY &amp; CAFE","roadway","YORK LATTE LLC","1597 YORK AVENUE","73467",,"Non-Compliant",,"2022-01-07T16:23:26.000","DOT","10028","40.774917","-73.947875","8","5","14401","1050500","1015640024","Yorkville"
"Manhattan","IL MELOGRANO","both","SIXSILY LLC","501 WEST 51ST","73468",,"Under Review",,"2022-01-07T17:17:55.000","DOT","10019","40.765363","-73.991433","4","3","135","1070111","1010800028","Clinton"
"Queens","Zenon Taverna","both","HET Cyprus Corp","34-10 31 avenue","73469",,"For HIQA Review",,"2022-01-07T17:35:06.000","DOT","11106","40.763110","-73.920911","1","22","61","4008965","4006240041","Astoria"
"Brooklyn","haab Mexican restaurant","both","Naybi restaurant corp","396  396 6th Avenue","73470",,"Non-Compliant",,"2022-01-09T10:36:57.000","DOT","11215",,,,,,,,
"Brooklyn","ROUND 2 CAFE","both","ROUND 2 CAFE AND CATERING CORP","1165 UTICA AVENUE","73471",,"Skipped Inspection","On Private Property","2022-01-09T15:17:45.000","DOT","11203","40.643979","-73.929539","17","45","846","3398458","3047710075","Rugby-Remsen Village"
"Brooklyn","CARLIE'S CORNER","both","CARLIE'S CORNER CORP","1778 RALPH AVENUE","73472",,"Skipped Inspection","On Private Property","2022-01-09T15:31:58.000","DOT","11236","40.633330","-73.918741","18","46","722","3223371","3079790146","Flatlands"
"Brooklyn","AKSARAY TURKISH CAFE AND RESTAURANT","roadway","AKSARAY INC","1618 EAST   16 STREET","73473",,"Skipped Inspection","No Seating","2022-01-09T15:58:29.000","DOT","11229","40.610040","-73.957588","15","48","552","3182428","3067780010","Madison"
"Brooklyn","BAY BAGELS","both","6302 BAY PARKWAY INC","6302 BAY PARKWAY","73474",,"Skipped Inspection","No Seating","2022-01-09T16:34:39.000","DOT","11204","40.614921","-73.980323","11","47","254","3133318","3055430037","Bensonhurst West"
"Brooklyn","BROOKLYN BAGELS N MORE","both","BROOKLYN BAGELS N MORE, CORP","72 AVENUE U","73475",,"Skipped Inspection","No Seating","2022-01-09T16:35:28.000","DOT","11223","40.596026","-73.981776","15","47","402","3192282","3071160005","Bensonhurst East"
"Brooklyn","BAY BAGELS","both","6302 BAY PARKWAY INC","6302 BAY PARKWAY","73476",,"For HIQA Review",,"2022-01-09T16:51:11.000","DOT","11204","40.614921","-73.980323","11","47","254","3133318","3055430037","Bensonhurst West"
"Brooklyn","BAY BAGELS","both","6302 BAY PARKWAY INC","6302 BAY PARKWAY","73477",,"Skipped Inspection","No Seating","2022-01-09T16:52:57.000","DOT","11204","40.614921","-73.980323","11","47","254","3133318","3055430037","Bensonhurst West"
"Manhattan","GREEN 84 LLC","both","GREEN 84 LLC","1619 2ND AVE","73478",,"Compliant",,"2022-01-10T08:57:37.000","DOT","10028","40.776662","-73.952643","8","5","14601","1048736","1015300021","Yorkville"
"Manhattan","OLIVER COFFEE","both","ALL DAY FOOD LLC","5 OLIVER STREET","73479",,"For HIQA Review",,"2022-01-10T10:41:05.000","DOT","10038","40.712982","-73.998070","3","1","27","1081974","1002790015","Chinatown"
"Manhattan","KELLARI TAVERNA","both","WEST 44TH STREET RESTAURANT, LLC","19 WEST   44 STREET","73480",,"Under Review",,"2022-01-10T10:45:24.000","DOT","10036","40.755167","-73.980830","5","4","96","1034224","1012600024","Midtown-Midtown South"
"Manhattan","Dorrians redhand","both","1616 second ave restaurant","1-1546-49 1616 second ave","91238",,"Non-Compliant",,"2022-10-07T16:57:09.000","DOT","10028",,,,,,,,
"Bronx","Fiesta Cafe Bar","sidewalk","Fiesta Cafe Bar Inc","4640 3rd Avenue","85368",,"Skipped Inspection","No Seating","2022-07-06T10:04:55.000","DOT","10458","40.856420","-73.891002","6","15","387","2011702","2030550056","Belmont"
"Manhattan","Fish Cheeks","both","55 Bond Street LLC","55  Bond Street","73484",,"Cease and Desist",,"2022-01-10T13:39:10.000","DOT","10012","40.725907","-73.992629","2","1","5502","1008437","1005290035","West Village"
"Manhattan","Cafe Luxembourg","both","Streator, Inc","200 West 70th St","73485",,"Non-Compliant",,"2022-01-10T13:48:45.000","DOT","10013","40.777472","-73.983016","7","6","155","1030348","1011580033","Lincoln Square"
"Brooklyn","Daya Cafe","both","Daya Cafe LLC","24  Irving Ave","73486",,"Removed and Deactivated",,"2022-01-10T14:10:51.000","DOT","11237","40.705182","-73.925232","4","34","427","3072363","3031750028","Bushwick North"
"Manhattan","Le Baratin","sidewalk","MCD HOSPITALITY  LLC","26  Greenwich Ave","73487",,"Skipped Inspection","No Seating","2022-01-10T14:16:55.000","DOT","10011","40.735025","-74.000170","2","3","71","1010521","1006060008","West Village"
"Brooklyn","BAR CHUKO","both","BAR CHUKO LLC","565 VANDERBILT AVENUE","73488",,"Compliant",,"2022-01-10T15:03:37.000","DOT","11238","40.680839","-73.967710","8","35","203","3027660","3011300010","Prospect Heights"
"Brooklyn","haab Mexican restaurant","both","Naybi restaurant corp","396  396 6th Avenue","73489",,"Under Review",,"2022-01-10T15:13:44.000","DOT","11215",,,,,,,,
"Manhattan","Don Angie","both","Uncle Biagio, LLC","103 Greenwich Avenue","73490",,"Cease and Desist",,"2022-01-10T16:02:20.000","DOT","10014","40.737740","-74.001819","2","3","77","1011048","1006150081","West Village"
"Manhattan","1 2 3","both","Peaceful Enterprise Corp.","738  10th Avenue","73491",,"For HIQA Review",,"2022-01-11T00:00:00.000",,"10019","40.764899","-73.991618","4","3","133","1026668","1010600003","Clinton"
"Queens","MADAME SOUSOU","both","ALADDIN & PRINCESS ZALABIA INC","3105  33rd street","73492",,"For HIQA Review",,"2022-01-11T00:00:00.000",,"11106","40.763149","-73.922214","1","22","61","4008898","4006230038","Astoria"
"Brooklyn","Cubana Cafe","both","Torrejo Corp","272 Smith Street","73493",,"For HIQA Review",,"2022-01-11T00:00:00.000",,"11231","40.682573","-73.993294","6","39","75","3006841","3004210039","Carroll Gardens-Columbia Street-Red Hook"
"Manhattan","The Red Grill Mexican Restaurant","both","The Red Grill Mexican Restaurant","1701 2nd Avenue","73494",,"Non-Compliant",,"2022-01-11T08:42:15.000","DOT","10128","40.779279","-73.950735","8","5","14602","1048846","1015340022","Yorkville"
"Manhattan","KM1","roadway","KM1 HOSPITALITY INC.","58  EAST 1ST STREET","73495",,"Cease and Desist",,"2022-01-11T09:10:35.000","DOT","10003","40.723598","-73.989209","3","2","3602","1006104","1004430048","East Village"
"Manhattan","The Gaf","both","1696 Pub Inc","1696  Second avenue","73496",,"Non-Compliant",,"2022-01-11T09:28:36.000","DOT","10128","40.779030","-73.950890","8","5","14602","1050060","1015500050","Yorkville"
"Queens","JIANG HU XIAO CHUAN","roadway","JIANG HU CORP","13687 37 AVE","73498",,"Skipped Inspection","No Seating","2022-01-11T10:50:19.000","DOT","11354","40.761984","-73.829328","7","20","869","4584079","4049770070","Flushing"
"Manhattan","San matteo pizzeria e cucina","both","Campania Felix","1559 2nd Avenue","73499",,"Non-Compliant",,"2022-01-11T10:55:25.000","DOT","10028","40.774565","-73.954172","8","5","138","1048536","1015260028","Yorkville"
"Manhattan","Uva","both","By The Glass, Inc","1486 Second Avenue","73500",,"Non-Compliant",,"2022-01-11T11:36:28.000","DOT","10075","40.772334","-73.955773","8","5","134","1045200","1014520004","Lenox Hill-Roosevelt Island"
"Manhattan","COLUMBUS CEAFOOD","both","COLUMBUS CEAFOOD LLC","903 COLUMBUS AVENUE","73501",,"Non-Compliant",,"2022-01-11T11:38:14.000","DOT","10025","40.798066","-73.963720","7","7","189","1055485","1018400001","Upper West Side"
"Manhattan","MONOMONO","both","MONOMONO, INC.","116 4TH STREET","73502",,"Cease and Desist",,"2022-01-11T11:55:47.000","DOT","10003",,,,,,,,
"Queens","FAVELA GRILL","both","HYGIEUSA INC.","33-18 28th AVENUE","73503",,"Non-Compliant",,"2022-01-11T12:33:23.000","DOT","11103","40.767623","-73.918278","1","22","6501","4009145","4006270024","Astoria"
"Manhattan","CALEXICO","both","CALEXICO 122 LLC","1491 2 AVENUE","73504",,"Non-Compliant",,"2022-01-11T12:46:01.000","DOT","10075","40.772439","-73.955722","8","4","134","1044111","1014320025","Lenox Hill-Roosevelt Island"
"Queens","ANTIKA PIZZA","both","DON GENNARO LLC","3608 30 AVE","73506",,"Non-Compliant",,"2022-01-11T13:30:02.000","DOT","11103","40.764935","-73.917231","1","22","63","4010011","4006510044","Astoria"
"Manhattan","338 E. 6TH REST. INC.","roadway","338 E. 6TH REST. INC.","338 E 6th St","73507",,"Compliant",,"2022-01-11T14:04:29.000","DOT","10003","40.726971","-73.987542","3","2","38","1006241","1004470025","East Village"
"Queens","FAVELA GRILL","both","HYGIEUSA INC.","33-18 28th AVENUE","73508",,"Compliant",,"2022-01-11T14:13:48.000","DOT","11103","40.767623","-73.918278","1","22","6501","4009145","4006270024","Astoria"
"Manhattan","THE BLUE","both","77 TAPAS INC","1480 2 AVENUE","73509",,"Non-Compliant",,"2022-01-11T14:44:32.000","DOT","10075","40.772203","-73.955871","8","5","134","1045197","1014527501","Lenox Hill-Roosevelt Island"
"Manhattan","DOC WATSONS","both","1490 REST, INC.","1490 2 AVENUE","73510",,"Non-Compliant",,"2022-01-11T15:06:44.000","DOT","10075","40.772422","-73.955708","8","5","134","1045228","1014520052","Lenox Hill-Roosevelt Island"
"Manhattan","Quality Eats","both","Bacon & Bagels, LLC","1496  Second Avenue","73511",,"Non-Compliant",,"2022-01-11T15:22:57.000","DOT","10075","40.772557","-73.955614","8","5","134","1045225","1014520049","Lenox Hill-Roosevelt Island"
"Manhattan","Benemon","both","DRAK Inc","108 East 4th St","73512",,"Cease and Desist",,"2022-01-11T15:23:45.000","DOT","10003","40.725665","-73.988206","3","2","38","1006172","1004450020","East Village"
"Manhattan","MONOMONO","both","MONOMONO, INC.","116 4TH STREET","73514",,"Cease and Desist",,"2022-01-11T15:34:52.000","DOT","10003",,,,,,,,
"Queens","LELIS BAKERY AND PASTRY SHOP","both","3514 30TH AVE CORP","3514  30TH AVENUE","73515",,"Compliant",,"2022-01-11T15:34:55.000","DOT","11103","40.765293","-73.917996","1","22","63","4009932","4006500047","Astoria"
"Manhattan","Benemon","both","DRAK Inc","108 East 4th St","73516",,"Cease and Desist",,"2022-01-11T15:37:59.000","DOT","10003","40.725665","-73.988206","3","2","38","1006172","1004450020","East Village"
"Queens","a","both","Avenue Cafe","35-27 30th Avenue","73517",,"Non-Compliant",,"2022-01-11T16:02:19.000","DOT","11357","40.765276","-73.917916","1","22","6502","4009223","4006290041","Astoria"
"Manhattan","ZAZZY'S PIZZA","both","STORE 1 CSFG NYC LLC","252 EAST   77 STREET","73518",,"Cease and Desist",,"2022-01-11T16:07:12.000","DOT","10075","40.772467","-73.957094","8","4","134","1044077","1014310028","Lenox Hill-Roosevelt Island"
"Brooklyn","Convivium Osteria","both","Gioca Rest Corp","68 5th ave","73519",,"Cease and Desist",,"2022-01-11T16:09:13.000","DOT","11217","40.681001","-73.977365","6","39","12901","3018549","3009320048","Park Slope-Gowanus"
"Bronx","BICKLES TO GO","both","BICKLES 2 GO INC","726 COURTLANDT AVE","73522",,"Compliant",,"2022-01-11T17:10:28.000","DOT","10451","40.820750","-73.917653","1","17","69","2091199","2024020005","Melrose South-Mott Haven North"
"Manhattan","High Street on Hudson","both","HSNYC LLC","637 Hudson Street","73523",,"For HIQA Review",,"2022-01-12T00:00:01.000",,"10014","40.738854","-74.005492","2","3","79","1011680","1006277501","West Village"
"Manhattan","9Th Ave Blue LLC","both","9Th Ave Blue LLC","856  9th avenue","73524",,"For HIQA Review",,"2022-01-12T00:00:01.000",,"10019","40.767012","-73.986358","4","3","139","1025447","1010460064","Clinton"
"Bronx","DADA'S COFEE SHOP CORP","sidewalk","DADA'S COFEE SHOP CORP","2287 WESTCHESTER AVENUE","73525",,"Non-Compliant",,"2022-01-12T08:33:07.000","DOT","10462","40.835375","-73.848391","10","18","20601","2041459","2039650037","Westchester-Unionport"
"Manhattan","San matteo pizzeria e cucina","both","Campania Felix","1559 2nd Avenue","73526",,"Compliant",,"2022-01-12T09:06:20.000","DOT","10028","40.774565","-73.954172","8","5","138","1048536","1015260028","Yorkville"
"Brooklyn","Taste of the City","both","Fresh Grill and Restaurant","1368  Flatbush Ave","73527",,"Non-Compliant",,"2022-01-12T09:49:20.000","DOT","11210","40.637008","-73.952101","14","45","770","3344043","3052260024","Flatbush"
"Bronx","AREITO LOUNGE AND GRILL","both","S &amp; S AREITOS, INC.","2510 VALENTINE AVENUE","73528",,"Cease and Desist",,"2022-01-12T10:26:00.000","DOT","10458","40.862698","-73.895540","7","15","39901","2013615","2031540060","Bedford Park-Fordham North"
"Queens","Blend Astoria","both","AK Restaurant Group LLC","37-17  30th Avenue","73529",,"Cease and Desist",,"2022-01-12T10:34:04.000","DOT","11103","40.764550","-73.916372","1","22","6502","4010727","4006610041","Astoria"
"Brooklyn","FOREVER INK BAR","roadway","FOREVER EVER INK BAR INC","1051 FLATBUSH AVENUE","73530",,"Non-Compliant",,"2022-01-12T10:58:35.000","DOT","11226","40.645266","-73.958023","14","40","792","3117869","3051320057","Erasmus"
"Queens","T-SWIRL ASTORIA, INC","both","T-SWIRL ASTORIA, INC","36-16  30TH AVE","73531",,"Non-Compliant",,"2022-01-12T11:03:29.000","DOT","11103","40.764913","-73.917184","1","22","63","4010054","4006510147","Astoria"
"Queens","GYRO WORLD","sidewalk","GW ASTORIA  LLC","3602 30TH AVE","73532",,"Compliant",,"2022-01-12T11:12:07.000","DOT","11103","40.764952","-73.917263","1","22","63","4010009","4006510042","Astoria"
"Bronx","El lider bar restaurant","sidewalk","El lider bar restaurant","4535  Park ave","73533",,"Non-Compliant",,"2022-01-12T11:15:24.000","DOT","10457","40.855498","-73.894857","6","15","38302","2011173","2030300159","Fordham South"
"Queens","sLICe Astoria","sidewalk","Astoria Slice LLC","37-08  30th Avenue","73534",,"Skipped Inspection","No Seating","2022-01-12T11:22:15.000","DOT","11103","40.764559","-73.916430","1","22","63","4010589","4006590045","Astoria"
"Brooklyn","PLENTY'S PARADISE","both","ANN ROSE PLENTY","992 ROGERS AVENUE","73535",,"Non-Compliant",,"2022-01-12T11:35:13.000","DOT","11226","40.645953","-73.951972","17","40","792","3328229","3051370041","Erasmus"
"Queens","Via Trenta","both","J J M A P CORP","3619 30th Avenue","73536",,"Non-Compliant",,"2022-01-12T12:07:11.000","DOT","11103","40.764924","-73.917162","1","22","6502","4009266","4006300041","Astoria"
