"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","location","borough","date_insta","point_x","point_y","femafldz","femafldt","hrcevac","ntaname"
"POINT (-73.78166200054758 40.754714000852495)","4","Queens","411","19","25","16","6","Francis Lewis Boulevard and  46 Avenue","Queens","2020-07-16T00:00:00.000","-73.781662","40.754714","X","AREA OF MINIMAL FLOOD HAZARD",,"Auburndale"
"POINT (-73.95241000018346 40.635923000614845)","3","Brooklyn","314","45","42","21","9","Farragut Road and East 26 Street / Amersfort Place","Brooklyn","2021-10-13T00:00:00.000","-73.95241","40.635923","X","AREA OF MINIMAL FLOOD HAZARD","5","Flatbush"
"POINT (-73.91996100016374 40.6263050011514)","3","Brooklyn","318","46","59","21","8","Avenue K and East 58 Street","Brooklyn","2022-12-08T00:00:00.000","-73.919961","40.626305","X","AREA OF MINIMAL FLOOD HAZARD","3","Flatlands"
"POINT (-73.95731399953051 40.81193400077815)","1","Manhattan","109","7","69","30","13","Amsterdam Avenue and Between West 123 Street and La Salle Street (Pedestrian Crossing)","Manhattan","2017-01-25T00:00:00.000","-73.957314","40.811934","X","AREA OF MINIMAL FLOOD HAZARD",,"Morningside Heights"
"POINT (-73.99716100029394 40.61600500120537)","3","Brooklyn","311","43","49","17","11","17 Avenue and  73 Street","Brooklyn","2020-03-31T00:00:00.000","-73.997161","40.616005","X","AREA OF MINIMAL FLOOD HAZARD",,"Bensonhurst"
"POINT (-73.87354099965883 40.82444400094826)","2","Bronx","209","18","85","34","14","Bruckner Boulevard North and Morrison Avenue","Bronx","2023-06-21T00:00:00.000","-73.873541","40.824444","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","4","Soundview-Bruckner-Bronx River"
"POINT (-73.90067599970729 40.88049200049649)","2","Bronx","208","14","81","31","13","Bailey Avenue and West 234 Street","Bronx","2015-10-14T00:00:00.000","-73.900676","40.880492","X","AREA OF MINIMAL FLOOD HAZARD","5","Kingsbridge Heights-Van Cortlandt Village"
"POINT (-73.86210399974625 40.75389500131952)","4","Queens","403","21","35","13","14","37 Avenue and 106 Street","Queens","2023-06-16T00:00:00.000","-73.862104","40.753895","X","AREA OF MINIMAL FLOOD HAZARD",,"North Corona"
"POINT (-73.9910239998629 40.671459000676755)","3","Brooklyn","306","39","52","26","10","3 Avenue and   9 Street","Brooklyn","2020-01-14T00:00:00.000","-73.991024","40.671459","X","AREA OF MINIMAL FLOOD HAZARD","2","Carroll Gardens-Cobble Hill-Gowanus-Red Hook"
"POINT (-73.85915899982962 40.837933000557236)","2","Bronx","209","18","87","34","14","Aileen B Ryan Oval East and Unionport Road","Bronx","2022-07-09T00:00:00.000","-73.859159","40.837933","X","AREA OF MINIMAL FLOOD HAZARD","6","Parkchester"
"POINT (-73.9006969998362 40.7017710009758)","4","Queens","405","30","37","12","7","Forest Avenue and  69 Avenue","Queens","2023-05-02T00:00:00.000","-73.900697","40.701771","X","AREA OF MINIMAL FLOOD HAZARD",,"Ridgewood"
"POINT (-73.85622799960701 40.88316100051963)","2","Bronx","212","12","83","36","15","Bronxwood Avenue and East 221 Street","Bronx","2017-10-11T00:00:00.000","-73.856228","40.883161","X","AREA OF MINIMAL FLOOD HAZARD",,"Williamsbridge-Olinville"
"POINT (-73.99156199942655 40.749706000953076)","1","Manhattan","105","3","75","28","12","7 Avenue and West  32 Street","Manhattan","2012-07-05T00:00:00.000","-73.991562","40.749706","X","AREA OF MINIMAL FLOOD HAZARD",,"Midtown South-Flatiron-Union Square"
"POINT (-73.74459200049284 40.72972700051338)","4","Queens","413","23","24","11","3","Hillside Avenue and Springfield Boulevard","Queens","2022-01-07T00:00:00.000","-73.744592","40.729727","X","AREA OF MINIMAL FLOOD HAZARD",,"Queens Village"
"POINT (-73.77449699960246 40.6718280008982)","4","Queens","412","28","32","10","5","Guy R. Brewer and 137 Avenue","Queens","2022-07-29T00:00:00.000","-73.774497","40.671828","X","AREA OF MINIMAL FLOOD HAZARD","5","Springfield Gardens (North)-Rochdale Village"
"POINT (-74.00481500013753 40.65715800094751)","3","Brooklyn","307","38","51","26","10","3 Avenue and  33 Street","Brooklyn","2015-10-23T00:00:00.000","-74.004815","40.657158","X","AREA OF MINIMAL FLOOD HAZARD","1","Sunset Park (West)"
"POINT (-73.8479030005629 40.886297000582836)","2","Bronx","212","12","83","36","16","Laconia Avenue and East 228 Street","Bronx","2022-11-07T00:00:00.000","-73.847903","40.886297","X","AREA OF MINIMAL FLOOD HAZARD",,"Eastchester-Edenwald-Baychester"
"POINT (-73.98090399945231 40.7378860005938)","1","Manhattan","106","2","74","59","12","2 Avenue and East  23 Street","Manhattan","2018-05-05T00:00:00.000","-73.980904","40.737886","X","AREA OF MINIMAL FLOOD HAZARD","4","Gramercy"
"POINT (-73.92662899968035 40.8161200012232)","2","Bronx","201","17","84","29","15","Park Avenue and East 144 Street","Bronx","2023-02-06T00:00:00.000","-73.926629","40.81612","X","AREA OF MINIMAL FLOOD HAZARD","5","Mott Haven-Port Morris"
"POINT (-73.98056200056101 40.76990600079886)","1","Manhattan","107","6","75","28","12","Central Park West and West  62 Street","Manhattan","2023-06-06T00:00:00.000","-73.980562","40.769906","X","AREA OF MINIMAL FLOOD HAZARD",,"Central Park"
"POINT (-73.83950999950557 40.882632000775004)","2","Bronx","212","12","83","36","16","Baychester Avenue and Needham Avenue","Bronx","2022-10-19T00:00:00.000","-73.83951","40.882632","X","AREA OF MINIMAL FLOOD HAZARD",,"Eastchester-Edenwald-Baychester"
"POINT (-74.18727399979478 40.564057000869376)","5","Staten Island","503","51","62","24","11","Arthur Kill Road and Ilyssa Way","Staten Island","2023-04-17T00:00:00.000","-74.187274","40.564057","X","AREA OF MINIMAL FLOOD HAZARD",,"Arden Heights-Rossville"
"POINT (-73.98627800015026 40.57882600109214)","3","Brooklyn","313","47","46","23","8","Neptune Avenue and West 19 Street","Brooklyn","2022-10-28T00:00:00.000","-73.986278","40.578826","AE",,"1","Coney Island-Sea Gate"
"POINT (-73.9667959997667 40.60480200133847)","3","Brooklyn","315","47","45","22","9","Ocean Parkway and Avenue R","Brooklyn","2022-05-10T00:00:00.000","-73.966796","40.604802","X","AREA OF MINIMAL FLOOD HAZARD","5","Gravesend (East)-Homecrest"
"POINT (-74.06444499991333 40.6118050010923)","5","Staten Island","501","49","63","23","11","Bay Street and New Lane","Staten Island","2022-06-21T00:00:00.000","-74.064445","40.611805","X","AREA OF MINIMAL FLOOD HAZARD",,"Rosebank-Shore Acres-Park Hill"
"POINT (-73.96595199999886 40.63426500123434)","3","Brooklyn","314","40","44","21","9","Newkirk Avenue and Westminster Road","Brooklyn","2022-10-18T00:00:00.000","-73.965952","40.634265","X","AREA OF MINIMAL FLOOD HAZARD","6","Flatbush (West)-Ditmas Park-Parkville"
"POINT (-74.03374300005619 40.6240980009971)","3","Brooklyn","310","43","46","26","11","86 Street and Ridge Boulevard","Brooklyn","2023-03-02T00:00:00.000","-74.033743","40.624098","X","AREA OF MINIMAL FLOOD HAZARD",,"Bay Ridge"
"POINT (-73.90580800003767 40.64826100112629)","3","Brooklyn","318","42","58","19","9","Foster Avenue and Rockaway Parkway","Brooklyn","2022-02-07T00:00:00.000","-73.905808","40.648261","X","AREA OF MINIMAL FLOOD HAZARD","5","Canarsie"
"POINT (-73.97718800045584 40.74700900078987)","1","Manhattan","106","4","73","59","12","3 Avenue and East 36 Street","Manhattan","2023-06-25T00:00:00.000","-73.977188","40.747009","X","AREA OF MINIMAL FLOOD HAZARD","6","Murray Hill-Kips Bay"
"POINT (-73.98304099987492 40.677417001119764)","3","Brooklyn","306","39","52","26","10","4 Avenue and Union Street","Brooklyn","2016-10-18T00:00:00.000","-73.983041","40.677417","X","AREA OF MINIMAL FLOOD HAZARD","5","Park Slope"
"POINT (-73.92137099999137 40.846253001151965)","2","Bronx","205","14","77","31","15","University Avenue and Featherbed Lane (Pedestrian Crossing)","Bronx","2019-04-19T00:00:00.000","-73.921371","40.846253","X","AREA OF MINIMAL FLOOD HAZARD",,"University Heights (South)-Morris Heights"
"POINT (-74.16549000055745 40.5446540012484)","5","Staten Island","503","51","62","24","11","Richmond Avenue with Sylvia Street and Eltingville Boulevard","Staten Island","2023-05-11T00:00:00.000","-74.16549","40.544654","X","AREA OF MINIMAL FLOOD HAZARD",,"Great Kills-Eltingville"
"POINT (-73.98669599966992 40.77166900049085)","1","Manhattan","107","6","67","47","12","Amsterdam Avenue and West  61 Street","Manhattan","2023-04-28T00:00:00.000","-73.986696","40.771669","X","AREA OF MINIMAL FLOOD HAZARD",,"Upper West Side-Lincoln Square"
"POINT (-73.903577000262 40.81757700126456)","2","Bronx","201","17","79","32","15","Union Avenue and East 156 Street","Bronx","2022-01-14T00:00:00.000","-73.903577","40.817577","X","AREA OF MINIMAL FLOOD HAZARD",,"Melrose"
"POINT (-73.8151959996163 40.68227500087327)","4","Queens","410","28","31","15","5","111 Avenue with 126 Street and Hawtree Creek Road","Queens","2022-04-06T00:00:00.000","-73.815196","40.682275","X","AREA OF MINIMAL FLOOD HAZARD",,"South Ozone Park"
"POINT (-73.96751199990494 40.63170700078222)","3","Brooklyn","314","40","44","21","9","Foster Avenue with East  8 Street and East 10 Street","Brooklyn","2023-06-20T00:00:00.000","-73.967512","40.631707","X","AREA OF MINIMAL FLOOD HAZARD",,"Flatbush (West)-Ditmas Park-Parkville"
"POINT (-73.9261760001015 40.63064200093619)","3","Brooklyn","318","46","41","21","9","Avenue I and East  52 Street","Brooklyn","2019-12-30T00:00:00.000","-73.926176","40.630642","X","AREA OF MINIMAL FLOOD HAZARD","4","Flatlands"
"POINT (-73.94098899997458 40.79662500102662)","1","Manhattan","111","8","68","30","13","3 Avenue midblock at East 114 Street","Manhattan","2017-01-30T00:00:00.000","-73.940989","40.796625","X","AREA OF MINIMAL FLOOD HAZARD","5","East Harlem (North)"
"POINT (-73.95608200029571 40.7636660005474)","1","Manhattan","108","5","76","28","12","York Avenue and East  67 Street","Manhattan","2023-05-26T00:00:00.000","-73.956082","40.763666","X","AREA OF MINIMAL FLOOD HAZARD","4","Upper East Side-Lenox Hill-Roosevelt Island"
"POINT (-73.97875199991964 40.71993500120194)","1","Manhattan","103","2","65","27","10","East Houston Street and Columbia Street","Manhattan","2018-12-04T00:00:00.000","-73.978752","40.719935","X","AREA OF MINIMAL FLOOD HAZARD","3","East Village"
"POINT (-73.83864899990887 40.68143800050724)","4","Queens","410","32","38","15","5","Liberty Avenue and 102nd Street","Queens","2021-06-30T00:00:00.000","-73.838649","40.681438","X","AREA OF MINIMAL FLOOD HAZARD",,"South Ozone Park"
"POINT (-73.99022099963699 40.71440600098434)","1","Manhattan","103","1","65","27","10","Canal Street and Essex Street","Manhattan","2022-09-27T00:00:00.000","-73.990221","40.714406","X","AREA OF MINIMAL FLOOD HAZARD",,"Chinatown-Two Bridges"
"POINT (-73.96039099971202 40.67399900132166)","3","Brooklyn","308","35","57","20","9","Classon Avenue and Sterling Place","Brooklyn","2023-04-05T00:00:00.000","-73.960391","40.673999","X","AREA OF MINIMAL FLOOD HAZARD",,"Crown Heights (North)"
"POINT (-73.91190000055096 40.74870000048574)","4","Queens","402","26","37","12","6","39 Avenue and  52 Street","Queens","2021-11-10T00:00:00.000","-73.9119","40.7487","X","AREA OF MINIMAL FLOOD HAZARD",,"Sunnyside"
"POINT (-74.11486999949186 40.60213700054004)","5","Staten Island","502","50","64","24","11","Todt Hill Road and Ocean Terrace","Staten Island","2022-07-28T00:00:00.000","-74.11487","40.602137","X","AREA OF MINIMAL FLOOD HAZARD",,"Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights"
"POINT (-73.91094900024245 40.81362200098739)","2","Bronx","201","17","84","29","15","East 149 Street and Cauldwell Avenue","Bronx","2022-09-20T00:00:00.000","-73.910949","40.813622","X","AREA OF MINIMAL FLOOD HAZARD",,"Melrose"
"POINT (-73.81255999956376 40.681000000638335)","4","Queens","410","28","31","10","5","Linden Boulevard and 128th Street","Queens","2021-01-07T00:00:00.000","-73.81256","40.681","X","AREA OF MINIMAL FLOOD HAZARD",,"South Ozone Park"
"POINT (-73.94673599947454 40.61147000119282)","3","Brooklyn","315","48","41","22","9","Avenue P and East 27 Street","Brooklyn","2023-03-23T00:00:00.000","-73.946736","40.61147","X","AREA OF MINIMAL FLOOD HAZARD","4","Madison"
"POINT (-73.89154399988172 40.7394370006912)","4","Queens","402","30","30","12","6","Queens Boulevard and 180 West of 73 Street","Queens","2016-11-10T00:00:00.000","-73.891544","40.739437","X","AREA OF MINIMAL FLOOD HAZARD",,"Woodside"
"POINT (-73.91078499955191 40.85195100060097)","2","Bronx","205","14","86","33","13","West Tremont Avenue and Grand Avenue (North)","Bronx","2023-04-14T00:00:00.000","-73.910785","40.851951","X","AREA OF MINIMAL FLOOD HAZARD",,"University Heights (South)-Morris Heights"
"POINT (-73.99492199986747 40.75529200128472)","1","Manhattan","104","3","75","47","12","9 Avenue and West  37 Street","Manhattan","2022-12-01T00:00:00.000","-73.994922","40.755292","X","AREA OF MINIMAL FLOOD HAZARD",,"Chelsea-Hudson Yards"
"POINT (-73.9560240003155 40.8188020013665)","1","Manhattan","109","7","70","30","13","Broadway and West 133 Street","Manhattan","2019-05-06T00:00:00.000","-73.956024","40.818802","X","AREA OF MINIMAL FLOOD HAZARD","4","Manhattanville-West Harlem"
"POINT (-73.85805999993546 40.863042000650225)","2","Bronx","211","13","80","36","15","Williamsbridge Road and Mace Avenue","Bronx","2023-06-07T00:00:00.000","-73.85806","40.863042","X","AREA OF MINIMAL FLOOD HAZARD",,"Pelham Gardens"
"POINT (-74.17564499967754 40.612192000947516)","5","Staten Island","502","50","63","24","11","South Avenue and Lois Lane","Staten Island","2022-06-23T00:00:00.000","-74.175645","40.612192","X","AREA OF MINIMAL FLOOD HAZARD","1","New Springville-Willowbrook-Bulls Head-Travis"
"POINT (-73.99547299966775 40.75962600082045)","1","Manhattan","104","3","75","47","12","10 Avenue and West  42 Street","Manhattan","2021-09-14T00:00:00.000","-73.995473","40.759626","X","AREA OF MINIMAL FLOOD HAZARD","5","Hell's Kitchen"
"POINT (-73.87536399998892 40.87958000079704)","2","Bronx","207","11","81","33","15","East Gun Hill Road and Putnam Place","Bronx","2021-10-29T00:00:00.000","-73.875364","40.87958","X","AREA OF MINIMAL FLOOD HAZARD",,"Norwood"
"POINT (-73.93623099972882 40.82043700097705)","1","Manhattan","110","9","71","30","13","Lenox Avenue and West 145 Street","Manhattan","2017-02-23T00:00:00.000","-73.936231","40.820437","X","AREA OF MINIMAL FLOOD HAZARD","4","Harlem (North)"
"POINT (-73.82983900005426 40.7589440007991)","4","Queens","407","20","40","16","6","Main Street and  40 Road","Queens","2022-10-14T00:00:00.000","-73.829839","40.758944","X","AREA OF MINIMAL FLOOD HAZARD","5","Flushing-Willets Point"
"POINT (-73.99725000050402 40.76612200126556)","1","Manhattan","104","3","67","47","12","12 Avenue and West  49 Street.","Manhattan","2023-05-25T00:00:00.000","-73.99725","40.766122","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","3","Hell's Kitchen"
"POINT (-73.93541500003673 40.744962000833084)","4","Queens","402","26","37","12","7","Thomson Avenue and  31 Street","Queens","2022-12-27T00:00:00.000","-73.935415","40.744962","X","AREA OF MINIMAL FLOOD HAZARD","6","Sunnyside"
"POINT (-73.92607300048675 40.808778001010616)","2","Bronx","201","8","84","29","15","Alexander Avenue and Between East 135 and East 137 Streets","Bronx","2020-03-25T00:00:00.000","-73.926073","40.808778","X","AREA OF MINIMAL FLOOD HAZARD","4","Mott Haven-Port Morris"
"POINT (-73.91035199961652 40.74567600103464)","4","Queens","402","26","37","12","6","Skillman Avenue and  54 Street","Queens","2019-10-08T00:00:00.000","-73.910352","40.745676","X","AREA OF MINIMAL FLOOD HAZARD",,"Woodside"
"POINT (-74.16345499952334 40.54377900089636)","5","Staten Island","503","51","62","24","11","Amboy Road with Ridgecrest Avenue and Putnam Street","Staten Island","2022-05-27T00:00:00.000","-74.163455","40.543779","X","AREA OF MINIMAL FLOOD HAZARD",,"Great Kills-Eltingville"
"POINT (-74.01569899991937 40.704854000612116)","1","Manhattan","101","1","61","27","10","Battery Place and Washington Street","Manhattan","2015-05-11T00:00:00.000","-74.015699","40.704854","AE",,"1","Financial District-Battery Park City"
"POINT (-74.00132799959161 40.74649000124897)","1","Manhattan","104","3","75","47","12","9 Avenue and West  23 Street","Manhattan","2018-07-24T00:00:00.000","-74.001328","40.74649","X","AREA OF MINIMAL FLOOD HAZARD","2","Chelsea-Hudson Yards"
"POINT (-73.97821700034869 40.7206760009041)","1","Manhattan","103","2","65","27","10","Avenue D and East   3 Street","Manhattan","2016-10-06T00:00:00.000","-73.978217","40.720676","X","AREA OF MINIMAL FLOOD HAZARD","2","East Village"
"POINT (-73.82085000058842 40.752241001261545)","4","Queens","407","20","25","16","6","Kissena Boulevard and  45th Avenue","Queens","2022-07-18T00:00:00.000","-73.82085","40.752241","X","AREA OF MINIMAL FLOOD HAZARD","6","East Flushing"
"POINT (-73.93635000043913 40.745070001335975)","4","Queens","402","26","37","12","7","Thomson Avenue and  30 Place","Queens","2022-08-26T00:00:00.000","-73.93635","40.74507","X","AREA OF MINIMAL FLOOD HAZARD","6","Sunnyside"
"POINT (-73.93588499993315 40.707282001245794)","3","Brooklyn","301","34","53","18","7","Johnson Avenue and White Street","Brooklyn","2021-12-15T00:00:00.000","-73.935885","40.707282","X","AREA OF MINIMAL FLOOD HAZARD","5","East Williamsburg"
"POINT (-73.87567000026387 40.834000000839104)","2","Bronx","209","18","85","34","14","East 174 Street and Morrison Avenue","Bronx","2021-08-30T00:00:00.000","-73.87567","40.834","X","AREA OF MINIMAL FLOOD HAZARD","6","Soundview-Bruckner-Bronx River"
"POINT (-73.8469650003331 40.72095900054553)","4","Queens","406","29","28","15","6","Austin Street and  70 Avenue","Queens","2020-05-02T00:00:00.000","-73.846965","40.720959","X","AREA OF MINIMAL FLOOD HAZARD",,"Forest Hills"
"POINT (-73.7875640005088 40.77022700112009)","4","Queens","411","19","26","16","3","32 Avenue and 202 Street","Queens","2022-09-30T00:00:00.000","-73.787564","40.770227","X","AREA OF MINIMAL FLOOD HAZARD",,"Auburndale"
"POINT (-73.93334599973353 40.756236001014884)","4","Queens","401","26","36","59","7","37 Avenue and  28 Street","Queens","2022-09-16T00:00:00.000","-73.933346","40.756236","X","AREA OF MINIMAL FLOOD HAZARD",,"Queensbridge-Ravenswood-Dutch Kills"
"POINT (-73.94801799991544 40.60206000084962)","3","Brooklyn","315","48","41","22","9","Avenue T and East  24 Street","Brooklyn","2020-02-04T00:00:00.000","-73.948018","40.60206","X","AREA OF MINIMAL FLOOD HAZARD","4","Madison"
"POINT (-73.8283809995512 40.71321800089383)","4","Queens","409","29","27","14","5","Queens Boulevard and Queens Borough Hall","Queens","2015-10-31T00:00:00.000","-73.828381","40.713218","X","AREA OF MINIMAL FLOOD HAZARD",,"Kew Gardens"
"POINT (-74.1016590004325 40.57865000127311)","5","Staten Island","502","50","64","24","11","Hylan Boulevard and Bedford Avenue","Staten Island","2020-10-09T00:00:00.000","-74.101659","40.57865","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2","New Dorp-Midland Beach"
"POINT (-73.82155999958331 40.61493000078177)","4","Queens","484","31","23","10","5","Cross Bay Boulevard and East   1st Road","Queens","2021-01-14T00:00:00.000","-73.82156","40.61493","AE",,"1","Jamaica Bay (East)"
"POINT (-73.96327800006326 40.57721300088887)","3","Brooklyn","313","48","46","23","8","Brighton Beach Avenue and Brighton  4 Street","Brooklyn","2022-02-28T00:00:00.000","-73.963278","40.577213","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1","Brighton Beach"
"POINT (-74.19474700006246 40.555998000967804)","5","Staten Island","503","51","62","24","11","Arden Avenue and Forest Green","Staten Island","2022-05-16T00:00:00.000","-74.194747","40.555998","X","AREA OF MINIMAL FLOOD HAZARD",,"Arden Heights-Rossville"
"POINT (-73.84389299988193 40.7216190013352)","4","Queens","406","29","28","14","6","Queens Boulevard and 108 Street / 71 Avenue","Queens","2020-03-07T00:00:00.000","-73.843893","40.721619","X","AREA OF MINIMAL FLOOD HAZARD",,"Forest Hills"
"POINT (-74.01240099961436 40.710884000883)","1","Manhattan","101","1","61","27","10","Greenwich Street and Cortlandt Street","Manhattan","2019-01-30T00:00:00.000","-74.012401","40.710884","X","AREA OF MINIMAL FLOOD HAZARD","1","Financial District-Battery Park City"
"POINT (-73.9077370002724 40.657942000858895)","3","Brooklyn","316","42","55","19","8","Rockaway Avenue and Lott Avenue","Brooklyn","2022-08-04T00:00:00.000","-73.907737","40.657942","X","AREA OF MINIMAL FLOOD HAZARD","4","Brownsville"
"POINT (-73.85790799977043 40.68088700111747)","4","Queens","409","32","38","15","7","101 Avenue and  81st Street","Queens","2020-07-06T00:00:00.000","-73.857908","40.680887","X","AREA OF MINIMAL FLOOD HAZARD","5","Ozone Park (North)"
"POINT (-73.94444000004289 40.62463100127923)","3","Brooklyn","318","45","41","21","9","Avenue K and East  32 Street","Brooklyn","2019-10-25T00:00:00.000","-73.94444","40.624631","X","AREA OF MINIMAL FLOOD HAZARD","5","Flatlands"
"POINT (-73.98157200019435 40.773601001270016)","1","Manhattan","107","6","75","47","12","Columbus Avenue and West  66 Street","Manhattan","2016-08-04T00:00:00.000","-73.981572","40.773601","X","AREA OF MINIMAL FLOOD HAZARD",,"Upper West Side-Lincoln Square"
"POINT (-73.90174999999743 40.87367400125519)","2","Bronx","208","14","78","31","13","Sedgwick Avenue and West 229 Street","Bronx","2019-03-08T00:00:00.000","-73.90175","40.873674","X","AREA OF MINIMAL FLOOD HAZARD",,"Kingsbridge Heights-Van Cortlandt Village"
"POINT (-73.79174399963422 40.725776001141355)","4","Queens","408","24","25","16","5","Union Turnpike and Utopia Parkway","Queens","2019-10-16T00:00:00.000","-73.791744","40.725776","X","AREA OF MINIMAL FLOOD HAZARD",,"Pomonok-Electchester-Hillcrest"
"POINT (-73.95829099999376 40.8156880010773)","1","Manhattan","109","7","70","30","13","Broadway and West 125 Street","Manhattan","2022-04-22T00:00:00.000","-73.958291","40.815688","X","AREA OF MINIMAL FLOOD HAZARD","6","Manhattanville-West Harlem"
"POINT (-73.89347499952773 40.842863000859715)","2","Bronx","206","15","79","32","15","Crotona Avenue and East 175 STREET","Bronx","2022-09-30T00:00:00.000","-73.893475","40.842863","X","AREA OF MINIMAL FLOOD HAZARD",,"Tremont"
"POINT (-73.98382400031238 40.7654190007463)","1","Manhattan","104","3","75","47","12","8 Avenue and West  55 Street","Manhattan","2013-03-01T00:00:00.000","-73.983824","40.765419","X","AREA OF MINIMAL FLOOD HAZARD",,"Hell's Kitchen"
"POINT (-73.87208499995248 40.76076800080977)","4","Queens","403","21","35","13","14","31 Avenue and  97 Street","Queens","2021-11-24T00:00:00.000","-73.872085","40.760768","X","AREA OF MINIMAL FLOOD HAZARD",,"East Elmhurst"
"POINT (-73.88697399981443 40.71474100049321)","4","Queens","405","30","28","15","6","69 Street and Juniper Valley Road / 69 Place","Queens","2023-01-06T00:00:00.000","-73.886974","40.714741","X","AREA OF MINIMAL FLOOD HAZARD",,"Middle Village"
"POINT (-73.97620599951136 40.68702500132428)","3","Brooklyn","302","35","57","26","10","Fulton Street and Lafayette Street","Brooklyn","2017-01-18T00:00:00.000","-73.976206","40.687025","X","AREA OF MINIMAL FLOOD HAZARD",,"Fort Greene"
"POINT (-73.90078999956312 40.698760001064244)","4","Queens","405","34","38","12","7","Seneca Avenue and Stephen Street","Queens","2021-04-06T00:00:00.000","-73.90079","40.69876","X","AREA OF MINIMAL FLOOD HAZARD",,"Ridgewood"
"POINT (-74.00943999992077 40.62524000133995)","3","Brooklyn","310","43","49","17","11","11th Avenue and  71st Street","Brooklyn","2021-02-04T00:00:00.000","-74.00944","40.62524","X","AREA OF MINIMAL FLOOD HAZARD",,"Dyker Heights"
"POINT (-73.85304600052454 40.84954900072824)","2","Bronx","211","13","80","34","15","Morris Park Avenue and Haight Avenue","Bronx","2023-02-24T00:00:00.000","-73.853046","40.849549","X","AREA OF MINIMAL FLOOD HAZARD",,"Morris Park"
"POINT (-74.12826299947874 40.62667500058589)","5","Staten Island","501","49","61","23","11","Forest Avenue and Dubois Avenue","Staten Island","2023-04-06T00:00:00.000","-74.128263","40.626675","X","AREA OF MINIMAL FLOOD HAZARD",,"Port Richmond"
"POINT (-73.9094170005301 40.84124400128841)","2","Bronx","204","16","77","32","15","Morris Avenue and Teller Avenue","Bronx","2020-08-21T00:00:00.000","-73.909417","40.841244","X","AREA OF MINIMAL FLOOD HAZARD",,"Mount Eden-Claremont (West)"
"POINT (-73.97295899962978 40.79952900130213)","1","Manhattan","107","6","69","47","12","Riverside Drive and West 101 Street","Manhattan","2019-02-13T00:00:00.000","-73.972959","40.799529","X","AREA OF MINIMAL FLOOD HAZARD",,"Upper West Side-Manhattan Valley"
"POINT (-73.988196999495 40.7747050006559)","1","Manhattan","107","6","67","47","12","West End Avenue and West  64 Street","Manhattan","2019-05-22T00:00:00.000","-73.988197","40.774705","X","AREA OF MINIMAL FLOOD HAZARD",,"Upper West Side-Lincoln Square"
"POINT (-73.86356999985597 40.7182780005198)","4","Queens","406","29","28","15","6","Woodhaven Boulevard and  66 Avenue","Queens","2019-07-03T00:00:00.000","-73.86357","40.718278","X","AREA OF MINIMAL FLOOD HAZARD",,"Rego Park"
"POINT (-73.89736999982671 40.69411000070229)","4","Queens","405","30","38","12","7","Cypress Avenue and Cooper Street","Queens","2022-08-29T00:00:00.000","-73.89737","40.69411","X","AREA OF MINIMAL FLOOD HAZARD",,"Glendale"
"POINT (-73.94194100039698 40.79131500055517)","1","Manhattan","111","8","68","29","13","2 Avenue and East 107 Street","Manhattan","2016-11-23T00:00:00.000","-73.941941","40.791315","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","3","East Harlem (South)"
"POINT (-73.82887500042571 40.69382800124432)","4","Queens","409","29","24","15","5","Atlantic Avenue and 118 Street","Queens","2022-03-21T00:00:00.000","-73.828875","40.693828","X","AREA OF MINIMAL FLOOD HAZARD",,"Richmond Hill"
"POINT (-73.95727699951 40.603465001183864)","3","Brooklyn","315","48","45","22","8","Avenue S and East  15 Street","Brooklyn","2022-07-20T00:00:00.000","-73.957277","40.603465","X","AREA OF MINIMAL FLOOD HAZARD","4","Madison"
"POINT (-73.88210800020899 40.734874000901335)","4","Queens","404","25","30","12","6","Grand Avenue and Haspel Street","Queens","2022-05-06T00:00:00.000","-73.882108","40.734874","X","AREA OF MINIMAL FLOOD HAZARD",,"Elmhurst"
"POINT (-73.85484100028187 40.686447001307066)","4","Queens","409","32","38","15","7","Atlantic Avenue and  87 Street","Queens","2020-09-25T00:00:00.000","-73.854841","40.686447","X","AREA OF MINIMAL FLOOD HAZARD","6","Woodhaven"
"POINT (-74.18031000055049 40.52609000126902)","5","Staten Island","503","51","62","24","11","Hylan Boulevard and Arbutus Avenue","Staten Island","2020-01-05T00:00:00.000","-74.18031","40.52609","X","AREA OF MINIMAL FLOOD HAZARD","5","Annadale-Huguenot-Prince's Bay-Woodrow"
"POINT (-73.86026100030536 40.89431500118095)","2","Bronx","212","11","81","36","16","East 233 Street and Carpenter Avenue","Bronx","2017-03-28T00:00:00.000","-73.860261","40.894315","X","AREA OF MINIMAL FLOOD HAZARD",,"Wakefield-Woodlawn"
"POINT (-73.90157999946094 40.716140001102424)","4","Queens","405","30","37","12","6","Fresh Pond Road and  60 Road","Queens","2021-09-23T00:00:00.000","-73.90158","40.71614","X","AREA OF MINIMAL FLOOD HAZARD",,"Maspeth"
